000000021a99ce50 (__DATA,__data) non-external _.compoundliteral
00000001e514c2f8 (__TEXT,__text) non-external (was a private external) _deserialize_double
00000001e514c2b8 (__TEXT,__text) non-external (was a private external) _deserialize_float
00000001e514c338 (__TEXT,__text) non-external (was a private external) _deserialize_pointer
00000001e5151a0c (__TEXT,__text) non-external _destroyAggregateType
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000001e5155a04 (__TEXT,__text) non-external _doPrecisionWarningsForLowpInt
000000021cf6c8d8 (__AUTH,__data) non-external _eof_inputsrc
00000001e515a118 (__TEXT,__text) non-external _eof_scan
00000001e515c090 (__TEXT,__text) non-external _eof_scan
00000001e5159d94 (__TEXT,__text) non-external _eval
00000001e5108d90 (__TEXT,__text) non-external _evalOffsetExtraOfOffset
                 (undefined) external _exp2f (from libSystem)
                 (undefined) external _expf (from libSystem)
                 (undefined) external _fabs (from libSystem)
                 (undefined) external _fclose (from libSystem)
00000001e51499e0 (__TEXT,__text) non-external _flattenCommaTreeInto
                 (undefined) external _floor (from libSystem)
                 (undefined) external _floorf (from libSystem)
00000001e5182d14 (__TEXT,__text) non-external _foldAdd
00000001e5182868 (__TEXT,__text) non-external _foldArrayAccess
00000001e518356c (__TEXT,__text) non-external _foldArrayType
00000001e5183088 (__TEXT,__text) non-external _foldAssign
00000001e5183b04 (__TEXT,__text) non-external _foldAvailabilityDeclaration
00000001e5182fb8 (__TEXT,__text) non-external _foldBitwiseAnd
00000001e5182fec (__TEXT,__text) non-external _foldBitwiseOr
00000001e5183020 (__TEXT,__text) non-external _foldBitwiseXor
00000001e51837dc (__TEXT,__text) non-external _foldBlock
00000001e5183a00 (__TEXT,__text) non-external _foldBreakStatement
00000001e5183998 (__TEXT,__text) non-external _foldCaseStatement
00000001e51831bc (__TEXT,__text) non-external _foldCommaExpr
00000001e51827f4 (__TEXT,__text) non-external _foldConstant
00000001e51829a0 (__TEXT,__text) non-external _foldConstructorCall
00000001e5183a34 (__TEXT,__text) non-external _foldContinueStatement
00000001e51839cc (__TEXT,__text) non-external _foldDefaultStatement
00000001e51856b4 (__TEXT,__text) non-external _foldDerefNode
00000001e5183a68 (__TEXT,__text) non-external _foldDiscardStatement
00000001e5182cac (__TEXT,__text) non-external _foldDivide
00000001e5109050 (__TEXT,__text) non-external _foldDstSwizzleMaskForComp
00000001e5182eb4 (__TEXT,__text) non-external _foldEqual
00000001e51837a8 (__TEXT,__text) non-external _foldExpressionStatement
00000001e518289c (__TEXT,__text) non-external _foldFieldAccess
00000001e51835a0 (__TEXT,__text) non-external _foldFieldDeclaration
00000001e5182904 (__TEXT,__text) non-external _foldFunctionCall
00000001e51834d0 (__TEXT,__text) non-external _foldFunctionDefinition
00000001e518328c (__TEXT,__text) non-external _foldFunctionPrototype
00000001e5183740 (__TEXT,__text) non-external _foldGlobalTypeQualifier
00000001e5182e4c (__TEXT,__text) non-external _foldGreater
00000001e5182e80 (__TEXT,__text) non-external _foldGreaterEqual
00000001e5183d0c (__TEXT,__text) non-external _foldIBPartialDeref
00000001e5183054 (__TEXT,__text) non-external _foldIfExpr
00000001e5183854 (__TEXT,__text) non-external _foldIfStatement
00000001e5183608 (__TEXT,__text) non-external _foldInterfaceBlock
00000001e5183670 (__TEXT,__text) non-external _foldKeywordQualifier
00000001e5183bd4 (__TEXT,__text) non-external _foldLValue
00000001e5183774 (__TEXT,__text) non-external _foldLayoutPair
00000001e51836a4 (__TEXT,__text) non-external _foldLayoutQualifier
00000001e518363c (__TEXT,__text) non-external _foldLayoutType
00000001e5182de4 (__TEXT,__text) non-external _foldLess
00000001e5182e18 (__TEXT,__text) non-external _foldLessEqual
00000001e5182f1c (__TEXT,__text) non-external _foldLogicalAnd
00000001e5182f50 (__TEXT,__text) non-external _foldLogicalOr
00000001e5182f84 (__TEXT,__text) non-external _foldLogicalXor
00000001e51838ec (__TEXT,__text) non-external _foldLoopStatement
00000001e518296c (__TEXT,__text) non-external _foldMethodCall
00000001e5182ce0 (__TEXT,__text) non-external _foldModulo
00000001e5182c78 (__TEXT,__text) non-external _foldMultiply
00000001e5182ad8 (__TEXT,__text) non-external _foldNegate
00000001e5182ee8 (__TEXT,__text) non-external _foldNotEqual
00000001e5183ba0 (__TEXT,__text) non-external _foldOffset
00000001e5183120 (__TEXT,__text) non-external _foldOpAssign
00000001e5183d40 (__TEXT,__text) non-external _foldPPStreamOp
00000001e5183258 (__TEXT,__text) non-external _foldParameterDeclaration
00000001e5182a08 (__TEXT,__text) non-external _foldPostdecrement
00000001e51829d4 (__TEXT,__text) non-external _foldPostincrement
00000001e5183434 (__TEXT,__text) non-external _foldPrecisionDeclaration
00000001e5182a70 (__TEXT,__text) non-external _foldPredecrement
00000001e5182a3c (__TEXT,__text) non-external _foldPreincrement
00000001e5183538 (__TEXT,__text) non-external _foldPrimitiveType
00000001e5183468 (__TEXT,__text) non-external _foldQualifiedDeclaration
00000001e518349c (__TEXT,__text) non-external _foldQualifiedDeclarationGroup
00000001e5183504 (__TEXT,__text) non-external _foldQualifiedType
00000001e518370c (__TEXT,__text) non-external _foldQualifierList
00000001e5183c5c (__TEXT,__text) non-external _foldRValue
00000001e5183b38 (__TEXT,__text) non-external _foldRawCall
00000001e5183154 (__TEXT,__text) non-external _foldReadInput
00000001e5183a9c (__TEXT,__text) non-external _foldReturnStatement
00000001e5182d7c (__TEXT,__text) non-external _foldShiftLeft
00000001e5182db0 (__TEXT,__text) non-external _foldShiftRight
00000001e51835d4 (__TEXT,__text) non-external _foldStructType
00000001e5182938 (__TEXT,__text) non-external _foldSubroutineArrayCall
00000001e5183b6c (__TEXT,__text) non-external _foldSubroutineRawCall
00000001e51836d8 (__TEXT,__text) non-external _foldSubroutineTypeList
00000001e518418c (__TEXT,__text) non-external _foldSubroutineUniform
00000001e5182d48 (__TEXT,__text) non-external _foldSubtract
00000001e5183920 (__TEXT,__text) non-external _foldSwitchStatement
00000001e5183ad0 (__TEXT,__text) non-external _foldTopLevel
00000001e51825cc (__TEXT,__text) non-external _foldTypeConversion
00000001e51827c0 (__TEXT,__text) non-external _foldTypeIdentifier
00000001e51843ec (__TEXT,__text) non-external _foldUnaryOperator
00000001e5182aa4 (__TEXT,__text) non-external _foldUnaryPlus
00000001e51828d0 (__TEXT,__text) non-external _foldUndeterminedCall
00000001e51832c0 (__TEXT,__text) non-external _foldVariableDeclaration
00000001e5183400 (__TEXT,__text) non-external _foldVariableDeclarationGroup
00000001e518278c (__TEXT,__text) non-external _foldVariableIdentifier
00000001e5183188 (__TEXT,__text) non-external _foldWriteOutput
00000002176aff28 (__DATA_CONST,__const) non-external (was a private external) _fpDclList
                 (undefined) external _fprintf_l (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _frexp (from libSystem)
                 (undefined) external _frexpf (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000021a9a14a0 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001e5135224 (__TEXT,__text) non-external _generateSlotVars
00000001e5181b64 (__TEXT,__text) non-external _genericCheckKidsBarrier
00000001e5154634 (__TEXT,__text) non-external _getAccessorReplaceCallback
00000001e513e640 (__TEXT,__text) non-external _getAndRemapBuiltinFromScope
00000001e514da94 (__TEXT,__text) non-external _getBindableUniformLocationInfo
00000001e514d78c (__TEXT,__text) non-external _getBindingInfo
00000001e5150044 (__TEXT,__text) non-external _getBindingInfoForType
00000001e513c8cc (__TEXT,__text) non-external _getInputOutputBitsType
00000001e514adac (__TEXT,__text) non-external _getPrecisionFlagsFromArgs
00000001e514de78 (__TEXT,__text) non-external _getString
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getsectiondata (from libSystem)
00000001e5098738 (__TEXT,__text) non-external _gl_atomic_add
00000001e51b58d8 (__TEXT,__text) non-external (was a private external) _gleAttribBindingSize
00000001e51b5960 (__TEXT,__text) non-external (was a private external) _gleCopyAttribBindings
00000001e51b58e4 (__TEXT,__text) non-external (was a private external) _gleCopyParamBindings
00000001e51ce078 (__TEXT,__text) non-external _gleFStateProgram_AddAttribs
00000001e51ca174 (__TEXT,__text) non-external _gleFStateProgram_AddPPStreamOperation
00000001e51ce374 (__TEXT,__text) non-external _gleFStateProgram_AddParams
00000001e51ce578 (__TEXT,__text) non-external _gleFStateProgram_AllocateAttribs
00000001e51ca180 (__TEXT,__text) non-external _gleFStateProgram_Core
00000001e51cdf14 (__TEXT,__text) non-external _gleFStateProgram_End
00000001e51ce574 (__TEXT,__text) non-external _gleFStateProgram_LLVMAddOperation
00000001e51cec80 (__TEXT,__text) non-external _gleStateProgram_ASSERT
00000001e51ceae8 (__TEXT,__text) non-external _gleStateProgram_A_MODULATE
00000001e51cec84 (__TEXT,__text) non-external _gleStateProgram_A_REPLACE
000000021e90ba88 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsA
000000021e90bb00 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsI
000000021e90bab0 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsL
000000021e90bad8 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsLA
000000021e90bb28 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGB
000000021e90bb50 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGBA
00000001e51ceda4 (__TEXT,__text) non-external _gleStateProgram_CheckDestInit
00000001e51cfecc (__TEXT,__text) non-external _gleStateProgram_I_ADD
00000001e51cfd14 (__TEXT,__text) non-external _gleStateProgram_I_BLEND
00000001e51cf9f0 (__TEXT,__text) non-external _gleStateProgram_RGBA_ADD
00000001e51cf6a8 (__TEXT,__text) non-external _gleStateProgram_RGBA_BLEND
00000001e51d0060 (__TEXT,__text) non-external _gleStateProgram_RGBA_DECAL
00000001e51cf528 (__TEXT,__text) non-external _gleStateProgram_RGBA_MODULATE
00000001e51cf37c (__TEXT,__text) non-external _gleStateProgram_RGB_ADD
00000001e51cf088 (__TEXT,__text) non-external _gleStateProgram_RGB_BLEND
00000001e51ceef0 (__TEXT,__text) non-external _gleStateProgram_RGB_MODULATE
00000001e51cf25c (__TEXT,__text) non-external _gleStateProgram_RGB_REPLACE
00000001e51ce840 (__TEXT,__text) non-external _gleStateProgram_TextureSampleOp
00000001e51b9f4c (__TEXT,__text) non-external _gleVStateProgram_AddAttribs
00000001e51b6060 (__TEXT,__text) non-external _gleVStateProgram_AddPPStreamOperation
00000001e51ba274 (__TEXT,__text) non-external _gleVStateProgram_AddParams
00000001e51babd4 (__TEXT,__text) non-external _gleVStateProgram_AllocateOutputs
00000001e51b606c (__TEXT,__text) non-external _gleVStateProgram_Core
00000001e51bae08 (__TEXT,__text) non-external _gleVStateProgram_GetAttrib
00000001e51babd0 (__TEXT,__text) non-external _gleVStateProgram_IgnoreOption
00000001e51bae04 (__TEXT,__text) non-external _gleVStateProgram_LLVMAddOperation
00000001e51baec4 (__TEXT,__text) non-external _gleVStateProgram_LightingStage
00000001e51c93c0 (__TEXT,__text) non-external _gleVStateProgram_MultMatrix3x3
00000001e51c88cc (__TEXT,__text) non-external _gleVStateProgram_MultMatrix4x4
00000001e51c993c (__TEXT,__text) non-external _gleVStateProgram_NormalizeVector
                 (undefined) external _glgConvertPixelWidthToBlocks (from libGLImage)
                 (undefined) external _glgConvertType (from libGLImage)
                 (undefined) external _glgGetCompressedBlockBytes (from libGLImage)
                 (undefined) external _glgGetCompressedBlockHeight (from libGLImage)
                 (undefined) external _glgGetCompressedImageBytes (from libGLImage)
                 (undefined) external _glgGetPixelSize (from libGLImage)
                 (undefined) external _glgProcessPixelsWithProcessor (from libGLImage)
00000001e5103400 (__TEXT,__text) non-external (was a private external) _glpABIGetArrayStrideForElementType
00000001e51033e0 (__TEXT,__text) non-external (was a private external) _glpABIGetMatrixStride
00000001e5103438 (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumBufferBytesForType
00000001e5103420 (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumStructAlignment
00000001e5103488 (__TEXT,__text) non-external (was a private external) _glpABIGetStructTypeRangeOfField
00000001e51033c0 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeAlign
00000001e51033a0 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeSize
00000001e5104654 (__TEXT,__text) non-external (was a private external) _glpASTMergeInitContext
00000001e5104894 (__TEXT,__text) non-external (was a private external) _glpASTMergePhase1AddTopLevelNode
00000001e5104fa0 (__TEXT,__text) non-external (was a private external) _glpASTMergePhase2
00000001e515d3ac (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChild
00000001e515d398 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChildCount
00000001e515d430 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetKind
00000001e515d448 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetLocation
00000001e515d428 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaFlags
00000001e515d420 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaType
00000001e515d3a0 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetChild
00000001e515d45c (__TEXT,__text) non-external (was a private external) _glpASTNodeSetLocation
00000001e515d438 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaFlags
00000001e515d440 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaType
00000001e512e038 (__TEXT,__text) non-external (was a private external) _glpAddExtensionDefines
00000002176b07f0 (__DATA_CONST,__const) non-external _glpAddExtensionDefines.builtinDefines
00000001e5122f8c (__TEXT,__text) non-external _glpAddGep
00000001e51453d4 (__TEXT,__text) non-external (was a private external) _glpAddOffsetIfNeeded
00000001e51515b0 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementCount
00000001e51515d4 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementFlags
00000001e51515e0 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementLayout
00000001e51515c8 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementType
00000001e51522d8 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeMangleName
00000001e5103384 (__TEXT,__text) non-external (was a private external) _glpAlignTypeSize
00000001e5153184 (__TEXT,__text) non-external (was a private external) _glpAnalyzeBinaryMathOp
00000001e5147ac8 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToFunction
00000001e5146dd8 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToOverload
00000001e5147bac (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToSubroutineArray
00000001e5152df0 (__TEXT,__text) non-external (was a private external) _glpAnalyzeUnaryMathOp
00000001e512bdd4 (__TEXT,__text) non-external (was a private external) _glpAppendFlagDescription
00000001e5156b1c (__TEXT,__text) non-external (was a private external) _glpAppendValueDescriptionToStringBuffer
00000001e512c6d8 (__TEXT,__text) non-external (was a private external) _glpAppendVariableObjectDescription
00000001e514a2a4 (__TEXT,__text) non-external (was a private external) _glpApplySizeToBanks
00000001e5104634 (__TEXT,__text) non-external (was a private external) _glpArchiveFileFinishEntryNamed
00000001e51045a0 (__TEXT,__text) non-external (was a private external) _glpArchiveFileGetEntryNamed
00000001e515da68 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetArray
00000001e515da80 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetElement
00000001e515da74 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetArray
00000001e515da8c (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetElement
00000001e5151cf0 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementCount
00000001e5151750 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementType
00000001e5151758 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetMaxElementCount
00000001e515fb90 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetDimension
00000001e515fb78 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetElementType
00000001e515fb9c (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeSetDimension
00000001e515fb84 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeSetElementType
00000001e515ec74 (__TEXT,__text) non-external (was a private external) _glpAssignNodeGetIsFromSource
00000001e516117c (__TEXT,__text) non-external (was a private external) _glpAvailabilityDeclarationNodeSetExpr
00000001e512d2a8 (__TEXT,__text) non-external (was a private external) _glpBankForInputsInLanguage
00000001e512d2d4 (__TEXT,__text) non-external (was a private external) _glpBankForOutputsInLanguage
00000001e51517b8 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetBank
00000001e51517c8 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetElementCount
00000001e51517c0 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetElementType
00000001e515d254 (__TEXT,__text) non-external (was a private external) _glpBaseSizeOfNodeKind
00000001e515d4b0 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeGetLhs
00000001e515d4c8 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeGetRhs
00000001e515d4bc (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeSetLhs
00000001e515d4d4 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeSetRhs
00000001e5152f04 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorStringToSymbol
00000001e5160854 (__TEXT,__text) non-external (was a private external) _glpBlockNodeAddStatement
00000001e5160824 (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetNeedsNewScope
00000001e516083c (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetStatement
00000001e5160834 (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetStatementCount
00000001e516085c (__TEXT,__text) non-external (was a private external) _glpBlockNodeInsertStatement
00000001e516082c (__TEXT,__text) non-external (was a private external) _glpBlockNodeSetNeedsNewScope
00000001e5160848 (__TEXT,__text) non-external (was a private external) _glpBlockNodeSetStatement
00000001e512cfe4 (__TEXT,__text) non-external (was a private external) _glpBufferObjectGetMinimumBufferSize
00000001e511cd9c (__TEXT,__text) non-external _glpBuildAlloca
00000001e512581c (__TEXT,__text) non-external _glpBuildArrayElementPtr
00000001e5125d48 (__TEXT,__text) non-external _glpBuildArrayElementPtrCst
00000001e511d928 (__TEXT,__text) non-external _glpBuildConstantIntVector
00000001e5121930 (__TEXT,__text) non-external _glpBuildGetLODOperation
00000001e5121cf0 (__TEXT,__text) non-external _glpBuildInterpolateAt
00000001e511f57c (__TEXT,__text) non-external _glpBuildTextureOperation
00000001e5120d40 (__TEXT,__text) non-external _glpBuildTextureSizeOperation
00000001e5122bdc (__TEXT,__text) non-external _glpBuildUniformElementPtr
000000021a9a19e4 (__DATA,__common) non-external (was a private external) _glpBuiltInConstantValues
000000021a9a19e0 (__DATA,__common) non-external (was a private external) _glpBuiltInConstantsInitialized
00000001e5106c34 (__TEXT,__text) non-external _glpCGAssign
00000001e5106b00 (__TEXT,__text) non-external _glpCGBitwiseNot
00000001e5107728 (__TEXT,__text) non-external _glpCGBlock
00000001e5107d48 (__TEXT,__text) non-external _glpCGBreakStatement
00000001e5107c60 (__TEXT,__text) non-external _glpCGCaseStatement
00000001e51072f0 (__TEXT,__text) non-external _glpCGCommaExpr
00000001e5106458 (__TEXT,__text) non-external _glpCGConstant
00000001e5107dc8 (__TEXT,__text) non-external _glpCGContinueStatement
00000001e5107cf4 (__TEXT,__text) non-external _glpCGDefaultStatement
00000001e5107578 (__TEXT,__text) non-external _glpCGFunctionDefinition
00000001e5107420 (__TEXT,__text) non-external _glpCGFunctionPrototype
00000001e5107798 (__TEXT,__text) non-external _glpCGIfStatement
00000001e51076bc (__TEXT,__text) non-external _glpCGInterfaceBlock
00000001e51080cc (__TEXT,__text) non-external _glpCGLValue
00000001e51069cc (__TEXT,__text) non-external _glpCGLogicalNot
00000001e5107924 (__TEXT,__text) non-external _glpCGLoopStatement
00000001e5106984 (__TEXT,__text) non-external _glpCGNegate
00000001e5105c7c (__TEXT,__text) non-external _glpCGNode
00000001e5106500 (__TEXT,__text) non-external _glpCGPPStreamOpNode
00000001e510736c (__TEXT,__text) non-external _glpCGParameterDeclaration
00000001e5108174 (__TEXT,__text) non-external _glpCGRValue
00000001e5107eb0 (__TEXT,__text) non-external _glpCGRawCallNode
00000001e5107e48 (__TEXT,__text) non-external _glpCGReturnStatement
00000001e5107f34 (__TEXT,__text) non-external _glpCGSubroutineRawCallNode
00000001e510681c (__TEXT,__text) non-external _glpCGSubroutineUniformNode
00000001e5107ae8 (__TEXT,__text) non-external _glpCGSwitchStatement
00000001e5121f0c (__TEXT,__text) non-external _glpCGSwizzle
00000001e5105960 (__TEXT,__text) non-external (was a private external) _glpCGTopLevel
00000001e5106334 (__TEXT,__text) non-external _glpCGTypeConversion
00000001e51074b0 (__TEXT,__text) non-external _glpCGVariableDeclaration
00000001e5107508 (__TEXT,__text) non-external _glpCGVariableDeclarationGroup
00000001e51962c4 (__TEXT,__text) non-external (was a private external) _glpCPPErrorToInfoLog
00000001e51961f4 (__TEXT,__text) non-external (was a private external) _glpCPPShInfoLogMsg
00000001e519612c (__TEXT,__text) non-external (was a private external) _glpCPPWarningToInfoLog
00000001e5141c38 (__TEXT,__text) non-external (was a private external) _glpCalculateCallPrecision
00000001e51c9bf8 (__TEXT,__text) external _glpCallFragmentStateToLLVMIR
00000001e515d500 (__TEXT,__text) non-external (was a private external) _glpCallNodeAddArg
00000001e515d4e8 (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArg
00000001e515d4e0 (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArgCount
00000001e515d508 (__TEXT,__text) non-external (was a private external) _glpCallNodeInsertArg
00000001e515d4f4 (__TEXT,__text) non-external (was a private external) _glpCallNodeSetArg
00000001e51b59c8 (__TEXT,__text) external _glpCallVertexStateToLLVMIR
00000001e5147c84 (__TEXT,__text) non-external (was a private external) _glpCanConvert
00000001e5160c90 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetConstValue
00000001e5160c80 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetIsStray
00000001e5160c9c (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetConstValue
00000001e5160c88 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetIsStray
00000001e5153454 (__TEXT,__text) non-external (was a private external) _glpCheckAndSanitizeConstructorCall
00000001e51463f4 (__TEXT,__text) non-external (was a private external) _glpCheckArrayIndex
00000001e5181938 (__TEXT,__text) non-external (was a private external) _glpCheckBarrier
00000001e51454f8 (__TEXT,__text) non-external (was a private external) _glpCheckIBDeref
00000001e5148e74 (__TEXT,__text) non-external (was a private external) _glpCheckName
00000001e5133afc (__TEXT,__text) non-external (was a private external) _glpCleanUpLinkedProgram
00000001e515ee90 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeAddExpr
00000001e515ee24 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeClearExprs
00000001e515ee78 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExpr
00000001e515ee70 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExprCount
00000001e515ee1c (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetIsFromSource
00000001e515ee98 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeInsertExpr
00000001e515ee84 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeSetExpr
00000001e5149a8c (__TEXT,__text) non-external (was a private external) _glpCommaResult
00000001e5156974 (__TEXT,__text) non-external (was a private external) _glpCompareValues
00000001e51304cc (__TEXT,__text) non-external (was a private external) _glpCompileShader
00000001e512addc (__TEXT,__text) non-external (was a private external) _glpCompilerAllOutputsAreInvariant
00000001e512afd4 (__TEXT,__text) non-external (was a private external) _glpCompilerApplyImplictRulesForGlobalTypeQualifier
00000001e512b4a4 (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTrackPrecision
00000001e512b4cc (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTypeRequirePrecision
00000001e512b2c0 (__TEXT,__text) non-external (was a private external) _glpCompilerForceAllOutputsToBeInvariant
00000001e512ab3c (__TEXT,__text) non-external (was a private external) _glpCompilerGetAllocator
00000001e512a288 (__TEXT,__text) non-external (was a private external) _glpCompilerGetGLProfile
00000001e512b658 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImmediateSAContext
00000001e512b41c (__TEXT,__text) non-external (was a private external) _glpCompilerGetImplicitConversionPolicy
00000001e512b170 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImpliedBankSize
00000001e512a298 (__TEXT,__text) non-external (was a private external) _glpCompilerGetInfoLog
00000001e512b250 (__TEXT,__text) non-external (was a private external) _glpCompilerGetIntConstant
00000001e512afc4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetLanguage
00000001e512afbc (__TEXT,__text) non-external (was a private external) _glpCompilerGetNameTable
00000001e512a290 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOSXVersion
00000001e512a280 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOptions
00000001e512b2d4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetSubroutineType
00000001e512afcc (__TEXT,__text) non-external (was a private external) _glpCompilerGetTopLevelNode
00000001e512b248 (__TEXT,__text) non-external (was a private external) _glpCompilerGetValueHash
00000001e512adc4 (__TEXT,__text) non-external (was a private external) _glpCompilerInsertDef
00000001e512aecc (__TEXT,__text) non-external (was a private external) _glpCompilerNewTempName
00000001e512ab34 (__TEXT,__text) non-external (was a private external) _glpCompilerPoolAlloc
00000001e512b648 (__TEXT,__text) non-external (was a private external) _glpCompilerPopSAContext
00000001e512b574 (__TEXT,__text) non-external (was a private external) _glpCompilerPushSAContext
00000001e512a2a0 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapObject
00000001e512aec4 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapValue
00000001e512b56c (__TEXT,__text) non-external (was a private external) _glpCompilerRequiresOutputPoints
00000001e512b564 (__TEXT,__text) non-external (was a private external) _glpCompilerSetRequiresOutputPoints
00000001e512b2cc (__TEXT,__text) non-external (was a private external) _glpCompilerUsingStyleGuide
00000001e5181e84 (__TEXT,__text) non-external (was a private external) _glpConstantFold
00000001e515d9ac (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetType
00000001e515d9b4 (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetValue
00000001e515d9bc (__TEXT,__text) non-external (was a private external) _glpConstantNodeSetValue
00000001e5181bd4 (__TEXT,__text) non-external (was a private external) _glpConstantValueFromDecomposedInitializer
00000001e515ded4 (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeGetType
00000001e515dee4 (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeSetType
00000001e5146730 (__TEXT,__text) non-external (was a private external) _glpConvert
00000001e5133498 (__TEXT,__text) non-external _glpCopyContextState
00000001e512e384 (__TEXT,__text) non-external (was a private external) _glpCopyLayoutObject
00000001e5150b80 (__TEXT,__text) non-external (was a private external) _glpCopyString
00000001e51568d4 (__TEXT,__text) non-external (was a private external) _glpCopyValue
00000001e515691c (__TEXT,__text) non-external (was a private external) _glpCopyValueInto
00000001e5185990 (__TEXT,__text) non-external _glpCopyValueIntoWithSwizzle
00000001e5101a50 (__TEXT,__text) non-external (was a private external) _glpCreateDoublesTelemetry
