00000002602e986c (__TEXT,__text) non-external _Done_iODBC
00000002727b71f0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00000002727b6708 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00000002727b6310 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00000002727b6728 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00000002727b63d8 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00000002727b63f8 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00000002727b64a8 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00000002727b67a8 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00000002727b6758 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00000002727b6110 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000026030141c (__TEXT,__text) non-external __trace_bufferlen
0000000260300adc (__TEXT,__text) non-external __trace_c_type
00000002602fd700 (__TEXT,__text) non-external __trace_colattr2_type
00000002602fdab8 (__TEXT,__text) non-external __trace_colattr3_data
00000002602fd760 (__TEXT,__text) non-external __trace_colattr3_type
00000002602f977c (__TEXT,__text) non-external __trace_connattr_type
0000000260301778 (__TEXT,__text) non-external __trace_connopt_type
00000002603039f0 (__TEXT,__text) non-external __trace_connstr
0000000260303d20 (__TEXT,__text) non-external __trace_connstr_hidepwd
0000000260303c58 (__TEXT,__text) non-external __trace_connstr_w
0000000260302bf0 (__TEXT,__text) non-external __trace_data
00000002602f9a78 (__TEXT,__text) non-external __trace_desc_null
00000002602fcfc4 (__TEXT,__text) non-external __trace_descfield_type
0000000260302868 (__TEXT,__text) non-external __trace_diag_type
00000002602ff3a4 (__TEXT,__text) non-external __trace_direction
0000000260303af8 (__TEXT,__text) non-external __trace_drvcn_completion
00000002602fa494 (__TEXT,__text) non-external __trace_envattr_type
00000002602fad48 (__TEXT,__text) non-external __trace_fetchtype
00000002603042f4 (__TEXT,__text) non-external __trace_freestmt_option
00000002602fe9d8 (__TEXT,__text) non-external __trace_func_name
00000002602fe90c (__TEXT,__text) non-external __trace_func_result
00000002602fafe4 (__TEXT,__text) non-external __trace_getinfo
00000002603003f4 (__TEXT,__text) non-external __trace_handle
0000000260300380 (__TEXT,__text) non-external __trace_handle_p
0000000260300320 (__TEXT,__text) non-external __trace_handletype
0000000260300e54 (__TEXT,__text) non-external __trace_inouttype
00000002603004b8 (__TEXT,__text) non-external __trace_integer
0000000260300658 (__TEXT,__text) non-external __trace_integer_p
000000026030078c (__TEXT,__text) non-external __trace_len
00000002603007f4 (__TEXT,__text) non-external __trace_len_p
0000000260300528 (__TEXT,__text) non-external __trace_pointer
0000000260300130 (__TEXT,__text) non-external __trace_print_function
00000002602fae58 (__TEXT,__text) non-external __trace_scrollopt_type
00000002602fab68 (__TEXT,__text) non-external __trace_setpos_irow
00000002602fac00 (__TEXT,__text) non-external __trace_setpos_lock
00000002602faba0 (__TEXT,__text) non-external __trace_setpos_oper
0000000260300448 (__TEXT,__text) non-external __trace_smallint
0000000260300570 (__TEXT,__text) non-external __trace_smallint_p
00000002602fa794 (__TEXT,__text) non-external __trace_spcols_null
00000002602fa734 (__TEXT,__text) non-external __trace_spcols_scope
00000002602fa6d0 (__TEXT,__text) non-external __trace_spcols_type
0000000260301338 (__TEXT,__text) non-external __trace_sql_subtype
0000000260300eb4 (__TEXT,__text) non-external __trace_sql_type
00000002603010d8 (__TEXT,__text) non-external __trace_sql_type_p
0000000260303fb0 (__TEXT,__text) non-external __trace_stats_accuracy
0000000260303f4c (__TEXT,__text) non-external __trace_stats_unique
0000000260301b44 (__TEXT,__text) non-external __trace_stmtattr_type
00000002603024a8 (__TEXT,__text) non-external __trace_stmtopt_type
00000002603008dc (__TEXT,__text) non-external __trace_string
00000002603009c0 (__TEXT,__text) non-external __trace_string_w
0000000260300740 (__TEXT,__text) non-external __trace_stringlen
00000002727b72f0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00000002603032e0 (__TEXT,__text) non-external __trace_tran_completion
0000000260303624 (__TEXT,__text) non-external __trace_typeinfo
00000002603004f0 (__TEXT,__text) non-external __trace_uinteger
00000002603006cc (__TEXT,__text) non-external __trace_uinteger_p
00000002603007c0 (__TEXT,__text) non-external __trace_ulen
0000000260300868 (__TEXT,__text) non-external __trace_ulen_p
0000000260300480 (__TEXT,__text) non-external __trace_usmallint
00000002603005e4 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _close (from libSystem)
00000002774ff4da (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
0000000260305308 (__TEXT,__text) non-external _dm_SQL_A2W
0000000260305880 (__TEXT,__text) non-external _dm_SQL_U8toW
0000000260305284 (__TEXT,__text) non-external _dm_SQL_W2A
00000002603055c4 (__TEXT,__text) non-external _dm_SQL_WtoU8
0000000260305394 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
0000000260305abc (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
0000000260305450 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000026030550c (__TEXT,__text) non-external _dm_strcpy_A2W
0000000260305568 (__TEXT,__text) non-external _dm_strcpy_W2A
0000000260306fb0 (__TEXT,__text) non-external _do_create_dsns
00000002774ff498 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00000002774ff478 (__DATA,__common) non-external _ierror
0000000260307104 (__TEXT,__text) non-external _install_from_ini
00000002603075e0 (__TEXT,__text) non-external _install_from_string
00000002774feee0 (__DATA,__data) external _iodbc_version
00000002774ff3b8 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00000002774ff400 (__DATA,__data) non-external _numerrors
00000002774feee8 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00000002774ff408 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00000002603077dc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00000002727b5580 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00000002774ff448 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00000002602fc874 (__TEXT,__text) non-external _trace_SQLAllocConnect
00000002603016ac (__TEXT,__text) non-external _trace_SQLAllocEnv
00000002602fd530 (__TEXT,__text) non-external _trace_SQLAllocHandle
00000002602ff2a0 (__TEXT,__text) non-external _trace_SQLAllocStmt
00000002602fd480 (__TEXT,__text) non-external _trace_SQLBindCol
00000002602fe164 (__TEXT,__text) non-external _trace_SQLBindParameter
00000002603014fc (__TEXT,__text) non-external _trace_SQLBrowseConnect
00000002603015d4 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00000002602fa634 (__TEXT,__text) non-external _trace_SQLBulkOperations
0000000260302b40 (__TEXT,__text) non-external _trace_SQLCancel
00000002602ff35c (__TEXT,__text) non-external _trace_SQLCloseCursor
00000002602fd9f8 (__TEXT,__text) non-external _trace_SQLColAttribute
00000002602fdeb8 (__TEXT,__text) non-external _trace_SQLColAttributeW
00000002602fdf78 (__TEXT,__text) non-external _trace_SQLColAttributes
00000002602fe044 (__TEXT,__text) non-external _trace_SQLColAttributesW
0000000260302630 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000026030274c (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00000002602fc96c (__TEXT,__text) non-external _trace_SQLColumns
00000002602fca88 (__TEXT,__text) non-external _trace_SQLColumnsW
0000000260301f18 (__TEXT,__text) non-external _trace_SQLConnect
0000000260302004 (__TEXT,__text) non-external _trace_SQLConnectW
00000002602facf0 (__TEXT,__text) non-external _trace_SQLCopyDesc
00000002602ff430 (__TEXT,__text) non-external _trace_SQLDataSources
00000002602ff530 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00000002602f9b0c (__TEXT,__text) non-external _trace_SQLDescribeCol
00000002602f9c18 (__TEXT,__text) non-external _trace_SQLDescribeColW
0000000260302570 (__TEXT,__text) non-external _trace_SQLDescribeParam
00000002602ff314 (__TEXT,__text) non-external _trace_SQLDisconnect
00000002603038f0 (__TEXT,__text) non-external _trace_SQLDriverConnect
0000000260303b58 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00000002602fe434 (__TEXT,__text) non-external _trace_SQLDrivers
00000002602fe534 (__TEXT,__text) non-external _trace_SQLDriversW
00000002602fc80c (__TEXT,__text) non-external _trace_SQLEndTran
00000002602f9f94 (__TEXT,__text) non-external _trace_SQLError
00000002602fa094 (__TEXT,__text) non-external _trace_SQLErrorW
00000002602ff03c (__TEXT,__text) non-external _trace_SQLExecDirect
00000002602ff0c0 (__TEXT,__text) non-external _trace_SQLExecDirectW
00000002602fa688 (__TEXT,__text) non-external _trace_SQLExecute
00000002602fadb0 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00000002602ff738 (__TEXT,__text) non-external _trace_SQLFetch
0000000260301710 (__TEXT,__text) non-external _trace_SQLFetchScroll
00000002603020f0 (__TEXT,__text) non-external _trace_SQLForeignKeys
0000000260302270 (__TEXT,__text) non-external _trace_SQLForeignKeysW
0000000260302460 (__TEXT,__text) non-external _trace_SQLFreeConnect
00000002602fab20 (__TEXT,__text) non-external _trace_SQLFreeEnv
00000002602fc7b8 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000026030434c (__TEXT,__text) non-external _trace_SQLFreeStmt
00000002602f9930 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00000002602f99d4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00000002603019a4 (__TEXT,__text) non-external _trace_SQLGetConnectOption
0000000260301a0c (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00000002602fd5b8 (__TEXT,__text) non-external _trace_SQLGetCursorName
00000002602fd65c (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00000002603031d4 (__TEXT,__text) non-external _trace_SQLGetData
00000002602fd320 (__TEXT,__text) non-external _trace_SQLGetDescField
00000002602fd3d0 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00000002602f9d24 (__TEXT,__text) non-external _trace_SQLGetDescRec
00000002602f9e5c (__TEXT,__text) non-external _trace_SQLGetDescRecW
00000002603029cc (__TEXT,__text) non-external _trace_SQLGetDiagField
0000000260302a90 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00000002602fa2a4 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00000002602fa39c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00000002602fa520 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00000002602fefc4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00000002602faf34 (__TEXT,__text) non-external _trace_SQLGetInfo
00000002602fc468 (__TEXT,__text) non-external _trace_SQLGetInfoW
0000000260301de4 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
0000000260301e88 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
0000000260302508 (__TEXT,__text) non-external _trace_SQLGetStmtOption
0000000260303848 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000026030389c (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
0000000260303298 (__TEXT,__text) non-external _trace_SQLMoreResults
00000002602fcdec (__TEXT,__text) non-external _trace_SQLNativeSql
00000002602fced8 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00000002602fcba4 (__TEXT,__text) non-external _trace_SQLNumParams
00000002603023f0 (__TEXT,__text) non-external _trace_SQLNumResultCols
00000002602fe110 (__TEXT,__text) non-external _trace_SQLParamData
00000002602fc8e8 (__TEXT,__text) non-external _trace_SQLParamOptions
00000002603043a0 (__TEXT,__text) non-external _trace_SQLPrepare
0000000260304424 (__TEXT,__text) non-external _trace_SQLPrepareW
00000002602fe634 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00000002602fe720 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00000002602fc518 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00000002602fc634 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00000002602fe25c (__TEXT,__text) non-external _trace_SQLProcedures
00000002602fe348 (__TEXT,__text) non-external _trace_SQLProceduresW
0000000260302b88 (__TEXT,__text) non-external _trace_SQLPutData
00000002602fa5c4 (__TEXT,__text) non-external _trace_SQLRowCount
0000000260303e64 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
0000000260303ed8 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
0000000260301a74 (__TEXT,__text) non-external _trace_SQLSetConnectOption
0000000260301adc (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00000002602ff630 (__TEXT,__text) non-external _trace_SQLSetCursorName
00000002602ff6b4 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00000002602fa194 (__TEXT,__text) non-external _trace_SQLSetDescField
00000002602fa21c (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00000002602fe80c (__TEXT,__text) non-external _trace_SQLSetDescRec
00000002602ff144 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00000002602fac60 (__TEXT,__text) non-external _trace_SQLSetPos
00000002602faec0 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00000002602ff1b8 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00000002602ff22c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00000002602fc750 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00000002602fa7f8 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00000002602fa98c (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
0000000260304014 (__TEXT,__text) non-external _trace_SQLStatistics
0000000260304184 (__TEXT,__text) non-external _trace_SQLStatisticsW
00000002602fcc14 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00000002602fcd00 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00000002603033ec (__TEXT,__text) non-external _trace_SQLTables
0000000260303508 (__TEXT,__text) non-external _trace_SQLTablesW
0000000260303344 (__TEXT,__text) non-external _trace_SQLTransact
00000002774ff438 (__DATA,__bss) non-external _trace_appname
00000002602ffcf0 (__TEXT,__text) non-external _trace_emit
00000002602fff80 (__TEXT,__text) non-external _trace_emit_binary
00000002602ffd54 (__TEXT,__text) non-external _trace_emit_string
00000002602ffd38 (__TEXT,__text) non-external _trace_emitc
00000002774ff440 (__DATA,__bss) non-external _trace_fname
00000002774ff458 (__DATA,__bss) non-external _trace_fp
00000002774ff460 (__DATA,__bss) non-external _trace_fp_close
00000002602ff7bc (__TEXT,__text) non-external _trace_get_filename
00000002602ff780 (__TEXT,__text) non-external _trace_set_appname
00000002602ff7c8 (__TEXT,__text) non-external _trace_set_filename
00000002602ffa98 (__TEXT,__text) non-external _trace_start
00000002602ffc3c (__TEXT,__text) non-external _trace_stop
00000002602ffa20 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
0000000260305a40 (__TEXT,__text) non-external _utf8_len
0000000260305b60 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00000002774ff4d8 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
