00007ffc411a2058 (__DATA,__bss) non-external _A
00007ffc0ddce9d5 (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffc0ddda087 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffc0ddcea5a (__TEXT,__text) external _cmark_strbuf_detach
00007ffc0ddceb7d (__TEXT,__text) external _cmark_strbuf_drop
00007ffc0ddce828 (__TEXT,__text) external _cmark_strbuf_free
00007ffc0ddce7be (__TEXT,__text) external _cmark_strbuf_grow
00007ffc0ddda040 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffc0ddda061 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffc0ddce793 (__TEXT,__text) external _cmark_strbuf_init
00007ffc0ddce81f (__TEXT,__text) external _cmark_strbuf_len
00007ffc0ddcec62 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffc0ddce95b (__TEXT,__text) external _cmark_strbuf_put
00007ffc0ddce922 (__TEXT,__text) external _cmark_strbuf_putc
00007ffc0ddce9af (__TEXT,__text) external _cmark_strbuf_puts
00007ffc0ddcebc5 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffc0ddce878 (__TEXT,__text) external _cmark_strbuf_set
00007ffc0ddce8f2 (__TEXT,__text) external _cmark_strbuf_sets
00007ffc0ddceadd (__TEXT,__text) external _cmark_strbuf_strchr
00007ffc0ddceb1d (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffc0ddcea28 (__TEXT,__text) external _cmark_strbuf_swap
00007ffc0ddcec0d (__TEXT,__text) external _cmark_strbuf_trim
00007ffc0ddceb5e (__TEXT,__text) external _cmark_strbuf_truncate
00007ffc0ddcecf9 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffc0ddc174e (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffc0ddd9f4f (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffc0ddc16b4 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffc0ddc1849 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffc0ddc16f9 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffc0ddc17cb (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffc0ddc186d (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffc0ddc17df (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffc0ddc17d5 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffc0ddc1783 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffc0ddc17c1 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffc0ddc1821 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffc0ddc1814 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffc0ddc17ad (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffc0ddc17f3 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffc0ddc1807 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffc0ddc179a (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffc0ddc17a3 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffc0ddc1853 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffc0ddc1860 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffc0ddc1790 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffc0ddc17e9 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffc0ddc182e (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffc0ddc183b (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffc0ddc17b7 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffc0ddc17fd (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffc0ddce45c (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffc0ddb65ed (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffc0ddb61b0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffc0ddb64e8 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffc0ddd9e74 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffc0ddbe0da (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffc0ddbe080 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffc0ddb63aa (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffc0ddbf946 (__TEXT,__text) external _cmark_version
00007ffc0ddbf951 (__TEXT,__text) external _cmark_version_string
00007ffc0ddc0ee6 (__TEXT,__text) non-external _commonmark_render
00007ffc0ddc38ec (__TEXT,__text) non-external _commonmark_render
00007ffc0ddd86e2 (__TEXT,__text) non-external _commonmark_render
00007ffc0ddda907 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffc0ddd86cd (__TEXT,__text) non-external _contains_inlines
00007ffc0ddce4ae (__TEXT,__text) non-external _core_extensions_registration
00007ffc0ddc187a (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffc0ddc37c9 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffc0ddd7b94 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffc0ddd9d64 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffc0ddc0d28 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffc411a1ec8 (__DATA,__bss) non-external _enable_safety_checks
00007ffc0dddabb0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffc0ddd9314 (__TEXT,__text) non-external _escape
00007ffc411a1e40 (__DATA,__bss) non-external _extensions_lock
00007ffc411a1cc0 (__DATA,__data) non-external _extensions_once
00007ffc0ddd9d92 (__TEXT,__text) non-external _filter
00007ffc0ddd0f59 (__TEXT,__text) non-external _finalize
00007ffc0ddda1bf (__TEXT,__text) non-external _finalize.cold.1
00007ffc0ddda1e2 (__TEXT,__text) non-external _finalize.cold.2
00007ffc0ddce420 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffc0ddd18eb (__TEXT,__text) non-external _free_node_as
00007ffc0ddd9969 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffc0ddd99d0 (__TEXT,__text) non-external _get_cell_alignment
00007ffc0ddc4b5b (__TEXT,__text) non-external _get_link_type
00007ffc0ddc0e21 (__TEXT,__text) non-external _get_type_string
00007ffc0ddc38ab (__TEXT,__text) non-external _get_type_string
00007ffc0ddd8605 (__TEXT,__text) non-external _get_type_string
00007ffc0ddd70c4 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffc0dddd7a0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffc0ddbf931 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffc0ddbf810 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffc0ddd71de (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffc0ddd7450 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffc0ddd757a (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffc0ddc0f56 (__TEXT,__text) non-external _html_render
00007ffc0ddc3991 (__TEXT,__text) non-external _html_render
00007ffc0ddd8cd2 (__TEXT,__text) non-external _html_render
00007ffc0ddda970 (__TEXT,__text) non-external _html_render.cold.1
00007ffc0ddd9a14 (__TEXT,__text) non-external _html_table_add_align
00007ffc0ddd9d1b (__TEXT,__text) non-external _init_arena
00007ffc0ddd9d08 (__TEXT,__text) non-external _initialize_arena
00007ffc0ddc293c (__TEXT,__text) non-external _initialize_extensions
00007ffc0ddd2ccc (__TEXT,__text) non-external _initialize_nextflag
00007ffc0ddd2cb9 (__TEXT,__text) non-external _initialize_safety
00007ffc0ddc3b13 (__TEXT,__text) non-external _insert
00007ffc0ddc26b3 (__TEXT,__text) non-external _is_valid_hostchar
00007ffc0ddc390d (__TEXT,__text) non-external _latex_render
00007ffc0ddd8908 (__TEXT,__text) non-external _latex_render
00007ffc0ddda92a (__TEXT,__text) non-external _latex_render.cold.1
00007ffc0ddd5db9 (__TEXT,__text) non-external _link_label
00007ffc0ddda670 (__TEXT,__text) non-external _link_label.cold.1
00007ffc0ddda693 (__TEXT,__text) non-external _link_label.cold.2
00007ffc0ddda6b6 (__TEXT,__text) non-external _link_label.cold.3
00007ffc0ddda6d9 (__TEXT,__text) non-external _link_label.cold.4
00007ffc0ddda6fc (__TEXT,__text) non-external _link_label.cold.5
00007ffc0ddd6888 (__TEXT,__text) non-external _make_autolink
00007ffc0ddda8c1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00007ffc0ddc393c (__TEXT,__text) non-external _man_render
00007ffc0ddd8b65 (__TEXT,__text) non-external _man_render
00007ffc0ddda94d (__TEXT,__text) non-external _man_render.cold.1
00007ffc0ddd6060 (__TEXT,__text) non-external _manual_scan_link_url
00007ffc0ddc18e8 (__TEXT,__text) non-external _match
00007ffc0ddc39d4 (__TEXT,__text) non-external _match
00007ffc0ddc0dbd (__TEXT,__text) non-external _matches
00007ffc0ddd7cb6 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc411a1ed0 (__DATA,__bss) non-external _nextflag_lock
00007ffc411a1cf0 (__DATA,__data) non-external _nextflag_once
00007ffc0ddce513 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffc0ddda01f (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffc0ddd9275 (__TEXT,__text) non-external _opaque_alloc
00007ffc0ddd92c1 (__TEXT,__text) non-external _opaque_free
00007ffc0ddc0e2e (__TEXT,__text) non-external _open_tasklist_item
00007ffc0ddbe89f (__TEXT,__text) non-external _outc
00007ffc0ddc4126 (__TEXT,__text) non-external _outc
00007ffc0ddd760f (__TEXT,__text) non-external _outc
00007ffc0ddc39b3 (__TEXT,__text) non-external _plaintext_render
00007ffc0ddc1d45 (__TEXT,__text) non-external _postprocess
00007ffc0ddd9f70 (__TEXT,__text) non-external _postprocess.cold.1
00007ffc0ddd9f93 (__TEXT,__text) non-external _postprocess.cold.2
00007ffc0ddd54cc (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffc0ddd67a4 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc0ddce769 (__TEXT,__text) non-external _refcmp
00007ffc0ddceeea (__TEXT,__text) non-external _reference_free
00007ffc0ddce6e4 (__TEXT,__text) non-external _refsearch
00007ffc0ddce49d (__TEXT,__text) non-external _register_plugins
00007ffc411a1cd0 (__DATA,__data) non-external _registered_once
00007ffc0dddabc0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffc0ddd5a73 (__TEXT,__text) non-external _remove_delimiter
00007ffc0ddda558 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffc0ddd130c (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffc0ddd9519 (__TEXT,__text) non-external _row_from_string
00007ffc411a1e88 (__DATA,__bss) non-external _safety_lock
00007ffc411a1ce0 (__DATA,__data) non-external _safety_once
00007ffc41199740 (__DATA,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffc0ddd146f (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffc0ddd5f82 (__TEXT,__text) non-external _spnl
00007ffc0ddda71d (__TEXT,__text) non-external _spnl.cold.1
00007ffc0ddda740 (__TEXT,__text) non-external _spnl.cold.2
00007ffc0ddda763 (__TEXT,__text) non-external _spnl.cold.3
00007ffc0ddda786 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffc411a1e80 (__DATA,__bss) non-external _syntax_extensions
00007ffc0ddd7d45 (__TEXT,__text) non-external _try_opening_table_block
00007ffc0ddd98c5 (__TEXT,__text) non-external _unescape_pipes
00007ffc0dddaab0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffc0ddc26ec (__TEXT,__text) non-external _validate_protocol
00007ffc0ddbf95e (__TEXT,__text) non-external _xcalloc
00007ffc0ddd9ebb (__TEXT,__text) non-external _xcalloc.cold.1
00007ffc0ddbf990 (__TEXT,__text) non-external _xfree
00007ffc0ddc10ad (__TEXT,__text) non-external _xml_attr
00007ffc0ddd8a9f (__TEXT,__text) non-external _xml_attr
00007ffc0ddbf977 (__TEXT,__text) non-external _xrealloc
00007ffc0ddd9ee0 (__TEXT,__text) non-external _xrealloc.cold.1
