00000002271ed348 (__TEXT,__text) non-external +[CBOR cborFalse]
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
00000002719b6120 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
00000002719b60c8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
00000002719b6138 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
00000002719b6128 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
00000002719b6110 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
00000002719b6108 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_errno (from libswift_errno)
00000002719b60d0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_errno_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_math (from libswift_math)
00000002719b6100 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_math_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_signal (from libswift_signal)
00000002719b60e0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_signal_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_stdio (from libswift_stdio)
00000002719b60e8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_stdio_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_time (from libswift_time)
00000002719b60f0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_time_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
00000002719b6140 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftsys_time (from libswiftsys_time)
00000002719b60d8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftsys_time_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftunistd (from libswiftunistd)
00000002719b60f8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftunistd_$_CBORLibrary
00000002271dae44 (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
00000002271f4f16 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOSHAASQ
00000002271f4f26 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs23CustomStringConvertible
00000002271f4f1e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs28CustomDebugStringConvertible
00000002271f4f84 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC20DateEncodingStrategyOSHAASQ
00000002271f4f7c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyOSHAASQ
00000002271f4f5a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVSHAASQ
00000002271f4f6a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs23CustomStringConvertible
00000002271f4f62 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs28CustomDebugStringConvertible
00000002271f50ae (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLVyxGs013KeyedEncodingD8ProtocolAA0C0sAFP_s06CodingC0
00000002271f4e24 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLVyxGs0c8DecodingD8ProtocolAA3KeysAFP_s06CodingO0
00000002271f4eb0 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance So4CBORC11CBORLibraryE9InitErrorOSHACSQ
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mktime (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_allocWithZone (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000002271fa200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000002271fa220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObjectsFromArray:
00000002271fa240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allKeys
00000002271fa260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendBytes:length:
00000002271fa280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendData:
00000002271fa2a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000002271fa2c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
00000002271fa2e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000002271fa300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
00000002271fa320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asJSON
00000002271fa340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$boolValue
00000002271fa360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
00000002271fa380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cStringUsingEncoding:
00000002271fa3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cachedHash
00000002271fa3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborNil
00000002271fa3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithArray:
00000002271fa400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithData:
00000002271fa420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithDictionary:
00000002271fa440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithEmbeddedCBORData:
00000002271fa460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithInteger:
00000002271fa480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithUTF8String:
00000002271fa4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000002271fa4c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$conformsToProtocol:
00000002271fa4e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$content
00000002271fa500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000002271fa520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000002271fa540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000002271fa560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$data
00000002271fa580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
00000002271fa5a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:
00000002271fa5c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:encodingKeyOrder:
00000002271fa5e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
00000002271fa600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateFromString:
00000002271fa620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:
00000002271fa640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:
00000002271fa660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:keepKeyOrdering:noCopy:
00000002271fa680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType0And1FromBuffer:length:tag:
00000002271fa6a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:
00000002271fa6c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
00000002271fa6e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
00000002271fa700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType6FromBuffer:length:tag:
00000002271fa720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType7FromBuffer:length:tag:
00000002271fa740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$description
00000002271fa760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionary
00000002271fa780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000002271fa7a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$doubleValue
00000002271fa7c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enumerateKeysAndObjectsUsingBlock:
00000002271fa7e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$floatValue
00000002271fa800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000002271fa820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithArray:copyItems:
00000002271fa840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBool:
00000002271fa860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:
00000002271fa880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:encoding:
00000002271fa8a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:encoding:freeWhenDone:
00000002271fa8c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:freeWhenDone:
00000002271fa8e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCBOR:
00000002271fa900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCapacity:
00000002271fa920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithData:
00000002271fa940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDictionary:
00000002271fa960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDouble:
00000002271fa980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFloat:
00000002271fa9a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
00000002271fa9c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithInt:
00000002271fa9e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithLongLong:
00000002271faa00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithObjects:forKeys:
00000002271faa20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithShort:
00000002271faa40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithTimeIntervalSince1970:
00000002271faa60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:value:valueSize:tag:
00000002271faa80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInt:
00000002271faaa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInteger:
00000002271faac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedLongLong:
00000002271faae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedShort:
00000002271fab00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
00000002271fab20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
00000002271fab40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000002271fab60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isWholeNumber
00000002271fab80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
00000002271faba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lengthOfBytesUsingEncoding:
00000002271fabc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localeWithLocaleIdentifier:
00000002271fabe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$longLongValue
00000002271fac00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$mac
00000002271fac20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$null
00000002271fac40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000002271fac60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numeric
00000002271fac80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
00000002271faca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndexedSubscript:
00000002271facc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
00000002271face0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
00000002271fad00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$orderedKeys
00000002271fad20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeaderParameters
00000002271fad40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeadererDictionary
00000002271fad60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDateFormat:
00000002271fad80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setLocale:
00000002271fada0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
00000002271fadc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKeyedSubscript:
00000002271fade0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setOrderedKeys:
00000002271fae00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTag:
00000002271fae20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTimeZone:
00000002271fae40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$signature
00000002271fae60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$sortedArrayUsingComparator:
00000002271fae80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$string
00000002271faea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringFromDate:
00000002271faec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringValue
00000002271faee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
00000002271faf00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tag
00000002271faf20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeZoneForSecondsFromGMT:
00000002271faf40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$type
00000002271faf60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unprotectedHeaderParameters
00000002271faf80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedIntValue
00000002271fafa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedLongLongValue
00000002271fafc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
00000002271fafe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueSize
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _strptime_l (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _swift_allocBox (from libswiftCore)
                 (undefined) external _swift_allocError (from libswiftCore)
                 (undefined) external _swift_allocObject (from libswiftCore)
                 (undefined) external _swift_allocateGenericValueMetadata (from libswiftCore)
                 (undefined) external _swift_arrayInitWithCopy (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeBackToFront (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeFrontToBack (from libswiftCore)
                 (undefined) external _swift_beginAccess (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease_n (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain_n (from libswiftCore)
                 (undefined) external _swift_checkMetadataState (from libswiftCore)
                 (undefined) external _swift_conformsToProtocol2 (from libswiftCore)
                 (undefined) external _swift_deallocClassInstance (from libswiftCore)
                 (undefined) external _swift_deallocObject (from libswiftCore)
                 (undefined) external _swift_deletedMethodError (from libswiftCore)
                 (undefined) external _swift_dynamicCast (from libswiftCore)
                 (undefined) external _swift_dynamicCastClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastMetatype (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClassUnconditional (from libswiftCore)
                 (undefined) external _swift_endAccess (from libswiftCore)
                 (undefined) external _swift_getDynamicType (from libswiftCore)
                 (undefined) external _swift_getForeignTypeMetadata (from libswiftCore)
                 (undefined) external _swift_getGenericMetadata (from libswiftCore)
                 (undefined) external _swift_getMetatypeMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassFromMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassMetadata (from libswiftCore)
                 (undefined) external _swift_getObjectType (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContext2 (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContextInMetadataState2 (from libswiftCore)
                 (undefined) external _swift_getWitnessTable (from libswiftCore)
                 (undefined) external _swift_initStackObject (from libswiftCore)
                 (undefined) external _swift_initStructMetadata (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_bridgeObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_native (from libswiftCore)
                 (undefined) external _swift_lookUpClassMethod (from libswiftCore)
                 (undefined) external _swift_makeBoxUnique (from libswiftCore)
                 (undefined) external _swift_once (from libswiftCore)
                 (undefined) external _swift_release (from libswiftCore)
                 (undefined) external _swift_retain (from libswiftCore)
                 (undefined) external _swift_retain_n (from libswiftCore)
                 (undefined) external _swift_slowAlloc (from libswiftCore)
                 (undefined) external _swift_slowDealloc (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease_n (from libswiftCore)
                 (undefined) external _swift_unknownObjectRetain (from libswiftCore)
                 (undefined) external _swift_weakAssign (from libswiftCore)
                 (undefined) external _swift_weakDestroy (from libswiftCore)
                 (undefined) external _swift_weakInit (from libswiftCore)
                 (undefined) external _swift_weakLoadStrong (from libswiftCore)
                 (undefined) external _swift_willThrow (from libswiftCore)
00000002271f4fd8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary27ExplicitKeyOrderedEncodableP
00000002271f4cf8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary30_CBORDictionaryDecodableMarker33_9AD5FE8BA51478D9E31399B9411E4CF6LLP
00000002271f4cda (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelDecoderP
00000002271f4f92 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelEncoderP
00000002271f4e1e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $sSY
00000002271f4e2c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedDecodingContainerProtocolP
00000002271f50b6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedEncodingContainerProtocolP
00000002271f4db4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySSypG
00000002271f4dfa (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCABG
00000002271f4fc4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCyXlG
00000002271f4d4e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s17CodingUserInfoKeyV
00000002271f5076 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SE_p
00000002271f4cc4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS
00000002271f4dca (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS_ypt
00000002271f4d6c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SaySo4CBORCG
00000002271f4d60 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say______pG s9CodingKeyP
00000002271f5046 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SayyXlG
00000002271f4fd4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Sb
00000002271f4e16 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Si
00000002271f4f54 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SiSg
00000002271f4ece (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So10COSE_Sign1C
00000002271f5094 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC
00000002271f504e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC_Sit
00000002271f4ebe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC
00000002271f4efe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So7COSEKeyC
00000002271f4fb0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So8NSObjectC
00000002271f4eea (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So9COSE_Mac0C
00000002271f4e1a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Su
00000002271f4cce (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 10Foundation4DataV
00000002271f4ec8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V
00000002271f4ede (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV
00000002271f4f10 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
00000002271f4cd4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBORDecoderC
00000002271f4f8c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC
00000002271f500c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC20DateEncodingStrategyO
00000002271f5006 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00000002271f4d5a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBORDecoder33_9AD5FE8BA51478D9E31399B9411E4CF6LLC
00000002271f5024 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBOREncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002271f4e52 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary13CBORCodingKeyV
00000002271f4fbe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002271f4eb8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary18CBORCodableWrapperV
00000002271f502a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary20_CBOREncodingStorage33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002271f503a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002271f5040 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
00000002271f50a8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002271f4df4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00000002271f4d8e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBORDecoderUnkeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00000002271f508e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBOREncoderUnkeyedContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002271f4ef8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary7COSEKeyV
00000002271f4ee4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary9COSE_Mac0V
