00007ff8400abdb0 (__DATA,__data) non-external _C
00007ff800b82e22 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff800bb7bd0 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff800b8c7ab (__TEXT,__text) external ___swbuf
00007ff800b79eee (__TEXT,__text) external ___swhatbuf
00007ff800b7d37e (__TEXT,__text) external ___swrite
00007ff800b8cb76 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff8400acdd8 (__DATA,__data) non-external ___systemfn_mutex
00007ff8400ace40 (__DATA,__data) non-external ___systemfn_mutex
00007ff800bb7400 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff800b50293 (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff800b500a5 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff800b92e6a (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff8400b8a00 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff800bb73d0 (__TEXT,__const) external ___tinytens_D2A
00007ff800b71652 (__TEXT,__text) external ___tolower
00007ff800b71798 (__TEXT,__text) external ___tolower_l
00007ff800b7160e (__TEXT,__text) external ___toupper
00007ff800b71779 (__TEXT,__text) external ___toupper_l
00007ff800b61ebf (__TEXT,__text) external ___trailz_D2A
00007ff800b62cd2 (__TEXT,__text) external ___ulp_D2A
00007ff800b829a0 (__TEXT,__text) non-external ___ultoa
00007ff800b8957b (__TEXT,__text) non-external ___ultoa
00007ff800b7dc8e (__TEXT,__text) external ___ungetc
00007ff800b7de24 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff800b9d15e (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff800bb8190 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff800ba43fc (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff800b7e4cb (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff800bb56e2 (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff800bb7b90 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff800bb7ba0 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff800b85571 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff800bb7c10 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff800bb7c20 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff800b89b7a (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff800bb7d10 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff800bb43ce (__TEXT,__text) external ___vsnprintf_chk
00007ff800bb411a (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff800b7361f (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff800b732dd (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff800b71696 (__TEXT,__text) external ___wcwidth
00007ff800b717b7 (__TEXT,__text) external ___wcwidth_l
00007ff800b727bb (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff8400ac480 (__DATA,__data) external ___xlocale_C_collate
00007ff800b52da8 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff800b52dd5 (__TEXT,__text) non-external ___xlocale_release
00007ff800b53bac (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff800bb46dc (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff8400ac378 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff800ba48e0 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff800ba46d9 (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff800b9d23d (__TEXT,__text) external __allocenvstate
00007ff800b62e5f (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff800b6c76a (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff800b6c7b7 (__TEXT,__text) non-external __ascii_mbrtowc
00007ff800b6c7fb (__TEXT,__text) non-external __ascii_mbsinit
00007ff800b6c806 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff800b6c899 (__TEXT,__text) non-external __ascii_wcrtomb
00007ff800b6c8c8 (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff800b48829 (__TEXT,__text) non-external __boottime_fallback_usec
00007ff840076df8 (__DATA_CONST,__const) external __c_locale
00007ff800b77670 (__TEXT,__text) external __cleanup
00007ff800b9d247 (__TEXT,__text) external __copyenv
00007ff8400acdd0 (__DATA,__data) external __cthread_init_routine
00007ff800b9d2d0 (__TEXT,__text) external __deallocenvstate
00007ff800b9cba0 (__TEXT,__text) non-external __do_nothing
00007ff800b521f6 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007ff8400b8b18 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff8400b8b10 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff800b632d7 (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
00007ff800b48a6d (__TEXT,__text) non-external __ffpp_strtoencf32_l
00007ff800bb43e8 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00007ff800bb440b (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00007ff800bb6560 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00007ff800b48d8f (__TEXT,__text) non-external __ffpp_strtoencf64_l
00007ff800bb442e (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00007ff800bb4451 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00007ff800bb4474 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00007ff800bb6900 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00007ff800b492d3 (__TEXT,__text) non-external __ffpp_strtoencf80_l
00007ff800bb4497 (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.1
00007ff800bb44ba (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.2
00007ff800bb6ab0 (__TEXT,__const) non-external __ffpp_strtoencf80_l.longDoublePowerOf10
00007ff800b67f63 (__TEXT,__text) non-external (was a private external) __filldir
00007ff800b6a356 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff800b7618e (__TEXT,__text) external __flockfile_debug_stub
00007ff800b7882b (__TEXT,__text) external __fseeko
00007ff800b78d43 (__TEXT,__text) external __ftello
00007ff800b792b9 (__TEXT,__text) external __fwalk
00007ff800b96ef4 (__TEXT,__text) external __getenvp
00007ff800b4f793 (__TEXT,__text) external __init_clock_port
00007ff800b92e3e (__TEXT,__text) external __int_to_time
00007ff800b995c7 (__TEXT,__text) non-external __isort
00007ff800b9a080 (__TEXT,__text) non-external __isort
00007ff8400adda0 (__DATA,__bss) non-external __libSystem_atfork_child
00007ff8400add88 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff8400add98 (__DATA,__bss) non-external __libSystem_atfork_parent
00007ff8400add80 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff8400add90 (__DATA,__bss) non-external __libSystem_atfork_prepare
00007ff8400add78 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff800b55210 (__TEXT,__text) external __libc_fork_child
00007ff800b552ba (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff800b55204 (__TEXT,__text) external __libc_fork_parent
00007ff800b551f8 (__TEXT,__text) external __libc_fork_prepare
00007ff800b55168 (__TEXT,__text) external __libc_initializer
00007ff800b7038d (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00007ff800b7035e (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00007ff800b7032f (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00007ff800b92e2c (__TEXT,__text) external __long_to_time
00007ff800b48500 (__TEXT,__text) non-external __mach_boottime_usec
00007ff8400add70 (__DATA,__bss) non-external __mh_execute_header_pointer
00007ff800b7a5b5 (__TEXT,__text) non-external __mkdtemp_action
00007ff800b7a378 (__TEXT,__text) non-external __mkostemps_action
00007ff800b54563 (__TEXT,__text) non-external __mkpath
00007ff800b5454c (__TEXT,__text) external __mkpath_np
00007ff800b7a786 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff800bb55be (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff800b7a61c (__TEXT,__text) external __mktemp
00007ff800b7a65e (__TEXT,__text) non-external __mktemp_action
00007ff800b717ea (__TEXT,__text) non-external (was a private external) __none_init
00007ff800b71837 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff800b71863 (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff800b7186e (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff800b718de (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff800b7190d (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff800bb48a2 (__TEXT,__text) external __os_assert_log
00007ff800bb4abc (__TEXT,__text) external __os_assert_log_ctx
00007ff800bb4790 (__TEXT,__text) external __os_assumes_log
00007ff800bb497b (__TEXT,__text) external __os_assumes_log_ctx
00007ff800b55b8c (__TEXT,__text) external __os_avoid_tail_call
00007ff800bb4783 (__TEXT,__text) external __os_crash
00007ff8400b8b00 (__DATA,__common) external __os_crash_callback
00007ff800b55b92 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
00007ff800b9cba8 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff800b9ccb9 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff800b9cc4e (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840076e00 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff800bb9da0 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff800b5527e (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff800b98c58 (__TEXT,__text) external __putenvp
00007ff800b98d83 (__TEXT,__text) non-external __qsort
00007ff800b997ac (__TEXT,__text) non-external __qsort
00007ff8400ac3e0 (__DATA,__data) external __rand48_add
00007ff8400ac3d8 (__DATA,__data) external __rand48_mult
00007ff8400ac3d0 (__DATA,__data) external __rand48_seed
00007ff800b686de (__TEXT,__text) external __readdir_unlocked
00007ff800b6a387 (__TEXT,__text) external __reclaim_telldir
00007ff800bb80f4 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff800b6a2c7 (__TEXT,__text) external __seekdir
00007ff800b9d312 (__TEXT,__text) external __setenvp
00007ff800b558a6 (__TEXT,__text) external __sigaction_nobind
00007ff8400b8b30 (__DATA,__common) external __sigintr
00007ff800b69601 (__TEXT,__text) external __signal_nobind
00007ff800b480d5 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff800b69393 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff800b7d3ab (__TEXT,__text) external __sread
00007ff800b7d4ad (__TEXT,__text) external __sseek
00007ff800b90226 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff800b53610 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff800b8e5a9 (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff800b5361d (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff800b8ef39 (__TEXT,__text) non-external (was a private external) __st_time1
00007ff800b8d3b7 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff800ba50ca (__TEXT,__text) non-external __strfmon
00007ff800b91568 (__TEXT,__text) non-external __strptime0
00007ff800bb7e20 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff800b52e4e (__TEXT,__text) external __subsystem_init
00007ff800b7d408 (__TEXT,__text) external __swrite
00007ff800b50257 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff800b50095 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff800b92dff (__TEXT,__text) external __time32_to_time
00007ff800b92e11 (__TEXT,__text) external __time64_to_time
00007ff800b92e35 (__TEXT,__text) external __time_to_int
00007ff800b92e23 (__TEXT,__text) external __time_to_long
00007ff800b92e08 (__TEXT,__text) external __time_to_time32
00007ff800b92e1a (__TEXT,__text) external __time_to_time64
00007ff800b9d390 (__TEXT,__text) external __unsetenvp
00007ff800b7df79 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff800b7e197 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff800b8bd2d (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff800b91310 (__TEXT,__text) non-external __yconv
00007ff800b96720 (__TEXT,__text) external _a64l
00007ff800bb58aa (__TEXT,__text) external _abort
00007ff800bb59f1 (__TEXT,__text) external _abort_report_np
00007ff800b967bd (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff800b4b28a (__TEXT,__text) non-external _addToMP
00007ff800b7b1dc (__TEXT,__text) non-external _addaster
00007ff800b692d4 (__TEXT,__text) non-external _addcmd
00007ff800b7b4c7 (__TEXT,__text) non-external _addsarg
00007ff800b7b3dd (__TEXT,__text) non-external _addtype
00007ff800b7b630 (__TEXT,__text) non-external _adduarg
00007ff800b7c1b0 (__TEXT,__text) non-external _addwaster
00007ff800b4e7f0 (__TEXT,__text) non-external _advance_directory
00007ff800bb46c7 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff800b62d33 (__TEXT,__text) external _alarm
00007ff800b5a2a3 (__TEXT,__text) non-external _alloc_segs
00007ff800b68b74 (__TEXT,__text) external _alphasort
00007ff800bb7fa0 (__TEXT,__const) non-external _ambig
00007ff800b62de5 (__TEXT,__text) non-external _arc4_init
00007ff800bb4c18 (__TEXT,__text) non-external _arc4_init.cold.1
00007ff800b62d8e (__TEXT,__text) external _arc4random
00007ff800b62d88 (__TEXT,__text) external _arc4random_addrandom
00007ff800b62dbd (__TEXT,__text) external _arc4random_buf
00007ff800b62e1f (__TEXT,__text) external _arc4random_stir
00007ff800b62e25 (__TEXT,__text) external _arc4random_uniform
00007ff800ba3dec (__TEXT,__text) non-external _arrayget
00007ff800b8d194 (__TEXT,__text) external _asctime
00007ff800b8d067 (__TEXT,__text) external _asctime_r
00007ff800bb7d60 (__TEXT,__const) non-external _asctime_r.mon_name
00007ff800bb7d40 (__TEXT,__const) non-external _asctime_r.wday_name
00007ff800b761f8 (__TEXT,__text) external _asprintf
00007ff800b762bc (__TEXT,__text) external _asprintf_l
00007ff800b5362a (__TEXT,__text) external _asxprintf
00007ff800b540cc (__TEXT,__text) external _asxprintf_exec
00007ff800ba4f93 (__TEXT,__text) external _at_quick_exit
00007ff800b967fb (__TEXT,__text) external _atexit
00007ff800b96942 (__TEXT,__text) external _atexit_b
00007ff8400acc90 (__DATA,__data) non-external _atexit_mutex
00007ff800b9682d (__TEXT,__text) non-external _atexit_register
00007ff800bb5ab1 (__TEXT,__text) non-external _atexit_register.cold.1
00007ff800b96be2 (__TEXT,__text) external _atof
00007ff800b96c0c (__TEXT,__text) external _atof_l
00007ff800b96c1b (__TEXT,__text) external _atoi
00007ff800b96c4a (__TEXT,__text) external _atoi_l
00007ff800b96c5e (__TEXT,__text) external _atol
00007ff800b96c8d (__TEXT,__text) external _atol_l
00007ff800b96ca1 (__TEXT,__text) external _atoll
00007ff800b96cd0 (__TEXT,__text) external _atoll_l
00007ff800b4bbf7 (__TEXT,__text) external _backtrace
00007ff800b4bc4d (__TEXT,__text) external _backtrace_async
00007ff800b4bcb9 (__TEXT,__text) external _backtrace_from_fp
00007ff8400ab6e8 (__DATA,__data) non-external _backtrace_get_pcs_func
00007ff800b4bd10 (__TEXT,__text) external _backtrace_image_offsets
00007ff800b4bbde (__TEXT,__text) external _backtrace_set_pcs_func
00007ff800b62f0f (__TEXT,__text) external _basename
00007ff8400addd0 (__DATA,__bss) non-external _basename.bname
00007ff800b62e65 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00007ff800b51322 (__TEXT,__text) external _bcopy
00007ff800b4b58b (__TEXT,__text) non-external _bitCountMP
00007ff800bb46a4 (__TEXT,__text) non-external _bitCountMP.cold.1
00007ff800bb7bb0 (__TEXT,__const) non-external _blanks
00007ff800bb7c90 (__TEXT,__const) non-external _blanks
00007ff8400ace30 (__DATA,__data) non-external _blanks
00007ff800b4f984 (__TEXT,__text) non-external _both_ftw
00007ff8400adc68 (__DATA,__bss) non-external _brapreg
00007ff800b48903 (__TEXT,__text) external _brk
00007ff800b4891b (__TEXT,__text) external _bsd_signal
00007ff800b96ce4 (__TEXT,__text) external _bsearch
00007ff800b96d56 (__TEXT,__text) external _bsearch_b
00007ff800b593c8 (__TEXT,__text) non-external _bt_broot
00007ff800b59128 (__TEXT,__text) non-external _bt_page
00007ff800b5950a (__TEXT,__text) non-external _bt_preserve
00007ff800b59547 (__TEXT,__text) non-external _bt_psplit
00007ff800b59035 (__TEXT,__text) non-external _bt_root
00007ff800b592cb (__TEXT,__text) non-external _bt_rroot
00007ff800b6cb7e (__TEXT,__text) external _btowc
00007ff800b6cab2 (__TEXT,__text) external _btowc_l
00007ff8400af970 (__DATA,__bss) non-external _buf_asctime
00007ff800b7b785 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00007ff800bb61b8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00007ff800bb6190 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
00007ff800b760c0 (__TEXT,__text) external _catclose
00007ff800b75d8a (__TEXT,__text) external _catgets
00007ff800b7567e (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00007ff800b6a52d (__TEXT,__text) external _cfgetispeed
00007ff800b6a523 (__TEXT,__text) external _cfgetospeed
00007ff800b6a55f (__TEXT,__text) external _cfmakeraw
00007ff800b6a543 (__TEXT,__text) external _cfsetispeed
00007ff800b6a537 (__TEXT,__text) external _cfsetospeed
00007ff800b6a54f (__TEXT,__text) external _cfsetspeed
00007ff800b65d34 (__TEXT,__text) external _cgetcap
00007ff800b6664c (__TEXT,__text) external _cgetclose
00007ff800b65db9 (__TEXT,__text) external _cgetent
00007ff800b665fb (__TEXT,__text) external _cgetfirst
00007ff800b665a1 (__TEXT,__text) external _cgetmatch
00007ff800b66689 (__TEXT,__text) external _cgetnext
00007ff800b66d86 (__TEXT,__text) external _cgetnum
00007ff800b65cb0 (__TEXT,__text) external _cgetset
00007ff800b66a49 (__TEXT,__text) external _cgetstr
00007ff800b66ca0 (__TEXT,__text) external _cgetustr
00007ff800b6dab0 (__TEXT,__text) non-external _chainsearch
00007ff800bb7970 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
00007ff800b4ea1e (__TEXT,__text) non-external _check_env_var
00007ff800b76358 (__TEXT,__text) external _clearerr
00007ff800b76378 (__TEXT,__text) external _clearerr_unlocked
00007ff800b62f59 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00007ff800b48748 (__TEXT,__text) external _clock_getres
00007ff800b48560 (__TEXT,__text) external _clock_gettime
00007ff800b48340 (__TEXT,__text) external _clock_gettime_nsec_np
00007ff8400b8ac4 (__DATA,__common) external _clock_port
00007ff8400b8ac0 (__DATA,__common) external _clock_sem
00007ff800b487ce (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00007ff800b4e58e (__TEXT,__text) non-external _close_directory
00007ff800b62fd4 (__TEXT,__text) external _closedir
00007ff8400777c0 (__DATA_CONST,__const) non-external _cnames
00007ff800b5b620 (__TEXT,__text) non-external _collect_data
00007ff800b5b7d9 (__TEXT,__text) non-external _collect_key
00007ff800bb7ee0 (__TEXT,__const) non-external _command_substitution_str
00007ff800b4e877 (__TEXT,__text) external _compat_mode
00007ff800b4bdb0 (__TEXT,__text) external _confstr
00007ff800b53ce3 (__TEXT,__text) external _copy_printf_domain
00007ff800bb2856 (__TEXT,__text) external _creat
00007ff800b55c0f (__TEXT,__text) external _creat$NOCANCEL
00007ff800b63039 (__TEXT,__text) external _ctermid
00007ff8400ac3e8 (__DATA,__data) non-external _ctermid.def
00007ff800b63062 (__TEXT,__text) external _ctermid_r
00007ff800b8eed7 (__TEXT,__text) external _ctime
00007ff800b8eef2 (__TEXT,__text) external _ctime_r
00007ff8400ac560 (__DATA,__data) non-external _current_categories
00007ff800b71e21 (__TEXT,__text) non-external _currentlocale
00007ff8400ae0a0 (__DATA,__bss) non-external _currentlocale.current_locale_string
00007ff8400adcc8 (__DATA,__bss) non-external _curshell
00007ff8400accf8 (__DATA,__data) non-external _dash_prefix
00007ff8400b8b50 (__DATA,__common) external _daylight
00007ff800b5d702 (__TEXT,__text) external _dbm_clearerr
00007ff800b5d5a2 (__TEXT,__text) external _dbm_close
00007ff800b5d692 (__TEXT,__text) external _dbm_delete
00007ff800b5d718 (__TEXT,__text) external _dbm_dirfno
00007ff800b5d6f2 (__TEXT,__text) external _dbm_error
00007ff800b5d5aa (__TEXT,__text) external _dbm_fetch
00007ff800b5d5ef (__TEXT,__text) external _dbm_firstkey
00007ff800b5d644 (__TEXT,__text) external _dbm_nextkey
00007ff800b5d4cc (__TEXT,__text) external _dbm_open
00007ff800b5d6bd (__TEXT,__text) external _dbm_store
00007ff800b59c02 (__TEXT,__text) external _dbopen
00007ff8400ade48 (__DATA,__bss) non-external _dbp
00007ff8400adc88 (__DATA,__bss) non-external _decpreg
00007ff800bb80c0 (__TEXT,__const) non-external _degrees
00007ff800b6d616 (__TEXT,__text) non-external _destruct_collate
00007ff800ba05e6 (__TEXT,__text) non-external _destruct_ctype
00007ff800b6f994 (__TEXT,__text) non-external (was a private external) _destruct_ldpart
00007ff800b52df1 (__TEXT,__text) non-external _destruct_locale
00007ff800b4c2a6 (__TEXT,__text) external _devname
00007ff8400adbe8 (__DATA,__bss) non-external _devname.buf
00007ff800b4c128 (__TEXT,__text) external _devname_r
00007ff800b8d1a5 (__TEXT,__text) external _difftime
00007ff800b50971 (__TEXT,__text) external _digittoint
00007ff800b50bf0 (__TEXT,__text) external _digittoint_l
00007ff800b55b6b (__TEXT,__text) external _dirfd
00007ff800b63148 (__TEXT,__text) external _dirname
00007ff8400addd8 (__DATA,__bss) non-external _dirname.dname
00007ff800b63083 (__TEXT,__text) external _dirname_r
00007ff800b96dcc (__TEXT,__text) external _div
00007ff8400ab6f0 (__DATA,__data) non-external _dktypenames
00007ff800b6bf5b (__TEXT,__text) non-external _do_hvis
00007ff800b6c058 (__TEXT,__text) non-external _do_mvis
00007ff800b6c1d5 (__TEXT,__text) non-external _do_svis
00007ff800b5f71c (__TEXT,__text) non-external _dorounding
00007ff800b76382 (__TEXT,__text) external _dprintf
00007ff800b76446 (__TEXT,__text) external _dprintf_l
00007ff800b63192 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00007ff800b521c0 (__TEXT,__text) external _duplocale
00007ff800b536d1 (__TEXT,__text) external _dxprintf
00007ff800b5417d (__TEXT,__text) external _dxprintf_exec
00007ff800b9eea5 (__TEXT,__text) external _ecvt
00007ff8400adeb0 (__DATA,__bss) non-external _empty
00007ff8400adec0 (__DATA,__bss) non-external _empty
00007ff8400acd48 (__DATA,__data) non-external _end_ptr
00007ff800b4f2d8 (__TEXT,__text) external _endttyent
00007ff800b4f634 (__TEXT,__text) external _endusershell
00007ff800b96ebd (__TEXT,__text) external _environ_lock_np
00007ff8400add60 (__DATA,__bss) non-external _environ_pointer
00007ff800b96ed3 (__TEXT,__text) external _environ_unlock_np
00007ff800b8c203 (__TEXT,__text) non-external _eofread
00007ff800b8c6cb (__TEXT,__text) non-external _eofread
00007ff800b63229 (__TEXT,__text) external _erand48
00007ff800bb4d64 (__TEXT,__text) external _err
00007ff800b63446 (__TEXT,__text) external _err_set_exit
00007ff800b63482 (__TEXT,__text) external _err_set_exit_b
00007ff800b6342a (__TEXT,__text) external _err_set_file
00007ff800bb4eed (__TEXT,__text) external _errc
00007ff800bb4f5d (__TEXT,__text) external _errx
00007ff800bb74c0 (__TEXT,__const) non-external _escape
00007ff800b634c4 (__TEXT,__text) external _execl
00007ff800b63648 (__TEXT,__text) external _execle
00007ff800b637e8 (__TEXT,__text) external _execlp
00007ff800b639b9 (__TEXT,__text) external _execv
00007ff800b639e3 (__TEXT,__text) external _execvP
00007ff800b63a1c (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
00007ff800b63969 (__TEXT,__text) external _execvp
00007ff800b96dfc (__TEXT,__text) external _exit
00007ff800b52f52 (__TEXT,__text) non-external _extract_next_subsystem_root_path
00007ff800b77610 (__TEXT,__text) external _f_prealloc
00007ff800b499f4 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00007ff800b764e2 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00007ff800b9f08b (__TEXT,__text) external _fcvt
00007ff800b76606 (__TEXT,__text) external _fdopen
00007ff800bb3250 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00007ff800b67c90 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
00007ff800b7671b (__TEXT,__text) external _feof
00007ff800b76746 (__TEXT,__text) external _feof_unlocked
00007ff800b76755 (__TEXT,__text) external _ferror
00007ff800b76780 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00007ff800b5d45a (__TEXT,__text) non-external _fetch_bitmap
00007ff800b4fef0 (__TEXT,__text) external _fflagstostr
00007ff800b7678f (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
