00000001ad53ae50 (__TEXT,__text) non-external +[Caller current]
00000001ad53483c (__TEXT,__text) non-external -[WatchMonitor queue]
00000001ad53478c (__TEXT,__text) non-external -[WatchMonitor registerObserver:]
00000001ad534834 (__TEXT,__text) non-external -[WatchMonitor setApproveDiscovery:]
00000001ad53484c (__TEXT,__text) non-external -[WatchMonitor setLastActivation:]
00000001ad5337b4 (__TEXT,__text) non-external -[WatchMonitor start]
00000001ad558390 (__TEXT,__text) non-external -[WatchMonitor start].cold.1
00000001ad534794 (__TEXT,__text) non-external -[WatchMonitor unregisterObserver:]
00000001ad56ba04 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001ad56c144 (__TEXT,__gcc_except_tab) non-external GCC_except_table103
00000001ad56c154 (__TEXT,__gcc_except_tab) non-external GCC_except_table104
00000001ad56c164 (__TEXT,__gcc_except_tab) non-external GCC_except_table105
00000001ad56c178 (__TEXT,__gcc_except_tab) non-external GCC_except_table108
00000001ad56c188 (__TEXT,__gcc_except_tab) non-external GCC_except_table109
00000001ad56b830 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001ad56c198 (__TEXT,__gcc_except_tab) non-external GCC_except_table111
00000001ad56c1a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table117
00000001ad56b6c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001ad56b798 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001ad56ba5c (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001ad56c1b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table143
00000001ad56c1c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table144
00000001ad56c1d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table145
00000001ad56c1e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table146
00000001ad56c1f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table147
00000001ad56c208 (__TEXT,__gcc_except_tab) non-external GCC_except_table148
00000001ad56ba90 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001ad56c218 (__TEXT,__gcc_except_tab) non-external GCC_except_table150
00000001ad56b850 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001ad56baf4 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001ad56b758 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001ad56bb28 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001ad56c228 (__TEXT,__gcc_except_tab) non-external GCC_except_table177
00000001ad56b6d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001ad56b7c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001ad56b870 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001ad56bb6c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001ad56bf14 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001ad56c238 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001ad56bfb8 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001ad56c25c (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001ad56c288 (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00000001ad56bfe4 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001ad56c064 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00000001ad56c2c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00000001ad56b634 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001ad56b88c (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001ad56c3c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001ad56c2fc (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00000001ad56c078 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001ad56c34c (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001ad56c0c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001ad56c0e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table37
00000001ad56c378 (__TEXT,__gcc_except_tab) non-external GCC_except_table39
00000001ad56b784 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001ad56b8f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001ad56c400 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001ad56c388 (__TEXT,__gcc_except_tab) non-external GCC_except_table40
00000001ad56c39c (__TEXT,__gcc_except_tab) non-external GCC_except_table41
00000001ad56c448 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001ad56b7d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001ad56c470 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001ad56c3ac (__TEXT,__gcc_except_tab) non-external GCC_except_table60
00000001ad56b968 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001ad56c108 (__TEXT,__gcc_except_tab) non-external GCC_except_table89
00000001ad56b700 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001ad56b9c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001ad56c11c (__TEXT,__gcc_except_tab) non-external GCC_except_table90
00000001ad56c130 (__TEXT,__gcc_except_tab) non-external GCC_except_table91
00000001ad5411b8 (__TEXT,__text) external _ACMContextAddCredential
00000001ad55d120 (__TEXT,__text) external _ACMContextAddCredentialWithScope
00000001ad541458 (__TEXT,__text) external _ACMContextContainsCredentialType
00000001ad541538 (__TEXT,__text) external _ACMContextContainsCredentialTypeEx
00000001ad55dba8 (__TEXT,__text) external _ACMContextContainsPassphraseCredentialWithPurpose
00000001ad5435a0 (__TEXT,__text) external _ACMContextCopyData
00000001ad54095c (__TEXT,__text) external _ACMContextCreate
00000001ad540ba8 (__TEXT,__text) external _ACMContextCreateWithExternalForm
00000001ad540964 (__TEXT,__text) external _ACMContextCreateWithFlags
00000001ad542d0c (__TEXT,__text) external _ACMContextCredentialGetProperty
00000001ad542d1c (__TEXT,__text) external _ACMContextCredentialGetPropertyEx
00000001ad540dd0 (__TEXT,__text) external _ACMContextDelete
00000001ad543278 (__TEXT,__text) external _ACMContextGetData
00000001ad55e368 (__TEXT,__text) external _ACMContextGetDataEx
00000001ad543408 (__TEXT,__text) external _ACMContextGetDataProperty
00000001ad541010 (__TEXT,__text) external _ACMContextGetExternalForm
00000001ad5444f0 (__TEXT,__text) non-external _ACMContextGetExternalForm.cold.1
00000001ad543768 (__TEXT,__text) external _ACMContextGetInfo
00000001ad541e60 (__TEXT,__text) external _ACMContextGetTrackingNumber
00000001ad541298 (__TEXT,__text) external _ACMContextRemoveCredentialsByType
00000001ad55d2c0 (__TEXT,__text) external _ACMContextRemoveCredentialsByTypeAndScope
00000001ad541378 (__TEXT,__text) external _ACMContextRemoveCredentialsByValue
00000001ad55d46c (__TEXT,__text) external _ACMContextRemoveCredentialsByValueAndScope
00000001ad55d850 (__TEXT,__text) external _ACMContextRemovePassphraseCredentialsByPurposeAndScope
00000001ad55d9fc (__TEXT,__text) external _ACMContextReplacePassphraseCredentialsWithScope
00000001ad542f10 (__TEXT,__text) external _ACMContextSetData
00000001ad5430b0 (__TEXT,__text) external _ACMContextSetDataEx
00000001ad541d94 (__TEXT,__text) external _ACMContextVerifyAclConstraint
00000001ad541df4 (__TEXT,__text) external _ACMContextVerifyAclConstraintForOperation
00000001ad5416d8 (__TEXT,__text) external _ACMContextVerifyPolicy
00000001ad541a28 (__TEXT,__text) external _ACMContextVerifyPolicyEx
00000001ad541878 (__TEXT,__text) external _ACMContextVerifyPolicyWithPreflight
00000001ad542b78 (__TEXT,__text) external _ACMCredentialCreate
00000001ad542b7c (__TEXT,__text) external _ACMCredentialDelete
00000001ad55dd6c (__TEXT,__text) external _ACMCredentialGetProperty
00000001ad542270 (__TEXT,__text) external _ACMCredentialGetPropertyData
00000001ad542b80 (__TEXT,__text) external _ACMCredentialGetType
00000001ad542b84 (__TEXT,__text) external _ACMCredentialSetProperty
00000001ad543990 (__TEXT,__text) external _ACMDecryptData
00000001ad543a0c (__TEXT,__text) external _ACMDecryptDataEx
00000001ad543944 (__TEXT,__text) external _ACMEncryptData
00000001ad5439dc (__TEXT,__text) external _ACMEncryptDataEx
00000001ad542278 (__TEXT,__text) external _ACMGetAclAuthMethod
00000001ad542774 (__TEXT,__text) external _ACMGetEnvironmentVariable
00000001ad55d60c (__TEXT,__text) external _ACMGlobalContextAddCredential
00000001ad542b94 (__TEXT,__text) external _ACMGlobalContextCredentialGetProperty
00000001ad55d734 (__TEXT,__text) external _ACMGlobalContextRemoveCredentialsByType
00000001ad541bcc (__TEXT,__text) external _ACMGlobalContextVerifyPolicy
00000001ad542918 (__TEXT,__text) external _ACMKernelControl
00000001ad541e6c (__TEXT,__text) external _ACMParseAclAndCopyConstraintCharacteristics
00000001ad543908 (__TEXT,__text) external _ACMPing
00000001ad542b90 (__TEXT,__text) external _ACMRequirementGetPriority
00000001ad55e130 (__TEXT,__text) external _ACMRequirementGetProperties
00000001ad55e020 (__TEXT,__text) external _ACMRequirementGetProperty
00000001ad542274 (__TEXT,__text) external _ACMRequirementGetPropertyData
00000001ad542b8c (__TEXT,__text) external _ACMRequirementGetState
00000001ad55de7c (__TEXT,__text) external _ACMRequirementGetSubrequirements
00000001ad542b88 (__TEXT,__text) external _ACMRequirementGetType
00000001ad542ad4 (__TEXT,__text) external _ACMSEPControl
00000001ad542b24 (__TEXT,__text) external _ACMSEPControlEx
00000001ad5423e8 (__TEXT,__text) external _ACMSetEnvironmentVariable
00000001ad5425a0 (__TEXT,__text) external _ACMSetEnvironmentVariableWithAccessPolicy
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
00000001ad559db0 (__TEXT,__text) external _CompareCredentials
00000001ad559d1c (__TEXT,__text) external _CopyCredential
                 (undefined) weak external _DFRGetScreenSize (from DFRFoundation)
                 (undefined) weak external _DFRGetStatus (from DFRFoundation)
                 (undefined) weak external _DFRRegisterStatusChangeCallback (from DFRFoundation)
00000001ad5649c0 (__TEXT,__const) non-external (was a private external) _DaemonUtilsVersionNumber
00000001ad564980 (__TEXT,__const) non-external (was a private external) _DaemonUtilsVersionString
00000001ad55a3a0 (__TEXT,__text) external _DeallocCredentialList
00000001ad53ead4 (__TEXT,__text) external _DeserializeAddCredential
00000001ad55a0a8 (__TEXT,__text) external _DeserializeAddCredentialType
00000001ad559b68 (__TEXT,__text) external _DeserializeCredential
00000001ad55a28c (__TEXT,__text) external _DeserializeCredentialList
00000001ad55a48c (__TEXT,__text) external _DeserializeGetContextProperty
00000001ad53e75c (__TEXT,__text) external _DeserializeProcessAcl
00000001ad53eb94 (__TEXT,__text) external _DeserializeRemoveCredential
00000001ad53eb98 (__TEXT,__text) external _DeserializeReplacePassphraseCredential
00000001ad559840 (__TEXT,__text) external _DeserializeRequirement
00000001ad53e440 (__TEXT,__text) external _DeserializeVerifyAclConstraint
00000001ad558fd0 (__TEXT,__text) external _DeserializeVerifyPolicy
00000001ad559f70 (__TEXT,__text) external _GetSerializedAddCredentialSize
00000001ad559a80 (__TEXT,__text) external _GetSerializedCredentialSize
00000001ad55a434 (__TEXT,__text) external _GetSerializedGetContextPropertySize
00000001ad5593b4 (__TEXT,__text) external _GetSerializedProcessAclSize
00000001ad55a128 (__TEXT,__text) external _GetSerializedRemoveCredentialSize
00000001ad55a17c (__TEXT,__text) external _GetSerializedReplacePassphraseCredentialSize
00000001ad5595a4 (__TEXT,__text) external _GetSerializedRequirementSize
00000001ad559178 (__TEXT,__text) external _GetSerializedVerifyAclConstraintSize
00000001ad558e38 (__TEXT,__text) external _GetSerializedVerifyPolicySize
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectCallStructMethod (from IOKit)
                 (undefined) external _IOHIDEventGetIntegerValue (from IOKit)
                 (undefined) external _IOHIDEventGetPhase (from IOKit)
                 (undefined) external _IOHIDEventGetType (from IOKit)
                 (undefined) external _IOHIDEventSystemClientActivate (from IOKit)
                 (undefined) external _IOHIDEventSystemClientCancel (from IOKit)
                 (undefined) external _IOHIDEventSystemClientCreateWithType (from IOKit)
                 (undefined) external _IOHIDEventSystemClientRegisterEventCallback (from IOKit)
                 (undefined) external _IOHIDEventSystemClientSetDispatchQueue (from IOKit)
                 (undefined) external _IOHIDEventSystemClientSetProperty (from IOKit)
                 (undefined) external _IOHIDEventSystemClientUnregisterDeviceMatchingBlock (from IOKit)
                 (undefined) external _IOHIDEventSystemClientUnregisterEventCallback (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
00000001ad5330d0 (__TEXT,__text) external _LAAnalyticsAuthenticationTypeFromEvent
                 (undefined) external _LACEvaluationRequestPayloadKeySecureIntentRequested (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyAccessoryAuthorization (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyDeviceOwnerAuthentication (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionAHPMode (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionAccessoryUID (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionMatchForUnlock (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionNotInteractive (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionSecureUIRecording (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionUserId (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOslo (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOsloWithPIN (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyStockholm (from LocalAuthenticationCore)
                 (undefined) external _LALogForCategory (from SharedUtils)
                 (undefined) external _LALogForPolicy (from SharedUtils)
00000001ad5312c8 (__TEXT,__text) non-external _LA_LOG
00000001ad532550 (__TEXT,__text) non-external _LA_LOG
00000001ad534e64 (__TEXT,__text) non-external _LA_LOG
00000001ad536540 (__TEXT,__text) non-external _LA_LOG
00000001ad5378c8 (__TEXT,__text) non-external _LA_LOG
00000001ad53b8ac (__TEXT,__text) non-external _LA_LOG
00000001ad53ce74 (__TEXT,__text) non-external _LA_LOG
00000001ad5581f4 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001ad5582f4 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001ad558558 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001ad558654 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001ad5587bc (__TEXT,__text) non-external _LA_LOG.cold.1
00000001ad5589d0 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001ad558ae0 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001eca56708 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca56710 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca56718 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca56720 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca56728 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca56730 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca56738 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca56740 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca56748 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001eca566c0 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eca566c8 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eca566d0 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eca566d8 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eca566e0 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eca566e8 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eca566f0 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eca566f8 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eca56700 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ea944028 (__DATA,__bss) non-external _LA_LOG_Caller.log
00000001ea944020 (__DATA,__bss) non-external _LA_LOG_Caller.once
00000001ad53cb6c (__TEXT,__text) non-external _LA_LOG_INTERACTIVE
00000001ad558a48 (__TEXT,__text) non-external _LA_LOG_INTERACTIVE.cold.1
00000001eca566b8 (__DATA_DIRTY,__bss) non-external _LA_LOG_INTERACTIVE.log
00000001eca566b0 (__DATA_DIRTY,__bss) non-external _LA_LOG_INTERACTIVE.once
00000001ad533c4c (__TEXT,__text) non-external _LA_LOG_MechanismWatchMonitor
00000001ad5583d0 (__TEXT,__text) non-external _LA_LOG_MechanismWatchMonitor.cold.1
00000001eca566a8 (__DATA_DIRTY,__bss) non-external _LA_LOG_MechanismWatchMonitor.log
00000001eca566a0 (__DATA_DIRTY,__bss) non-external _LA_LOG_MechanismWatchMonitor.once
00000001ea944018 (__DATA,__bss) non-external _LA_LOG_Request.log
00000001ea944010 (__DATA,__bss) non-external _LA_LOG_Request.once
00000001ad55eaa8 (__TEXT,__text) external _LibCall_ACMContexAddCredentialWithScope
00000001ad55ed7c (__TEXT,__text) external _LibCall_ACMContexRemoveCredentialsByTypeAndScope
00000001ad55ebfc (__TEXT,__text) external _LibCall_ACMContextContainsCredentialTypeEx
00000001ad5612e0 (__TEXT,__text) external _LibCall_ACMContextCopyData
00000001ad55e700 (__TEXT,__text) external _LibCall_ACMContextCreate
00000001ad55e8d8 (__TEXT,__text) external _LibCall_ACMContextCreateWithExternalForm
00000001ad5602ac (__TEXT,__text) external _LibCall_ACMContextCredentialGetProperty
00000001ad54458c (__TEXT,__text) external _LibCall_ACMContextDelete
00000001ad561150 (__TEXT,__text) external _LibCall_ACMContextGetData
00000001ad561528 (__TEXT,__text) external _LibCall_ACMContextGetInfo
00000001ad560c30 (__TEXT,__text) external _LibCall_ACMContextLoadFromImage
00000001ad55ee90 (__TEXT,__text) external _LibCall_ACMContextRemoveCredentialsByValueAndScope
00000001ad560fa4 (__TEXT,__text) external _LibCall_ACMContextSetData
00000001ad560e04 (__TEXT,__text) external _LibCall_ACMContextUnloadToImage
00000001ad55bf4c (__TEXT,__text) external _LibCall_ACMContextUnloadToImage_Block
00000001ad54037c (__TEXT,__text) external _LibCall_ACMContextVerifyAclConstraint
00000001ad540538 (__TEXT,__text) external _LibCall_ACMContextVerifyAclConstraintForOperation
00000001ad55efe4 (__TEXT,__text) external _LibCall_ACMContextVerifyPolicyAndCopyRequirementEx
00000001ad5605b4 (__TEXT,__text) external _LibCall_ACMContextVerifyPolicyEx
00000001ad55bb5c (__TEXT,__text) external _LibCall_ACMContextVerifyPolicyEx_Block
00000001ad55ba2c (__TEXT,__text) external _LibCall_ACMContextVerifyPolicyWithPreflight_Block
00000001ad54009c (__TEXT,__text) external _LibCall_ACMContextVerifyPolicy_Block
00000001ad544898 (__TEXT,__text) external _LibCall_ACMCredentialCreate
00000001ad55f340 (__TEXT,__text) external _LibCall_ACMCredentialDelete
00000001ad55f798 (__TEXT,__text) external _LibCall_ACMCredentialGetPropertyData
00000001ad55f34c (__TEXT,__text) external _LibCall_ACMCredentialGetType
00000001ad55f358 (__TEXT,__text) external _LibCall_ACMCredentialSetProperty
00000001ad5401e0 (__TEXT,__text) external _LibCall_ACMGetAclAuthMethod_Block
00000001ad560828 (__TEXT,__text) external _LibCall_ACMGetEnvironmentVariable
00000001ad55bc78 (__TEXT,__text) external _LibCall_ACMGetEnvironmentVariable_Block
00000001ad56049c (__TEXT,__text) external _LibCall_ACMGlobalContextCredentialGetProperty
00000001ad55b8cc (__TEXT,__text) external _LibCall_ACMGlobalContextCredentialGetProperty_Block
00000001ad560738 (__TEXT,__text) external _LibCall_ACMGlobalContextVerifyPolicyEx
00000001ad5400a8 (__TEXT,__text) external _LibCall_ACMGlobalContextVerifyPolicy_Block
00000001ad560200 (__TEXT,__text) external _LibCall_ACMKernDoubleClickNotify
00000001ad5446ac (__TEXT,__text) external _LibCall_ACMKernelControl
00000001ad545498 (__TEXT,__text) non-external _LibCall_ACMKernelControl.cold.1
00000001ad53fdb4 (__TEXT,__text) external _LibCall_ACMKernelControl_Block
00000001ad560130 (__TEXT,__text) external _LibCall_ACMPing
00000001ad5613d8 (__TEXT,__text) external _LibCall_ACMPublishTrustedAccessories
00000001ad55f298 (__TEXT,__text) external _LibCall_ACMRequirementDelete
00000001ad55fdb0 (__TEXT,__text) external _LibCall_ACMRequirementGetPriority
00000001ad55fdbc (__TEXT,__text) external _LibCall_ACMRequirementGetPropertyData
00000001ad55fda4 (__TEXT,__text) external _LibCall_ACMRequirementGetState
00000001ad55fd98 (__TEXT,__text) external _LibCall_ACMRequirementGetType
00000001ad561f64 (__TEXT,__text) external _LibCall_ACMSEPControl
00000001ad53ff28 (__TEXT,__text) external _LibCall_ACMSEPControl_Block
00000001ad55fbfc (__TEXT,__text) external _LibCall_ACMSecContextCopyCredentialsArrayEx
00000001ad561d8c (__TEXT,__text) external _LibCall_ACMSecContextGetUnlockSecret
00000001ad5448ac (__TEXT,__text) external _LibCall_ACMSecContextProcessAcl
00000001ad561908 (__TEXT,__text) external _LibCall_ACMSecContextProcessAclAndCopyAuthMethod
00000001ad561960 (__TEXT,__text) external _LibCall_ACMSecContextVerifyAclConstraintAndCopyRequirement
00000001ad560674 (__TEXT,__text) external _LibCall_ACMSecContextVerifyPolicyAndCopyRequirementEx
00000001ad561a68 (__TEXT,__text) external _LibCall_ACMSecCredentialProviderEnrollmentStateChangedForUser
00000001ad54489c (__TEXT,__text) external _LibCall_ACMSecCredentialsArrayDelete
00000001ad561c98 (__TEXT,__text) external _LibCall_ACMSecSetBiometryAvailability
00000001ad561bf8 (__TEXT,__text) external _LibCall_ACMSecSetBuiltinBiometry
00000001ad5608ec (__TEXT,__text) external _LibCall_ACMSetEnvironmentVariable
00000001ad560a90 (__TEXT,__text) external _LibCall_ACMTRMLoadState
00000001ad55be24 (__TEXT,__text) external _LibCall_ACMTRMLoadState_Block
00000001ad560b48 (__TEXT,__text) external _LibCall_ACMTRMSaveState
00000001ad55e5d4 (__TEXT,__text) external _LibCall_BuildCommand
00000001ad55b0d4 (__TEXT,__text) external _LibSer_ACMDeserializeEnvironmentVariableType
00000001ad55b160 (__TEXT,__text) external _LibSer_ACMDeserializeSEPControlCode
00000001ad55a6ac (__TEXT,__text) external _LibSer_ContextCredentialGetPropertyEx_Deserialize
00000001ad55a5cc (__TEXT,__text) external _LibSer_ContextCredentialGetPropertyEx_GetSize
00000001ad55a618 (__TEXT,__text) external _LibSer_ContextCredentialGetPropertyEx_Serialize
00000001ad55a58c (__TEXT,__text) external _LibSer_ContextCredentialGetProperty_Deserialize
00000001ad55a544 (__TEXT,__text) external _LibSer_ContextCredentialGetProperty_GetSize
00000001ad55a554 (__TEXT,__text) external _LibSer_ContextCredentialGetProperty_Serialize
00000001ad55a8c8 (__TEXT,__text) external _LibSer_DeleteContext_Deserialize
00000001ad55a878 (__TEXT,__text) external _LibSer_DeleteContext_GetSize
00000001ad55a890 (__TEXT,__text) external _LibSer_DeleteContext_Serialize
00000001ad55a51c (__TEXT,__text) external _LibSer_GetAclAuthMethod_Deserialize
00000001ad55a4cc (__TEXT,__text) external _LibSer_GetAclAuthMethod_GetSize
00000001ad55a4e4 (__TEXT,__text) external _LibSer_GetAclAuthMethod_Serialize
00000001ad55a0d0 (__TEXT,__text) external _LibSer_GetSerializedContainsCredential_GetSize
00000001ad55a0f0 (__TEXT,__text) external _LibSer_GetSerializedContainsCredential_Serialize
00000001ad55ae04 (__TEXT,__text) external _LibSer_GetUnlockSecretResponse_Deserialize
00000001ad55ad78 (__TEXT,__text) external _LibSer_GetUnlockSecretResponse_GetSize
00000001ad55ad94 (__TEXT,__text) external _LibSer_GetUnlockSecretResponse_Serialize
00000001ad55ad14 (__TEXT,__text) external _LibSer_GetUnlockSecret_Deserialize
00000001ad55ac28 (__TEXT,__text) external _LibSer_GetUnlockSecret_GetSize
00000001ad55ac78 (__TEXT,__text) external _LibSer_GetUnlockSecret_Serialize
00000001ad55a7bc (__TEXT,__text) external _LibSer_GlobalContextCredentialGetProperty_Deserialize
00000001ad55a76c (__TEXT,__text) external _LibSer_GlobalContextCredentialGetProperty_GetSize
00000001ad55a78c (__TEXT,__text) external _LibSer_GlobalContextCredentialGetProperty_Serialize
00000001ad55a838 (__TEXT,__text) external _LibSer_RemoveCredentialByType_Deserialize
00000001ad55a7f0 (__TEXT,__text) external _LibSer_RemoveCredentialByType_GetSize
00000001ad55a800 (__TEXT,__text) external _LibSer_RemoveCredentialByType_Serialize
00000001ad55b094 (__TEXT,__text) external _LibSer_SEPControlResponse_Deserialize
00000001ad55b004 (__TEXT,__text) external _LibSer_SEPControlResponse_GetSize
00000001ad55b020 (__TEXT,__text) external _LibSer_SEPControlResponse_Serialize
00000001ad55af68 (__TEXT,__text) external _LibSer_SEPControl_Deserialize
00000001ad55ae3c (__TEXT,__text) external _LibSer_SEPControl_GetSize
00000001ad55ae88 (__TEXT,__text) external _LibSer_SEPControl_Serialize
00000001ad55a8f0 (__TEXT,__text) external _LibSer_StorageAnyCmd_DeserializeCommonFields
00000001ad55abb8 (__TEXT,__text) external _LibSer_StorageGetData_Deserialize
00000001ad55aacc (__TEXT,__text) external _LibSer_StorageGetData_GetSize
00000001ad55ab1c (__TEXT,__text) external _LibSer_StorageGetData_Serialize
00000001ad55aa2c (__TEXT,__text) external _LibSer_StorageSetData_Deserialize
00000001ad55a924 (__TEXT,__text) external _LibSer_StorageSetData_GetSize
00000001ad55a970 (__TEXT,__text) external _LibSer_StorageSetData_Serialize
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
                 (undefined) external _MGIsQuestionValid (from libMobileGestalt)
                 (undefined) weak external _MKBGetDeviceLockState (from MobileKeyBag)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSStringFromClass (from Foundation)
00000001eca562f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BiometryHelper
00000001eca56550 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BiometryLockoutInvalidationSource
                 (undefined) weak external _OBJC_CLASS_$_BridgeXPCConnection (from BridgeXPC)
                 (undefined) weak external _OBJC_CLASS_$_BridgeXPCListener (from BridgeXPC)
                 (undefined) weak external _OBJC_CLASS_$_BrightnessSystemClient (from CoreBrightness)
00000001eca562d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_Caller
                 (undefined) weak external _OBJC_CLASS_$_CoreKDL (from CoreKDL)
00000001eca562a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_DaemonUtils
00000001eca564b0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_DarwinNotificationInvalidationSource
00000001eca565a0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_DomainStateRequest
00000001eca56280 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_EvaluationRequest
00000001eca56410 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_InstalledAppsCache
00000001eca56258 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_LAAnalytics
