00007ff80df23d02 (__TEXT,__text) non-external _Annihilate
00007ff80df3dd4a (__TEXT,__text) non-external (was a private external) _get_real_time
00007ff80df31995 (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff80df3197f (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00007ff80df373f8 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80df3712e (__TEXT,__text) non-external (was a private external) _is_format_invalid
00007ff80df37044 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00007ff80df37a53 (__TEXT,__text) non-external _is_image_valid
00007ff80df2a59e (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80df8e2f0 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80df6f9e0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80df6fa40 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8424010b0 (__DATA,__const) non-external _kBrotliDictionary
00007ff80df702c0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80df6f920 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80df6f980 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80dfcdbc0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80df8fe70 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff842401980 (__DATA,__const) non-external _kBrotliTransforms
00007ff80df700a0 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80df8e430 (__TEXT,__const) non-external _kCmdLut
00007ff80dfc1990 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80df8e3f0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80dfc1970 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80df8e410 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80df8e420 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80df8fd30 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80df8fcf0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80df90520 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80df90560 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80df8fc30 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80df8fc10 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80df8fca0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80df8fc80 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80dfc24e0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80dfc19e0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80dfbf540 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80dfbf620 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80df6f820 (__TEXT,__const) non-external _kReverseBits
00007ff80dfc3da0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80dfc3ae0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80df905d0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80dfde3d0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80dfce3d0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80dfa05d0 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80dfc4360 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80dfc4320 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff80dfbf690 (__TEXT,__const) non-external _kTransformsData
00007ff80dfc0370 (__TEXT,__const) non-external _kZeroRepsBits
00007ff80dfbf870 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80df0e688 (__TEXT,__text) non-external _longest_match
00007ff80dfc9230 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80df2a1dc (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff80df3484d (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff80df34842 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff80df14410 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80df13f80 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80df13dc7 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80df1536f (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80df151b6 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80df4ad34 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80df4ad94 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80df4ad89 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80df4ad7e (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80df4ad57 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80df4a630 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80df4a6e5 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80df35111 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80df3501f (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80df2fe78 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80df46ed7 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80df45a4f (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80df46f1a (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80df43868 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80df46ef3 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80df4596d (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80df46f25 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80df4372d (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80df3d3d4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80df46e87 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80df32ad2 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80df46ea3 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80df46eca (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80df32ab8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80dfca270 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80df43772 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00007ff80dfc9a70 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80df439a2 (__TEXT,__text) non-external _lzbitmap_process_block
00007ff80df46f32 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80dfcb270 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80dfc9270 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80df6c4ad (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80df1091c (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80df145ee (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80df6c0f2 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80df6c4ec (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80df6bf23 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80df6bf8e (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80df6c872 (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80df6bf4c (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80df6c05a (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80df6c591 (__TEXT,__text) non-external _lzfsePushMatch
00007ff80df10694 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80df105c2 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80df3d3c7 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80df5e6bf (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80df5e629 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80df5e618 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80df123f4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80df35f61 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80df35db4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80df35f56 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80df36c65 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff842401180 (__DATA,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80df1202f (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80df4ed3f (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80df4ed0b (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80df8fe30 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80df8fe50 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80df11f22 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80df341b0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80df341a6 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80df3417d (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80df3413c (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80df1059a (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80df1066e (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00007ff80df3ddfa (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00007ff80df3ddc0 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00007ff80df6f2fa (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80df458cb (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80df458c3 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80df4592b (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80df45923 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
00007ff80df903b0 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80df10572 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80df6ecae (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80dfce3c0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80df10424 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80df104e2 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80df6e85b (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00007ff80df6ebe6 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00007ff80df11ae3 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff8424008b0 (__DATA,__const) non-external _lzvnDecode.opc_tbl
00007ff80df45f7c (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80df45f00 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80df2461e (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80df2458d (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80df24582 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80df29aae (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80df299d8 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80df299c7 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff842401b80 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80df124c0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80df12494 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80df46b2d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80df46b6b (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80df46b13 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80df45841 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80df458b9 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80df458af (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80df45886 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80df45864 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80df457f3 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80df4581b (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80df4e3de (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80df4e3d3 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80df65fce (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80df1d554 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80df1cf9c (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80df1d15b (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80df1d240 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80df3dcd0 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80dfc4660 (__TEXT,__const) non-external _position_slot_base_position
00007ff80dfc45e0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80df0f6c6 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80df67d97 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80df13534 (__TEXT,__text) non-external _readHuffmanTable
00007ff80df3dc24 (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80df0c68b (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80df0f7ac (__TEXT,__text) non-external _scan_tree
00007ff80df0f89f (__TEXT,__text) non-external _send_tree
00007ff80df46e4e (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
00007ff80df46dd8 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
00007ff80df46def (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
00007ff80df46da3 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00007ff80df4ad9f (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00007ff80df4afb1 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00007ff80df3815b (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00007ff80df386ea (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00007ff80df31374 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00007ff80df31593 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff80df4dfec (__TEXT,__text) non-external _staticHuffmanTable
00007ff842401b60 (__DATA,__data) non-external _static_bl_desc
00007ff842401b40 (__DATA,__data) non-external _static_d_desc
00007ff80dfcca30 (__TEXT,__const) non-external _static_dtree
00007ff842401b20 (__DATA,__data) non-external _static_l_desc
00007ff80dfcc5b0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff842401a80 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80df242a3 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80df244c5 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80df243c8 (__TEXT,__text) non-external _thread_pool_entry
00007ff80df240f5 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80df24212 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00007ff80df65e3d (__TEXT,__text) external _touchpadCodecCreate
00007ff80df24863 (__TEXT,__text) external _touchpadCodecDecodeImage
00007ff80df65f81 (__TEXT,__text) external _touchpadCodecDestroy
00007ff80df6ecbf (__TEXT,__text) external _touchpadCodecEncodeImage
00007ff80df6557d (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
00007ff80df3dc7c (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80dfcdb76 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00007ff80dfcdb70 (__TEXT,__const) non-external (was a private external) _xz_header_magic
00007ff80df6ec42 (__TEXT,__text) non-external _xz_read_multi_byte
00007ff80df6ebf1 (__TEXT,__text) non-external _xz_simple_crc32
00007ff80df5eae9 (__TEXT,__text) external _yzip_codec_create
00007ff80df5eb17 (__TEXT,__text) external _yzip_codec_destroy
00007ff80df5eb3c (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80df37280 (__TEXT,__text) external _yzip_image_create
00007ff80df373d0 (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80df37be5 (__TEXT,__text) external _yzip_image_decode
00007ff80df3751d (__TEXT,__text) external _yzip_image_destroy
00007ff80df37527 (__TEXT,__text) external _yzip_image_encode
00007ff80df37e30 (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80df37ee6 (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80df37e95 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80df37f69 (__TEXT,__text) external _yzip_image_set_data
00007ff80df3814e (__TEXT,__text) external _yzip_image_set_identifier
00007ff80df38076 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80df31fad (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80df31ea1 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80df31c14 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80df32a36 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80df3249f (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80df3299a (__TEXT,__text) non-external _yzip_jobs_process
00007ff80df31bb8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80df67639 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80df6633c (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00007ff80df6624d (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00007ff80df663a3 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80df66df7 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80df1519c (__TEXT,__text) non-external (was a private external) _zError
00007ff842400860 (__DATA,__const) non-external (was a private external) _z_errmsg
00007ff80df0c999 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80df10373 (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80df147ec (__TEXT,__text) external _zero_coder_decode
00007ff80df148f4 (__TEXT,__text) external _zero_coder_encode
00007ff80df14a1a (__TEXT,__text) non-external _zero_coder_init_luts
00007ff842402390 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00007ff842402490 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00007ff842402c90 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00007ff842402380 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00007ff80df15191 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80df127ff (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80df12de4 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80dfc4480 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80dfc4440 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80df15184 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80df4de5b (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80df4de50 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80df24e7e (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80df24e73 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80df46d9d (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80df46d75 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80df10401 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80df4e3b0 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80df4e3a8 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80df4e3bb (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80df4e3a0 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80df0c5c5 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80df0d26e (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80df15b4b (__TEXT,__text) non-external n_loop
00007ff80df15e3a (__TEXT,__text) non-external scalar_loop
00007ff80df15b30 (__TEXT,__text) non-external skip_loading_tables
00007ff842401ad0 (__DATA,__data) non-external sum2_coefficients
00007ff842401aa0 (__DATA,__data) non-external sum2_coefficients_nossse3
