00007ffa43dd5b70 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa1fcd5e55 (__TEXT,__text) non-external _harmless
00007ffa43dd5b90 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007ffa43dd5960 (__DATA,__data) non-external (was a private external) _kq
00007ffa43dd5978 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffa1fcd1c7d (__TEXT,__text) non-external _makefd_xprt
00007ffa1fcdc8e5 (__TEXT,__text) non-external _makefd_xprt.cold.1
00007ffa1fcdc993 (__TEXT,__text) non-external _makefd_xprt.cold.2
00007ffa1fcdca2e (__TEXT,__text) non-external _makefd_xprt.cold.3
00007ffa1fcdcadc (__TEXT,__text) non-external _makefd_xprt.cold.4
00007ffa1fcdcb8a (__TEXT,__text) non-external _makefd_xprt.cold.5
                 (undefined) external _malloc (from libSystem)
00007ffa1fccacec (__TEXT,__text) non-external _marshal_new_auth
00007ffa1fcda54e (__TEXT,__text) non-external _marshal_new_auth.cold.1
00007ffa43dd5600 (__DATA,__data) non-external _maxgrplist
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mkstemps (from libSystem)
00007ffa428c1d90 (__DATA_CONST,__const) non-external _nc_tab
00007ffa428c1ca0 (__DATA_CONST,__const) non-external _netids
00007ffa1fcdf188 (__TEXT,__const) external _oncrpcVersionNumber
00007ffa1fcdf160 (__TEXT,__const) external _oncrpcVersionString
00007ffa43dd5968 (__DATA,__data) non-external _oncrpc_xprt_init
                 (undefined) external _open (from libSystem)
00007ffa1fcd6c9c (__TEXT,__text) non-external (was a private external) _open_socket
00007ffa43dd55b0 (__DATA,__data) non-external _ops
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _pipe (from libSystem)
00007ffa43dd56d0 (__DATA,__data) non-external _pmap_addrs
00007ffa1fccf7f4 (__TEXT,__text) non-external _pmap_bcastrecv
00007ffa1fccea77 (__TEXT,__text) non-external (was a private external) _pmap_getport_timeout
00007ffa1fccf52b (__TEXT,__text) non-external _pmap_mcastrecv
                 (undefined) external _poll (from libSystem)
00007ffa43dd58b8 (__DATA,__data) non-external _poll_timeout
00007ffa43dd5ad0 (__DATA,__data) non-external (was a private external) _portmap_netid
00007ffa43dd5b60 (__DATA,__bss) non-external _proglst
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_set_qos_class_np (from libSystem)
                 (undefined) external _pthread_attr_setdetachstate (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait_relative_np (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_exit (from libSystem)
                 (undefined) external _pthread_getspecific (from libSystem)
                 (undefined) external _pthread_getugid_np (from libSystem)
                 (undefined) external _pthread_key_create (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_set_qos_class_self_np (from libSystem)
                 (undefined) external _pthread_setspecific (from libSystem)
                 (undefined) external _pthread_setugid_np (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffa1fccd4a2 (__TEXT,__text) non-external _readstrm
00007ffa1fcd2124 (__TEXT,__text) non-external _readstrm
00007ffa1fcdcd94 (__TEXT,__text) non-external _readstrm.cold.1
00007ffa1fcdce2f (__TEXT,__text) non-external _readstrm.cold.2
                 (undefined) external _realloc (from libSystem)
00007ffa1fcd5ae3 (__TEXT,__text) non-external _realloc_stream
                 (undefined) external _reallocf (from libSystem)
                 (undefined) external _recvfrom (from libSystem)
00007ffa1fcd6d33 (__TEXT,__text) non-external (was a private external) _recvfrom_and_to
00007ffa1fcdecdc (__TEXT,__text) non-external _recvfrom_and_to.cold.1
                 (undefined) external _recvmsg (from libSystem)
00007ffa1fcd208d (__TEXT,__text) non-external _rendezvous_abort_freeargs
00007ffa1fcd207d (__TEXT,__text) non-external _rendezvous_abort_getargs
00007ffa1fcd2085 (__TEXT,__text) non-external _rendezvous_abort_reply
00007ffa1fcd2095 (__TEXT,__text) non-external _rendezvous_destroy
00007ffa1fcd1ee4 (__TEXT,__text) non-external _rendezvous_request
00007ffa1fcdcc38 (__TEXT,__text) non-external _rendezvous_request.cold.1
00007ffa1fcd2072 (__TEXT,__text) non-external _rendezvous_stat
00007ffa1fccb4ca (__TEXT,__text) external _reply_addr_cache_create
00007ffa1fccb522 (__TEXT,__text) external _reply_addr_cache_destroy
00007ffa43dd5710 (__DATA,__data) non-external _reply_dscrm
00007ffa1fcd7b5a (__TEXT,__text) non-external _reset_if_addr_cache
00007ffa1fccc7be (__TEXT,__text) non-external _rpc_createerr_destroy
00007ffa43dd5b30 (__DATA,__bss) non-external _rpc_createerr_key
00007ffa43dd5608 (__DATA,__data) non-external _rpc_createerr_once
00007ffa428c19c0 (__DATA_CONST,__const) non-external _rpc_errlist
00007ffa43dd56e8 (__DATA,__data) non-external _rpc_multicast
00007ffa43dd56c0 (__DATA,__data) non-external _rpcb_addrs
00007ffa1fccf2ba (__TEXT,__text) non-external _rpcb_mcastrecv
00007ffa1fcd97f6 (__TEXT,__text) non-external _rpcbind_getaddr_generic
00007ffa1fcd6f9e (__TEXT,__text) non-external _search_local_ifaddr_cache
                 (undefined) external _sendto (from libSystem)
00007ffa43dd5740 (__DATA,__data) non-external _server_ops
00007ffa1fcd57f9 (__TEXT,__text) non-external _set_input_fragment
00007ffa1fcd7a1c (__TEXT,__text) non-external (was a private external) _set_local_ephemeral_sockname
00007ffa43dd5a70 (__DATA,__data) non-external _set_retry_timeout
00007ffa43dd5ad8 (__DATA,__data) non-external _set_retry_timeout
00007ffa43dd5a80 (__DATA,__data) non-external _set_total_timeout
00007ffa43dd5ae8 (__DATA,__data) non-external _set_total_timeout
                 (undefined) external _setsockopt (from libSystem)
00007ffa1fcd57a2 (__TEXT,__text) non-external _skip_input_bytes
                 (undefined) external _sleep (from libSystem)
00007ffa1fccc6c6 (__TEXT,__text) non-external _slprintf
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror_r (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ffa43dd5658 (__DATA,__data) non-external _strm_ops
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strtol (from libSystem)
00007ffa43dd5b48 (__DATA,__bss) non-external _svc_active_threads
00007ffa1fcd3745 (__TEXT,__text) non-external (was a private external) _svc_armxprt
00007ffa1fcdde20 (__TEXT,__text) non-external _svc_armxprt.cold.1
00007ffa1fcddec1 (__TEXT,__text) non-external _svc_armxprt.cold.2
00007ffa1fcddf4a (__TEXT,__text) non-external _svc_armxprt.cold.3
00007ffa1fcd38e3 (__TEXT,__text) non-external (was a private external) _svc_clear_kq_control
00007ffa1fcd1197 (__TEXT,__text) non-external _svc_complete
00007ffa43dd5c94 (__DATA,__common) non-external (was a private external) _svc_cred_switch
00007ffa43dd57c8 (__DATA,__data) non-external _svc_exit_cond
00007ffa43dd5b4c (__DATA,__bss) non-external _svc_exit_flag
00007ffa1fcd3ca5 (__TEXT,__text) non-external (was a private external) _svc_get_thread_req
00007ffa43dd5b68 (__DATA,__bss) non-external _svc_head
00007ffa1fcd38d7 (__TEXT,__text) non-external (was a private external) _svc_kq_control
00007ffa43dd58c8 (__DATA,__data) non-external (was a private external) _svc_listen_backlog
00007ffa43dd5770 (__DATA,__data) non-external (was a private external) _svc_max_threads
00007ffa43dd5774 (__DATA,__data) non-external (was a private external) _svc_min_threads
00007ffa43dd5778 (__DATA,__data) non-external (was a private external) _svc_nreq
00007ffa1fcd361b (__TEXT,__text) non-external _svc_oncrpc_start
00007ffa1fcddc16 (__TEXT,__text) non-external _svc_oncrpc_start.cold.1
00007ffa1fcddcc4 (__TEXT,__text) non-external _svc_oncrpc_start.cold.2
00007ffa1fcddd72 (__TEXT,__text) non-external _svc_oncrpc_start.cold.3
00007ffa43dd5888 (__DATA,__data) non-external _svc_poll_cond
00007ffa43dd5848 (__DATA,__data) non-external _svc_poll_lock
00007ffa43dd5b50 (__DATA,__bss) non-external _svc_polling
00007ffa1fcd3969 (__TEXT,__text) non-external (was a private external) _svc_rearmxprt
00007ffa1fcde154 (__TEXT,__text) non-external _svc_rearmxprt.cold.1
00007ffa1fcde1f5 (__TEXT,__text) non-external _svc_rearmxprt.cold.2
00007ffa1fcde2a3 (__TEXT,__text) non-external _svc_rearmxprt.cold.3
00007ffa43dd5980 (__DATA,__data) non-external _svc_register_lock
00007ffa1fcd3cdc (__TEXT,__text) external _svc_req_clone
00007ffa1fcd3e2b (__TEXT,__text) external _svc_req_destroy
00007ffa1fcd3844 (__TEXT,__text) non-external (was a private external) _svc_rmxprt
00007ffa1fcddff8 (__TEXT,__text) non-external _svc_rmxprt.cold.1
00007ffa43dd5780 (__DATA,__data) non-external (was a private external) _svc_stack_size
00007ffa1fcd0a1c (__TEXT,__text) non-external _svc_start_threads
00007ffa1fcd09c9 (__TEXT,__text) non-external _svc_thread
00007ffa43dd5788 (__DATA,__data) non-external _svc_thread_lock
00007ffa43dd5c88 (__DATA,__common) non-external (was a private external) _svc_thread_qos_class
00007ffa43dd5c8c (__DATA,__common) non-external (was a private external) _svc_thread_relative_priority
00007ffa1fcd3aa8 (__TEXT,__text) non-external (was a private external) _svc_unarmxprt
00007ffa1fcde344 (__TEXT,__text) non-external _svc_unarmxprt.cold.1
00007ffa1fcde3e5 (__TEXT,__text) non-external _svc_unarmxprt.cold.2
00007ffa43dd57f8 (__DATA,__data) non-external _svc_workq_lock
00007ffa1fcd325c (__TEXT,__text) non-external (was a private external) _svc_xprt_create
00007ffa1fcddaba (__TEXT,__text) non-external _svc_xprt_create.cold.1
00007ffa1fcddb68 (__TEXT,__text) non-external _svc_xprt_create.cold.2
00007ffa1fcd34ae (__TEXT,__text) non-external (was a private external) _svc_xprt_destroy
00007ffa428c1b60 (__DATA_CONST,__const) non-external _svcauthsw
00007ffa1fcd0908 (__TEXT,__text) non-external _svcraw_destroy
00007ffa1fcd0900 (__TEXT,__text) non-external _svcraw_freeargs
00007ffa1fcd08f0 (__TEXT,__text) non-external _svcraw_getargs
00007ffa1fcd08dd (__TEXT,__text) non-external _svcraw_recv
00007ffa1fcd08f8 (__TEXT,__text) non-external _svcraw_reply
00007ffa1fcd08e5 (__TEXT,__text) non-external _svcraw_stat
00007ffa1fcd20ce (__TEXT,__text) non-external _svcstrm_destroy
00007ffa1fcdcce6 (__TEXT,__text) non-external _svcstrm_destroy.cold.1
00007ffa1fcd1776 (__TEXT,__text) non-external _svcstrm_domain_create
00007ffa1fcdc0f9 (__TEXT,__text) non-external _svcstrm_domain_create.cold.1
00007ffa1fcdc1a7 (__TEXT,__text) non-external _svcstrm_domain_create.cold.2
00007ffa1fcdc255 (__TEXT,__text) non-external _svcstrm_domain_create.cold.3
00007ffa1fcd276a (__TEXT,__text) non-external _svcstrm_freeargs
00007ffa1fcd2612 (__TEXT,__text) non-external _svcstrm_getargs
00007ffa43dd5900 (__DATA,__data) non-external _svcstrm_op
00007ffa1fcd2447 (__TEXT,__text) non-external _svcstrm_recv
00007ffa1fcdcf8b (__TEXT,__text) non-external _svcstrm_recv.cold.1
00007ffa1fcdd026 (__TEXT,__text) non-external _svcstrm_recv.cold.2
00007ffa1fcdd0d4 (__TEXT,__text) non-external _svcstrm_recv.cold.3
00007ffa43dd58d0 (__DATA,__data) non-external _svcstrm_rendezvous_op
00007ffa1fcd26b4 (__TEXT,__text) non-external _svcstrm_reply
00007ffa1fcdd16f (__TEXT,__text) non-external _svcstrm_reply.cold.1
00007ffa1fcd25b6 (__TEXT,__text) non-external _svcstrm_stat
00007ffa1fcd1932 (__TEXT,__text) external _svcticots_create
00007ffa1fcd193c (__TEXT,__text) external _svcticotsord_create
00007ffa1fcdc303 (__TEXT,__text) non-external _svcticotsord_create.cold.1
00007ffa1fcdc3b1 (__TEXT,__text) non-external _svcticotsord_create.cold.2
00007ffa1fcdc45f (__TEXT,__text) non-external _svcticotsord_create.cold.3
00007ffa1fcdc50d (__TEXT,__text) non-external _svcticotsord_create.cold.4
00007ffa1fcdc5bb (__TEXT,__text) non-external _svcticotsord_create.cold.5
00007ffa1fcdc656 (__TEXT,__text) non-external _svcticotsord_create.cold.6
00007ffa1fcdc6f5 (__TEXT,__text) non-external _svcticotsord_create.cold.7
00007ffa1fcdc789 (__TEXT,__text) non-external _svcticotsord_create.cold.8
00007ffa1fcdc837 (__TEXT,__text) non-external _svcticotsord_create.cold.9
00007ffa1fcd31fe (__TEXT,__text) non-external _svcudp_destroy
00007ffa1fcdda0c (__TEXT,__text) non-external _svcudp_destroy.cold.1
00007ffa1fcd31d0 (__TEXT,__text) non-external _svcudp_freeargs
00007ffa1fcd2e05 (__TEXT,__text) non-external _svcudp_getargs
00007ffa43dd5930 (__DATA,__data) non-external _svcudp_op
00007ffa1fcd2af1 (__TEXT,__text) non-external _svcudp_recv
00007ffa1fcdd631 (__TEXT,__text) non-external _svcudp_recv.cold.1
00007ffa1fcdd6df (__TEXT,__text) non-external _svcudp_recv.cold.2
00007ffa1fcd2e86 (__TEXT,__text) non-external _svcudp_reply
00007ffa1fcdd78d (__TEXT,__text) non-external _svcudp_reply.cold.1
00007ffa1fcdd83b (__TEXT,__text) non-external _svcudp_reply.cold.2
00007ffa1fcdd8d6 (__TEXT,__text) non-external _svcudp_reply.cold.3
00007ffa1fcdd971 (__TEXT,__text) non-external _svcudp_reply.cold.4
00007ffa1fcd2dfa (__TEXT,__text) non-external _svcudp_stat
                 (undefined) external _sys_nerr (from libSystem)
00007ffa1fccc7cf (__TEXT,__text) non-external _tsd_init_buf
00007ffa1fcdaa8b (__TEXT,__text) non-external _tsd_init_buf.cold.1
00007ffa1fccc0f5 (__TEXT,__text) non-external _tsd_init_rpc_createerr
00007ffa1fcda896 (__TEXT,__text) non-external _tsd_init_rpc_createerr.cold.1
00007ffa43dd5688 (__DATA,__data) non-external _udp_ops
00007ffa1fcd770a (__TEXT,__text) non-external _ugetport
00007ffa1fcd135f (__TEXT,__text) non-external _universal
00007ffa1fcdba9e (__TEXT,__text) non-external _universal.cold.1
00007ffa1fcdbb34 (__TEXT,__text) non-external _universal.cold.2
00007ffa1fcdbbc8 (__TEXT,__text) non-external _universal.cold.3
                 (undefined) external _unlink (from libSystem)
00007ffa43dd5a90 (__DATA,__data) non-external _unset_retry_timeout
00007ffa43dd5af8 (__DATA,__data) non-external _unset_retry_timeout
00007ffa43dd5aa0 (__DATA,__data) non-external _unset_total_timeout
00007ffa43dd5b08 (__DATA,__data) non-external _unset_total_timeout
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) external _vsnprintf (from libSystem)
00007ffa1fcd3911 (__TEXT,__text) non-external _wakeup_kq
00007ffa1fcde0a6 (__TEXT,__text) non-external _wakeup_kq.cold.1
                 (undefined) external _warnx (from libSystem)
00007ffa43dd5838 (__DATA,__data) non-external _workq
                 (undefined) external _write (from libSystem)
00007ffa1fccd5a0 (__TEXT,__text) non-external _writestrm
00007ffa1fcd22eb (__TEXT,__text) non-external _writestrm
00007ffa1fcdcedd (__TEXT,__text) non-external _writestrm.cold.1
00007ffa1fcd5e20 (__TEXT,__text) non-external _x_destroy
00007ffa1fcd5e0f (__TEXT,__text) non-external _x_getpostn
00007ffa1fcd5d9c (__TEXT,__text) non-external _x_inline
00007ffa1fcd5d8e (__TEXT,__text) non-external _x_putbytes
00007ffa1fcd5d7f (__TEXT,__text) non-external _x_putlong
00007ffa1fcd5e18 (__TEXT,__text) non-external _x_setpostn
00007ffa1fcd045c (__TEXT,__text) non-external _xdr_accepted_reply
00007ffa1fccf9e2 (__TEXT,__text) non-external _xdr_callit_args
00007ffa1fcd4f5c (__TEXT,__text) non-external (was a private external) _xdr_is_memstream
00007ffa1fcd5acd (__TEXT,__text) non-external (was a private external) _xdr_is_recstream
00007ffa1fccfb7b (__TEXT,__text) non-external _xdr_pmapcallres
00007ffa1fcd04e7 (__TEXT,__text) non-external _xdr_rejected_reply
00007ffa1fccfa5d (__TEXT,__text) non-external _xdr_rmt3callres
00007ffa1fcd65c5 (__TEXT,__text) external _xdr_vmbytes
00007ffa1fcdeb80 (__TEXT,__text) non-external _xdr_vmbytes.cold.1
00007ffa1fcdf1f8 (__TEXT,__const) non-external _xdr_zero
00007ffa1fcd509d (__TEXT,__text) non-external _xdrmem_destroy
00007ffa1fcd4fdc (__TEXT,__text) non-external _xdrmem_getbytes
00007ffa1fcd50a3 (__TEXT,__text) non-external _xdrmem_getlong_aligned
00007ffa1fcd4f85 (__TEXT,__text) non-external _xdrmem_getlong_unaligned
00007ffa1fcd5048 (__TEXT,__text) non-external _xdrmem_getpos
00007ffa1fcd4ef3 (__TEXT,__text) non-external (was a private external) _xdrmem_getrecord
00007ffa1fcd50fd (__TEXT,__text) non-external _xdrmem_inline_aligned
00007ffa1fcd5095 (__TEXT,__text) non-external _xdrmem_inline_unaligned
00007ffa428c1bc0 (__DATA_CONST,__const) non-external _xdrmem_ops_aligned
00007ffa428c1b78 (__DATA_CONST,__const) non-external _xdrmem_ops_unaligned
00007ffa1fcd5015 (__TEXT,__text) non-external _xdrmem_putbytes
00007ffa1fcd50d0 (__TEXT,__text) non-external _xdrmem_putlong_aligned
00007ffa1fcd4fb2 (__TEXT,__text) non-external _xdrmem_putlong_unaligned
00007ffa1fcd5062 (__TEXT,__text) non-external _xdrmem_setpos
00007ffa1fcd5408 (__TEXT,__text) non-external _xdrrec_destroy
00007ffa1fcd51ec (__TEXT,__text) non-external _xdrrec_getbytes
00007ffa1fcd511e (__TEXT,__text) non-external _xdrrec_getlong
00007ffa1fcd52e8 (__TEXT,__text) non-external _xdrrec_getpos
00007ffa1fcd596d (__TEXT,__text) non-external (was a private external) _xdrrec_getrecord
00007ffa1fcd53bd (__TEXT,__text) non-external _xdrrec_inline
00007ffa1fcd55d1 (__TEXT,__text) non-external (was a private external) _xdrrec_isrecordstart
00007ffa1fcde902 (__TEXT,__text) non-external _xdrrec_isrecordstart.cold.1
00007ffa428c1c08 (__DATA_CONST,__const) non-external (was a private external) _xdrrec_ops
00007ffa1fcd5264 (__TEXT,__text) non-external _xdrrec_putbytes
00007ffa1fcd5186 (__TEXT,__text) non-external _xdrrec_putlong
00007ffa1fcd533b (__TEXT,__text) non-external _xdrrec_setpos
00007ffa1fcd5f9e (__TEXT,__text) non-external _xdrstdio_destroy
00007ffa1fcd5f03 (__TEXT,__text) non-external _xdrstdio_getbytes
00007ffa1fcd5e83 (__TEXT,__text) non-external _xdrstdio_getlong
00007ffa1fcd5f63 (__TEXT,__text) non-external _xdrstdio_getpos
00007ffa1fcd5f96 (__TEXT,__text) non-external _xdrstdio_inline
00007ffa428c1c50 (__DATA_CONST,__const) non-external _xdrstdio_ops
00007ffa1fcd5f33 (__TEXT,__text) non-external _xdrstdio_putbytes
00007ffa1fcd5eca (__TEXT,__text) non-external _xdrstdio_putlong
00007ffa1fcd5f7e (__TEXT,__text) non-external _xdrstdio_setpos
00007ffa1fcd3534 (__TEXT,__text) non-external (was a private external) _xprt_ref
00007ffa1fcd357a (__TEXT,__text) non-external (was a private external) _xprt_unref
