00007ffb191a252c (__TEXT,__text) non-external _Done_iODBC
00007ffb409ec6e0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffb409ed3a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffb409ed3c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffb409ed3f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffb409ed420 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffb409ed490 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffb409ed4d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffb409ed550 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffb409ed5b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffb409ed630 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffb409ed660 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffb409ed6b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffb409ed370 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffb409ed6e0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffb409ecb40 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffb409ec710 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffb409ecb60 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffb409ec7e0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffb409ec800 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffb409ec8b0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffb409ecbe0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffb409ecb90 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffb409ec4e0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffb191b98cb (__TEXT,__text) non-external __trace_bufferlen
00007ffb191b90ea (__TEXT,__text) non-external __trace_c_type
00007ffb191b65c0 (__TEXT,__text) non-external __trace_colattr2_type
00007ffb191b68c9 (__TEXT,__text) non-external __trace_colattr3_data
00007ffb191b65fb (__TEXT,__text) non-external __trace_colattr3_type
00007ffb191b2e04 (__TEXT,__text) non-external __trace_connattr_type
00007ffb191b9ba8 (__TEXT,__text) non-external __trace_connopt_type
00007ffb191bb8df (__TEXT,__text) non-external __trace_connstr
00007ffb191bbb6a (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffb191bbac9 (__TEXT,__text) non-external __trace_connstr_w
00007ffb191babf8 (__TEXT,__text) non-external __trace_data
00007ffb191b308c (__TEXT,__text) non-external __trace_desc_null
00007ffb191b5f94 (__TEXT,__text) non-external __trace_descfield_type
00007ffb191ba93c (__TEXT,__text) non-external __trace_diag_type
00007ffb191b7d94 (__TEXT,__text) non-external __trace_direction
00007ffb191bb9ab (__TEXT,__text) non-external __trace_drvcn_completion
00007ffb191b395b (__TEXT,__text) non-external __trace_envattr_type
00007ffb191b3fc8 (__TEXT,__text) non-external __trace_fetchtype
00007ffb191bc010 (__TEXT,__text) non-external __trace_freestmt_option
00007ffb191b7569 (__TEXT,__text) non-external __trace_func_name
00007ffb191b74bc (__TEXT,__text) non-external __trace_func_result
00007ffb191b41b5 (__TEXT,__text) non-external __trace_getinfo
00007ffb191b8c2c (__TEXT,__text) non-external __trace_handle
00007ffb191b8bc7 (__TEXT,__text) non-external __trace_handle_p
00007ffb191b8b8c (__TEXT,__text) non-external __trace_handletype
00007ffb191b93f4 (__TEXT,__text) non-external __trace_inouttype
00007ffb191b8c9e (__TEXT,__text) non-external __trace_integer
00007ffb191b8db6 (__TEXT,__text) non-external __trace_integer_p
00007ffb191b8e8f (__TEXT,__text) non-external __trace_len
00007ffb191b8ec9 (__TEXT,__text) non-external __trace_len_p
00007ffb191b8cd7 (__TEXT,__text) non-external __trace_pointer
00007ffb191b89fc (__TEXT,__text) non-external __trace_print_function
00007ffb191b4095 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffb191b3e9b (__TEXT,__text) non-external __trace_setpos_irow
00007ffb191b3ef2 (__TEXT,__text) non-external __trace_setpos_lock
00007ffb191b3eb7 (__TEXT,__text) non-external __trace_setpos_oper
00007ffb191b8c65 (__TEXT,__text) non-external __trace_smallint
00007ffb191b8d0f (__TEXT,__text) non-external __trace_smallint_p
00007ffb191b3b7e (__TEXT,__text) non-external __trace_spcols_null
00007ffb191b3b43 (__TEXT,__text) non-external __trace_spcols_scope
00007ffb191b3b02 (__TEXT,__text) non-external __trace_spcols_type
00007ffb191b9810 (__TEXT,__text) non-external __trace_sql_subtype
00007ffb191b942f (__TEXT,__text) non-external __trace_sql_type
00007ffb191b9604 (__TEXT,__text) non-external __trace_sql_type_p
00007ffb191bbd53 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffb191bbd14 (__TEXT,__text) non-external __trace_stats_unique
00007ffb191b9e8c (__TEXT,__text) non-external __trace_stmtattr_type
00007ffb191ba63c (__TEXT,__text) non-external __trace_stmtopt_type
00007ffb191b8f6f (__TEXT,__text) non-external __trace_string
00007ffb191b9018 (__TEXT,__text) non-external __trace_string_w
00007ffb191b8e5b (__TEXT,__text) non-external __trace_stringlen
00007ffb409ed7e0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffb191bb325 (__TEXT,__text) non-external __trace_tran_completion
00007ffb191bb5c0 (__TEXT,__text) non-external __trace_typeinfo
00007ffb191b8cbb (__TEXT,__text) non-external __trace_uinteger
00007ffb191b8e09 (__TEXT,__text) non-external __trace_uinteger_p
00007ffb191b8eac (__TEXT,__text) non-external __trace_ulen
00007ffb191b8f1c (__TEXT,__text) non-external __trace_ulen_p
00007ffb191b8c82 (__TEXT,__text) non-external __trace_usmallint
00007ffb191b8d63 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffb430b5c02 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb191bce66 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffb191bd375 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffb191bce01 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffb191bd0af (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffb191bcecf (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffb191bd563 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffb191bcf74 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffb191bd016 (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffb191bd064 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffb191bea75 (__TEXT,__text) non-external _do_create_dsns
00007ffb430b5bc0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffb430b5ba0 (__DATA,__common) non-external _ierror
00007ffb191beb9a (__TEXT,__text) non-external _install_from_ini
00007ffb191bf065 (__TEXT,__text) non-external _install_from_string
00007ffb430b5600 (__DATA,__data) external _iodbc_version
00007ffb430b5ae0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb430b5b28 (__DATA,__data) non-external _numerrors
00007ffb430b5610 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffb430b5b30 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb191bf20c (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffb409eb940 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffb430b5b70 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffb191b5983 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffb191b9b15 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffb191b6450 (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffb191b7ce7 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffb191b63b6 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffb191b6e32 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffb191b999b (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffb191b9a58 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffb191b3aa4 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffb191bab83 (__TEXT,__text) non-external _trace_SQLCancel
00007ffb191b7d6a (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffb191b6834 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffb191b6c0c (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffb191b6ca4 (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffb191b6d51 (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffb191ba762 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffb191ba84e (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffb191b5a44 (__TEXT,__text) non-external _trace_SQLColumns
00007ffb191b5b30 (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffb191ba1b4 (__TEXT,__text) non-external _trace_SQLConnect
00007ffb191ba26f (__TEXT,__text) non-external _trace_SQLConnectW
00007ffb191b3f8f (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffb191b7df8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffb191b7ed8 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffb191b30fa (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffb191b31e4 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffb191ba6bf (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffb191b7d40 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffb191bb7fc (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffb191bb9e6 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffb191b7094 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffb191b7174 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffb191b5940 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffb191b3500 (__TEXT,__text) non-external _trace_SQLError
00007ffb191b35e7 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffb191b7b37 (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffb191b7b94 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffb191b3ad8 (__TEXT,__text) non-external _trace_SQLExecute
00007ffb191b4007 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffb191b8073 (__TEXT,__text) non-external _trace_SQLFetch
00007ffb191b9b5f (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffb191ba32a (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffb191ba474 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffb191ba612 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffb191b3e71 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffb191b5911 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffb191bc048 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffb191b2f7c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffb191b3004 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffb191b9d6c (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffb191b9db4 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffb191b64b7 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffb191b653b (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffb191bb250 (__TEXT,__text) non-external _trace_SQLGetData
00007ffb191b6288 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffb191b631f (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffb191b32ce (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffb191b33e7 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffb191baa50 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffb191baaf6 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffb191b37a1 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffb191b3880 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffb191b39c8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffb191b7ae4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffb191b4128 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffb191b5664 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffb191ba0c0 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffb191ba148 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffb191ba677 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffb191bb794 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffb191bb7c8 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffb191bb2fb (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffb191b5dfc (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffb191b5ec8 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffb191b5c1c (__TEXT,__text) non-external _trace_SQLNumParams
00007ffb191ba5be (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffb191b6dfe (__TEXT,__text) non-external _trace_SQLParamData
00007ffb191b59dc (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffb191bc07c (__TEXT,__text) non-external _trace_SQLPrepare
00007ffb191bc0d9 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffb191b7254 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffb191b731a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffb191b56f1 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffb191b57dd (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffb191b6f08 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffb191b6fce (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffb191babad (__TEXT,__text) non-external _trace_SQLPutData
00007ffb191b3a50 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffb191bbc70 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffb191bbcc2 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffb191b9dfc (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffb191b9e44 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffb191b7fbb (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffb191b8017 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffb191b36d3 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffb191b373a (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffb191b73e0 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffb191b7bf1 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffb191b3f2d (__TEXT,__text) non-external _trace_SQLSetPos
00007ffb191b40d4 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffb191b7c43 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffb191b7c95 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffb191b58c9 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffb191b3bbd (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffb191b3d17 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffb191bbd92 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffb191bbed1 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffb191b5c70 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffb191b5d36 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffb191bb3e5 (__TEXT,__text) non-external _trace_SQLTables
00007ffb191bb4d1 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffb191bb365 (__TEXT,__text) non-external _trace_SQLTransact
00007ffb430b5b60 (__DATA,__bss) non-external _trace_appname
00007ffb191b8588 (__TEXT,__text) non-external _trace_emit
00007ffb191b8881 (__TEXT,__text) non-external _trace_emit_binary
00007ffb191b8679 (__TEXT,__text) non-external _trace_emit_string
00007ffb191b8653 (__TEXT,__text) non-external _trace_emitc
00007ffb430b5b68 (__DATA,__bss) non-external _trace_fname
00007ffb430b5b80 (__DATA,__bss) non-external _trace_fp
00007ffb430b5b88 (__DATA,__bss) non-external _trace_fp_close
00007ffb191b80d0 (__TEXT,__text) non-external _trace_get_filename
00007ffb191b80a0 (__TEXT,__text) non-external _trace_set_appname
00007ffb191b80e1 (__TEXT,__text) non-external _trace_set_filename
00007ffb191b835f (__TEXT,__text) non-external _trace_start
00007ffb191b84e8 (__TEXT,__text) non-external _trace_stop
00007ffb191b830c (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffb191bd50f (__TEXT,__text) non-external _utf8_len
00007ffb191bd5e1 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffb430b5c00 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
