00000001cdb43854 (__TEXT,__text) non-external +[Cube initialize]
00000001cd98e2cc (__TEXT,__text) non-external -[MPDocument allElements]
00000001cd98e134 (__TEXT,__text) non-external -[MPDocument allSlides:]
00000001cd98e12c (__TEXT,__text) non-external -[MPDocument allSlides]
00000001cd98cf80 (__TEXT,__text) non-external -[MPDocument applyStyle:]
00000001cd98d774 (__TEXT,__text) non-external -[MPDocument assetKeyDelegate]
00000001cd98d5f4 (__TEXT,__text) non-external -[MPDocument authoringOptionForKey:]
00000001cd98e00c (__TEXT,__text) non-external -[MPDocument beginBatchModify]
00000001cd98e5d4 (__TEXT,__text) non-external -[MPDocument cleanup]
00000001cd98cf4c (__TEXT,__text) non-external -[MPDocument currentStyle]
00000001cd98ce04 (__TEXT,__text) non-external -[MPDocument dealloc]
00000001cd98cd28 (__TEXT,__text) non-external -[MPDocument description]
00000001cd98cef4 (__TEXT,__text) non-external -[MPDocument displayName]
00000001cd98cfd4 (__TEXT,__text) non-external -[MPDocument documentAttributeForKey:]
00000001cd98e5c4 (__TEXT,__text) non-external -[MPDocument documentAttributes]
00000001cd98c338 (__TEXT,__text) non-external -[MPDocument encodeWithCoder:]
00000001cd98e080 (__TEXT,__text) non-external -[MPDocument endBatchModify]
00000001cd98e728 (__TEXT,__text) non-external -[MPDocument fadeInDuration]
00000001cd98e708 (__TEXT,__text) non-external -[MPDocument fadeOutDuration]
00000001cd98c49c (__TEXT,__text) non-external -[MPDocument initWithCoder:]
00000001cd98c038 (__TEXT,__text) non-external -[MPDocument init]
00000001cd98d684 (__TEXT,__text) non-external -[MPDocument loopingMode]
00000001cd98d180 (__TEXT,__text) non-external -[MPDocument mediaProperties]
00000001cd98dcbc (__TEXT,__text) non-external -[MPDocument moveExternalPathsFromDirectory:toDirectory:remap:options:]
00000001cd98d6fc (__TEXT,__text) non-external -[MPDocument numberOfLoops]
00000001cd98e748 (__TEXT,__text) non-external -[MPDocument posterTime]
00000001cd98d160 (__TEXT,__text) non-external -[MPDocument preserveMedia]
00000001cd98d2f4 (__TEXT,__text) non-external -[MPDocument propertiesForMediaPath:]
00000001cd98cda4 (__TEXT,__text) non-external -[MPDocument readFromFileWrapper:ofType:error:]
00000001cd98cdfc (__TEXT,__text) non-external -[MPDocument readFromPath:ofType:error:]
00000001cd98d588 (__TEXT,__text) non-external -[MPDocument removePropertiesForMediaPath:]
00000001cd98d83c (__TEXT,__text) non-external -[MPDocument saveExternalPathsToDirectory:remap:options:]
00000001cd98d81c (__TEXT,__text) non-external -[MPDocument savesPathsAsAbsolute]
00000001cd98d784 (__TEXT,__text) non-external -[MPDocument setAssetKeyDelegate:]
00000001cd98d638 (__TEXT,__text) non-external -[MPDocument setAuthoringOption:forKey:]
00000001cd98d088 (__TEXT,__text) non-external -[MPDocument setDocumentAttribute:forKey:]
00000001cd98e738 (__TEXT,__text) non-external -[MPDocument setFadeInDuration:]
00000001cd98e718 (__TEXT,__text) non-external -[MPDocument setFadeOutDuration:]
00000001cd98d6b8 (__TEXT,__text) non-external -[MPDocument setLoopingMode:]
00000001cd98d190 (__TEXT,__text) non-external -[MPDocument setMediaProperties:]
00000001cd98d730 (__TEXT,__text) non-external -[MPDocument setNumberOfLoops:]
00000001cd98d170 (__TEXT,__text) non-external -[MPDocument setPreserveMedia:]
00000001cd98d370 (__TEXT,__text) non-external -[MPDocument setProperties:forMediaPath:]
00000001cd98d82c (__TEXT,__text) non-external -[MPDocument setSavesPathsAsAbsolute:]
00000001cd9921e8 (__TEXT,__text) non-external -[MPDocument(AppleScript) countOfLayers]
00000001cd9922a4 (__TEXT,__text) non-external -[MPDocument(AppleScript) insertObject:inLayersAtIndex:]
00000001cd99221c (__TEXT,__text) non-external -[MPDocument(AppleScript) objectInLayersAtIndex:]
00000001cd9922f0 (__TEXT,__text) non-external -[MPDocument(AppleScript) removeObjectFromLayersAtIndex:]
00000001cd992334 (__TEXT,__text) non-external -[MPDocument(AppleScript) replaceObjectInLayersAtIndex:withObject:]
00000001cd9923cc (__TEXT,__text) non-external -[MPDocument(AppleScript) setStyleID:]
00000001cd99238c (__TEXT,__text) non-external -[MPDocument(AppleScript) setTitle:]
00000001cd992398 (__TEXT,__text) non-external -[MPDocument(AppleScript) styleID]
00000001cd992380 (__TEXT,__text) non-external -[MPDocument(AppleScript) title]
00000001cd992260 (__TEXT,__text) non-external -[MPDocument(AppleScript) valueInLayersWithName:]
00000001cd98e804 (__TEXT,__text) non-external -[MPDocument(Automatic) addAudioPath:]
00000001cd98e848 (__TEXT,__text) non-external -[MPDocument(Automatic) addAudioPaths:]
00000001cd98e77c (__TEXT,__text) non-external -[MPDocument(Automatic) addVideoPath:]
00000001cd98e7c0 (__TEXT,__text) non-external -[MPDocument(Automatic) addVideoPaths:]
00000001cd98e9c0 (__TEXT,__text) non-external -[MPDocument(Automatic) audioPaths]
00000001cd98e948 (__TEXT,__text) non-external -[MPDocument(Automatic) orderedVideoPaths]
00000001cd98ea6c (__TEXT,__text) non-external -[MPDocument(Automatic) removeAllAudioPaths]
00000001cd98ea38 (__TEXT,__text) non-external -[MPDocument(Automatic) removeAllVideoPaths]
00000001cd98e88c (__TEXT,__text) non-external -[MPDocument(Automatic) removePath:]
00000001cd98e8d0 (__TEXT,__text) non-external -[MPDocument(Automatic) removePaths:]
00000001cd98e9f4 (__TEXT,__text) non-external -[MPDocument(Automatic) setAudioPaths:]
00000001cd98e97c (__TEXT,__text) non-external -[MPDocument(Automatic) setVideoPaths:]
00000001cd98e914 (__TEXT,__text) non-external -[MPDocument(Automatic) videoPaths]
00000001cd9931d8 (__TEXT,__text) non-external -[MPDocument(Deprecated) marimbaDocument]
00000001cd990708 (__TEXT,__text) non-external -[MPDocument(Internal) _setMediaProperties:]
00000001cd99070c (__TEXT,__text) non-external -[MPDocument(Internal) absoluteVideoPaths]
00000001cd990384 (__TEXT,__text) non-external -[MPDocument(Internal) actionableObjectForID:]
00000001cd9910a0 (__TEXT,__text) non-external -[MPDocument(Internal) altitudeForPath:]
00000001cd991004 (__TEXT,__text) non-external -[MPDocument(Internal) areaForPath:]
00000001cd991d28 (__TEXT,__text) non-external -[MPDocument(Internal) aspectRatioDidChange:atTime:]
00000001cd991cdc (__TEXT,__text) non-external -[MPDocument(Internal) aspectRatio]
00000001cd991de8 (__TEXT,__text) non-external -[MPDocument(Internal) cachedAbsolutePathFromPath:]
00000001cd991ef4 (__TEXT,__text) non-external -[MPDocument(Internal) cachedAbsoluteStillPathFromPath:]
00000001cd990d9c (__TEXT,__text) non-external -[MPDocument(Internal) captionForPath:]
00000001cd990f9c (__TEXT,__text) non-external -[MPDocument(Internal) cityForPath:]
00000001cd992088 (__TEXT,__text) non-external -[MPDocument(Internal) configureActions]
00000001cd990f00 (__TEXT,__text) non-external -[MPDocument(Internal) countryForPath:]
00000001cd990c8c (__TEXT,__text) non-external -[MPDocument(Internal) creationDateForPath:]
00000001cd99106c (__TEXT,__text) non-external -[MPDocument(Internal) definedPlaceNameForPath:]
00000001cd9917dc (__TEXT,__text) non-external -[MPDocument(Internal) descriptionForRandomTransitionPresetID:]
00000001cd991d74 (__TEXT,__text) non-external -[MPDocument(Internal) detectFacesInBackground]
00000001cd9904d8 (__TEXT,__text) non-external -[MPDocument(Internal) documentLayerGroup]
00000001cd991800 (__TEXT,__text) non-external -[MPDocument(Internal) fadeOutAudioDuration]
00000001cd991748 (__TEXT,__text) non-external -[MPDocument(Internal) flightPlanFrom:to:]
00000001cd9908fc (__TEXT,__text) non-external -[MPDocument(Internal) isAudioAtPath:]
00000001cd9907ac (__TEXT,__text) non-external -[MPDocument(Internal) isImageAtPath:]
00000001cd9921d8 (__TEXT,__text) non-external -[MPDocument(Internal) isInBatchModify]
00000001cd991da8 (__TEXT,__text) non-external -[MPDocument(Internal) isLive]
00000001cd990854 (__TEXT,__text) non-external -[MPDocument(Internal) isMovieAtPath:]
00000001cd990d14 (__TEXT,__text) non-external -[MPDocument(Internal) keywordsForPath:]
00000001cd9917e0 (__TEXT,__text) non-external -[MPDocument(Internal) lastRandomTransition]
00000001cd991364 (__TEXT,__text) non-external -[MPDocument(Internal) latLongPointForMap:withAttributes:]
00000001cd990dd0 (__TEXT,__text) non-external -[MPDocument(Internal) latitudeForPath:]
00000001cd992080 (__TEXT,__text) non-external -[MPDocument(Internal) layersCanPositionZIndex]
00000001cd990e68 (__TEXT,__text) non-external -[MPDocument(Internal) longitudeForPath:]
00000001cd991684 (__TEXT,__text) non-external -[MPDocument(Internal) mapLevelForPath:]
00000001cd991c94 (__TEXT,__text) non-external -[MPDocument(Internal) nearingEndWithOptions:]
00000001cd991038 (__TEXT,__text) non-external -[MPDocument(Internal) neighborhoodForPath:]
00000001cd990f34 (__TEXT,__text) non-external -[MPDocument(Internal) oceanForPath:]
00000001cd991820 (__TEXT,__text) non-external -[MPDocument(Internal) organizeRandomTransitions]
00000001cd991c44 (__TEXT,__text) non-external -[MPDocument(Internal) organizedRandomTransitions]
00000001cd990fd0 (__TEXT,__text) non-external -[MPDocument(Internal) placeForPath:]
00000001cd9913f4 (__TEXT,__text) non-external -[MPDocument(Internal) pointForMap:withAttributes:]
00000001cd98fe84 (__TEXT,__text) non-external -[MPDocument(Internal) propertiesForMediaPathAndCreateIfNeeded:withValue:forKey:]
00000001cd9909a4 (__TEXT,__text) non-external -[MPDocument(Internal) regionsOfInterestForPath:]
00000001cd9909ac (__TEXT,__text) non-external -[MPDocument(Internal) regionsOfInterestForPath:detect:]
00000001cd991e54 (__TEXT,__text) non-external -[MPDocument(Internal) setAbsolutePath:forKey:]
00000001cd991f60 (__TEXT,__text) non-external -[MPDocument(Internal) setAbsoluteStillPath:forKey:]
00000001cd992070 (__TEXT,__text) non-external -[MPDocument(Internal) setAlwaysLookupAbsolutePaths:]
00000001cd991810 (__TEXT,__text) non-external -[MPDocument(Internal) setAudioFadeOutDuration:]
00000001cd98ff44 (__TEXT,__text) non-external -[MPDocument(Internal) setDocumentLayerGroup:]
00000001cd9917f0 (__TEXT,__text) non-external -[MPDocument(Internal) setLastRandomTransition:]
00000001cd9906bc (__TEXT,__text) non-external -[MPDocument(Internal) setMontage:]
00000001cd992000 (__TEXT,__text) non-external -[MPDocument(Internal) setTemporarilyCacheAbsolutePaths:]
00000001cd99012c (__TEXT,__text) non-external -[MPDocument(Internal) setupDocumentLayerGroup]
00000001cd9902d4 (__TEXT,__text) non-external -[MPDocument(Internal) setupLayerGroups]
00000001cd990f68 (__TEXT,__text) non-external -[MPDocument(Internal) stateForPath:]
00000001cd991138 (__TEXT,__text) non-external -[MPDocument(Internal) tiledMapPathsForAttributes:]
00000001cd9904e8 (__TEXT,__text) non-external -[MPDocument(Internal) upgradeDocument]
00000001cd990740 (__TEXT,__text) non-external -[MPDocument(Internal) volumeForPath:]
00000001cd992ae4 (__TEXT,__text) non-external -[MPDocument(MediaManagement) CGImageForAssetAtPath:andSize:]
00000001cd992b14 (__TEXT,__text) non-external -[MPDocument(MediaManagement) CGImageForAssetAtPath:andSize:orientation:thumbnailIfPossible:now:]
00000001cd992e30 (__TEXT,__text) non-external -[MPDocument(MediaManagement) IOSurfaceForAssetAtPath:andSize:orientation:]
00000001cd992410 (__TEXT,__text) non-external -[MPDocument(MediaManagement) absolutePathForAssetAtPath:]
00000001cd992690 (__TEXT,__text) non-external -[MPDocument(MediaManagement) absolutePathForAssetAtPath:andSize:]
00000001cd992a60 (__TEXT,__text) non-external -[MPDocument(MediaManagement) absolutePathForStillAssetAtPath:andSize:]
00000001cd993100 (__TEXT,__text) non-external -[MPDocument(MediaManagement) attributeForAssetAtPath:forKey:]
00000001cd992d34 (__TEXT,__text) non-external -[MPDocument(MediaManagement) avAssetForAssetAtPath:]
00000001cd992da4 (__TEXT,__text) non-external -[MPDocument(MediaManagement) dataForAssetAtPath:andSize:]
00000001cd992ec0 (__TEXT,__text) non-external -[MPDocument(MediaManagement) isSupportedMovieForAssetAtPath:]
00000001cd992f44 (__TEXT,__text) non-external -[MPDocument(MediaManagement) resolutionForAssetAtPath:]
00000001cd993108 (__TEXT,__text) non-external -[MPDocument(MediaManagement) startTimeForAssetAtPath:]
00000001cd993170 (__TEXT,__text) non-external -[MPDocument(MediaManagement) stopTimeForAssetAtPath:]
00000001cd992ca0 (__TEXT,__text) non-external -[MPDocument(MediaManagement) thumbnailCGImageForAssetAtPath:andSize:]
00000001cd98ead4 (__TEXT,__text) non-external -[MPDocument(Model) addLayer:]
00000001cd98eb54 (__TEXT,__text) non-external -[MPDocument(Model) addLayers:]
00000001cd98f0dc (__TEXT,__text) non-external -[MPDocument(Model) audioPlaylist]
00000001cd98efb8 (__TEXT,__text) non-external -[MPDocument(Model) backgroundCGColor]
00000001cd98ef84 (__TEXT,__text) non-external -[MPDocument(Model) backgroundColor]
00000001cd98f074 (__TEXT,__text) non-external -[MPDocument(Model) duration]
00000001cd98eba8 (__TEXT,__text) non-external -[MPDocument(Model) insertLayers:atIndex:]
00000001cd98ef74 (__TEXT,__text) non-external -[MPDocument(Model) keyedLayers]
00000001cd98edd8 (__TEXT,__text) non-external -[MPDocument(Model) layerForKey:]
00000001cd98eaa0 (__TEXT,__text) non-external -[MPDocument(Model) layers]
00000001cd98f154 (__TEXT,__text) non-external -[MPDocument(Model) mainLayers]
00000001cd98ed8c (__TEXT,__text) non-external -[MPDocument(Model) moveLayersFromIndices:toIndex:]
00000001cd98ebf4 (__TEXT,__text) non-external -[MPDocument(Model) removeAllLayers]
00000001cd98eec0 (__TEXT,__text) non-external -[MPDocument(Model) removeLayerForKey:]
00000001cd98ed48 (__TEXT,__text) non-external -[MPDocument(Model) removeLayersAtIndices:]
00000001cd98f110 (__TEXT,__text) non-external -[MPDocument(Model) setAudioPlaylist:]
00000001cd98f030 (__TEXT,__text) non-external -[MPDocument(Model) setBackgroundCGColor:]
00000001cd98efec (__TEXT,__text) non-external -[MPDocument(Model) setBackgroundColor:]
00000001cd98ede8 (__TEXT,__text) non-external -[MPDocument(Model) setLayer:forKey:]
00000001cd98f0a8 (__TEXT,__text) non-external -[MPDocument(Model) videoDuration]
00000001cd98f550 (__TEXT,__text) non-external -[MPDocument(Private) allEffectContainers]
00000001cd98f584 (__TEXT,__text) non-external -[MPDocument(Private) allEffects]
00000001cd98f5b8 (__TEXT,__text) non-external -[MPDocument(Private) allSongs]
00000001cd98f738 (__TEXT,__text) non-external -[MPDocument(Private) antialiasLevel]
00000001cd98f198 (__TEXT,__text) non-external -[MPDocument(Private) dump]
00000001cd98fcd4 (__TEXT,__text) non-external -[MPDocument(Private) durationForPath:]
00000001cd98f19c (__TEXT,__text) non-external -[MPDocument(Private) fullDebugLog]
00000001cd98fdac (__TEXT,__text) non-external -[MPDocument(Private) mediaTypeForPath:]
00000001cd98f188 (__TEXT,__text) non-external -[MPDocument(Private) montage]
00000001cd98f3d4 (__TEXT,__text) non-external -[MPDocument(Private) outroEffect]
00000001cd98f788 (__TEXT,__text) non-external -[MPDocument(Private) reconnectAllTransitions]
00000001cd98f8d0 (__TEXT,__text) non-external -[MPDocument(Private) resolutionForPath:]
00000001cd98fb24 (__TEXT,__text) non-external -[MPDocument(Private) startTimeForPath:]
00000001cd98fbfc (__TEXT,__text) non-external -[MPDocument(Private) stopTimeForPath:]
00000001cd98f1a4 (__TEXT,__text) non-external -[MPDocument(Private) titleEffect]
00000001cd98f8c0 (__TEXT,__text) non-external -[MPDocument(Private) uuid]
00000001cd98bc28 (__TEXT,__text) non-external -[MPDocumentInternal alwaysLookupAbsolutePaths]
00000001cd98bb68 (__TEXT,__text) non-external -[MPDocumentInternal assetLogging]
00000001cd98bbb8 (__TEXT,__text) non-external -[MPDocumentInternal batchModifyCount]
00000001cd98bc18 (__TEXT,__text) non-external -[MPDocumentInternal cacheAbsolutePathOverride]
00000001cd98bb78 (__TEXT,__text) non-external -[MPDocumentInternal cachedAbsolutePaths]
00000001cd98bb88 (__TEXT,__text) non-external -[MPDocumentInternal cachedAbsoluteStillPaths]
00000001cd98bbe8 (__TEXT,__text) non-external -[MPDocumentInternal cachedActionableLayers]
00000001cd98bb98 (__TEXT,__text) non-external -[MPDocumentInternal cachedPathLock]
00000001cd98ba50 (__TEXT,__text) non-external -[MPDocumentInternal dealloc]
00000001cd98bb48 (__TEXT,__text) non-external -[MPDocumentInternal documentLayerGroup]
00000001cd98bbf8 (__TEXT,__text) non-external -[MPDocumentInternal fileURL]
00000001cd98bbd8 (__TEXT,__text) non-external -[MPDocumentInternal isInBatchModify]
00000001cd98bb18 (__TEXT,__text) non-external -[MPDocumentInternal lastRandomTransition]
00000001cd98bbc8 (__TEXT,__text) non-external -[MPDocumentInternal needsActionConfigure]
00000001cd98bb28 (__TEXT,__text) non-external -[MPDocumentInternal orderedRandomTransitions]
00000001cd98bb38 (__TEXT,__text) non-external -[MPDocumentInternal propertiesLock]
00000001cd98bb58 (__TEXT,__text) non-external -[MPDocumentInternal savesPathsAsAbsolute]
00000001cd98bc30 (__TEXT,__text) non-external -[MPDocumentInternal setAlwaysLookupAbsolutePaths:]
00000001cd98bb70 (__TEXT,__text) non-external -[MPDocumentInternal setAssetLogging:]
00000001cd98bbc0 (__TEXT,__text) non-external -[MPDocumentInternal setBatchModifyCount:]
00000001cd98bc20 (__TEXT,__text) non-external -[MPDocumentInternal setCacheAbsolutePathOverride:]
00000001cd98bb80 (__TEXT,__text) non-external -[MPDocumentInternal setCachedAbsolutePaths:]
00000001cd98bb90 (__TEXT,__text) non-external -[MPDocumentInternal setCachedAbsoluteStillPaths:]
00000001cd98bbf0 (__TEXT,__text) non-external -[MPDocumentInternal setCachedActionableLayers:]
00000001cd98bba0 (__TEXT,__text) non-external -[MPDocumentInternal setCachedPathLock:]
00000001cd98bb50 (__TEXT,__text) non-external -[MPDocumentInternal setDocumentLayerGroup:]
00000001cd98bc00 (__TEXT,__text) non-external -[MPDocumentInternal setFileURL:]
00000001cd98bbe0 (__TEXT,__text) non-external -[MPDocumentInternal setIsInBatchModify:]
00000001cd98bb20 (__TEXT,__text) non-external -[MPDocumentInternal setLastRandomTransition:]
00000001cd98bbd0 (__TEXT,__text) non-external -[MPDocumentInternal setNeedsActionConfigure:]
00000001cd98bb30 (__TEXT,__text) non-external -[MPDocumentInternal setOrderedRandomTransitions:]
00000001cd98bb40 (__TEXT,__text) non-external -[MPDocumentInternal setPropertiesLock:]
00000001cd98bb60 (__TEXT,__text) non-external -[MPDocumentInternal setSavesPathsAsAbsolute:]
00000001cd98bbb0 (__TEXT,__text) non-external -[MPDocumentInternal setUndoManager:]
00000001cd98bc10 (__TEXT,__text) non-external -[MPDocumentInternal setUuid:]
00000001cd98bba8 (__TEXT,__text) non-external -[MPDocumentInternal undoManager]
00000001cd98bc08 (__TEXT,__text) non-external -[MPDocumentInternal uuid]
00000001cd98bc38 (__TEXT,__text) non-external -[MPDocumentKeyedUnarchiver assetKeyDelegate]
00000001cd98bc58 (__TEXT,__text) non-external -[MPDocumentKeyedUnarchiver mediaProperties]
00000001cd98bc78 (__TEXT,__text) non-external -[MPDocumentKeyedUnarchiver parentDocument]
00000001cd98bc48 (__TEXT,__text) non-external -[MPDocumentKeyedUnarchiver setAssetKeyDelegate:]
00000001cd98bc68 (__TEXT,__text) non-external -[MPDocumentKeyedUnarchiver setMediaProperties:]
00000001cd98bc88 (__TEXT,__text) non-external -[MPDocumentKeyedUnarchiver setParentDocument:]
00000001cd996fcc (__TEXT,__text) non-external -[MPEffect _updateEffectTimingWithDocument:]
00000001cd996fd4 (__TEXT,__text) non-external -[MPEffect _updateEffectTimingWithDocument:forExport:]
00000001cd997218 (__TEXT,__text) non-external -[MPEffect _updateTiming:]
00000001cd997220 (__TEXT,__text) non-external -[MPEffect _updateTiming:forExport:]
00000001cd9979a8 (__TEXT,__text) non-external -[MPEffect addFilter:]
00000001cd997a08 (__TEXT,__text) non-external -[MPEffect addFilters:]
00000001cd9968ec (__TEXT,__text) non-external -[MPEffect addSecondarySlide:]
00000001cd99696c (__TEXT,__text) non-external -[MPEffect addSecondarySlides:]
00000001cd995abc (__TEXT,__text) non-external -[MPEffect addSlide:]
00000001cd995b3c (__TEXT,__text) non-external -[MPEffect addSlides:]
00000001cd997338 (__TEXT,__text) non-external -[MPEffect addText:]
00000001cd9973b8 (__TEXT,__text) non-external -[MPEffect addTexts:]
00000001cd997f4c (__TEXT,__text) non-external -[MPEffect animationPathForKey:]
00000001cd997f44 (__TEXT,__text) non-external -[MPEffect animationPaths]
00000001cd998124 (__TEXT,__text) non-external -[MPEffect audioPlaylist]
00000001cd9981ec (__TEXT,__text) non-external -[MPEffect audioPriority]
00000001cd994a20 (__TEXT,__text) non-external -[MPEffect copyWithZone:]
00000001cd994aac (__TEXT,__text) non-external -[MPEffect dealloc]
00000001cd9937e0 (__TEXT,__text) non-external -[MPEffect description]
00000001cd994d90 (__TEXT,__text) non-external -[MPEffect effectAttributeForKey:]
00000001cd994d18 (__TEXT,__text) non-external -[MPEffect effectAttributes]
00000001cd994b98 (__TEXT,__text) non-external -[MPEffect effectID]
00000001cd998288 (__TEXT,__text) non-external -[MPEffect effectTiming]
00000001cd993aac (__TEXT,__text) non-external -[MPEffect encodeWithCoder:]
00000001cd9979a0 (__TEXT,__text) non-external -[MPEffect filters]
00000001cd99556c (__TEXT,__text) non-external -[MPEffect fullDuration]
00000001cd993e94 (__TEXT,__text) non-external -[MPEffect initWithCoder:]
00000001cd993488 (__TEXT,__text) non-external -[MPEffect initWithEffectID:]
00000001cd993490 (__TEXT,__text) non-external -[MPEffect initWithEffectID:andPaths:]
00000001cd99355c (__TEXT,__text) non-external -[MPEffect initWithEffectID:andStrings:]
00000001cd99362c (__TEXT,__text) non-external -[MPEffect initWithEffectID:strings:paths:]
00000001cd99370c (__TEXT,__text) non-external -[MPEffect init]
00000001cd997a5c (__TEXT,__text) non-external -[MPEffect insertFilters:atIndex:]
00000001cd9969c0 (__TEXT,__text) non-external -[MPEffect insertSecondarySlides:atIndex:]
00000001cd995b90 (__TEXT,__text) non-external -[MPEffect insertSlides:atIndex:]
00000001cd99740c (__TEXT,__text) non-external -[MPEffect insertTexts:atIndex:]
00000001cd99795c (__TEXT,__text) non-external -[MPEffect isTextOnly]
00000001cd99731c (__TEXT,__text) non-external -[MPEffect lowestDisplayTime]
00000001cd9958e0 (__TEXT,__text) non-external -[MPEffect mainDuration]
00000001cd997e68 (__TEXT,__text) non-external -[MPEffect moveFiltersFromIndices:toIndex:]
00000001cd996818 (__TEXT,__text) non-external -[MPEffect moveSlidesFromIndices:toIndex:]
00000001cd997890 (__TEXT,__text) non-external -[MPEffect moveTextsFromIndices:toIndex:]
00000001cd994e4c (__TEXT,__text) non-external -[MPEffect opacity]
00000001cd9981fc (__TEXT,__text) non-external -[MPEffect parentContainer]
00000001cd995608 (__TEXT,__text) non-external -[MPEffect phaseInDuration]
00000001cd995774 (__TEXT,__text) non-external -[MPEffect phaseOutDuration]
00000001cd995014 (__TEXT,__text) non-external -[MPEffect position]
00000001cd994c7c (__TEXT,__text) non-external -[MPEffect presetID]
00000001cd998204 (__TEXT,__text) non-external -[MPEffect randomSeed]
00000001cd997de4 (__TEXT,__text) non-external -[MPEffect removeAllFilters]
00000001cd996ee0 (__TEXT,__text) non-external -[MPEffect removeAllSecondarySlides]
00000001cd996624 (__TEXT,__text) non-external -[MPEffect removeAllSlides]
00000001cd99780c (__TEXT,__text) non-external -[MPEffect removeAllTexts]
00000001cd998098 (__TEXT,__text) non-external -[MPEffect removeAnimationPathForKey:]
00000001cd997cb4 (__TEXT,__text) non-external -[MPEffect removeFiltersAtIndices:]
00000001cd996d3c (__TEXT,__text) non-external -[MPEffect removeSecondarySlidesAtIndices:]
00000001cd996328 (__TEXT,__text) non-external -[MPEffect removeSlidesAtIndices:]
00000001cd9976f8 (__TEXT,__text) non-external -[MPEffect removeTextsAtIndices:]
00000001cd996808 (__TEXT,__text) non-external -[MPEffect replaceSlide:atIndex:]
00000001cd9966b4 (__TEXT,__text) non-external -[MPEffect replaceSlideAtIndex:withSlide:]
00000001cd996fbc (__TEXT,__text) non-external -[MPEffect replaceSlides]
00000001cd9951e0 (__TEXT,__text) non-external -[MPEffect rotationAngle]
00000001cd994f30 (__TEXT,__text) non-external -[MPEffect scale]
00000001cd9968e4 (__TEXT,__text) non-external -[MPEffect secondarySlides]
00000001cd997f5c (__TEXT,__text) non-external -[MPEffect setAnimationPath:forKey:]
00000001cd99812c (__TEXT,__text) non-external -[MPEffect setAudioPlaylist:]
00000001cd9981f4 (__TEXT,__text) non-external -[MPEffect setAudioPriority:]
00000001cd994dc8 (__TEXT,__text) non-external -[MPEffect setEffectAttribute:forKey:]
00000001cd994d1c (__TEXT,__text) non-external -[MPEffect setEffectAttributes:]
00000001cd994ba0 (__TEXT,__text) non-external -[MPEffect setEffectID:]
00000001cd9955b4 (__TEXT,__text) non-external -[MPEffect setFullDuration:]
00000001cd9958e8 (__TEXT,__text) non-external -[MPEffect setMainDuration:]
00000001cd994e54 (__TEXT,__text) non-external -[MPEffect setOpacity:]
00000001cd995610 (__TEXT,__text) non-external -[MPEffect setPhaseInDuration:]
00000001cd99577c (__TEXT,__text) non-external -[MPEffect setPhaseOutDuration:]
00000001cd99501c (__TEXT,__text) non-external -[MPEffect setPosition:]
00000001cd994c94 (__TEXT,__text) non-external -[MPEffect setPresetID:]
00000001cd99820c (__TEXT,__text) non-external -[MPEffect setRandomSeed:]
00000001cd996fc4 (__TEXT,__text) non-external -[MPEffect setReplaceSlides:]
00000001cd9951e8 (__TEXT,__text) non-external -[MPEffect setRotationAngle:]
00000001cd994f38 (__TEXT,__text) non-external -[MPEffect setScale:]
00000001cd9952c8 (__TEXT,__text) non-external -[MPEffect setSize:]
00000001cd9953b4 (__TEXT,__text) non-external -[MPEffect setXRotationAngle:]
00000001cd995494 (__TEXT,__text) non-external -[MPEffect setYRotationAngle:]
00000001cd995108 (__TEXT,__text) non-external -[MPEffect setZPosition:]
00000001cd9952c0 (__TEXT,__text) non-external -[MPEffect size]
00000001cd995ab4 (__TEXT,__text) non-external -[MPEffect slides]
00000001cd996f70 (__TEXT,__text) non-external -[MPEffect supportsUnlimitedSlides]
00000001cd997330 (__TEXT,__text) non-external -[MPEffect texts]
00000001cd9953ac (__TEXT,__text) non-external -[MPEffect xRotationAngle]
00000001cd99548c (__TEXT,__text) non-external -[MPEffect yRotationAngle]
00000001cd995a4c (__TEXT,__text) non-external -[MPEffect zIndex]
00000001cd995100 (__TEXT,__text) non-external -[MPEffect zPosition]
00000001cd99b3c8 (__TEXT,__text) non-external -[MPEffect(AppleScript) countOfFilters]
00000001cd99b1a0 (__TEXT,__text) non-external -[MPEffect(AppleScript) countOfSlides]
00000001cd99b2b4 (__TEXT,__text) non-external -[MPEffect(AppleScript) countOfTexts]
00000001cd99b590 (__TEXT,__text) non-external -[MPEffect(AppleScript) height]
00000001cd99b3d8 (__TEXT,__text) non-external -[MPEffect(AppleScript) insertObject:inFiltersAtIndex:]
00000001cd99b1b0 (__TEXT,__text) non-external -[MPEffect(AppleScript) insertObject:inSlidesAtIndex:]
00000001cd99b2c4 (__TEXT,__text) non-external -[MPEffect(AppleScript) insertObject:inTextsAtIndex:]
00000001cd99b3d0 (__TEXT,__text) non-external -[MPEffect(AppleScript) objectInFiltersAtIndex:]
00000001cd99b1a8 (__TEXT,__text) non-external -[MPEffect(AppleScript) objectInSlidesAtIndex:]
00000001cd99b2bc (__TEXT,__text) non-external -[MPEffect(AppleScript) objectInTextsAtIndex:]
00000001cd99bb48 (__TEXT,__text) non-external -[MPEffect(AppleScript) objectSpecifier]
00000001cd99b424 (__TEXT,__text) non-external -[MPEffect(AppleScript) removeObjectFromFiltersAtIndex:]
