                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80f3b5246 (__TEXT,__text) non-external _alone_decode
00007ff80f3b4fae (__TEXT,__text) non-external _stream_encoder_init
00007ff80f3c3a48 (__TEXT,__text) non-external _stream_encoder_mt_end
00007ff80f3c2c78 (__TEXT,__text) non-external _stream_encoder_mt_init
00007ff80f3c3b7c (__TEXT,__text) non-external _stream_encoder_mt_update
00007ff80f3acbc2 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
00007ff80f3c1204 (__TEXT,__text) non-external _threads_end
00007ff80f3c3c54 (__TEXT,__text) non-external _threads_end
00007ff80f3c12e3 (__TEXT,__text) non-external _threads_stop
00007ff80f3c3d19 (__TEXT,__text) non-external _threads_stop
00007ff80f3b2eea (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
00007ff80f3b2eaa (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff80f3c183a (__TEXT,__text) non-external _worker_decoder
00007ff80f3c17ff (__TEXT,__text) non-external _worker_enable_partial_update
00007ff80f3c4219 (__TEXT,__text) non-external _worker_error
00007ff80f3c3e0d (__TEXT,__text) non-external _worker_start
00007ff80f3c2513 (__TEXT,__text) non-external _x86_code
00007ff80f3ca800 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff80f3c24be (__TEXT,__text) non-external _x86_coder_init
