00000002225be4d8 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002697a8898 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDarwin_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
00000002697a88a0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
00000002697a8848 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
00000002697a88b8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
00000002697a88a8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
00000002697a8890 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
00000002697a8888 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_errno (from libswift_errno)
00000002697a8850 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_errno_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_math (from libswift_math)
00000002697a8880 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_math_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_signal (from libswift_signal)
00000002697a8860 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_signal_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_stdio (from libswift_stdio)
00000002697a8868 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_stdio_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_time (from libswift_time)
00000002697a8870 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_time_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
00000002697a88c0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftsys_time (from libswiftsys_time)
00000002697a8858 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftsys_time_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftunistd (from libswiftunistd)
00000002697a8878 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftunistd_$_CBORLibrary
00000002225ac944 (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
00000002225c5fc6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOSHAASQ
00000002225c5fd6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs23CustomStringConvertible
00000002225c5fce (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs28CustomDebugStringConvertible
00000002225c6034 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC20DateEncodingStrategyOSHAASQ
00000002225c602c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyOSHAASQ
00000002225c600a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVSHAASQ
00000002225c601a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs23CustomStringConvertible
00000002225c6012 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs28CustomDebugStringConvertible
00000002225c6108 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLVyxGs013KeyedEncodingD8ProtocolAA0C0sAFP_s06CodingC0
00000002225c5ed4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLVyxGs0c8DecodingD8ProtocolAA3KeysAFP_s06CodingO0
00000002225c5f60 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance So4CBORC11CBORLibraryE9InitErrorOSHACSQ
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mktime (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_allocWithZone (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000002225cb200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000002225cb220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObjectsFromArray:
00000002225cb240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allKeys
00000002225cb260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendBytes:length:
00000002225cb280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendData:
00000002225cb2a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000002225cb2c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
00000002225cb2e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000002225cb300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
00000002225cb320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asJSON
00000002225cb340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$boolValue
00000002225cb360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
00000002225cb380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cStringUsingEncoding:
00000002225cb3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cachedHash
00000002225cb3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborNil
00000002225cb3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithArray:
00000002225cb400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithData:
00000002225cb420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithDictionary:
00000002225cb440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithEmbeddedCBORData:
00000002225cb460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithInteger:
00000002225cb480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithUTF8String:
00000002225cb4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000002225cb4c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$conformsToProtocol:
00000002225cb4e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$content
00000002225cb500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000002225cb520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000002225cb540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000002225cb560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$data
00000002225cb580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
00000002225cb5a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:
00000002225cb5c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:encodingKeyOrder:
00000002225cb5e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
00000002225cb600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateFromString:
00000002225cb620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:
00000002225cb640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:
00000002225cb660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:keepKeyOrdering:noCopy:
00000002225cb680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType0And1FromBuffer:length:tag:
00000002225cb6a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:
00000002225cb6c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
00000002225cb6e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
00000002225cb700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType6FromBuffer:length:tag:
00000002225cb720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType7FromBuffer:length:tag:
00000002225cb740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$description
00000002225cb760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionary
00000002225cb780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000002225cb7a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$doubleValue
00000002225cb7c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enumerateKeysAndObjectsUsingBlock:
00000002225cb7e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$floatValue
00000002225cb800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000002225cb820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithArray:copyItems:
00000002225cb840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBool:
00000002225cb860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:
00000002225cb880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:encoding:
00000002225cb8a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:encoding:freeWhenDone:
00000002225cb8c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:freeWhenDone:
00000002225cb8e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCBOR:
00000002225cb900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCapacity:
00000002225cb920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithData:
00000002225cb940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDictionary:
00000002225cb960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDouble:
00000002225cb980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFloat:
00000002225cb9a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
00000002225cb9c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithInt:
00000002225cb9e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithLongLong:
00000002225cba00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithObjects:forKeys:
00000002225cba20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithShort:
00000002225cba40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithTimeIntervalSince1970:
00000002225cba60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:value:valueSize:tag:
00000002225cba80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInt:
00000002225cbaa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInteger:
00000002225cbac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedLongLong:
00000002225cbae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedShort:
00000002225cbb00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
00000002225cbb20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
00000002225cbb40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000002225cbb60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isWholeNumber
00000002225cbb80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
00000002225cbba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lengthOfBytesUsingEncoding:
00000002225cbbc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localeWithLocaleIdentifier:
00000002225cbbe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$longLongValue
00000002225cbc00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$mac
00000002225cbc20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$null
00000002225cbc40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000002225cbc60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numeric
00000002225cbc80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
00000002225cbca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndexedSubscript:
00000002225cbcc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
00000002225cbce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
00000002225cbd00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$orderedKeys
00000002225cbd20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeaderParameters
00000002225cbd40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeadererDictionary
00000002225cbd60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDateFormat:
00000002225cbd80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setLocale:
00000002225cbda0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
00000002225cbdc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKeyedSubscript:
00000002225cbde0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setOrderedKeys:
00000002225cbe00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTag:
00000002225cbe20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTimeZone:
00000002225cbe40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$signature
00000002225cbe60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$sortedArrayUsingComparator:
00000002225cbe80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$string
00000002225cbea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringFromDate:
00000002225cbec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringValue
00000002225cbee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
00000002225cbf00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tag
00000002225cbf20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeZoneForSecondsFromGMT:
00000002225cbf40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$type
00000002225cbf60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unprotectedHeaderParameters
00000002225cbf80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedIntValue
00000002225cbfa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedLongLongValue
00000002225cbfc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
00000002225cbfe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueSize
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _strptime_l (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _swift_allocBox (from libswiftCore)
                 (undefined) external _swift_allocError (from libswiftCore)
                 (undefined) external _swift_allocObject (from libswiftCore)
                 (undefined) external _swift_allocateGenericValueMetadata (from libswiftCore)
                 (undefined) external _swift_arrayInitWithCopy (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeBackToFront (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeFrontToBack (from libswiftCore)
                 (undefined) external _swift_beginAccess (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease_n (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain_n (from libswiftCore)
                 (undefined) external _swift_checkMetadataState (from libswiftCore)
                 (undefined) external _swift_conformsToProtocol2 (from libswiftCore)
                 (undefined) external _swift_deallocClassInstance (from libswiftCore)
                 (undefined) external _swift_deallocObject (from libswiftCore)
                 (undefined) external _swift_deletedMethodError (from libswiftCore)
                 (undefined) external _swift_dynamicCast (from libswiftCore)
                 (undefined) external _swift_dynamicCastClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastMetatype (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClassUnconditional (from libswiftCore)
                 (undefined) external _swift_endAccess (from libswiftCore)
                 (undefined) external _swift_getDynamicType (from libswiftCore)
                 (undefined) external _swift_getForeignTypeMetadata (from libswiftCore)
                 (undefined) external _swift_getGenericMetadata (from libswiftCore)
                 (undefined) external _swift_getMetatypeMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassFromMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassMetadata (from libswiftCore)
                 (undefined) external _swift_getObjectType (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContext2 (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContextInMetadataState2 (from libswiftCore)
                 (undefined) external _swift_getWitnessTable (from libswiftCore)
                 (undefined) external _swift_initStackObject (from libswiftCore)
                 (undefined) external _swift_initStructMetadata (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_bridgeObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_native (from libswiftCore)
                 (undefined) external _swift_lookUpClassMethod (from libswiftCore)
                 (undefined) external _swift_makeBoxUnique (from libswiftCore)
                 (undefined) external _swift_once (from libswiftCore)
                 (undefined) external _swift_release (from libswiftCore)
                 (undefined) external _swift_retain (from libswiftCore)
                 (undefined) external _swift_retain_n (from libswiftCore)
                 (undefined) external _swift_slowAlloc (from libswiftCore)
                 (undefined) external _swift_slowDealloc (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease_n (from libswiftCore)
                 (undefined) external _swift_unknownObjectRetain (from libswiftCore)
                 (undefined) external _swift_willThrow (from libswiftCore)
00000002225c5da8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary30_CBORDictionaryDecodableMarker33_9AD5FE8BA51478D9E31399B9411E4CF6LLP
00000002225c5d8a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelDecoderP
00000002225c6042 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelEncoderP
00000002225c5ece (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $sSY
00000002225c5edc (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedDecodingContainerProtocolP
00000002225c6110 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedEncodingContainerProtocolP
00000002225c5e64 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySSypG
00000002225c5eaa (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCABG
00000002225c6074 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCyXlG
00000002225c5dfe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s17CodingUserInfoKeyV
00000002225c60e2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SE_p
00000002225c5d74 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS
00000002225c5e7a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS_ypt
00000002225c5e1c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SaySo4CBORCG
00000002225c5e10 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say______pG s9CodingKeyP
00000002225c60b2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SayyXlG
00000002225c6084 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Sb
00000002225c5ec6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Si
00000002225c6004 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SiSg
00000002225c5f7e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So10COSE_Sign1C
00000002225c60ee (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC
00000002225c60ba (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC_Sit
00000002225c5f6e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC
00000002225c5fae (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So7COSEKeyC
00000002225c6060 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So8NSObjectC
00000002225c5f9a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So9COSE_Mac0C
00000002225c5eca (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Su
00000002225c5d7e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 10Foundation4DataV
00000002225c5f78 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V
00000002225c5f8e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV
00000002225c5fc0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
00000002225c5d84 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBORDecoderC
00000002225c603c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC
00000002225c608e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC20DateEncodingStrategyO
00000002225c6088 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00000002225c60a0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC8_Options33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002225c5e0a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBORDecoder33_9AD5FE8BA51478D9E31399B9411E4CF6LLC
00000002225c6094 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBOREncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002225c5f02 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary13CBORCodingKeyV
00000002225c606e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002225c5f68 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary18CBORCodableWrapperV
00000002225c609a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary20_CBOREncodingStorage33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002225c60a6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002225c60ac (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
00000002225c6102 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002225c5ea4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00000002225c5e3e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBORDecoderUnkeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00000002225c60e8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBOREncoderUnkeyedContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002225c5fa8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary7COSEKeyV
00000002225c5f94 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary9COSE_Mac0V
