00000001ef189810 (__TEXT,__text) non-external _Annihilate
00000001ef1737f0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00000001ef173030 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00000001ef1a54a0 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00000001ef1a551c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00000001ef1a5510 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00000001ef1a5504 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00000001ef1a54d0 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00000001ef1a4d3c (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00000001ef1a4e04 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00000001ef19766c (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00000001ef197570 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00000001ef19f6a4 (__TEXT,__text) non-external (was a private external) _lzbitmap_alloc
00000001ef19f71c (__TEXT,__text) non-external (was a private external) _lzbitmap_buf_align
00000001ef1a0b44 (__TEXT,__text) non-external (was a private external) _lzbitmap_create_dictionary_and_token_map
00000001ef193b60 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00000001ef1a1a84 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00000001ef1a1444 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00000001ef1a1afc (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00000001ef1a102c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00000001ef1a0d58 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_block
00000001ef1a1ac0 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00000001ef1a1334 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00000001ef1a1b04 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00000001ef19f818 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00000001ef19c2ac (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00000001ef1a19f0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00000001ef196bd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00000001ef1a1a2c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00000001ef1a1a68 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00000001ef195cd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00000001ef195cf0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser0
00000001ef196168 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser1
00000001ef196698 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser2
00000001ef221310 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00000001ef19f680 (__TEXT,__text) non-external (was a private external) _lzbitmap_flags
00000001ef1a0a20 (__TEXT,__text) non-external (was a private external) _lzbitmap_get_top_k
00000001ef19f72c (__TEXT,__text) non-external (was a private external) _lzbitmap_init_encode_state
00000001ef1a09e4 (__TEXT,__text) non-external (was a private external) _lzbitmap_init_token_info
00000001ef1a0c44 (__TEXT,__text) non-external (was a private external) _lzbitmap_output_masks_and_buffer_commands
00000001ef1a0c7c (__TEXT,__text) non-external (was a private external) _lzbitmap_output_nibbles
00000001ef220b10 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00000001ef19f884 (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l0
00000001ef19fdc4 (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l1
00000001ef1a0330 (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l2
00000001ef1a0f60 (__TEXT,__text) non-external (was a private external) _lzbitmap_process_block
00000001ef19f6c8 (__TEXT,__text) non-external (was a private external) _lzbitmap_store
00000001ef1a1b20 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00000001ef222310 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00000001ef220310 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00000001ef173cc8 (__TEXT,__text) non-external _lzfseBackendMatch
00000001ef176cf8 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00000001ef198524 (__TEXT,__text) non-external _lzfseDecodeV1
00000001ef173da8 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00000001ef178d44 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00000001ef17c518 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00000001ef173bd4 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00000001ef174f74 (__TEXT,__text) non-external _lzfseEncodeMatches
00000001ef1c56b0 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00000001ef1c56e0 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00000001ef1780e8 (__TEXT,__text) non-external _lzfsePushMatch
00000001ef177c24 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00000001ef17a810 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00000001ef19c2a0 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00000001ef17935c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00000001ef179a00 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00000001ef1b6234 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00000001ef173694 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00000001ef1986e8 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00000001ef19830c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00000001ef1986e0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00000001ef17c1b0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
00000001ef177850 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
00000001ef1992cc (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
0000000207376e18 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00000001ef17c19c (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00000001ef178ea8 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00000001ef1a87a0 (__TEXT,__text) non-external (was a private external) _lzfse_encode_lzvn_algo
00000001ef17c4d8 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00000001ef1e7398 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00000001ef1e73b8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00000001ef179160 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00000001ef197058 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00000001ef197054 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00000001ef197028 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00000001ef196fc4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00000001ef173c9c (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00000001ef17c540 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00000001ef1a1280 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00000001ef1a1278 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00000001ef1a12e4 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00000001ef1a12dc (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00000001ef1c6ac8 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00000001ef1c6b00 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00000001ef2253c8 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00000001ef1790bc (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00000001ef178df4 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00000001ef179a9c (__TEXT,__text) non-external (was a private external) _lzvnDecode
0000000207376618 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
00000001ef1785a4 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00000001ef1a1960 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00000001ef18a0a8 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00000001ef18a004 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00000001ef189ff8 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00000001ef18ddfc (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00000001ef18dd24 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00000001ef18dd00 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00000001ef17c640 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00000001ef177ef8 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00000001ef17c564 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00000001ef177f00 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00000001ef1799ec (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00000001ef1a11d8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00000001ef1a1274 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00000001ef1a1270 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00000001ef1a1244 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00000001ef1a1208 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00000001ef1a1188 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00000001ef1a11b4 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00000001ef1a7ee8 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00000001ef1a7e74 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00000001ef1bfba8 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00000001ef1a7e80 (__TEXT,__text) non-external (was a private external) _lzx_e8_translation
00000001ef18401c (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00000001ef183a3c (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00000001ef183c14 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00000001ef183d28 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00000001ef19c98c (__TEXT,__text) non-external (was a private external) _parse_size
00000001ef21b774 (__TEXT,__const) non-external _position_slot_base_position
00000001ef21b6fc (__TEXT,__const) non-external _position_slot_extra_bits
00000001ef1c1be0 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00000001ef1c12ec (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00000001ef17a8c4 (__TEXT,__text) non-external _readHuffmanTable
00000001ef19c8bc (__TEXT,__text) non-external (was a private external) _read_expected
00000001ef1792c8 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00000001ef1c1cf0 (__TEXT,__text) non-external _scan_tree
00000001ef1c1dec (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat (from libSystem)
0000000204ea2060 (__DATA,__data) non-external _static_bl_desc
0000000204ea2040 (__DATA,__data) non-external _static_d_desc
00000001ef223a98 (__TEXT,__const) non-external _static_dtree
0000000204ea2020 (__DATA,__data) non-external _static_l_desc
00000001ef223618 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
0000000204ea2000 (__DATA,__data) non-external (was a private external) _tc_quant16
00000001ef189d08 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00000001ef189f34 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00000001ef189e38 (__TEXT,__text) non-external _thread_pool_entry
00000001ef189b58 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00000001ef189c60 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
00000001ef19c924 (__TEXT,__text) non-external (was a private external) _write_expected
00000001ef1b6258 (__TEXT,__text) external _yzip_codec_create
00000001ef1b6294 (__TEXT,__text) external _yzip_codec_destroy
00000001ef1b62d8 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00000001ef1996a0 (__TEXT,__text) external _yzip_image_create
00000001ef199824 (__TEXT,__text) external _yzip_image_create_with_payload
00000001ef199b8c (__TEXT,__text) external _yzip_image_decode
00000001ef199970 (__TEXT,__text) external _yzip_image_destroy
00000001ef199974 (__TEXT,__text) external _yzip_image_encode
00000001ef199ca8 (__TEXT,__text) external _yzip_image_get_descriptor
00000001ef199d60 (__TEXT,__text) external _yzip_image_get_max_payload_size
00000001ef199d14 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00000001ef199de0 (__TEXT,__text) external _yzip_image_set_data
00000001ef199f24 (__TEXT,__text) external _yzip_image_set_identifier
00000001ef199e9c (__TEXT,__text) external _yzip_image_set_plane_data
00000001ef195148 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00000001ef195034 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00000001ef194e1c (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00000001ef195c4c (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00000001ef195630 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00000001ef195b70 (__TEXT,__text) non-external _yzip_jobs_process
00000001ef194dac (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00000001ef1c0dec (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00000001ef1bfed0 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00000001ef1c05dc (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00000001ef17d798 (__TEXT,__text) non-external (was a private external) _zError
0000000201cb9230 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
00000001ef17d7b0 (__TEXT,__text) non-external (was a private external) _zcalloc
00000001ef17bf8c (__TEXT,__text) non-external (was a private external) _zcfree
00000001ef17d790 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00000001ef179ecc (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00000001ef1745d0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00000001ef21b5ac (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00000001ef21b570 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00000001ef1a7c24 (__TEXT,__text) non-external (was a private external) _zlibDecodeStateInit
00000001ef17d784 (__TEXT,__text) non-external (was a private external) _zlibVersion
00000001ef1a7c34 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00000001ef1a7c18 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00000001ef175f94 (__TEXT,__text) non-external (was a private external) _zlib_decode_stream_process
00000001ef18a2fc (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00000001ef18a2f0 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00000001ef176c08 (__TEXT,__text) non-external (was a private external) _zlib_encode_stream_process
00000001ef1a19ec (__TEXT,__text) non-external (was a private external) _zlib_free
00000001ef1a19c0 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00000001ef1a7e0c (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00000001ef1a7e4c (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00000001ef1a7e44 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00000001ef1a7e58 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00000001ef1a7e3c (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00000001ef175ee4 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00000001ef17c5fc (__TEXT,__text) non-external (was a private external) _zlib_stream_process
00000001ef1c6aa0 (__TEXT,__text) non-external vec_table
