00007ffa0704c38c (__TEXT,__text) non-external +[Cube initialize]
00007ffa06ea7673 (__TEXT,__text) non-external -[MREffectJustASlide retainedByUserRenderedImageAtTime:inContext:withArguments:]
00007ffa06ea7bed (__TEXT,__text) non-external -[MREffectJustASlide setIsFocuser:]
00007ffa06ea862b (__TEXT,__text) non-external -[MREffectJustASlide(GestureSupport) canMoveInDirection:withPZR:]
00007ffa06ea84af (__TEXT,__text) non-external -[MREffectJustASlide(GestureSupport) pzrCancel:]
00007ffa06ea8143 (__TEXT,__text) non-external -[MREffectJustASlide(GestureSupport) pzrEnd:]
00007ffa06ea7bfd (__TEXT,__text) non-external -[MREffectJustASlide(GestureSupport) pzrStart:]
00007ffa06ea7cab (__TEXT,__text) non-external -[MREffectJustASlide(GestureSupport) pzrUpdate:]
00007ffa06ea85d9 (__TEXT,__text) non-external -[MREffectJustASlide(GestureSupport) resetPZR]
00007ffa07064491 (__TEXT,__text) non-external -[MREffectJustAText elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0706449e (__TEXT,__text) non-external -[MREffectJustAText getVerticesCoordinates:withMatrix:forElement:]
00007ffa0706443a (__TEXT,__text) non-external -[MREffectJustAText init]
00007ffa070644bb (__TEXT,__text) non-external -[MREffectJustAText isLoadedForTime:]
00007ffa0706453d (__TEXT,__text) non-external -[MREffectJustAText prerenderForTime:inContext:withArguments:]
00007ffa0706457b (__TEXT,__text) non-external -[MREffectJustAText renderAtTime:inContext:withArguments:]
00007ffa0706480a (__TEXT,__text) non-external -[MREffectJustAText(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa07064eb9 (__TEXT,__text) non-external -[MREffectJustAText(MRLoadable) _maxLinesForTextElement:]
00007ffa07064ea1 (__TEXT,__text) non-external -[MREffectJustAText(MRLoadable) _maxSizeForTextElement:]
00007ffa07064ef9 (__TEXT,__text) non-external -[MREffectJustAText(MRLoadable) _unload]
00007ffa06ea8c06 (__TEXT,__text) non-external -[MREffectJustATitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ea8c92 (__TEXT,__text) non-external -[MREffectJustATitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ea87eb (__TEXT,__text) non-external -[MREffectJustATitle init]
00007ffa06ea8d2a (__TEXT,__text) non-external -[MREffectJustATitle isLoadedForTime:]
00007ffa06ea8e26 (__TEXT,__text) non-external -[MREffectJustATitle prerenderForTime:inContext:withArguments:]
00007ffa06ea8e64 (__TEXT,__text) non-external -[MREffectJustATitle renderAtTime:inContext:withArguments:]
00007ffa06ea8863 (__TEXT,__text) non-external -[MREffectJustATitle setAttributes:]
00007ffa06ea9455 (__TEXT,__text) non-external -[MREffectJustATitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06ea9d68 (__TEXT,__text) non-external -[MREffectJustATitle(MRLoadable) _maxLinesForTextElement:]
00007ffa06ea9c95 (__TEXT,__text) non-external -[MREffectJustATitle(MRLoadable) _maxSizeForTextElement:]
00007ffa06ea9dd1 (__TEXT,__text) non-external -[MREffectJustATitle(MRLoadable) _unload]
00007ffa0700f776 (__TEXT,__text) non-external -[MREffectMagazine _applySizeScripts:]
00007ffa0700f4e4 (__TEXT,__text) non-external -[MREffectMagazine _cleanup]
00007ffa070113e1 (__TEXT,__text) non-external -[MREffectMagazine _sizeForBreakAspectRatio:size:inContext:]
00007ffa07011678 (__TEXT,__text) non-external -[MREffectMagazine beginMorphingToAspectRatio:withDuration:]
00007ffa070113ed (__TEXT,__text) non-external -[MREffectMagazine elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa07011689 (__TEXT,__text) non-external -[MREffectMagazine getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00007ffa0701162a (__TEXT,__text) non-external -[MREffectMagazine getVerticesCoordinates:withMatrix:forElement:]
00007ffa0700f486 (__TEXT,__text) non-external -[MREffectMagazine initWithEffectID:]
00007ffa0700f57b (__TEXT,__text) non-external -[MREffectMagazine isLoadedForTime:]
00007ffa0700f5e9 (__TEXT,__text) non-external -[MREffectMagazine prerenderForTime:inContext:withArguments:]
00007ffa07010032 (__TEXT,__text) non-external -[MREffectMagazine renderAtTime:inContext:withArguments:]
00007ffa0700f53f (__TEXT,__text) non-external -[MREffectMagazine setPixelSize:]
00007ffa070116c7 (__TEXT,__text) non-external -[MREffectMagazine(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa07011a02 (__TEXT,__text) non-external -[MREffectMagazine(MRLoadable) _unload]
00007ffa06eaa9b2 (__TEXT,__text) non-external -[MREffectManager attributeDescriptionForEffectID:andKey:]
00007ffa06eaa29d (__TEXT,__text) non-external -[MREffectManager classForEffectID:]
00007ffa06ea9fb7 (__TEXT,__text) non-external -[MREffectManager cleanup]
00007ffa06eaa914 (__TEXT,__text) non-external -[MREffectManager customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00007ffa06ea9f79 (__TEXT,__text) non-external -[MREffectManager dealloc]
00007ffa06eaa972 (__TEXT,__text) non-external -[MREffectManager defaultEffectAttributesWithEffectID:andSlideInformation:]
00007ffa06eaa86d (__TEXT,__text) non-external -[MREffectManager defaultMainDurationForEffectID:]
00007ffa06eaa82f (__TEXT,__text) non-external -[MREffectManager defaultPhaseInDurationForEffectID:]
00007ffa06eaa8ab (__TEXT,__text) non-external -[MREffectManager defaultPhaseOutDurationForEffectID:]
00007ffa06eaa5f2 (__TEXT,__text) non-external -[MREffectManager descriptionForEffectID:]
00007ffa06eaa3b9 (__TEXT,__text) non-external -[MREffectManager effectWithEffectID:]
00007ffa06eaa8e9 (__TEXT,__text) non-external -[MREffectManager hasCustomTimingForEffectID:]
00007ffa06eaa6f7 (__TEXT,__text) non-external -[MREffectManager hasMultiImageInputForEffectID:]
00007ffa06eaa735 (__TEXT,__text) non-external -[MREffectManager imageInputInfosForEffectID:]
00007ffa06eaa767 (__TEXT,__text) non-external -[MREffectManager imageProviderInfosForEffectID:]
00007ffa06ea9f1d (__TEXT,__text) non-external -[MREffectManager init]
00007ffa06eaa799 (__TEXT,__text) non-external -[MREffectManager isOpaqueForEffectID:]
00007ffa06eaa9fd (__TEXT,__text) non-external -[MREffectManager lineSpacingFactorForTextInEffectID:presetID:atIndex:]
00007ffa06eaa52c (__TEXT,__text) non-external -[MREffectManager recycleEffect:]
00007ffa06ea9ffc (__TEXT,__text) non-external -[MREffectManager releaseResources]
00007ffa06eaa62a (__TEXT,__text) non-external -[MREffectManager resourcePathForEffectID:andResource:]
00007ffa06eaa6a6 (__TEXT,__text) non-external -[MREffectManager sizeScriptForEffectID:andKey:]
00007ffa070213e0 (__TEXT,__text) non-external -[MREffectMap _currentRect]
00007ffa07021a49 (__TEXT,__text) non-external -[MREffectMap _fetchMapTile:]
00007ffa0702141b (__TEXT,__text) non-external -[MREffectMap _mapScale]
00007ffa07021409 (__TEXT,__text) non-external -[MREffectMap _setZoom:]
00007ffa070212e8 (__TEXT,__text) non-external -[MREffectMap _unload]
00007ffa0702121f (__TEXT,__text) non-external -[MREffectMap cleanup]
00007ffa07021ec1 (__TEXT,__text) non-external -[MREffectMap elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa07021ece (__TEXT,__text) non-external -[MREffectMap getVerticesCoordinates:withMatrix:forElement:]
00007ffa0702118e (__TEXT,__text) non-external -[MREffectMap initWithEffectID:]
00007ffa070212d7 (__TEXT,__text) non-external -[MREffectMap isLoadedForTime:]
00007ffa070213d5 (__TEXT,__text) non-external -[MREffectMap isNative3D]
00007ffa070212e2 (__TEXT,__text) non-external -[MREffectMap loadForTime:inContext:withArguments:now:]
00007ffa0702144b (__TEXT,__text) non-external -[MREffectMap prerenderForTime:inContext:withArguments:]
00007ffa07021d9c (__TEXT,__text) non-external -[MREffectMap renderAtTime:inContext:withArguments:]
00007ffa07021381 (__TEXT,__text) non-external -[MREffectMap setPixelSize:]
00007ffa07021fb5 (__TEXT,__text) non-external -[MREffectMap(GestureSupport) pzrCancel:]
00007ffa07021fa1 (__TEXT,__text) non-external -[MREffectMap(GestureSupport) pzrEnd:]
00007ffa07021ed9 (__TEXT,__text) non-external -[MREffectMap(GestureSupport) pzrStart:]
00007ffa07021f0f (__TEXT,__text) non-external -[MREffectMap(GestureSupport) pzrUpdate:]
00007ffa06eb6c80 (__TEXT,__text) non-external -[MREffectMapSlides _cleanup]
00007ffa06ebab6c (__TEXT,__text) non-external -[MREffectMapSlides _renderBigShadowForRect:scale:rects:atTime:inContext:withArguments:]
00007ffa06ebaf0f (__TEXT,__text) non-external -[MREffectMapSlides elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ebb14c (__TEXT,__text) non-external -[MREffectMapSlides getVerticesCoordinates:withMatrix:forElement:]
00007ffa06eb6a84 (__TEXT,__text) non-external -[MREffectMapSlides initWithEffectID:]
00007ffa06eb6dca (__TEXT,__text) non-external -[MREffectMapSlides isLoadedForTime:]
00007ffa06eb6e30 (__TEXT,__text) non-external -[MREffectMapSlides prerenderForTime:inContext:withArguments:]
00007ffa06eb7169 (__TEXT,__text) non-external -[MREffectMapSlides render1SlideAtTime:inContext:withArguments:scale:]
00007ffa06eb79df (__TEXT,__text) non-external -[MREffectMapSlides render2SlidesAtTime:inContext:withArguments:scale:]
00007ffa06eb8815 (__TEXT,__text) non-external -[MREffectMapSlides render3SlidesAtTime:inContext:withArguments:scale:]
00007ffa06eb9497 (__TEXT,__text) non-external -[MREffectMapSlides render4SlidesAtTime:inContext:withArguments:scale:]
00007ffa06eb6edf (__TEXT,__text) non-external -[MREffectMapSlides renderAtTime:inContext:withArguments:]
00007ffa06eba3d9 (__TEXT,__text) non-external -[MREffectMapSlides renderKey:shadow:shadowRect:size:position:xRot:tX:isPano:time:inContext:withArguments:]
00007ffa06eb6d28 (__TEXT,__text) non-external -[MREffectMapSlides setPixelSize:]
00007ffa06ebb19a (__TEXT,__text) non-external -[MREffectMapSlides(MRLoadable) _unload]
00007ffa06ebb260 (__TEXT,__text) non-external -[MREffectMapTitle _cleanup]
00007ffa06ebb2dc (__TEXT,__text) non-external -[MREffectMapTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ebb30c (__TEXT,__text) non-external -[MREffectMapTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ebb209 (__TEXT,__text) non-external -[MREffectMapTitle initWithEffectID:]
00007ffa06ebb687 (__TEXT,__text) non-external -[MREffectMapTitle isLoadedForTime:]
00007ffa06ebb709 (__TEXT,__text) non-external -[MREffectMapTitle prerenderForTime:inContext:withArguments:]
00007ffa06ebb73d (__TEXT,__text) non-external -[MREffectMapTitle renderAtTime:inContext:withArguments:]
00007ffa06ebb36f (__TEXT,__text) non-external -[MREffectMapTitle setAttributes:]
00007ffa06ebb8d3 (__TEXT,__text) non-external -[MREffectMapTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06ebbc8a (__TEXT,__text) non-external -[MREffectMapZoom _cleanup]
00007ffa06ebbbb4 (__TEXT,__text) non-external -[MREffectMapZoom initWithEffectID:]
00007ffa06ebbe54 (__TEXT,__text) non-external -[MREffectMapZoom isLoadedForTime:]
00007ffa06ebbfa2 (__TEXT,__text) non-external -[MREffectMapZoom prerenderForTime:inContext:withArguments:]
00007ffa06ebc918 (__TEXT,__text) non-external -[MREffectMapZoom renderAtTime:inContext:withArguments:]
00007ffa06ebbdf7 (__TEXT,__text) non-external -[MREffectMapZoom setPixelSize:]
00007ffa06ebd027 (__TEXT,__text) non-external -[MREffectMapZoom(MRLoadable) _unload]
00007ffa06ebd272 (__TEXT,__text) non-external -[MREffectModern _cleanup]
00007ffa06ebdb6f (__TEXT,__text) non-external -[MREffectModern elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ebdb9f (__TEXT,__text) non-external -[MREffectModern getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ebd182 (__TEXT,__text) non-external -[MREffectModern initWithEffectID:]
00007ffa06ebd327 (__TEXT,__text) non-external -[MREffectModern isAlphaFriendly]
00007ffa06ebd314 (__TEXT,__text) non-external -[MREffectModern isNative3D]
00007ffa06ebd31f (__TEXT,__text) non-external -[MREffectModern isOpaque]
00007ffa06ebdb05 (__TEXT,__text) non-external -[MREffectModern patchworkAtTime:inContext:withArguments:]
00007ffa06ebd332 (__TEXT,__text) non-external -[MREffectModern prerenderForTime:inContext:withArguments:]
00007ffa06ebd41c (__TEXT,__text) non-external -[MREffectModern renderAtTime:inContext:withArguments:]
00007ffa06ebdbbc (__TEXT,__text) non-external -[MREffectModern renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00007ffa06ebd2b7 (__TEXT,__text) non-external -[MREffectModern setPixelSize:]
00007ffa06eca4fb (__TEXT,__text) non-external -[MREffectOrigami _checkPanoramaAbsoluteSizeForImage:inRect:]
00007ffa06ebe37f (__TEXT,__text) non-external -[MREffectOrigami _cleanupSwingTimings]
00007ffa06ebe1b4 (__TEXT,__text) non-external -[MREffectOrigami _cleanup]
00007ffa06ed9171 (__TEXT,__text) non-external -[MREffectOrigami _needsRenderingAtTime:remainingStillDurationAfter:]
00007ffa06ec908d (__TEXT,__text) non-external -[MREffectOrigami _renderFallBreakImage:atProgress:inContext:withArguments:inRect:withAttributes:::]
00007ffa06ec8d0a (__TEXT,__text) non-external -[MREffectOrigami _renderFallImage:atProgress:inContext:withArguments:inRect:withAttributes:::]
00007ffa06ec58d2 (__TEXT,__text) non-external -[MREffectOrigami _retainedByUserBackColorImageInContext:]
00007ffa06ebe3fa (__TEXT,__text) non-external -[MREffectOrigami _setTargetSizeOfImageProviders]
00007ffa06ec5c34 (__TEXT,__text) non-external -[MREffectOrigami _setupBreakInfos:inContext:withArguments:]
00007ffa06ebe2a3 (__TEXT,__text) non-external -[MREffectOrigami _setupSwingTimings]
00007ffa06ebe249 (__TEXT,__text) non-external -[MREffectOrigami _unload]
00007ffa06ed95b4 (__TEXT,__text) non-external -[MREffectOrigami beginMorphingToAspectRatio:withDuration:]
00007ffa06ec765b (__TEXT,__text) non-external -[MREffectOrigami elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ed9fe5 (__TEXT,__text) non-external -[MREffectOrigami getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00007ffa06ed9606 (__TEXT,__text) non-external -[MREffectOrigami getStartTime:andDuration:forMovingToElementID:backwards:]
00007ffa06ec7898 (__TEXT,__text) non-external -[MREffectOrigami getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ed960e (__TEXT,__text) non-external -[MREffectOrigami hasMoreSlidesFromTime:backwards:startTime:duration:]
00007ffa06ebe007 (__TEXT,__text) non-external -[MREffectOrigami initWithEffectID:]
00007ffa06ed9b9f (__TEXT,__text) non-external -[MREffectOrigami interestingTimeForElement:]
00007ffa06ed9922 (__TEXT,__text) non-external -[MREffectOrigami interestingTimeForTime:]
00007ffa06ed61f7 (__TEXT,__text) non-external -[MREffectOrigami patchworkAtTime:inContext:withArguments:]
00007ffa06ec63dc (__TEXT,__text) non-external -[MREffectOrigami prerenderForTime:inContext:withArguments:]
00007ffa06ed106f (__TEXT,__text) non-external -[MREffectOrigami render1To3DownAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ed2748 (__TEXT,__text) non-external -[MREffectOrigami render1To3LeftAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ec675c (__TEXT,__text) non-external -[MREffectOrigami renderAtTime:inContext:withArguments:]
00007ffa06eca503 (__TEXT,__text) non-external -[MREffectOrigami renderBreakAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ec9a49 (__TEXT,__text) non-external -[MREffectOrigami renderFall2AtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ec993e (__TEXT,__text) non-external -[MREffectOrigami renderFallAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ec9c9e (__TEXT,__text) non-external -[MREffectOrigami renderFallBreakAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ed4eed (__TEXT,__text) non-external -[MREffectOrigami renderFlipDiagonalAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ecd981 (__TEXT,__text) non-external -[MREffectOrigami renderFlipDownAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ecbb81 (__TEXT,__text) non-external -[MREffectOrigami renderFlipLeftAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ed3bf6 (__TEXT,__text) non-external -[MREffectOrigami renderFold4LeftAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ed0802 (__TEXT,__text) non-external -[MREffectOrigami renderFoldDownAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ecfb87 (__TEXT,__text) non-external -[MREffectOrigami renderFoldLeftAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ec9da9 (__TEXT,__text) non-external -[MREffectOrigami renderStillAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ed54f7 (__TEXT,__text) non-external -[MREffectOrigami renderUnfoldingFlowerAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa06ec78e6 (__TEXT,__text) non-external -[MREffectOrigami setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa06ec2068 (__TEXT,__text) non-external -[MREffectOrigami setPixelSize:]
00007ffa06ec20c4 (__TEXT,__text) non-external -[MREffectOrigami updateSizes]
00007ffa06eda479 (__TEXT,__text) non-external -[MREffectOrigamiTiming dealloc]
00007ffa06eda90f (__TEXT,__text) non-external -[MREffectOrigamiTiming displayTimeForSlideAtIndex:]
00007ffa06eda927 (__TEXT,__text) non-external -[MREffectOrigamiTiming displayTimeForTextAtIndex:]
00007ffa06eda395 (__TEXT,__text) non-external -[MREffectOrigamiTiming initWithEffectID:]
00007ffa06eda930 (__TEXT,__text) non-external -[MREffectOrigamiTiming lowestDisplayTime]
00007ffa06eda94c (__TEXT,__text) non-external -[MREffectOrigamiTiming mainDuration]
00007ffa06eda93e (__TEXT,__text) non-external -[MREffectOrigamiTiming phaseInDuration]
00007ffa06eda95a (__TEXT,__text) non-external -[MREffectOrigamiTiming phaseOutDuration]
00007ffa06eda4dd (__TEXT,__text) non-external -[MREffectOrigamiTiming setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa06eda8ff (__TEXT,__text) non-external -[MREffectOrigamiTiming showDurationForSlideAtIndex:]
00007ffa06eda8ef (__TEXT,__text) non-external -[MREffectOrigamiTiming showTimeForSlideAtIndex:]
00007ffa06edab52 (__TEXT,__text) non-external -[MREffectOrigamiTitle _cleanupSwingTimings]
00007ffa06edaa8c (__TEXT,__text) non-external -[MREffectOrigamiTitle _cleanup]
00007ffa06ee13ae (__TEXT,__text) non-external -[MREffectOrigamiTitle _retainedByUserBackColorImageInContext:]
00007ffa06edab16 (__TEXT,__text) non-external -[MREffectOrigamiTitle _setupSwingTimings]
00007ffa06edd0f1 (__TEXT,__text) non-external -[MREffectOrigamiTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06edd354 (__TEXT,__text) non-external -[MREffectOrigamiTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa06eda968 (__TEXT,__text) non-external -[MREffectOrigamiTitle init]
00007ffa06edab7a (__TEXT,__text) non-external -[MREffectOrigamiTitle isLoadedForTime:]
00007ffa06edfa3d (__TEXT,__text) non-external -[MREffectOrigamiTitle patchworkAtTime:inContext:withArguments:]
00007ffa06edac82 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderAtTime:inContext:withArguments:]
00007ffa06ede775 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderBreakImage:atProgress:withKey:inContext:withArguments:inRect:withAttributes:]
00007ffa06eddb46 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderFallBreakImage:atProgress:inContext:withArguments:inRect:withAttributes:::]
00007ffa06edd77a (__TEXT,__text) non-external -[MREffectOrigamiTitle renderFallImage:atProgress:inContext:withArguments:inRect:withAttributes:::]
00007ffa06edd3e3 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderFallImage:atProgress:strength:inContext:withArguments:inRect:withAttributes:::]
00007ffa06ede3c4 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderStillImage:withKey:inContext:withArguments:inRect:withAttributes:]
00007ffa06edcb6b (__TEXT,__text) non-external -[MREffectOrigamiTitle renderTextEffectAtTime:inContext:withArguments:]
00007ffa06edad54 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderTitleEffectAtTime:inContext:withArguments:]
00007ffa06ee14fe (__TEXT,__text) non-external -[MREffectOrigamiTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06ee1eee (__TEXT,__text) non-external -[MREffectOrigamiTitle(MRLoadable) _maxLinesForTextElement:]
00007ffa06ee1ec9 (__TEXT,__text) non-external -[MREffectOrigamiTitle(MRLoadable) _maxSizeForTextElement:]
00007ffa06ee1ef9 (__TEXT,__text) non-external -[MREffectOrigamiTitle(MRLoadable) _unload]
00007ffa06ee23c1 (__TEXT,__text) non-external -[MREffectPhotoEdges _cleanup]
00007ffa06ee6468 (__TEXT,__text) non-external -[MREffectPhotoEdges elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ee671a (__TEXT,__text) non-external -[MREffectPhotoEdges getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ee2270 (__TEXT,__text) non-external -[MREffectPhotoEdges initWithEffectID:]
00007ffa06ee2454 (__TEXT,__text) non-external -[MREffectPhotoEdges isLoadedForTime:]
00007ffa06ee29a5 (__TEXT,__text) non-external -[MREffectPhotoEdges prerenderForTime:inContext:withArguments:]
00007ffa06ee34f1 (__TEXT,__text) non-external -[MREffectPhotoEdges renderAtTime:inContext:withArguments:]
00007ffa06ee25a0 (__TEXT,__text) non-external -[MREffectPhotoEdges setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa06ee278b (__TEXT,__text) non-external -[MREffectPhotoEdges setPixelSize:]
00007ffa06ee6768 (__TEXT,__text) non-external -[MREffectPhotoEdges(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06ee6b86 (__TEXT,__text) non-external -[MREffectPhotoEdges(MRLoadable) _maxLinesForTextElement:]
00007ffa06ee6aa5 (__TEXT,__text) non-external -[MREffectPhotoEdges(MRLoadable) _maxSizeForTextElement:]
00007ffa06ee6b91 (__TEXT,__text) non-external -[MREffectPhotoEdges(MRLoadable) _unload]
00007ffa070005f7 (__TEXT,__text) non-external -[MREffectPictureFrames _applyTimingToSlideProviders]
00007ffa0700214b (__TEXT,__text) non-external -[MREffectPictureFrames _aspectRatioForSlideIndex:]
00007ffa06ffcc45 (__TEXT,__text) non-external -[MREffectPictureFrames _cleanup]
00007ffa07004f6e (__TEXT,__text) non-external -[MREffectPictureFrames _drawBreakFrame:provider:index:rect:time:inContext:withArguments:]
00007ffa070055f3 (__TEXT,__text) non-external -[MREffectPictureFrames _drawBreakFrameInRect:frameWidth:time:inContext:withArguments:]
00007ffa07005b6a (__TEXT,__text) non-external -[MREffectPictureFrames _drawFrame:provider:index:rect:time:onTable:inContext:withArguments:]
00007ffa07000a3f (__TEXT,__text) non-external -[MREffectPictureFrames _durationForEffect:]
00007ffa07000a28 (__TEXT,__text) non-external -[MREffectPictureFrames _durationForEffect]
00007ffa0700252d (__TEXT,__text) non-external -[MREffectPictureFrames _frameRectFromInfo:onShelf:]
00007ffa07004526 (__TEXT,__text) non-external -[MREffectPictureFrames _nextSlideProviderAspectRatioToFitInAspectRatio:providerKeys:slideInformation:index:force:]
00007ffa070021f3 (__TEXT,__text) non-external -[MREffectPictureFrames _populateFrames]
00007ffa07004a14 (__TEXT,__text) non-external -[MREffectPictureFrames _randomFrameForAspectRatio:forTable:allowMatte:onlyLoaded:ignoreFrames:randomGenerator:]
00007ffa07004d7d (__TEXT,__text) non-external -[MREffectPictureFrames _rectForFrameID:rect:onTable:aspectRatio:slideAspectRatio:]
00007ffa06ffd885 (__TEXT,__text) non-external -[MREffectPictureFrames _setSizeScripts:]
00007ffa070011d0 (__TEXT,__text) non-external -[MREffectPictureFrames _setupLayoutWithSlideInformation:]
00007ffa0700114e (__TEXT,__text) non-external -[MREffectPictureFrames _startingOffset]
00007ffa07000ff5 (__TEXT,__text) non-external -[MREffectPictureFrames _startingWidth]
00007ffa07002605 (__TEXT,__text) non-external -[MREffectPictureFrames _xForSlideAtIndex:layoutWidth:]
00007ffa07002e23 (__TEXT,__text) non-external -[MREffectPictureFrames displayTimeForSlideAtIndex:]
00007ffa07002ed0 (__TEXT,__text) non-external -[MREffectPictureFrames displayTimeForTextAtIndex:]
00007ffa070061bc (__TEXT,__text) non-external -[MREffectPictureFrames elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa070063f9 (__TEXT,__text) non-external -[MREffectPictureFrames getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ffcb8a (__TEXT,__text) non-external -[MREffectPictureFrames initWithEffectID:]
00007ffa06ffd537 (__TEXT,__text) non-external -[MREffectPictureFrames isLoadedForTime:]
00007ffa06ffcfaa (__TEXT,__text) non-external -[MREffectPictureFrames layoutsWithSlidesInfo:seed:hasShelf:]
00007ffa07002ed9 (__TEXT,__text) non-external -[MREffectPictureFrames lowestDisplayTime]
00007ffa06ffead3 (__TEXT,__text) non-external -[MREffectPictureFrames prerenderForTime:inContext:withArguments:]
00007ffa07002ee2 (__TEXT,__text) non-external -[MREffectPictureFrames renderAtTime:inContext:withArguments:]
00007ffa070005b6 (__TEXT,__text) non-external -[MREffectPictureFrames setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa06ffd7a9 (__TEXT,__text) non-external -[MREffectPictureFrames setPixelSize:]
00007ffa07002d03 (__TEXT,__text) non-external -[MREffectPictureFrames showDurationForSlideAtIndex:]
00007ffa07002c1e (__TEXT,__text) non-external -[MREffectPictureFrames showTimeForSlideAtIndex:]
00007ffa07006447 (__TEXT,__text) non-external -[MREffectPictureFrames(MRLoadable) _unload]
00007ffa06eaaf26 (__TEXT,__text) non-external -[MREffectPinMap _cleanup]
00007ffa06eb40a4 (__TEXT,__text) non-external -[MREffectPinMap _drawArrowInContext:atTime:withArguments:atPoint:scale:withTextAtIndex:t:pointDown:m:]
00007ffa06eb4e8a (__TEXT,__text) non-external -[MREffectPinMap _drawTitleInContext:atTime:withArguments:atPoint:scale:withTextAtIndex:]
00007ffa06eb5873 (__TEXT,__text) non-external -[MREffectPinMap _maxLinesForTextElement:]
00007ffa06eb5808 (__TEXT,__text) non-external -[MREffectPinMap _maxSizeForTextElement:]
00007ffa06eb5516 (__TEXT,__text) non-external -[MREffectPinMap elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06eb5770 (__TEXT,__text) non-external -[MREffectPinMap getVerticesCoordinates:withMatrix:forElement:]
00007ffa06eaab77 (__TEXT,__text) non-external -[MREffectPinMap initWithEffectID:]
00007ffa06eac3b9 (__TEXT,__text) non-external -[MREffectPinMap isLoadedForTime:]
00007ffa06eb589b (__TEXT,__text) non-external -[MREffectPinMap patchworkAtTime:inContext:withArguments:]
00007ffa06eac6f3 (__TEXT,__text) non-external -[MREffectPinMap prerenderForTime:inContext:withArguments:]
00007ffa06ead76a (__TEXT,__text) non-external -[MREffectPinMap renderAtTime:inContext:withArguments:]
00007ffa06eab688 (__TEXT,__text) non-external -[MREffectPinMap setAttributes:]
00007ffa06eab3bc (__TEXT,__text) non-external -[MREffectPinMap setPixelSize:]
00007ffa06eb5f2a (__TEXT,__text) non-external -[MREffectPinMap(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06eb689f (__TEXT,__text) non-external -[MREffectPinMap(MRLoadable) _unload]
