00000002774ec8d0 (__DATA,__bss) non-external _A
000000025fff5a74 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
000000025fff5a7c (__TEXT,__text) external _cmark_syntax_extension_set_private
000000025fff5a1c (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
000000025fff5a54 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
0000000260003908 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000025ffebd24 (__TEXT,__text) external _cmark_utf8proc_case_fold
000000025ffeb894 (__TEXT,__text) external _cmark_utf8proc_check
000000025ffebbec (__TEXT,__text) external _cmark_utf8proc_encode_char
000000026000ff98 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
000000025fff1e70 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
000000025fff1df4 (__TEXT,__text) external _cmark_utf8proc_is_space
000000025ffebaa8 (__TEXT,__text) external _cmark_utf8proc_iterate
000000025fff3a20 (__TEXT,__text) external _cmark_version
000000025fff3a28 (__TEXT,__text) external _cmark_version_string
000000025fff4f8c (__TEXT,__text) non-external _commonmark_render
000000025fff7cfc (__TEXT,__text) non-external _commonmark_render
000000026000e2c0 (__TEXT,__text) non-external _commonmark_render
0000000260010530 (__TEXT,__text) non-external _commonmark_render.cold.1
000000026000e2a8 (__TEXT,__text) non-external _contains_inlines
0000000260003970 (__TEXT,__text) non-external _core_extensions_registration
000000025fff5aa8 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
000000025fff7b78 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000026000d674 (__TEXT,__text) non-external (was a private external) _create_table_extension
000000026000fe48 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
000000025fff4d28 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00000002774ec740 (__DATA,__bss) non-external _enable_safety_checks
0000000260010f40 (__TEXT,__const) non-external _encode_unknown.repl
000000026000f23c (__TEXT,__text) non-external _escape
00000002774ec6b8 (__DATA,__bss) non-external _extensions_lock
00000002774ec560 (__DATA,__data) non-external _extensions_once
000000026000fe8c (__TEXT,__text) non-external _filter
0000000260006744 (__TEXT,__text) non-external _finalize
000000026001039c (__TEXT,__text) non-external _finalize.cold.1
00000002600103c8 (__TEXT,__text) non-external _finalize.cold.2
00000002600038ac (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00000002600071d4 (__TEXT,__text) non-external _free_node_as
000000026000f964 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000025fff9230 (__TEXT,__text) non-external _get_link_type
000000025fff4e98 (__TEXT,__text) non-external _get_type_string
000000025fff7cb4 (__TEXT,__text) non-external _get_type_string
000000026000e198 (__TEXT,__text) non-external _get_type_string
000000026000ca38 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
0000000260013ab4 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
000000025fff3a00 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
000000025fff3900 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000026000cb84 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000026000ce30 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000026000cf4c (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
000000025fff5048 (__TEXT,__text) non-external _html_render
000000025fff7dfc (__TEXT,__text) non-external _html_render
000000026000eaf4 (__TEXT,__text) non-external _html_render
00000002600105b4 (__TEXT,__text) non-external _html_render.cold.1
000000026000f9e8 (__TEXT,__text) non-external _html_table_add_align
000000026000fdd8 (__TEXT,__text) non-external _init_arena
000000026000fdc8 (__TEXT,__text) non-external _initialize_arena
000000025fff6b28 (__TEXT,__text) non-external _initialize_extensions
00000002600087f8 (__TEXT,__text) non-external _initialize_nextflag
00000002600087e8 (__TEXT,__text) non-external _initialize_safety
000000025fff7f64 (__TEXT,__text) non-external _insert
000000025fff67c0 (__TEXT,__text) non-external _is_valid_hostchar
000000025fff7d20 (__TEXT,__text) non-external _latex_render
000000026000e57c (__TEXT,__text) non-external _latex_render
000000026001055c (__TEXT,__text) non-external _latex_render.cold.1
000000026000b5d8 (__TEXT,__text) non-external _link_label
00000002600104ac (__TEXT,__text) non-external _link_label.cold.1
00000002600104ac (__TEXT,__text) non-external _link_label.cold.2
00000002600104ac (__TEXT,__text) non-external _link_label.cold.3
00000002600104ac (__TEXT,__text) non-external _link_label.cold.4
00000002600102c0 (__TEXT,__text) non-external _link_label.cold.5
000000026000c224 (__TEXT,__text) non-external _make_autolink
0000000260010480 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
000000025fff7d54 (__TEXT,__text) non-external _man_render
000000026000e8cc (__TEXT,__text) non-external _man_render
0000000260010588 (__TEXT,__text) non-external _man_render.cold.1
000000026000b8c4 (__TEXT,__text) non-external _manual_scan_link_url
000000025fff5b34 (__TEXT,__text) non-external _match
000000025fff7e40 (__TEXT,__text) non-external _match
000000025fff4e0c (__TEXT,__text) non-external _matches
000000026000d828 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00000002774ec748 (__DATA,__bss) non-external _nextflag_lock
00000002774ec590 (__DATA,__data) non-external _nextflag_once
00000002600039e4 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00000002600101b0 (__TEXT,__text) non-external _normalize_map_label.cold.1
000000026000f12c (__TEXT,__text) non-external _opaque_alloc
000000026000f1a8 (__TEXT,__text) non-external _opaque_free
000000025fff4ea4 (__TEXT,__text) non-external _open_tasklist_item
000000025fff2744 (__TEXT,__text) non-external _outc
000000025fff85bc (__TEXT,__text) non-external _outc
000000026000d02c (__TEXT,__text) non-external _outc
000000025fff7e1c (__TEXT,__text) non-external _plaintext_render
000000025fff5f68 (__TEXT,__text) non-external _postprocess
00000002600100d4 (__TEXT,__text) non-external _postprocess.cold.1
0000000260010100 (__TEXT,__text) non-external _postprocess.cold.2
000000026000ac40 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
000000026000c134 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
0000000260003c98 (__TEXT,__text) non-external _refcmp
00000002600045e8 (__TEXT,__text) non-external _reference_free
0000000260003bd8 (__TEXT,__text) non-external _refsearch
000000026000395c (__TEXT,__text) non-external _register_plugins
00000002774ec570 (__DATA,__data) non-external _registered_once
000000026000b218 (__TEXT,__text) non-external _remove_delimiter
00000002600104d8 (__TEXT,__text) non-external _remove_delimiter.cold.1
0000000260006afc (__TEXT,__text) non-external _resolve_reference_link_definitions
000000026000f4ac (__TEXT,__text) non-external _row_from_string
00000002774ec700 (__DATA,__bss) non-external _safety_lock
00000002774ec580 (__DATA,__data) non-external _safety_once
0000000272780ed8 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
0000000260006cc0 (__TEXT,__text) non-external _sort_footnote_by_ix
000000026000b7bc (__TEXT,__text) non-external _spnl
00000002600104ac (__TEXT,__text) non-external _spnl.cold.1
00000002600104ac (__TEXT,__text) non-external _spnl.cold.2
00000002600104ac (__TEXT,__text) non-external _spnl.cold.3
00000002600104ac (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00000002774ec6f8 (__DATA,__bss) non-external _syntax_extensions
000000026000d8e0 (__TEXT,__text) non-external _try_opening_table_block
000000026000f890 (__TEXT,__text) non-external _unescape_pipes
0000000260010e40 (__TEXT,__const) non-external _utf8proc_utf8class
000000025fff6810 (__TEXT,__text) non-external _validate_protocol
000000025fff3a34 (__TEXT,__text) non-external _xcalloc
000000026000fff0 (__TEXT,__text) non-external _xcalloc.cold.1
000000025fff3a84 (__TEXT,__text) non-external _xfree
000000025fff51cc (__TEXT,__text) non-external _xml_attr
000000026000e7cc (__TEXT,__text) non-external _xml_attr
000000025fff3a5c (__TEXT,__text) non-external _xrealloc
0000000260010020 (__TEXT,__text) non-external _xrealloc.cold.1
