00007ffd445e1fd0 (__DATA,__bss) non-external _A
00007ffd18e562b8 (__TEXT,__text) external _cmark_strbuf_init
00007ffd18e56342 (__TEXT,__text) external _cmark_strbuf_len
00007ffd18e56782 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffd18e56484 (__TEXT,__text) external _cmark_strbuf_put
00007ffd18e5644b (__TEXT,__text) external _cmark_strbuf_putc
00007ffd18e564d8 (__TEXT,__text) external _cmark_strbuf_puts
00007ffd18e566e4 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffd18e5639b (__TEXT,__text) external _cmark_strbuf_set
00007ffd18e5641b (__TEXT,__text) external _cmark_strbuf_sets
00007ffd18e565fe (__TEXT,__text) external _cmark_strbuf_strchr
00007ffd18e5663e (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffd18e56555 (__TEXT,__text) external _cmark_strbuf_swap
00007ffd18e5672d (__TEXT,__text) external _cmark_strbuf_trim
00007ffd18e5667d (__TEXT,__text) external _cmark_strbuf_truncate
00007ffd18e56819 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffd18e48b96 (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffd18e61937 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffd18e48afc (__TEXT,__text) external _cmark_syntax_extension_free
00007ffd18e48c8c (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffd18e48b41 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffd18e48c0e (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffd18e48cb0 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffd18e48c22 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffd18e48c18 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffd18e48bc6 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffd18e48c04 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffd18e48c64 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffd18e48c57 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffd18e48bf0 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffd18e48c36 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffd18e48c4a (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffd18e48bdd (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffd18e48be6 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffd18e48c96 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffd18e48ca3 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffd18e48bd3 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffd18e48c2c (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffd18e48c71 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffd18e48c7e (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffd18e48bfa (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffd18e48c40 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffd18e55f7d (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffd18e3dbf4 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffd18e3d7a0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffd18e3dadc (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffd18e61767 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffd18e456e6 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffd18e4568c (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffd18e3d991 (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffd18e46e28 (__TEXT,__text) external _cmark_version
00007ffd18e46e33 (__TEXT,__text) external _cmark_version_string
00007ffd18e48359 (__TEXT,__text) non-external _commonmark_render
00007ffd18e4acb2 (__TEXT,__text) non-external _commonmark_render
00007ffd18e60044 (__TEXT,__text) non-external _commonmark_render
00007ffd18e623d1 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffd18e6002f (__TEXT,__text) non-external _contains_inlines
00007ffd18e55fc9 (__TEXT,__text) non-external _core_extensions_registration
00007ffd18e48cbd (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffd18e4ab8f (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffd18e5f566 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffd18e61627 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffd18e4819f (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffd445e1ec0 (__DATA,__bss) non-external _enable_safety_checks
00007ffd18e626a0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffd18e60cbe (__TEXT,__text) non-external _escape
00007ffd18e61655 (__TEXT,__text) non-external _filter
00007ffd18e58935 (__TEXT,__text) non-external _finalize
00007ffd18e61b65 (__TEXT,__text) non-external _finalize.cold.1
00007ffd18e61b88 (__TEXT,__text) non-external _finalize.cold.2
00007ffd18e55f41 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffd18e592a2 (__TEXT,__text) non-external _free_node_as
00007ffd18e612c2 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffd18e4bed4 (__TEXT,__text) non-external _get_link_type
00007ffd18e48298 (__TEXT,__text) non-external _get_type_string
00007ffd18e4ac71 (__TEXT,__text) non-external _get_type_string
00007ffd18e5ff65 (__TEXT,__text) non-external _get_type_string
00007ffd18e5ebcc (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffd18e622c2 (__TEXT,__text) non-external _houdini_escape_href.cold.1
00007ffd18e652a0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffd18e6188b (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffd18e617af (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffd18e5ebfd (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffd18e5ee70 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffd18e5ef60 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffd18e483c9 (__TEXT,__text) non-external _html_render
00007ffd18e4ad57 (__TEXT,__text) non-external _html_render
00007ffd18e60641 (__TEXT,__text) non-external _html_render
00007ffd18e6243a (__TEXT,__text) non-external _html_render.cold.1
00007ffd18e613bf (__TEXT,__text) non-external _html_table_add_align
00007ffd18e4aedd (__TEXT,__text) non-external _insert
00007ffd18e49b22 (__TEXT,__text) non-external _is_valid_hostchar
00007ffd18e4acd3 (__TEXT,__text) non-external _latex_render
00007ffd18e6025e (__TEXT,__text) non-external _latex_render
00007ffd18e623f4 (__TEXT,__text) non-external _latex_render.cold.1
00007ffd18e5d938 (__TEXT,__text) non-external _link_label
00007ffd18e62050 (__TEXT,__text) non-external _link_label.cold.1
00007ffd18e62071 (__TEXT,__text) non-external _link_label.cold.2
00007ffd18e62094 (__TEXT,__text) non-external _link_label.cold.3
00007ffd18e620b7 (__TEXT,__text) non-external _link_label.cold.4
00007ffd18e620da (__TEXT,__text) non-external _link_label.cold.5
00007ffd18e5e3f6 (__TEXT,__text) non-external _make_autolink
00007ffd18e622a1 (__TEXT,__text) non-external _make_autolink.cold.1
00007ffd18e5e2ef (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffd18e4ad02 (__TEXT,__text) non-external _man_render
00007ffd18e604d7 (__TEXT,__text) non-external _man_render
00007ffd18e62417 (__TEXT,__text) non-external _man_render.cold.1
00007ffd18e5dbc5 (__TEXT,__text) non-external _manual_scan_link_url
00007ffd18e48d2b (__TEXT,__text) non-external _match
00007ffd18e4ad9a (__TEXT,__text) non-external _match
00007ffd18e48234 (__TEXT,__text) non-external _matches
00007ffd18e5f688 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd18e5602e (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffd18e61a07 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffd18e60c1f (__TEXT,__text) non-external _opaque_alloc
00007ffd18e60c6b (__TEXT,__text) non-external _opaque_free
00007ffd18e482a5 (__TEXT,__text) non-external _open_tasklist_item
00007ffd18e45ecb (__TEXT,__text) non-external _outc
00007ffd18e4b4e6 (__TEXT,__text) non-external _outc
00007ffd18e5eff7 (__TEXT,__text) non-external _outc
00007ffd18e4ad79 (__TEXT,__text) non-external _plaintext_render
00007ffd18e491cd (__TEXT,__text) non-external _postprocess
00007ffd18e61958 (__TEXT,__text) non-external _postprocess.cold.1
00007ffd18e6197b (__TEXT,__text) non-external _postprocess.cold.2
00007ffd18e5d064 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _qsort (from libSystem)
00007ffd18e5628e (__TEXT,__text) non-external _refcmp
00007ffd18e56a06 (__TEXT,__text) non-external _reference_free
00007ffd18e56209 (__TEXT,__text) non-external _refsearch
00007ffd4334f0d0 (__DATA_DIRTY,__bss) non-external _registered
00007ffd18e5d60e (__TEXT,__text) non-external _remove_delimiter
00007ffd18e61f38 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffd18e58cdc (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffd18e60ec0 (__TEXT,__text) non-external _row_from_string
00007ffd42359830 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffd18e58ee7 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffd18e5daf0 (__TEXT,__text) non-external _spnl
00007ffd18e620fd (__TEXT,__text) non-external _spnl.cold.1
00007ffd18e62120 (__TEXT,__text) non-external _spnl.cold.2
00007ffd18e62143 (__TEXT,__text) non-external _spnl.cold.3
00007ffd18e62166 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffd4334f0c8 (__DATA_DIRTY,__bss) non-external _syntax_extensions
00007ffd18e61329 (__TEXT,__text) non-external _try_inserting_table_header_paragraph
00007ffd18e5f717 (__TEXT,__text) non-external _try_opening_table_block
00007ffd18e6121e (__TEXT,__text) non-external _unescape_pipes
00007ffd18e625a0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffd18e49b5b (__TEXT,__text) non-external _validate_protocol
00007ffd18e46e40 (__TEXT,__text) non-external _xcalloc
00007ffd18e618a4 (__TEXT,__text) non-external _xcalloc.cold.1
00007ffd18e46e74 (__TEXT,__text) non-external _xfree
00007ffd18e48515 (__TEXT,__text) non-external _xml_attr
00007ffd18e603f3 (__TEXT,__text) non-external _xml_attr
00007ffd18e46e5a (__TEXT,__text) non-external _xrealloc
00007ffd18e618c9 (__TEXT,__text) non-external _xrealloc.cold.1
