00000001e9d55c20 (__DATA,__data) external _NDR_record
00000001804a6fc8 (__TEXT,__text) external _coalition_policy_set
00000001804b2ff4 (__TEXT,__text) external _coalition_reap
00000001804b2fc4 (__TEXT,__text) external _coalition_terminate
000000018049d344 (__TEXT,__text) external _connect
000000018049d1ac (__TEXT,__text) external _connect$NOCANCEL
000000018049d3c8 (__TEXT,__text) external _connectx
000000018049a8c0 (__TEXT,__text) external _csops
00000001804995b8 (__TEXT,__text) external _csops_audittoken
00000001804996a8 (__TEXT,__text) external _csr_check
00000001804a1a24 (__TEXT,__text) external _csr_get_active_config
0000000180498d4c (__TEXT,__text) external _debug_control_port_for_pid
00000001804b3330 (__TEXT,__text) external _debug_syscall_reject
00000001804b321c (__TEXT,__text) external _debug_syscall_reject_config
00000001e9d55c18 (__DATA,__data) external _denap_boost_assertion_token
00000001804a6ff4 (__TEXT,__text) external _disconnectx
000000018049f6e8 (__TEXT,__text) non-external _do_compat
000000018049d478 (__TEXT,__text) external _dup
00000001804a177c (__TEXT,__text) external _dup2
00000001e5bba728 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e5bba5b8 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001e5bba920 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e5bba5f8 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e5bba6f8 (__DATA_CONST,__const) non-external _err_codes_io
00000001e5bbb2a0 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e5bbaed8 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001804ccea8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e5bbb168 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
00000001804ccee8 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e5bbb088 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
00000001804cceb8 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e5bba1a0 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e5bbad68 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e5bbadd8 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e5bbad78 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e5bba8f0 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e5bbacd8 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e5bbac50 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e5bbab98 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e5bba8c0 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e5bbab58 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e5bba618 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e5bba598 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e5bba668 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e5bbab10 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e5bbaab0 (__DATA_CONST,__const) non-external _err_codes_send
00000001e5bba830 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e5bba638 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e5bba630 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e5bba368 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e5bba770 (__DATA_CONST,__const) non-external _err_codes_us
00000001e5bba958 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e5bbad28 (__DATA_CONST,__const) non-external _err_codes_vm_reclaim
00000001e5bbaa48 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e5bb9fc0 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001804cce98 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e5bb9e08 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e5bb9f48 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e5bb9e80 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e5bb9ae8 (__DATA_CONST,__const) non-external _err_os_sub
00000001e5bb9b88 (__DATA_CONST,__const) non-external _err_server_sub
00000001804cce70 (__TEXT,__const) non-external _err_us_sub
00000001e5bb9ef8 (__DATA_CONST,__const) non-external _err_vm_sub
00000001ec7631f0 (__DATA_DIRTY,__common) external _errno
00000001804c93b4 (__TEXT,__text) external _etap_trace_thread
00000001804b4568 (__TEXT,__text) non-external _eth_rule_iterate
00000001804b7a44 (__TEXT,__text) external _exc_server
00000001804b7a10 (__TEXT,__text) external _exc_server_routine
00000001804b706c (__TEXT,__text) external _exception_raise
00000001804b71e8 (__TEXT,__text) external _exception_raise_state
00000001804b7458 (__TEXT,__text) external _exception_raise_state_identity
00000001804a52d4 (__TEXT,__text) external _exchangedata
00000001804aafa8 (__TEXT,__text) external _exclaves_aoe_message_loop
00000001804aaf40 (__TEXT,__text) external _exclaves_aoe_setup
00000001804aaf74 (__TEXT,__text) external _exclaves_aoe_work_loop
00000001804aaccc (__TEXT,__text) external _exclaves_audio_buffer_copyout
00000001804aad04 (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
00000001804aac9c (__TEXT,__text) external _exclaves_audio_buffer_create
00000001804aac68 (__TEXT,__text) external _exclaves_boot
00000001804aaa24 (__TEXT,__text) external _exclaves_endpoint_call
00000001804aab38 (__TEXT,__text) external _exclaves_inbound_buffer_copyin
00000001804aab08 (__TEXT,__text) external _exclaves_inbound_buffer_create
00000001804aae0c (__TEXT,__text) external _exclaves_indicator_min_on_time
00000001804aab88 (__TEXT,__text) external _exclaves_launch_conclave
00000001804aabd0 (__TEXT,__text) external _exclaves_lookup_service
00000001804aab78 (__TEXT,__text) external _exclaves_named_buffer_copyin
00000001804aab80 (__TEXT,__text) external _exclaves_named_buffer_copyout
00000001804aab70 (__TEXT,__text) external _exclaves_named_buffer_create
00000001804aaea4 (__TEXT,__text) external _exclaves_notification_create
00000001804aaad0 (__TEXT,__text) external _exclaves_outbound_buffer_copyout
00000001804aaaa0 (__TEXT,__text) external _exclaves_outbound_buffer_create
00000001804aad3c (__TEXT,__text) external _exclaves_sensor_create
00000001804aad70 (__TEXT,__text) external _exclaves_sensor_start
00000001804aadd8 (__TEXT,__text) external _exclaves_sensor_status
00000001804aada4 (__TEXT,__text) external _exclaves_sensor_stop
00000001804a173c (__TEXT,__text) external _execve
00000001e9d55c88 (__DATA,__bss) non-external _execve_with_filter
00000001804a7020 (__TEXT,__text) external _faccessat
00000001804a704c (__TEXT,__text) external _fchdir
000000018049e44c (__TEXT,__text) external _fchflags
000000018049d504 (__TEXT,__text) external _fchmod
00000001804a7078 (__TEXT,__text) external _fchmodat
000000018049e890 (__TEXT,__text) external _fchown
00000001804a70a4 (__TEXT,__text) external _fchownat
00000001804a70d0 (__TEXT,__text) external _fclonefileat
0000000180499704 (__TEXT,__text) external _fcntl
000000018049cfb0 (__TEXT,__text) external _fcntl$NOCANCEL
00000001804a70fc (__TEXT,__text) external _fdatasync
00000001804a098c (__TEXT,__text) external _ffsctl
000000018049c678 (__TEXT,__text) external _fgetattrlist
000000018049d44c (__TEXT,__text) external _fgetxattr
00000001804a7128 (__TEXT,__text) external _fhopen
000000018049f10c (__TEXT,__text) external _fileport_makefd
000000018049f388 (__TEXT,__text) external _fileport_makeport
00000001804a51e8 (__TEXT,__text) external _flistxattr
000000018049ccbc (__TEXT,__text) external _flock
00000001804a7154 (__TEXT,__text) external _fmount
00000001804a7180 (__TEXT,__text) external _fpathconf
00000001804aa7d4 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001804a71ac (__TEXT,__text) external _freadlink
00000001804a71d8 (__TEXT,__text) external _fremovexattr
00000001804b3178 (__TEXT,__text) external _fs_snapshot_create
00000001804b3194 (__TEXT,__text) external _fs_snapshot_delete
00000001804a162c (__TEXT,__text) external _fs_snapshot_list
00000001804b3204 (__TEXT,__text) external _fs_snapshot_mount
00000001804b31b0 (__TEXT,__text) external _fs_snapshot_rename
00000001804b31cc (__TEXT,__text) external _fs_snapshot_revert
00000001804b31e8 (__TEXT,__text) external _fs_snapshot_root
000000018049c64c (__TEXT,__text) external _fsctl
000000018049e864 (__TEXT,__text) external _fsetattrlist
000000018049e28c (__TEXT,__text) external _fsetxattr
000000018049c738 (__TEXT,__text) external _fsgetpath
00000001804a7204 (__TEXT,__text) external _fsgetpath_ext
00000001804a725c (__TEXT,__text) external _fstat
00000001804a725c (__TEXT,__text) external _fstat64
00000001804a72b4 (__TEXT,__text) external _fstatat
00000001804a72b4 (__TEXT,__text) external _fstatat64
00000001804a4954 (__TEXT,__text) external _fstatfs
00000001804a4954 (__TEXT,__text) external _fstatfs64
00000001804adee4 (__TEXT,__text) external _fstatfs_ext
000000018049c7e8 (__TEXT,__text) external _fsync
00000001804a5e28 (__TEXT,__text) external _fsync$NOCANCEL
000000018049c440 (__TEXT,__text) external _ftruncate
00000001804a730c (__TEXT,__text) external _funmount
00000001804ad920 (__TEXT,__text) external _futimens
000000018049e478 (__TEXT,__text) external _futimes
00000001e9d55920 (__DATA,__crash_info) non-external _gCRAnnotations
0000000180499624 (__TEXT,__text) external _getattrlist
00000001804a7338 (__TEXT,__text) external _getattrlistat
000000018049c498 (__TEXT,__text) external _getattrlistbulk
00000001804b66cc (__TEXT,__text) external _getaudit
000000018049b0d8 (__TEXT,__text) external _getaudit_addr
00000001804a7364 (__TEXT,__text) external _getauid
00000001804a7390 (__TEXT,__text) external _getdirentries
00000001804a73bc (__TEXT,__text) external _getdirentriesattr
00000001804a1ad4 (__TEXT,__text) external _getdtablesize
000000018049a894 (__TEXT,__text) external _getegid
000000018049912c (__TEXT,__text) external _getentropy
000000018049a034 (__TEXT,__text) external _geteuid
00000001804a73e8 (__TEXT,__text) external _getfh
00000001804a7440 (__TEXT,__text) external _getfsstat
00000001804a7440 (__TEXT,__text) external _getfsstat64
000000018049cf2c (__TEXT,__text) external _getgid
000000018049e8bc (__TEXT,__text) external _getgroups
000000018049e64c (__TEXT,__text) external _gethostuuid
000000018049d62c (__TEXT,__text) external _getiopolicy_np
00000001804a746c (__TEXT,__text) external _getitimer
000000018049d4d8 (__TEXT,__text) external _getpeername
00000001804a32a0 (__TEXT,__text) external _getpgid
00000001804a1710 (__TEXT,__text) external _getpgrp
0000000180499168 (__TEXT,__text) external _getpid
000000018049f40c (__TEXT,__text) external _getppid
00000001804a1550 (__TEXT,__text) external _getpriority
000000018049b0a4 (__TEXT,__text) external _getrlimit
00000001804a07b0 (__TEXT,__text) external _getrusage
00000001804a5e54 (__TEXT,__text) external _getsgroups_np
00000001804a7498 (__TEXT,__text) external _getsid
00000001804a09b8 (__TEXT,__text) external _getsockname
000000018049d3f4 (__TEXT,__text) external _getsockopt
000000018049a83c (__TEXT,__text) external _getuid
00000001804a5e80 (__TEXT,__text) external _getwgroups_np
000000018049bebc (__TEXT,__text) external _getxattr
00000001804a74c4 (__TEXT,__text) external _grab_pgo_data
00000001804a74f0 (__TEXT,__text) external _graftdmg
000000018049c7bc (__TEXT,__text) external _guarded_close_np
00000001804a39e8 (__TEXT,__text) external _guarded_kqueue_np
00000001804aa84c (__TEXT,__text) external _guarded_open_dprotected_np
000000018049c548 (__TEXT,__text) external _guarded_open_np
000000018049c5a4 (__TEXT,__text) external _guarded_pwrite_np
00000001804a0b1c (__TEXT,__text) external _guarded_write_np
00000001804a751c (__TEXT,__text) external _guarded_writev_np
00000001804d2464 (__TEXT,__cstring) non-external _hex
00000001804aa89c (__TEXT,__text) external _host_check_multiuser_mode
0000000180499e00 (__TEXT,__text) external _host_create_mach_voucher
0000000180498cbc (__TEXT,__text) external _host_create_mach_voucher_trap
00000001804b8024 (__TEXT,__text) external _host_default_memory_manager
00000001804b99ec (__TEXT,__text) external _host_get_UNDServer
00000001804aa87c (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001804b7ad0 (__TEXT,__text) external _host_get_boot_info
00000001804b86f4 (__TEXT,__text) external _host_get_clock_control
000000018049ecbc (__TEXT,__text) external _host_get_clock_service
00000001804b8ec4 (__TEXT,__text) external _host_get_exception_ports
00000001804ba680 (__TEXT,__text) external _host_get_io_main
000000018049c814 (__TEXT,__text) external _host_get_io_master
00000001804aa894 (__TEXT,__text) external _host_get_multiuser_config_flags
0000000180499a48 (__TEXT,__text) external _host_get_special_port
000000018049dd28 (__TEXT,__text) external _host_info
00000001804ba00c (__TEXT,__text) external _host_kernel_version
00000001804baf4c (__TEXT,__text) external _host_lockgroup_info
00000001804aa9f4 (__TEXT,__text) external _host_page_size
00000001804b7e04 (__TEXT,__text) external _host_priv_statistics
00000001804ba4e4 (__TEXT,__text) external _host_processor_info
00000001804b9760 (__TEXT,__text) external _host_processor_set_priv
00000001804b95e0 (__TEXT,__text) external _host_processor_sets
00000001804b8574 (__TEXT,__text) external _host_processors
00000001804b7ce8 (__TEXT,__text) external _host_reboot
00000001804bb5b4 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001804bb740 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
000000018049ada4 (__TEXT,__text) external _host_request_notification
00000001804b9d30 (__TEXT,__text) external _host_security_create_task_token
00000001804b9ecc (__TEXT,__text) external _host_security_set_task_token
00000001804ab314 (__TEXT,__text) external _host_self
0000000180498b60 (__TEXT,__text) external _host_self_trap
00000001804b98d0 (__TEXT,__text) external _host_set_UNDServer
00000001804bb8c0 (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001804b8d94 (__TEXT,__text) external _host_set_exception_ports
00000001804bbbf0 (__TEXT,__text) external _host_set_multiuser_config_flags
00000001804b8c68 (__TEXT,__text) external _host_set_special_port
00000001804a3398 (__TEXT,__text) external _host_statistics
00000001804a2c2c (__TEXT,__text) external _host_statistics64
00000001804b9188 (__TEXT,__text) external _host_swap_exception_ports
00000001804ba95c (__TEXT,__text) external _host_virtual_physical_table_info
00000001e9d55c00 (__DATA,__data) external _important_boost_assertion_token
00000001804b461c (__TEXT,__text) non-external _inet_rule_iterate
00000001edd63d38 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001804aa724 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001e9d55bf0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001804aa654 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001e9d55be8 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001804aa570 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001e9d55be0 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
000000018049d2e8 (__TEXT,__text) external _ioctl
0000000180498924 (__TEXT,__text) external _issetugid
00000001804a7548 (__TEXT,__text) external _kas_info
00000001804987c0 (__TEXT,__text) external _kdebug_is_enabled
00000001804b339c (__TEXT,__text) external _kdebug_signpost
00000001804a338c (__TEXT,__text) external _kdebug_signpost_end
00000001804a32d8 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001804a32cc (__TEXT,__text) external _kdebug_signpost_start
00000001804b334c (__TEXT,__text) external _kdebug_timestamp
00000001804b3364 (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001804b3380 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001804988a4 (__TEXT,__text) external _kdebug_trace
000000018049b850 (__TEXT,__text) external _kdebug_trace_string
0000000180498820 (__TEXT,__text) external _kdebug_typefilter
00000001ec762b68 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001804b3338 (__TEXT,__text) external _kdebug_using_continuous_time
000000018049ef28 (__TEXT,__text) external _kevent
00000001804a4b7c (__TEXT,__text) external _kevent64
000000018049aa58 (__TEXT,__text) external _kevent_id
000000018049aa2c (__TEXT,__text) external _kevent_qos
00000001804b9b48 (__TEXT,__text) external _kext_request
00000001804a0fbc (__TEXT,__text) external _kill
00000001804b8ac8 (__TEXT,__text) external _kmod_control
00000001804b8860 (__TEXT,__text) external _kmod_create
00000001804b89ac (__TEXT,__text) external _kmod_destroy
00000001804ba7dc (__TEXT,__text) external _kmod_get_info
00000001804b67b8 (__TEXT,__text) external _kpersona_alloc
00000001804b6838 (__TEXT,__text) external _kpersona_dealloc
00000001804b6904 (__TEXT,__text) external _kpersona_find
00000001804b69e8 (__TEXT,__text) external _kpersona_find_by_type
000000018049ceec (__TEXT,__text) external _kpersona_get
00000001804b687c (__TEXT,__text) external _kpersona_getpath
000000018049cbf4 (__TEXT,__text) external _kpersona_info
00000001804b67f8 (__TEXT,__text) external _kpersona_palloc
00000001804b68c0 (__TEXT,__text) external _kpersona_pidinfo
000000018049eefc (__TEXT,__text) external _kqueue
000000018049e8e8 (__TEXT,__text) external _lchown
00000001804a7574 (__TEXT,__text) external _ledger
000000018049d6d0 (__TEXT,__text) external _link
00000001804a75a0 (__TEXT,__text) external _linkat
00000001804a75cc (__TEXT,__text) external _lio_listio
00000001804a1660 (__TEXT,__text) external _listen
000000018049c4c4 (__TEXT,__text) external _listxattr
00000001804c40fc (__TEXT,__text) external _lock_set_create
00000001804c4264 (__TEXT,__text) external _lock_set_destroy
00000001804ae2b8 (__TEXT,__text) external _log_data_as_kernel
000000018049a608 (__TEXT,__text) external _lseek
00000001804a4834 (__TEXT,__text) external _lstat
00000001804a4834 (__TEXT,__text) external _lstat64
0000000180499090 (__TEXT,__text) external _mach_absolute_time
0000000180499114 (__TEXT,__text) external _mach_absolute_time_kernel
000000018049a470 (__TEXT,__text) external _mach_approximate_time
00000001804ad3b4 (__TEXT,__text) external _mach_boottime_usec
00000001804a0450 (__TEXT,__text) external _mach_continuous_approximate_time
0000000180499018 (__TEXT,__text) external _mach_continuous_time
0000000180499120 (__TEXT,__text) external _mach_continuous_time_kernel
00000001804aa96c (__TEXT,__text) external _mach_error
00000001e9d55c40 (__DATA,__common) external _mach_error_full_diag
000000018049f568 (__TEXT,__text) external _mach_error_string
000000018049f58c (__TEXT,__text) non-external _mach_error_string_int
00000001804aa8a4 (__TEXT,__text) external _mach_error_type
00000001804cb9ac (__TEXT,__text) external _mach_eventlink_associate
00000001804cb6f4 (__TEXT,__text) external _mach_eventlink_create
00000001804cb890 (__TEXT,__text) external _mach_eventlink_destroy
00000001804cbaec (__TEXT,__text) external _mach_eventlink_disassociate
00000001804ad884 (__TEXT,__text) external _mach_eventlink_signal
00000001804ad8e0 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001804ad8a0 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180498bfc (__TEXT,__text) external _mach_generate_activity_id
000000018049acbc (__TEXT,__text) external _mach_get_times
0000000180499a44 (__TEXT,__text) external _mach_host_self
00000001804a9694 (__TEXT,__text) external _mach_host_special_port_description
00000001e5bb9948 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001804a96f4 (__TEXT,__text) external _mach_host_special_port_for_id
00000001e9d55a68 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
000000018049eb60 (__TEXT,__text) external _mach_init
00000001ec762b50 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
000000018049eb98 (__TEXT,__text) non-external _mach_init_doit
00000001804c0048 (__TEXT,__text) external _mach_make_memory_entry
000000018049a2ac (__TEXT,__text) external _mach_make_memory_entry_64
00000001804cb2dc (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001804cb588 (__TEXT,__text) external _mach_memory_entry_get_page_counts
00000001804cb458 (__TEXT,__text) external _mach_memory_entry_ownership
00000001804cb184 (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001804bb9dc (__TEXT,__text) external _mach_memory_info
00000001804ba35c (__TEXT,__text) external _mach_memory_object_memory_entry
00000001804badc4 (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180498f9c (__TEXT,__text) external _mach_msg
00000001804aafdc (__TEXT,__text) external _mach_msg2_internal
0000000180498c2c (__TEXT,__text) external _mach_msg2_trap
0000000180499bb0 (__TEXT,__text) external _mach_msg_destroy
0000000180499cf4 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001804a17a8 (__TEXT,__text) external _mach_msg_overwrite
0000000180498b78 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001804ab0f4 (__TEXT,__text) external _mach_msg_priority_encode
00000001804ab0e4 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001804ab128 (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001804ab138 (__TEXT,__text) external _mach_msg_priority_qos
00000001804ab148 (__TEXT,__text) external _mach_msg_priority_relpri
00000001804a5214 (__TEXT,__text) external _mach_msg_receive
000000018049d694 (__TEXT,__text) external _mach_msg_send
00000001804a0c64 (__TEXT,__text) external _mach_msg_server
00000001804a1a6c (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001804ab0e0 (__TEXT,__text) external _mach_msg_server_importance
00000001804a3fc8 (__TEXT,__text) external _mach_msg_server_once
0000000180498b6c (__TEXT,__text) external _mach_msg_trap
00000001804c134c (__TEXT,__text) external _mach_notify_dead_name
00000001804c1288 (__TEXT,__text) external _mach_notify_no_senders
00000001804c11ac (__TEXT,__text) external _mach_notify_port_deleted
00000001804c1214 (__TEXT,__text) external _mach_notify_port_destroyed
00000001804c12f0 (__TEXT,__text) external _mach_notify_send_once
000000018049aed0 (__TEXT,__text) external _mach_port_allocate
00000001804b6204 (__TEXT,__text) external _mach_port_allocate_full
00000001804b61f0 (__TEXT,__text) external _mach_port_allocate_name
00000001804b6200 (__TEXT,__text) external _mach_port_allocate_qos
00000001804b6474 (__TEXT,__text) external _mach_port_assert_attributes
0000000180499e90 (__TEXT,__text) external _mach_port_construct
000000018049a060 (__TEXT,__text) external _mach_port_deallocate
000000018049e648 (__TEXT,__text) external _mach_port_destroy
000000018049a69c (__TEXT,__text) external _mach_port_destruct
00000001804b63a4 (__TEXT,__text) external _mach_port_dnrequest_info
000000018049c34c (__TEXT,__text) external _mach_port_extract_member
00000001804a2ff4 (__TEXT,__text) external _mach_port_extract_right
000000018049b658 (__TEXT,__text) external _mach_port_get_attributes
000000018049e2b8 (__TEXT,__text) external _mach_port_get_context
000000018049c198 (__TEXT,__text) external _mach_port_get_refs
00000001804b6470 (__TEXT,__text) external _mach_port_get_service_port_info
00000001804a4df4 (__TEXT,__text) external _mach_port_get_set_status
00000001804b620c (__TEXT,__text) external _mach_port_get_srights
000000018049bbb8 (__TEXT,__text) external _mach_port_guard
00000001804b6464 (__TEXT,__text) external _mach_port_guard_with_flags
000000018049af40 (__TEXT,__text) external _mach_port_insert_member
000000018049b16c (__TEXT,__text) external _mach_port_insert_right
00000001804b646c (__TEXT,__text) external _mach_port_is_connection_for_service
00000001804b63a8 (__TEXT,__text) external _mach_port_kernel_object
00000001804b63ec (__TEXT,__text) external _mach_port_kobject
00000001804b63f0 (__TEXT,__text) external _mach_port_kobject_description
0000000180499324 (__TEXT,__text) external _mach_port_mod_refs
000000018049df48 (__TEXT,__text) external _mach_port_move_member
00000001804b61e8 (__TEXT,__text) external _mach_port_names
00000001804b61f4 (__TEXT,__text) external _mach_port_peek
00000001804b61ec (__TEXT,__text) external _mach_port_rename
000000018049ab08 (__TEXT,__text) external _mach_port_request_notification
000000018049b6e4 (__TEXT,__text) external _mach_port_set_attributes
00000001804a4cd4 (__TEXT,__text) external _mach_port_set_context
00000001804b61f8 (__TEXT,__text) external _mach_port_set_mscount
00000001804b61fc (__TEXT,__text) external _mach_port_set_seqno
00000001804b6214 (__TEXT,__text) external _mach_port_space_basic_info
00000001804b6210 (__TEXT,__text) external _mach_port_space_info
00000001804b6468 (__TEXT,__text) external _mach_port_swap_guard
000000018049b924 (__TEXT,__text) external _mach_port_type
00000001804b63f4 (__TEXT,__text) external _mach_port_unguard
00000001804a4980 (__TEXT,__text) external _mach_ports_lookup
00000001804ad504 (__TEXT,__text) non-external _mach_ports_lookup_legacy
00000001804a07dc (__TEXT,__text) external _mach_ports_register
00000001804ad418 (__TEXT,__text) non-external _mach_ports_register_legacy
0000000180498b3c (__TEXT,__text) external _mach_reply_port
00000001804ab60c (__TEXT,__text) external _mach_right_recv_construct
00000001804ab6e4 (__TEXT,__text) external _mach_right_recv_destruct
00000001804ab77c (__TEXT,__text) external _mach_right_send_create
00000001804ab8c4 (__TEXT,__text) external _mach_right_send_once_consume
00000001804ab858 (__TEXT,__text) external _mach_right_send_once_create
000000018049d6fc (__TEXT,__text) external _mach_right_send_release
00000001804ab7e4 (__TEXT,__text) external _mach_right_send_retain
00000001804b6284 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001804b6330 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001804ad3c4 (__TEXT,__text) external _mach_task_is_self
00000001804ab608 (__TEXT,__text) external _mach_task_self
00000001ec762ba8 (__DATA_DIRTY,__common) external _mach_task_self_
00000001804a96b4 (__TEXT,__text) external _mach_task_special_port_description
00000001e5bb9a68 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001804a97b8 (__TEXT,__text) external _mach_task_special_port_for_id
00000001e9d55b60 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
000000018049ec8c (__TEXT,__text) external _mach_thread_self
00000001804a96d4 (__TEXT,__text) external _mach_thread_special_port_description
00000001e5bb9ac8 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001804a97c8 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001e9d55bc0 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180498fc0 (__TEXT,__text) external _mach_timebase_info
00000001ec762b44 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
0000000180498cf8 (__TEXT,__text) external _mach_timebase_info_trap
000000018049aff0 (__TEXT,__text) external _mach_vm_allocate
00000001804bfadc (__TEXT,__text) external _mach_vm_behavior_set
00000001804a0b48 (__TEXT,__text) external _mach_vm_copy
000000018049a798 (__TEXT,__text) external _mach_vm_deallocate
00000001804c081c (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_allocate
00000001804c0988 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_flush
00000001804c1048 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_query
00000001804c0c90 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_resize
00000001804bf45c (__TEXT,__text) external _mach_vm_inherit
00000001804bfbfc (__TEXT,__text) external _mach_vm_machine_attribute
0000000180498950 (__TEXT,__text) external _mach_vm_map
00000001804bf9bc (__TEXT,__text) external _mach_vm_msync
00000001804c0334 (__TEXT,__text) external _mach_vm_page_info
00000001804bfee4 (__TEXT,__text) external _mach_vm_page_query
00000001804c0520 (__TEXT,__text) external _mach_vm_page_range_query
000000018049ca30 (__TEXT,__text) external _mach_vm_protect
000000018049c5d4 (__TEXT,__text) external _mach_vm_purgable_control
00000001804c0ae0 (__TEXT,__text) external _mach_vm_range_create
00000001804b65a8 (__TEXT,__text) external _mach_vm_read
00000001804bf704 (__TEXT,__text) external _mach_vm_read_list
00000001804a3e78 (__TEXT,__text) external _mach_vm_read_overwrite
00000001804ac200 (__TEXT,__text) external _mach_vm_reclaim_copied_ring_free
00000001804ac23c (__TEXT,__text) external _mach_vm_reclaim_copied_ring_query
00000001804ac058 (__TEXT,__text) external _mach_vm_reclaim_get_rings_for_task
00000001804abfa8 (__TEXT,__text) external _mach_vm_reclaim_is_reusable
00000001804abea8 (__TEXT,__text) external _mach_vm_reclaim_query_state
00000001804ab974 (__TEXT,__text) external _mach_vm_reclaim_ring_allocate
00000001804abfb8 (__TEXT,__text) external _mach_vm_reclaim_ring_capacity
00000001804ac124 (__TEXT,__text) external _mach_vm_reclaim_ring_copy
00000001804abfe4 (__TEXT,__text) external _mach_vm_reclaim_ring_flush
