00000001e6faaca0 (__DATA,__data) external _NDR_record
00000001e4d1d108 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e4d1cd40 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001804399b8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e4d1cfd0 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
00000001804399f8 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e4d1cef0 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
00000001804399c8 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e4d1c048 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e4d1cbd0 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e4d1cc40 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e4d1cbe0 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e4d1c798 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e4d1cb80 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e4d1caf8 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e4d1ca40 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e4d1c768 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e4d1ca00 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e4d1c4c0 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e4d1c440 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e4d1c510 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e4d1c9b8 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e4d1c958 (__DATA_CONST,__const) non-external _err_codes_send
00000001e4d1c6d8 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e4d1c4e0 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e4d1c4d8 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e4d1c210 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e4d1c618 (__DATA_CONST,__const) non-external _err_codes_us
00000001e4d1c800 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e4d1c8f0 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e4d1be68 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001804399a8 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e4d1bd00 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e4d1bdf0 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e4d1bd78 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e4d1b9e0 (__DATA_CONST,__const) non-external _err_os_sub
00000001e4d1ba80 (__DATA_CONST,__const) non-external _err_server_sub
0000000180439980 (__TEXT,__const) non-external _err_us_sub
00000001e828b2d0 (__DATA_DIRTY,__common) external _errno
00000001804360a0 (__TEXT,__text) external _etap_trace_thread
0000000180424be4 (__TEXT,__text) external _exc_server
0000000180424bb0 (__TEXT,__text) external _exc_server_routine
00000001804241fc (__TEXT,__text) external _exception_raise
0000000180424378 (__TEXT,__text) external _exception_raise_state
00000001804245ec (__TEXT,__text) external _exception_raise_state_identity
00000001804128a4 (__TEXT,__text) external _exchangedata
0000000180418948 (__TEXT,__text) external _exclaves_audio_buffer_copyout
000000018041891c (__TEXT,__text) external _exclaves_audio_buffer_create
00000001804188ec (__TEXT,__text) external _exclaves_boot
0000000180418558 (__TEXT,__text) external _exclaves_endpoint_call
000000018041865c (__TEXT,__text) external _exclaves_inbound_buffer_copyin
0000000180418630 (__TEXT,__text) external _exclaves_inbound_buffer_create
0000000180418814 (__TEXT,__text) external _exclaves_launch_conclave
0000000180418858 (__TEXT,__text) external _exclaves_lookup_service
00000001804187ac (__TEXT,__text) external _exclaves_named_buffer_copyin
00000001804187e0 (__TEXT,__text) external _exclaves_named_buffer_copyout
0000000180418690 (__TEXT,__text) external _exclaves_named_buffer_create
0000000180418a3c (__TEXT,__text) external _exclaves_notification_create
00000001804185fc (__TEXT,__text) external _exclaves_outbound_buffer_copyout
00000001804185d0 (__TEXT,__text) external _exclaves_outbound_buffer_create
000000018041897c (__TEXT,__text) external _exclaves_sensor_create
00000001804189ac (__TEXT,__text) external _exclaves_sensor_start
0000000180418a0c (__TEXT,__text) external _exclaves_sensor_status
00000001804189dc (__TEXT,__text) external _exclaves_sensor_stop
000000018040ebec (__TEXT,__text) external _execve
00000001e6faad40 (__DATA,__bss) non-external _execve_with_filter
0000000180414530 (__TEXT,__text) external _faccessat
000000018041455c (__TEXT,__text) external _fchdir
000000018040b854 (__TEXT,__text) external _fchflags
000000018040a8e0 (__TEXT,__text) external _fchmod
0000000180414588 (__TEXT,__text) external _fchmodat
000000018040bc98 (__TEXT,__text) external _fchown
00000001804145b4 (__TEXT,__text) external _fchownat
00000001804145e0 (__TEXT,__text) external _fclonefileat
0000000180406cd0 (__TEXT,__text) external _fcntl
000000018040a4ac (__TEXT,__text) external _fcntl$NOCANCEL
000000018041460c (__TEXT,__text) external _fdatasync
000000018040de28 (__TEXT,__text) external _ffsctl
0000000180409b6c (__TEXT,__text) external _fgetattrlist
000000018040a828 (__TEXT,__text) external _fgetxattr
0000000180414638 (__TEXT,__text) external _fhopen
000000018040c51c (__TEXT,__text) external _fileport_makefd
000000018040c79c (__TEXT,__text) external _fileport_makeport
00000001804127b8 (__TEXT,__text) external _flistxattr
000000018040a1b0 (__TEXT,__text) external _flock
0000000180414664 (__TEXT,__text) external _fmount
0000000180414690 (__TEXT,__text) external _fpathconf
0000000180418300 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001804146bc (__TEXT,__text) external _freadlink
00000001804146e8 (__TEXT,__text) external _fremovexattr
00000001804204b4 (__TEXT,__text) external _fs_snapshot_create
00000001804204d0 (__TEXT,__text) external _fs_snapshot_delete
000000018040eadc (__TEXT,__text) external _fs_snapshot_list
0000000180420540 (__TEXT,__text) external _fs_snapshot_mount
00000001804204ec (__TEXT,__text) external _fs_snapshot_rename
0000000180420508 (__TEXT,__text) external _fs_snapshot_revert
0000000180420524 (__TEXT,__text) external _fs_snapshot_root
0000000180409b40 (__TEXT,__text) external _fsctl
000000018040bc6c (__TEXT,__text) external _fsetattrlist
000000018040b690 (__TEXT,__text) external _fsetxattr
0000000180409c2c (__TEXT,__text) external _fsgetpath
0000000180414714 (__TEXT,__text) external _fsgetpath_ext
000000018041476c (__TEXT,__text) external _fstat
000000018041476c (__TEXT,__text) external _fstat64
00000001804147c4 (__TEXT,__text) external _fstatat
00000001804147c4 (__TEXT,__text) external _fstatat64
0000000180411e70 (__TEXT,__text) external _fstatfs
0000000180411e70 (__TEXT,__text) external _fstatfs64
0000000180409cdc (__TEXT,__text) external _fsync
00000001804133e8 (__TEXT,__text) external _fsync$NOCANCEL
0000000180409934 (__TEXT,__text) external _ftruncate
000000018041ab10 (__TEXT,__text) external _futimens
000000018040b880 (__TEXT,__text) external _futimes
00000001e6faaca8 (__DATA,__crash_info) non-external _gCRAnnotations
0000000180406bf0 (__TEXT,__text) external _getattrlist
000000018041481c (__TEXT,__text) external _getattrlistat
000000018040998c (__TEXT,__text) external _getattrlistbulk
000000018042384c (__TEXT,__text) external _getaudit
00000001804085a8 (__TEXT,__text) external _getaudit_addr
0000000180414848 (__TEXT,__text) external _getauid
0000000180414874 (__TEXT,__text) external _getdirentries
00000001804148a0 (__TEXT,__text) external _getdirentriesattr
000000018040ef7c (__TEXT,__text) external _getdtablesize
0000000180407d5c (__TEXT,__text) external _getegid
00000001804066f0 (__TEXT,__text) external _getentropy
00000001804074e4 (__TEXT,__text) external _geteuid
00000001804148cc (__TEXT,__text) external _getfh
0000000180414924 (__TEXT,__text) external _getfsstat
0000000180414924 (__TEXT,__text) external _getfsstat64
000000018040a428 (__TEXT,__text) external _getgid
000000018040bcc4 (__TEXT,__text) external _getgroups
000000018040ba58 (__TEXT,__text) external _gethostuuid
000000018040aa08 (__TEXT,__text) external _getiopolicy_np
0000000180414950 (__TEXT,__text) external _getitimer
000000018040a8b4 (__TEXT,__text) external _getpeername
0000000180410794 (__TEXT,__text) external _getpgid
000000018040ebc0 (__TEXT,__text) external _getpgrp
000000018040672c (__TEXT,__text) external _getpid
000000018040c820 (__TEXT,__text) external _getppid
000000018040ea00 (__TEXT,__text) external _getpriority
0000000180408574 (__TEXT,__text) external _getrlimit
000000018040dbe8 (__TEXT,__text) external _getrusage
0000000180413414 (__TEXT,__text) external _getsgroups_np
000000018041497c (__TEXT,__text) external _getsid
000000018040de54 (__TEXT,__text) external _getsockname
000000018040a7d0 (__TEXT,__text) external _getsockopt
0000000180407d04 (__TEXT,__text) external _getuid
0000000180413440 (__TEXT,__text) external _getwgroups_np
00000001804093a4 (__TEXT,__text) external _getxattr
00000001804149a8 (__TEXT,__text) external _grab_pgo_data
00000001804149d4 (__TEXT,__text) external _graftdmg
0000000180409cb0 (__TEXT,__text) external _guarded_close_np
0000000180410eec (__TEXT,__text) external _guarded_kqueue_np
0000000180418378 (__TEXT,__text) external _guarded_open_dprotected_np
0000000180409a3c (__TEXT,__text) external _guarded_open_np
0000000180409a98 (__TEXT,__text) external _guarded_pwrite_np
000000018040dfb8 (__TEXT,__text) external _guarded_write_np
0000000180414a00 (__TEXT,__text) external _guarded_writev_np
000000018043ee84 (__TEXT,__cstring) non-external _hex
00000001804183c8 (__TEXT,__text) external _host_check_multiuser_mode
00000001804072a8 (__TEXT,__text) external _host_create_mach_voucher
0000000180406270 (__TEXT,__text) external _host_create_mach_voucher_trap
00000001804251c8 (__TEXT,__text) external _host_default_memory_manager
0000000180426c18 (__TEXT,__text) external _host_get_UNDServer
00000001804183a8 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180424c6c (__TEXT,__text) external _host_get_boot_info
00000001804258bc (__TEXT,__text) external _host_get_clock_control
000000018040c0c4 (__TEXT,__text) external _host_get_clock_service
00000001804260b0 (__TEXT,__text) external _host_get_exception_ports
00000001804278d8 (__TEXT,__text) external _host_get_io_main
0000000180409d08 (__TEXT,__text) external _host_get_io_master
00000001804183c0 (__TEXT,__text) external _host_get_multiuser_config_flags
0000000180406ef4 (__TEXT,__text) external _host_get_special_port
000000018040b128 (__TEXT,__text) external _host_info
0000000180427254 (__TEXT,__text) external _host_kernel_version
00000001804281c0 (__TEXT,__text) external _host_lockgroup_info
0000000180418528 (__TEXT,__text) external _host_page_size
0000000180424fa4 (__TEXT,__text) external _host_priv_statistics
0000000180427738 (__TEXT,__text) external _host_processor_info
000000018042697c (__TEXT,__text) external _host_processor_set_priv
00000001804267f8 (__TEXT,__text) external _host_processor_sets
0000000180425738 (__TEXT,__text) external _host_processors
0000000180424e84 (__TEXT,__text) external _host_reboot
0000000180428844 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001804289d8 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
000000018040826c (__TEXT,__text) external _host_request_notification
0000000180426f68 (__TEXT,__text) external _host_security_create_task_token
000000018042710c (__TEXT,__text) external _host_security_set_task_token
0000000180418e40 (__TEXT,__text) external _host_self
0000000180406120 (__TEXT,__text) external _host_self_trap
0000000180426af4 (__TEXT,__text) external _host_set_UNDServer
0000000180428b60 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180425f78 (__TEXT,__text) external _host_set_exception_ports
0000000180428e98 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180425e44 (__TEXT,__text) external _host_set_special_port
0000000180410894 (__TEXT,__text) external _host_statistics
0000000180410118 (__TEXT,__text) external _host_statistics64
0000000180426384 (__TEXT,__text) external _host_swap_exception_ports
0000000180427bbc (__TEXT,__text) external _host_virtual_physical_table_info
00000001e6faac80 (__DATA,__data) external _important_boost_assertion_token
00000001ece549c0 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
0000000180418250 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001e6faac70 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
0000000180418180 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001e6faac68 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
000000018041809c (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001e6faac60 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
000000018040a6c4 (__TEXT,__text) external _ioctl
0000000180405ee4 (__TEXT,__text) external _issetugid
00000001e6faad28 (__DATA,__bss) non-external _kAccountingThreshold
0000000180414a2c (__TEXT,__text) external _kas_info
0000000180405d80 (__TEXT,__text) external _kdebug_is_enabled
00000001804206d4 (__TEXT,__text) external _kdebug_signpost
0000000180410884 (__TEXT,__text) external _kdebug_signpost_end
00000001804107d0 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001804107c0 (__TEXT,__text) external _kdebug_signpost_start
0000000180420684 (__TEXT,__text) external _kdebug_timestamp
000000018042069c (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001804206b8 (__TEXT,__text) external _kdebug_timestamp_from_continuous
0000000180405e64 (__TEXT,__text) external _kdebug_trace
0000000180408d2c (__TEXT,__text) external _kdebug_trace_string
0000000180405de0 (__TEXT,__text) external _kdebug_typefilter
00000001e828b950 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
0000000180420670 (__TEXT,__text) external _kdebug_using_continuous_time
000000018040c338 (__TEXT,__text) external _kevent
0000000180412144 (__TEXT,__text) external _kevent64
0000000180407f20 (__TEXT,__text) external _kevent_id
0000000180407ef4 (__TEXT,__text) external _kevent_qos
0000000180426d78 (__TEXT,__text) external _kext_request
000000018040e46c (__TEXT,__text) external _kill
0000000180425c9c (__TEXT,__text) external _kmod_control
0000000180425a2c (__TEXT,__text) external _kmod_create
0000000180425b7c (__TEXT,__text) external _kmod_destroy
0000000180427a38 (__TEXT,__text) external _kmod_get_info
0000000180423938 (__TEXT,__text) external _kpersona_alloc
00000001804239b8 (__TEXT,__text) external _kpersona_dealloc
0000000180423a84 (__TEXT,__text) external _kpersona_find
0000000180423b64 (__TEXT,__text) external _kpersona_find_by_type
000000018040a3e8 (__TEXT,__text) external _kpersona_get
00000001804239fc (__TEXT,__text) external _kpersona_getpath
000000018040a0e8 (__TEXT,__text) external _kpersona_info
0000000180423978 (__TEXT,__text) external _kpersona_palloc
0000000180423a40 (__TEXT,__text) external _kpersona_pidinfo
000000018040c30c (__TEXT,__text) external _kqueue
000000018040bcf0 (__TEXT,__text) external _lchown
0000000180414a58 (__TEXT,__text) external _ledger
000000018040aacc (__TEXT,__text) external _link
0000000180414a84 (__TEXT,__text) external _linkat
0000000180414ab0 (__TEXT,__text) external _lio_listio
000000018040eb10 (__TEXT,__text) external _listen
00000001804099b8 (__TEXT,__text) external _listxattr
0000000180430de4 (__TEXT,__text) external _lock_set_create
0000000180430f50 (__TEXT,__text) external _lock_set_destroy
000000018041b0b4 (__TEXT,__text) external _log_data_as_kernel
0000000180407ad0 (__TEXT,__text) external _lseek
0000000180411d50 (__TEXT,__text) external _lstat
0000000180411d50 (__TEXT,__text) external _lstat64
0000000180406654 (__TEXT,__text) external _mach_absolute_time
00000001804066d8 (__TEXT,__text) external _mach_absolute_time_kernel
0000000180407930 (__TEXT,__text) external _mach_approximate_time
000000018041a7ec (__TEXT,__text) external _mach_boottime_usec
000000018040d884 (__TEXT,__text) external _mach_continuous_approximate_time
00000001804065dc (__TEXT,__text) external _mach_continuous_time
00000001804066e4 (__TEXT,__text) external _mach_continuous_time_kernel
00000001804184a0 (__TEXT,__text) external _mach_error
00000001e6faacf8 (__DATA,__common) external _mach_error_full_diag
000000018040c984 (__TEXT,__text) external _mach_error_string
000000018040c9a8 (__TEXT,__text) non-external _mach_error_string_int
00000001804183d0 (__TEXT,__text) external _mach_error_type
0000000180438480 (__TEXT,__text) external _mach_eventlink_associate
00000001804381c0 (__TEXT,__text) external _mach_eventlink_create
0000000180438360 (__TEXT,__text) external _mach_eventlink_destroy
00000001804385c8 (__TEXT,__text) external _mach_eventlink_disassociate
000000018041aa74 (__TEXT,__text) external _mach_eventlink_signal
000000018041aad0 (__TEXT,__text) external _mach_eventlink_signal_wait_until
000000018041aa90 (__TEXT,__text) external _mach_eventlink_wait_until
00000001804061bc (__TEXT,__text) external _mach_generate_activity_id
0000000180408184 (__TEXT,__text) external _mach_get_times
0000000180406ef0 (__TEXT,__text) external _mach_host_self
0000000180416984 (__TEXT,__text) external _mach_host_special_port_description
00000001e4d1b848 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001804169e4 (__TEXT,__text) external _mach_host_special_port_for_id
00000001e6faaae8 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
000000018040bf68 (__TEXT,__text) external _mach_init
00000001e828b938 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
000000018040bfa0 (__TEXT,__text) non-external _mach_init_doit
000000018042d3cc (__TEXT,__text) external _mach_make_memory_entry
0000000180407764 (__TEXT,__text) external _mach_make_memory_entry_64
0000000180437f08 (__TEXT,__text) external _mach_memory_entry_access_tracking
0000000180438088 (__TEXT,__text) external _mach_memory_entry_ownership
0000000180437dac (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180428c80 (__TEXT,__text) external _mach_memory_info
00000001804275a8 (__TEXT,__text) external _mach_memory_object_memory_entry
0000000180428030 (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180406560 (__TEXT,__text) external _mach_msg
0000000180418ad4 (__TEXT,__text) external _mach_msg2_internal
00000001804061ec (__TEXT,__text) external _mach_msg2_trap
0000000180407060 (__TEXT,__text) external _mach_msg_destroy
000000018040719c (__TEXT,__text) non-external _mach_msg_destroy_port
000000018040ec58 (__TEXT,__text) external _mach_msg_overwrite
0000000180406138 (__TEXT,__text) external _mach_msg_overwrite_trap
0000000180418c20 (__TEXT,__text) external _mach_msg_priority_encode
0000000180418c10 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
0000000180418c54 (__TEXT,__text) external _mach_msg_priority_overide_qos
0000000180418c64 (__TEXT,__text) external _mach_msg_priority_qos
0000000180418c74 (__TEXT,__text) external _mach_msg_priority_relpri
00000001804127e4 (__TEXT,__text) external _mach_msg_receive
000000018040aa90 (__TEXT,__text) external _mach_msg_send
000000018040e104 (__TEXT,__text) external _mach_msg_server
000000018040ef14 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
0000000180418c0c (__TEXT,__text) external _mach_msg_server_importance
00000001804114d0 (__TEXT,__text) external _mach_msg_server_once
000000018040612c (__TEXT,__text) external _mach_msg_trap
000000018042e26c (__TEXT,__text) external _mach_notify_dead_name
000000018042e1a8 (__TEXT,__text) external _mach_notify_no_senders
000000018042e0cc (__TEXT,__text) external _mach_notify_port_deleted
000000018042e134 (__TEXT,__text) external _mach_notify_port_destroyed
000000018042e210 (__TEXT,__text) external _mach_notify_send_once
00000001804083a0 (__TEXT,__text) external _mach_port_allocate
00000001804233ac (__TEXT,__text) external _mach_port_allocate_full
0000000180423398 (__TEXT,__text) external _mach_port_allocate_name
00000001804233a8 (__TEXT,__text) external _mach_port_allocate_qos
000000018042361c (__TEXT,__text) external _mach_port_assert_attributes
0000000180407338 (__TEXT,__text) external _mach_port_construct
0000000180407510 (__TEXT,__text) external _mach_port_deallocate
000000018040ba54 (__TEXT,__text) external _mach_port_destroy
0000000180407b64 (__TEXT,__text) external _mach_port_destruct
000000018042354c (__TEXT,__text) external _mach_port_dnrequest_info
0000000180409840 (__TEXT,__text) external _mach_port_extract_member
00000001804104dc (__TEXT,__text) external _mach_port_extract_right
0000000180408b30 (__TEXT,__text) external _mach_port_get_attributes
000000018040b6bc (__TEXT,__text) external _mach_port_get_context
0000000180409688 (__TEXT,__text) external _mach_port_get_refs
0000000180423618 (__TEXT,__text) external _mach_port_get_service_port_info
00000001804123b8 (__TEXT,__text) external _mach_port_get_set_status
00000001804233b4 (__TEXT,__text) external _mach_port_get_srights
0000000180409098 (__TEXT,__text) external _mach_port_guard
000000018042360c (__TEXT,__text) external _mach_port_guard_with_flags
0000000180408410 (__TEXT,__text) external _mach_port_insert_member
000000018040863c (__TEXT,__text) external _mach_port_insert_right
0000000180423614 (__TEXT,__text) external _mach_port_is_connection_for_service
0000000180423550 (__TEXT,__text) external _mach_port_kernel_object
0000000180423594 (__TEXT,__text) external _mach_port_kobject
0000000180423598 (__TEXT,__text) external _mach_port_kobject_description
00000001804068ec (__TEXT,__text) external _mach_port_mod_refs
000000018040b34c (__TEXT,__text) external _mach_port_move_member
0000000180423390 (__TEXT,__text) external _mach_port_names
000000018042339c (__TEXT,__text) external _mach_port_peek
0000000180423394 (__TEXT,__text) external _mach_port_rename
0000000180407fd0 (__TEXT,__text) external _mach_port_request_notification
0000000180408bbc (__TEXT,__text) external _mach_port_set_attributes
0000000180412294 (__TEXT,__text) external _mach_port_set_context
00000001804233a0 (__TEXT,__text) external _mach_port_set_mscount
00000001804233a4 (__TEXT,__text) external _mach_port_set_seqno
00000001804233bc (__TEXT,__text) external _mach_port_space_basic_info
00000001804233b8 (__TEXT,__text) external _mach_port_space_info
0000000180423610 (__TEXT,__text) external _mach_port_swap_guard
0000000180408e00 (__TEXT,__text) external _mach_port_type
000000018042359c (__TEXT,__text) external _mach_port_unguard
0000000180411e9c (__TEXT,__text) external _mach_ports_lookup
000000018040dc14 (__TEXT,__text) external _mach_ports_register
00000001804060fc (__TEXT,__text) external _mach_reply_port
0000000180419148 (__TEXT,__text) external _mach_right_recv_construct
000000018041920c (__TEXT,__text) external _mach_right_recv_destruct
00000001804192a4 (__TEXT,__text) external _mach_right_send_create
00000001804193ec (__TEXT,__text) external _mach_right_send_once_consume
0000000180419380 (__TEXT,__text) external _mach_right_send_once_create
000000018040aaf8 (__TEXT,__text) external _mach_right_send_release
000000018041930c (__TEXT,__text) external _mach_right_send_retain
000000018042342c (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001804234d8 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
000000018041a7fc (__TEXT,__text) external _mach_task_is_self
0000000180419144 (__TEXT,__text) external _mach_task_self
00000001e828b920 (__DATA_DIRTY,__common) external _mach_task_self_
00000001804169a4 (__TEXT,__text) external _mach_task_special_port_description
00000001e4d1b960 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
0000000180416aa8 (__TEXT,__text) external _mach_task_special_port_for_id
00000001e6faabe0 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
000000018040c094 (__TEXT,__text) external _mach_thread_self
00000001804169c4 (__TEXT,__text) external _mach_thread_special_port_description
00000001e4d1b9c0 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
0000000180416ab8 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001e6faac40 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180406584 (__TEXT,__text) external _mach_timebase_info
00000001e828b944 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001804062ac (__TEXT,__text) external _mach_timebase_info_trap
00000001804084c0 (__TEXT,__text) external _mach_vm_allocate
000000018042ce4c (__TEXT,__text) external _mach_vm_behavior_set
000000018040dfe4 (__TEXT,__text) external _mach_vm_copy
0000000180407c60 (__TEXT,__text) external _mach_vm_deallocate
000000018042dbb8 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
000000018042dcd8 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
000000018042ddf8 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
000000018042c7b4 (__TEXT,__text) external _mach_vm_inherit
000000018042cf70 (__TEXT,__text) external _mach_vm_machine_attribute
0000000180405f10 (__TEXT,__text) external _mach_vm_map
000000018042cd28 (__TEXT,__text) external _mach_vm_msync
000000018042d6c4 (__TEXT,__text) external _mach_vm_page_info
000000018042d264 (__TEXT,__text) external _mach_vm_page_query
000000018042d8b0 (__TEXT,__text) external _mach_vm_page_range_query
0000000180409f24 (__TEXT,__text) external _mach_vm_protect
0000000180409ac8 (__TEXT,__text) external _mach_vm_purgable_control
000000018042df18 (__TEXT,__text) external _mach_vm_range_create
0000000180423750 (__TEXT,__text) external _mach_vm_read
000000018042ca64 (__TEXT,__text) external _mach_vm_read_list
000000018041137c (__TEXT,__text) external _mach_vm_read_overwrite
0000000180419800 (__TEXT,__text) external _mach_vm_reclaim_is_available
0000000180419824 (__TEXT,__text) external _mach_vm_reclaim_is_reclaimed
0000000180419564 (__TEXT,__text) external _mach_vm_reclaim_mark_free
00000001804196dc (__TEXT,__text) external _mach_vm_reclaim_mark_used
000000018041949c (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
0000000180419848 (__TEXT,__text) external _mach_vm_reclaim_synchronize
00000001804197ec (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
000000018040ac08 (__TEXT,__text) external _mach_vm_region
0000000180411108 (__TEXT,__text) external _mach_vm_region_recurse
0000000180423620 (__TEXT,__text) external _mach_vm_remap
00000001804236b8 (__TEXT,__text) external _mach_vm_remap_new
00000001804266c0 (__TEXT,__text) external _mach_vm_wire
000000018042cbec (__TEXT,__text) external _mach_vm_write
000000018040ae6c (__TEXT,__text) external _mach_voucher_attr_command
0000000180407b28 (__TEXT,__text) external _mach_voucher_deallocate
0000000180438b9c (__TEXT,__text) external _mach_voucher_debug_info
0000000180438944 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
0000000180410c9c (__TEXT,__text) external _mach_voucher_extract_attr_content
0000000180408ab8 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
000000018040627c (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001804062b8 (__TEXT,__text) external _mach_wait_until
0000000180428524 (__TEXT,__text) external _mach_zone_force_gc
0000000180429470 (__TEXT,__text) external _mach_zone_get_btlog_records
00000001804292dc (__TEXT,__text) external _mach_zone_get_zlog_zones
0000000180428354 (__TEXT,__text) external _mach_zone_info
000000018042912c (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180428fb8 (__TEXT,__text) external _mach_zone_info_for_zone
0000000180406234 (__TEXT,__text) external _macx_backing_store_recovery
0000000180406228 (__TEXT,__text) external _macx_backing_store_suspend
0000000180406204 (__TEXT,__text) external _macx_swapoff
00000001804061f8 (__TEXT,__text) external _macx_swapon
000000018040621c (__TEXT,__text) external _macx_triggers
0000000180408e70 (__TEXT,__text) external _madvise
000000018040cc6c (__TEXT,__text) non-external (was a private external) _malloc
00000001e6faad20 (__DATA,__bss) non-external _master_host_port
00000001804064bc (__TEXT,__text) non-external _memcpy
000000018041593c (__TEXT,__text) non-external _memmove
000000018040f190 (__TEXT,__text) external _memorystatus_control
0000000180414b08 (__TEXT,__text) external _memorystatus_get_level
0000000180418c8c (__TEXT,__text) external _mig_allocate
000000018040942c (__TEXT,__text) external _mig_dealloc_reply_port
00000001804233c0 (__TEXT,__text) external _mig_dealloc_special_reply_port
000000018040bda0 (__TEXT,__text) external _mig_deallocate
00000001804064cc (__TEXT,__text) external _mig_get_reply_port
000000018040794c (__TEXT,__text) external _mig_get_special_reply_port
000000018040b5c0 (__TEXT,__text) external _mig_put_reply_port
000000018040abd4 (__TEXT,__text) external _mig_reply_setup
000000018040b5c4 (__TEXT,__text) external _mig_strncpy
0000000180407988 (__TEXT,__text) external _mig_strncpy_zerofill
0000000180414b34 (__TEXT,__text) external _mincore
0000000180414b60 (__TEXT,__text) external _minherit
00000001804062dc (__TEXT,__text) external _mk_timer_arm
00000001804062f4 (__TEXT,__text) external _mk_timer_arm_leeway
00000001804062e8 (__TEXT,__text) external _mk_timer_cancel
00000001804062c4 (__TEXT,__text) external _mk_timer_create
00000001804062d0 (__TEXT,__text) external _mk_timer_destroy
