0000000182bd3000 (__DATA,__data) external _NDR_record
0000000180ab2d20 (__TEXT,__text) external _connect$NOCANCEL
0000000180ab5530 (__TEXT,__text) external _connectx
0000000180ab555c (__TEXT,__text) external _csops
0000000180ab5588 (__TEXT,__text) external _csops_audittoken
0000000180ac4d80 (__TEXT,__text) external _csr_check
0000000180ac4db0 (__TEXT,__text) external _csr_get_active_config
0000000180ab25f4 (__TEXT,__text) external _debug_control_port_for_pid
0000000180ac4fa4 (__TEXT,__text) external _debug_syscall_reject
0000000180ac4e98 (__TEXT,__text) external _debug_syscall_reject_config
0000000182bd2ff8 (__DATA,__data) external _denap_boost_assertion_token
0000000180ab55b4 (__TEXT,__text) external _disconnectx
0000000180ab9c24 (__TEXT,__text) non-external _do_compat
0000000180ab55e0 (__TEXT,__text) external _dup
0000000180ab560c (__TEXT,__text) external _dup2
0000000180ba8118 (__DATA_CONST,__const) non-external _err_codes_auth
0000000180ba7fa8 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000180ba8310 (__DATA_CONST,__const) non-external _err_codes_exception
0000000180ba7fe8 (__DATA_CONST,__const) non-external _err_codes_execd
0000000180ba80e8 (__DATA_CONST,__const) non-external _err_codes_io
0000000180ba7b90 (__DATA_CONST,__const) non-external _err_codes_kern
0000000180ba82e0 (__DATA_CONST,__const) non-external _err_codes_loader
0000000180ba86c8 (__DATA_CONST,__const) non-external _err_codes_mach_mig
0000000180ba8640 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
0000000180ba8588 (__DATA_CONST,__const) non-external _err_codes_mach_send
0000000180ba82b0 (__DATA_CONST,__const) non-external _err_codes_machobj
0000000180ba8548 (__DATA_CONST,__const) non-external _err_codes_mig
0000000180ba8008 (__DATA_CONST,__const) non-external _err_codes_netmemory
0000000180ba7f88 (__DATA_CONST,__const) non-external _err_codes_netname
0000000180ba8058 (__DATA_CONST,__const) non-external _err_codes_ns
0000000180ba8500 (__DATA_CONST,__const) non-external _err_codes_rcv
0000000180ba84a0 (__DATA_CONST,__const) non-external _err_codes_send
0000000180ba8220 (__DATA_CONST,__const) non-external _err_codes_sunrpc
0000000180ba8028 (__DATA_CONST,__const) non-external _err_codes_task_master
0000000180ba8020 (__DATA_CONST,__const) non-external _err_codes_ufs
0000000180ba7d58 (__DATA_CONST,__const) non-external _err_codes_unix
0000000180ba8160 (__DATA_CONST,__const) non-external _err_codes_us
0000000180ba8348 (__DATA_CONST,__const) non-external _err_codes_ux_signal
0000000180ba8438 (__DATA_CONST,__const) non-external _err_codes_xkernel
0000000180ba7aa0 (__DATA_CONST,__const) non-external _err_ipc_sub
0000000180ba7b18 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
0000000180ba7780 (__DATA_CONST,__const) non-external _err_os_sub
0000000180ba7820 (__DATA_CONST,__const) non-external _err_server_sub
0000000180ae4860 (__TEXT,__const) non-external _err_us_sub
0000000182bd30e0 (__DATA,__common) external _errno
0000000180adfc78 (__TEXT,__text) external _etap_trace_thread
0000000180acab7c (__TEXT,__text) external _exc_server
0000000180acab48 (__TEXT,__text) external _exc_server_routine
0000000180aca19c (__TEXT,__text) external _exception_raise
0000000180aca318 (__TEXT,__text) external _exception_raise_state
0000000180aca588 (__TEXT,__text) external _exception_raise_state_identity
0000000180ab5638 (__TEXT,__text) external _exchangedata
0000000180aba25c (__TEXT,__text) external _exclaves_audio_buffer_copyout
0000000180aba294 (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
0000000180aba22c (__TEXT,__text) external _exclaves_audio_buffer_create
0000000180aba1f8 (__TEXT,__text) external _exclaves_boot
0000000180ab9fb0 (__TEXT,__text) external _exclaves_endpoint_call
0000000180aba0c4 (__TEXT,__text) external _exclaves_inbound_buffer_copyin
0000000180aba094 (__TEXT,__text) external _exclaves_inbound_buffer_create
0000000180aba114 (__TEXT,__text) external _exclaves_launch_conclave
0000000180aba15c (__TEXT,__text) external _exclaves_lookup_service
0000000180aba104 (__TEXT,__text) external _exclaves_named_buffer_copyin
0000000180aba10c (__TEXT,__text) external _exclaves_named_buffer_copyout
0000000180aba0fc (__TEXT,__text) external _exclaves_named_buffer_create
0000000180aba39c (__TEXT,__text) external _exclaves_notification_create
0000000180aba05c (__TEXT,__text) external _exclaves_outbound_buffer_copyout
0000000180aba02c (__TEXT,__text) external _exclaves_outbound_buffer_create
0000000180aba2cc (__TEXT,__text) external _exclaves_sensor_create
0000000180aba300 (__TEXT,__text) external _exclaves_sensor_start
0000000180aba368 (__TEXT,__text) external _exclaves_sensor_status
0000000180aba334 (__TEXT,__text) external _exclaves_sensor_stop
0000000180ac07d8 (__TEXT,__text) external _execve
0000000180ab5664 (__TEXT,__text) external _faccessat
0000000180ab5690 (__TEXT,__text) external _fchdir
0000000180ab56bc (__TEXT,__text) external _fchflags
0000000180abe6c4 (__TEXT,__text) external _fchmod
0000000180ab56e8 (__TEXT,__text) external _fchmodat
0000000180ab5714 (__TEXT,__text) external _fchown
0000000180ab5740 (__TEXT,__text) external _fchownat
0000000180ab576c (__TEXT,__text) external _fclonefileat
0000000180ac0e84 (__TEXT,__text) external _fcntl
0000000180ac0b00 (__TEXT,__text) external _fcntl$NOCANCEL
0000000180ab5798 (__TEXT,__text) external _fdatasync
0000000180ab57c4 (__TEXT,__text) external _ffsctl
0000000180ab57f0 (__TEXT,__text) external _fgetattrlist
0000000180ab581c (__TEXT,__text) external _fgetxattr
0000000180ab5848 (__TEXT,__text) external _fhopen
0000000180ab5874 (__TEXT,__text) external _fileport_makefd
0000000180ab58a0 (__TEXT,__text) external _fileport_makeport
0000000180ab58cc (__TEXT,__text) external _flistxattr
0000000180ab58f8 (__TEXT,__text) external _flock
0000000180ab5924 (__TEXT,__text) external _fmount
0000000180ab5950 (__TEXT,__text) external _fpathconf
0000000180ab9a64 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
0000000180ab597c (__TEXT,__text) external _freadlink
0000000180ab59a8 (__TEXT,__text) external _fremovexattr
0000000180ac4dc0 (__TEXT,__text) external _fs_snapshot_create
0000000180ac4e10 (__TEXT,__text) external _fs_snapshot_delete
0000000180ac4ddc (__TEXT,__text) external _fs_snapshot_list
0000000180ac4e80 (__TEXT,__text) external _fs_snapshot_mount
0000000180ac4e2c (__TEXT,__text) external _fs_snapshot_rename
0000000180ac4e48 (__TEXT,__text) external _fs_snapshot_revert
0000000180ac4e64 (__TEXT,__text) external _fs_snapshot_root
0000000180ab59d4 (__TEXT,__text) external _fsctl
0000000180ab5a00 (__TEXT,__text) external _fsetattrlist
0000000180ab5a2c (__TEXT,__text) external _fsetxattr
0000000180ab5a58 (__TEXT,__text) external _fsgetpath
0000000180ab5a84 (__TEXT,__text) external _fsgetpath_ext
0000000180ab5ab0 (__TEXT,__text) external _fstat
0000000180ab5ab0 (__TEXT,__text) external _fstat64
0000000180ab5adc (__TEXT,__text) external _fstatat
0000000180ab5adc (__TEXT,__text) external _fstatat64
0000000180ab5b08 (__TEXT,__text) external _fstatfs
0000000180ab5b08 (__TEXT,__text) external _fstatfs64
0000000180ab5b34 (__TEXT,__text) external _fsync
0000000180ab3058 (__TEXT,__text) external _fsync$NOCANCEL
0000000180ab5b60 (__TEXT,__text) external _ftruncate
0000000180abded8 (__TEXT,__text) external _futimens
0000000180ab5b8c (__TEXT,__text) external _futimes
0000000182bd3008 (__DATA,__crash_info) non-external _gCRAnnotations
0000000180ab3084 (__TEXT,__text) external _getattrlist
0000000180ab5bb8 (__TEXT,__text) external _getattrlistat
0000000180ab5be4 (__TEXT,__text) external _getattrlistbulk
0000000180ac9564 (__TEXT,__text) external _getaudit
0000000180ab5c10 (__TEXT,__text) external _getaudit_addr
0000000180ab5c3c (__TEXT,__text) external _getauid
0000000180ab5c68 (__TEXT,__text) external _getdirentries
0000000180ab5c94 (__TEXT,__text) external _getdirentriesattr
0000000180ab5cc0 (__TEXT,__text) external _getdtablesize
0000000180ab5cec (__TEXT,__text) external _getegid
0000000180ab5d18 (__TEXT,__text) external _getentropy
0000000180ab5d44 (__TEXT,__text) external _geteuid
0000000180ab5d70 (__TEXT,__text) external _getfh
0000000180ab5d9c (__TEXT,__text) external _getfsstat
0000000180ab5d9c (__TEXT,__text) external _getfsstat64
0000000180ab5dc8 (__TEXT,__text) external _getgid
0000000180ab5df4 (__TEXT,__text) external _getgroups
0000000180abdae8 (__TEXT,__text) external _gethostuuid
0000000180abb7fc (__TEXT,__text) external _getiopolicy_np
0000000180ab5e20 (__TEXT,__text) external _getitimer
0000000180ab3134 (__TEXT,__text) external _getpeername
0000000180ab5e4c (__TEXT,__text) external _getpgid
0000000180ab5e78 (__TEXT,__text) external _getpgrp
0000000180ab3160 (__TEXT,__text) external _getpid
0000000180ab5ea4 (__TEXT,__text) external _getppid
0000000180ab5ed0 (__TEXT,__text) external _getpriority
0000000180ac1028 (__TEXT,__text) external _getrlimit
0000000180ab5efc (__TEXT,__text) external _getrusage
0000000180ab31dc (__TEXT,__text) external _getsgroups_np
0000000180ab5f28 (__TEXT,__text) external _getsid
0000000180ab3208 (__TEXT,__text) external _getsockname
0000000180ab5f54 (__TEXT,__text) external _getsockopt
0000000180ab5f80 (__TEXT,__text) external _getuid
0000000180ab32bc (__TEXT,__text) external _getwgroups_np
0000000180ab5fac (__TEXT,__text) external _getxattr
0000000180ab5fd8 (__TEXT,__text) external _grab_pgo_data
0000000180ab6004 (__TEXT,__text) external _graftdmg
0000000180ab6030 (__TEXT,__text) external _guarded_close_np
0000000180ab605c (__TEXT,__text) external _guarded_kqueue_np
0000000180ab9ae0 (__TEXT,__text) external _guarded_open_dprotected_np
0000000180ac99c0 (__TEXT,__text) external _guarded_open_np
0000000180ab6088 (__TEXT,__text) external _guarded_pwrite_np
0000000180ab60b4 (__TEXT,__text) external _guarded_write_np
0000000180ab60e0 (__TEXT,__text) external _guarded_writev_np
0000000180ae7e59 (__TEXT,__cstring) non-external _hex
0000000180ab9b30 (__TEXT,__text) external _host_check_multiuser_mode
0000000180ab9b38 (__TEXT,__text) external _host_create_mach_voucher
0000000180ab2564 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000180acb158 (__TEXT,__text) external _host_default_memory_manager
0000000180accca0 (__TEXT,__text) external _host_get_UNDServer
0000000180ab9b10 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180acac08 (__TEXT,__text) external _host_get_boot_info
0000000180acb828 (__TEXT,__text) external _host_get_clock_control
0000000180acdcac (__TEXT,__text) external _host_get_clock_service
0000000180acc160 (__TEXT,__text) external _host_get_exception_ports
0000000180acdb50 (__TEXT,__text) external _host_get_io_main
0000000180ab9bb0 (__TEXT,__text) external _host_get_io_master
0000000180ab9b28 (__TEXT,__text) external _host_get_multiuser_config_flags
0000000180acbd9c (__TEXT,__text) external _host_get_special_port
0000000180acd2c0 (__TEXT,__text) external _host_info
0000000180acd4e0 (__TEXT,__text) external _host_kernel_version
0000000180ace8d4 (__TEXT,__text) external _host_lockgroup_info
0000000180ab9ea4 (__TEXT,__text) external _host_page_size
0000000180acaf38 (__TEXT,__text) external _host_priv_statistics
0000000180acd9b4 (__TEXT,__text) external _host_processor_info
0000000180acca14 (__TEXT,__text) external _host_processor_set_priv
0000000180acc894 (__TEXT,__text) external _host_processor_sets
0000000180acb6a8 (__TEXT,__text) external _host_processors
0000000180acae1c (__TEXT,__text) external _host_reboot
0000000180acf154 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
0000000180acf2e0 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
0000000180ace7a8 (__TEXT,__text) external _host_request_notification
0000000180accfe4 (__TEXT,__text) external _host_security_create_task_token
0000000180acd180 (__TEXT,__text) external _host_security_set_task_token
0000000180abb654 (__TEXT,__text) external _host_self
0000000180ab2414 (__TEXT,__text) external _host_self_trap
0000000180accb84 (__TEXT,__text) external _host_set_UNDServer
0000000180acf460 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180acc030 (__TEXT,__text) external _host_set_exception_ports
0000000180acf790 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180acbf04 (__TEXT,__text) external _host_set_special_port
0000000180ace588 (__TEXT,__text) external _host_statistics
0000000180acea64 (__TEXT,__text) external _host_statistics64
0000000180acc430 (__TEXT,__text) external _host_swap_exception_ports
0000000180acdf98 (__TEXT,__text) external _host_virtual_physical_table_info
0000000182bd2fe0 (__DATA,__data) external _important_boost_assertion_token
0000000182c5df80 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
0000000180ab9958 (__TEXT,__text) non-external _internal_catch_exception_raise
0000000182bd2fd0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
0000000180ab982c (__TEXT,__text) non-external _internal_catch_exception_raise_state
0000000182bd2fc8 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
0000000180ab96ec (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
0000000182bd2fc0 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
0000000180ac10a8 (__TEXT,__text) external _ioctl
0000000180ab610c (__TEXT,__text) external _issetugid
0000000182bd3068 (__DATA,__bss) non-external _kAccountingThreshold
0000000180ab6138 (__TEXT,__text) external _kas_info
0000000180ac5088 (__TEXT,__text) external _kdebug_is_enabled
0000000180ac5274 (__TEXT,__text) external _kdebug_signpost
0000000180ac533c (__TEXT,__text) external _kdebug_signpost_end
0000000180ac527c (__TEXT,__text) non-external _kdebug_signpost_internal
0000000180ac5330 (__TEXT,__text) external _kdebug_signpost_start
0000000180ac50fc (__TEXT,__text) external _kdebug_timestamp
0000000180ac5114 (__TEXT,__text) external _kdebug_timestamp_from_absolute
0000000180ac5130 (__TEXT,__text) external _kdebug_timestamp_from_continuous
0000000180ac514c (__TEXT,__text) external _kdebug_trace
0000000180ac51cc (__TEXT,__text) external _kdebug_trace_string
0000000180ac5004 (__TEXT,__text) external _kdebug_typefilter
0000000182bd3090 (__DATA,__bss) non-external _kdebug_typefilter.typefilter
0000000180ac50e8 (__TEXT,__text) external _kdebug_using_continuous_time
0000000180ab6164 (__TEXT,__text) external _kevent
0000000180ab6190 (__TEXT,__text) external _kevent64
0000000180ab61bc (__TEXT,__text) external _kevent_id
0000000180ab61e8 (__TEXT,__text) external _kevent_qos
0000000180accdfc (__TEXT,__text) external _kext_request
0000000180ac4b3c (__TEXT,__text) external _kill
0000000180acbbfc (__TEXT,__text) external _kmod_control
0000000180acb994 (__TEXT,__text) external _kmod_create
0000000180acbae0 (__TEXT,__text) external _kmod_destroy
0000000180acde18 (__TEXT,__text) external _kmod_get_info
0000000180ac9650 (__TEXT,__text) external _kpersona_alloc
0000000180ac96d0 (__TEXT,__text) external _kpersona_dealloc
0000000180ac9820 (__TEXT,__text) external _kpersona_find
0000000180ac9908 (__TEXT,__text) external _kpersona_find_by_type
0000000180ac9714 (__TEXT,__text) external _kpersona_get
0000000180ac9754 (__TEXT,__text) external _kpersona_getpath
0000000180ac9798 (__TEXT,__text) external _kpersona_info
0000000180ac9690 (__TEXT,__text) external _kpersona_palloc
0000000180ac97dc (__TEXT,__text) external _kpersona_pidinfo
0000000180ab6214 (__TEXT,__text) external _kqueue
0000000180ab34f8 (__TEXT,__text) external _lchown
0000000180ab6240 (__TEXT,__text) external _ledger
0000000180ab626c (__TEXT,__text) external _link
0000000180ab6298 (__TEXT,__text) external _linkat
0000000180ab62c4 (__TEXT,__text) external _lio_listio
0000000180ab3524 (__TEXT,__text) external _listen
0000000180ab62f0 (__TEXT,__text) external _listxattr
0000000180ad9914 (__TEXT,__text) external _lock_set_create
0000000180ad9a7c (__TEXT,__text) external _lock_set_destroy
0000000180abe6c0 (__TEXT,__text) external _log_data_as_kernel
0000000180ab357c (__TEXT,__text) external _lseek
0000000180ab631c (__TEXT,__text) external _lstat
0000000180ab631c (__TEXT,__text) external _lstat64
0000000180ab22a0 (__TEXT,__text) external _mach_absolute_time
0000000180ab2324 (__TEXT,__text) external _mach_absolute_time_kernel
0000000180abdacc (__TEXT,__text) external _mach_approximate_time
0000000180abdbc4 (__TEXT,__text) external _mach_boottime_usec
0000000180ab9634 (__TEXT,__text) external _mach_continuous_approximate_time
0000000180ab95bc (__TEXT,__text) external _mach_continuous_time
0000000180ab2330 (__TEXT,__text) external _mach_continuous_time_kernel
0000000180ab9e1c (__TEXT,__text) external _mach_error
0000000182bd30a8 (__DATA,__common) external _mach_error_full_diag
0000000180ab9df8 (__TEXT,__text) external _mach_error_string
0000000180ab9ccc (__TEXT,__text) non-external _mach_error_string_int
0000000180ab9bb4 (__TEXT,__text) external _mach_error_type
0000000180ae2f2c (__TEXT,__text) external _mach_eventlink_associate
0000000180ae2c74 (__TEXT,__text) external _mach_eventlink_create
0000000180ae2e10 (__TEXT,__text) external _mach_eventlink_destroy
0000000180ae306c (__TEXT,__text) external _mach_eventlink_disassociate
0000000180abde3c (__TEXT,__text) external _mach_eventlink_signal
0000000180abde98 (__TEXT,__text) external _mach_eventlink_signal_wait_until
0000000180abde58 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180ab24b0 (__TEXT,__text) external _mach_generate_activity_id
0000000180ac0ca4 (__TEXT,__text) external _mach_get_times
0000000180abba50 (__TEXT,__text) external _mach_host_self
0000000180ab7ec0 (__TEXT,__text) external _mach_host_special_port_description
0000000180ba75e0 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
0000000180ab7f20 (__TEXT,__text) external _mach_host_special_port_for_id
0000000182bd2e48 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
0000000180ab9eb8 (__TEXT,__text) external _mach_init
0000000182bd3058 (__DATA,__bss) non-external _mach_init.mach_init_inited
0000000180ab9ef0 (__TEXT,__text) non-external _mach_init_doit
0000000180ad5134 (__TEXT,__text) external _mach_make_memory_entry
0000000180ae2158 (__TEXT,__text) external _mach_make_memory_entry_64
0000000180ae29c8 (__TEXT,__text) external _mach_memory_entry_access_tracking
0000000180ae2b44 (__TEXT,__text) external _mach_memory_entry_ownership
0000000180ae2870 (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180acf57c (__TEXT,__text) external _mach_memory_info
0000000180acd82c (__TEXT,__text) external _mach_memory_object_memory_entry
0000000180ace400 (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180aba548 (__TEXT,__text) external _mach_msg
0000000180aba43c (__TEXT,__text) external _mach_msg2_internal
0000000180ab24e0 (__TEXT,__text) external _mach_msg2_trap
0000000180aba7f8 (__TEXT,__text) external _mach_msg_destroy
0000000180aba948 (__TEXT,__text) non-external _mach_msg_destroy_port
0000000180aba56c (__TEXT,__text) external _mach_msg_overwrite
0000000180ab242c (__TEXT,__text) external _mach_msg_overwrite_trap
0000000180abb148 (__TEXT,__text) external _mach_msg_priority_encode
0000000180abb138 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
0000000180abb17c (__TEXT,__text) external _mach_msg_priority_overide_qos
0000000180abb18c (__TEXT,__text) external _mach_msg_priority_qos
0000000180abb19c (__TEXT,__text) external _mach_msg_priority_relpri
0000000180aba7bc (__TEXT,__text) external _mach_msg_receive
0000000180aba780 (__TEXT,__text) external _mach_msg_send
0000000180abadac (__TEXT,__text) external _mach_msg_server
0000000180abad44 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
0000000180abb124 (__TEXT,__text) external _mach_msg_server_importance
0000000180abaa6c (__TEXT,__text) external _mach_msg_server_once
0000000180ab2420 (__TEXT,__text) external _mach_msg_trap
0000000180ad5fb8 (__TEXT,__text) external _mach_notify_dead_name
0000000180ad5ef4 (__TEXT,__text) external _mach_notify_no_senders
0000000180ad5e18 (__TEXT,__text) external _mach_notify_port_deleted
0000000180ad5e80 (__TEXT,__text) external _mach_notify_port_destroyed
0000000180ad5f5c (__TEXT,__text) external _mach_notify_send_once
0000000180ac840c (__TEXT,__text) external _mach_port_allocate
0000000180ac8790 (__TEXT,__text) external _mach_port_allocate_full
0000000180ac8408 (__TEXT,__text) external _mach_port_allocate_name
0000000180ac878c (__TEXT,__text) external _mach_port_allocate_qos
0000000180ac8d9c (__TEXT,__text) external _mach_port_assert_attributes
0000000180ac8bb4 (__TEXT,__text) external _mach_port_construct
0000000180ac8480 (__TEXT,__text) external _mach_port_deallocate
0000000180ac847c (__TEXT,__text) external _mach_port_destroy
0000000180ac884c (__TEXT,__text) external _mach_port_destruct
0000000180ac8a40 (__TEXT,__text) external _mach_port_dnrequest_info
0000000180ac8af8 (__TEXT,__text) external _mach_port_extract_member
0000000180ac86f4 (__TEXT,__text) external _mach_port_extract_right
0000000180ac86fc (__TEXT,__text) external _mach_port_get_attributes
0000000180ac8b68 (__TEXT,__text) external _mach_port_get_context
0000000180ac84dc (__TEXT,__text) external _mach_port_get_refs
0000000180ac8d98 (__TEXT,__text) external _mach_port_get_service_port_info
0000000180ac8560 (__TEXT,__text) external _mach_port_get_set_status
0000000180ac8798 (__TEXT,__text) external _mach_port_get_srights
0000000180ac8c2c (__TEXT,__text) external _mach_port_guard
0000000180ac8d8c (__TEXT,__text) external _mach_port_guard_with_flags
0000000180ac8a88 (__TEXT,__text) external _mach_port_insert_member
0000000180ac867c (__TEXT,__text) external _mach_port_insert_right
0000000180ac8d94 (__TEXT,__text) external _mach_port_is_connection_for_service
0000000180ac8a44 (__TEXT,__text) external _mach_port_kernel_object
0000000180ac8bac (__TEXT,__text) external _mach_port_kobject
0000000180ac8bb0 (__TEXT,__text) external _mach_port_kobject_description
0000000180ac84e0 (__TEXT,__text) external _mach_port_mod_refs
0000000180ac8564 (__TEXT,__text) external _mach_port_move_member
0000000180ac8390 (__TEXT,__text) external _mach_port_names
0000000180ac8558 (__TEXT,__text) external _mach_port_peek
0000000180ac8404 (__TEXT,__text) external _mach_port_rename
0000000180ac85d4 (__TEXT,__text) external _mach_port_request_notification
0000000180ac8788 (__TEXT,__text) external _mach_port_set_attributes
0000000180ac8ba8 (__TEXT,__text) external _mach_port_set_context
0000000180ac855c (__TEXT,__text) external _mach_port_set_mscount
0000000180ac86f8 (__TEXT,__text) external _mach_port_set_seqno
0000000180ac87a0 (__TEXT,__text) external _mach_port_space_basic_info
0000000180ac879c (__TEXT,__text) external _mach_port_space_info
0000000180ac8d90 (__TEXT,__text) external _mach_port_swap_guard
0000000180ac8394 (__TEXT,__text) external _mach_port_type
0000000180ac8ca4 (__TEXT,__text) external _mach_port_unguard
0000000180abdca8 (__TEXT,__text) external _mach_ports_lookup
0000000180abdc24 (__TEXT,__text) external _mach_ports_register
0000000180ab23f0 (__TEXT,__text) external _mach_reply_port
0000000180abbae4 (__TEXT,__text) external _mach_right_recv_construct
0000000180abbbbc (__TEXT,__text) external _mach_right_recv_destruct
0000000180abbc54 (__TEXT,__text) external _mach_right_send_create
0000000180abbe48 (__TEXT,__text) external _mach_right_send_once_consume
0000000180abbddc (__TEXT,__text) external _mach_right_send_once_create
0000000180abbd30 (__TEXT,__text) external _mach_right_send_release
0000000180abbcbc (__TEXT,__text) external _mach_right_send_retain
0000000180ac8920 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
0000000180ac89cc (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
0000000180abdbd4 (__TEXT,__text) external _mach_task_is_self
0000000180abba54 (__TEXT,__text) external _mach_task_self
0000000182bd3740 (__DATA,__common) external _mach_task_self_
0000000180ab7ee0 (__TEXT,__text) external _mach_task_special_port_description
0000000180ba7700 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
0000000180ab7fe8 (__TEXT,__text) external _mach_task_special_port_for_id
0000000182bd2f40 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
0000000180abba58 (__TEXT,__text) external _mach_thread_self
0000000180ab7f00 (__TEXT,__text) external _mach_thread_special_port_description
0000000180ba7760 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
0000000180ab7ff8 (__TEXT,__text) external _mach_thread_special_port_for_id
0000000182bd2fa0 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180ac4fac (__TEXT,__text) external _mach_timebase_info
0000000182bd3084 (__DATA,__bss) non-external _mach_timebase_info.cached_info
0000000180ab25a0 (__TEXT,__text) external _mach_timebase_info_trap
0000000180ac8da0 (__TEXT,__text) external _mach_vm_allocate
0000000180ad45f8 (__TEXT,__text) external _mach_vm_behavior_set
0000000180ad426c (__TEXT,__text) external _mach_vm_copy
0000000180ac8e54 (__TEXT,__text) external _mach_vm_deallocate
0000000180ad5904 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
0000000180ad5a5c (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
0000000180ad5b78 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
0000000180ad3d0c (__TEXT,__text) external _mach_vm_inherit
0000000180ad48a4 (__TEXT,__text) external _mach_vm_machine_attribute
0000000180ac8fd0 (__TEXT,__text) external _mach_vm_map
0000000180ad44d8 (__TEXT,__text) external _mach_vm_msync
0000000180ad5420 (__TEXT,__text) external _mach_vm_page_info
0000000180ad4b8c (__TEXT,__text) external _mach_vm_page_query
0000000180ad5608 (__TEXT,__text) external _mach_vm_page_range_query
0000000180ac8efc (__TEXT,__text) external _mach_vm_protect
0000000180ac94e8 (__TEXT,__text) external _mach_vm_purgable_control
0000000180ad5c94 (__TEXT,__text) external _mach_vm_range_create
0000000180ac9244 (__TEXT,__text) external _mach_vm_read
0000000180ad3fb4 (__TEXT,__text) external _mach_vm_read_list
0000000180ad4388 (__TEXT,__text) external _mach_vm_read_overwrite
0000000180abc2e8 (__TEXT,__text) external _mach_vm_reclaim_is_available
0000000180abc30c (__TEXT,__text) external _mach_vm_reclaim_is_reclaimed
0000000180abbf2c (__TEXT,__text) external _mach_vm_reclaim_mark_free
0000000180abc0a0 (__TEXT,__text) external _mach_vm_reclaim_mark_free_with_id
0000000180abc1c4 (__TEXT,__text) external _mach_vm_reclaim_mark_used
0000000180abbef8 (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
0000000180abc330 (__TEXT,__text) external _mach_vm_reclaim_synchronize
0000000180abc2d4 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
0000000180ad4f08 (__TEXT,__text) external _mach_vm_region
0000000180ad4cf0 (__TEXT,__text) external _mach_vm_region_recurse
0000000180ac910c (__TEXT,__text) external _mach_vm_remap
0000000180ac91a8 (__TEXT,__text) external _mach_vm_remap_new
0000000180acc764 (__TEXT,__text) external _mach_vm_wire
0000000180ad4138 (__TEXT,__text) external _mach_vm_write
0000000180ae3880 (__TEXT,__text) external _mach_voucher_attr_command
0000000180abb128 (__TEXT,__text) external _mach_voucher_deallocate
0000000180ae3ae0 (__TEXT,__text) external _mach_voucher_debug_info
0000000180ae362c (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
0000000180ae3194 (__TEXT,__text) external _mach_voucher_extract_attr_content
0000000180ac8d14 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
0000000180ab2570 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
0000000180ab25ac (__TEXT,__text) external _mach_wait_until
0000000180acee68 (__TEXT,__text) external _mach_zone_force_gc
0000000180acfd58 (__TEXT,__text) external _mach_zone_get_btlog_records
0000000180acfbc8 (__TEXT,__text) external _mach_zone_get_zlog_zones
0000000180acec9c (__TEXT,__text) external _mach_zone_info
0000000180acfa1c (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180acf8ac (__TEXT,__text) external _mach_zone_info_for_zone
0000000180ab2528 (__TEXT,__text) external _macx_backing_store_recovery
0000000180ab251c (__TEXT,__text) external _macx_backing_store_suspend
0000000180ab24f8 (__TEXT,__text) external _macx_swapoff
