00007ffd04f21ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd404367c0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffd40436be0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffd40437430 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffd40437450 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffd40436c50 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffd40436c20 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffd40437470 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffd404367e0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffd40436810 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffd404374d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffd404374f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffd40437520 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffd40437550 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffd404375c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffd40437600 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffd40437680 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffd404376e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffd40437760 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffd40437790 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffd404377e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffd404374a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffd40437810 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffd40436c70 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffd40436840 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffd40436c90 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffd40436910 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffd40436930 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffd404369e0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffd40436d10 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffd40436cc0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffd40436610 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffd04f39045 (__TEXT,__text) non-external __trace_bufferlen
00007ffd04f38861 (__TEXT,__text) non-external __trace_c_type
00007ffd04f35d08 (__TEXT,__text) non-external __trace_colattr2_type
00007ffd04f36008 (__TEXT,__text) non-external __trace_colattr3_data
00007ffd04f35d46 (__TEXT,__text) non-external __trace_colattr3_type
00007ffd04f324f8 (__TEXT,__text) non-external __trace_connattr_type
00007ffd04f39328 (__TEXT,__text) non-external __trace_connopt_type
00007ffd04f3b01c (__TEXT,__text) non-external __trace_connstr
00007ffd04f3b2b1 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffd04f3b210 (__TEXT,__text) non-external __trace_connstr_w
00007ffd04f3a384 (__TEXT,__text) non-external __trace_data
00007ffd04f32786 (__TEXT,__text) non-external __trace_desc_null
00007ffd04f356cc (__TEXT,__text) non-external __trace_descfield_type
00007ffd04f3a0c8 (__TEXT,__text) non-external __trace_diag_type
00007ffd04f374dd (__TEXT,__text) non-external __trace_direction
00007ffd04f3b0ee (__TEXT,__text) non-external __trace_drvcn_completion
00007ffd04f33066 (__TEXT,__text) non-external __trace_envattr_type
00007ffd04f336e2 (__TEXT,__text) non-external __trace_fetchtype
00007ffd04f3b754 (__TEXT,__text) non-external __trace_freestmt_option
00007ffd04f36cb1 (__TEXT,__text) non-external __trace_func_name
00007ffd04f36c10 (__TEXT,__text) non-external __trace_func_result
00007ffd04f338d1 (__TEXT,__text) non-external __trace_getinfo
00007ffd04f383a3 (__TEXT,__text) non-external __trace_handle
00007ffd04f3833e (__TEXT,__text) non-external __trace_handle_p
00007ffd04f38300 (__TEXT,__text) non-external __trace_handletype
00007ffd04f38b6c (__TEXT,__text) non-external __trace_inouttype
00007ffd04f38415 (__TEXT,__text) non-external __trace_integer
00007ffd04f3852d (__TEXT,__text) non-external __trace_integer_p
00007ffd04f38606 (__TEXT,__text) non-external __trace_len
00007ffd04f38640 (__TEXT,__text) non-external __trace_len_p
00007ffd04f3844e (__TEXT,__text) non-external __trace_pointer
00007ffd04f38173 (__TEXT,__text) non-external __trace_print_function
00007ffd04f337af (__TEXT,__text) non-external __trace_scrollopt_type
00007ffd04f335b0 (__TEXT,__text) non-external __trace_setpos_irow
00007ffd04f3360a (__TEXT,__text) non-external __trace_setpos_lock
00007ffd04f335cc (__TEXT,__text) non-external __trace_setpos_oper
00007ffd04f383dc (__TEXT,__text) non-external __trace_smallint
00007ffd04f38486 (__TEXT,__text) non-external __trace_smallint_p
00007ffd04f3328e (__TEXT,__text) non-external __trace_spcols_null
00007ffd04f33250 (__TEXT,__text) non-external __trace_spcols_scope
00007ffd04f33211 (__TEXT,__text) non-external __trace_spcols_type
00007ffd04f38f8c (__TEXT,__text) non-external __trace_sql_subtype
00007ffd04f38baa (__TEXT,__text) non-external __trace_sql_type
00007ffd04f38d80 (__TEXT,__text) non-external __trace_sql_type_p
00007ffd04f3b49c (__TEXT,__text) non-external __trace_stats_accuracy
00007ffd04f3b45e (__TEXT,__text) non-external __trace_stats_unique
00007ffd04f39608 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffd04f39dbf (__TEXT,__text) non-external __trace_stmtopt_type
00007ffd04f386e6 (__TEXT,__text) non-external __trace_string
00007ffd04f3878f (__TEXT,__text) non-external __trace_string_w
00007ffd04f385d2 (__TEXT,__text) non-external __trace_stringlen
00007ffd40437830 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffd04f3aa60 (__TEXT,__text) non-external __trace_tran_completion
00007ffd04f3ad00 (__TEXT,__text) non-external __trace_typeinfo
00007ffd04f38432 (__TEXT,__text) non-external __trace_uinteger
00007ffd04f38580 (__TEXT,__text) non-external __trace_uinteger_p
00007ffd04f38623 (__TEXT,__text) non-external __trace_ulen
00007ffd04f38693 (__TEXT,__text) non-external __trace_ulen_p
00007ffd04f383f9 (__TEXT,__text) non-external __trace_usmallint
00007ffd04f384da (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffd41a466a2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd04f3c59e (__TEXT,__text) non-external _dm_SQL_A2W
00007ffd04f3cac2 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffd04f3c533 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffd04f3c7e6 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffd04f3c612 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffd04f3cce0 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffd04f3c6b1 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffd04f3c74d (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffd04f3c79b (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffd04f3e1d6 (__TEXT,__text) non-external _do_create_dsns
00007ffd41a46660 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffd41a46640 (__DATA,__common) non-external _ierror
00007ffd04f3e2ff (__TEXT,__text) non-external _install_from_ini
00007ffd04f3e7fc (__TEXT,__text) non-external _install_from_string
00007ffd41a460a0 (__DATA,__data) external _iodbc_version
00007ffd41a46580 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd41a465c8 (__DATA,__data) non-external _numerrors
00007ffd41a460b0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffd41a465d0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffd04f3e9df (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffd40435b50 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffd41a46610 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffd04f350a5 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffd04f39290 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffd04f35b8b (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffd04f3742d (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffd04f35af0 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffd04f36581 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffd04f39118 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffd04f391d4 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffd04f331b5 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffd04f3a311 (__TEXT,__text) non-external _trace_SQLCancel
00007ffd04f374b3 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffd04f35f74 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffd04f36358 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffd04f363ef (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffd04f3649e (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffd04f39eea (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffd04f39fd9 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffd04f3516c (__TEXT,__text) non-external _trace_SQLColumns
00007ffd04f3525b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffd04f39936 (__TEXT,__text) non-external _trace_SQLConnect
00007ffd04f399f6 (__TEXT,__text) non-external _trace_SQLConnectW
00007ffd04f336a9 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffd04f3753c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffd04f37621 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffd04f327f7 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffd04f328e3 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffd04f39e45 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffd04f37489 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffd04f3af38 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffd04f3b12c (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffd04f367e2 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffd04f368c7 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffd04f35060 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffd04f32bfb (__TEXT,__text) non-external _trace_SQLError
00007ffd04f32cea (__TEXT,__text) non-external _trace_SQLErrorW
00007ffd04f3727e (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffd04f372dc (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffd04f331e7 (__TEXT,__text) non-external _trace_SQLExecute
00007ffd04f33724 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffd04f377b9 (__TEXT,__text) non-external _trace_SQLFetch
00007ffd04f392dd (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffd04f39ab6 (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffd04f39bfa (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffd04f39d95 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffd04f33586 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffd04f3502e (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffd04f3b78f (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffd04f32670 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffd04f326fb (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffd04f394e8 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffd04f39530 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffd04f35bf5 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffd04f35c7d (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffd04f3a990 (__TEXT,__text) non-external _trace_SQLGetData
00007ffd04f359c0 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffd04f35a58 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffd04f329cf (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffd04f32ae5 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffd04f3a1dc (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffd04f3a284 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffd04f32ea7 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffd04f32f86 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffd04f330d3 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffd04f37228 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffd04f33844 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffd04f34d7c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffd04f3983c (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffd04f398c7 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffd04f39dfd (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffd04f3aed4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffd04f3af06 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffd04f3aa36 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffd04f35529 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffd04f355fa (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffd04f3534a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffd04f39d3e (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffd04f3654d (__TEXT,__text) non-external _trace_SQLParamData
00007ffd04f35101 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffd04f3b7c1 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffd04f3b81f (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffd04f369ac (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffd04f36a70 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffd04f34e09 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffd04f34ef8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffd04f3665a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffd04f3671e (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffd04f3a33b (__TEXT,__text) non-external _trace_SQLPutData
00007ffd04f3315e (__TEXT,__text) non-external _trace_SQLRowCount
00007ffd04f3b3bc (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffd04f3b40d (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffd04f39578 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffd04f395c0 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffd04f376ff (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffd04f3775c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffd04f32dd9 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffd04f32e40 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffd04f36b34 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffd04f3733a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffd04f33648 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffd04f337f1 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffd04f3738b (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffd04f373dc (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffd04f34fe7 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffd04f332cc (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffd04f33429 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffd04f3b4da (__TEXT,__text) non-external _trace_SQLStatistics
00007ffd04f3b617 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffd04f353a1 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffd04f35465 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffd04f3ab20 (__TEXT,__text) non-external _trace_SQLTables
00007ffd04f3ac0f (__TEXT,__text) non-external _trace_SQLTablesW
00007ffd04f3aaa0 (__TEXT,__text) non-external _trace_SQLTransact
00007ffd41a46600 (__DATA,__bss) non-external _trace_appname
00007ffd04f37ce9 (__TEXT,__text) non-external _trace_emit
00007ffd04f37ff2 (__TEXT,__text) non-external _trace_emit_binary
00007ffd04f37dda (__TEXT,__text) non-external _trace_emit_string
00007ffd04f37db4 (__TEXT,__text) non-external _trace_emitc
00007ffd41a46608 (__DATA,__bss) non-external _trace_fname
00007ffd41a46620 (__DATA,__bss) non-external _trace_fp
00007ffd41a46628 (__DATA,__bss) non-external _trace_fp_close
00007ffd04f37814 (__TEXT,__text) non-external _trace_get_filename
00007ffd04f377e4 (__TEXT,__text) non-external _trace_set_appname
00007ffd04f37825 (__TEXT,__text) non-external _trace_set_filename
00007ffd04f37ab3 (__TEXT,__text) non-external _trace_start
00007ffd04f37c49 (__TEXT,__text) non-external _trace_stop
00007ffd04f37a60 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffd04f3cc80 (__TEXT,__text) non-external _utf8_len
00007ffd04f3cd5f (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffd41a466a0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
