00007ffd448a73c8 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd1c1395f9 (__TEXT,__text) external ___asan_abi_alloca_poison
00007ffd1c1395ff (__TEXT,__text) external ___asan_abi_allocas_unpoison
00007ffd1c13936f (__TEXT,__text) external ___asan_abi_before_dynamic_init
00007ffd1c13945d (__TEXT,__text) external ___asan_abi_exp_load_n
00007ffd1c1394fe (__TEXT,__text) external ___asan_abi_exp_store_n
00007ffd1c1395e9 (__TEXT,__text) external ___asan_abi_get_current_fake_stack
00007ffd1c13939f (__TEXT,__text) external ___asan_abi_handle_no_return
00007ffd1c139399 (__TEXT,__text) external ___asan_abi_init
00007ffd1c1395e1 (__TEXT,__text) external ___asan_abi_load_cxx_array_cookie
00007ffd1c1393bd (__TEXT,__text) external ___asan_abi_load_n
00007ffd1c13937b (__TEXT,__text) external ___asan_abi_memcpy
00007ffd1c139385 (__TEXT,__text) external ___asan_abi_memmove
00007ffd1c13938f (__TEXT,__text) external ___asan_abi_memset
00007ffd1c1395db (__TEXT,__text) external ___asan_abi_poison_cxx_array_cookie
00007ffd1c1395cf (__TEXT,__text) external ___asan_abi_poison_intra_object_redzone
00007ffd1c139541 (__TEXT,__text) external ___asan_abi_poison_memory_region
00007ffd1c1395c3 (__TEXT,__text) external ___asan_abi_poison_stack_memory
00007ffd1c13943c (__TEXT,__text) external ___asan_abi_region_is_poisoned
00007ffd1c139357 (__TEXT,__text) external ___asan_abi_register_elf_globals
00007ffd1c139363 (__TEXT,__text) external ___asan_abi_register_globals
00007ffd1c13934b (__TEXT,__text) external ___asan_abi_register_image_globals
00007ffd1c1393b1 (__TEXT,__text) external ___asan_abi_report_exp_load_n
00007ffd1c1393b7 (__TEXT,__text) external ___asan_abi_report_exp_store_n
00007ffd1c1393a5 (__TEXT,__text) external ___asan_abi_report_load_n
00007ffd1c1393ab (__TEXT,__text) external ___asan_abi_report_store_n
00007ffd1c13958f (__TEXT,__text) external ___asan_abi_set_shadow_xx_n
00007ffd1c139691 (__TEXT,__text) external ___asan_abi_stack_free_n
00007ffd1c13b0e1 (__TEXT,__text) non-external ___asan_abi_stack_free_n.cold.1
00007ffd1c13964b (__TEXT,__text) external ___asan_abi_stack_malloc_always_n
00007ffd1c13b0be (__TEXT,__text) non-external ___asan_abi_stack_malloc_always_n.cold.1
00007ffd1c139605 (__TEXT,__text) external ___asan_abi_stack_malloc_n
00007ffd1c13b09b (__TEXT,__text) non-external ___asan_abi_stack_malloc_n.cold.1
00007ffd1c13947f (__TEXT,__text) external ___asan_abi_store_n
00007ffd1c1395d5 (__TEXT,__text) external ___asan_abi_unpoison_intra_object_redzone
00007ffd1c13956d (__TEXT,__text) external ___asan_abi_unpoison_memory_region
00007ffd1c1395c9 (__TEXT,__text) external ___asan_abi_unpoison_stack_memory
00007ffd1c13935d (__TEXT,__text) external ___asan_abi_unregister_elf_globals
00007ffd1c139369 (__TEXT,__text) external ___asan_abi_unregister_globals
00007ffd1c139351 (__TEXT,__text) external ___asan_abi_unregister_image_globals
00007ffd1c139f97 (__TEXT,__text) external ___asan_get_alloc_stack
00007ffd1c13a049 (__TEXT,__text) external ___asan_get_free_stack
00007ffd1c139ece (__TEXT,__text) external ___asan_get_report_access_size
00007ffd1c139ec1 (__TEXT,__text) external ___asan_get_report_access_type
00007ffd1c139eb4 (__TEXT,__text) external ___asan_get_report_address
00007ffd1c139e9a (__TEXT,__text) external ___asan_get_report_bp
00007ffd1c139edb (__TEXT,__text) external ___asan_get_report_description
00007ffd1c139e8d (__TEXT,__text) external ___asan_get_report_pc
00007ffd1c139ea7 (__TEXT,__text) external ___asan_get_report_sp
00007ffd1c139f7d (__TEXT,__text) external ___asan_get_shadow_mapping
00007ffd1c139ee8 (__TEXT,__text) external ___asan_locate_address
00007ffd1c13b14b (__TEXT,__text) non-external ___asan_locate_address.cold.1
00007ffd1c13b16c (__TEXT,__text) non-external ___asan_locate_address.cold.2
00007ffd1c13b18d (__TEXT,__text) non-external ___asan_locate_address.cold.3
00007ffd1c139e7a (__TEXT,__text) external ___asan_report_present
                 (undefined) external ___assert_rtn (from libsystem_c)
                 (undefined) external ___bzero (from libsystem_platform)
00007ffd1c13a0fb (__TEXT,__text) non-external (was a private external) ___cxa_pure_virtual
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external __dyld_register_func_for_add_image (from libdyld)
                 (undefined) external __exit (from libsystem_kernel)
00007ffd1c1382e0 (__TEXT,__text) external __sanitizers_init
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _backtrace_from_fp (from libsystem_c)
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _fputs (from libsystem_c)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _getsectiondata (from libmacho)
00007ffd1c13b450 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionNumber
00007ffd1c13b410 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionString
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _malloc_logger (from libsystem_malloc)
                 (undefined) external _malloc_sanitizer_set_functions (from libsystem_malloc)
                 (undefined) external _malloc_size (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
00007ffd1c139e70 (__TEXT,__text) external _sanitizers_address_on_report
00007ffd1c134fe0 (__TEXT,__text) external _sanitizers_diagnose_memory_error
00007ffd448a7350 (__DATA,__common) external _sanitizers_report_globals
00007ffd1c139c9a (__TEXT,__text) external _sanitizers_testonly_diagnose_error
00007ffd1c13a7f2 (__TEXT,__text) external _sanitizers_testonly_get_shadow_address
                 (undefined) external _strtol (from libsystem_c)
                 (undefined) external _strtoul (from libsystem_c)
                 (undefined) external _thread_stack_pcs (from libsystem_c)
                 (undefined) external _vm_map (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _vsnprintf (from libsystem_c)
