00000001f874b648 (__TEXT,__text) non-external +[MGDaemon daemon]
000000021808f8b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
000000021808fdb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
000000021808f390 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceListenerProviderProtocol
000000021808f0a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
000000021808faa0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
000000021808fed8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_MGGroupsQueryAgentDelegate
000000021808f270 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000021808fc70 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000021808fd90 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXPCListenerDelegate
000000021808f8a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGClientInterfaceProtocol
000000021808fef8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGGroupsQueryAgentDelegate
000000021808f978 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceInterfaceProtocol
000000021808fe80 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceInterfaceProtocol
000000021808f410 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceListenerProviderProtocol
000000021808f2d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000021808fcd8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000021808fdb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXPCListenerDelegate
000000021808fec0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_MGGroupsQueryAgentDelegate
000000021808f378 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_MGServiceListenerProviderProtocol
000000021808fd78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXPCListenerDelegate
000000021808ff00 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_MGDaemon
000000021808f438 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_MGServiceListenerProvider
000000021f1bc900 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGDaemon
000000021f1bc750 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsActivity
000000021f1bc708 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsMediator
000000021f1bc7e0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsQueryAgent
000000021f1bc828 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsQueryOperation
000000021f1bc870 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGOutstandingQuery
000000021f1bc948 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceClient
000000021f1bc990 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceClientSet
000000021f1bc798 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceListenerProvider
000000021808ee98 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGClientInterfaceProtocol
000000021808eeb0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGGroupsQueryAgentDelegate
000000021808eea0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGServiceInterfaceProtocol
000000021808ee90 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGServiceListenerProviderProtocol
000000021808ee88 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
000000021808eea8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXPCListenerDelegate
000000021f1bc8b8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGDaemon
000000021808efe8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsActivity
000000021808eec0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsMediator
000000021808f578 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsQueryAgent
000000021808f770 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsQueryOperation
000000021808f9b8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGOutstandingQuery
00000002180900c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceClient
00000002180901d0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceClientSet
000000021808f450 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceListenerProvider
000000021b153520 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGClientInterfaceProtocol
000000021b153640 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGGroupsQueryAgentDelegate
000000021b153580 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGServiceInterfaceProtocol
000000021b1534c0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGServiceListenerProviderProtocol
000000021b153460 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000021b1535e0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXPCListenerDelegate
000000021b153200 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_MGClientInterfaceProtocol
000000021b153208 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_MGServiceInterfaceProtocol
                 (undefined) external __Unwind_Resume (from libSystem)
00000001f874fbec (__TEXT,__text) non-external ___28-[MGServiceClient addQuery:]_block_invoke
00000001f87448b0 (__TEXT,__text) non-external ___29-[MGGroupsMediator addGroup:]_block_invoke
00000001f87492d0 (__TEXT,__text) non-external ___30-[MGGroupsQueryOperation main]_block_invoke
00000001f874c334 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke
00000001f874c344 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.85
00000001f874c46c (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.90
00000001f874c594 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.95
00000001f8743f88 (__TEXT,__text) non-external ___31-[MGGroupsMediator description]_block_invoke
00000001f874fd24 (__TEXT,__text) non-external ___31-[MGServiceClient removeQuery:]_block_invoke
00000001f8744608 (__TEXT,__text) non-external ___32-[MGGroupsMediator endActivity:]_block_invoke
00000001f8744a80 (__TEXT,__text) non-external ___32-[MGGroupsMediator removeGroup:]_block_invoke
00000001f87441b8 (__TEXT,__text) non-external ___33-[MGGroupsMediator currentGroups]_block_invoke
00000001f874e4ac (__TEXT,__text) non-external ___35-[MGDaemon deleteGroup:completion:]_block_invoke
00000001f8744d28 (__TEXT,__text) non-external ___35-[MGGroupsMediator group:renameTo:]_block_invoke
00000001f87451b8 (__TEXT,__text) non-external ___36-[MGGroupsMediator group:addMember:]_block_invoke
00000001f87455ec (__TEXT,__text) non-external ___39-[MGGroupsMediator group:removeMember:]_block_invoke
00000001f87504d8 (__TEXT,__text) non-external ___39-[MGServiceClientSet addClientService:]_block_invoke
00000001f87443cc (__TEXT,__text) non-external ___42-[MGGroupsMediator startActivityWithName:]_block_invoke
00000001f8748820 (__TEXT,__text) non-external ___42-[MGGroupsQueryAgent addOutstandingQuery:]_block_invoke
00000001f87505f4 (__TEXT,__text) non-external ___42-[MGServiceClientSet removeClientService:]_block_invoke
00000001f874b318 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke
00000001f874b4a0 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke.66
00000001f874b4a8 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke.67
00000001f874b31c (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke_2
00000001f874b3c4 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke_3
00000001f8748b1c (__TEXT,__text) non-external ___45-[MGGroupsQueryAgent removeOutstandingQuery:]_block_invoke
00000001f874591c (__TEXT,__text) non-external ___46-[MGGroupsMediator removeGroupWithIdentifier:]_block_invoke
00000001f87500d8 (__TEXT,__text) non-external ___46-[MGServiceClient enumerateQueriesUsingBlock:]_block_invoke
00000001f875012c (__TEXT,__text) non-external ___46-[MGServiceClient enumerateQueriesUsingBlock:]_block_invoke.7
00000001f874d86c (__TEXT,__text) non-external ___47-[MGDaemon listener:shouldAcceptNewConnection:]_block_invoke
00000001f8746634 (__TEXT,__text) non-external ___49-[MGGroupsQueryAgent setCurrentDeviceIdentifier:]_block_invoke
00000001f874ff00 (__TEXT,__text) non-external ___49-[MGServiceClient outstandingQueryForIdentifier:]_block_invoke
00000001f87507d4 (__TEXT,__text) non-external ___49-[MGServiceClientSet enumerateClientsUsingBlock:]_block_invoke
00000001f8750860 (__TEXT,__text) non-external ___49-[MGServiceClientSet enumerateClientsUsingBlock:]_block_invoke_2
00000001f874b768 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke
00000001f874bcd0 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke.80
00000001f874b8d8 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_2
00000001f874b9cc (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_3
00000001f874bbd0 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_4
00000001f874840c (__TEXT,__text) non-external ___52-[MGGroupsQueryAgent _queryOperation:didFindGroups:]_block_invoke
00000001f87503cc (__TEXT,__text) non-external ___52-[MGServiceClientSet serviceClientForXPCConnection:]_block_invoke
00000001f8748dc0 (__TEXT,__text) non-external ___53-[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]_block_invoke
00000001f874dfd4 (__TEXT,__text) non-external ___56-[MGDaemon createGroupWithType:name:members:completion:]_block_invoke
00000001f87474c0 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke
00000001f87477c8 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.20
00000001f8747828 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.22
00000001f87478d8 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.26
00000001f8747c48 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.29
00000001f8747c6c (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.63
00000001f8747e28 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.69
00000001f8748134 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.70
00000001f87475b0 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke_2
00000001f87467f4 (__TEXT,__text) non-external ___73-[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]_block_invoke
00000001f874eaec (__TEXT,__text) non-external ___99-[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]_block_invoke
00000001f8743f70 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001f874fee8 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001f8743f80 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001f874fef8 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001f874ab38 (__TEXT,__text) non-external ___MGLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001f874947c (__TEXT,__text) non-external ____AddContainmentForGroup_block_invoke
000000021808ee20 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e24_v32?0"MGGroup"8Q16^B24l
000000021808ee00 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
000000021f1bc018 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e32_v32?0"MGServiceClient"8Q16^B24l
000000021f1bbfe8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e43_v32?0"NSUUID"8"MGOutstandingQuery"16^B24l
000000021f1bbbb8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e21_B24?0"NSArray"8^B16l
000000021f1bbb28 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e24_B32?0"MGGroup"8Q16^B24l
000000021f1bbb58 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e29_q24?0"MGGroup"8"MGGroup"16l
000000021f1bbd78 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v32?0"MGGroupIdentifier"8Q16^B24l
000000021f1bbda8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e43_v32?0"MGGroupIdentifier"8"MGGroup"16^B24l
000000021f1bb9d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e5_v8?0l
000000021f1bbe98 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e28_v32?0"HMAccessory"8Q16^B24l
000000021f1bba08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e5_v8?0l
000000021f1bbb88 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e24_v32?0"MGGroup"8Q16^B24l
000000021f1bba38 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
000000021f1bbbe8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e38_v32?0"NSString"8"NSPredicate"16^B24l
000000021f1bbaf8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_B8?0l
000000021f1bbca8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_v8?0l
000000021f1bba98 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48w_e5_v8?0l
000000021f1bbf58 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32w40w48w_e5_v8?0l
000000021f1bb9a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40r48r56r_e5_v8?0l
000000021f1bbac8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56r_e5_v8?0l
000000021f1bbef8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e23_v32?0"HMRoom"8Q16^B24l
000000021f1bbf28 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e23_v32?0"HMZone"8Q16^B24l
000000021f1bbec8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e30_v32?0"HMMediaSystem"8Q16^B24l
000000021f1bbdd8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e5_v8?0l
000000021f1bbe68 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56r64r_e29_v24?0"MGServiceClient"8^B16l
000000021f1bba68 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56r64r_e5_v8?0l
000000021f1bbd08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e34_v32?0"MGGroupIdentifier"8Q16^B24l
000000021f1bbe08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64r_e17_v16?0"NSError"8l
000000021f1bbc78 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64r_e5_v8?0l
000000021f1bbcd8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e43_v32?0"MGGroupIdentifier"8"MGGroup"16^B24l
000000021f1bbc18 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e43_v32?0"NSUUID"8"MGOutstandingQuery"16^B24l
000000021f1bbc48 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e5_v8?0l
000000021f1bbe38 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_80_e8_32s40s48s56s64r72r_e32_v24?0"MGOutstandingQuery"8^B16l
000000021f1bbd38 (__AUTH_CONST,__const) non-external (was a private external) ___block_literal_global
000000021f1bbd58 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021f1bbf88 (__AUTH_CONST,__const) non-external ___block_literal_global.117
000000021f1bbfa8 (__AUTH_CONST,__const) non-external ___block_literal_global.128
000000021f1bbfc8 (__AUTH_CONST,__const) non-external ___block_literal_global.130
00000001f8750144 (__TEXT,__text) non-external ___copy_helper_block_e8_32b
00000001f8747818 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001f874425c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00000001f8743ff8 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r56r
00000001f8744448 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001f8747bf8 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48b
00000001f87446d0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48r
00000001f8747740 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001f8747698 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56r
00000001f8744ed8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56r64r
00000001f874b550 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s
00000001f8749588 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64b
00000001f874868c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64r
00000001f874be30 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64r72r
00000001f87481dc (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64s
00000001f8746844 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48w
00000001f874d9a4 (__TEXT,__text) non-external ___copy_helper_block_e8_32w40w48w
00000001f8747820 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001f87442a4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00000001f8744060 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r
00000001f8744484 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001f8744720 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
00000001f8747784 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001f87476f0 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56r
00000001f8744f40 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56r64r
00000001f874b59c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s
00000001f87486ec (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64r
00000001f874bea0 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64r72r
00000001f8748230 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64s
00000001f8746890 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48w
00000001f874d9f8 (__TEXT,__text) non-external ___destroy_helper_block_e8_32w40w48w
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _notify_post (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getAssociatedObject (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000001f87546a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UTF8String
00000001f87546c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUID
00000001f87546e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUIDString
00000001f8754700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_ingestHomeKitHome:
00000001f8754720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_performQueryExchangeUsingGroups:currentIdentifier:
00000001f8754740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_predicateRequiresCurrentDevice:
00000001f8754760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_prepareWithGroups:currentIdentifier:
00000001f8754780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_queryOperation:didFindGroups:
00000001f87547a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_setQueue:
00000001f87547c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_withLock:
00000001f87547e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$accessories
00000001f8754800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$activities
00000001f8754820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addBarrierBlock:
00000001f8754840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addClientService:
00000001f8754860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addGroup:
00000001f8754880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addHomeKitAccessory:fromHome:
00000001f87548a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addHomeKitMediaSystem:fromHome:
00000001f87548c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001f87548e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addOperation:
00000001f8754900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addOutstandingQuery:
00000001f8754920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addQuery:
00000001f8754940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$agent
00000001f8754960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allObjects
00000001f8754980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allValues
00000001f87549a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowEvaluation
00000001f87549c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$andPredicateWithSubpredicates:
00000001f87549e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arguments
00000001f8754a00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayByAddingObject:
00000001f8754a20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
00000001f8754a40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$boolValue
00000001f8754a60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cancel
00000001f8754a80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cancelAllOperations
00000001f8754aa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$category
00000001f8754ac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$categoryType
00000001f8754ae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$clients
00000001f8754b00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$components
00000001f8754b20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compoundPredicateType
00000001f8754b40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$connection
00000001f8754b60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsObject:
00000001f8754b80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsString:
00000001f8754ba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000001f8754bc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001f8754be0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001f8754c00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currentConnection
00000001f8754c20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currentIdentifier
00000001f8754c40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithContentsOfFile:options:error:
00000001f8754c60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$delegate
00000001f8754c80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$deviceIdentifier
00000001f8754ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
