                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffc03d6a275 (__TEXT,__text) external _DRBufferAsResource
00007ffc03d5071d (__TEXT,__text) non-external (was a private external) __ZN2re20xpc_array_get_valuesINS_22DirectMeshVertexLayoutEEEbPU24objcproto13OS_xpc_object8NSObjectRNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d506a4 (__TEXT,__text) non-external (was a private external) __ZN2re20xpc_array_get_valuesINS_25DirectMeshVertexAttributeEEEbPU24objcproto13OS_xpc_object8NSObjectRNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d511e9 (__TEXT,__text) non-external (was a private external) __ZN2re20xpc_array_get_valuesINSt3__18optionalINS_16DirectResourceIdEEELm4EEEbPU24objcproto13OS_xpc_object8NSObjectRAT0__T_
00007ffc03d5a5d2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_10DirectMeshENS_16DirectMeshUpdateEE12ensureUpdateERKNS_16DirectResourceIdE
00007ffc03d5a40a (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_10DirectMeshENS_16DirectMeshUpdateEE6createERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5a538 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_10DirectMeshENS_16DirectMeshUpdateEE7destroyERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5a4a6 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_10DirectMeshENS_16DirectMeshUpdateEE9setUpdateERKNS_16DirectResourceIdENS_9SharedPtrIS2_EE
00007ffc03d5a3bc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_10DirectMeshENS_16DirectMeshUpdateEED2Ev
00007ffc03d5aaca (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_12DirectBufferENS_18DirectBufferUpdateEE12ensureUpdateERKNS_16DirectResourceIdE
00007ffc03d5a902 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_12DirectBufferENS_18DirectBufferUpdateEE6createERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5aa30 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_12DirectBufferENS_18DirectBufferUpdateEE7destroyERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5a99e (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_12DirectBufferENS_18DirectBufferUpdateEE9setUpdateERKNS_16DirectResourceIdENS_9SharedPtrIS2_EE
00007ffc03d5a3bc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_12DirectBufferENS_18DirectBufferUpdateEED2Ev
00007ffc03d5a840 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_13DirectTextureENS_19DirectTextureUpdateEE12ensureUpdateERKNS_16DirectResourceIdE
00007ffc03d5a678 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_13DirectTextureENS_19DirectTextureUpdateEE6createERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5a7a6 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_13DirectTextureENS_19DirectTextureUpdateEE7destroyERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5a714 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_13DirectTextureENS_19DirectTextureUpdateEE9setUpdateERKNS_16DirectResourceIdENS_9SharedPtrIS2_EE
00007ffc03d5a3bc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_13DirectTextureENS_19DirectTextureUpdateEED2Ev
00007ffc03d5ab9a (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_20DirectMemoryResourceES1_E6createERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5acc8 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_20DirectMemoryResourceES1_E7destroyERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5ac36 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_20DirectMemoryResourceES1_E9setUpdateERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5a3bc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_20DirectMemoryResourceES1_ED2Ev
00007ffc03d5b5bc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_24DirectMaterialParametersENS_20DirectMaterialUpdateEE6createERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5b760 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_24DirectMaterialParametersENS_20DirectMaterialUpdateEE7destroyERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffc03d5a3bc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_24DirectMaterialParametersENS_20DirectMaterialUpdateEED2Ev
00007ffc03d5da18 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext10addPayloadENS_10UnownedPtrINS_14DirectResourceEEERKNS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc03d6b3ad (__TEXT,__text) non-external __ZN2re21DirectResourceContext10addPayloadENS_10UnownedPtrINS_14DirectResourceEEERKNS_9SharedPtrINS_20DirectMemoryResourceEEE.cold.1
00007ffc03d5d6f8 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext10createMeshERKNS_21DirectMeshDescriptionE
00007ffc03d5df72 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext10willChangeEPNS_14DirectResourceENS_18DirectResourceSlotENS_22DirectResourceDelegate10ChangeModeEPN3MTL13CommandBufferE
00007ffc03d5d778 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext11addResourceERKNS_9SharedPtrINS_14DirectResourceEEE
00007ffc03d5cc94 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext11sendIfReadyEv
00007ffc03d6b2ec (__TEXT,__text) non-external __ZN2re21DirectResourceContext11sendIfReadyEv.cold.1
00007ffc03d5e5f4 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext11setObserverEU13block_pointerFvPS0_8DRChangePNS_14DirectResourceEE
00007ffc03d5d918 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext12createBufferERKNS_23DirectBufferDescriptionE
00007ffc03d5c968 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13createPayloadENS_10UnownedPtrINS_14DirectResourceEEENS_18DirectResourceSlotENS0_23ResourceAcquisitionModeE
00007ffc03d5d898 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13createTextureERKNS_24DirectTextureDescriptionE
00007ffc03d5c28e (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13freeListReadyEy
00007ffc03d5ddb4 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13removePayloadERKNS_16DirectResourceIdE
00007ffc03d5decc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13tryWillChangeEPNS_14DirectResourceENS_18DirectResourceSlotENS_22DirectResourceDelegate10ChangeModeEPN3MTL13CommandBufferE
00007ffc03d5d998 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext14createMaterialERKNS_25DirectMaterialDescriptionE
00007ffc03d5e912 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext14freeListAppendEONS_9SharedPtrINS_24DirectResourcesReuseListEEE
00007ffc03d5dc02 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext14removeResourceEPNS_14DirectResourceE
00007ffc03d5e3f6 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext15destroyResourceEPNS_14DirectResourceE
00007ffc03d5e620 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext16setBeginCallbackENSt3__18functionIFvPS0_yEEE
00007ffc03d5c8a6 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext17ensureUncommittedEv
00007ffc03d5e12c (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext17payloadCanReplaceEPNS_20DirectMemoryResourceEPNS_14DirectResourceENS_18DirectResourceSlotE
00007ffc03d5e2f2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext17payloadDidReplaceEPNS_14DirectResourceENS_18DirectResourceSlotE
00007ffc03d5e194 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext18payloadWillReplaceEPNS_14DirectResourceENS_18DirectResourceSlotE
00007ffc03d5dae6 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext19addExistingResourceENS_9SharedPtrINS_14DirectResourceEEE
00007ffc03d5e6a6 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext19setCompleteCallbackENSt3__18functionIFvPS0_PNS_22DirectResourceCommandsEEEE
00007ffc03d5cf0a (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext25destroyPayloads_anyThreadENSt3__16vectorINS_16DirectResourceIdENS1_9allocatorIS3_EEEE
00007ffc03d5cc18 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext25ensureUncommittedFreeListEv
00007ffc03d5c6a2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext26recreatePayloadIfNecessaryEPNS_14DirectResourceENS_18DirectResourceSlotENS_22DirectResourceDelegate10ChangeModeEPN3MTL13CommandBufferENS0_23ResourceAcquisitionModeE
00007ffc03d5e6b4 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext6commitEv
00007ffc03d5e01a (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext9didChangeEPNS_14DirectResourceENS_18DirectResourceSlotEPN3MTL13CommandBufferE
00007ffc03d5d494 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextC1ENS0_6ConfigE
00007ffc03d5d32e (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextC2ENS0_6ConfigE
00007ffc03d5d6a2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextD0Ev
00007ffc03d5d68a (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextD1Ev
00007ffc03d5d49e (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextD2Ev
00007ffc03d5b0dc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitC1Ev
00007ffc03d5af8c (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitC2Ev
00007ffc03d5b152 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitD0Ev
00007ffc03d5b148 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitD1Ev
00007ffc03d5b0e6 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitD2Ev
00007ffc03d52f8d (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withIKNSt3__18optionalINS_16DirectResourceIdEEEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d55671 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_15DestroyResourceEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d55112 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_16CreateDirectMeshEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d551b4 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_16UpdateDirectMeshEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d55494 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_18CreateDirectBufferEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d55533 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_18UpdateDirectBufferEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d555d2 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_19CreateDirectPayloadEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d552d6 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_19CreateDirectTextureEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d55375 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_19UpdateDirectTextureEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d52eee (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_22DirectMeshVertexLayoutEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d50895 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_22DirectMeshVertexLayoutEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d52e4f (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_25DirectMeshVertexAttributeEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffc03d50869 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_25DirectMeshVertexAttributeEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d51435 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINSt3__18optionalINS_16DirectResourceIdEEELm4EEEPU24objcproto13OS_xpc_object8NSObjectRAT0__KT_
00007ffc03d50368 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_dictionary_createESt16initializer_listINSt3__14pairIPKcPU24objcproto13OS_xpc_object8NSObjectEEE
00007ffc03d6a5e8 (__TEXT,__text) non-external __ZN2re22DirectBufferDescriptorD0Ev
00007ffc03d6a5de (__TEXT,__text) non-external __ZN2re22DirectBufferDescriptorD1Ev
00007ffc03d66104 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectBufferValidation12isWellFormedERKNS_23DirectBufferDescriptionE
00007ffc03d66154 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectBufferValidation16isValidBytesUsedEmRKNS_23DirectBufferDescriptionE
00007ffc03d6611a (__TEXT,__text) non-external (was a private external) __ZN2re22DirectBufferValidation7isValidEPKNS_12DirectBufferE
00007ffc03d53098 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectResourceCommandsD0Ev
00007ffc03d5308e (__TEXT,__text) non-external (was a private external) __ZN2re22DirectResourceCommandsD1Ev
00007ffc03d530be (__TEXT,__text) non-external (was a private external) __ZN2re22DirectResourceCommandsD2Ev
00007ffc03d55885 (__TEXT,__text) non-external (was a private external) __ZN2re22isPrivateToThisProcessENS_20DirectMemoryResource4TypeE
00007ffc03d6939e (__TEXT,__text) non-external __ZN2re23DirectTextureDescriptorD0Ev
00007ffc03d69394 (__TEXT,__text) non-external __ZN2re23DirectTextureDescriptorD1Ev
00007ffc03d59220 (__TEXT,__text) non-external (was a private external) __ZN2re23DirectTextureValidation12isWellFormedERKNS_24DirectTextureDescriptionE
00007ffc03d4f498 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParameters10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc03d4f4b4 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParameters14attachToDeviceEPN3MTL6DeviceE
00007ffc03d4f1aa (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParameters6createERKNS_25DirectMaterialDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffc03d4f20c (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParametersC2ERKNS_25DirectMaterialDescriptionE
00007ffc03d4f3c6 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParametersD0Ev
00007ffc03d4f3bc (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParametersD1Ev
00007ffc03d4f368 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParametersD2Ev
00007ffc03d65236 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReuseList3addENS_16DirectResourceIdENS_18DirectResourceTypeENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc03d651a0 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReuseListC1Ey
00007ffc03d651fc (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReuseListD0Ev
00007ffc03d651d4 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReuseListD1Ev
00007ffc03d65772 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePool11purgeBeforeEy
00007ffc03d65942 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePool13purgePayloadsENS_16DirectResourceIdE
00007ffc03d6547e (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePool4takeENS_16DirectResourceIdENS_18DirectResourceTypeENS_18DirectResourceSlotE
00007ffc03d65672 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePool9mergeFromEONS_24DirectResourcesReuseListE
00007ffc03d65458 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePoolC1Ev
00007ffc03d65474 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePoolD1Ev
00007ffc03d5ec04 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue13commitThroughEyNSt3__18functionIFvRKNS_19DirectResourceEventEyEEE
00007ffc03d5ef72 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue22takeCommits_threadSafeEPS0_
00007ffc03d5edfe (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue24enqueueCommit_threadSafeENS_9SharedPtrINS_29DirectResourcesResolvedCommitEEE
00007ffc03d5effc (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue29takeCommitsThrough_threadSafeEPS0_y
00007ffc03d5eb82 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue9enumerateENSt3__18functionIFbPKNS_29DirectResourcesResolvedCommitEEEE
00007ffc03d5eafc (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueC1ENS_10UnownedPtrINS_21DirectResourceContextEEE
00007ffc03d5ea94 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueC2ENS_10UnownedPtrINS_21DirectResourceContextEEE
00007ffc03d5eb5c (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueD0Ev
00007ffc03d5eb52 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueD1Ev
00007ffc03d5eb06 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueD2Ev
00007ffc03d5f256 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver10destroyAllEv
00007ffc03d5f482 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver13receiveCommitEPvPNS_26DirectResourcesCommitQueueE
00007ffc03d5f5e0 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver18validateAndResolveERKNS_9SharedPtrINS_21DirectResourcesCommitEEE
00007ffc03d6b3d0 (__TEXT,__text) non-external __ZN2re28DirectResourceClientReceiver18validateAndResolveERKNS_9SharedPtrINS_21DirectResourcesCommitEEE.cold.1
00007ffc03d5f3b8 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver21resolvePayloadChangesERKNS_21DirectResourceChangesINS_20DirectMemoryResourceES2_EE
00007ffc03d5f55e (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver4loadERKNS_9SharedPtrINS_22DirectResourceCommandsEEE
00007ffc03d5f9ea (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver7resolveINS_10DirectMeshENS_16DirectMeshUpdateEEENS_23ResolvedResourceChangesIT_T0_EERKNS_21DirectResourceChangesIS5_S6_EERNSt3__113unordered_mapINS_16DirectResourceIdENS_9SharedPtrIS5_EENSC_4hashISE_EENSC_8equal_toISE_EENSC_9allocatorINSC_4pairIKSE_SG_EEEEEE
00007ffc03d5fcde (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver7resolveINS_12DirectBufferENS_18DirectBufferUpdateEEENS_23ResolvedResourceChangesIT_T0_EERKNS_21DirectResourceChangesIS5_S6_EERNSt3__113unordered_mapINS_16DirectResourceIdENS_9SharedPtrIS5_EENSC_4hashISE_EENSC_8equal_toISE_EENSC_9allocatorINSC_4pairIKSE_SG_EEEEEE
00007ffc03d5ffd2 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver7resolveINS_13DirectTextureENS_19DirectTextureUpdateEEENS_23ResolvedResourceChangesIT_T0_EERKNS_21DirectResourceChangesIS5_S6_EERNSt3__113unordered_mapINS_16DirectResourceIdENS_9SharedPtrIS5_EENSC_4hashISE_EENSC_8equal_toISE_EENSC_9allocatorINSC_4pairIKSE_SG_EEEEEE
00007ffc03d5f1b2 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverC1EyP16dispatch_queue_sPN3MTL6DeviceE
00007ffc03d5f10e (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverC2EyP16dispatch_queue_sPN3MTL6DeviceE
00007ffc03d5f230 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverD0Ev
00007ffc03d5f226 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverD1Ev
00007ffc03d5f1bc (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverD2Ev
00007ffc03d5b7fa (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit10addPayloadENS_10UnownedPtrINS_20DirectMemoryResourceEEE
00007ffc03d5b438 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit11addResourceENS_10UnownedPtrINS_14DirectResourceEEE
00007ffc03d5b980 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit12ensureUpdateEPNS_14DirectResourceE
00007ffc03d6b280 (__TEXT,__text) non-external __ZN2re28DirectResourcesPendingCommit12ensureUpdateEPNS_14DirectResourceE.cold.1
00007ffc03d5bed6 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit12forEachFenceERKNSt3__18functionIFvPNS_11DirectFenceEEEE
00007ffc03d5b90e (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit13removePayloadENS_16DirectResourceIdE
00007ffc03d5b884 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit13updatePayloadENS_10UnownedPtrINS_20DirectMemoryResourceEEE
00007ffc03d5b422 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit14setUserPayloadERKNS_9XPCObjectE
00007ffc03d5b658 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit15destroyResourceENS_18DirectResourceTypeENS_16DirectResourceIdE
00007ffc03d5bb5c (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit16addCommandBufferEPN3MTL13CommandBufferE
00007ffc03d5bf48 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit25fenceCompleted_threadSafeEPNS_11DirectFenceE
00007ffc03d5bcdc (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit8addFenceENS_10UnownedPtrINS_11DirectFenceEEE
00007ffc03d5c064 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit9scheduledEv
00007ffc03d6b2c6 (__TEXT,__text) non-external __ZN2re28DirectResourcesPendingCommit9scheduledEv.cold.1
00007ffc03d5b30e (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommitC2ENS_10UnownedPtrINS_21DirectResourceContextEEE
00007ffc03d5b3fa (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommitD0Ev
00007ffc03d5b3f0 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommitD1Ev
00007ffc03d5b382 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommitD2Ev
00007ffc03d5c0d4 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourceCommitSignalingC2ENS_10UnownedPtrINS_21DirectResourceContextEEEPN3MTL6DeviceE
00007ffc03d5c67a (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourceCommitSignalingD0Ev
00007ffc03d5c670 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourceCommitSignalingD1Ev
00007ffc03d5c624 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourceCommitSignalingD2Ev
00007ffc03d5ae46 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourcesResolvedCommitD0Ev
00007ffc03d5ae3c (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourcesResolvedCommitD1Ev
00007ffc03d5ad64 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourcesResolvedCommitD2Ev
00007ffc03d52999 (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_15DestroyResourceEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d55092 (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_16CreateDirectMeshEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d550d2 (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_16UpdateDirectMeshEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d55414 (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_18CreateDirectBufferEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d55454 (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_18UpdateDirectBufferEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffc03d52959 (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_19CreateDirectPayloadEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
