00000001d548ffd0 (__DATA,__data) external _NDR_record
00000001d33043a0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001d3304708 (__DATA_CONST,__const) non-external _err_codes_exception
00000001d33043e0 (__DATA_CONST,__const) non-external _err_codes_execd
00000001d33044e0 (__DATA_CONST,__const) non-external _err_codes_io
00000001d3305048 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001d3304c80 (__DATA_CONST,__const) non-external _err_codes_iokit_common
000000018042ba28 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001d3304f10 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
000000018042ba68 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001d3304e30 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
000000018042ba38 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001d3303f88 (__DATA_CONST,__const) non-external _err_codes_kern
00000001d3304b10 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001d3304b80 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001d3304b20 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001d33046d8 (__DATA_CONST,__const) non-external _err_codes_loader
00000001d3304ac0 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001d3304a38 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001d3304980 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001d33046a8 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001d3304940 (__DATA_CONST,__const) non-external _err_codes_mig
00000001d3304400 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001d3304380 (__DATA_CONST,__const) non-external _err_codes_netname
00000001d3304450 (__DATA_CONST,__const) non-external _err_codes_ns
00000001d33048f8 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001d3304898 (__DATA_CONST,__const) non-external _err_codes_send
00000001d3304618 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001d3304420 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001d3304418 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001d3304150 (__DATA_CONST,__const) non-external _err_codes_unix
00000001d3304558 (__DATA_CONST,__const) non-external _err_codes_us
00000001d3304740 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001d3304830 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001d3303da8 (__DATA_CONST,__const) non-external _err_iokit_sub
000000018042ba18 (__TEXT,__const) non-external _err_iokit_sub_map
00000001d3303c40 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001d3303d30 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001d3303cb8 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001d3303920 (__DATA_CONST,__const) non-external _err_os_sub
00000001d33039c0 (__DATA_CONST,__const) non-external _err_server_sub
000000018042b9f0 (__TEXT,__const) non-external _err_us_sub
00000001d65f4590 (__DATA_DIRTY,__common) external _errno
0000000180428110 (__TEXT,__text) external _etap_trace_thread
0000000180416c54 (__TEXT,__text) external _exc_server
0000000180416c20 (__TEXT,__text) external _exc_server_routine
000000018041626c (__TEXT,__text) external _exception_raise
00000001804163e8 (__TEXT,__text) external _exception_raise_state
000000018041665c (__TEXT,__text) external _exception_raise_state_identity
0000000180404f60 (__TEXT,__text) external _exchangedata
000000018040acb8 (__TEXT,__text) external _exclaves_boot
000000018040abcc (__TEXT,__text) external _exclaves_endpoint_call
000000018040ac60 (__TEXT,__text) external _exclaves_named_buffer_copyin
000000018040ac8c (__TEXT,__text) external _exclaves_named_buffer_copyout
000000018040ac3c (__TEXT,__text) external _exclaves_named_buffer_create
00000001804012a8 (__TEXT,__text) external _execve
00000001d5490070 (__DATA,__bss) non-external _execve_with_filter
0000000180406bf0 (__TEXT,__text) external _faccessat
0000000180406c1c (__TEXT,__text) external _fchdir
00000001803fdf14 (__TEXT,__text) external _fchflags
00000001803fcfa0 (__TEXT,__text) external _fchmod
0000000180406c48 (__TEXT,__text) external _fchmodat
00000001803fe358 (__TEXT,__text) external _fchown
0000000180406c74 (__TEXT,__text) external _fchownat
0000000180406ca0 (__TEXT,__text) external _fclonefileat
00000001803f9390 (__TEXT,__text) external _fcntl
00000001803fcb6c (__TEXT,__text) external _fcntl$NOCANCEL
0000000180406ccc (__TEXT,__text) external _fdatasync
00000001804004e4 (__TEXT,__text) external _ffsctl
00000001803fc22c (__TEXT,__text) external _fgetattrlist
00000001803fcee8 (__TEXT,__text) external _fgetxattr
0000000180406cf8 (__TEXT,__text) external _fhopen
00000001803febdc (__TEXT,__text) external _fileport_makefd
00000001803fee5c (__TEXT,__text) external _fileport_makeport
0000000180404e74 (__TEXT,__text) external _flistxattr
00000001803fc870 (__TEXT,__text) external _flock
0000000180406d24 (__TEXT,__text) external _fmount
0000000180406d50 (__TEXT,__text) external _fpathconf
000000018040a974 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
0000000180406d7c (__TEXT,__text) external _freadlink
0000000180406da8 (__TEXT,__text) external _fremovexattr
0000000180412518 (__TEXT,__text) external _fs_snapshot_create
0000000180412534 (__TEXT,__text) external _fs_snapshot_delete
0000000180401198 (__TEXT,__text) external _fs_snapshot_list
00000001804125a4 (__TEXT,__text) external _fs_snapshot_mount
0000000180412550 (__TEXT,__text) external _fs_snapshot_rename
000000018041256c (__TEXT,__text) external _fs_snapshot_revert
0000000180412588 (__TEXT,__text) external _fs_snapshot_root
00000001803fc200 (__TEXT,__text) external _fsctl
00000001803fe32c (__TEXT,__text) external _fsetattrlist
00000001803fdd50 (__TEXT,__text) external _fsetxattr
00000001803fc2ec (__TEXT,__text) external _fsgetpath
0000000180406dd4 (__TEXT,__text) external _fsgetpath_ext
0000000180406e2c (__TEXT,__text) external _fstat
0000000180406e2c (__TEXT,__text) external _fstat64
0000000180406e84 (__TEXT,__text) external _fstatat
0000000180406e84 (__TEXT,__text) external _fstatat64
000000018040452c (__TEXT,__text) external _fstatfs
000000018040452c (__TEXT,__text) external _fstatfs64
00000001803fc39c (__TEXT,__text) external _fsync
0000000180405aa8 (__TEXT,__text) external _fsync$NOCANCEL
00000001803fbff4 (__TEXT,__text) external _ftruncate
000000018040cbec (__TEXT,__text) external _futimens
00000001803fdf40 (__TEXT,__text) external _futimes
00000001d548ffd8 (__DATA,__crash_info) non-external _gCRAnnotations
00000001803f92b0 (__TEXT,__text) external _getattrlist
0000000180406edc (__TEXT,__text) external _getattrlistat
00000001803fc04c (__TEXT,__text) external _getattrlistbulk
00000001804158bc (__TEXT,__text) external _getaudit
00000001803fac68 (__TEXT,__text) external _getaudit_addr
0000000180406f08 (__TEXT,__text) external _getauid
0000000180406f34 (__TEXT,__text) external _getdirentries
0000000180406f60 (__TEXT,__text) external _getdirentriesattr
0000000180401638 (__TEXT,__text) external _getdtablesize
00000001803fa41c (__TEXT,__text) external _getegid
00000001803f8db0 (__TEXT,__text) external _getentropy
00000001803f9ba4 (__TEXT,__text) external _geteuid
0000000180406f8c (__TEXT,__text) external _getfh
0000000180406fe4 (__TEXT,__text) external _getfsstat
0000000180406fe4 (__TEXT,__text) external _getfsstat64
00000001803fcae8 (__TEXT,__text) external _getgid
00000001803fe384 (__TEXT,__text) external _getgroups
00000001803fe118 (__TEXT,__text) external _gethostuuid
00000001803fd0c8 (__TEXT,__text) external _getiopolicy_np
0000000180407010 (__TEXT,__text) external _getitimer
00000001803fcf74 (__TEXT,__text) external _getpeername
0000000180402e50 (__TEXT,__text) external _getpgid
000000018040127c (__TEXT,__text) external _getpgrp
00000001803f8dec (__TEXT,__text) external _getpid
00000001803feee0 (__TEXT,__text) external _getppid
00000001804010bc (__TEXT,__text) external _getpriority
00000001803fac34 (__TEXT,__text) external _getrlimit
00000001804002a4 (__TEXT,__text) external _getrusage
0000000180405ad4 (__TEXT,__text) external _getsgroups_np
000000018040703c (__TEXT,__text) external _getsid
0000000180400510 (__TEXT,__text) external _getsockname
00000001803fce90 (__TEXT,__text) external _getsockopt
00000001803fa3c4 (__TEXT,__text) external _getuid
0000000180405b00 (__TEXT,__text) external _getwgroups_np
00000001803fba64 (__TEXT,__text) external _getxattr
0000000180407068 (__TEXT,__text) external _grab_pgo_data
0000000180407094 (__TEXT,__text) external _graftdmg
00000001803fc370 (__TEXT,__text) external _guarded_close_np
00000001804035a8 (__TEXT,__text) external _guarded_kqueue_np
000000018040a9ec (__TEXT,__text) external _guarded_open_dprotected_np
00000001803fc0fc (__TEXT,__text) external _guarded_open_np
00000001803fc158 (__TEXT,__text) external _guarded_pwrite_np
0000000180400674 (__TEXT,__text) external _guarded_write_np
00000001804070c0 (__TEXT,__text) external _guarded_writev_np
0000000180430e94 (__TEXT,__cstring) non-external _hex
000000018040aa3c (__TEXT,__text) external _host_check_multiuser_mode
00000001803f9968 (__TEXT,__text) external _host_create_mach_voucher
00000001803f8930 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000180417238 (__TEXT,__text) external _host_default_memory_manager
0000000180418c88 (__TEXT,__text) external _host_get_UNDServer
000000018040aa1c (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180416cdc (__TEXT,__text) external _host_get_boot_info
000000018041792c (__TEXT,__text) external _host_get_clock_control
00000001803fe784 (__TEXT,__text) external _host_get_clock_service
0000000180418120 (__TEXT,__text) external _host_get_exception_ports
0000000180419948 (__TEXT,__text) external _host_get_io_main
00000001803fc3c8 (__TEXT,__text) external _host_get_io_master
000000018040aa34 (__TEXT,__text) external _host_get_multiuser_config_flags
00000001803f95b4 (__TEXT,__text) external _host_get_special_port
00000001803fd7e8 (__TEXT,__text) external _host_info
00000001804192c4 (__TEXT,__text) external _host_kernel_version
000000018041a230 (__TEXT,__text) external _host_lockgroup_info
000000018040ab9c (__TEXT,__text) external _host_page_size
0000000180417014 (__TEXT,__text) external _host_priv_statistics
00000001804197a8 (__TEXT,__text) external _host_processor_info
00000001804189ec (__TEXT,__text) external _host_processor_set_priv
0000000180418868 (__TEXT,__text) external _host_processor_sets
00000001804177a8 (__TEXT,__text) external _host_processors
0000000180416ef4 (__TEXT,__text) external _host_reboot
000000018041a8b4 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
000000018041aa48 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001803fa92c (__TEXT,__text) external _host_request_notification
0000000180418fd8 (__TEXT,__text) external _host_security_create_task_token
000000018041917c (__TEXT,__text) external _host_security_set_task_token
000000018040b04c (__TEXT,__text) external _host_self
00000001803f87e0 (__TEXT,__text) external _host_self_trap
0000000180418b64 (__TEXT,__text) external _host_set_UNDServer
000000018041abd0 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180417fe8 (__TEXT,__text) external _host_set_exception_ports
000000018041af08 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180417eb4 (__TEXT,__text) external _host_set_special_port
0000000180402f50 (__TEXT,__text) external _host_statistics
00000001804027d4 (__TEXT,__text) external _host_statistics64
00000001804183f4 (__TEXT,__text) external _host_swap_exception_ports
0000000180419c2c (__TEXT,__text) external _host_virtual_physical_table_info
00000001d548ffb0 (__DATA,__data) external _important_boost_assertion_token
00000001da437f70 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
000000018040a8c4 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001d548ffa0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
000000018040a7f4 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001d548ff98 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
000000018040a710 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001d548ff90 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001803fcd84 (__TEXT,__text) external _ioctl
00000001803f85a4 (__TEXT,__text) external _issetugid
00000001d5490058 (__DATA,__bss) non-external _kAccountingThreshold
00000001804070ec (__TEXT,__text) external _kas_info
00000001803f8440 (__TEXT,__text) external _kdebug_is_enabled
0000000180412738 (__TEXT,__text) external _kdebug_signpost
0000000180402f40 (__TEXT,__text) external _kdebug_signpost_end
0000000180402e8c (__TEXT,__text) non-external _kdebug_signpost_internal
0000000180402e7c (__TEXT,__text) external _kdebug_signpost_start
00000001804126e8 (__TEXT,__text) external _kdebug_timestamp
0000000180412700 (__TEXT,__text) external _kdebug_timestamp_from_absolute
000000018041271c (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001803f8524 (__TEXT,__text) external _kdebug_trace
00000001803fb3ec (__TEXT,__text) external _kdebug_trace_string
00000001803f84a0 (__TEXT,__text) external _kdebug_typefilter
00000001d65f4c10 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001804126d4 (__TEXT,__text) external _kdebug_using_continuous_time
00000001803fe9f8 (__TEXT,__text) external _kevent
0000000180404800 (__TEXT,__text) external _kevent64
00000001803fa5e0 (__TEXT,__text) external _kevent_id
00000001803fa5b4 (__TEXT,__text) external _kevent_qos
0000000180418de8 (__TEXT,__text) external _kext_request
0000000180400b28 (__TEXT,__text) external _kill
0000000180417d0c (__TEXT,__text) external _kmod_control
0000000180417a9c (__TEXT,__text) external _kmod_create
0000000180417bec (__TEXT,__text) external _kmod_destroy
0000000180419aa8 (__TEXT,__text) external _kmod_get_info
00000001804159a8 (__TEXT,__text) external _kpersona_alloc
0000000180415a28 (__TEXT,__text) external _kpersona_dealloc
0000000180415af4 (__TEXT,__text) external _kpersona_find
0000000180415bd4 (__TEXT,__text) external _kpersona_find_by_type
00000001803fcaa8 (__TEXT,__text) external _kpersona_get
0000000180415a6c (__TEXT,__text) external _kpersona_getpath
00000001803fc7a8 (__TEXT,__text) external _kpersona_info
00000001804159e8 (__TEXT,__text) external _kpersona_palloc
0000000180415ab0 (__TEXT,__text) external _kpersona_pidinfo
00000001803fe9cc (__TEXT,__text) external _kqueue
00000001803fe3b0 (__TEXT,__text) external _lchown
0000000180407118 (__TEXT,__text) external _ledger
00000001803fd18c (__TEXT,__text) external _link
0000000180407144 (__TEXT,__text) external _linkat
0000000180407170 (__TEXT,__text) external _lio_listio
00000001804011cc (__TEXT,__text) external _listen
00000001803fc078 (__TEXT,__text) external _listxattr
0000000180422e54 (__TEXT,__text) external _lock_set_create
0000000180422fc0 (__TEXT,__text) external _lock_set_destroy
000000018040d190 (__TEXT,__text) external _log_data_as_kernel
00000001803fa190 (__TEXT,__text) external _lseek
000000018040440c (__TEXT,__text) external _lstat
000000018040440c (__TEXT,__text) external _lstat64
00000001803f8d14 (__TEXT,__text) external _mach_absolute_time
00000001803f8d98 (__TEXT,__text) external _mach_absolute_time_kernel
00000001803f9ff0 (__TEXT,__text) external _mach_approximate_time
000000018040c8c8 (__TEXT,__text) external _mach_boottime_usec
00000001803fff40 (__TEXT,__text) external _mach_continuous_approximate_time
00000001803f8c9c (__TEXT,__text) external _mach_continuous_time
00000001803f8da4 (__TEXT,__text) external _mach_continuous_time_kernel
000000018040ab14 (__TEXT,__text) external _mach_error
00000001d5490028 (__DATA,__common) external _mach_error_full_diag
00000001803ff044 (__TEXT,__text) external _mach_error_string
00000001803ff068 (__TEXT,__text) non-external _mach_error_string_int
000000018040aa44 (__TEXT,__text) external _mach_error_type
000000018042a4f0 (__TEXT,__text) external _mach_eventlink_associate
000000018042a230 (__TEXT,__text) external _mach_eventlink_create
000000018042a3d0 (__TEXT,__text) external _mach_eventlink_destroy
000000018042a638 (__TEXT,__text) external _mach_eventlink_disassociate
000000018040cb50 (__TEXT,__text) external _mach_eventlink_signal
000000018040cbac (__TEXT,__text) external _mach_eventlink_signal_wait_until
000000018040cb6c (__TEXT,__text) external _mach_eventlink_wait_until
00000001803f887c (__TEXT,__text) external _mach_generate_activity_id
00000001803fa844 (__TEXT,__text) external _mach_get_times
00000001803f95b0 (__TEXT,__text) external _mach_host_self
0000000180408ff8 (__TEXT,__text) external _mach_host_special_port_description
00000001d3303790 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
0000000180409058 (__TEXT,__text) external _mach_host_special_port_for_id
00000001d548fe18 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001803fe628 (__TEXT,__text) external _mach_init
00000001d65f4bf8 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
00000001803fe660 (__TEXT,__text) non-external _mach_init_doit
000000018041f43c (__TEXT,__text) external _mach_make_memory_entry
00000001803f9e24 (__TEXT,__text) external _mach_make_memory_entry_64
0000000180429f78 (__TEXT,__text) external _mach_memory_entry_access_tracking
000000018042a0f8 (__TEXT,__text) external _mach_memory_entry_ownership
0000000180429e1c (__TEXT,__text) external _mach_memory_entry_purgable_control
000000018041acf0 (__TEXT,__text) external _mach_memory_info
0000000180419618 (__TEXT,__text) external _mach_memory_object_memory_entry
000000018041a0a0 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001803f8c20 (__TEXT,__text) external _mach_msg
000000018040ace0 (__TEXT,__text) external _mach_msg2_internal
00000001803f88ac (__TEXT,__text) external _mach_msg2_trap
00000001803f9720 (__TEXT,__text) external _mach_msg_destroy
00000001803f985c (__TEXT,__text) non-external _mach_msg_destroy_port
0000000180401314 (__TEXT,__text) external _mach_msg_overwrite
00000001803f87f8 (__TEXT,__text) external _mach_msg_overwrite_trap
000000018040ae2c (__TEXT,__text) external _mach_msg_priority_encode
000000018040ae1c (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
000000018040ae60 (__TEXT,__text) external _mach_msg_priority_overide_qos
000000018040ae70 (__TEXT,__text) external _mach_msg_priority_qos
000000018040ae80 (__TEXT,__text) external _mach_msg_priority_relpri
0000000180404ea0 (__TEXT,__text) external _mach_msg_receive
00000001803fd150 (__TEXT,__text) external _mach_msg_send
00000001804007c0 (__TEXT,__text) external _mach_msg_server
00000001804015d0 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
000000018040ae18 (__TEXT,__text) external _mach_msg_server_importance
0000000180403b8c (__TEXT,__text) external _mach_msg_server_once
00000001803f87ec (__TEXT,__text) external _mach_msg_trap
00000001804202dc (__TEXT,__text) external _mach_notify_dead_name
0000000180420218 (__TEXT,__text) external _mach_notify_no_senders
000000018042013c (__TEXT,__text) external _mach_notify_port_deleted
00000001804201a4 (__TEXT,__text) external _mach_notify_port_destroyed
0000000180420280 (__TEXT,__text) external _mach_notify_send_once
00000001803faa60 (__TEXT,__text) external _mach_port_allocate
000000018041541c (__TEXT,__text) external _mach_port_allocate_full
0000000180415408 (__TEXT,__text) external _mach_port_allocate_name
0000000180415418 (__TEXT,__text) external _mach_port_allocate_qos
000000018041568c (__TEXT,__text) external _mach_port_assert_attributes
00000001803f99f8 (__TEXT,__text) external _mach_port_construct
00000001803f9bd0 (__TEXT,__text) external _mach_port_deallocate
00000001803fe114 (__TEXT,__text) external _mach_port_destroy
00000001803fa224 (__TEXT,__text) external _mach_port_destruct
00000001804155bc (__TEXT,__text) external _mach_port_dnrequest_info
00000001803fbf00 (__TEXT,__text) external _mach_port_extract_member
0000000180402b98 (__TEXT,__text) external _mach_port_extract_right
00000001803fb1f0 (__TEXT,__text) external _mach_port_get_attributes
00000001803fdd7c (__TEXT,__text) external _mach_port_get_context
00000001803fbd48 (__TEXT,__text) external _mach_port_get_refs
0000000180415688 (__TEXT,__text) external _mach_port_get_service_port_info
0000000180404a74 (__TEXT,__text) external _mach_port_get_set_status
0000000180415424 (__TEXT,__text) external _mach_port_get_srights
00000001803fb758 (__TEXT,__text) external _mach_port_guard
000000018041567c (__TEXT,__text) external _mach_port_guard_with_flags
00000001803faad0 (__TEXT,__text) external _mach_port_insert_member
00000001803facfc (__TEXT,__text) external _mach_port_insert_right
0000000180415684 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001804155c0 (__TEXT,__text) external _mach_port_kernel_object
0000000180415604 (__TEXT,__text) external _mach_port_kobject
0000000180415608 (__TEXT,__text) external _mach_port_kobject_description
00000001803f8fac (__TEXT,__text) external _mach_port_mod_refs
00000001803fda0c (__TEXT,__text) external _mach_port_move_member
0000000180415400 (__TEXT,__text) external _mach_port_names
000000018041540c (__TEXT,__text) external _mach_port_peek
0000000180415404 (__TEXT,__text) external _mach_port_rename
00000001803fa690 (__TEXT,__text) external _mach_port_request_notification
00000001803fb27c (__TEXT,__text) external _mach_port_set_attributes
0000000180404950 (__TEXT,__text) external _mach_port_set_context
0000000180415410 (__TEXT,__text) external _mach_port_set_mscount
0000000180415414 (__TEXT,__text) external _mach_port_set_seqno
000000018041542c (__TEXT,__text) external _mach_port_space_basic_info
0000000180415428 (__TEXT,__text) external _mach_port_space_info
0000000180415680 (__TEXT,__text) external _mach_port_swap_guard
00000001803fb4c0 (__TEXT,__text) external _mach_port_type
000000018041560c (__TEXT,__text) external _mach_port_unguard
0000000180404558 (__TEXT,__text) external _mach_ports_lookup
00000001804002d0 (__TEXT,__text) external _mach_ports_register
00000001803f87bc (__TEXT,__text) external _mach_reply_port
000000018040b354 (__TEXT,__text) external _mach_right_recv_construct
000000018040b418 (__TEXT,__text) external _mach_right_recv_destruct
000000018040b4b0 (__TEXT,__text) external _mach_right_send_create
000000018040b5f8 (__TEXT,__text) external _mach_right_send_once_consume
000000018040b58c (__TEXT,__text) external _mach_right_send_once_create
00000001803fd1b8 (__TEXT,__text) external _mach_right_send_release
000000018040b518 (__TEXT,__text) external _mach_right_send_retain
000000018041549c (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
0000000180415548 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
000000018040c8d8 (__TEXT,__text) external _mach_task_is_self
000000018040b350 (__TEXT,__text) external _mach_task_self
00000001d65f4be0 (__DATA_DIRTY,__common) external _mach_task_self_
0000000180409018 (__TEXT,__text) external _mach_task_special_port_description
00000001d33038a0 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
000000018040911c (__TEXT,__text) external _mach_task_special_port_for_id
00000001d548ff10 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001803fe754 (__TEXT,__text) external _mach_thread_self
0000000180409038 (__TEXT,__text) external _mach_thread_special_port_description
00000001d3303900 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
000000018040912c (__TEXT,__text) external _mach_thread_special_port_for_id
00000001d548ff70 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001803f8c44 (__TEXT,__text) external _mach_timebase_info
00000001d65f4c04 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001803f896c (__TEXT,__text) external _mach_timebase_info_trap
00000001803fab80 (__TEXT,__text) external _mach_vm_allocate
000000018041eebc (__TEXT,__text) external _mach_vm_behavior_set
00000001804006a0 (__TEXT,__text) external _mach_vm_copy
00000001803fa320 (__TEXT,__text) external _mach_vm_deallocate
000000018041fc28 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
000000018041fd48 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
000000018041fe68 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
000000018041e824 (__TEXT,__text) external _mach_vm_inherit
000000018041efe0 (__TEXT,__text) external _mach_vm_machine_attribute
00000001803f85d0 (__TEXT,__text) external _mach_vm_map
000000018041ed98 (__TEXT,__text) external _mach_vm_msync
000000018041f734 (__TEXT,__text) external _mach_vm_page_info
000000018041f2d4 (__TEXT,__text) external _mach_vm_page_query
000000018041f920 (__TEXT,__text) external _mach_vm_page_range_query
00000001803fc5e4 (__TEXT,__text) external _mach_vm_protect
00000001803fc188 (__TEXT,__text) external _mach_vm_purgable_control
000000018041ff88 (__TEXT,__text) external _mach_vm_range_create
00000001804157c0 (__TEXT,__text) external _mach_vm_read
000000018041ead4 (__TEXT,__text) external _mach_vm_read_list
0000000180403a38 (__TEXT,__text) external _mach_vm_read_overwrite
000000018040b9d8 (__TEXT,__text) external _mach_vm_reclaim_is_available
000000018040b770 (__TEXT,__text) external _mach_vm_reclaim_mark_free
000000018040b8b4 (__TEXT,__text) external _mach_vm_reclaim_mark_used
000000018040b6a8 (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
000000018040b9fc (__TEXT,__text) external _mach_vm_reclaim_synchronize
000000018040b9c4 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
00000001803fd2c8 (__TEXT,__text) external _mach_vm_region
00000001804037c4 (__TEXT,__text) external _mach_vm_region_recurse
0000000180415690 (__TEXT,__text) external _mach_vm_remap
0000000180415728 (__TEXT,__text) external _mach_vm_remap_new
0000000180418730 (__TEXT,__text) external _mach_vm_wire
000000018041ec5c (__TEXT,__text) external _mach_vm_write
00000001803fd52c (__TEXT,__text) external _mach_voucher_attr_command
00000001803fa1e8 (__TEXT,__text) external _mach_voucher_deallocate
000000018042ac0c (__TEXT,__text) external _mach_voucher_debug_info
000000018042a9b4 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
0000000180403358 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001803fb178 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001803f893c (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001803f8978 (__TEXT,__text) external _mach_wait_until
000000018041a594 (__TEXT,__text) external _mach_zone_force_gc
000000018041b4e0 (__TEXT,__text) external _mach_zone_get_btlog_records
000000018041b34c (__TEXT,__text) external _mach_zone_get_zlog_zones
000000018041a3c4 (__TEXT,__text) external _mach_zone_info
000000018041b19c (__TEXT,__text) external _mach_zone_info_for_largest_zone
000000018041b028 (__TEXT,__text) external _mach_zone_info_for_zone
00000001803f88f4 (__TEXT,__text) external _macx_backing_store_recovery
00000001803f88e8 (__TEXT,__text) external _macx_backing_store_suspend
00000001803f88c4 (__TEXT,__text) external _macx_swapoff
00000001803f88b8 (__TEXT,__text) external _macx_swapon
00000001803f88dc (__TEXT,__text) external _macx_triggers
00000001803fb530 (__TEXT,__text) external _madvise
00000001803ff32c (__TEXT,__text) non-external (was a private external) _malloc
00000001d5490050 (__DATA,__bss) non-external _master_host_port
00000001803f8b7c (__TEXT,__text) non-external _memcpy
0000000180407ffc (__TEXT,__text) non-external _memmove
000000018040184c (__TEXT,__text) external _memorystatus_control
00000001804071c8 (__TEXT,__text) external _memorystatus_get_level
000000018040ae98 (__TEXT,__text) external _mig_allocate
00000001803fbaec (__TEXT,__text) external _mig_dealloc_reply_port
0000000180415430 (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001803fe460 (__TEXT,__text) external _mig_deallocate
00000001803f8b8c (__TEXT,__text) external _mig_get_reply_port
00000001803fa00c (__TEXT,__text) external _mig_get_special_reply_port
00000001803fdc80 (__TEXT,__text) external _mig_put_reply_port
00000001803fd294 (__TEXT,__text) external _mig_reply_setup
00000001803fdc84 (__TEXT,__text) external _mig_strncpy
00000001803fa048 (__TEXT,__text) external _mig_strncpy_zerofill
00000001804071f4 (__TEXT,__text) external _mincore
0000000180407220 (__TEXT,__text) external _minherit
00000001803f899c (__TEXT,__text) external _mk_timer_arm
00000001803f89b4 (__TEXT,__text) external _mk_timer_arm_leeway
00000001803f89a8 (__TEXT,__text) external _mk_timer_cancel
00000001803f8984 (__TEXT,__text) external _mk_timer_create
00000001803f8990 (__TEXT,__text) external _mk_timer_destroy
00000001803fa2f4 (__TEXT,__text) external _mkdir
00000001803fc344 (__TEXT,__text) external _mkdirat
000000018040724c (__TEXT,__text) external _mkfifo
0000000180407278 (__TEXT,__text) external _mkfifoat
00000001804072a4 (__TEXT,__text) external _mknod
00000001804072d0 (__TEXT,__text) external _mknodat
0000000180402748 (__TEXT,__text) external _mlock
00000001804072fc (__TEXT,__text) external _mlockall
00000001803f94c4 (__TEXT,__text) external _mmap
0000000180404edc (__TEXT,__text) external _mount
