00007ff841e9f718 (__DATA,__data) non-external _C
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff8002e5311 (__TEXT,__text) external ___set_ones_D2A
00007ff80029bcd6 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007ff8002edd45 (__TEXT,__text) external ___setonlyClocaleconv
00007ff8002bd981 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff841ea2108 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff841ea2110 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff80030d553 (__TEXT,__text) non-external ___setup_vars
00007ff80030b96d (__TEXT,__text) non-external (was a private external) ___setutxent
00007ff8002a8353 (__TEXT,__text) external ___sflags
00007ff8002a7ddd (__TEXT,__text) external ___sflush
00007ff8002a83ee (__TEXT,__text) external ___sfp
00007ff8002a85ae (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff80029b5f2 (__TEXT,__text) external ___sfvwrite
00007ff8002da120 (__TEXT,__text) non-external (was a private external) ___sgetrune
00007ff841e9f9e0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff8002a3abb (__TEXT,__text) external ___sinit
00007ff8002cfff0 (__TEXT,__text) external ___slbexpand
00007ff8002ae3c5 (__TEXT,__text) external ___smakebuf
00007ff80029b9ad (__TEXT,__text) external ___snprintf_chk
00007ff8003151ec (__TEXT,__text) external ___snprintf_object_size_chk
00007ff8002e0b16 (__TEXT,__text) external ___split_page
00007ff8002fcf67 (__TEXT,__text) non-external ___sprint
00007ff8002a477e (__TEXT,__text) external ___sprintf_chk
00007ff800315335 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff8002da1fa (__TEXT,__text) non-external (was a private external) ___sputrune
00007ff8002ca9d1 (__TEXT,__text) external ___sread
00007ff8002a3973 (__TEXT,__text) external ___srefill
00007ff8002a399a (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff8002a4260 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff8002c0e73 (__TEXT,__text) external ___srget
00007ff8002cab43 (__TEXT,__text) external ___sseek
00007ff800302cee (__TEXT,__text) external ___stack_chk_fail
00007ff843a3b4e0 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
                 (undefined) external ___stat_extended (from libsystem_kernel)
00007ff841e9f9c0 (__DATA,__data) external ___stderrp
00007ff841e9f9b0 (__DATA,__data) external ___stdinp
00007ff80031545f (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff841ea2190 (__DATA,__bss) non-external ___stdout_evp
00007ff841e9f9b8 (__DATA,__data) external ___stdoutp
00007ff8003152e0 (__TEXT,__text) external ___stpcpy_chk
00007ff800315402 (__TEXT,__text) external ___stpncpy_chk
00007ff80029c930 (__TEXT,__text) external ___strcat_chk
00007ff8002e5280 (__TEXT,__text) external ___strcp_D2A
00007ff8002a5c10 (__TEXT,__text) external ___strcpy_chk
00007ff843a39c68 (__DATA_DIRTY,__bss) non-external ___stream_max
00007ff841ea2388 (__DATA,__bss) non-external ___strerror_ebuf
00007ff8002a1354 (__TEXT,__text) external ___strlcat_chk
00007ff80029c172 (__TEXT,__text) external ___strlcpy_chk
00007ff80029e91d (__TEXT,__text) external ___strncat_chk
00007ff8002a4cde (__TEXT,__text) external ___strncpy_chk
00007ff8002ab23c (__TEXT,__text) external ___strtodg
00007ff8002e53ac (__TEXT,__text) external ___strtopdd
00007ff800318570 (__TEXT,__const) non-external ___strtopdd.fpi0
00007ff8002cd058 (__TEXT,__text) external ___strtopx
00007ff841e9f748 (__DATA,__data) non-external ___strtopx.fpi0
00007ff8002c9710 (__TEXT,__text) external ___sum_D2A
00007ff8002f8aac (__TEXT,__text) external ___svfscanf
00007ff8002a15c1 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff800318d30 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff8002cd5d9 (__TEXT,__text) external ___swbuf
00007ff8002ae5b6 (__TEXT,__text) external ___swhatbuf
00007ff8002ccb27 (__TEXT,__text) external ___swrite
00007ff8002bcc2a (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff841e9fac8 (__DATA,__data) non-external ___systemfn_mutex
00007ff841e9fbd0 (__DATA,__data) non-external ___systemfn_mutex
00007ff800318360 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff8002d3489 (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff8002d32a0 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff8002bef1f (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff841ea2380 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff800318330 (__TEXT,__const) external ___tinytens_D2A
00007ff80029ea24 (__TEXT,__text) external ___tolower
00007ff8002ee6eb (__TEXT,__text) external ___tolower_l
00007ff80029ea64 (__TEXT,__text) external ___toupper
00007ff8002ee6cc (__TEXT,__text) external ___toupper_l
00007ff8002c9866 (__TEXT,__text) external ___trailz_D2A
00007ff8002c1bc4 (__TEXT,__text) external ___ulp_D2A
00007ff80029ba96 (__TEXT,__text) non-external ___ultoa
00007ff8002fcbad (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00007ff8002c0efb (__TEXT,__text) external ___ungetc
00007ff8002f846b (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff80029c4ef (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff8003192c0 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff80030c3ce (__TEXT,__text) non-external (was a private external) ___utmpxname
00007ff841ea2460 (__DATA,__bss) non-external ___utx__
00007ff800317ec4 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00007ff800296ca4 (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff800296ff6 (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff8003169ec (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff800318cf0 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff800318d00 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff8002f8d19 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff800318d60 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff800318d70 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff8002fd17e (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff800318e60 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff8002aa32b (__TEXT,__text) external ___vsnprintf_chk
00007ff800315297 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff8002ef2e0 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff8002eefb4 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff8002ee59f (__TEXT,__text) external ___wcwidth
00007ff8002ee70a (__TEXT,__text) external ___wcwidth_l
00007ff8002bd959 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff8002bad65 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff8002d6b6a (__TEXT,__text) non-external ___xlocale_release
00007ff8002caba0 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff8003156d0 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff841e9f720 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff80030b23f (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff8002a9f13 (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff8003062c6 (__TEXT,__text) external __allocenvstate
00007ff8002e580a (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff8002eb680 (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff8002eb6cd (__TEXT,__text) non-external __ascii_mbrtowc
00007ff8002eb713 (__TEXT,__text) non-external __ascii_mbsinit
00007ff8002eb71e (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff8002eb7b1 (__TEXT,__text) non-external __ascii_wcrtomb
00007ff8002eb7e0 (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff8002d2b7d (__TEXT,__text) external __atexit_receipt
00007ff841ea1770 (__DATA,__bss) non-external __atexit_receipt_enabled
00007ff8002ad259 (__TEXT,__text) non-external __backtrace_snprintf
00007ff840026880 (__DATA_CONST,__const) external __c_locale
00007ff8002c3dad (__TEXT,__text) external __cleanup
00007ff8002d48de (__TEXT,__text) external __closeutx
00007ff8003062d0 (__TEXT,__text) external __copyenv
00007ff841e9fac0 (__DATA,__data) external __cthread_init_routine
00007ff80030634e (__TEXT,__text) external __deallocenvstate
00007ff8002ca832 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007ff841ea24a0 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff841ea2498 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff8002e5a68 (__TEXT,__text) non-external (was a private external) __e_visprintf
00007ff80030ba8b (__TEXT,__text) external __endutxent
00007ff8003171a1 (__TEXT,__text) non-external __endutxent.cold.1
00007ff8003171c9 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00007ff8003122cf (__TEXT,__text) non-external (was a private external) __filldir
00007ff8002e8bb9 (__TEXT,__text) non-external (was a private external) __filldir$INODE64
00007ff800312b37 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff80029d140 (__TEXT,__text) non-external (was a private external) __fixtelldir$INODE64
00007ff8002f36ad (__TEXT,__text) external __flockfile_debug_stub
00007ff8002cc713 (__TEXT,__text) external __fseeko
00007ff8002ca9e2 (__TEXT,__text) external __ftello
00007ff8002c3dbe (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00007ff800302e6d (__TEXT,__text) external __getenvp
00007ff80030bd33 (__TEXT,__text) external __getutxent
00007ff8003171f1 (__TEXT,__text) non-external __getutxent.cold.1
00007ff800317219 (__TEXT,__text) non-external __getutxent.cold.2
00007ff80030bda9 (__TEXT,__text) external __getutxid
00007ff800317241 (__TEXT,__text) non-external __getutxid.cold.1
00007ff800317269 (__TEXT,__text) non-external __getutxid.cold.2
00007ff80030bf0c (__TEXT,__text) external __getutxline
00007ff800317291 (__TEXT,__text) non-external __getutxline.cold.1
00007ff8003172b9 (__TEXT,__text) non-external __getutxline.cold.2
00007ff8002a906c (__TEXT,__text) external __inet_aton_check
00007ff8002bad12 (__TEXT,__text) external __init_clock_port
00007ff8003002ff (__TEXT,__text) external __int_to_time
00007ff8002a4dc4 (__TEXT,__text) non-external __isort
00007ff800303e01 (__TEXT,__text) non-external __isort
00007ff80030624e (__TEXT,__text) non-external __legacy_crt1_environ
00007ff843a39c30 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00007ff841ea1d78 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff843a39c28 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00007ff841ea1d70 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff843a39c20 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00007ff841ea1d68 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff8002d9ac5 (__TEXT,__text) external __libc_fork_child
00007ff8002bac77 (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff8002babe9 (__TEXT,__text) external __libc_initializer
00007ff8003002ed (__TEXT,__text) external __long_to_time
00007ff8002d02d0 (__TEXT,__text) non-external __mach_boottime_usec
00007ff8002d2b8c (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00007ff841ea1774 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00007ff843a39c18 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00007ff8002c9569 (__TEXT,__text) non-external __mkdtemp_action
00007ff8002cf5e4 (__TEXT,__text) non-external __mkfilex_np
00007ff8002ba70b (__TEXT,__text) non-external __mkostemps_action
00007ff8002a633e (__TEXT,__text) non-external __mkpath
00007ff8002ca498 (__TEXT,__text) external __mkpath_np
00007ff8002f5086 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff8003168c8 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff8002f4fd0 (__TEXT,__text) external __mktemp
00007ff8002aecd6 (__TEXT,__text) non-external __mktemp_action
00007ff8002ee772 (__TEXT,__text) non-external (was a private external) __none_init
00007ff8002c6a6e (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff8002ee7bf (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff8002ee7ca (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff8002c3d7e (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff8002ee83c (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00007ff841ea1f30 (__DATA,__bss) non-external __onlyClocaleconv
00007ff8002d4841 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff80031573c (__TEXT,__text) external __os_assert_log
00007ff800315b71 (__TEXT,__text) external __os_assert_log_ctx
00007ff8002c0954 (__TEXT,__text) external __os_assumes_log
00007ff80031593d (__TEXT,__text) external __os_assumes_log_ctx
00007ff8002a4957 (__TEXT,__text) external __os_avoid_tail_call
00007ff8003156f3 (__TEXT,__text) external __os_crash
00007ff841ea2488 (__DATA,__common) external __os_crash_callback
00007ff8002da6c2 (__TEXT,__text) external __os_crash_fmt
00007ff800315d7b (__TEXT,__text) non-external __os_crash_fmt.cold.1
00007ff8002da660 (__TEXT,__text) external __os_crash_msg
00007ff80031552e (__TEXT,__text) external __os_debug_log
00007ff8002d4ad3 (__TEXT,__text) external __os_debug_log_error_offset
00007ff8002c0c68 (__TEXT,__text) external __os_debug_log_error_str
00007ff8002c0c7e (__TEXT,__text) non-external __os_debug_log_init
00007ff8002d4b68 (__TEXT,__text) non-external __os_debug_log_open_file
00007ff8002d4951 (__TEXT,__text) non-external __os_debug_log_write
00007ff8002d4ae8 (__TEXT,__text) non-external __os_debug_log_write_error
                 (undefined) external __os_log_default (from libsystem_trace)
00007ff8002c0b8c (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00007ff80029c0b7 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff80029bc72 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff80029c04d (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840026ac0 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff80031b0c0 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff8002bac3b (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff80030768f (__TEXT,__text) non-external __psort
00007ff8003081f4 (__TEXT,__text) non-external __psort
00007ff800308c75 (__TEXT,__text) non-external __psort
00007ff800316e9c (__TEXT,__text) non-external __psort.cold.1
00007ff800316ed8 (__TEXT,__text) non-external __psort.cold.1
00007ff800316f14 (__TEXT,__text) non-external __psort.cold.1
00007ff80030763a (__TEXT,__text) non-external __psort_parallel
00007ff80030819f (__TEXT,__text) non-external __psort_parallel
00007ff800308c1b (__TEXT,__text) non-external __psort_parallel
00007ff8003033fa (__TEXT,__text) external __putenvp
00007ff80030bfe2 (__TEXT,__text) external __pututxline
00007ff8003172e1 (__TEXT,__text) non-external __pututxline.cold.1
00007ff800317309 (__TEXT,__text) non-external __pututxline.cold.2
00007ff8002d353b (__TEXT,__text) non-external __pwuid_r
00007ff8002c9c10 (__TEXT,__text) non-external __qsort
00007ff8003034f4 (__TEXT,__text) non-external __qsort
00007ff841e9f770 (__DATA,__data) external __rand48_add
00007ff841e9f768 (__DATA,__data) external __rand48_mult
00007ff841e9f760 (__DATA,__data) external __rand48_seed
00007ff80031256c (__TEXT,__text) external __readdir_unlocked
00007ff80029cfbb (__TEXT,__text) external __readdir_unlocked$INODE64
00007ff80029d1d6 (__TEXT,__text) external __reclaim_telldir
00007ff8002ae06b (__TEXT,__text) non-external __releaselocale
00007ff8003191d4 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff843a3b528 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00007ff800312a9e (__TEXT,__text) external __seekdir
00007ff8002ca78e (__TEXT,__text) external __seekdir$INODE64
00007ff800306390 (__TEXT,__text) external __setenvp
00007ff80030b9a9 (__TEXT,__text) external __setutxent
00007ff800317155 (__TEXT,__text) non-external __setutxent.cold.1
00007ff80031717b (__TEXT,__text) non-external __setutxent.cold.2
00007ff8002d9bfd (__TEXT,__text) external __sigaction_nobind
00007ff841ea24c0 (__DATA,__common) external __sigintr
00007ff8002ea202 (__TEXT,__text) external __signal_nobind
00007ff8002d01f0 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff8002ea0c3 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff8002a42b9 (__TEXT,__text) external __sread
00007ff8002ae71d (__TEXT,__text) external __sseek
00007ff8002bb437 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff8002d8730 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff8002a08ad (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff8002a0893 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff8002b10b8 (__TEXT,__text) non-external (was a private external) __st_time1
00007ff80029ebcd (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff80030c6a5 (__TEXT,__text) non-external __strfmon
00007ff8002c1f68 (__TEXT,__text) non-external __strptime0
00007ff800318fa0 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff8002d8020 (__TEXT,__text) external __subsystem_init
00007ff8002aa132 (__TEXT,__text) external __swrite
00007ff8002d3460 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff8002a629f (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff8003002c0 (__TEXT,__text) external __time32_to_time
00007ff8003002d2 (__TEXT,__text) external __time64_to_time
00007ff8003002f6 (__TEXT,__text) external __time_to_int
00007ff8003002e4 (__TEXT,__text) external __time_to_long
00007ff8003002c9 (__TEXT,__text) external __time_to_time32
00007ff8003002db (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
00007ff80030640e (__TEXT,__text) external __unsetenvp
00007ff8002d4774 (__TEXT,__text) non-external (was a private external) __utmpx32_64
00007ff8002d47db (__TEXT,__text) non-external (was a private external) __utmpx64_32
00007ff8002d379b (__TEXT,__text) non-external (was a private external) __utmpx_asl
00007ff8003192d1 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00007ff8002d3bf6 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00007ff841ea1778 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00007ff80030c4a6 (__TEXT,__text) external __utmpxname
00007ff800317331 (__TEXT,__text) non-external __utmpxname.cold.1
00007ff800317359 (__TEXT,__text) non-external __utmpxname.cold.2
00007ff8002c9a97 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff8002ce144 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff8002c98b1 (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff8002bc554 (__TEXT,__text) non-external __yconv
00007ff800302d52 (__TEXT,__text) external _a64l
00007ff800317ae0 (__TEXT,__const) non-external _a64toi
00007ff800316c2a (__TEXT,__text) external _abort
00007ff800316d5f (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
00007ff800302de3 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff8002d70cb (__TEXT,__text) external _acl_add_flag_np
00007ff8002d7131 (__TEXT,__text) external _acl_add_perm
00007ff8002d6c15 (__TEXT,__text) external _acl_calc_mask
00007ff8002d70d5 (__TEXT,__text) external _acl_clear_flags_np
00007ff8002d7155 (__TEXT,__text) external _acl_clear_perms
00007ff8002d6c2b (__TEXT,__text) external _acl_copy_entry
00007ff8002d72a0 (__TEXT,__text) external _acl_copy_ext
00007ff8002a612a (__TEXT,__text) external _acl_copy_ext_native
00007ff8002d7370 (__TEXT,__text) external _acl_copy_int
00007ff8002cf10a (__TEXT,__text) external _acl_copy_int_native
00007ff8002d6d44 (__TEXT,__text) external _acl_create_entry
00007ff8002d6c80 (__TEXT,__text) external _acl_create_entry_np
00007ff8002d70b5 (__TEXT,__text) external _acl_delete_def_file
00007ff8002d6d53 (__TEXT,__text) external _acl_delete_entry
00007ff8002d6f09 (__TEXT,__text) external _acl_delete_fd_np
00007ff8002d6f1f (__TEXT,__text) external _acl_delete_file_np
00007ff8002d70e3 (__TEXT,__text) external _acl_delete_flag_np
00007ff8002d6f35 (__TEXT,__text) external _acl_delete_link_np
00007ff8002d7163 (__TEXT,__text) external _acl_delete_perm
00007ff8002a607c (__TEXT,__text) external _acl_dup
00007ff840026890 (__DATA_CONST,__const) non-external _acl_flags
00007ff8002a61f0 (__TEXT,__text) external _acl_free
00007ff8002d7412 (__TEXT,__text) external _acl_from_text
00007ff8002d0057 (__TEXT,__text) external _acl_get_entry
00007ff8002d6f4b (__TEXT,__text) external _acl_get_fd
00007ff8002c9595 (__TEXT,__text) external _acl_get_fd_np
00007ff8002c82ae (__TEXT,__text) external _acl_get_file
00007ff8002c82bd (__TEXT,__text) non-external _acl_get_file1
00007ff8002d010e (__TEXT,__text) external _acl_get_flag_np
00007ff8002d00cb (__TEXT,__text) external _acl_get_flagset_np
00007ff8002d6f5a (__TEXT,__text) external _acl_get_link_np
00007ff8002d7189 (__TEXT,__text) external _acl_get_perm_np
00007ff8002d71b0 (__TEXT,__text) external _acl_get_permset
00007ff8002d7227 (__TEXT,__text) external _acl_get_permset_mask_np
00007ff8002d6e0b (__TEXT,__text) external _acl_get_qualifier
00007ff8002d6e5e (__TEXT,__text) external _acl_get_tag_type
00007ff8002cf192 (__TEXT,__text) external _acl_init
00007ff8002d7218 (__TEXT,__text) external _acl_maximal_permset_mask_np
00007ff840026950 (__DATA_CONST,__const) non-external _acl_perms
00007ff8002d6fd3 (__TEXT,__text) external _acl_set_fd
00007ff8002d6f66 (__TEXT,__text) external _acl_set_fd_np
00007ff8002d6fdd (__TEXT,__text) external _acl_set_file
00007ff8002d70ef (__TEXT,__text) external _acl_set_flagset_np
00007ff8002d704a (__TEXT,__text) external _acl_set_link_np
00007ff8002d71e5 (__TEXT,__text) external _acl_set_permset
00007ff8002d725b (__TEXT,__text) external _acl_set_permset_mask_np
00007ff8002d6e91 (__TEXT,__text) external _acl_set_qualifier
00007ff8002d6ed0 (__TEXT,__text) external _acl_set_tag_type
00007ff8002a60e0 (__TEXT,__text) external _acl_size
00007ff8002d7acd (__TEXT,__text) external _acl_to_text
00007ff8002d6ba7 (__TEXT,__text) external _acl_valid
00007ff8002d6bd3 (__TEXT,__text) external _acl_valid_fd_np
00007ff8002d6be9 (__TEXT,__text) external _acl_valid_file_np
00007ff8002d6bff (__TEXT,__text) external _acl_valid_link
00007ff8002ea004 (__TEXT,__text) non-external _addcmd
00007ff8002f0c53 (__TEXT,__text) external _addr2ascii
00007ff841ea2118 (__DATA,__bss) non-external _addr2ascii.staticbuf
00007ff8002afbcc (__TEXT,__text) non-external _advance_directory
00007ff800314822 (__TEXT,__text) non-external _advance_directory
00007ff800315519 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff8003173ff (__TEXT,__text) non-external _advance_directory.cold.1
00007ff8002c8372 (__TEXT,__text) external _alarm
00007ff8002debf0 (__TEXT,__text) non-external _alloc_segs
00007ff800312993 (__TEXT,__text) external _alphasort
00007ff8002c57cc (__TEXT,__text) external _alphasort$INODE64
00007ff8003190f0 (__TEXT,__const) non-external _ambig
00007ff80029686c (__TEXT,__text) non-external _arc4_init
00007ff800315df1 (__TEXT,__text) non-external _arc4_init.cold.1
00007ff8002a4d9b (__TEXT,__text) external _arc4random
00007ff8002e5804 (__TEXT,__text) external _arc4random_addrandom
00007ff800296844 (__TEXT,__text) external _arc4random_buf
00007ff8002c908a (__TEXT,__text) external _arc4random_stir
00007ff8002aa478 (__TEXT,__text) external _arc4random_uniform
00007ff841ea2430 (__DATA,__bss) non-external _arg_type_queue
00007ff80030b15b (__TEXT,__text) non-external (was a private external) _arrayfree
00007ff8002cb638 (__TEXT,__text) non-external _arrayget
00007ff8002f0cf1 (__TEXT,__text) external _ascii2addr
00007ff8002c6c67 (__TEXT,__text) external _asctime
00007ff8002bb178 (__TEXT,__text) external _asctime_r
00007ff800318eb0 (__TEXT,__const) non-external _asctime_r.mon_name
00007ff800318e90 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00007ff8002a596e (__TEXT,__text) external _asprintf
00007ff8002f36e9 (__TEXT,__text) external _asprintf_l
