000000029842e7d0 (__DATA,__bss) non-external _A
0000000284a46694 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
0000000284a2caac (__TEXT,__text) external _cmark_syntax_extension_free
0000000284a2cc64 (__TEXT,__text) external _cmark_syntax_extension_get_private
0000000284a2cb18 (__TEXT,__text) external _cmark_syntax_extension_new
0000000284a2cc08 (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
0000000284a2cc7c (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
0000000284a2cc18 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
0000000284a2cc10 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
0000000284a2cbc8 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
0000000284a2cc00 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
0000000284a2cc48 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
0000000284a2cc40 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
0000000284a2cbf0 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
0000000284a2cc28 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
0000000284a2cc38 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
0000000284a2cbe0 (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
0000000284a2cbe8 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
0000000284a2cc6c (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
0000000284a2cc74 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
0000000284a2cbd8 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
0000000284a2cc20 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
0000000284a2cc50 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
0000000284a2cc58 (__TEXT,__text) external _cmark_syntax_extension_set_private
0000000284a2cbf8 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
0000000284a2cc30 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
0000000284a3a13c (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
0000000284a258a4 (__TEXT,__text) external _cmark_utf8proc_case_fold
0000000284a25440 (__TEXT,__text) external _cmark_utf8proc_check
0000000284a2576c (__TEXT,__text) external _cmark_utf8proc_encode_char
0000000284a46464 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
0000000284a292c4 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
0000000284a29248 (__TEXT,__text) external _cmark_utf8proc_is_space
0000000284a25644 (__TEXT,__text) external _cmark_utf8proc_iterate
0000000284a2ac7c (__TEXT,__text) external _cmark_version
0000000284a2ac88 (__TEXT,__text) external _cmark_version_string
0000000284a2c1bc (__TEXT,__text) non-external _commonmark_render
0000000284a2ed9c (__TEXT,__text) non-external _commonmark_render
0000000284a44834 (__TEXT,__text) non-external _commonmark_render
0000000284a46bec (__TEXT,__text) non-external _commonmark_render.cold.1
0000000284a4481c (__TEXT,__text) non-external _contains_inlines
0000000284a3a1a0 (__TEXT,__text) non-external _core_extensions_registration
0000000284a2cc84 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
0000000284a2ec18 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
0000000284a43c60 (__TEXT,__text) non-external (was a private external) _create_table_extension
0000000284a46314 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
0000000284a2bf54 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
000000029842e6c8 (__DATA,__bss) non-external _enable_safety_checks
0000000284a475c0 (__TEXT,__const) non-external _encode_unknown.repl
0000000284a457bc (__TEXT,__text) non-external _escape
0000000284a46358 (__TEXT,__text) non-external _filter
0000000284a3ce40 (__TEXT,__text) non-external _finalize
0000000284a4695c (__TEXT,__text) non-external _finalize.cold.1
0000000284a46988 (__TEXT,__text) non-external _finalize.cold.2
0000000284a3a0e0 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000284a3d89c (__TEXT,__text) non-external _free_node_as
0000000284a45ea4 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
0000000284a301d0 (__TEXT,__text) non-external _get_link_type
0000000284a2c0c8 (__TEXT,__text) non-external _get_type_string
0000000284a2ed54 (__TEXT,__text) non-external _get_type_string
0000000284a4470c (__TEXT,__text) non-external _get_type_string
0000000284a43104 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
0000000284a46a9c (__TEXT,__text) non-external _houdini_escape_href.cold.1
0000000284a4a155 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
0000000284a465bc (__TEXT,__text) non-external (was a private external) _houdini_escape_html
0000000284a464bc (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
0000000284a43150 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
0000000284a433e0 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
0000000284a434f0 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
0000000284a2c278 (__TEXT,__text) non-external _html_render
0000000284a2ee9c (__TEXT,__text) non-external _html_render
0000000284a4506c (__TEXT,__text) non-external _html_render
0000000284a46c70 (__TEXT,__text) non-external _html_render.cold.1
0000000284a45ff0 (__TEXT,__text) non-external _html_table_add_align
0000000284a2f004 (__TEXT,__text) non-external _insert
0000000284a2d990 (__TEXT,__text) non-external _is_valid_hostchar
0000000284a2edc0 (__TEXT,__text) non-external _latex_render
0000000284a44af4 (__TEXT,__text) non-external _latex_render
0000000284a46c18 (__TEXT,__text) non-external _latex_render.cold.1
0000000284a41c5c (__TEXT,__text) non-external _link_label
0000000284a469e0 (__TEXT,__text) non-external _link_label.cold.1
0000000284a46a60 (__TEXT,__text) non-external _link_label.cold.2
0000000284a46a60 (__TEXT,__text) non-external _link_label.cold.3
0000000284a46a60 (__TEXT,__text) non-external _link_label.cold.4
0000000284a46a60 (__TEXT,__text) non-external _link_label.cold.5
0000000284a428c4 (__TEXT,__text) non-external _make_autolink
0000000284a46a50 (__TEXT,__text) non-external _make_autolink.cold.1
0000000284a427b8 (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
0000000284a2edf4 (__TEXT,__text) non-external _man_render
0000000284a44e44 (__TEXT,__text) non-external _man_render
0000000284a46c44 (__TEXT,__text) non-external _man_render.cold.1
0000000284a41f48 (__TEXT,__text) non-external _manual_scan_link_url
0000000284a2cd10 (__TEXT,__text) non-external _match
0000000284a2eee0 (__TEXT,__text) non-external _match
0000000284a2c038 (__TEXT,__text) non-external _matches
0000000284a43e14 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000284a3a214 (__TEXT,__text) non-external (was a private external) _normalize_map_label
0000000284a4679c (__TEXT,__text) non-external _normalize_map_label.cold.1
0000000284a456ac (__TEXT,__text) non-external _opaque_alloc
0000000284a45728 (__TEXT,__text) non-external _opaque_free
0000000284a2c0d4 (__TEXT,__text) non-external _open_tasklist_item
0000000284a29b8c (__TEXT,__text) non-external _outc
0000000284a2f640 (__TEXT,__text) non-external _outc
0000000284a435d0 (__TEXT,__text) non-external _outc
0000000284a2eebc (__TEXT,__text) non-external _plaintext_render
0000000284a2d124 (__TEXT,__text) non-external _postprocess
0000000284a466c0 (__TEXT,__text) non-external _postprocess.cold.1
0000000284a466ec (__TEXT,__text) non-external _postprocess.cold.2
0000000284a41304 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _qsort (from libSystem)
0000000284a3a4c4 (__TEXT,__text) non-external _refcmp
0000000284a3ae10 (__TEXT,__text) non-external _reference_free
0000000284a3a404 (__TEXT,__text) non-external _refsearch
000000029986b7b8 (__DATA_DIRTY,__bss) non-external _registered
0000000284a418b0 (__TEXT,__text) non-external _remove_delimiter
0000000284a46a70 (__TEXT,__text) non-external _remove_delimiter.cold.1
0000000284a3d1d8 (__TEXT,__text) non-external _resolve_reference_link_definitions
0000000284a45a30 (__TEXT,__text) non-external _row_from_string
0000000292052790 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
0000000284a3d474 (__TEXT,__text) non-external _sort_footnote_by_ix
0000000284a41e3c (__TEXT,__text) non-external _spnl
0000000284a46a60 (__TEXT,__text) non-external _spnl.cold.1
0000000284a46a60 (__TEXT,__text) non-external _spnl.cold.2
0000000284a46a60 (__TEXT,__text) non-external _spnl.cold.3
0000000284a46a60 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
000000029986b7b0 (__DATA_DIRTY,__bss) non-external _syntax_extensions
0000000284a45f28 (__TEXT,__text) non-external _try_inserting_table_header_paragraph
0000000284a43ecc (__TEXT,__text) non-external _try_opening_table_block
0000000284a45dd0 (__TEXT,__text) non-external _unescape_pipes
0000000284a474c0 (__TEXT,__const) non-external _utf8proc_utf8class
0000000284a2d9e0 (__TEXT,__text) non-external _validate_protocol
0000000284a2ac94 (__TEXT,__text) non-external _xcalloc
0000000284a465dc (__TEXT,__text) non-external _xcalloc.cold.1
0000000284a2ace4 (__TEXT,__text) non-external _xfree
0000000284a2c400 (__TEXT,__text) non-external _xml_attr
0000000284a44d44 (__TEXT,__text) non-external _xml_attr
0000000284a2acbc (__TEXT,__text) non-external _xrealloc
0000000284a4660c (__TEXT,__text) non-external _xrealloc.cold.1
