00000001f609c6f8 (__TEXT,__text) non-external +[CPIndex log]
00000001f60b349c (__TEXT,__text) non-external -[PMParamKeyValue setHasBoolValue:]
00000001f60b3448 (__TEXT,__text) non-external -[PMParamKeyValue setHasDoubleValue:]
00000001f60b33e8 (__TEXT,__text) non-external -[PMParamKeyValue setHasFloatValue:]
00000001f60b3388 (__TEXT,__text) non-external -[PMParamKeyValue setHasIntValue:]
00000001f60b3364 (__TEXT,__text) non-external -[PMParamKeyValue setIntValue:]
00000001f60b4a98 (__TEXT,__text) non-external -[PMParamKeyValue setKey:]
00000001f60b4abc (__TEXT,__text) non-external -[PMParamKeyValue setStringValue:]
00000001f60b4aac (__TEXT,__text) non-external -[PMParamKeyValue stringValue]
00000001f60b421c (__TEXT,__text) non-external -[PMParamKeyValue writeTo:]
00000001f60c2688 (__TEXT,__text) non-external -[PMParamKeyValue writeTo:].cold.1
00000001f60b236c (__TEXT,__text) non-external -[PMParameters .cxx_destruct]
00000001f60b1630 (__TEXT,__text) non-external -[PMParameters addKeyvalue:]
00000001f60b1618 (__TEXT,__text) non-external -[PMParameters clearKeyvalues]
00000001f60b1ee4 (__TEXT,__text) non-external -[PMParameters copyTo:]
00000001f60b1fcc (__TEXT,__text) non-external -[PMParameters copyWithZone:]
00000001f60b16f4 (__TEXT,__text) non-external -[PMParameters description]
00000001f60b17bc (__TEXT,__text) non-external -[PMParameters dictionaryRepresentation]
00000001f60b21f8 (__TEXT,__text) non-external -[PMParameters hash]
00000001f60b2154 (__TEXT,__text) non-external -[PMParameters isEqual:]
00000001f60b16d0 (__TEXT,__text) non-external -[PMParameters keyvalueAtIndex:]
00000001f60b16b8 (__TEXT,__text) non-external -[PMParameters keyvaluesCount]
00000001f60b2348 (__TEXT,__text) non-external -[PMParameters keyvalues]
00000001f60b2210 (__TEXT,__text) non-external -[PMParameters mergeFrom:]
00000001f60b1da0 (__TEXT,__text) non-external -[PMParameters readFrom:]
00000001f60b2358 (__TEXT,__text) non-external -[PMParameters setKeyvalues:]
00000001f60b1da8 (__TEXT,__text) non-external -[PMParameters writeTo:]
00000001f60b333c (__TEXT,__text) non-external -[PMParameters(GetParamValue) boolValueForKey:]
00000001f60b313c (__TEXT,__text) non-external -[PMParameters(GetParamValue) boolValueForKey:fallbackParameters:]
00000001f60b265c (__TEXT,__text) non-external -[PMParameters(GetParamValue) fallbackKeyValueForKey:fallbackParameters:]
00000001f60b332c (__TEXT,__text) non-external -[PMParameters(GetParamValue) floatValueForKey:]
00000001f60b2f3c (__TEXT,__text) non-external -[PMParameters(GetParamValue) floatValueForKey:fallbackParameters:]
00000001f60b331c (__TEXT,__text) non-external -[PMParameters(GetParamValue) intValueForKey:]
00000001f60b2d6c (__TEXT,__text) non-external -[PMParameters(GetParamValue) intValueForKey:fallbackParameters:]
00000001f60b29c0 (__TEXT,__text) non-external -[PMParameters(GetParamValue) kvForKey:fallbackParameters:]
00000001f60b24b8 (__TEXT,__text) non-external -[PMParameters(GetParamValue) parameterKeyValueForKey:]
00000001f60b330c (__TEXT,__text) non-external -[PMParameters(GetParamValue) stringValueForKey:]
00000001f60b2b84 (__TEXT,__text) non-external -[PMParameters(GetParamValue) stringValueForKey:fallbackParameters:]
00000001f60b8450 (__TEXT,__text) non-external -[PMPerson .cxx_destruct]
00000001f60b811c (__TEXT,__text) non-external -[PMPerson copyTo:]
00000001f60b819c (__TEXT,__text) non-external -[PMPerson copyWithZone:]
00000001f60b7b80 (__TEXT,__text) non-external -[PMPerson description]
00000001f60b7c48 (__TEXT,__text) non-external -[PMPerson dictionaryRepresentation]
00000001f60b842c (__TEXT,__text) non-external -[PMPerson emailAddress]
00000001f60b7b68 (__TEXT,__text) non-external -[PMPerson hasEmailAddress]
00000001f60b7b50 (__TEXT,__text) non-external -[PMPerson hasName]
00000001f60b8328 (__TEXT,__text) non-external -[PMPerson hash]
00000001f60b8250 (__TEXT,__text) non-external -[PMPerson isEqual:]
00000001f60b8388 (__TEXT,__text) non-external -[PMPerson mergeFrom:]
00000001f60b8408 (__TEXT,__text) non-external -[PMPerson name]
00000001f60b809c (__TEXT,__text) non-external -[PMPerson readFrom:]
00000001f60b843c (__TEXT,__text) non-external -[PMPerson setEmailAddress:]
00000001f60b8418 (__TEXT,__text) non-external -[PMPerson setName:]
00000001f60b80a4 (__TEXT,__text) non-external -[PMPerson writeTo:]
00000001f60a88e0 (__TEXT,__text) non-external -[PMPerson(Conversion) toCSPerson]
00000001f60b952c (__TEXT,__text) non-external -[PMQuery .cxx_destruct]
00000001f60b8db8 (__TEXT,__text) non-external -[PMQuery copyTo:]
00000001f60b8ed8 (__TEXT,__text) non-external -[PMQuery copyWithZone:]
00000001f60b9478 (__TEXT,__text) non-external -[PMQuery country]
00000001f60b854c (__TEXT,__text) non-external -[PMQuery description]
00000001f60b8614 (__TEXT,__text) non-external -[PMQuery dictionaryRepresentation]
00000001f60b84d4 (__TEXT,__text) non-external -[PMQuery hasCountry]
00000001f60b84bc (__TEXT,__text) non-external -[PMQuery hasLanguage]
00000001f60b8504 (__TEXT,__text) non-external -[PMQuery hasOriginalQuery]
00000001f60b84ec (__TEXT,__text) non-external -[PMQuery hasRawQuery]
00000001f60b84a4 (__TEXT,__text) non-external -[PMQuery hasRoot]
00000001f60b8534 (__TEXT,__text) non-external -[PMQuery hasSearchParams]
00000001f60b851c (__TEXT,__text) non-external -[PMQuery hasTokenizedQuery]
00000001f60b9208 (__TEXT,__text) non-external -[PMQuery hash]
00000001f60b9054 (__TEXT,__text) non-external -[PMQuery isEqual:]
00000001f60b9454 (__TEXT,__text) non-external -[PMQuery language]
00000001f60b92e0 (__TEXT,__text) non-external -[PMQuery mergeFrom:]
00000001f60b94c0 (__TEXT,__text) non-external -[PMQuery originalQuery]
00000001f60b949c (__TEXT,__text) non-external -[PMQuery rawQuery]
00000001f60b8cac (__TEXT,__text) non-external -[PMQuery readFrom:]
00000001f60b9430 (__TEXT,__text) non-external -[PMQuery root]
00000001f60b9508 (__TEXT,__text) non-external -[PMQuery searchParams]
00000001f60b9488 (__TEXT,__text) non-external -[PMQuery setCountry:]
00000001f60b9464 (__TEXT,__text) non-external -[PMQuery setLanguage:]
00000001f60b94d0 (__TEXT,__text) non-external -[PMQuery setOriginalQuery:]
00000001f60b94ac (__TEXT,__text) non-external -[PMQuery setRawQuery:]
00000001f60b9440 (__TEXT,__text) non-external -[PMQuery setRoot:]
00000001f60b9518 (__TEXT,__text) non-external -[PMQuery setSearchParams:]
00000001f60b94f4 (__TEXT,__text) non-external -[PMQuery setTokenizedQuery:]
00000001f60b94e4 (__TEXT,__text) non-external -[PMQuery tokenizedQuery]
00000001f60b8cb4 (__TEXT,__text) non-external -[PMQuery writeTo:]
00000001f60ba8dc (__TEXT,__text) non-external -[PMQuery(InitMethods) _build:stack:]
00000001f60ba4e0 (__TEXT,__text) non-external -[PMQuery(InitMethods) _evalTimeExpression:deltaString:]
00000001f60ba310 (__TEXT,__text) non-external -[PMQuery(InitMethods) _lookupAttribute:]
00000001f60ba4bc (__TEXT,__text) non-external -[PMQuery(InitMethods) _lookupOperator:]
00000001f60bb03c (__TEXT,__text) non-external -[PMQuery(InitMethods) _parse:]
00000001f60bba80 (__TEXT,__text) non-external -[PMQuery(InitMethods) _printQueryTree:]
00000001f60bb3b0 (__TEXT,__text) non-external -[PMQuery(InitMethods) _stringifyQueryTree:indent:]
00000001f60b9f94 (__TEXT,__text) non-external -[PMQuery(InitMethods) addFiltersToQuery:optimize:]
00000001f60b9bd4 (__TEXT,__text) non-external -[PMQuery(InitMethods) initWithCSQueryString:optimize:]
00000001f60b9b20 (__TEXT,__text) non-external -[PMQuery(InitMethods) initWithQueryString:]
00000001f60bbdd4 (__TEXT,__text) non-external -[PMQuery(InitMethods) optimizeQuery:originalQueryParts:]
00000001f60bbbb8 (__TEXT,__text) non-external -[PMQuery(InitMethods) removeWildCard:]
00000001f60c1850 (__TEXT,__text) non-external -[PMQueryNode .cxx_destruct]
00000001f60bd280 (__TEXT,__text) non-external -[PMQueryNode StringAsKeys:]
00000001f60be2f0 (__TEXT,__text) non-external -[PMQueryNode StringAsMergeOp:]
00000001f60bdf54 (__TEXT,__text) non-external -[PMQueryNode StringAsOp:]
00000001f60be3ac (__TEXT,__text) non-external -[PMQueryNode addChild:]
00000001f60bc81c (__TEXT,__text) non-external -[PMQueryNode addKey:]
00000001f60c181c (__TEXT,__text) non-external -[PMQueryNode boolValue]
00000001f60be44c (__TEXT,__text) non-external -[PMQueryNode childAtIndex:]
00000001f60be434 (__TEXT,__text) non-external -[PMQueryNode childsCount]
00000001f60c182c (__TEXT,__text) non-external -[PMQueryNode childs]
00000001f60be394 (__TEXT,__text) non-external -[PMQueryNode clearChilds]
00000001f60bc80c (__TEXT,__text) non-external -[PMQueryNode clearKeys]
00000001f60c0bc0 (__TEXT,__text) non-external -[PMQueryNode copyTo:]
00000001f60c0e54 (__TEXT,__text) non-external -[PMQueryNode copyWithZone:]
00000001f60bc794 (__TEXT,__text) non-external -[PMQueryNode dealloc]
00000001f60be470 (__TEXT,__text) non-external -[PMQueryNode description]
00000001f60be538 (__TEXT,__text) non-external -[PMQueryNode dictionaryRepresentation]
00000001f60c180c (__TEXT,__text) non-external -[PMQueryNode doubleValue]
00000001f60c17fc (__TEXT,__text) non-external -[PMQueryNode floatValue]
00000001f60bdc5c (__TEXT,__text) non-external -[PMQueryNode hasBoolValue]
00000001f60bdbfc (__TEXT,__text) non-external -[PMQueryNode hasDoubleValue]
00000001f60bdba8 (__TEXT,__text) non-external -[PMQueryNode hasFloatValue]
00000001f60bdb48 (__TEXT,__text) non-external -[PMQueryNode hasIntValue]
00000001f60be22c (__TEXT,__text) non-external -[PMQueryNode hasMergeOp]
00000001f60bdce4 (__TEXT,__text) non-external -[PMQueryNode hasOp]
00000001f60bdae4 (__TEXT,__text) non-external -[PMQueryNode hasStringValue]
00000001f60c1304 (__TEXT,__text) non-external -[PMQueryNode hash]
00000001f60c17ec (__TEXT,__text) non-external -[PMQueryNode intValue]
00000001f60c1110 (__TEXT,__text) non-external -[PMQueryNode isEqual:]
00000001f60bc830 (__TEXT,__text) non-external -[PMQueryNode keyAtIndex:]
00000001f60bc924 (__TEXT,__text) non-external -[PMQueryNode keysAsString:]
00000001f60bc7e8 (__TEXT,__text) non-external -[PMQueryNode keysCount]
00000001f60bc7fc (__TEXT,__text) non-external -[PMQueryNode keys]
00000001f60c1510 (__TEXT,__text) non-external -[PMQueryNode mergeFrom:]
00000001f60be240 (__TEXT,__text) non-external -[PMQueryNode mergeOpAsString:]
00000001f60be1b8 (__TEXT,__text) non-external -[PMQueryNode mergeOp]
00000001f60bdcf8 (__TEXT,__text) non-external -[PMQueryNode opAsString:]
00000001f60bdc70 (__TEXT,__text) non-external -[PMQueryNode op]
00000001f60c0944 (__TEXT,__text) non-external -[PMQueryNode readFrom:]
00000001f60bdc10 (__TEXT,__text) non-external -[PMQueryNode setBoolValue:]
00000001f60c183c (__TEXT,__text) non-external -[PMQueryNode setChilds:]
00000001f60bdbbc (__TEXT,__text) non-external -[PMQueryNode setDoubleValue:]
00000001f60bdb5c (__TEXT,__text) non-external -[PMQueryNode setFloatValue:]
00000001f60bdc34 (__TEXT,__text) non-external -[PMQueryNode setHasBoolValue:]
00000001f60bdbe0 (__TEXT,__text) non-external -[PMQueryNode setHasDoubleValue:]
00000001f60bdb80 (__TEXT,__text) non-external -[PMQueryNode setHasFloatValue:]
00000001f60bdb20 (__TEXT,__text) non-external -[PMQueryNode setHasIntValue:]
00000001f60be204 (__TEXT,__text) non-external -[PMQueryNode setHasMergeOp:]
00000001f60bdcbc (__TEXT,__text) non-external -[PMQueryNode setHasOp:]
00000001f60bdafc (__TEXT,__text) non-external -[PMQueryNode setIntValue:]
00000001f60bc90c (__TEXT,__text) non-external -[PMQueryNode setKeys:count:]
00000001f60be1e0 (__TEXT,__text) non-external -[PMQueryNode setMergeOp:]
00000001f60bdc98 (__TEXT,__text) non-external -[PMQueryNode setOp:]
00000001f60c17d8 (__TEXT,__text) non-external -[PMQueryNode setStringValue:]
00000001f60c17c8 (__TEXT,__text) non-external -[PMQueryNode stringValue]
00000001f60c094c (__TEXT,__text) non-external -[PMQueryNode writeTo:]
00000001f60c70c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001f60c7764 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001f60c7c24 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001f60c72dc (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001f60c7998 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001f60c74bc (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f60c7a4c (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f60c7a60 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f60c74e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00000001f60c7a94 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00000001f60c757c (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001f60c75bc (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001f60c7628 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001f60c76a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001f60c76bc (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001f60c76dc (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001f60c7778 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001f60c7c30 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001f60c76fc (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001f60c771c (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001f60c773c (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001f60c77d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001f60c7064 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001f60c707c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001f60c7828 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001f60c7044 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f60c70a4 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f60c70d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f60c70e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00000001f60c7100 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001f60c7844 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001f60c7224 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001f60c7938 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFCalendarComposeAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFCalendarCreateWithIdentifier (from CoreFoundation)
                 (undefined) external _CFCalendarDecomposeAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFCalendarGetOrdinalityOfUnit (from CoreFoundation)
                 (undefined) external _CFCalendarSetTimeZone (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFTimeZoneCopySystem (from CoreFoundation)
                 (undefined) external _CFTimeZoneCreateWithTimeIntervalFromGMT (from CoreFoundation)
                 (undefined) external _CNContactEmailAddressesKey (from Contacts)
00000001f60a525c (__TEXT,__text) external _CPPommesItemsForSpotlightItems
00000001f60a3bd8 (__TEXT,__text) external _CPSpotlightItemsForPommesItems
00000001f60c4508 (__TEXT,__const) external _CPSpotlightShimSettingsMailWorkaroundsEnabled
                 (undefined) external _CSSearchQueryErrorDomain (from CoreSpotlight)
00000001f60c44f8 (__TEXT,__const) external _CorePommesVersionNumber
00000001f60c44c8 (__TEXT,__const) external _CorePommesVersionString
                 (undefined) external _MDItemContentSnippet (from CoreSpotlight)
                 (undefined) external _MKBDeviceUnlockedSinceBoot (from MobileKeyBag)
                 (undefined) external _MKBGetDeviceLockState (from MobileKeyBag)
                 (undefined) external _NSFileProtectionComplete (from Foundation)
                 (undefined) external _NSFileProtectionCompleteUnlessOpen (from Foundation)
                 (undefined) external _NSFileProtectionCompleteUntilFirstUserAuthentication (from Foundation)
                 (undefined) external _NSRangeException (from CoreFoundation)
                 (undefined) external _NSStringFromClass (from Foundation)
00000002065a1810 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPIndex
00000002065a1888 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPIndexFactory
00000002065a18b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearch
00000002065a19c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearchContext
00000002065a1928 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearchFactory
00000002065a19f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearchQueryShim
00000002065a1950 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearchableIndexShim
00000002065a1a40 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPTopHitSearchQueryShim
00000002065a1a90 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPXPCConnection
00000002065a1b08 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPXPCConnectionFactory
                 (undefined) external _OBJC_CLASS_$_CSPerson (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_CSSearchQueryContext (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_CSSearchableIndex (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_CSSearchableItem (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_PBCodable (from ProtocolBuffer)
00000002065a1b30 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMAttribute
00000002065a1b80 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMCard
00000002065a1bd0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMDeviceLockMonitor
00000002065a1c20 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMIndexableItem
00000002065a1cc0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMParamKeyValue
00000002065a1c70 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMParameters
00000002065a1d10 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMParamsManager
00000002065a1d60 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMPerson
00000002065a1db0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMQuery
00000002065a1e00 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMQueryNode
00000002054b7aa8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._batchOpen
00000002054b7abc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._batchedItemIdentifiersToDelete
00000002054b7ab8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._batchedItemsToIndex
00000002054b7ac0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._connection
00000002054b7ab0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._name
00000002054b7aac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._noBatching
00000002054b7ab4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._protectionClass
00000002054b7ac8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._completionHandler
00000002054b7ad8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._connection
00000002054b7acc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._filterQueries
00000002054b7ac4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._foundItemsHandler
00000002054b7ad4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._query
00000002054b7ad0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._searchContext
00000002054b7aec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchContext._maxResults
00000002054b7af4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchContext._protectionClasses
00000002054b7af0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchContext._searchParamStr
00000002054b7ae8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchContext._topHitQuery
00000002054b7b28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._bundleIDs
00000002054b7b04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._canceled
00000002054b7b18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._changedItemsHandler
00000002054b7b10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._completionHandler
00000002054b7b20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._countChangedHandler
00000002054b7b08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._csSearchQuery
00000002054b7b24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._foundItemHandler
00000002054b7b0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._foundItemsHandler
00000002054b7b14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._gatherEndedHandler
00000002054b7afc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._handlerBlockLock
00000002054b7b1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._removedItemsHandler
00000002054b7b2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._search
00000002054b7b00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._searchState
00000002054b7af8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._stateLock
00000002054b7adc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchableIndexShim._index
00000002054b7ae4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchableIndexShim._indexDelegate
00000002054b7ae0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchableIndexShim._spotlightIndex
00000002054b7b30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPXPCConnection._invalidated
00000002054b7b34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPXPCConnection._searchConnection
                 (undefined) external _OBJC_IVAR_$_PBDataReader._bytes (from ProtocolBuffer)
                 (undefined) external _OBJC_IVAR_$_PBDataReader._error (from ProtocolBuffer)
                 (undefined) external _OBJC_IVAR_$_PBDataReader._length (from ProtocolBuffer)
                 (undefined) external _OBJC_IVAR_$_PBDataReader._pos (from ProtocolBuffer)
00000002054b7b54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._boolValue
00000002054b7b5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._bytesValue
00000002054b7b40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._customKey
00000002054b7b50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._doubleValue
00000002054b7b4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._floatValue
00000002054b7b38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._has
00000002054b7b48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._intValue
00000002054b7b3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._key
00000002054b7b58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._personValue
00000002054b7b64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._personValues
00000002054b7b44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._stringValue
00000002054b7b60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._stringValues
00000002054b7b7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._freshness
00000002054b7b74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._fullScore
00000002054b7b68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._has
00000002054b7b70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._lightScore
00000002054b7b78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._mailDateReceived
00000002054b7b6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._textScore
00000002054b7b90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._delegate
00000002054b7b94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._delegateQueue
00000002054b7b88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._deviceUnlockedSinceBoot
00000002054b7b84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._dispatchQueue
00000002054b7b80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._lockStateNotifyToken
00000002054b7b8c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._protectedDataAvailable
00000002054b7b98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMIndexableItem._attributes
00000002054b7bac (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMIndexableItem._card
00000002054b7ba0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMIndexableItem._domainIdentifier
