00000001e78fba98 (__DATA,__data) non-external _C
00000001e78fd7d0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180353110 (__TEXT,__text) non-external ___setup_vars
0000000180351448 (__TEXT,__text) non-external (was a private external) ___setutxent
00000001802f0288 (__TEXT,__text) external ___sflags
00000001802efc24 (__TEXT,__text) external ___sflush
00000001802f0350 (__TEXT,__text) external ___sfp
00000001802f0544 (__TEXT,__text) non-external (was a private external) ___sfprelease
00000001802e4880 (__TEXT,__text) external ___sfvwrite
0000000180321a98 (__TEXT,__text) non-external (was a private external) ___sgetrune
00000001e78fbe08 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00000001802eb678 (__TEXT,__text) external ___sinit
0000000180313bbc (__TEXT,__text) external ___slbexpand
00000001802f3fc4 (__TEXT,__text) external ___smakebuf
00000001802e4c10 (__TEXT,__text) external ___snprintf_chk
0000000180356df4 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180328d98 (__TEXT,__text) external ___split_page
00000001803445c8 (__TEXT,__text) non-external ___sprint
00000001802ebff0 (__TEXT,__text) external ___sprintf_chk
0000000180356f18 (__TEXT,__text) external ___sprintf_object_size_chk
0000000180321b9c (__TEXT,__text) non-external (was a private external) ___sputrune
000000018030eca4 (__TEXT,__text) external ___sread
00000001802eb4e0 (__TEXT,__text) external ___srefill
00000001802eb52c (__TEXT,__text) non-external (was a private external) ___srefill0
00000001802ebaa8 (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180304c1c (__TEXT,__text) external ___srget
000000018030ee38 (__TEXT,__text) external ___sseek
0000000180349e14 (__TEXT,__text) external ___stack_chk_fail
00000001e9d35550 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001e78fd858 (__DATA,__bss) non-external ___stderr_evp
00000001e78fbde8 (__DATA,__data) external ___stderrp
00000001e78fd838 (__DATA,__bss) non-external ___stdin_evp
00000001e78fbdd8 (__DATA,__data) external ___stdinp
0000000180356ff8 (__TEXT,__text) non-external (was a private external) ___stdio_init
00000001e78fd848 (__DATA,__bss) non-external ___stdout_evp
00000001e78fbde0 (__DATA,__data) external ___stdoutp
0000000180356ea8 (__TEXT,__text) external ___stpcpy_chk
0000000180356f84 (__TEXT,__text) external ___stpncpy_chk
00000001802e5d74 (__TEXT,__text) external ___strcat_chk
000000018032d4cc (__TEXT,__text) external ___strcp_D2A
00000001802ed7e0 (__TEXT,__text) external ___strcpy_chk
00000001e78fda40 (__DATA,__bss) non-external ___strerror_ebuf
00000001802e94e0 (__TEXT,__text) external ___strlcat_chk
00000001802e5558 (__TEXT,__text) external ___strlcpy_chk
00000001802e6830 (__TEXT,__text) external ___strncat_chk
00000001802ec544 (__TEXT,__text) external ___strncpy_chk
000000018030d1c0 (__TEXT,__text) external ___sum_D2A
0000000180341584 (__TEXT,__text) external ___svfscanf
00000001802e9788 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
000000018035b950 (__TEXT,__const) non-external ___svfscanf_l.basefix
00000001803118dc (__TEXT,__text) external ___swbuf
00000001802f4290 (__TEXT,__text) external ___swhatbuf
0000000180310db4 (__TEXT,__text) external ___swrite
00000001803006ec (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00000001e78fbee0 (__DATA,__data) non-external ___systemfn_mutex
00000001e78fbf50 (__DATA,__data) non-external ___systemfn_mutex
000000018035b110 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
000000018031a4bc (__TEXT,__text) non-external ___thread_stack_async_pcs
000000018031a2bc (__TEXT,__text) non-external ___thread_stack_pcs
0000000180302ca4 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001e78fda38 (__DATA,__bss) non-external ___time_load_locale.cache
000000018035b0e8 (__TEXT,__const) external ___tinytens_D2A
00000001802e695c (__TEXT,__text) external ___tolower
0000000180337770 (__TEXT,__text) external ___tolower_l
00000001802e699c (__TEXT,__text) external ___toupper
0000000180337750 (__TEXT,__text) external ___toupper_l
000000018030d308 (__TEXT,__text) external ___trailz_D2A
0000000180305a68 (__TEXT,__text) external ___ulp_D2A
00000001802e4c88 (__TEXT,__text) non-external ___ultoa
00000001802e4db0 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
0000000180304ce4 (__TEXT,__text) external ___ungetc
0000000180340948 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00000001802e5958 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
000000018035bde9 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180352118 (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001e78fdb08 (__DATA,__bss) non-external ___utx__
000000018035adc8 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00000001802e15a8 (__TEXT,__text) non-external (was a private external) ___v2printf
00000001802e1950 (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001803585f0 (__TEXT,__text) non-external ___vfprintf.cold.1
000000018035b910 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
000000018035b920 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00000001803417d8 (__TEXT,__text) non-external (was a private external) ___vfwprintf
000000018035b974 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
000000018035b984 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00000001803447b8 (__TEXT,__text) non-external (was a private external) ___vfwscanf
000000018035ba70 (__TEXT,__const) non-external ___vfwscanf.basefix
00000001802f1e34 (__TEXT,__text) external ___vsnprintf_chk
0000000180356e38 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180338280 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180337ffc (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180337660 (__TEXT,__text) external ___wcwidth
0000000180337790 (__TEXT,__text) external ___wcwidth_l
00000001803012a4 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001e78fbbb0 (__DATA,__data) external ___xlocale_C_collate
00000001802fea98 (__TEXT,__text) non-external (was a private external) ___xlocale_init
000000018031e150 (__TEXT,__text) non-external ___xlocale_release
000000018030eea0 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00000001803574e4 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001e78fbaa0 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180350e08 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00000001802f1a20 (__TEXT,__text) non-external (was a private external) ___xvprintf
000000018034bd38 (__TEXT,__text) external __allocenvstate
000000018032d534 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
000000018033443c (__TEXT,__text) non-external (was a private external) __ascii_init
00000001803344a0 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180334500 (__TEXT,__text) non-external __ascii_mbsinit
0000000180334508 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00000001803345cc (__TEXT,__text) non-external __ascii_wcrtomb
0000000180334614 (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180319a0c (__TEXT,__text) external __atexit_receipt
00000001e78fce40 (__DATA,__bss) non-external __atexit_receipt_enabled
00000001802f302c (__TEXT,__text) non-external __backtrace_snprintf
0000000180314154 (__TEXT,__text) non-external __boottime_fallback_usec
00000001e3d71090 (__DATA_CONST,__const) external __c_locale
0000000180307aac (__TEXT,__text) external __cleanup
000000018031b9dc (__TEXT,__text) external __closeutx
000000018034bd3c (__TEXT,__text) external __copyenv
00000001ea1c4098 (__AUTH,__data) external __cthread_init_routine
000000018034bdd4 (__TEXT,__text) external __deallocenvstate
000000018030eb24 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00000001e78fdb58 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001e78fdb50 (__DATA,__common) non-external (was a private external) __e_err_file
000000018032d7a4 (__TEXT,__text) non-external (was a private external) __e_visprintf
00000001803515c8 (__TEXT,__text) external __endutxent
0000000180358e90 (__TEXT,__text) non-external __endutxent.cold.1
0000000180358ec8 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00000001803143dc (__TEXT,__text) non-external __ffpp_strtoencf32_l
0000000180357044 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180357070 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
000000018035a430 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00000001803146a8 (__TEXT,__text) non-external __ffpp_strtoencf64_l
000000018035709c (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00000001803570c8 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00000001803570f4 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
000000018035a7d0 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
0000000180330c78 (__TEXT,__text) non-external (was a private external) __filldir
000000018033308c (__TEXT,__text) non-external (was a private external) __fixtelldir
000000018033c964 (__TEXT,__text) external __flockfile_debug_stub
0000000180310a38 (__TEXT,__text) external __fseeko
000000018030ecc4 (__TEXT,__text) external __ftello
0000000180307ac0 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
0000000180349fbc (__TEXT,__text) external __getenvp
00000001803518e8 (__TEXT,__text) external __getutxent
0000000180358f00 (__TEXT,__text) non-external __getutxent.cold.1
0000000180358f38 (__TEXT,__text) non-external __getutxent.cold.2
0000000180351998 (__TEXT,__text) external __getutxid
0000000180358f70 (__TEXT,__text) non-external __getutxid.cold.1
0000000180358fa8 (__TEXT,__text) non-external __getutxid.cold.2
0000000180351b9c (__TEXT,__text) external __getutxline
0000000180358fe0 (__TEXT,__text) non-external __getutxline.cold.1
0000000180359018 (__TEXT,__text) non-external __getutxline.cold.2
00000001802f1114 (__TEXT,__text) external __inet_aton_check
00000001802fea20 (__TEXT,__text) external __init_clock_port
000000018034728c (__TEXT,__text) external __int_to_time
00000001802ec680 (__TEXT,__text) non-external __isort
00000001802ec834 (__TEXT,__text) non-external __isort
000000018034bc8c (__TEXT,__text) non-external __legacy_crt1_environ
00000001e9d33cc0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001e78fd448 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00000001e9d33cb8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001e78fd440 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00000001e9d33cb0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001e78fd438 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180321210 (__TEXT,__text) external __libc_fork_child
00000001802fe96c (__TEXT,__text) non-external (was a private external) __libc_fork_init
000000018032120c (__TEXT,__text) external __libc_fork_parent
0000000180321208 (__TEXT,__text) external __libc_fork_prepare
00000001802fe8c8 (__TEXT,__text) external __libc_initializer
0000000180336e00 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180336dd8 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180336db0 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180347284 (__TEXT,__text) external __long_to_time
0000000180313f88 (__TEXT,__text) non-external __mach_boottime_usec
0000000180319a60 (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00000001e78fce44 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00000001e9d33ca8 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
000000018030cfc8 (__TEXT,__text) non-external __mkdtemp_action
000000018031319c (__TEXT,__text) non-external __mkfilex_np
00000001802fe260 (__TEXT,__text) non-external __mkostemps_action
00000001802ee074 (__TEXT,__text) non-external __mkpath
000000018030e7d4 (__TEXT,__text) external __mkpath_np
000000018033e424 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00000001803584ac (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
000000018033e344 (__TEXT,__text) external __mktemp
00000001802f4bf8 (__TEXT,__text) non-external __mktemp_action
00000001803377d4 (__TEXT,__text) non-external (was a private external) __none_init
000000018030a540 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180337838 (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180337840 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
0000000180307a64 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00000001803378d4 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00000001e78fd5f0 (__DATA,__bss) non-external __onlyClocaleconv
000000018031b930 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001803575e8 (__TEXT,__text) external __os_assert_log
0000000180357888 (__TEXT,__text) external __os_assert_log_ctx
00000001803047a4 (__TEXT,__text) external __os_assumes_log
0000000180357728 (__TEXT,__text) external __os_assumes_log_ctx
00000001802ec18c (__TEXT,__text) external __os_avoid_tail_call
00000001803575cc (__TEXT,__text) external __os_crash
00000001e78fdb40 (__DATA,__common) external __os_crash_callback
0000000180322344 (__TEXT,__text) external __os_crash_fmt
00000001803579a8 (__TEXT,__text) non-external __os_crash_fmt.cold.1
00000001803222f8 (__TEXT,__text) external __os_crash_msg
00000001803573a4 (__TEXT,__text) external __os_debug_log
000000018031bc14 (__TEXT,__text) external __os_debug_log_error_offset
0000000180304984 (__TEXT,__text) external __os_debug_log_error_str
0000000180304998 (__TEXT,__text) non-external __os_debug_log_init
000000018031bcb8 (__TEXT,__text) non-external __os_debug_log_open_file
000000018031ba64 (__TEXT,__text) weak external __os_debug_log_redirect_func
000000018031ba6c (__TEXT,__text) non-external __os_debug_log_write
000000018031bc24 (__TEXT,__text) non-external __os_debug_log_write_error
0000000180322450 (__TEXT,__text) non-external __os_get_build
00000001803223a4 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
0000000180304918 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00000001802e546c (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00000001802e4f98 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00000001802e53d4 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001eac644a0 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
000000018035ddfd (__TEXT,__cstring) non-external __printf_tbl_flags
00000001802fe934 (__TEXT,__text) non-external (was a private external) __program_vars_init
000000018034d1c8 (__TEXT,__text) non-external __psort
000000018034dc40 (__TEXT,__text) non-external __psort
000000018034e6e8 (__TEXT,__text) non-external __psort
0000000180358aa4 (__TEXT,__text) non-external __psort.cold.1
0000000180358af4 (__TEXT,__text) non-external __psort.cold.1
0000000180358b44 (__TEXT,__text) non-external __psort.cold.1
000000018034d15c (__TEXT,__text) non-external __psort_parallel
000000018034dbd4 (__TEXT,__text) non-external __psort_parallel
000000018034e678 (__TEXT,__text) non-external __psort_parallel
000000018034a644 (__TEXT,__text) external __putenvp
0000000180351ca4 (__TEXT,__text) external __pututxline
0000000180359050 (__TEXT,__text) non-external __pututxline.cold.1
0000000180359088 (__TEXT,__text) non-external __pututxline.cold.2
000000018031a59c (__TEXT,__text) non-external __pwuid_r
000000018030d624 (__TEXT,__text) non-external __qsort
000000018030dea0 (__TEXT,__text) non-external __qsort
00000001e78fbad0 (__DATA,__data) external __rand48_add
00000001e78fbac8 (__DATA,__data) external __rand48_mult
00000001e78fbac0 (__DATA,__data) external __rand48_seed
0000000180331520 (__TEXT,__text) external __readdir_unlocked
00000001802e6558 (__TEXT,__text) external __reclaim_telldir
000000018035bd20 (__TEXT,__const) non-external (was a private external) __rp_alist
00000001e9d35598 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
0000000180332fd0 (__TEXT,__text) external __seekdir
000000018034be30 (__TEXT,__text) external __setenvp
00000001803514a0 (__TEXT,__text) external __setutxent
0000000180358e20 (__TEXT,__text) non-external __setutxent.cold.1
0000000180358e58 (__TEXT,__text) non-external __setutxent.cold.2
0000000180321394 (__TEXT,__text) external __sigaction_nobind
00000001e78fdb78 (__DATA,__common) external __sigintr
00000001803329cc (__TEXT,__text) external __signal_nobind
0000000180313e28 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180332844 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001802ebb18 (__TEXT,__text) external __sread
00000001802f44e0 (__TEXT,__text) external __sseek
00000001802ff224 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180320158 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00000001802e8a04 (__TEXT,__text) non-external (was a private external) __st_localsub
00000001802e89f8 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00000001802f6cfc (__TEXT,__text) non-external (was a private external) __st_time1
00000001802e6b28 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00000001803523a4 (__TEXT,__text) non-external __strfmon
0000000180305e8c (__TEXT,__text) non-external __strptime0
000000018035bb64 (__TEXT,__const) non-external __strptime0.start_of_month
000000018031f990 (__TEXT,__text) external __subsystem_init
00000001802f1c00 (__TEXT,__text) external __swrite
000000018031a478 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00000001802edfa0 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
000000018034726c (__TEXT,__text) external __time32_to_time
0000000180347278 (__TEXT,__text) external __time64_to_time
0000000180347288 (__TEXT,__text) external __time_to_int
0000000180347280 (__TEXT,__text) external __time_to_long
0000000180347274 (__TEXT,__text) external __time_to_time32
000000018034727c (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
000000018034bec0 (__TEXT,__text) external __unsetenvp
000000018031b858 (__TEXT,__text) non-external (was a private external) __utmpx32_64
000000018031b8c4 (__TEXT,__text) non-external (was a private external) __utmpx64_32
000000018031a818 (__TEXT,__text) non-external (was a private external) __utmpx_asl
000000018035bdfa (__TEXT,__const) non-external (was a private external) __utmpx_vers
000000018031ac40 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001e78fce48 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00000001803521dc (__TEXT,__text) external __utmpxname
00000001803590c0 (__TEXT,__text) non-external __utmpxname.cold.1
00000001803590f8 (__TEXT,__text) non-external __utmpxname.cold.2
000000018030d494 (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180312544 (__TEXT,__text) non-external (was a private external) __vdprintf
000000018030d37c (__TEXT,__text) non-external (was a private external) __vsnprintf
00000001802fffe4 (__TEXT,__text) non-external __yconv
0000000180349e74 (__TEXT,__text) external _a64l
000000018035a9c0 (__TEXT,__const) non-external _a64toi
0000000180358888 (__TEXT,__text) external _abort
00000001803589c0 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
0000000180349f40 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
000000018031e910 (__TEXT,__text) external _acl_add_flag_np
000000018031e9c0 (__TEXT,__text) external _acl_add_perm
000000018031e2c4 (__TEXT,__text) external _acl_calc_mask
000000018031e924 (__TEXT,__text) external _acl_clear_flags_np
000000018031ea0c (__TEXT,__text) external _acl_clear_perms
000000018031e2e8 (__TEXT,__text) external _acl_copy_entry
000000018031ec38 (__TEXT,__text) external _acl_copy_ext
00000001802eddb8 (__TEXT,__text) external _acl_copy_ext_native
000000018031ed20 (__TEXT,__text) external _acl_copy_int
0000000180312c1c (__TEXT,__text) external _acl_copy_int_native
000000018031e44c (__TEXT,__text) external _acl_create_entry
000000018031e368 (__TEXT,__text) external _acl_create_entry_np
000000018031e8ec (__TEXT,__text) external _acl_delete_def_file
000000018031e454 (__TEXT,__text) external _acl_delete_entry
000000018031e6fc (__TEXT,__text) external _acl_delete_fd_np
000000018031e720 (__TEXT,__text) external _acl_delete_file_np
000000018031e930 (__TEXT,__text) external _acl_delete_flag_np
000000018031e744 (__TEXT,__text) external _acl_delete_link_np
000000018031ea18 (__TEXT,__text) external _acl_delete_perm
00000001802edcbc (__TEXT,__text) external _acl_dup
00000001e3d71098 (__DATA_CONST,__const) non-external _acl_flags
00000001802ede90 (__TEXT,__text) external _acl_free
000000018031ede4 (__TEXT,__text) external _acl_from_text
0000000180313c3c (__TEXT,__text) external _acl_get_entry
000000018031e768 (__TEXT,__text) external _acl_get_fd
000000018030cffc (__TEXT,__text) external _acl_get_fd_np
000000018030babc (__TEXT,__text) external _acl_get_file
000000018030bac4 (__TEXT,__text) non-external _acl_get_file1
0000000180313d68 (__TEXT,__text) external _acl_get_flag_np
0000000180313cf8 (__TEXT,__text) external _acl_get_flagset_np
000000018031e770 (__TEXT,__text) external _acl_get_link_np
000000018031ea64 (__TEXT,__text) external _acl_get_perm_np
000000018031eaa8 (__TEXT,__text) external _acl_get_permset
000000018031eb74 (__TEXT,__text) external _acl_get_permset_mask_np
000000018031e540 (__TEXT,__text) external _acl_get_qualifier
000000018031e5d0 (__TEXT,__text) external _acl_get_tag_type
0000000180312ccc (__TEXT,__text) external _acl_init
000000018031eb60 (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001e3d71158 (__DATA_CONST,__const) non-external _acl_perms
000000018031e7f0 (__TEXT,__text) external _acl_set_fd
000000018031e778 (__TEXT,__text) external _acl_set_fd_np
000000018031e7f4 (__TEXT,__text) external _acl_set_file
000000018031e944 (__TEXT,__text) external _acl_set_flagset_np
000000018031e86c (__TEXT,__text) external _acl_set_link_np
000000018031eb04 (__TEXT,__text) external _acl_set_permset
000000018031ebd0 (__TEXT,__text) external _acl_set_permset_mask_np
000000018031e62c (__TEXT,__text) external _acl_set_qualifier
000000018031e698 (__TEXT,__text) external _acl_set_tag_type
00000001802edd48 (__TEXT,__text) external _acl_size
000000018031f434 (__TEXT,__text) external _acl_to_text
000000018031e208 (__TEXT,__text) external _acl_valid
000000018031e258 (__TEXT,__text) external _acl_valid_fd_np
000000018031e27c (__TEXT,__text) external _acl_valid_file_np
000000018031e2a0 (__TEXT,__text) external _acl_valid_link
000000018031613c (__TEXT,__text) non-external _addToMP
000000018033efd0 (__TEXT,__text) non-external _addaster
000000018033274c (__TEXT,__text) non-external _addcmd
0000000180339d88 (__TEXT,__text) external _addr2ascii
00000001e78fd7d8 (__DATA,__bss) non-external _addr2ascii.staticbuf
000000018033f1fc (__TEXT,__text) non-external _addtype
000000018033fe08 (__TEXT,__text) non-external _addwaster
00000001802f58fc (__TEXT,__text) non-external _advance_directory
0000000180357388 (__TEXT,__text) non-external _advance_directory.cold.1
000000018030bbb8 (__TEXT,__text) external _alarm
0000000180326cac (__TEXT,__text) non-external _alloc_segs
0000000180331fa4 (__TEXT,__text) external _alphasort
000000018035bc70 (__TEXT,__const) non-external _ambig
00000001802e10d0 (__TEXT,__text) non-external _arc4_init
0000000180357a4c (__TEXT,__text) non-external _arc4_init.cold.1
00000001802ec640 (__TEXT,__text) external _arc4random
000000018032d530 (__TEXT,__text) external _arc4random_addrandom
00000001802e1084 (__TEXT,__text) external _arc4random_buf
000000018030cb98 (__TEXT,__text) external _arc4random_stir
00000001802f1fe0 (__TEXT,__text) external _arc4random_uniform
00000001e78fdad0 (__DATA,__bss) non-external _arg_type_queue
0000000180350c00 (__TEXT,__text) non-external (was a private external) _arrayfree
000000018030f8a0 (__TEXT,__text) non-external _arrayget
0000000180339e58 (__TEXT,__text) external _ascii2addr
000000018030a7b8 (__TEXT,__text) external _asctime
00000001802fef3c (__TEXT,__text) external _asctime_r
000000018035baa7 (__TEXT,__const) non-external _asctime_r.mon_name
000000018035ba92 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00000001802ed558 (__TEXT,__text) external _asprintf
000000018033c9b0 (__TEXT,__text) external _asprintf_l
0000000180320164 (__TEXT,__text) external _asxprintf
0000000180320870 (__TEXT,__text) external _asxprintf_exec
00000001803512d8 (__TEXT,__text) external _at_quick_exit
0000000180305be0 (__TEXT,__text) external _atexit
0000000180307b44 (__TEXT,__text) external _atexit_b
00000001e9d33bb0 (__DATA_DIRTY,__data) non-external _atexit_mutex
00000001802e5e38 (__TEXT,__text) non-external _atexit_register
0000000180358a14 (__TEXT,__text) non-external _atexit_register.cold.1
0000000180312b1c (__TEXT,__text) external _atof
0000000180300804 (__TEXT,__text) external _atof_l
00000001802ecad4 (__TEXT,__text) external _atoi
0000000180349f50 (__TEXT,__text) external _atoi_l
00000001802f4d88 (__TEXT,__text) external _atol
0000000180349f74 (__TEXT,__text) external _atol_l
00000001802ee49c (__TEXT,__text) external _atoll
0000000180349f84 (__TEXT,__text) external _atoll_l
00000001802edf18 (__TEXT,__text) external _backtrace
00000001803168e0 (__TEXT,__text) external _backtrace_async
000000018031694c (__TEXT,__text) external _backtrace_from_fp
00000001ea1c4070 (__AUTH,__data) non-external _backtrace_get_pcs_func
00000001802f484c (__TEXT,__text) external _backtrace_image_offsets
00000001803168c0 (__TEXT,__text) external _backtrace_set_pcs_func
00000001802f2e70 (__TEXT,__text) external _backtrace_symbols
