00000001ba13c1b8 (__TEXT,__text) non-external +[DDLog addLogger:]
00000001ba12da5c (__TEXT,__text) non-external -[HTTPFileResponse openFile]
00000001ba143f54 (__TEXT,__text) non-external -[HTTPFileResponse openFile].cold.1
00000001ba143e8c (__TEXT,__text) non-external -[HTTPFileResponse openFile].cold.2
00000001ba12dd7c (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:]
00000001ba1441c4 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.1
00000001ba144284 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.2
00000001ba14436c (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.3
00000001ba144430 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.4
00000001ba12dcd0 (__TEXT,__text) non-external -[HTTPFileResponse setOffset:]
00000001ba144020 (__TEXT,__text) non-external -[HTTPFileResponse setOffset:].cold.1
00000001ba144114 (__TEXT,__text) non-external -[HTTPFileResponse setOffset:].cold.2
00000001ba128254 (__TEXT,__text) non-external -[HTTPMessage allHeaderFields]
00000001ba128138 (__TEXT,__text) non-external -[HTTPMessage appendData:]
00000001ba1282ec (__TEXT,__text) non-external -[HTTPMessage body]
00000001ba1280e8 (__TEXT,__text) non-external -[HTTPMessage dealloc]
00000001ba128280 (__TEXT,__text) non-external -[HTTPMessage headerField:]
00000001ba127f38 (__TEXT,__text) non-external -[HTTPMessage initEmptyRequest]
00000001ba127f94 (__TEXT,__text) non-external -[HTTPMessage initRequestWithMethod:URL:version:]
00000001ba128048 (__TEXT,__text) non-external -[HTTPMessage initResponseWithStatusCode:description:version:]
00000001ba1281a4 (__TEXT,__text) non-external -[HTTPMessage isHeaderComplete]
00000001ba1282c0 (__TEXT,__text) non-external -[HTTPMessage messageData]
00000001ba128324 (__TEXT,__text) non-external -[HTTPMessage message]
00000001ba1281f4 (__TEXT,__text) non-external -[HTTPMessage method]
00000001ba128318 (__TEXT,__text) non-external -[HTTPMessage setBody:]
00000001ba1282b0 (__TEXT,__text) non-external -[HTTPMessage setHeaderField:value:]
00000001ba12824c (__TEXT,__text) non-external -[HTTPMessage statusCode]
00000001ba128220 (__TEXT,__text) non-external -[HTTPMessage url]
00000001ba1281c8 (__TEXT,__text) non-external -[HTTPMessage version]
00000001ba12e578 (__TEXT,__text) non-external -[HTTPRedirectResponse .cxx_destruct]
00000001ba12e3a0 (__TEXT,__text) non-external -[HTTPRedirectResponse contentLength]
00000001ba12e4fc (__TEXT,__text) non-external -[HTTPRedirectResponse dealloc]
00000001ba1445b4 (__TEXT,__text) non-external -[HTTPRedirectResponse dealloc].cold.1
00000001ba12e418 (__TEXT,__text) non-external -[HTTPRedirectResponse httpHeaders]
00000001ba1445b4 (__TEXT,__text) non-external -[HTTPRedirectResponse httpHeaders].cold.1
00000001ba12e2ec (__TEXT,__text) non-external -[HTTPRedirectResponse initWithPath:]
00000001ba1445b4 (__TEXT,__text) non-external -[HTTPRedirectResponse initWithPath:].cold.1
00000001ba12e410 (__TEXT,__text) non-external -[HTTPRedirectResponse isDone]
00000001ba12e3a8 (__TEXT,__text) non-external -[HTTPRedirectResponse offset]
00000001ba12e3b4 (__TEXT,__text) non-external -[HTTPRedirectResponse readDataOfLength:]
00000001ba1445b4 (__TEXT,__text) non-external -[HTTPRedirectResponse readDataOfLength:].cold.1
00000001ba12e3b0 (__TEXT,__text) non-external -[HTTPRedirectResponse setOffset:]
00000001ba12e4a0 (__TEXT,__text) non-external -[HTTPRedirectResponse status]
00000001ba1445b4 (__TEXT,__text) non-external -[HTTPRedirectResponse status].cold.1
00000001ba13ecc0 (__TEXT,__text) non-external -[HTTPSendFileResponse .cxx_destruct]
00000001ba13e6f4 (__TEXT,__text) non-external -[HTTPSendFileResponse abort]
00000001ba1446a8 (__TEXT,__text) non-external -[HTTPSendFileResponse abort].cold.1
00000001ba13e930 (__TEXT,__text) non-external -[HTTPSendFileResponse contentLength]
00000001ba1446a8 (__TEXT,__text) non-external -[HTTPSendFileResponse contentLength].cold.1
00000001ba13ec44 (__TEXT,__text) non-external -[HTTPSendFileResponse dealloc]
00000001ba1446a8 (__TEXT,__text) non-external -[HTTPSendFileResponse dealloc].cold.1
00000001ba13ec3c (__TEXT,__text) non-external -[HTTPSendFileResponse filePath]
00000001ba13e428 (__TEXT,__text) non-external -[HTTPSendFileResponse initWithFilePath:forConnection:]
00000001ba1446a8 (__TEXT,__text) non-external -[HTTPSendFileResponse initWithFilePath:forConnection:].cold.1
00000001ba13ebd8 (__TEXT,__text) non-external -[HTTPSendFileResponse isDone]
00000001ba14499c (__TEXT,__text) non-external -[HTTPSendFileResponse isDone].cold.1
00000001ba13e98c (__TEXT,__text) non-external -[HTTPSendFileResponse offset]
00000001ba1446a8 (__TEXT,__text) non-external -[HTTPSendFileResponse offset].cold.1
00000001ba13e90c (__TEXT,__text) non-external -[HTTPSendFileResponse openFileIfNeeded]
00000001ba13e760 (__TEXT,__text) non-external -[HTTPSendFileResponse openFile]
00000001ba144770 (__TEXT,__text) non-external -[HTTPSendFileResponse openFile].cold.1
00000001ba1446a8 (__TEXT,__text) non-external -[HTTPSendFileResponse openFile].cold.2
00000001ba13ea44 (__TEXT,__text) non-external -[HTTPSendFileResponse readHTTPDataOfLength:orLimit:]
00000001ba1448ec (__TEXT,__text) non-external -[HTTPSendFileResponse readHTTPDataOfLength:orLimit:].cold.1
00000001ba13e9e8 (__TEXT,__text) non-external -[HTTPSendFileResponse setOffset:]
00000001ba14483c (__TEXT,__text) non-external -[HTTPSendFileResponse setOffset:].cold.1
00000001ba12b740 (__TEXT,__text) non-external -[HTTPServer .cxx_destruct]
00000001ba129844 (__TEXT,__text) non-external -[HTTPServer TXTRecordDictionary]
00000001ba12a864 (__TEXT,__text) non-external -[HTTPServer config]
00000001ba1289a8 (__TEXT,__text) non-external -[HTTPServer connectionClass]
00000001ba12b120 (__TEXT,__text) non-external -[HTTPServer connectionDidDie:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer connectionDidDie:].cold.1
00000001ba1285b8 (__TEXT,__text) non-external -[HTTPServer dealloc]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer dealloc].cold.1
00000001ba128674 (__TEXT,__text) non-external -[HTTPServer documentRoot]
00000001ba1290bc (__TEXT,__text) non-external -[HTTPServer domain]
00000001ba1283fc (__TEXT,__text) non-external -[HTTPServer init]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer init].cold.1
00000001ba128b44 (__TEXT,__text) non-external -[HTTPServer interface]
00000001ba12a764 (__TEXT,__text) non-external -[HTTPServer isRunning]
00000001ba128cf4 (__TEXT,__text) non-external -[HTTPServer listeningAddresses]
00000001ba129b58 (__TEXT,__text) non-external -[HTTPServer listeningIPv4Socket]
00000001ba129ce4 (__TEXT,__text) non-external -[HTTPServer listeningIPv6Socket]
00000001ba128efc (__TEXT,__text) non-external -[HTTPServer listeningPort]
00000001ba129e70 (__TEXT,__text) non-external -[HTTPServer listeningUnixSocket]
00000001ba1292b8 (__TEXT,__text) non-external -[HTTPServer name]
00000001ba12afc8 (__TEXT,__text) non-external -[HTTPServer netService:didNotPublish:]
00000001ba12ae8c (__TEXT,__text) non-external -[HTTPServer netServiceDidPublish:]
00000001ba12a824 (__TEXT,__text) non-external -[HTTPServer numberOfHTTPConnections]
00000001ba128e3c (__TEXT,__text) non-external -[HTTPServer port]
00000001ba12a984 (__TEXT,__text) non-external -[HTTPServer publishBonjour]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer publishBonjour].cold.1
00000001ba1293bc (__TEXT,__text) non-external -[HTTPServer publishedName]
00000001ba12ad9c (__TEXT,__text) non-external -[HTTPServer republishBonjour]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer republishBonjour].cold.1
00000001ba128a80 (__TEXT,__text) non-external -[HTTPServer setConnectionClass:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer setConnectionClass:].cold.1
00000001ba128790 (__TEXT,__text) non-external -[HTTPServer setDocumentRoot:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer setDocumentRoot:].cold.1
00000001ba1291c0 (__TEXT,__text) non-external -[HTTPServer setDomain:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer setDomain:].cold.1
00000001ba128c48 (__TEXT,__text) non-external -[HTTPServer setInterface:]
00000001ba129c18 (__TEXT,__text) non-external -[HTTPServer setListeningIPv4Socket:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer setListeningIPv4Socket:].cold.1
00000001ba129da4 (__TEXT,__text) non-external -[HTTPServer setListeningIPv6Socket:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer setListeningIPv6Socket:].cold.1
00000001ba129f30 (__TEXT,__text) non-external -[HTTPServer setListeningUnixSocket:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer setListeningUnixSocket:].cold.1
00000001ba1295e8 (__TEXT,__text) non-external -[HTTPServer setName:]
00000001ba128ff0 (__TEXT,__text) non-external -[HTTPServer setPort:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer setPort:].cold.1
00000001ba129948 (__TEXT,__text) non-external -[HTTPServer setTXTRecordDictionary:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer setTXTRecordDictionary:].cold.1
00000001ba129798 (__TEXT,__text) non-external -[HTTPServer setType:]
00000001ba12a8d0 (__TEXT,__text) non-external -[HTTPServer socket:didAcceptNewSocket:]
00000001ba129ffc (__TEXT,__text) non-external -[HTTPServer start:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer start:].cold.1
00000001ba12a550 (__TEXT,__text) non-external -[HTTPServer stop:]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer stop:].cold.1
00000001ba12a548 (__TEXT,__text) non-external -[HTTPServer stop]
00000001ba129694 (__TEXT,__text) non-external -[HTTPServer type]
00000001ba12ac48 (__TEXT,__text) non-external -[HTTPServer unpublishBonjour]
00000001ba1429bc (__TEXT,__text) non-external -[HTTPServer unpublishBonjour].cold.1
00000001ba11ff9c (__TEXT,__text) non-external -[NSData(DDData) base64Decoded]
00000001ba11fdcc (__TEXT,__text) non-external -[NSData(DDData) base64Encoded]
00000001ba11fcf4 (__TEXT,__text) non-external -[NSData(DDData) hexStringValue]
00000001ba11fbac (__TEXT,__text) non-external -[NSData(DDData) md5Digest]
00000001ba11fc50 (__TEXT,__text) non-external -[NSData(DDData) sha1Digest]
00000001ba120684 (__TEXT,__text) non-external -[NSValue(NSValueDDRangeExtensions) ddrangeCompare:]
00000001ba120658 (__TEXT,__text) non-external -[NSValue(NSValueDDRangeExtensions) ddrangeValue]
00000001ba14982c (__TEXT,__gcc_except_tab) non-external GCC_except_table105
00000001ba149844 (__TEXT,__gcc_except_tab) non-external GCC_except_table112
00000001ba14985c (__TEXT,__gcc_except_tab) non-external GCC_except_table158
00000001ba149870 (__TEXT,__gcc_except_tab) non-external GCC_except_table160
00000001ba149884 (__TEXT,__gcc_except_tab) non-external GCC_except_table186
00000001ba149898 (__TEXT,__gcc_except_tab) non-external GCC_except_table188
00000001ba1498ac (__TEXT,__gcc_except_tab) non-external GCC_except_table224
00000001ba1498c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table227
00000001ba1498e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table249
00000001ba1498fc (__TEXT,__gcc_except_tab) non-external GCC_except_table268
00000001ba14998c (__TEXT,__gcc_except_tab) non-external GCC_except_table274
00000001ba1499a4 (__TEXT,__gcc_except_tab) non-external GCC_except_table29
00000001ba1499d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table39
00000001ba149a0c (__TEXT,__gcc_except_tab) non-external GCC_except_table55
00000001ba1497ec (__TEXT,__gcc_except_tab) non-external GCC_except_table76
00000001ba149800 (__TEXT,__gcc_except_tab) non-external GCC_except_table80
00000001ba149814 (__TEXT,__gcc_except_tab) non-external GCC_except_table87
                 (undefined) external _CC_MD5 (from libSystem)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFHTTPMessageAppendBytes (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyAllHeaderFields (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyBody (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyHeaderFieldValue (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyRequestMethod (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyRequestURL (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopySerializedMessage (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyVersion (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateEmpty (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateRequest (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateResponse (from CFNetwork)
                 (undefined) external _CFHTTPMessageGetResponseStatusCode (from CFNetwork)
                 (undefined) external _CFHTTPMessageIsHeaderComplete (from CFNetwork)
                 (undefined) external _CFHTTPMessageSetBody (from CFNetwork)
                 (undefined) external _CFHTTPMessageSetHeaderFieldValue (from CFNetwork)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithSubstring (from CoreFoundation)
                 (undefined) external _CFStringTrimWhitespace (from CoreFoundation)
                 (undefined) external _CFURLCreateStringByReplacingPercentEscapes (from CoreFoundation)
                 (undefined) external _CFUUIDCreate (from CoreFoundation)
                 (undefined) external _CFUUIDCreateString (from CoreFoundation)
00000001ba13d6ec (__TEXT,__text) external _DDExtractFileNameWithoutExtension
00000001ba120404 (__TEXT,__text) external _DDIntersectionRange
00000001ba1205c8 (__TEXT,__text) external _DDRangeCompare
00000001ba120474 (__TEXT,__text) external _DDRangeFromString
00000001ba12043c (__TEXT,__text) external _DDStringFromRange
00000001ba1203e0 (__TEXT,__text) external _DDUnionRange
00000001e01851b0 (__DATA_CONST,__const) external _GCDAsyncSocketErrorDomain
00000001e01851a8 (__DATA_CONST,__const) external _GCDAsyncSocketException
00000001e01851b8 (__DATA_CONST,__const) external _GCDAsyncSocketQueueName
00000001e01851d8 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsAnyRoot
00000001e01851c8 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsExpiredCertificates
00000001e01851d0 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsExpiredRoots
00000001e01851e0 (__DATA_CONST,__const) external _GCDAsyncSocketSSLCipherSuites
00000001e01851e8 (__DATA_CONST,__const) external _GCDAsyncSocketSSLClientSideAuthentication
00000001e0185200 (__DATA_CONST,__const) external _GCDAsyncSocketSSLDiffieHellmanParameters
00000001e01851f8 (__DATA_CONST,__const) external _GCDAsyncSocketSSLProtocolVersionMax
00000001e01851f0 (__DATA_CONST,__const) external _GCDAsyncSocketSSLProtocolVersionMin
00000001e01851c0 (__DATA_CONST,__const) external _GCDAsyncSocketThreadName
00000001e0185208 (__DATA_CONST,__const) non-external _GlobalLoggingQueueIdentityKey
00000001ba147140 (__TEXT,__const) external _HTTPServerVersionNumber
00000001ba147110 (__TEXT,__const) external _HTTPServerVersionString
                 (undefined) external _NSClassFromString (from Foundation)
                 (undefined) external _NSFileCreationDate (from Foundation)
                 (undefined) external _NSFileHandleOperationException (from Foundation)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSFileSize (from Foundation)
                 (undefined) external _NSFileType (from Foundation)
                 (undefined) external _NSFileTypeDirectory (from Foundation)
                 (undefined) external _NSFileTypeRegular (from Foundation)
                 (undefined) external _NSKeyValueChangeNewKey (from Foundation)
                 (undefined) external _NSKeyValueChangeOldKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSRunLoopCommonModes (from CoreFoundation)
                 (undefined) external _NSSearchPathForDirectoriesInDomains (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSStringFromSelector (from Foundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
00000001e54a7fc0 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDAbstractLogger
00000001e54a8178 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDFileLogger
00000001e54a7f48 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLog
00000001e54a8128 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileFormatterDefault
00000001e54a80d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileInfo
00000001e54a80b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileManagerDefault
00000001e54a7ed0 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogMessage
00000001e54a7ef8 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLoggerNode
00000001e54a81f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDTTYLogger
00000001e54a7d90 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncReadPacket
00000001e54a7e30 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncSendfilePacket
00000001e4edf780 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_GCDAsyncSocket
00000001e4edf7a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_GCDAsyncSocketPreBuffer
00000001e54a7e80 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncSpecialPacket
00000001e54a7de0 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncWritePacket
00000001e54a7c00 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPAsyncFileResponse
00000001e54a7ac0 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPAuthenticationRequest
00000001e54a7b38 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPConfig
00000001e4edf7d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_HTTPConnection
00000001e54a7b10 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPData
00000001e54a7c50 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPDataResponse
00000001e54a7ca0 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPDynamicFileResponse
00000001e54a8060 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPErrorResponse
00000001e54a7cf0 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPFileResponse
00000001e54a7bb0 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPMessage
00000001e54a7d40 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPRedirectResponse
00000001e54a8010 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPSendFileResponse
00000001e4edf7f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_HTTPServer
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSAssertionHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileHandle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNetService (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRunLoop (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSTimer (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001e39f4120 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDAbstractLogger.formatter
00000001e39f4124 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDAbstractLogger.loggerQueue
00000001e39f4160 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.currentLogFileHandle
00000001e39f4168 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.currentLogFileInfo
00000001e39f4158 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.droppedMessageCount
00000001e39f415c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.logFileManager
00000001e39f4150 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.maximumFileSize
00000001e39f4154 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.rollingFrequency
00000001e39f4164 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.rollingTimer
00000001e39f414c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileFormatterDefault.dateFormatter
00000001e39f4178 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.creationDate
00000001e39f4174 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileAttributes
00000001e39f4170 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileName
00000001e39f416c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.filePath
00000001e39f4180 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileSize
00000001e39f417c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.modificationDate
00000001e39f4148 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileManagerDefault._logsDirectory
00000001e39f4144 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileManagerDefault.maximumNumberOfLogFiles
00000001e39f4100 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.file
00000001e39f4104 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.function
00000001e39f4108 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.lineNumber
00000001e39f40f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logContext
00000001e39f40f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logFlag
00000001e39f40ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logLevel
00000001e39f40f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logMsg
00000001e39f410c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.machThreadID
00000001e39f411c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.options
00000001e39f4110 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.queueLabel
00000001e39f4118 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.tag
00000001e39f4114 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.threadName
00000001e39f40fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.timestamp
00000001e39f40e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLoggerNode.logger
00000001e39f40e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLoggerNode.loggerQueue
00000001e39f4194 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.app
00000001e39f4190 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.appLen
00000001e39f418c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.appName
00000001e39f4184 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.calendar
00000001e39f4188 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.calendarUnitFlags
00000001e39f41a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.pid
00000001e39f419c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.pidLen
00000001e39f4198 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.processID
00000001e39f4000 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.buffer
00000001e39f401c (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.bufferOwner
00000001e39f4008 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.bytesDone
00000001e39f400c (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.maxLength
00000001e39f4020 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.originalBufferLength
00000001e39f4014 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.readLength
00000001e39f4004 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.startOffset
00000001e39f4024 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.tag
00000001e39f4018 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.term
00000001e39f4010 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.timeout
00000001e39f403c (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncSendfilePacket.file
00000001e39f4044 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncSendfilePacket.length
00000001e39f4040 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncSendfilePacket.offset
00000001e39f40c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GCDAsyncSocket.IsOnSocketQueueOrTargetQueueKey
00000001e39f4078 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GCDAsyncSocket.accept4Source
00000001e39f407c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GCDAsyncSocket.accept6Source
00000001e39f4080 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GCDAsyncSocket.acceptuSource
00000001e39f40d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GCDAsyncSocket.allowAnyRootWhenEvaluatingPeerTrust
