00007ffd00569ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd400ba660 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffd400ba690 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffd400bb350 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffd400bb370 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffd400bb3a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffd400bb3d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffd400bb440 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffd400bb480 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffd400bb500 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffd400bb560 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffd400bb5e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffd400bb610 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffd400bb660 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffd400bb320 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffd400bb690 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffd400baaf0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffd400ba6c0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffd400bab10 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffd400ba790 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffd400ba7b0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffd400ba860 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffd400bab90 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffd400bab40 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffd400ba490 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffd00581045 (__TEXT,__text) non-external __trace_bufferlen
00007ffd00580861 (__TEXT,__text) non-external __trace_c_type
00007ffd0057dd08 (__TEXT,__text) non-external __trace_colattr2_type
00007ffd0057e008 (__TEXT,__text) non-external __trace_colattr3_data
00007ffd0057dd46 (__TEXT,__text) non-external __trace_colattr3_type
00007ffd0057a4f8 (__TEXT,__text) non-external __trace_connattr_type
00007ffd00581328 (__TEXT,__text) non-external __trace_connopt_type
00007ffd0058301c (__TEXT,__text) non-external __trace_connstr
00007ffd005832b1 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffd00583210 (__TEXT,__text) non-external __trace_connstr_w
00007ffd00582384 (__TEXT,__text) non-external __trace_data
00007ffd0057a786 (__TEXT,__text) non-external __trace_desc_null
00007ffd0057d6cc (__TEXT,__text) non-external __trace_descfield_type
00007ffd005820c8 (__TEXT,__text) non-external __trace_diag_type
00007ffd0057f4dd (__TEXT,__text) non-external __trace_direction
00007ffd005830ee (__TEXT,__text) non-external __trace_drvcn_completion
00007ffd0057b066 (__TEXT,__text) non-external __trace_envattr_type
00007ffd0057b6e2 (__TEXT,__text) non-external __trace_fetchtype
00007ffd00583754 (__TEXT,__text) non-external __trace_freestmt_option
00007ffd0057ecb1 (__TEXT,__text) non-external __trace_func_name
00007ffd0057ec10 (__TEXT,__text) non-external __trace_func_result
00007ffd0057b8d1 (__TEXT,__text) non-external __trace_getinfo
00007ffd005803a3 (__TEXT,__text) non-external __trace_handle
00007ffd0058033e (__TEXT,__text) non-external __trace_handle_p
00007ffd00580300 (__TEXT,__text) non-external __trace_handletype
00007ffd00580b6c (__TEXT,__text) non-external __trace_inouttype
00007ffd00580415 (__TEXT,__text) non-external __trace_integer
00007ffd0058052d (__TEXT,__text) non-external __trace_integer_p
00007ffd00580606 (__TEXT,__text) non-external __trace_len
00007ffd00580640 (__TEXT,__text) non-external __trace_len_p
00007ffd0058044e (__TEXT,__text) non-external __trace_pointer
00007ffd00580173 (__TEXT,__text) non-external __trace_print_function
00007ffd0057b7af (__TEXT,__text) non-external __trace_scrollopt_type
00007ffd0057b5b0 (__TEXT,__text) non-external __trace_setpos_irow
00007ffd0057b60a (__TEXT,__text) non-external __trace_setpos_lock
00007ffd0057b5cc (__TEXT,__text) non-external __trace_setpos_oper
00007ffd005803dc (__TEXT,__text) non-external __trace_smallint
00007ffd00580486 (__TEXT,__text) non-external __trace_smallint_p
00007ffd0057b28e (__TEXT,__text) non-external __trace_spcols_null
00007ffd0057b250 (__TEXT,__text) non-external __trace_spcols_scope
00007ffd0057b211 (__TEXT,__text) non-external __trace_spcols_type
00007ffd00580f8c (__TEXT,__text) non-external __trace_sql_subtype
00007ffd00580baa (__TEXT,__text) non-external __trace_sql_type
00007ffd00580d80 (__TEXT,__text) non-external __trace_sql_type_p
00007ffd0058349c (__TEXT,__text) non-external __trace_stats_accuracy
00007ffd0058345e (__TEXT,__text) non-external __trace_stats_unique
00007ffd00581608 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffd00581dbf (__TEXT,__text) non-external __trace_stmtopt_type
00007ffd005806e6 (__TEXT,__text) non-external __trace_string
00007ffd0058078f (__TEXT,__text) non-external __trace_string_w
00007ffd005805d2 (__TEXT,__text) non-external __trace_stringlen
00007ffd400bb6b0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffd00582a60 (__TEXT,__text) non-external __trace_tran_completion
00007ffd00582d00 (__TEXT,__text) non-external __trace_typeinfo
00007ffd00580432 (__TEXT,__text) non-external __trace_uinteger
00007ffd00580580 (__TEXT,__text) non-external __trace_uinteger_p
00007ffd00580623 (__TEXT,__text) non-external __trace_ulen
00007ffd00580693 (__TEXT,__text) non-external __trace_ulen_p
00007ffd005803f9 (__TEXT,__text) non-external __trace_usmallint
00007ffd005804da (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffd41580842 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd0058459e (__TEXT,__text) non-external _dm_SQL_A2W
00007ffd00584ac2 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffd00584533 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffd005847e6 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffd00584612 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffd00584ce0 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffd005846b1 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffd0058474d (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffd0058479b (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffd005861d6 (__TEXT,__text) non-external _do_create_dsns
00007ffd41580800 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffd415807e0 (__DATA,__common) non-external _ierror
00007ffd005862ff (__TEXT,__text) non-external _install_from_ini
00007ffd005867fc (__TEXT,__text) non-external _install_from_string
00007ffd41580240 (__DATA,__data) external _iodbc_version
00007ffd41580720 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd41580768 (__DATA,__data) non-external _numerrors
00007ffd41580250 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffd41580770 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffd005869df (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffd400b99d0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffd415807b0 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffd0057d0a5 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffd00581290 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffd0057db8b (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffd0057f42d (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffd0057daf0 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffd0057e581 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffd00581118 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffd005811d4 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffd0057b1b5 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffd00582311 (__TEXT,__text) non-external _trace_SQLCancel
00007ffd0057f4b3 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffd0057df74 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffd0057e358 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffd0057e3ef (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffd0057e49e (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffd00581eea (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffd00581fd9 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffd0057d16c (__TEXT,__text) non-external _trace_SQLColumns
00007ffd0057d25b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffd00581936 (__TEXT,__text) non-external _trace_SQLConnect
00007ffd005819f6 (__TEXT,__text) non-external _trace_SQLConnectW
00007ffd0057b6a9 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffd0057f53c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffd0057f621 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffd0057a7f7 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffd0057a8e3 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffd00581e45 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffd0057f489 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffd00582f38 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffd0058312c (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffd0057e7e2 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffd0057e8c7 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffd0057d060 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffd0057abfb (__TEXT,__text) non-external _trace_SQLError
00007ffd0057acea (__TEXT,__text) non-external _trace_SQLErrorW
00007ffd0057f27e (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffd0057f2dc (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffd0057b1e7 (__TEXT,__text) non-external _trace_SQLExecute
00007ffd0057b724 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffd0057f7b9 (__TEXT,__text) non-external _trace_SQLFetch
00007ffd005812dd (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffd00581ab6 (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffd00581bfa (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffd00581d95 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffd0057b586 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffd0057d02e (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffd0058378f (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffd0057a670 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffd0057a6fb (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffd005814e8 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffd00581530 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffd0057dbf5 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffd0057dc7d (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffd00582990 (__TEXT,__text) non-external _trace_SQLGetData
00007ffd0057d9c0 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffd0057da58 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffd0057a9cf (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffd0057aae5 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffd005821dc (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffd00582284 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffd0057aea7 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffd0057af86 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffd0057b0d3 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffd0057f228 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffd0057b844 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffd0057cd7c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffd0058183c (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffd005818c7 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffd00581dfd (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffd00582ed4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffd00582f06 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffd00582a36 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffd0057d529 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffd0057d5fa (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffd0057d34a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffd00581d3e (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffd0057e54d (__TEXT,__text) non-external _trace_SQLParamData
00007ffd0057d101 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffd005837c1 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffd0058381f (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffd0057e9ac (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffd0057ea70 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffd0057ce09 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffd0057cef8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffd0057e65a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffd0057e71e (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffd0058233b (__TEXT,__text) non-external _trace_SQLPutData
00007ffd0057b15e (__TEXT,__text) non-external _trace_SQLRowCount
00007ffd005833bc (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffd0058340d (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffd00581578 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffd005815c0 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffd0057f6ff (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffd0057f75c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffd0057add9 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffd0057ae40 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffd0057eb34 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffd0057f33a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffd0057b648 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffd0057b7f1 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffd0057f38b (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffd0057f3dc (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffd0057cfe7 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffd0057b2cc (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffd0057b429 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffd005834da (__TEXT,__text) non-external _trace_SQLStatistics
00007ffd00583617 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffd0057d3a1 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffd0057d465 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffd00582b20 (__TEXT,__text) non-external _trace_SQLTables
00007ffd00582c0f (__TEXT,__text) non-external _trace_SQLTablesW
00007ffd00582aa0 (__TEXT,__text) non-external _trace_SQLTransact
00007ffd415807a0 (__DATA,__bss) non-external _trace_appname
00007ffd0057fce9 (__TEXT,__text) non-external _trace_emit
00007ffd0057fff2 (__TEXT,__text) non-external _trace_emit_binary
00007ffd0057fdda (__TEXT,__text) non-external _trace_emit_string
00007ffd0057fdb4 (__TEXT,__text) non-external _trace_emitc
00007ffd415807a8 (__DATA,__bss) non-external _trace_fname
00007ffd415807c0 (__DATA,__bss) non-external _trace_fp
00007ffd415807c8 (__DATA,__bss) non-external _trace_fp_close
00007ffd0057f814 (__TEXT,__text) non-external _trace_get_filename
00007ffd0057f7e4 (__TEXT,__text) non-external _trace_set_appname
00007ffd0057f825 (__TEXT,__text) non-external _trace_set_filename
00007ffd0057fab3 (__TEXT,__text) non-external _trace_start
00007ffd0057fc49 (__TEXT,__text) non-external _trace_stop
00007ffd0057fa60 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffd00584c80 (__TEXT,__text) non-external _utf8_len
00007ffd00584d5f (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffd41580840 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
