00007ffc0e78afa5 (__TEXT,__text) non-external +[ODCAction action]
00007ffc42e4f3c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffc42e4f3a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffc42e4f378 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffc42e4f380 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffc42e4f390 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffc42e4f358 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffc42e4f3d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffc42e4f3e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffc42e4f3d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffc42e4f318 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffc42e4f400 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffc42e4f360 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffc42e4f3a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffc42e4f3b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffc42e4f3b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffc42e4f310 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffc42e4f300 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffc42e4f2f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffc42e4f2c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffc42e4f2f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffc42e4f298 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffc42e4f2e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffc42e4f2b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffc42e4f2b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffc42e4f2d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffc42e4f2a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffc42e4f2d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffc42e4f290 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffc42e4f2e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffc42e4f2c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffc42e4f2a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffc42e4f450 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffc42e4f438 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffc42e4f458 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffc42e4f430 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffc42e4f460 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffc42e4f470 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffc42e4f448 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffc42e4f468 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffc42e4f440 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffc42e4f4c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffc42e4f420 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffc42e4f418 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffc42e4f428 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffc42e4f408 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffc42e4f410 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffc42e4f4b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffc42e4f4b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffc42e4f4c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffc42e4f498 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffc42e4f4a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffc42e4f4a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffc42e4f488 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffc42e4f480 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffc42e4f490 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffc42e4f478 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffc42e4f548 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffc42e4f4f8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffc42e4f5e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffc42e4f6d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffc42e4f598 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffc42e4f688 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffc42e4f638 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffc40e421a8 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffc40e421a0 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffc40e421b8 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffc40e421b0 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffc40e42098 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffc40e420a0 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffc40e420a8 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffc40e420b0 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffc40e420b8 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffc40e420c0 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffc40e42188 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffc40e42150 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffc40e42158 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffc40e420e0 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffc40e420e8 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffc40e420f0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffc40e420f8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffc40e42100 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffc40e42108 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffc40e42110 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffc40e42118 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffc40e42178 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffc40e42090 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffc40e42138 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffc40e42140 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffc40e42148 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffc40e42170 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffc40e420c8 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffc40e420d0 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffc40e420d8 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffc40e42168 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffc40e42160 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffc40e42198 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffc40e42190 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffc40e42180 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffc40e42120 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffc40e42128 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffc40e42130 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc0e7975f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffc0e797668 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffc0e797680 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc0e797698 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffc0e7976b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffc0e797d08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffc0e797eb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffc0e797fd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc0e798050 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffc0e798110 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffc0e798188 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffc40e44760 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffc40e443f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffc40e44ff0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffc40e45560 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffc40e44e60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffc40e453a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffc40e45240 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffc40e44b68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffc40e445d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffc40e45118 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffc40e45588 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffc40e44f08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffc40e45468 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffc40e452c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffc40e44dd0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffc40e446d0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffc40e451b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffc40e455a0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffc40e44f60 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffc40e454d0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffc40e45310 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffc40e44718 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffc40e443a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffc40e44fa8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffc40e45518 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffc40e44e18 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffc40e45358 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffc40e451f8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc0e78aff3 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffc0e792f22 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffc0e7889ed (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffc0e788be0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffc0e78be52 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffc0e7889c3 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffc0e7889da (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc0e798260 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffc0e798220 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffc0e79712c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffc0e7970ea (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc40e421c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffc40e42200 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffc40e42060 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffc40e42030 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffc40e42428 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc40e42468 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffc40e421e0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc40e42448 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc40e42488 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffc0e788bee (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffc0e788b3d (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffc0e788c05 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffc0e788b99 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffc0e79720b (__TEXT,__text) non-external ___fixup_schema2
00007ffc0e797221 (__TEXT,__text) non-external ___fixup_schema3
00007ffc0e79724f (__TEXT,__text) non-external ___fixup_schema4
00007ffc0e797308 (__TEXT,__text) non-external ___fixup_schema5
00007ffc0e796fc1 (__TEXT,__text) non-external ___get_keyinfo
00007ffc42e4f740 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffc0e79691d (__TEXT,__text) non-external __schema_construct
00007ffc0e7973c9 (__TEXT,__text) non-external __schema_construct.cold.1
00007ffc0e796b0f (__TEXT,__text) non-external __schema_deconstruct
00007ffc0e7973c9 (__TEXT,__text) non-external __schema_deconstruct.cold.1
00007ffc0e79701c (__TEXT,__text) non-external __schema_validate_type
00007ffc42e4f720 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffc0e7973e1 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffc0e7973f9 (__TEXT,__text) non-external __schema_validate_type.cold.2
00007ffc42e4f738 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffc42e4f728 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffc42e4f730 (__DATA,__bss) non-external __schema_validate_type.num
00007ffc42e4f710 (__DATA,__bss) non-external __schema_validate_type.once
00007ffc42e4f718 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffc42e4f700 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffc40e423b8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffc40e423c0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffc40e423c8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffc40e423d0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffc40e423d8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffc40e42270 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffc40e42278 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffc40e42280 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffc40e42288 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffc40e422b0 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffc40e42290 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffc40e42298 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffc40e422a8 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffc40e422a0 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffc40e422b8 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffc40e422c0 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffc40e422c8 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffc40e422d0 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffc40e422d8 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffc40e422e8 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffc40e422e0 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffc40e422f0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffc40e422f8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffc40e42300 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffc40e42360 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffc40e42358 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffc40e42378 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffc40e42380 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffc40e42370 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffc40e42368 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffc40e42350 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffc40e42308 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffc40e42310 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffc40e42320 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffc40e42328 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffc40e42330 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffc40e42338 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffc40e42318 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffc40e42340 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffc40e42348 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffc40e423e0 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffc40e423f0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffc40e423f8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffc40e42400 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffc40e42408 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffc40e42410 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffc40e42418 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffc40e423e8 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffc40e42420 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffc0e7982d0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffc40e423a0 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffc40e423b0 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffc40e423a8 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffc40e42398 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffc40e42390 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffc40e42388 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffc0e796f62 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffc42e4f708 (__DATA,__bss) non-external _request_schema
00007ffc0e796a4b (__TEXT,__text) external _schema_construct_request
00007ffc0e796903 (__TEXT,__text) external _schema_construct_requestv
