00007ffd44b5f900 (__DATA,__bss) non-external _A
00007ffd1e9ee888 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffd44b5f6d0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffd44b5f7e8 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffd1e9ea381 (__TEXT,__text) external _cmark_strbuf_clear
00007ffd1e9ea5bd (__TEXT,__text) external _cmark_strbuf_cmp
00007ffd1e9ea4fe (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffd1e9f5a6f (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffd1e9ea587 (__TEXT,__text) external _cmark_strbuf_detach
00007ffd1e9ea69c (__TEXT,__text) external _cmark_strbuf_drop
00007ffd1e9ea34b (__TEXT,__text) external _cmark_strbuf_free
00007ffd1e9ea2e3 (__TEXT,__text) external _cmark_strbuf_grow
00007ffd1e9f5a28 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffd1e9f5a4e (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffd1e9ea2b8 (__TEXT,__text) external _cmark_strbuf_init
00007ffd1e9ea342 (__TEXT,__text) external _cmark_strbuf_len
00007ffd1e9ea782 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffd1e9ea484 (__TEXT,__text) external _cmark_strbuf_put
00007ffd1e9ea44b (__TEXT,__text) external _cmark_strbuf_putc
00007ffd1e9ea4d8 (__TEXT,__text) external _cmark_strbuf_puts
00007ffd1e9ea6e4 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffd1e9ea39b (__TEXT,__text) external _cmark_strbuf_set
00007ffd1e9ea41b (__TEXT,__text) external _cmark_strbuf_sets
00007ffd1e9ea5fe (__TEXT,__text) external _cmark_strbuf_strchr
00007ffd1e9ea63e (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffd1e9ea555 (__TEXT,__text) external _cmark_strbuf_swap
00007ffd1e9ea72d (__TEXT,__text) external _cmark_strbuf_trim
00007ffd1e9ea67d (__TEXT,__text) external _cmark_strbuf_truncate
00007ffd1e9ea819 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffd1e9dcb96 (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffd1e9f5937 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffd1e9dcafc (__TEXT,__text) external _cmark_syntax_extension_free
00007ffd1e9dcc8c (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffd1e9dcb41 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffd1e9dcc0e (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffd1e9dccb0 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffd1e9dcc22 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffd1e9dcc18 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffd1e9dcbc6 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffd1e9dcc04 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffd1e9dcc64 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffd1e9dcc57 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffd1e9dcbf0 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffd1e9dcc36 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffd1e9dcc4a (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffd1e9dcbdd (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffd1e9dcbe6 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffd1e9dcc96 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffd1e9dcca3 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffd1e9dcbd3 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffd1e9dcc2c (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffd1e9dcc71 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffd1e9dcc7e (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffd1e9dcbfa (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffd1e9dcc40 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffd1e9e9f7d (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffd1e9d1bf4 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffd1e9d17a0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffd1e9d1adc (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffd1e9f5767 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffd1e9d96e6 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffd1e9d968c (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffd1e9d1991 (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffd1e9dae28 (__TEXT,__text) external _cmark_version
00007ffd1e9dae33 (__TEXT,__text) external _cmark_version_string
00007ffd1e9dc359 (__TEXT,__text) non-external _commonmark_render
00007ffd1e9decb2 (__TEXT,__text) non-external _commonmark_render
00007ffd1e9f4044 (__TEXT,__text) non-external _commonmark_render
00007ffd1e9f63d1 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffd1e9f402f (__TEXT,__text) non-external _contains_inlines
00007ffd1e9e9fc9 (__TEXT,__text) non-external _core_extensions_registration
00007ffd1e9dccbd (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffd1e9deb8f (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffd1e9f3566 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffd1e9f5627 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffd1e9dc19f (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffd44b5f7f0 (__DATA,__bss) non-external _enable_safety_checks
00007ffd1e9f66a0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffd1e9f4cbe (__TEXT,__text) non-external _escape
00007ffd1e9f5655 (__TEXT,__text) non-external _filter
00007ffd1e9ec935 (__TEXT,__text) non-external _finalize
00007ffd1e9f5b65 (__TEXT,__text) non-external _finalize.cold.1
00007ffd1e9f5b88 (__TEXT,__text) non-external _finalize.cold.2
00007ffd1e9e9f41 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffd1e9ed2a2 (__TEXT,__text) non-external _free_node_as
00007ffd1e9f52c2 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffd1e9dfed4 (__TEXT,__text) non-external _get_link_type
00007ffd1e9dc298 (__TEXT,__text) non-external _get_type_string
00007ffd1e9dec71 (__TEXT,__text) non-external _get_type_string
00007ffd1e9f3f65 (__TEXT,__text) non-external _get_type_string
00007ffd1e9f2bcc (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffd1e9f62c2 (__TEXT,__text) non-external _houdini_escape_href.cold.1
00007ffd1e9f92a0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffd1e9f588b (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffd1e9f57af (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffd1e9f2bfd (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffd1e9f2e70 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffd1e9f2f60 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffd1e9dc3c9 (__TEXT,__text) non-external _html_render
00007ffd1e9ded57 (__TEXT,__text) non-external _html_render
00007ffd1e9f4641 (__TEXT,__text) non-external _html_render
00007ffd1e9f643a (__TEXT,__text) non-external _html_render.cold.1
00007ffd1e9f53bf (__TEXT,__text) non-external _html_table_add_align
00007ffd1e9deedd (__TEXT,__text) non-external _insert
00007ffd1e9ddb22 (__TEXT,__text) non-external _is_valid_hostchar
00007ffd1e9decd3 (__TEXT,__text) non-external _latex_render
00007ffd1e9f425e (__TEXT,__text) non-external _latex_render
00007ffd1e9f63f4 (__TEXT,__text) non-external _latex_render.cold.1
00007ffd1e9f1938 (__TEXT,__text) non-external _link_label
00007ffd1e9f6050 (__TEXT,__text) non-external _link_label.cold.1
00007ffd1e9f6071 (__TEXT,__text) non-external _link_label.cold.2
00007ffd1e9f6094 (__TEXT,__text) non-external _link_label.cold.3
00007ffd1e9f60b7 (__TEXT,__text) non-external _link_label.cold.4
00007ffd1e9f60da (__TEXT,__text) non-external _link_label.cold.5
00007ffd1e9f23f6 (__TEXT,__text) non-external _make_autolink
00007ffd1e9f62a1 (__TEXT,__text) non-external _make_autolink.cold.1
00007ffd1e9f22ef (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffd1e9ded02 (__TEXT,__text) non-external _man_render
00007ffd1e9f44d7 (__TEXT,__text) non-external _man_render
00007ffd1e9f6417 (__TEXT,__text) non-external _man_render.cold.1
00007ffd1e9f1bc5 (__TEXT,__text) non-external _manual_scan_link_url
00007ffd1e9dcd2b (__TEXT,__text) non-external _match
00007ffd1e9ded9a (__TEXT,__text) non-external _match
00007ffd1e9dc234 (__TEXT,__text) non-external _matches
00007ffd1e9f3688 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd1e9ea02e (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffd1e9f5a07 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffd1e9f4c1f (__TEXT,__text) non-external _opaque_alloc
00007ffd1e9f4c6b (__TEXT,__text) non-external _opaque_free
00007ffd1e9dc2a5 (__TEXT,__text) non-external _open_tasklist_item
00007ffd1e9d9ecb (__TEXT,__text) non-external _outc
00007ffd1e9df4e6 (__TEXT,__text) non-external _outc
00007ffd1e9f2ff7 (__TEXT,__text) non-external _outc
00007ffd1e9ded79 (__TEXT,__text) non-external _plaintext_render
00007ffd1e9dd1cd (__TEXT,__text) non-external _postprocess
00007ffd1e9f5958 (__TEXT,__text) non-external _postprocess.cold.1
00007ffd1e9f597b (__TEXT,__text) non-external _postprocess.cold.2
00007ffd1e9f1064 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _qsort (from libSystem)
00007ffd1e9ea28e (__TEXT,__text) non-external _refcmp
00007ffd1e9eaa06 (__TEXT,__text) non-external _reference_free
00007ffd1e9ea209 (__TEXT,__text) non-external _refsearch
00007ffd43488910 (__DATA_DIRTY,__bss) non-external _registered
00007ffd1e9f160e (__TEXT,__text) non-external _remove_delimiter
00007ffd1e9f5f38 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffd1e9eccdc (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffd1e9f4ec0 (__TEXT,__text) non-external _row_from_string
00007ffd42b09530 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffd1e9ecee7 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffd1e9f1af0 (__TEXT,__text) non-external _spnl
00007ffd1e9f60fd (__TEXT,__text) non-external _spnl.cold.1
00007ffd1e9f6120 (__TEXT,__text) non-external _spnl.cold.2
00007ffd1e9f6143 (__TEXT,__text) non-external _spnl.cold.3
00007ffd1e9f6166 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffd43488908 (__DATA_DIRTY,__bss) non-external _syntax_extensions
00007ffd1e9f5329 (__TEXT,__text) non-external _try_inserting_table_header_paragraph
00007ffd1e9f3717 (__TEXT,__text) non-external _try_opening_table_block
00007ffd1e9f521e (__TEXT,__text) non-external _unescape_pipes
00007ffd1e9f65a0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffd1e9ddb5b (__TEXT,__text) non-external _validate_protocol
00007ffd1e9dae40 (__TEXT,__text) non-external _xcalloc
00007ffd1e9f58a4 (__TEXT,__text) non-external _xcalloc.cold.1
00007ffd1e9dae74 (__TEXT,__text) non-external _xfree
00007ffd1e9dc515 (__TEXT,__text) non-external _xml_attr
00007ffd1e9f43f3 (__TEXT,__text) non-external _xml_attr
00007ffd1e9dae5a (__TEXT,__text) non-external _xrealloc
00007ffd1e9f58c9 (__TEXT,__text) non-external _xrealloc.cold.1
