00007ffa42edaee0 (__DATA,__data) non-external _.compoundliteral
00007ffa182d6ca4 (__TEXT,__text) non-external _destroyAggregateType
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffa182da98c (__TEXT,__text) non-external _doPrecisionWarningsForLowpInt
00007ffa42edaea8 (__DATA,__data) non-external _eof_inputsrc
00007ffa182dec78 (__TEXT,__text) non-external _eof_scan
00007ffa182e0928 (__TEXT,__text) non-external _eof_scan
00007ffa182de96f (__TEXT,__text) non-external _eval
00007ffa18289264 (__TEXT,__text) non-external _evalOffsetExtraOfOffset
                 (undefined) external _exp2f (from libSystem)
                 (undefined) external _expf (from libSystem)
                 (undefined) external _fabs (from libSystem)
                 (undefined) external _fclose (from libSystem)
00007ffa182cec6c (__TEXT,__text) non-external _flattenCommaTreeInto
                 (undefined) external _floor (from libSystem)
                 (undefined) external _floorf (from libSystem)
00007ffa183051f7 (__TEXT,__text) non-external _foldAdd
00007ffa18304de6 (__TEXT,__text) non-external _foldArrayAccess
00007ffa183058c3 (__TEXT,__text) non-external _foldArrayType
00007ffa183054b0 (__TEXT,__text) non-external _foldAssign
00007ffa18305d3b (__TEXT,__text) non-external _foldAvailabilityDeclaration
00007ffa1830540c (__TEXT,__text) non-external _foldBitwiseAnd
00007ffa18305435 (__TEXT,__text) non-external _foldBitwiseOr
00007ffa1830545e (__TEXT,__text) non-external _foldBitwiseXor
00007ffa18305aaf (__TEXT,__text) non-external _foldBlock
00007ffa18305c6e (__TEXT,__text) non-external _foldBreakStatement
00007ffa18305c1c (__TEXT,__text) non-external _foldCaseStatement
00007ffa183055b7 (__TEXT,__text) non-external _foldCommaExpr
00007ffa18304d98 (__TEXT,__text) non-external _foldConstant
00007ffa18304edc (__TEXT,__text) non-external _foldConstructorCall
00007ffa18305c97 (__TEXT,__text) non-external _foldContinueStatement
00007ffa18305c45 (__TEXT,__text) non-external _foldDefaultStatement
00007ffa18307a54 (__TEXT,__text) non-external _foldDerefNode
00007ffa18305cc0 (__TEXT,__text) non-external _foldDiscardStatement
00007ffa183051a5 (__TEXT,__text) non-external _foldDivide
00007ffa182894f7 (__TEXT,__text) non-external _foldDstSwizzleMaskForComp
00007ffa1830533f (__TEXT,__text) non-external _foldEqual
00007ffa18305a86 (__TEXT,__text) non-external _foldExpressionStatement
00007ffa18304e0f (__TEXT,__text) non-external _foldFieldAccess
00007ffa183058ec (__TEXT,__text) non-external _foldFieldDeclaration
00007ffa18304e61 (__TEXT,__text) non-external _foldFunctionCall
00007ffa18305848 (__TEXT,__text) non-external _foldFunctionDefinition
00007ffa18305667 (__TEXT,__text) non-external _foldFunctionPrototype
00007ffa18305a34 (__TEXT,__text) non-external _foldGlobalTypeQualifier
00007ffa183052ed (__TEXT,__text) non-external _foldGreater
00007ffa18305316 (__TEXT,__text) non-external _foldGreaterEqual
00007ffa18305ed3 (__TEXT,__text) non-external _foldIBPartialDeref
00007ffa18305487 (__TEXT,__text) non-external _foldIfExpr
00007ffa18305b13 (__TEXT,__text) non-external _foldIfStatement
00007ffa1830593e (__TEXT,__text) non-external _foldInterfaceBlock
00007ffa18305990 (__TEXT,__text) non-external _foldKeywordQualifier
00007ffa18305ddf (__TEXT,__text) non-external _foldLValue
00007ffa18305a5d (__TEXT,__text) non-external _foldLayoutPair
00007ffa183059b9 (__TEXT,__text) non-external _foldLayoutQualifier
00007ffa18305967 (__TEXT,__text) non-external _foldLayoutType
00007ffa1830529b (__TEXT,__text) non-external _foldLess
00007ffa183052c4 (__TEXT,__text) non-external _foldLessEqual
00007ffa18305391 (__TEXT,__text) non-external _foldLogicalAnd
00007ffa183053ba (__TEXT,__text) non-external _foldLogicalOr
00007ffa183053e3 (__TEXT,__text) non-external _foldLogicalXor
00007ffa18305b77 (__TEXT,__text) non-external _foldLoopStatement
00007ffa18304eb3 (__TEXT,__text) non-external _foldMethodCall
00007ffa183051ce (__TEXT,__text) non-external _foldModulo
00007ffa1830517c (__TEXT,__text) non-external _foldMultiply
00007ffa18304fd2 (__TEXT,__text) non-external _foldNegate
00007ffa18305368 (__TEXT,__text) non-external _foldNotEqual
00007ffa18305db6 (__TEXT,__text) non-external _foldOffset
00007ffa1830553c (__TEXT,__text) non-external _foldOpAssign
00007ffa18305efc (__TEXT,__text) non-external _foldPPStreamOp
00007ffa1830563e (__TEXT,__text) non-external _foldParameterDeclaration
00007ffa18304f2e (__TEXT,__text) non-external _foldPostdecrement
00007ffa18304f05 (__TEXT,__text) non-external _foldPostincrement
00007ffa183057cd (__TEXT,__text) non-external _foldPrecisionDeclaration
00007ffa18304f80 (__TEXT,__text) non-external _foldPredecrement
00007ffa18304f57 (__TEXT,__text) non-external _foldPreincrement
00007ffa1830589a (__TEXT,__text) non-external _foldPrimitiveType
00007ffa183057f6 (__TEXT,__text) non-external _foldQualifiedDeclaration
00007ffa1830581f (__TEXT,__text) non-external _foldQualifiedDeclarationGroup
00007ffa18305871 (__TEXT,__text) non-external _foldQualifiedType
00007ffa18305a0b (__TEXT,__text) non-external _foldQualifierList
00007ffa18305e45 (__TEXT,__text) non-external _foldRValue
00007ffa18305d64 (__TEXT,__text) non-external _foldRawCall
00007ffa18305565 (__TEXT,__text) non-external _foldReadInput
00007ffa18305ce9 (__TEXT,__text) non-external _foldReturnStatement
00007ffa18305249 (__TEXT,__text) non-external _foldShiftLeft
00007ffa18305272 (__TEXT,__text) non-external _foldShiftRight
00007ffa18305915 (__TEXT,__text) non-external _foldStructType
00007ffa18304e8a (__TEXT,__text) non-external _foldSubroutineArrayCall
00007ffa18305d8d (__TEXT,__text) non-external _foldSubroutineRawCall
00007ffa183059e2 (__TEXT,__text) non-external _foldSubroutineTypeList
00007ffa183062f2 (__TEXT,__text) non-external _foldSubroutineUniform
00007ffa18305220 (__TEXT,__text) non-external _foldSubtract
00007ffa18305ba0 (__TEXT,__text) non-external _foldSwitchStatement
00007ffa18305d12 (__TEXT,__text) non-external _foldTopLevel
00007ffa18304b18 (__TEXT,__text) non-external _foldTypeConversion
00007ffa18304d6f (__TEXT,__text) non-external _foldTypeIdentifier
00007ffa183064fb (__TEXT,__text) non-external _foldUnaryOperator
00007ffa18304fa9 (__TEXT,__text) non-external _foldUnaryPlus
00007ffa18304e38 (__TEXT,__text) non-external _foldUndeterminedCall
00007ffa18305690 (__TEXT,__text) non-external _foldVariableDeclaration
00007ffa183057a4 (__TEXT,__text) non-external _foldVariableDeclarationGroup
00007ffa18304d46 (__TEXT,__text) non-external _foldVariableIdentifier
00007ffa1830558e (__TEXT,__text) non-external _foldWriteOutput
00007ffa41d282a0 (__DATA_CONST,__const) non-external (was a private external) _fpDclList
                 (undefined) external _fprintf_l (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _frexp (from libSystem)
                 (undefined) external _frexpf (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa42edf530 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00007ffa182b8fdb (__TEXT,__text) non-external _generateSlotVars
00007ffa18304110 (__TEXT,__text) non-external _genericCheckKidsBarrier
00007ffa182d9658 (__TEXT,__text) non-external _getAccessorReplaceCallback
00007ffa182c30d1 (__TEXT,__text) non-external _getAndRemapBuiltinFromScope
00007ffa182d2eca (__TEXT,__text) non-external _getBindableUniformLocationInfo
00007ffa182d2be1 (__TEXT,__text) non-external _getBindingInfo
00007ffa182d54d4 (__TEXT,__text) non-external _getBindingInfoForType
00007ffa182c120e (__TEXT,__text) non-external _getInputOutputBitsType
00007ffa182d018f (__TEXT,__text) non-external _getPrecisionFlagsFromArgs
00007ffa182d3285 (__TEXT,__text) non-external _getString
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getsectiondata (from libSystem)
00007ffa181feca3 (__TEXT,__text) non-external _gl_atomic_add
00007ffa1833a560 (__TEXT,__text) non-external (was a private external) _gleAttribBindingSize
00007ffa1833a5d9 (__TEXT,__text) non-external (was a private external) _gleCopyAttribBindings
00007ffa1833a56d (__TEXT,__text) non-external (was a private external) _gleCopyParamBindings
00007ffa18357df4 (__TEXT,__text) non-external _gleFStateProgram_AddAttribs
00007ffa18353055 (__TEXT,__text) non-external _gleFStateProgram_AddPPStreamOperation
00007ffa183580b0 (__TEXT,__text) non-external _gleFStateProgram_AddParams
00007ffa18358276 (__TEXT,__text) non-external _gleFStateProgram_AllocateAttribs
00007ffa18353064 (__TEXT,__text) non-external _gleFStateProgram_Core
00007ffa18357cb0 (__TEXT,__text) non-external _gleFStateProgram_End
00007ffa18358270 (__TEXT,__text) non-external _gleFStateProgram_LLVMAddOperation
00007ffa1835898d (__TEXT,__text) non-external _gleStateProgram_ASSERT
00007ffa18358804 (__TEXT,__text) non-external _gleStateProgram_A_MODULATE
00007ffa18358993 (__TEXT,__text) non-external _gleStateProgram_A_REPLACE
00007ffa41d2be30 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsA
00007ffa41d2bec0 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsI
00007ffa41d2be60 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsL
00007ffa41d2be90 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsLA
00007ffa41d2bef0 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGB
00007ffa41d2bf20 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGBA
00007ffa18358aac (__TEXT,__text) non-external _gleStateProgram_CheckDestInit
00007ffa18359b9a (__TEXT,__text) non-external _gleStateProgram_I_ADD
00007ffa183599ea (__TEXT,__text) non-external _gleStateProgram_I_BLEND
00007ffa183596c8 (__TEXT,__text) non-external _gleStateProgram_RGBA_ADD
00007ffa1835937f (__TEXT,__text) non-external _gleStateProgram_RGBA_BLEND
00007ffa18359d2b (__TEXT,__text) non-external _gleStateProgram_RGBA_DECAL
00007ffa1835920a (__TEXT,__text) non-external _gleStateProgram_RGBA_MODULATE
00007ffa18359061 (__TEXT,__text) non-external _gleStateProgram_RGB_ADD
00007ffa18358d7d (__TEXT,__text) non-external _gleStateProgram_RGB_BLEND
00007ffa18358bf4 (__TEXT,__text) non-external _gleStateProgram_RGB_MODULATE
00007ffa18358f48 (__TEXT,__text) non-external _gleStateProgram_RGB_REPLACE
00007ffa18358551 (__TEXT,__text) non-external _gleStateProgram_TextureSampleOp
00007ffa1833f4c4 (__TEXT,__text) non-external _gleVStateProgram_AddAttribs
00007ffa1833ad40 (__TEXT,__text) non-external _gleVStateProgram_AddPPStreamOperation
00007ffa1833f7e0 (__TEXT,__text) non-external _gleVStateProgram_AddParams
00007ffa183401ba (__TEXT,__text) non-external _gleVStateProgram_AllocateOutputs
00007ffa1833ad4f (__TEXT,__text) non-external _gleVStateProgram_Core
00007ffa18340428 (__TEXT,__text) non-external _gleVStateProgram_GetAttrib
00007ffa183401b4 (__TEXT,__text) non-external _gleVStateProgram_IgnoreOption
00007ffa18340422 (__TEXT,__text) non-external _gleVStateProgram_LLVMAddOperation
00007ffa183404c7 (__TEXT,__text) non-external _gleVStateProgram_LightingStage
00007ffa183521ba (__TEXT,__text) non-external _gleVStateProgram_MultMatrix3x3
00007ffa1835163c (__TEXT,__text) non-external _gleVStateProgram_MultMatrix4x4
00007ffa183527bf (__TEXT,__text) non-external _gleVStateProgram_NormalizeVector
                 (undefined) external _glgConvertPixelWidthToBlocks (from libGLImage)
                 (undefined) external _glgConvertType (from libGLImage)
                 (undefined) external _glgGetCompressedBlockBytes (from libGLImage)
                 (undefined) external _glgGetCompressedBlockHeight (from libGLImage)
                 (undefined) external _glgGetCompressedImageBytes (from libGLImage)
                 (undefined) external _glgGetPixelSize (from libGLImage)
                 (undefined) external _glgProcessPixelsWithProcessor (from libGLImage)
00007ffa182837e4 (__TEXT,__text) non-external (was a private external) _glpABIGetArrayStrideForElementType
00007ffa182837c5 (__TEXT,__text) non-external (was a private external) _glpABIGetMatrixStride
00007ffa1828382a (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumBufferBytesForType
00007ffa18283810 (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumStructAlignment
00007ffa1828385e (__TEXT,__text) non-external (was a private external) _glpABIGetStructTypeRangeOfField
00007ffa182837a5 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeAlign
00007ffa18283786 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeSize
00007ffa182847e0 (__TEXT,__text) non-external (was a private external) _glpASTMergeInitContext
00007ffa18284a4a (__TEXT,__text) non-external (was a private external) _glpASTMergePhase1AddTopLevelNode
00007ffa18285260 (__TEXT,__text) non-external (was a private external) _glpASTMergePhase2
00007ffa182e1a0d (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChild
00007ffa182e19f4 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChildCount
00007ffa182e1a97 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetKind
00007ffa182e1ab4 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetLocation
00007ffa182e1a8d (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaFlags
00007ffa182e1a83 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaType
00007ffa182e19fd (__TEXT,__text) non-external (was a private external) _glpASTNodeSetChild
00007ffa182e1acc (__TEXT,__text) non-external (was a private external) _glpASTNodeSetLocation
00007ffa182e1aa0 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaFlags
00007ffa182e1aaa (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaType
00007ffa182b0f5b (__TEXT,__text) non-external (was a private external) _glpAddExtensionDefines
00007ffa41d28770 (__DATA_CONST,__const) non-external _glpAddExtensionDefines.builtinDefines
00007ffa182a5874 (__TEXT,__text) non-external _glpAddGep
00007ffa182ca4c4 (__TEXT,__text) non-external (was a private external) _glpAddOffsetIfNeeded
00007ffa182d68d8 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementCount
00007ffa182d690a (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementFlags
00007ffa182d691a (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementLayout
00007ffa182d68fa (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementType
00007ffa182d741b (__TEXT,__text) non-external (was a private external) _glpAggregateTypeMangleName
00007ffa18283765 (__TEXT,__text) non-external (was a private external) _glpAlignTypeSize
00007ffa182d818f (__TEXT,__text) non-external (was a private external) _glpAnalyzeBinaryMathOp
00007ffa182cce73 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToFunction
00007ffa182cc195 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToOverload
00007ffa182ccf4d (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToSubroutineArray
00007ffa182d7e23 (__TEXT,__text) non-external (was a private external) _glpAnalyzeUnaryMathOp
00007ffa182aecd0 (__TEXT,__text) non-external (was a private external) _glpAppendFlagDescription
00007ffa182dbaba (__TEXT,__text) non-external (was a private external) _glpAppendValueDescriptionToStringBuffer
00007ffa182af728 (__TEXT,__text) non-external (was a private external) _glpAppendVariableObjectDescription
00007ffa182cf5a4 (__TEXT,__text) non-external (was a private external) _glpApplySizeToBanks
00007ffa182847c6 (__TEXT,__text) non-external (was a private external) _glpArchiveFileFinishEntryNamed
00007ffa1828474d (__TEXT,__text) non-external (was a private external) _glpArchiveFileGetEntryNamed
00007ffa182e1fed (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetArray
00007ffa182e2007 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetElement
00007ffa182e1ffa (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetArray
00007ffa182e2015 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetElement
00007ffa182d6f42 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementCount
00007ffa182d6a62 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementType
00007ffa182d6a6c (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetMaxElementCount
00007ffa182e3a77 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetDimension
00007ffa182e3a5d (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetElementType
00007ffa182e3a85 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeSetDimension
00007ffa182e3a6a (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeSetElementType
00007ffa182e2e19 (__TEXT,__text) non-external (was a private external) _glpAssignNodeGetIsFromSource
00007ffa182e4bfd (__TEXT,__text) non-external (was a private external) _glpAvailabilityDeclarationNodeSetExpr
00007ffa182b0205 (__TEXT,__text) non-external (was a private external) _glpBankForInputsInLanguage
00007ffa182b0222 (__TEXT,__text) non-external (was a private external) _glpBankForOutputsInLanguage
00007ffa182d6abe (__TEXT,__text) non-external (was a private external) _glpBankTypeGetBank
00007ffa182d6ad1 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetElementCount
00007ffa182d6ac7 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetElementType
00007ffa182e18ec (__TEXT,__text) non-external (was a private external) _glpBaseSizeOfNodeKind
00007ffa182e1b1c (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeGetLhs
00007ffa182e1b36 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeGetRhs
00007ffa182e1b29 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeSetLhs
00007ffa182e1b44 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeSetRhs
00007ffa182d7f10 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorStringToSymbol
00007ffa182e450c (__TEXT,__text) non-external (was a private external) _glpBlockNodeAddStatement
00007ffa182e44cf (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetNeedsNewScope
00007ffa182e44ec (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetStatement
00007ffa182e44e3 (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetStatementCount
00007ffa182e4519 (__TEXT,__text) non-external (was a private external) _glpBlockNodeInsertStatement
00007ffa182e44d9 (__TEXT,__text) non-external (was a private external) _glpBlockNodeSetNeedsNewScope
00007ffa182e44fc (__TEXT,__text) non-external (was a private external) _glpBlockNodeSetStatement
00007ffa182affc8 (__TEXT,__text) non-external (was a private external) _glpBufferObjectGetMinimumBufferSize
00007ffa1829ee44 (__TEXT,__text) non-external _glpBuildAlloca
00007ffa182a86c0 (__TEXT,__text) non-external _glpBuildArrayElementPtr
00007ffa182a8bd2 (__TEXT,__text) non-external _glpBuildArrayElementPtrCst
00007ffa1829f9e8 (__TEXT,__text) non-external _glpBuildConstantIntVector
00007ffa182a3f5b (__TEXT,__text) non-external _glpBuildGetLODOperation
00007ffa182a42e7 (__TEXT,__text) non-external _glpBuildInterpolateAt
00007ffa182a1643 (__TEXT,__text) non-external _glpBuildTextureOperation
00007ffa182a32f0 (__TEXT,__text) non-external _glpBuildTextureSizeOperation
00007ffa182a543d (__TEXT,__text) non-external _glpBuildUniformElementPtr
00007ffa42edfaa0 (__DATA,__common) non-external (was a private external) _glpBuiltInConstantValues
00007ffa42edfa90 (__DATA,__common) non-external (was a private external) _glpBuiltInConstantsInitialized
00007ffa18286f36 (__TEXT,__text) non-external _glpCGAssign
00007ffa18286df6 (__TEXT,__text) non-external _glpCGBitwiseNot
00007ffa18287ad8 (__TEXT,__text) non-external _glpCGBlock
00007ffa182881a7 (__TEXT,__text) non-external _glpCGBreakStatement
00007ffa182880ca (__TEXT,__text) non-external _glpCGCaseStatement
00007ffa18287724 (__TEXT,__text) non-external _glpCGCommaExpr
00007ffa1828675b (__TEXT,__text) non-external _glpCGConstant
00007ffa18288223 (__TEXT,__text) non-external _glpCGContinueStatement
00007ffa18288161 (__TEXT,__text) non-external _glpCGDefaultStatement
00007ffa18287935 (__TEXT,__text) non-external _glpCGFunctionDefinition
00007ffa18287827 (__TEXT,__text) non-external _glpCGFunctionPrototype
00007ffa18287b35 (__TEXT,__text) non-external _glpCGIfStatement
00007ffa18287a88 (__TEXT,__text) non-external _glpCGInterfaceBlock
00007ffa18288531 (__TEXT,__text) non-external _glpCGLValue
00007ffa18286cb6 (__TEXT,__text) non-external _glpCGLogicalNot
00007ffa18287d17 (__TEXT,__text) non-external _glpCGLoopStatement
00007ffa18286c82 (__TEXT,__text) non-external _glpCGNegate
00007ffa182860ae (__TEXT,__text) non-external _glpCGNode
00007ffa182867ec (__TEXT,__text) non-external _glpCGPPStreamOpNode
00007ffa18287790 (__TEXT,__text) non-external _glpCGParameterDeclaration
00007ffa182885dd (__TEXT,__text) non-external _glpCGRValue
00007ffa18288305 (__TEXT,__text) non-external _glpCGRawCallNode
00007ffa1828829f (__TEXT,__text) non-external _glpCGReturnStatement
00007ffa18288380 (__TEXT,__text) non-external _glpCGSubroutineRawCallNode
00007ffa18286afd (__TEXT,__text) non-external _glpCGSubroutineUniformNode
00007ffa18287f19 (__TEXT,__text) non-external _glpCGSwitchStatement
00007ffa182a4525 (__TEXT,__text) non-external _glpCGSwizzle
00007ffa18285d60 (__TEXT,__text) non-external (was a private external) _glpCGTopLevel
00007ffa18286615 (__TEXT,__text) non-external _glpCGTypeConversion
00007ffa182878a0 (__TEXT,__text) non-external _glpCGVariableDeclaration
00007ffa182878d8 (__TEXT,__text) non-external _glpCGVariableDeclarationGroup
00007ffa183189ed (__TEXT,__text) non-external (was a private external) _glpCPPErrorToInfoLog
00007ffa1831891e (__TEXT,__text) non-external (was a private external) _glpCPPShInfoLogMsg
00007ffa18318854 (__TEXT,__text) non-external (was a private external) _glpCPPWarningToInfoLog
00007ffa182c67e6 (__TEXT,__text) non-external (was a private external) _glpCalculateCallPrecision
00007ffa18352ab0 (__TEXT,__text) external _glpCallFragmentStateToLLVMIR
00007ffa182e1b7b (__TEXT,__text) non-external (was a private external) _glpCallNodeAddArg
00007ffa182e1b5b (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArg
00007ffa182e1b52 (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArgCount
00007ffa182e1b88 (__TEXT,__text) non-external (was a private external) _glpCallNodeInsertArg
00007ffa182e1b6b (__TEXT,__text) non-external (was a private external) _glpCallNodeSetArg
00007ffa1833a622 (__TEXT,__text) external _glpCallVertexStateToLLVMIR
00007ffa182cd01c (__TEXT,__text) non-external (was a private external) _glpCanConvert
00007ffa182e4848 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetConstValue
00007ffa182e4834 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetIsStray
00007ffa182e4855 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetConstValue
00007ffa182e483e (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetIsStray
00007ffa182d8408 (__TEXT,__text) non-external (was a private external) _glpCheckAndSanitizeConstructorCall
00007ffa182cb747 (__TEXT,__text) non-external (was a private external) _glpCheckArrayIndex
00007ffa18303f10 (__TEXT,__text) non-external (was a private external) _glpCheckBarrier
00007ffa182ca5da (__TEXT,__text) non-external (was a private external) _glpCheckIBDeref
00007ffa182ce265 (__TEXT,__text) non-external (was a private external) _glpCheckName
00007ffa182b7737 (__TEXT,__text) non-external (was a private external) _glpCleanUpLinkedProgram
00007ffa182e2fd8 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeAddExpr
00007ffa182e2f7a (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeClearExprs
00007ffa182e2fb8 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExpr
00007ffa182e2faf (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExprCount
00007ffa182e2f70 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetIsFromSource
00007ffa182e2fe5 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeInsertExpr
00007ffa182e2fc8 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeSetExpr
00007ffa182cece8 (__TEXT,__text) non-external (was a private external) _glpCommaResult
00007ffa182db95f (__TEXT,__text) non-external (was a private external) _glpCompareValues
00007ffa182b3118 (__TEXT,__text) non-external (was a private external) _glpCompileShader
00007ffa182addba (__TEXT,__text) non-external (was a private external) _glpCompilerAllOutputsAreInvariant
00007ffa182adf44 (__TEXT,__text) non-external (was a private external) _glpCompilerApplyImplictRulesForGlobalTypeQualifier
00007ffa182ae3e4 (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTrackPrecision
00007ffa182ae403 (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTypeRequirePrecision
00007ffa182ae21a (__TEXT,__text) non-external (was a private external) _glpCompilerForceAllOutputsToBeInvariant
00007ffa182adb51 (__TEXT,__text) non-external (was a private external) _glpCompilerGetAllocator
00007ffa182ad0a5 (__TEXT,__text) non-external (was a private external) _glpCompilerGetGLProfile
00007ffa182ae56c (__TEXT,__text) non-external (was a private external) _glpCompilerGetImmediateSAContext
00007ffa182ae371 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImplicitConversionPolicy
00007ffa182ae0ff (__TEXT,__text) non-external (was a private external) _glpCompilerGetImpliedBankSize
00007ffa182ad0b7 (__TEXT,__text) non-external (was a private external) _glpCompilerGetInfoLog
00007ffa182ae1ce (__TEXT,__text) non-external (was a private external) _glpCompilerGetIntConstant
00007ffa182adf2c (__TEXT,__text) non-external (was a private external) _glpCompilerGetLanguage
00007ffa182adf22 (__TEXT,__text) non-external (was a private external) _glpCompilerGetNameTable
00007ffa182ad0ae (__TEXT,__text) non-external (was a private external) _glpCompilerGetOSXVersion
00007ffa182ad09c (__TEXT,__text) non-external (was a private external) _glpCompilerGetOptions
00007ffa182ae22e (__TEXT,__text) non-external (was a private external) _glpCompilerGetSubroutineType
00007ffa182adf3a (__TEXT,__text) non-external (was a private external) _glpCompilerGetTopLevelNode
00007ffa182ae1c4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetValueHash
00007ffa182adda0 (__TEXT,__text) non-external (was a private external) _glpCompilerInsertDef
00007ffa182ade6a (__TEXT,__text) non-external (was a private external) _glpCompilerNewTempName
00007ffa182adb40 (__TEXT,__text) non-external (was a private external) _glpCompilerPoolAlloc
00007ffa182ae563 (__TEXT,__text) non-external (was a private external) _glpCompilerPopSAContext
00007ffa182ae49b (__TEXT,__text) non-external (was a private external) _glpCompilerPushSAContext
00007ffa182ad0c4 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapObject
00007ffa182ade5c (__TEXT,__text) non-external (was a private external) _glpCompilerRemapValue
00007ffa182ae491 (__TEXT,__text) non-external (was a private external) _glpCompilerRequiresOutputPoints
00007ffa182ae487 (__TEXT,__text) non-external (was a private external) _glpCompilerSetRequiresOutputPoints
00007ffa182ae224 (__TEXT,__text) non-external (was a private external) _glpCompilerUsingStyleGuide
00007ffa1830448b (__TEXT,__text) non-external (was a private external) _glpConstantFold
00007ffa182e1f62 (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetType
00007ffa182e1f6c (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetValue
00007ffa182e1f76 (__TEXT,__text) non-external (was a private external) _glpConstantNodeSetValue
00007ffa18304180 (__TEXT,__text) non-external (was a private external) _glpConstantValueFromDecomposedInitializer
00007ffa182e236f (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeGetType
