000000022e3cb1c8 (__DATA,__data) non-external _.compoundliteral
00000001e84b7ab4 (__TEXT,__text) non-external _deserializeASTFields
00000001e84b4c18 (__TEXT,__text) non-external _deserializeAssignFields
00000001e84b64a8 (__TEXT,__text) non-external _deserializeBlockFields
00000001e84b8028 (__TEXT,__text) non-external _deserializeCallFields
00000001e84b6684 (__TEXT,__text) non-external _deserializeCaseStatementFields
00000001e84b4d80 (__TEXT,__text) non-external _deserializeCommaExprFields
00000001e84b4944 (__TEXT,__text) non-external _deserializeConstantFields
00000001e84b66dc (__TEXT,__text) non-external _deserializeDefaultStatementFields
00000001e84b4b68 (__TEXT,__text) non-external _deserializeEqualFields
00000001e84b4a38 (__TEXT,__text) non-external _deserializeFieldAccessFields
00000001e84b5834 (__TEXT,__text) non-external _deserializeFieldDeclarationFields
00000001e84b4a6c (__TEXT,__text) non-external _deserializeFunctionCallFields
00000001e84b4ff0 (__TEXT,__text) non-external _deserializeFunctionPrototypeFields
00000001e84b6228 (__TEXT,__text) non-external _deserializeGlobalTypeQualifierFields
00000001e84b71d8 (__TEXT,__text) non-external _deserializeIBPartialDerefFields
00000001e84b589c (__TEXT,__text) non-external _deserializeInterfaceBlockFields
00000001e84b5b48 (__TEXT,__text) non-external _deserializeKeywordQualifierFields
00000001e84b6fb4 (__TEXT,__text) non-external _deserializeLValueFields
00000001e84b62b0 (__TEXT,__text) non-external _deserializeLayoutPairFields
00000001e84b5d00 (__TEXT,__text) non-external _deserializeLayoutQualifierFields
00000001e84b5990 (__TEXT,__text) non-external _deserializeLayoutTypeFields
00000001e84b4b34 (__TEXT,__text) non-external _deserializeMethodCallFields
00000001e84b4bc0 (__TEXT,__text) non-external _deserializeNotEqualFields
00000001e84b6a90 (__TEXT,__text) non-external _deserializeOffsetFields
00000001e84b7260 (__TEXT,__text) non-external _deserializePPStreamOpFields
00000001e84b4f5c (__TEXT,__text) non-external _deserializeParameterDeclarationFields
00000001e84b567c (__TEXT,__text) non-external _deserializePrimitiveTypeFields
00000001e84b5490 (__TEXT,__text) non-external _deserializeQualifiedDeclarationFields
00000001e84b54c4 (__TEXT,__text) non-external _deserializeQualifiedDeclarationGroupFields
00000001e84b6070 (__TEXT,__text) non-external _deserializeQualifierListFields
00000001e84b6974 (__TEXT,__text) non-external _deserializeRawCallFields
00000001e84b4c70 (__TEXT,__text) non-external _deserializeReadInputFields
00000001e84b6734 (__TEXT,__text) non-external _deserializeReturnStatementFields
00000001e84b5868 (__TEXT,__text) non-external _deserializeStructTypeFields
00000001e84b81e0 (__TEXT,__text) non-external _deserializeStructureFields
00000001e84b4b00 (__TEXT,__text) non-external _deserializeSubroutineArrayCallFields
00000001e84b6a08 (__TEXT,__text) non-external _deserializeSubroutineRawCallFields
00000001e84b5eb8 (__TEXT,__text) non-external _deserializeSubroutineTypeListFields
00000001e84b7a2c (__TEXT,__text) non-external _deserializeSubroutineUniformFields
00000001e84b67bc (__TEXT,__text) non-external _deserializeTopLevelFields
00000001e84b4694 (__TEXT,__text) non-external _deserializeTypeConversionFields
00000001e84b4910 (__TEXT,__text) non-external _deserializeTypeIdentifierFields
00000001e84b5214 (__TEXT,__text) non-external _deserializeVariableDeclarationFields
00000001e84b52d8 (__TEXT,__text) non-external _deserializeVariableDeclarationGroupFields
00000001e84b48dc (__TEXT,__text) non-external _deserializeVariableIdentifierFields
00000001e84b4cf8 (__TEXT,__text) non-external _deserializeWriteOutputFields
00000001e84b07d4 (__TEXT,__text) non-external (was a private external) _deserialize_GLPNameTableEntry
00000001e8499dc8 (__TEXT,__text) non-external (was a private external) _deserialize_GLPString
00000001e8499870 (__TEXT,__text) non-external (was a private external) _deserialize_double
00000001e8499830 (__TEXT,__text) non-external (was a private external) _deserialize_float
00000001e84998b0 (__TEXT,__text) non-external (was a private external) _deserialize_pointer
00000001e849ef20 (__TEXT,__text) non-external _destroyAggregateType
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000001e84a2f04 (__TEXT,__text) non-external _doPrecisionWarningsForLowpInt
000000022fc42688 (__AUTH,__data) non-external _eof_inputsrc
00000001e84a75d0 (__TEXT,__text) non-external _eof_scan
00000001e84a9548 (__TEXT,__text) non-external _eof_scan
00000001e84a7250 (__TEXT,__text) non-external _eval
00000001e8456508 (__TEXT,__text) non-external _evalOffsetExtraOfOffset
                 (undefined) external _exp2f (from libSystem)
                 (undefined) external _expf (from libSystem)
                 (undefined) external _fabs (from libSystem)
                 (undefined) external _fclose (from libSystem)
00000001e8496f5c (__TEXT,__text) non-external _flattenCommaTreeInto
                 (undefined) external _floor (from libSystem)
                 (undefined) external _floorf (from libSystem)
00000001e84cf9e4 (__TEXT,__text) non-external _foldAssign
00000001e84cfc54 (__TEXT,__text) non-external _foldBlock
00000001e84cfa7c (__TEXT,__text) non-external _foldCommaExpr
00000001e84cf7d0 (__TEXT,__text) non-external _foldConstant
00000001e84d1858 (__TEXT,__text) non-external _foldDerefNode
00000001e84567c8 (__TEXT,__text) non-external _foldDstSwizzleMaskForComp
00000001e84cfccc (__TEXT,__text) non-external _foldIfStatement
00000001e84cfddc (__TEXT,__text) non-external _foldLValue
00000001e84cf844 (__TEXT,__text) non-external _foldNegate
00000001e84cff14 (__TEXT,__text) non-external _foldPPStreamOp
00000001e84cfe64 (__TEXT,__text) non-external _foldRValue
00000001e84cfd64 (__TEXT,__text) non-external _foldSwitchStatement
00000001e84cf610 (__TEXT,__text) non-external _foldTypeConversion
00000001e84d059c (__TEXT,__text) non-external _foldUnaryOperator
00000001e84cfb18 (__TEXT,__text) non-external _foldVariableDeclaration
000000022bbfb520 (__DATA_CONST,__const) non-external (was a private external) _fpDclList
                 (undefined) external _fprintf_l (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _frexp (from libSystem)
                 (undefined) external _frexpf (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000022e3cf818 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001e84827e0 (__TEXT,__text) non-external _generateSlotVars
00000001e84ceed8 (__TEXT,__text) non-external _genericCheckKidsBarrier
00000001e84a1b40 (__TEXT,__text) non-external _getAccessorReplaceCallback
00000001e848bba0 (__TEXT,__text) non-external _getAndRemapBuiltinFromScope
00000001e849b014 (__TEXT,__text) non-external _getBindableUniformLocationInfo
00000001e849ad0c (__TEXT,__text) non-external _getBindingInfo
00000001e849d55c (__TEXT,__text) non-external _getBindingInfoForType
00000001e8489e60 (__TEXT,__text) non-external _getInputOutputBitsType
00000001e8498324 (__TEXT,__text) non-external _getPrecisionFlagsFromArgs
00000001e849b3f4 (__TEXT,__text) non-external _getString
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getsectiondata (from libSystem)
00000001e83e67f4 (__TEXT,__text) non-external _gl_atomic_add
00000001e8501518 (__TEXT,__text) non-external (was a private external) _gleAttribBindingSize
00000001e85015a0 (__TEXT,__text) non-external (was a private external) _gleCopyAttribBindings
00000001e8501524 (__TEXT,__text) non-external (was a private external) _gleCopyParamBindings
00000001e851a0cc (__TEXT,__text) non-external _gleFStateProgram_AddAttribs
00000001e85161d4 (__TEXT,__text) non-external _gleFStateProgram_AddPPStreamOperation
00000001e851a3a4 (__TEXT,__text) non-external _gleFStateProgram_AddParams
00000001e851a5a8 (__TEXT,__text) non-external _gleFStateProgram_AllocateAttribs
00000001e85161e0 (__TEXT,__text) non-external _gleFStateProgram_Core
00000001e8519f68 (__TEXT,__text) non-external _gleFStateProgram_End
00000001e851a5a4 (__TEXT,__text) non-external _gleFStateProgram_LLVMAddOperation
00000001e851acb8 (__TEXT,__text) non-external _gleStateProgram_ASSERT
00000001e851ab20 (__TEXT,__text) non-external _gleStateProgram_A_MODULATE
00000001e851acbc (__TEXT,__text) non-external _gleStateProgram_A_REPLACE
0000000233cca500 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsA
0000000233cca578 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsI
0000000233cca528 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsL
0000000233cca550 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsLA
0000000233cca5a0 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGB
0000000233cca5c8 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGBA
00000001e851addc (__TEXT,__text) non-external _gleStateProgram_CheckDestInit
00000001e851befc (__TEXT,__text) non-external _gleStateProgram_I_ADD
00000001e851bd44 (__TEXT,__text) non-external _gleStateProgram_I_BLEND
00000001e851ba20 (__TEXT,__text) non-external _gleStateProgram_RGBA_ADD
00000001e851b6e0 (__TEXT,__text) non-external _gleStateProgram_RGBA_BLEND
00000001e851c090 (__TEXT,__text) non-external _gleStateProgram_RGBA_DECAL
00000001e851b560 (__TEXT,__text) non-external _gleStateProgram_RGBA_MODULATE
00000001e851b3b4 (__TEXT,__text) non-external _gleStateProgram_RGB_ADD
00000001e851b0c0 (__TEXT,__text) non-external _gleStateProgram_RGB_BLEND
00000001e851af28 (__TEXT,__text) non-external _gleStateProgram_RGB_MODULATE
00000001e851b294 (__TEXT,__text) non-external _gleStateProgram_RGB_REPLACE
00000001e851a878 (__TEXT,__text) non-external _gleStateProgram_TextureSampleOp
00000001e8505d24 (__TEXT,__text) non-external _gleVStateProgram_AddAttribs
00000001e8501ca0 (__TEXT,__text) non-external _gleVStateProgram_AddPPStreamOperation
00000001e8506020 (__TEXT,__text) non-external _gleVStateProgram_AddParams
00000001e850698c (__TEXT,__text) non-external _gleVStateProgram_AllocateOutputs
00000001e8501cac (__TEXT,__text) non-external _gleVStateProgram_Core
00000001e8506bc0 (__TEXT,__text) non-external _gleVStateProgram_GetAttrib
00000001e8506988 (__TEXT,__text) non-external _gleVStateProgram_IgnoreOption
00000001e8506bbc (__TEXT,__text) non-external _gleVStateProgram_LLVMAddOperation
00000001e8506c7c (__TEXT,__text) non-external _gleVStateProgram_LightingStage
00000001e8515428 (__TEXT,__text) non-external _gleVStateProgram_MultMatrix3x3
00000001e8514934 (__TEXT,__text) non-external _gleVStateProgram_MultMatrix4x4
00000001e85159a0 (__TEXT,__text) non-external _gleVStateProgram_NormalizeVector
                 (undefined) external _glgConvertPixelWidthToBlocks (from libGLImage)
                 (undefined) external _glgConvertType (from libGLImage)
                 (undefined) external _glgGetCompressedBlockBytes (from libGLImage)
                 (undefined) external _glgGetCompressedBlockHeight (from libGLImage)
                 (undefined) external _glgGetCompressedImageBytes (from libGLImage)
                 (undefined) external _glgGetPixelSize (from libGLImage)
                 (undefined) external _glgProcessPixelsWithProcessor (from libGLImage)
00000001e8450b60 (__TEXT,__text) non-external (was a private external) _glpABIGetArrayStrideForElementType
00000001e8450b40 (__TEXT,__text) non-external (was a private external) _glpABIGetMatrixStride
00000001e8450b98 (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumBufferBytesForType
00000001e8450b80 (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumStructAlignment
00000001e8450be8 (__TEXT,__text) non-external (was a private external) _glpABIGetStructTypeRangeOfField
00000001e8450b20 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeAlign
00000001e8450b00 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeSize
00000001e8451dd8 (__TEXT,__text) non-external (was a private external) _glpASTMergeInitContext
00000001e8452018 (__TEXT,__text) non-external (was a private external) _glpASTMergePhase1AddTopLevelNode
00000001e845271c (__TEXT,__text) non-external (was a private external) _glpASTMergePhase2
00000001e84aa830 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChild
00000001e84aa81c (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChildCount
00000001e84aa8b4 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetKind
00000001e84aa8cc (__TEXT,__text) non-external (was a private external) _glpASTNodeGetLocation
00000001e84aa8ac (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaFlags
00000001e84aa8a4 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaType
00000001e84aa824 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetChild
00000001e84aa8e0 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetLocation
00000001e84aa8bc (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaFlags
00000001e84aa8c4 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaType
00000001e847b68c (__TEXT,__text) non-external (was a private external) _glpAddExtensionDefines
000000022bbfbde8 (__DATA_CONST,__const) non-external _glpAddExtensionDefines.builtinDefines
00000001e84705b4 (__TEXT,__text) non-external _glpAddGep
00000001e8492954 (__TEXT,__text) non-external (was a private external) _glpAddOffsetIfNeeded
00000001e849ead4 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementCount
00000001e849eaf8 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementFlags
00000001e849eb04 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementLayout
00000001e849eaec (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementType
00000001e849f7e4 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeMangleName
00000001e8450ae4 (__TEXT,__text) non-external (was a private external) _glpAlignTypeSize
00000001e84a0690 (__TEXT,__text) non-external (was a private external) _glpAnalyzeBinaryMathOp
00000001e8495048 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToFunction
00000001e8494358 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToOverload
00000001e849512c (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToSubroutineArray
00000001e84a02fc (__TEXT,__text) non-external (was a private external) _glpAnalyzeUnaryMathOp
00000001e8479390 (__TEXT,__text) non-external (was a private external) _glpAppendFlagDescription
00000001e84a4000 (__TEXT,__text) non-external (was a private external) _glpAppendValueDescriptionToStringBuffer
00000001e8479c94 (__TEXT,__text) non-external (was a private external) _glpAppendVariableObjectDescription
00000001e8497820 (__TEXT,__text) non-external (was a private external) _glpApplySizeToBanks
00000001e8451db8 (__TEXT,__text) non-external (was a private external) _glpArchiveFileFinishEntryNamed
00000001e8451d24 (__TEXT,__text) non-external (was a private external) _glpArchiveFileGetEntryNamed
00000001e84aaeec (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetArray
00000001e84aaf04 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetElement
00000001e84aaef8 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetArray
00000001e84aaf10 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetElement
00000001e849f204 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementCount
00000001e849ec64 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementType
00000001e849ec6c (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetMaxElementCount
00000001e84ad014 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetDimension
00000001e84acffc (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetElementType
00000001e84ad020 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeSetDimension
00000001e84ad008 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeSetElementType
00000001e84ac0f8 (__TEXT,__text) non-external (was a private external) _glpAssignNodeGetIsFromSource
00000001e84ae600 (__TEXT,__text) non-external (was a private external) _glpAvailabilityDeclarationNodeSetExpr
00000001e847a900 (__TEXT,__text) non-external (was a private external) _glpBankForInputsInLanguage
00000001e847a92c (__TEXT,__text) non-external (was a private external) _glpBankForOutputsInLanguage
00000001e849eccc (__TEXT,__text) non-external (was a private external) _glpBankTypeGetBank
00000001e849ecdc (__TEXT,__text) non-external (was a private external) _glpBankTypeGetElementCount
00000001e849ecd4 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetElementType
00000001e84aa6d4 (__TEXT,__text) non-external (was a private external) _glpBaseSizeOfNodeKind
00000001e84aa934 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeGetLhs
00000001e84aa94c (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeGetRhs
00000001e84aa940 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeSetLhs
00000001e84aa958 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeSetRhs
00000001e84a0410 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorStringToSymbol
00000001e84adcd8 (__TEXT,__text) non-external (was a private external) _glpBlockNodeAddStatement
00000001e84adca8 (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetNeedsNewScope
00000001e84adcc0 (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetStatement
00000001e84adcb8 (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetStatementCount
00000001e84adce0 (__TEXT,__text) non-external (was a private external) _glpBlockNodeInsertStatement
00000001e84adcb0 (__TEXT,__text) non-external (was a private external) _glpBlockNodeSetNeedsNewScope
00000001e84adccc (__TEXT,__text) non-external (was a private external) _glpBlockNodeSetStatement
00000001e847a63c (__TEXT,__text) non-external (was a private external) _glpBufferObjectGetMinimumBufferSize
00000001e846a4b8 (__TEXT,__text) non-external _glpBuildAlloca
00000001e8472e3c (__TEXT,__text) non-external _glpBuildArrayElementPtr
00000001e8473368 (__TEXT,__text) non-external _glpBuildArrayElementPtrCst
00000001e846b058 (__TEXT,__text) non-external _glpBuildConstantIntVector
00000001e846f04c (__TEXT,__text) non-external _glpBuildGetLODOperation
00000001e846f408 (__TEXT,__text) non-external _glpBuildInterpolateAt
00000001e846ccac (__TEXT,__text) non-external _glpBuildTextureOperation
00000001e846e448 (__TEXT,__text) non-external _glpBuildTextureSizeOperation
00000001e8470204 (__TEXT,__text) non-external _glpBuildUniformElementPtr
000000022e3cfd5c (__DATA,__common) non-external (was a private external) _glpBuiltInConstantValues
000000022e3cfd58 (__DATA,__common) non-external (was a private external) _glpBuiltInConstantsInitialized
00000001e84543a4 (__TEXT,__text) non-external _glpCGAssign
00000001e8454270 (__TEXT,__text) non-external _glpCGBitwiseNot
00000001e8454e94 (__TEXT,__text) non-external _glpCGBlock
00000001e84554c0 (__TEXT,__text) non-external _glpCGBreakStatement
00000001e84553d8 (__TEXT,__text) non-external _glpCGCaseStatement
00000001e8454a60 (__TEXT,__text) non-external _glpCGCommaExpr
00000001e8453bbc (__TEXT,__text) non-external _glpCGConstant
00000001e8455540 (__TEXT,__text) non-external _glpCGContinueStatement
00000001e845546c (__TEXT,__text) non-external _glpCGDefaultStatement
00000001e8454ce8 (__TEXT,__text) non-external _glpCGFunctionDefinition
00000001e8454b90 (__TEXT,__text) non-external _glpCGFunctionPrototype
00000001e8454f04 (__TEXT,__text) non-external _glpCGIfStatement
00000001e8454e2c (__TEXT,__text) non-external _glpCGInterfaceBlock
00000001e8455844 (__TEXT,__text) non-external _glpCGLValue
00000001e845413c (__TEXT,__text) non-external _glpCGLogicalNot
00000001e845509c (__TEXT,__text) non-external _glpCGLoopStatement
00000001e84540f4 (__TEXT,__text) non-external _glpCGNegate
00000001e84533e0 (__TEXT,__text) non-external _glpCGNode
00000001e8453c64 (__TEXT,__text) non-external _glpCGPPStreamOpNode
00000001e8454adc (__TEXT,__text) non-external _glpCGParameterDeclaration
00000001e84558ec (__TEXT,__text) non-external _glpCGRValue
00000001e8455628 (__TEXT,__text) non-external _glpCGRawCallNode
00000001e84555c0 (__TEXT,__text) non-external _glpCGReturnStatement
00000001e84556ac (__TEXT,__text) non-external _glpCGSubroutineRawCallNode
00000001e8453f8c (__TEXT,__text) non-external _glpCGSubroutineUniformNode
00000001e8455260 (__TEXT,__text) non-external _glpCGSwitchStatement
00000001e846f624 (__TEXT,__text) non-external _glpCGSwizzle
00000001e84530dc (__TEXT,__text) non-external (was a private external) _glpCGTopLevel
00000001e8453a98 (__TEXT,__text) non-external _glpCGTypeConversion
00000001e8454c20 (__TEXT,__text) non-external _glpCGVariableDeclaration
00000001e8454c78 (__TEXT,__text) non-external _glpCGVariableDeclarationGroup
00000001e84e20cc (__TEXT,__text) non-external (was a private external) _glpCPPErrorToInfoLog
00000001e84e1ffc (__TEXT,__text) non-external (was a private external) _glpCPPShInfoLogMsg
00000001e84e1f34 (__TEXT,__text) non-external (was a private external) _glpCPPWarningToInfoLog
00000001e848f1b4 (__TEXT,__text) non-external (was a private external) _glpCalculateCallPrecision
00000001e8515c5c (__TEXT,__text) external _glpCallFragmentStateToLLVMIR
00000001e84aa984 (__TEXT,__text) non-external (was a private external) _glpCallNodeAddArg
00000001e84aa96c (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArg
00000001e84aa964 (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArgCount
00000001e84aa98c (__TEXT,__text) non-external (was a private external) _glpCallNodeInsertArg
00000001e84aa978 (__TEXT,__text) non-external (was a private external) _glpCallNodeSetArg
00000001e8501608 (__TEXT,__text) external _glpCallVertexStateToLLVMIR
00000001e8495204 (__TEXT,__text) non-external (was a private external) _glpCanConvert
00000001e84ae114 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetConstValue
00000001e84ae104 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetIsStray
00000001e84ae120 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetConstValue
00000001e84ae10c (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetIsStray
00000001e84a0960 (__TEXT,__text) non-external (was a private external) _glpCheckAndSanitizeConstructorCall
00000001e8493974 (__TEXT,__text) non-external (was a private external) _glpCheckArrayIndex
00000001e84cecac (__TEXT,__text) non-external (was a private external) _glpCheckBarrier
00000001e8492a78 (__TEXT,__text) non-external (was a private external) _glpCheckIBDeref
00000001e84963f4 (__TEXT,__text) non-external (was a private external) _glpCheckName
00000001e848113c (__TEXT,__text) non-external (was a private external) _glpCleanUpLinkedProgram
00000001e84ac314 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeAddExpr
00000001e84ac2a8 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeClearExprs
00000001e84ac2fc (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExpr
00000001e84ac2f4 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExprCount
00000001e84ac2a0 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetIsFromSource
00000001e84ac31c (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeInsertExpr
00000001e84ac308 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeSetExpr
00000001e8497008 (__TEXT,__text) non-external (was a private external) _glpCommaResult
00000001e84a3e58 (__TEXT,__text) non-external (was a private external) _glpCompareValues
00000001e847db04 (__TEXT,__text) non-external (was a private external) _glpCompileShader
00000001e84783a4 (__TEXT,__text) non-external (was a private external) _glpCompilerAllOutputsAreInvariant
00000001e847859c (__TEXT,__text) non-external (was a private external) _glpCompilerApplyImplictRulesForGlobalTypeQualifier
00000001e8478a6c (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTrackPrecision
00000001e8478a94 (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTypeRequirePrecision
00000001e8478888 (__TEXT,__text) non-external (was a private external) _glpCompilerForceAllOutputsToBeInvariant
00000001e8478104 (__TEXT,__text) non-external (was a private external) _glpCompilerGetAllocator
00000001e8477850 (__TEXT,__text) non-external (was a private external) _glpCompilerGetGLProfile
00000001e8478c20 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImmediateSAContext
00000001e84789e4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImplicitConversionPolicy
00000001e8478738 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImpliedBankSize
00000001e8477860 (__TEXT,__text) non-external (was a private external) _glpCompilerGetInfoLog
00000001e8478818 (__TEXT,__text) non-external (was a private external) _glpCompilerGetIntConstant
00000001e847858c (__TEXT,__text) non-external (was a private external) _glpCompilerGetLanguage
00000001e8478584 (__TEXT,__text) non-external (was a private external) _glpCompilerGetNameTable
00000001e8477858 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOSXVersion
00000001e8477848 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOptions
00000001e847889c (__TEXT,__text) non-external (was a private external) _glpCompilerGetSubroutineType
00000001e8478594 (__TEXT,__text) non-external (was a private external) _glpCompilerGetTopLevelNode
00000001e8478810 (__TEXT,__text) non-external (was a private external) _glpCompilerGetValueHash
00000001e847838c (__TEXT,__text) non-external (was a private external) _glpCompilerInsertDef
00000001e8478494 (__TEXT,__text) non-external (was a private external) _glpCompilerNewTempName
00000001e84780fc (__TEXT,__text) non-external (was a private external) _glpCompilerPoolAlloc
00000001e8478c10 (__TEXT,__text) non-external (was a private external) _glpCompilerPopSAContext
00000001e8478b3c (__TEXT,__text) non-external (was a private external) _glpCompilerPushSAContext
00000001e8477868 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapObject
00000001e847848c (__TEXT,__text) non-external (was a private external) _glpCompilerRemapValue
00000001e8478b34 (__TEXT,__text) non-external (was a private external) _glpCompilerRequiresOutputPoints
00000001e8478b2c (__TEXT,__text) non-external (was a private external) _glpCompilerSetRequiresOutputPoints
00000001e8478894 (__TEXT,__text) non-external (was a private external) _glpCompilerUsingStyleGuide
00000001e84cf1f8 (__TEXT,__text) non-external (was a private external) _glpConstantFold
00000001e84aae30 (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetType
00000001e84aae38 (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetValue
00000001e84aae40 (__TEXT,__text) non-external (was a private external) _glpConstantNodeSetValue
00000001e84cef48 (__TEXT,__text) non-external (was a private external) _glpConstantValueFromDecomposedInitializer
00000001e84ab358 (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeGetType
00000001e84ab368 (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeSetType
00000001e8493cb0 (__TEXT,__text) non-external (was a private external) _glpConvert
00000001e8480adc (__TEXT,__text) non-external _glpCopyContextState
00000001e847b9cc (__TEXT,__text) non-external (was a private external) _glpCopyLayoutObject
00000001e849e098 (__TEXT,__text) non-external (was a private external) _glpCopyString
00000001e84a3dbc (__TEXT,__text) non-external (was a private external) _glpCopyValue
00000001e84a3e04 (__TEXT,__text) non-external (was a private external) _glpCopyValueInto
00000001e84d1b38 (__TEXT,__text) non-external _glpCopyValueIntoWithSwizzle
00000001e844f1ec (__TEXT,__text) non-external (was a private external) _glpCreateDoublesTelemetry
000000022e3cf858 (__DATA,__bss) non-external _glpCreateDoublesTelemetry.onceToken
00000001e844f340 (__TEXT,__text) non-external (was a private external) _glpCreateNVFragment2Telemetry
000000022e3cf878 (__DATA,__bss) non-external _glpCreateNVFragment2Telemetry.onceToken
00000001e844f30c (__TEXT,__text) non-external (was a private external) _glpCreateNVFragmentProgramTelemetry
000000022e3cf870 (__DATA,__bss) non-external _glpCreateNVFragmentProgramTelemetry.onceToken
00000001e844f2a4 (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex2Telemetry
000000022e3cf860 (__DATA,__bss) non-external _glpCreateNVVertex2Telemetry.onceToken
00000001e844f2d8 (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex3Telemetry
000000022e3cf868 (__DATA,__bss) non-external _glpCreateNVVertex3Telemetry.onceToken
00000001e848117c (__TEXT,__text) non-external _glpCreateShaderByteCode
00000001e844f220 (__TEXT,__text) non-external _glpCreateTelemetry
