00000001f0c2044c (__TEXT,__text) non-external +[ODCAction action]
000000020db6a688 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
000000020db6a638 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
000000020db6a658 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
000000020db6a660 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
000000020db6a664 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
000000020db6a610 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
000000020db6a608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
000000020db6a600 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
000000020db6a5e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
000000020db6a604 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
000000020db6a5d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
000000020db6a5f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
000000020db6a5e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
000000020db6a5e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
000000020db6a5f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
000000020db6a5dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
000000020db6a5f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
000000020db6a5d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
000000020db6a5fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
000000020db6a5ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
000000020db6a5d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
000000020db6a6b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
000000020db6a6a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
000000020db6a6b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
000000020db6a6a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
000000020db6a6b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
000000020db6a6c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
000000020db6a6ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
000000020db6a6bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
000000020db6a6a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
000000020db6a6ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
000000020db6a698 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
000000020db6a694 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
000000020db6a69c (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
000000020db6a68c (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
000000020db6a690 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
000000020db6a6e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
000000020db6a6e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
000000020db6a6e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
000000020db6a6d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
000000020db6a6dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
000000020db6a6d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
000000020db6a6cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
000000020db6a6c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
000000020db6a6d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
000000020db6a6c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
000000020f8fe318 (__AUTH,__objc_data) external _OBJC_METACLASS_$_ODCAction
000000020f8fe2c8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
000000020f8fe3b8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
000000020f8fe4a8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
000000020f8fe368 (__AUTH,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
000000020f8fe458 (__AUTH,__objc_data) external _OBJC_METACLASS_$_ODCServer
000000020f8fe408 (__AUTH,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
000000020a43b548 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
000000020a43b540 (__DATA_CONST,__const) external _ODCActionErrorDomain
000000020a43b558 (__DATA_CONST,__const) external _ODCActionFinishedNotification
000000020a43b550 (__DATA_CONST,__const) external _ODCActionStartedNotification
000000020a43b438 (__DATA_CONST,__const) external _ODCAddODServerStep1
000000020a43b440 (__DATA_CONST,__const) external _ODCAddODServerStep2
000000020a43b448 (__DATA_CONST,__const) external _ODCAddODServerStep3
000000020a43b450 (__DATA_CONST,__const) external _ODCAddODServerStep4
000000020a43b458 (__DATA_CONST,__const) external _ODCAddODServerStep5
000000020a43b460 (__DATA_CONST,__const) external _ODCAddODServerStep6
000000020a43b528 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
000000020a43b4f0 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
000000020a43b4f8 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
000000020a43b480 (__DATA_CONST,__const) external _ODCBindToADStep1
000000020a43b488 (__DATA_CONST,__const) external _ODCBindToADStep2
000000020a43b490 (__DATA_CONST,__const) external _ODCBindToADStep3
000000020a43b498 (__DATA_CONST,__const) external _ODCBindToADStep4
000000020a43b4a0 (__DATA_CONST,__const) external _ODCBindToADStep5
000000020a43b4a8 (__DATA_CONST,__const) external _ODCBindToADStep6
000000020a43b4b0 (__DATA_CONST,__const) external _ODCBindToADStep7
000000020a43b4b8 (__DATA_CONST,__const) external _ODCBindToADStep8
000000020a43b518 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
000000020a43b430 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
000000020a43b4d8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
000000020a43b4e0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
000000020a43b4e8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
000000020a43b510 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
000000020a43b468 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
000000020a43b470 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
000000020a43b478 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
000000020a43b508 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
000000020a43b500 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
000000020a43b538 (__DATA_CONST,__const) external _ODCServerSSLCertificates
000000020a43b530 (__DATA_CONST,__const) external _ODCServerSupportSSL
000000020a43b520 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
000000020a43b4c0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
000000020a43b4c8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
000000020a43b4d0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001f0c2d5e8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00000001f0c2d420 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00000001f0c2dfc0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00000001f0c2df28 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer(PrivateMethods)
00000001f0c2d660 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00000001f0c2d438 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction(PrivateMethods)
00000001f0c2dd70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00000001f0c2dfd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00000001f0c2dcb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00000001f0c2df48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00000001f0c2de90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
000000020a43ba98 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
000000020a43b7b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
000000020a43c208 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
000000020a43c5c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
000000020a43c108 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
000000020a43c498 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
000000020a43c3c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
000000020a43bea0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
000000020a43b9a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
000000020a43c330 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
000000020a43c5f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
000000020a43c1b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
000000020a43c560 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
000000020a43c450 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
0000000210b74230 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_ODCAction
0000000210b741a0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
0000000210b74350 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
0000000210b74500 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
0000000210b742c0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
0000000210b74470 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_ODCServer
0000000210b743e0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
0000000210b741e8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_ODCAction
0000000210b74158 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
0000000210b74308 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
0000000210b744b8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
0000000210b74278 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
0000000210b74428 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_ODCServer
0000000210b74398 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00000001f0c204a4 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00000001f0c28b80 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00000001f0c1e1b0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00000001f0c1e3f0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.300
00000001f0c21530 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00000001f0c1e194 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001f0c1e1a4 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001f0c2e090 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00000001f0c2e050 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00000001f0c2cba0 (__TEXT,__text) non-external _____init_schema_block_invoke
00000001f0c2cb50 (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
000000020a43b560 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
0000000210b73e58 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
0000000210b73e08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
0000000210b73dd8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
000000020a43b738 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000020a43b758 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.174
0000000210b73e38 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000210b73e88 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000210b73ea8 (__AUTH_CONST,__const) non-external ___block_literal_global.176
00000001f0c1e3f8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00000001f0c1e324 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00000001f0c1e408 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00000001f0c1e394 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00000001f0c2ccb4 (__TEXT,__text) non-external ___fixup_schema2
00000001f0c2ccd0 (__TEXT,__text) non-external ___fixup_schema3
00000001f0c2cd28 (__TEXT,__text) non-external ___fixup_schema4
00000001f0c2cdf8 (__TEXT,__text) non-external ___fixup_schema5
00000001f0c2c9a0 (__TEXT,__text) non-external ___get_keyinfo
000000020db6a730 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00000001f0c2c374 (__TEXT,__text) non-external __schema_construct
00000001f0c2c50c (__TEXT,__text) non-external __schema_deconstruct
00000001f0c2ca14 (__TEXT,__text) non-external __schema_validate_type
000000020db6a710 (__DATA,__bss) non-external __schema_validate_type.arr
00000001f0c2cee4 (__TEXT,__text) non-external __schema_validate_type.cold.1
000000020db6a728 (__DATA,__bss) non-external __schema_validate_type.dat
000000020db6a718 (__DATA,__bss) non-external __schema_validate_type.dic
000000020db6a720 (__DATA,__bss) non-external __schema_validate_type.num
000000020db6a700 (__DATA,__bss) non-external __schema_validate_type.once
000000020db6a708 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
000000020db6a6f0 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
000000020a43b6c8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
000000020a43b6d0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
000000020a43b6d8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
000000020a43b6e0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
000000020a43b6e8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
000000020a43b580 (__DATA_CONST,__const) external _kODKeyConfigAttributes
000000020a43b588 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
000000020a43b590 (__DATA_CONST,__const) external _kODKeyConfigComment
000000020a43b598 (__DATA_CONST,__const) external _kODKeyConfigDefault
000000020a43b5c0 (__DATA_CONST,__const) external _kODKeyConfigDescription
000000020a43b5a0 (__DATA_CONST,__const) external _kODKeyConfigDestination
000000020a43b5a8 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
000000020a43b5b8 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
000000020a43b5b0 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
000000020a43b5c8 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
000000020a43b5d0 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
000000020a43b5d8 (__DATA_CONST,__const) external _kODKeyConfigLocked
000000020a43b5e0 (__DATA_CONST,__const) external _kODKeyConfigMappings
000000020a43b5e8 (__DATA_CONST,__const) external _kODKeyConfigModule
000000020a43b5f8 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
000000020a43b5f0 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
000000020a43b600 (__DATA_CONST,__const) external _kODKeyConfigModules
000000020a43b608 (__DATA_CONST,__const) external _kODKeyConfigNodeName
000000020a43b610 (__DATA_CONST,__const) external _kODKeyConfigOptions
000000020a43b670 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
000000020a43b668 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
000000020a43b688 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
000000020a43b690 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
000000020a43b680 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
000000020a43b678 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
000000020a43b660 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
000000020a43b618 (__DATA_CONST,__const) external _kODKeyConfigSession
000000020a43b620 (__DATA_CONST,__const) external _kODKeyConfigTemplate
000000020a43b630 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
000000020a43b638 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
000000020a43b640 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
000000020a43b648 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
000000020a43b628 (__DATA_CONST,__const) external _kODKeyConfigTrustType
000000020a43b650 (__DATA_CONST,__const) external _kODKeyConfigUUID
000000020a43b658 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
000000020a43b6f0 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
000000020a43b700 (__DATA_CONST,__const) external _kODKeyMappingAttributes
000000020a43b708 (__DATA_CONST,__const) external _kODKeyMappingCustom
000000020a43b710 (__DATA_CONST,__const) external _kODKeyMappingFunction
000000020a43b718 (__DATA_CONST,__const) external _kODKeyMappingInfo
000000020a43b720 (__DATA_CONST,__const) external _kODKeyMappingNative
000000020a43b728 (__DATA_CONST,__const) external _kODKeyMappingQuery
000000020a43b6f8 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
000000020a43b730 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00000001f0c2e0d8 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
000000020a43b6b0 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
000000020a43b6c0 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
000000020a43b6b8 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
000000020a43b6a8 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
000000020a43b6a0 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
000000020a43b698 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00000001f0c2c92c (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
000000020db6a6f8 (__DATA,__bss) non-external _request_schema
00000001f0c2c4b8 (__TEXT,__text) external _schema_construct_request
00000001f0c2c35c (__TEXT,__text) external _schema_construct_requestv
00000001f0c2c8d8 (__TEXT,__text) external _schema_construct_result
00000001f0c2c8c0 (__TEXT,__text) external _schema_construct_resultv
00000001f0c2c4f4 (__TEXT,__text) external _schema_deconstruct_request
00000001f0c2c914 (__TEXT,__text) external _schema_deconstruct_result
00000001f0c2c7e0 (__TEXT,__text) external _schema_get_callback
00000001f0c2c738 (__TEXT,__text) external _schema_set_callback
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _uuid_unparse_upper (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_set_int64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
