
/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
000000000003f1c0 (__DATA,__data) external _NDR_record
0000000000010d5a (__TEXT,__text) external _proc_reset_footprint_interval
0000000000010acf (__TEXT,__text) external _proc_resume_cpumon
0000000000007b30 (__TEXT,__text) external _proc_rlimit_control
0000000000007054 (__TEXT,__text) external _proc_set_cpumon_defaults
0000000000006ff1 (__TEXT,__text) external _proc_set_cpumon_params
0000000000010b07 (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000000000110c9 (__TEXT,__text) external _proc_set_csm
0000000000010ebd (__TEXT,__text) external _proc_set_delayidlesleep
00000000000036f5 (__TEXT,__text) external _proc_set_dirty
000000000001101d (__TEXT,__text) external _proc_set_no_smt
0000000000010e70 (__TEXT,__text) external _proc_set_owner_vmpressure
0000000000008d17 (__TEXT,__text) external _proc_set_wakemon_defaults
0000000000010c5d (__TEXT,__text) external _proc_set_wakemon_params
0000000000010cf3 (__TEXT,__text) external _proc_setcpu_percentage
0000000000002ad9 (__TEXT,__text) external _proc_setpcontrol
0000000000010515 (__TEXT,__text) external _proc_setthread_cpupercent
0000000000011179 (__TEXT,__text) external _proc_setthread_csm
0000000000011075 (__TEXT,__text) external _proc_setthread_no_smt
00000000000108e0 (__TEXT,__text) external _proc_signal_delegate
00000000000109d6 (__TEXT,__text) external _proc_signal_with_audittoken
000000000001101a (__TEXT,__text) external _proc_suppress
0000000000010888 (__TEXT,__text) external _proc_terminate
0000000000010a79 (__TEXT,__text) external _proc_terminate_all_rsr
000000000001094f (__TEXT,__text) external _proc_terminate_delegate
0000000000010a1e (__TEXT,__text) external _proc_terminate_with_audittoken
000000000000c558 (__TEXT,__text) external _proc_trace_log
00000000000036ab (__TEXT,__text) external _proc_track_dirty
00000000000105ce (__TEXT,__text) external _proc_udata_info
000000000000c570 (__TEXT,__text) external _proc_uuid_policy
0000000000022b5b (__TEXT,__text) external _processor_assign
0000000000022a2f (__TEXT,__text) external _processor_control
000000000002278a (__TEXT,__text) external _processor_exit
0000000000022c53 (__TEXT,__text) external _processor_get_assignment
0000000000022855 (__TEXT,__text) external _processor_info
000000000001c71f (__TEXT,__text) external _processor_set_create
000000000001c619 (__TEXT,__text) external _processor_set_default
0000000000021bb4 (__TEXT,__text) external _processor_set_destroy
00000000000223dc (__TEXT,__text) external _processor_set_info
0000000000021c7f (__TEXT,__text) external _processor_set_max_priority
0000000000022162 (__TEXT,__text) external _processor_set_policy_control
0000000000021e49 (__TEXT,__text) external _processor_set_policy_disable
0000000000021d66 (__TEXT,__text) external _processor_set_policy_enable
0000000000022299 (__TEXT,__text) external _processor_set_stack_usage
0000000000021a1a (__TEXT,__text) external _processor_set_statistics
0000000000021f30 (__TEXT,__text) external _processor_set_tasks
0000000000022587 (__TEXT,__text) external _processor_set_tasks_with_flavor
0000000000022049 (__TEXT,__text) external _processor_set_threads
00000000000226bf (__TEXT,__text) external _processor_start
0000000000016292 (__TEXT,__text) external _pselect
00000000000070e7 (__TEXT,__text) external _pselect$1050
0000000000005b08 (__TEXT,__text) external _pselect$DARWIN_EXTSN
000000000000fd12 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
0000000000016492 (__TEXT,__text) external _pselect$NOCANCEL
000000000000242c (__TEXT,__text) external _pthread_getugid_np
000000000000876c (__TEXT,__text) external _pthread_setugid_np
0000000000007f44 (__TEXT,__text) external _ptrace
0000000000003928 (__TEXT,__text) external _pwrite
000000000000bb10 (__TEXT,__text) external _pwrite$NOCANCEL
000000000000c588 (__TEXT,__text) external _pwritev
000000000000bb28 (__TEXT,__text) external _pwritev$NOCANCEL
000000000000f9ed (__TEXT,__text) external _quota
0000000000005c4c (__TEXT,__text) external _quotactl
0000000000001870 (__TEXT,__text) external _read
00000000000026fc (__TEXT,__text) external _read$NOCANCEL
0000000000002a7c (__TEXT,__text) external _readlink
000000000000c5a0 (__TEXT,__text) external _readlinkat
000000000000c5b8 (__TEXT,__text) external _readv
000000000000bb40 (__TEXT,__text) external _readv$NOCANCEL
000000000000ec2e (__TEXT,__text) external _reboot
000000000000ec35 (__TEXT,__text) external _reboot_np
000000000001648b (__TEXT,__text) external _record_system_event_as_kernel
0000000000004518 (__TEXT,__text) external _recvfrom
00000000000043e8 (__TEXT,__text) external _recvfrom$NOCANCEL
0000000000004838 (__TEXT,__text) external _recvmsg
000000000000bb88 (__TEXT,__text) external _recvmsg$NOCANCEL
000000000000c5d0 (__TEXT,__text) external _recvmsg_x
000000000000c5e8 (__TEXT,__text) external _register_uexc_handler
0000000000004cc4 (__TEXT,__text) external _removexattr
0000000000003c25 (__TEXT,__text) external _rename
0000000000011ffc (__TEXT,__text) external _rename_ext
000000000000eca1 (__TEXT,__text) external _renameat
0000000000011fbb (__TEXT,__text) external _renameatx_np
0000000000011fd2 (__TEXT,__text) external _renamex_np
000000000000c600 (__TEXT,__text) external _revoke
0000000000003c5c (__TEXT,__text) external _rmdir
000000000000c618 (__TEXT,__text) external _searchfs
00000000000045a7 (__TEXT,__text) external _select
0000000000005084 (__TEXT,__text) external _select$1050
0000000000009cc8 (__TEXT,__text) external _select$DARWIN_EXTSN
00000000000043d0 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
000000000000439f (__TEXT,__text) external _select$NOCANCEL
0000000000008954 (__TEXT,__text) external _sem_close
0000000000015f64 (__TEXT,__text) external _sem_destroy
0000000000015f87 (__TEXT,__text) external _sem_getvalue
0000000000015faa (__TEXT,__text) external _sem_init
000000000000893c (__TEXT,__text) external _sem_open
000000000000c630 (__TEXT,__text) external _sem_post
000000000000c648 (__TEXT,__text) external _sem_trywait
000000000000c660 (__TEXT,__text) external _sem_unlink
000000000000c678 (__TEXT,__text) external _sem_wait
000000000000bbd0 (__TEXT,__text) external _sem_wait$NOCANCEL
00000000000032e2 (__TEXT,__text) external _semaphore_create
00000000000035c0 (__TEXT,__text) external _semaphore_destroy
000000000000340a (__TEXT,__text) external _semaphore_signal
000000000000facf (__TEXT,__text) external _semaphore_signal_all
0000000000000d68 (__TEXT,__text) external _semaphore_signal_all_trap
000000000000fad4 (__TEXT,__text) external _semaphore_signal_thread
0000000000000d74 (__TEXT,__text) external _semaphore_signal_thread_trap
0000000000000d5c (__TEXT,__text) external _semaphore_signal_trap
0000000000004a76 (__TEXT,__text) external _semaphore_timedwait
000000000000fadf (__TEXT,__text) external _semaphore_timedwait_signal
0000000000000da4 (__TEXT,__text) external _semaphore_timedwait_signal_trap
0000000000000d98 (__TEXT,__text) external _semaphore_timedwait_trap
0000000000003405 (__TEXT,__text) external _semaphore_wait
000000000000fada (__TEXT,__text) external _semaphore_wait_signal
0000000000000d8c (__TEXT,__text) external _semaphore_wait_signal_trap
0000000000000d80 (__TEXT,__text) external _semaphore_wait_trap
000000000000bbe8 (__TEXT,__text) external _semctl
000000000000c690 (__TEXT,__text) external _semget
000000000000c6a8 (__TEXT,__text) external _semop
000000000000bc00 (__TEXT,__text) external _semsys
000000000000c6c0 (__TEXT,__text) external _sendfile
0000000000005658 (__TEXT,__text) external _sendmsg
0000000000004418 (__TEXT,__text) external _sendmsg$NOCANCEL
000000000000c6d8 (__TEXT,__text) external _sendmsg_x
0000000000004500 (__TEXT,__text) external _sendto
0000000000004388 (__TEXT,__text) external _sendto$NOCANCEL
0000000000003958 (__TEXT,__text) external _setattrlist
000000000000c6f0 (__TEXT,__text) external _setattrlistat
0000000000018f1c (__TEXT,__text) external _setaudit
000000000000c708 (__TEXT,__text) external _setaudit_addr
000000000000c720 (__TEXT,__text) external _setauid
000000000000879c (__TEXT,__text) external _setegid
0000000000008784 (__TEXT,__text) external _seteuid
000000000000855c (__TEXT,__text) external _setgid
000000000000c738 (__TEXT,__text) external _setgroups
0000000000006f72 (__TEXT,__text) external _setiopolicy_np
0000000000007b60 (__TEXT,__text) external _setitimer
000000000000a4d4 (__TEXT,__text) external _setpgid
00000000000076c1 (__TEXT,__text) external _setpriority
000000000000c750 (__TEXT,__text) external _setprivexec
000000000000fa08 (__TEXT,__text) external _setquota
000000000000bc18 (__TEXT,__text) external _setregid
000000000000bc30 (__TEXT,__text) external _setreuid
000000000000313a (__TEXT,__text) external _setrlimit
000000000000bc48 (__TEXT,__text) external _setsgroups_np
0000000000007c60 (__TEXT,__text) external _setsid
0000000000004358 (__TEXT,__text) external _setsockopt
0000000000008574 (__TEXT,__text) external _setuid
000000000000bc90 (__TEXT,__text) external _setwgroups_np
0000000000003b94 (__TEXT,__text) external _setxattr
000000000001303a (__TEXT,__text) external _sfi_get_class_offtime
000000000001305b (__TEXT,__text) external _sfi_process_get_flags
000000000001304b (__TEXT,__text) external _sfi_process_set_flags
0000000000008981 (__TEXT,__text) external _sfi_set_class_offtime
0000000000002234 (__TEXT,__text) external _shm_open
000000000000c768 (__TEXT,__text) external _shm_unlink
000000000000c780 (__TEXT,__text) external _shmat
000000000000bcf0 (__TEXT,__text) external _shmctl
000000000000c798 (__TEXT,__text) external _shmdt
000000000000c7b0 (__TEXT,__text) external _shmget
000000000000bd08 (__TEXT,__text) external _shmsys
0000000000004560 (__TEXT,__text) external _shutdown
000000000000c7c8 (__TEXT,__text) external _sigpending
00000000000038f8 (__TEXT,__text) external _sigprocmask
0000000000017555 (__TEXT,__text) external _sigsuspend
0000000000006c2d (__TEXT,__text) external _sigsuspend$NOCANCEL
0000000000004124 (__TEXT,__text) external _socket
000000000000c7e0 (__TEXT,__text) external _socket_delegate
0000000000004400 (__TEXT,__text) external _socketpair
0000000000012e1e (__TEXT,__text) external _stackshot_capture_with_config
0000000000012dbd (__TEXT,__text) external _stackshot_config_create
0000000000012f42 (__TEXT,__text) external _stackshot_config_dealloc
0000000000012efa (__TEXT,__text) external _stackshot_config_dealloc_buffer
0000000000012e8c (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
0000000000012e99 (__TEXT,__text) external _stackshot_config_get_stackshot_size
0000000000012ec6 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
0000000000012e0c (__TEXT,__text) external _stackshot_config_set_flags
0000000000012edf (__TEXT,__text) external _stackshot_config_set_pagetable_mask
0000000000012dfc (__TEXT,__text) external _stackshot_config_set_pid
0000000000012eae (__TEXT,__text) external _stackshot_config_set_size_hint
000000000000a504 (__TEXT,__text) external _stat
0000000000002378 (__TEXT,__text) external _stat$INODE64
0000000000002378 (__TEXT,__text) external _stat64
000000000000c7f8 (__TEXT,__text) external _statfs
0000000000003288 (__TEXT,__text) external _statfs$INODE64
0000000000003288 (__TEXT,__text) external _statfs64
000000000003f240 (__DATA,__bss) non-external _supported
000000000000c810 (__TEXT,__text) external _swapon
0000000000000e64 (__TEXT,__text) external _swtch
0000000000000e58 (__TEXT,__text) external _swtch_pri
0000000000005628 (__TEXT,__text) external _symlink
000000000000c828 (__TEXT,__text) external _symlinkat
000000000000c840 (__TEXT,__text) external _sync
0000000000002a64 (__TEXT,__text) external _syscall
0000000000000e70 (__TEXT,__text) external _syscall_thread_switch
0000000000013028 (__TEXT,__text) external _system_get_sfi_window
000000000000c858 (__TEXT,__text) external _system_override
00000000000089ab (__TEXT,__text) external _system_set_sfi_window
000000000003f248 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
000000000003f280 (__DATA,__common) external _system_version_compat_mode
0000000000024a6d (__TEXT,__text) external _task_assign
0000000000024b65 (__TEXT,__text) external _task_assign_default
00000000000233e6 (__TEXT,__text) external _task_create
00000000000268c1 (__TEXT,__text) external _task_create_identity_token
0000000000026ae5 (__TEXT,__text) external _task_dyld_process_info_notify_deregister
0000000000000c84 (__TEXT,__text) external _task_dyld_process_info_notify_get
00000000000267d8 (__TEXT,__text) external _task_dyld_process_info_notify_register
0000000000000dec (__TEXT,__text) external _task_for_pid
0000000000025996 (__TEXT,__text) external _task_generate_corpse
0000000000024c48 (__TEXT,__text) external _task_get_assignment
0000000000025ddb (__TEXT,__text) external _task_get_dyld_image_infos
00000000000245ef (__TEXT,__text) external _task_get_emulation_vector
0000000000026501 (__TEXT,__text) external _task_get_exc_guard_behavior
000000000000a0d2 (__TEXT,__text) external _task_get_exception_ports
0000000000026bc8 (__TEXT,__text) external _task_get_exception_ports_info
0000000000025660 (__TEXT,__text) external _task_get_mach_voucher
0000000000001212 (__TEXT,__text) external _task_get_special_port
0000000000024f06 (__TEXT,__text) external _task_get_state
00000000000269c7 (__TEXT,__text) external _task_identity_token_get_task_port
0000000000001377 (__TEXT,__text) external _task_info
0000000000026367 (__TEXT,__text) external _task_inspect
000000000000c870 (__TEXT,__text) external _task_inspect_for_pid
0000000000025a9c (__TEXT,__text) external _task_map_corpse_info
000000000002622a (__TEXT,__text) external _task_map_corpse_info_64
00000000000270ec (__TEXT,__text) external _task_map_kcdata_object_64
0000000000000de0 (__TEXT,__text) external _task_name_for_pid
00000000000243c5 (__TEXT,__text) external _task_policy
0000000000024107 (__TEXT,__text) external _task_policy_get
0000000000002d2d (__TEXT,__text) external _task_policy_set
000000000002551c (__TEXT,__text) external _task_purgable_info
000000000000c888 (__TEXT,__text) external _task_read_for_pid
00000000000260f1 (__TEXT,__text) external _task_register_dyld_get_process_state
0000000000025bd7 (__TEXT,__text) external _task_register_dyld_image_infos
0000000000026002 (__TEXT,__text) external _task_register_dyld_set_dyld_state
0000000000025f01 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
0000000000027229 (__TEXT,__text) external _task_register_hardened_exception_handler
0000000000000f24 (__TEXT,__text) external _task_restartable_ranges_register
000000000000315d (__TEXT,__text) external _task_restartable_ranges_synchronize
00000000000238fb (__TEXT,__text) external _task_resume
0000000000025451 (__TEXT,__text) external _task_resume2
00000000000242dc (__TEXT,__text) external _task_sample
000000000000fafd (__TEXT,__text) external _task_self_
0000000000000d2c (__TEXT,__text) external _task_self_trap
0000000000026f0d (__TEXT,__text) external _task_set_corpse_forking_behavior
0000000000024508 (__TEXT,__text) external _task_set_emulation
0000000000024719 (__TEXT,__text) external _task_set_emulation_vector
00000000000265fb (__TEXT,__text) external _task_set_exc_guard_behavior
00000000000091e6 (__TEXT,__text) external _task_set_exception_ports
00000000000095b7 (__TEXT,__text) external _task_set_info
000000000002577e (__TEXT,__text) external _task_set_mach_voucher
000000000002522c (__TEXT,__text) external _task_set_phys_footprint_limit
0000000000024d4e (__TEXT,__text) external _task_set_policy
0000000000018b00 (__TEXT,__text) external _task_set_port_space
0000000000024820 (__TEXT,__text) external _task_set_ras_pc
0000000000001d3c (__TEXT,__text) external _task_set_special_port
00000000000250dc (__TEXT,__text) external _task_set_state
0000000000023830 (__TEXT,__text) external _task_suspend
000000000002534b (__TEXT,__text) external _task_suspend2
0000000000023c74 (__TEXT,__text) external _task_swap_exception_ports
0000000000025867 (__TEXT,__text) external _task_swap_mach_voucher
000000000002352c (__TEXT,__text) external _task_terminate
0000000000026ff0 (__TEXT,__text) external _task_test_async_upcall_propagation
0000000000026e24 (__TEXT,__text) external _task_test_sync_upcall
000000000000826b (__TEXT,__text) external _task_threads
0000000000025cd9 (__TEXT,__text) external _task_unregister_dyld_image_infos
0000000000024907 (__TEXT,__text) external _task_zone_info
0000000000013020 (__TEXT,__text) external _terminate_with_payload
0000000000009581 (__TEXT,__text) external _terminate_with_reason
0000000000027a06 (__TEXT,__text) external _thread_abort
0000000000027ad1 (__TEXT,__text) external _thread_abort_safely
0000000000028ecf (__TEXT,__text) external _thread_adopt_exception_handler
00000000000282d4 (__TEXT,__text) external _thread_assign
00000000000283bd (__TEXT,__text) external _thread_assign_default
0000000000028a3a (__TEXT,__text) external _thread_convert_thread_state
00000000000239c8 (__TEXT,__text) external _thread_create
0000000000023ace (__TEXT,__text) external _thread_create_running
0000000000027b9c (__TEXT,__text) external _thread_depress_abort
0000000000003513 (__TEXT,__text) external _thread_destruct_special_reply_port
0000000000028488 (__TEXT,__text) external _thread_get_assignment
00000000000089bd (__TEXT,__text) external _thread_get_exception_ports
0000000000028c73 (__TEXT,__text) external _thread_get_exception_ports_info
0000000000028704 (__TEXT,__text) external _thread_get_mach_voucher
0000000000011cf7 (__TEXT,__text) external _thread_get_register_pointer_values
0000000000027c67 (__TEXT,__text) external _thread_get_special_port
0000000000000e28 (__TEXT,__text) external _thread_get_special_reply_port
0000000000008386 (__TEXT,__text) external _thread_get_state
0000000000006c6d (__TEXT,__text) external _thread_info
0000000000004f08 (__TEXT,__text) external _thread_policy
000000000000858b (__TEXT,__text) external _thread_policy_get
0000000000005c79 (__TEXT,__text) external _thread_policy_set
000000000002793b (__TEXT,__text) external _thread_resume
0000000000028108 (__TEXT,__text) external _thread_sample
0000000000000d20 (__TEXT,__text) external _thread_self_trap
000000000000c8a0 (__TEXT,__text) external _thread_selfcounts
0000000000005e75 (__TEXT,__text) external _thread_set_exception_ports
0000000000028822 (__TEXT,__text) external _thread_set_mach_voucher
0000000000011ca6 (__TEXT,__text) external _thread_set_policy
0000000000027d85 (__TEXT,__text) external _thread_set_special_port
0000000000027720 (__TEXT,__text) external _thread_set_state
0000000000027870 (__TEXT,__text) external _thread_suspend
0000000000027e7f (__TEXT,__text) external _thread_swap_exception_ports
000000000002890b (__TEXT,__text) external _thread_swap_mach_voucher
00000000000052ee (__TEXT,__text) external _thread_switch
000000000002732d (__TEXT,__text) external _thread_terminate
000000000001a5e1 (__TEXT,__text) external _thread_wire
000000000002aae0 (__TEXT,__const) non-external _times_now
000000000000c8b8 (__TEXT,__text) external _tracker_action
000000000000c8d0 (__TEXT,__text) external _truncate
00000000000052c0 (__TEXT,__text) external _umask
000000000000c8e8 (__TEXT,__text) external _undelete
000000000000c900 (__TEXT,__text) external _ungraftdmg
0000000000003f00 (__TEXT,__text) external _unlink
0000000000008c27 (__TEXT,__text) external _unlinkat
000000000000ae00 (__TEXT,__text) external _unmount
000000000000c918 (__TEXT,__text) external _usrctl
0000000000011bd4 (__TEXT,__text) external _utimensat
00000000000052d8 (__TEXT,__text) external _utimes
000000000000c930 (__TEXT,__text) external _vfs_purge
0000000000002966 (__TEXT,__text) external _vm_allocate
000000000001a6d9 (__TEXT,__text) external _vm_allocate_cpm
0000000000029550 (__TEXT,__text) external _vm_behavior_set
0000000000003411 (__TEXT,__text) external _vm_copy
0000000000002a21 (__TEXT,__text) external _vm_deallocate
0000000000028fcf (__TEXT,__text) external _vm_inherit
0000000000040078 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
0000000000040080 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
0000000000040070 (__DATA_DIRTY,__common) external _vm_kernel_page_size
000000000002963d (__TEXT,__text) external _vm_machine_attribute
000000000000ab39 (__TEXT,__text) external _vm_map
000000000002976c (__TEXT,__text) external _vm_map_page_query
0000000000029465 (__TEXT,__text) external _vm_msync
0000000000040088 (__DATA_DIRTY,__common) external _vm_page_mask
0000000000040090 (__DATA_DIRTY,__common) external _vm_page_shift
00000000000400a8 (__DATA_DIRTY,__common) external _vm_page_size
000000000000c948 (__TEXT,__text) external _vm_pressure_monitor
0000000000004832 (__TEXT,__text) external _vm_protect
0000000000003aa7 (__TEXT,__text) external _vm_purgable_control
00000000000087b2 (__TEXT,__text) external _vm_read
00000000000290bb (__TEXT,__text) external _vm_read_list
000000000002933c (__TEXT,__text) external _vm_read_overwrite
000000000000771c (__TEXT,__text) external _vm_region_64
000000000000790f (__TEXT,__text) external _vm_region_recurse_64
0000000000002b34 (__TEXT,__text) external _vm_remap
0000000000018e4d (__TEXT,__text) external _vm_remap_new
000000000001a4e1 (__TEXT,__text) external _vm_wire
0000000000029239 (__TEXT,__text) external _vm_write
0000000000003899 (__TEXT,__text) external _voucher_mach_msg_adopt
0000000000001cde (__TEXT,__text) external _voucher_mach_msg_clear
0000000000003883 (__TEXT,__text) external _voucher_mach_msg_revert
000000000000194d (__TEXT,__text) external _voucher_mach_msg_set
000000000003f250 (__DATA,__common) external _vprintf_stderr_func
000000000000ad88 (__TEXT,__text) external _wait4
000000000000c960 (__TEXT,__text) external _waitid
000000000000be20 (__TEXT,__text) external _waitid$NOCANCEL
0000000000017aac (__TEXT,__text) external _work_interval_copy_port
0000000000007fc7 (__TEXT,__text) external _work_interval_create
0000000000017946 (__TEXT,__text) external _work_interval_destroy
00000000000176a0 (__TEXT,__text) external _work_interval_get_flags_from_port
00000000000080bd (__TEXT,__text) external _work_interval_instance_alloc
00000000000177b8 (__TEXT,__text) external _work_interval_instance_clear
00000000000178de (__TEXT,__text) external _work_interval_instance_finish
00000000000177cc (__TEXT,__text) external _work_interval_instance_free
0000000000017820 (__TEXT,__text) external _work_interval_instance_get_complexity
0000000000017802 (__TEXT,__text) external _work_interval_instance_get_deadline
0000000000017811 (__TEXT,__text) external _work_interval_instance_get_finish
0000000000008117 (__TEXT,__text) external _work_interval_instance_get_id
00000000000177f3 (__TEXT,__text) external _work_interval_instance_get_start
0000000000017830 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
00000000000177ee (__TEXT,__text) external _work_interval_instance_set_complexity
00000000000177e4 (__TEXT,__text) external _work_interval_instance_set_deadline
00000000000177e9 (__TEXT,__text) external _work_interval_instance_set_finish
00000000000177df (__TEXT,__text) external _work_interval_instance_set_start
000000000001784c (__TEXT,__text) external _work_interval_instance_start
0000000000017891 (__TEXT,__text) external _work_interval_instance_update
0000000000017a1e (__TEXT,__text) external _work_interval_join
0000000000017a65 (__TEXT,__text) external _work_interval_join_port
0000000000017a9c (__TEXT,__text) external _work_interval_leave
000000000001770b (__TEXT,__text) external _work_interval_notify
000000000001777a (__TEXT,__text) external _work_interval_notify_simple
0000000000003c10 (__TEXT,__text) external _write
0000000000003ea0 (__TEXT,__text) external _write$NOCANCEL
0000000000003e70 (__TEXT,__text) external _writev
000000000000be38 (__TEXT,__text) external _writev$NOCANCEL

/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture arm64):
00000000000401b8 (__DATA,__data) external _NDR_record
000000000001db20 (__TEXT,__text) non-external __Xexception_raise
000000000001dbe8 (__TEXT,__text) non-external __Xexception_raise_state
000000000001dcf8 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000d220 (__TEXT,__text) external _____sigwait_nocancel
0000000000031f38 (__TEXT,__const) external ____kernelVersionNumber
0000000000031f00 (__TEXT,__const) external ____kernelVersionString
000000000000d248 (__TEXT,__text) external ___abort_with_payload
00000000000090d4 (__TEXT,__text) external ___accept
000000000000d270 (__TEXT,__text) external ___accept_nocancel
000000000000d298 (__TEXT,__text) external ___access_extended
000000000000d2c0 (__TEXT,__text) external ___aio_suspend_nocancel
00000000000085a8 (__TEXT,__text) external ___bind
0000000000004c54 (__TEXT,__text) external ___bsdthread_create
0000000000002e04 (__TEXT,__text) external ___bsdthread_ctl
0000000000006af0 (__TEXT,__text) external ___bsdthread_register
0000000000003e04 (__TEXT,__text) external ___bsdthread_terminate
000000000000caac (__TEXT,__text) external ___carbon_delete
000000000000d2e8 (__TEXT,__text) external ___channel_get_info
000000000000d310 (__TEXT,__text) external ___channel_get_opt
000000000000d338 (__TEXT,__text) external ___channel_open
000000000000d360 (__TEXT,__text) external ___channel_set_opt
000000000000d388 (__TEXT,__text) external ___channel_sync
0000000000004bb4 (__TEXT,__text) external ___chmod
0000000000006630 (__TEXT,__text) external ___chmod_extended
0000000000002964 (__TEXT,__text) external ___close_nocancel
000000000000d3b0 (__TEXT,__text) external ___coalition
000000000000d3d8 (__TEXT,__text) external ___coalition_info
000000000000d400 (__TEXT,__text) external ___coalition_ledger
0000000000002f38 (__TEXT,__text) external ___commpage_gettimeofday
0000000000002f40 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000000005338 (__TEXT,__text) external ___connect
00000000000051c0 (__TEXT,__text) external ___connect_nocancel
000000000000d428 (__TEXT,__text) external ___copyfile
000000000000d450 (__TEXT,__text) external ___crossarch_trap
0000000000001cb0 (__TEXT,__text) external ___csrctl
00000000000162e4 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000d478 (__TEXT,__text) external ___debug_syscall_reject
000000000000d4a0 (__TEXT,__text) external ___debug_syscall_reject_config
000000000000cad4 (__TEXT,__text) external ___delete
0000000000003ddc (__TEXT,__text) external ___disable_threadsignal
0000000000001bf0 (__TEXT,__text) external ___error
000000000000d4c8 (__TEXT,__text) external ___execve
0000000000008070 (__TEXT,__text) external ___exit
00000000000055bc (__TEXT,__text) external ___fchmod
0000000000006728 (__TEXT,__text) external ___fchmod_extended
0000000000001d50 (__TEXT,__text) external ___fcntl
0000000000005170 (__TEXT,__text) external ___fcntl_nocancel
00000000000083b8 (__TEXT,__text) external ___fork
000000000000d4f0 (__TEXT,__text) external ___fs_snapshot
000000000000e72c (__TEXT,__text) external ___fstat
0000000000006700 (__TEXT,__text) external ___fstat64_extended
000000000000d518 (__TEXT,__text) external ___fstat_extended
000000000000e77c (__TEXT,__text) external ___fstatat
000000000000e7cc (__TEXT,__text) external ___fstatfs
000000000000d540 (__TEXT,__text) external ___fsync_nocancel
0000000000009ddc (__TEXT,__text) external ___get_remove_counter
0000000000001c0c (__TEXT,__text) external ___getattrlist
0000000000002d3c (__TEXT,__text) external ___getdirentries64
000000000000e8bc (__TEXT,__text) external ___getfsstat
00000000000065e0 (__TEXT,__text) external ___gethostuuid
000000000000c484 (__TEXT,__text) external ___getlogin
00000000000054ac (__TEXT,__text) external ___getpeername
0000000000001774 (__TEXT,__text) external ___getpid
00000000000033c8 (__TEXT,__text) external ___getrlimit
000000000000d568 (__TEXT,__text) external ___getsgroups
0000000000008484 (__TEXT,__text) external ___getsockname
0000000000002c0c (__TEXT,__text) external ___gettid
0000000000004ccc (__TEXT,__text) external ___gettimeofday
0000000000004ca4 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000000d590 (__TEXT,__text) external ___getwgroups
000000000000d5b8 (__TEXT,__text) external ___guarded_open_dprotected_np
00000000000047a0 (__TEXT,__text) external ___guarded_open_np
000000000000d5e0 (__TEXT,__text) external ___identitysvc
0000000000004a68 (__TEXT,__text) external ___inc_remove_counter
000000000000c45c (__TEXT,__text) external ___initgroups
0000000000005310 (__TEXT,__text) external ___ioctl
000000000000563c (__TEXT,__text) external ___iopolicysys
000000000000d608 (__TEXT,__text) external ___kdebug_trace
0000000000003bc8 (__TEXT,__text) external ___kdebug_trace64
000000000000d630 (__TEXT,__text) external ___kdebug_trace_string
000000000000687c (__TEXT,__text) external ___kdebug_typefilter
0000000000031fa8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000000031f70 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000000008a7c (__TEXT,__text) external ___kill
00000000000071c8 (__TEXT,__text) external ___kqueue_workloop_ctl
00000000000067c8 (__TEXT,__text) external ___lchown
00000000000068a4 (__TEXT,__text) external ___libkernel_init
000000000000f8a8 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000000000f7cc (__TEXT,__text) external ___libkernel_init_late
0000000000006adc (__TEXT,__text) external ___libkernel_platform_init
0000000000001764 (__TEXT,__text) external ___libkernel_voucher_init
00000000000090ac (__TEXT,__text) external ___listen
000000000000d658 (__TEXT,__text) external ___log_data
00000000000029f0 (__TEXT,__text) external ___lseek
000000000000ea74 (__TEXT,__text) external ___lstat
0000000000006658 (__TEXT,__text) external ___lstat64_extended
000000000000d680 (__TEXT,__text) external ___lstat_extended
000000000000d6a8 (__TEXT,__text) external ___mac_execve
000000000000d6d0 (__TEXT,__text) external ___mac_get_fd
000000000000d6f8 (__TEXT,__text) external ___mac_get_file
000000000000d720 (__TEXT,__text) external ___mac_get_link
000000000000d748 (__TEXT,__text) external ___mac_get_mount
000000000000d770 (__TEXT,__text) external ___mac_get_pid
000000000000d798 (__TEXT,__text) external ___mac_get_proc
000000000000d7c0 (__TEXT,__text) external ___mac_getfsstat
