000000018439eb20 (__DATA,__data) external _NDR_record
00000001802ebda8 (__TEXT,__text) external _connect$NOCANCEL
00000001802ee4dc (__TEXT,__text) external _connectx
00000001802ee508 (__TEXT,__text) external _csops
00000001802ee534 (__TEXT,__text) external _csops_audittoken
00000001802cf0b8 (__TEXT,__text) external _csr_check
00000001802cf0e8 (__TEXT,__text) external _csr_get_active_config
00000001802c7dc4 (__TEXT,__text) external _debug_control_port_for_pid
00000001802cf1d8 (__TEXT,__text) external _debug_syscall_reject
000000018439eb48 (__DATA,__data) external _denap_boost_assertion_token
00000001802ee560 (__TEXT,__text) external _disconnectx
00000001802c6a74 (__TEXT,__text) non-external _do_compat
00000001802ee58c (__TEXT,__text) external _dup
00000001802ee5b8 (__TEXT,__text) external _dup2
000000018237f220 (__DATA_CONST,__const) non-external _err_codes_auth
000000018237f0b0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
000000018237f418 (__DATA_CONST,__const) non-external _err_codes_exception
000000018237f0f0 (__DATA_CONST,__const) non-external _err_codes_execd
000000018237f1f0 (__DATA_CONST,__const) non-external _err_codes_io
000000018237ecb8 (__DATA_CONST,__const) non-external _err_codes_kern
000000018237f3e8 (__DATA_CONST,__const) non-external _err_codes_loader
000000018237f7d0 (__DATA_CONST,__const) non-external _err_codes_mach_mig
000000018237f748 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
000000018237f690 (__DATA_CONST,__const) non-external _err_codes_mach_send
000000018237f3b8 (__DATA_CONST,__const) non-external _err_codes_machobj
000000018237f650 (__DATA_CONST,__const) non-external _err_codes_mig
000000018237f110 (__DATA_CONST,__const) non-external _err_codes_netmemory
000000018237f090 (__DATA_CONST,__const) non-external _err_codes_netname
000000018237f160 (__DATA_CONST,__const) non-external _err_codes_ns
000000018237f608 (__DATA_CONST,__const) non-external _err_codes_rcv
000000018237f5a8 (__DATA_CONST,__const) non-external _err_codes_send
000000018237f328 (__DATA_CONST,__const) non-external _err_codes_sunrpc
000000018237f130 (__DATA_CONST,__const) non-external _err_codes_task_master
000000018237f128 (__DATA_CONST,__const) non-external _err_codes_ufs
000000018237ee60 (__DATA_CONST,__const) non-external _err_codes_unix
000000018237f268 (__DATA_CONST,__const) non-external _err_codes_us
000000018237f450 (__DATA_CONST,__const) non-external _err_codes_ux_signal
000000018237f540 (__DATA_CONST,__const) non-external _err_codes_xkernel
000000018237e1c8 (__DATA_CONST,__const) non-external _err_ipc_sub
000000018237e240 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
000000018237dea8 (__DATA_CONST,__const) non-external _err_os_sub
000000018237df48 (__DATA_CONST,__const) non-external _err_server_sub
00000001802f1400 (__TEXT,__const) non-external _err_us_sub
000000018439ebf8 (__DATA,__common) external _errno
00000001802e7e68 (__TEXT,__text) external _etap_trace_thread
00000001802d4124 (__TEXT,__text) external _exc_server
00000001802d3d94 (__TEXT,__text) external _exc_server_routine
00000001802d37c8 (__TEXT,__text) external _exception_raise
00000001802d3940 (__TEXT,__text) external _exception_raise_state
00000001802d3b68 (__TEXT,__text) external _exception_raise_state_identity
00000001802ee5e4 (__TEXT,__text) external _exchangedata
00000001802cbe24 (__TEXT,__text) external _execve
000000018439ec08 (__DATA,__common) non-external (was a private external) _execve_with_filter
00000001802ee610 (__TEXT,__text) external _faccessat
00000001802ee63c (__TEXT,__text) external _fchdir
00000001802ee668 (__TEXT,__text) external _fchflags
00000001802ca37c (__TEXT,__text) external _fchmod
00000001802ee694 (__TEXT,__text) external _fchmodat
00000001802ee6c0 (__TEXT,__text) external _fchown
00000001802ee6ec (__TEXT,__text) external _fchownat
00000001802ee718 (__TEXT,__text) external _fclonefileat
00000001802cc2a0 (__TEXT,__text) external _fcntl
00000001802cc09c (__TEXT,__text) external _fcntl$NOCANCEL
00000001802ee744 (__TEXT,__text) external _fdatasync
00000001802ee770 (__TEXT,__text) external _ffsctl
00000001802ee79c (__TEXT,__text) external _fgetattrlist
00000001802ee7c8 (__TEXT,__text) external _fgetxattr
00000001802ee7f4 (__TEXT,__text) external _fhopen
00000001802ee820 (__TEXT,__text) external _fileport_makefd
00000001802ee84c (__TEXT,__text) external _fileport_makeport
00000001802ee878 (__TEXT,__text) external _flistxattr
00000001802ee8a4 (__TEXT,__text) external _flock
00000001802ee8d0 (__TEXT,__text) external _fmount
00000001802ee8fc (__TEXT,__text) external _fpathconf
00000001802c6848 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001802ee928 (__TEXT,__text) external _freadlink
00000001802c46d8 (__TEXT,__text) non-external (was a private external) _free
00000001802ee954 (__TEXT,__text) external _fremovexattr
00000001802cf0f8 (__TEXT,__text) external _fs_snapshot_create
00000001802cf150 (__TEXT,__text) external _fs_snapshot_delete
00000001802cf114 (__TEXT,__text) external _fs_snapshot_list
00000001802cf1c0 (__TEXT,__text) external _fs_snapshot_mount
00000001802cf16c (__TEXT,__text) external _fs_snapshot_rename
00000001802cf188 (__TEXT,__text) external _fs_snapshot_revert
00000001802cf1a4 (__TEXT,__text) external _fs_snapshot_root
00000001802ee980 (__TEXT,__text) external _fsctl
00000001802ee9ac (__TEXT,__text) external _fsetattrlist
00000001802ee9d8 (__TEXT,__text) external _fsetxattr
00000001802eea04 (__TEXT,__text) external _fsgetpath
00000001802eea30 (__TEXT,__text) external _fsgetpath_ext
00000001802eea5c (__TEXT,__text) external _fstat
00000001802eea5c (__TEXT,__text) external _fstat64
00000001802eea88 (__TEXT,__text) external _fstatat
00000001802eea88 (__TEXT,__text) external _fstatat64
00000001802eeab4 (__TEXT,__text) external _fstatfs
00000001802eeab4 (__TEXT,__text) external _fstatfs64
00000001802eeae0 (__TEXT,__text) external _fsync
00000001802ec088 (__TEXT,__text) external _fsync$NOCANCEL
00000001802eeb0c (__TEXT,__text) external _ftruncate
00000001802c9cfc (__TEXT,__text) external _futimens
00000001802eeb38 (__TEXT,__text) external _futimes
000000018439eb58 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001802ec0b4 (__TEXT,__text) external _getattrlist
00000001802eeb64 (__TEXT,__text) external _getattrlistat
00000001802eeb90 (__TEXT,__text) external _getattrlistbulk
00000001802d2c70 (__TEXT,__text) external _getaudit
00000001802eebbc (__TEXT,__text) external _getaudit_addr
00000001802eebe8 (__TEXT,__text) external _getauid
00000001802eec14 (__TEXT,__text) external _getdirentries
00000001802eec40 (__TEXT,__text) external _getdirentriesattr
00000001802eec6c (__TEXT,__text) external _getdtablesize
00000001802eec98 (__TEXT,__text) external _getegid
00000001802eecc4 (__TEXT,__text) external _getentropy
00000001802eecf0 (__TEXT,__text) external _geteuid
00000001802eed1c (__TEXT,__text) external _getfh
00000001802eed48 (__TEXT,__text) external _getfsstat
00000001802eed48 (__TEXT,__text) external _getfsstat64
00000001802eed74 (__TEXT,__text) external _getgid
00000001802eeda0 (__TEXT,__text) external _getgroups
00000001802c9ac8 (__TEXT,__text) external _gethostuuid
00000001802c83b8 (__TEXT,__text) external _getiopolicy_np
00000001802eedcc (__TEXT,__text) external _getitimer
00000001802ec164 (__TEXT,__text) external _getpeername
00000001802eedf8 (__TEXT,__text) external _getpgid
00000001802eee24 (__TEXT,__text) external _getpgrp
00000001802ec190 (__TEXT,__text) external _getpid
00000001802eee50 (__TEXT,__text) external _getppid
00000001802eee7c (__TEXT,__text) external _getpriority
00000001802cc324 (__TEXT,__text) external _getrlimit
00000001802eeea8 (__TEXT,__text) external _getrusage
00000001802ec20c (__TEXT,__text) external _getsgroups_np
00000001802eeed4 (__TEXT,__text) external _getsid
00000001802ec238 (__TEXT,__text) external _getsockname
00000001802eef00 (__TEXT,__text) external _getsockopt
00000001802eef2c (__TEXT,__text) external _getuid
00000001802ec2ec (__TEXT,__text) external _getwgroups_np
00000001802eef58 (__TEXT,__text) external _getxattr
00000001802eef84 (__TEXT,__text) external _grab_pgo_data
00000001802eefb0 (__TEXT,__text) external _guarded_close_np
00000001802eefdc (__TEXT,__text) external _guarded_kqueue_np
00000001802c68c4 (__TEXT,__text) external _guarded_open_dprotected_np
00000001802d2ffc (__TEXT,__text) external _guarded_open_np
00000001802ef008 (__TEXT,__text) external _guarded_pwrite_np
00000001802ef034 (__TEXT,__text) external _guarded_write_np
00000001802ef060 (__TEXT,__text) external _guarded_writev_np
00000001802f51c0 (__TEXT,__cstring) non-external _hex
00000001802c6914 (__TEXT,__text) external _host_check_multiuser_mode
00000001802c691c (__TEXT,__text) external _host_create_mach_voucher
00000001802c7d40 (__TEXT,__text) external _host_create_mach_voucher_trap
00000001802d4604 (__TEXT,__text) external _host_default_memory_manager
00000001802d5fdc (__TEXT,__text) external _host_get_UNDServer
00000001802c68f4 (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001802d41b0 (__TEXT,__text) external _host_get_boot_info
00000001802d4cac (__TEXT,__text) external _host_get_clock_control
00000001802d7588 (__TEXT,__text) external _host_get_clock_service
00000001802d55d4 (__TEXT,__text) external _host_get_exception_ports
00000001802d7438 (__TEXT,__text) external _host_get_io_master
00000001802c690c (__TEXT,__text) external _host_get_multiuser_config_flags
00000001802d5208 (__TEXT,__text) external _host_get_special_port
00000001802d6cd0 (__TEXT,__text) external _host_info
00000001802d6e94 (__TEXT,__text) external _host_kernel_version
00000001802d8108 (__TEXT,__text) external _host_lockgroup_info
00000001802c6d64 (__TEXT,__text) external _host_page_size
00000001802d4440 (__TEXT,__text) external _host_priv_statistics
00000001802d72a4 (__TEXT,__text) external _host_processor_info
00000001802d5d58 (__TEXT,__text) external _host_processor_set_priv
00000001802d5bec (__TEXT,__text) external _host_processor_sets
00000001802d4b40 (__TEXT,__text) external _host_processors
00000001802d4320 (__TEXT,__text) external _host_reboot
00000001802d88b8 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001802d8a3c (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001802d7fd8 (__TEXT,__text) external _host_request_notification
00000001802d6304 (__TEXT,__text) external _host_security_create_task_token
00000001802d649c (__TEXT,__text) external _host_security_set_task_token
00000001802c81f8 (__TEXT,__text) external _host_self
00000001802c7bfc (__TEXT,__text) external _host_self_trap
00000001802d5ec0 (__TEXT,__text) external _host_set_UNDServer
00000001802d8bb8 (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001802d54a0 (__TEXT,__text) external _host_set_exception_ports
00000001802d8ed8 (__TEXT,__text) external _host_set_multiuser_config_flags
00000001802d5370 (__TEXT,__text) external _host_set_special_port
00000001802d7e14 (__TEXT,__text) external _host_statistics
00000001802d8284 (__TEXT,__text) external _host_statistics64
00000001802d5840 (__TEXT,__text) external _host_swap_exception_ports
00000001802d785c (__TEXT,__text) external _host_virtual_physical_table_info
000000018439eb30 (__DATA,__data) external _important_boost_assertion_token
00000001843df108 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001802c6738 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise
000000018439eb18 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001802c6608 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state
000000018439eb10 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001802c64c4 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state_identity
000000018439eb08 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001802cc3a4 (__TEXT,__text) external _ioctl
00000001802ef08c (__TEXT,__text) external _issetugid
00000001802ef0b8 (__TEXT,__text) external _kas_info
00000001802cf364 (__TEXT,__text) external _kdebug_is_enabled
00000001802cf534 (__TEXT,__text) external _kdebug_signpost
00000001802cf5ec (__TEXT,__text) external _kdebug_signpost_end
00000001802cf53c (__TEXT,__text) non-external _kdebug_signpost_internal
00000001802cf5dc (__TEXT,__text) external _kdebug_signpost_start
00000001802cf3d8 (__TEXT,__text) external _kdebug_timestamp
00000001802cf3f0 (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001802cf40c (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001802cf428 (__TEXT,__text) external _kdebug_trace
00000001802cf4a8 (__TEXT,__text) external _kdebug_trace_string
00000001802cf2e0 (__TEXT,__text) external _kdebug_typefilter
000000018439f288 (__DATA,__bss) non-external _kdebug_typefilter.typefilter
00000001802cf3c4 (__TEXT,__text) external _kdebug_using_continuous_time
00000001802ef0e4 (__TEXT,__text) external _kevent
00000001802ef110 (__TEXT,__text) external _kevent64
00000001802ef13c (__TEXT,__text) external _kevent_id
00000001802ef168 (__TEXT,__text) external _kevent_qos
00000001802d612c (__TEXT,__text) external _kext_request
00000001802ceeac (__TEXT,__text) external _kill
00000001802d5068 (__TEXT,__text) external _kmod_control
00000001802d4e14 (__TEXT,__text) external _kmod_create
00000001802d4f48 (__TEXT,__text) external _kmod_destroy
00000001802d76f0 (__TEXT,__text) external _kmod_get_info
00000001802d2d44 (__TEXT,__text) external _kpersona_alloc
00000001802d2dc4 (__TEXT,__text) external _kpersona_dealloc
00000001802d2f14 (__TEXT,__text) external _kpersona_find
00000001802d2f98 (__TEXT,__text) external _kpersona_find_by_type
00000001802d2e08 (__TEXT,__text) external _kpersona_get
00000001802d2e48 (__TEXT,__text) external _kpersona_getpath
00000001802d2e8c (__TEXT,__text) external _kpersona_info
00000001802d2d84 (__TEXT,__text) external _kpersona_palloc
00000001802d2ed0 (__TEXT,__text) external _kpersona_pidinfo
00000001802ef194 (__TEXT,__text) external _kqueue
00000001802ec528 (__TEXT,__text) external _lchown
00000001802ef1c0 (__TEXT,__text) external _ledger
00000001802ef1ec (__TEXT,__text) external _link
00000001802ef218 (__TEXT,__text) external _linkat
00000001802ef244 (__TEXT,__text) external _lio_listio
00000001802ec554 (__TEXT,__text) external _listen
00000001802ef270 (__TEXT,__text) external _listxattr
00000001802d65e0 (__TEXT,__text) external _lock_acquire
00000001802d6a80 (__TEXT,__text) external _lock_handoff
00000001802d6ba8 (__TEXT,__text) external _lock_handoff_accept
00000001802d6958 (__TEXT,__text) external _lock_make_stable
00000001802d6708 (__TEXT,__text) external _lock_release
00000001802e2340 (__TEXT,__text) external _lock_set_create
00000001802e24a8 (__TEXT,__text) external _lock_set_destroy
00000001802d6830 (__TEXT,__text) external _lock_try
00000001802ca378 (__TEXT,__text) external _log_data_as_kernel
00000001802ec5ac (__TEXT,__text) external _lseek
00000001802ef29c (__TEXT,__text) external _lstat
00000001802ef29c (__TEXT,__text) external _lstat64
00000001802c6e8c (__TEXT,__text) external _mach_absolute_time
00000001802c6f10 (__TEXT,__text) external _mach_absolute_time_kernel
00000001802c9aac (__TEXT,__text) external _mach_approximate_time
00000001802c9b90 (__TEXT,__text) external _mach_boottime_usec
00000001802c6418 (__TEXT,__text) external _mach_continuous_approximate_time
00000001802c63a4 (__TEXT,__text) external _mach_continuous_time
00000001802c6f1c (__TEXT,__text) external _mach_continuous_time_kernel
00000001802c6ce0 (__TEXT,__text) external _mach_error
000000018439ebb0 (__DATA,__common) external _mach_error_full_diag
00000001802c6cbc (__TEXT,__text) external _mach_error_string
00000001802c6b1c (__TEXT,__text) non-external (was a private external) _mach_error_string_int
00000001802c6994 (__TEXT,__text) external _mach_error_type
00000001802eade4 (__TEXT,__text) external _mach_eventlink_associate
00000001802eab40 (__TEXT,__text) external _mach_eventlink_create
00000001802eacd0 (__TEXT,__text) external _mach_eventlink_destroy
00000001802eaf24 (__TEXT,__text) external _mach_eventlink_disassociate
00000001802c9c60 (__TEXT,__text) external _mach_eventlink_signal
00000001802c9cbc (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001802c9c7c (__TEXT,__text) external _mach_eventlink_wait_until
00000001802c7c98 (__TEXT,__text) external _mach_generate_activity_id
00000001802cc120 (__TEXT,__text) external _mach_get_times
00000001802c8578 (__TEXT,__text) external _mach_host_self
00000001802c4cf8 (__TEXT,__text) external _mach_host_special_port_description
000000018237dd20 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001802c4d58 (__TEXT,__text) external _mach_host_special_port_for_id
000000018439e990 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001802c6d78 (__TEXT,__text) external _mach_init
000000018439f260 (__DATA,__bss) non-external _mach_init.mach_init_inited
00000001802c6db0 (__TEXT,__text) non-external _mach_init_doit
00000001802de4dc (__TEXT,__text) external _mach_make_memory_entry
00000001802ea0a4 (__TEXT,__text) external _mach_make_memory_entry_64
00000001802ea8b0 (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001802eaa0c (__TEXT,__text) external _mach_memory_entry_ownership
00000001802ea770 (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001802d8cd8 (__TEXT,__text) external _mach_memory_info
00000001802d7120 (__TEXT,__text) external _mach_memory_object_memory_entry
00000001802d7c90 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001802c6f28 (__TEXT,__text) external _mach_msg
00000001802c7184 (__TEXT,__text) external _mach_msg_destroy
00000001802c72f4 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001802c7024 (__TEXT,__text) external _mach_msg_overwrite
00000001802c7c14 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001802c7ab8 (__TEXT,__text) external _mach_msg_priority_encode
00000001802c7aa8 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001802c7aec (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001802c7afc (__TEXT,__text) external _mach_msg_priority_qos
00000001802c7b0c (__TEXT,__text) external _mach_msg_priority_relpri
00000001802c7168 (__TEXT,__text) external _mach_msg_receive
00000001802c714c (__TEXT,__text) external _mach_msg_send
00000001802c7774 (__TEXT,__text) external _mach_msg_server
00000001802c7708 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001802c7a90 (__TEXT,__text) external _mach_msg_server_importance
00000001802c7428 (__TEXT,__text) external _mach_msg_server_once
00000001802c7c08 (__TEXT,__text) external _mach_msg_trap
00000001802dedc8 (__TEXT,__text) external _mach_notify_dead_name
00000001802ded14 (__TEXT,__text) external _mach_notify_no_senders
00000001802dec4c (__TEXT,__text) external _mach_notify_port_deleted
00000001802decb0 (__TEXT,__text) external _mach_notify_port_destroyed
00000001802ded78 (__TEXT,__text) external _mach_notify_send_once
00000001802d1b44 (__TEXT,__text) external _mach_port_allocate
00000001802d1ec8 (__TEXT,__text) external _mach_port_allocate_full
00000001802d1b40 (__TEXT,__text) external _mach_port_allocate_name
00000001802d1ec4 (__TEXT,__text) external _mach_port_allocate_qos
00000001802d24a8 (__TEXT,__text) external _mach_port_assert_attributes
00000001802d2248 (__TEXT,__text) external _mach_port_construct
00000001802d1bb8 (__TEXT,__text) external _mach_port_deallocate
00000001802d1bb4 (__TEXT,__text) external _mach_port_destroy
00000001802d22c0 (__TEXT,__text) external _mach_port_destruct
00000001802d2118 (__TEXT,__text) external _mach_port_dnrequest_info
00000001802d2190 (__TEXT,__text) external _mach_port_extract_member
00000001802d1e2c (__TEXT,__text) external _mach_port_extract_right
00000001802d1e34 (__TEXT,__text) external _mach_port_get_attributes
00000001802d2200 (__TEXT,__text) external _mach_port_get_context
00000001802d1c14 (__TEXT,__text) external _mach_port_get_refs
00000001802d24a4 (__TEXT,__text) external _mach_port_get_service_port_info
00000001802d1c98 (__TEXT,__text) external _mach_port_get_set_status
00000001802d1ed0 (__TEXT,__text) external _mach_port_get_srights
00000001802d2338 (__TEXT,__text) external _mach_port_guard
00000001802d2498 (__TEXT,__text) external _mach_port_guard_with_flags
00000001802d2120 (__TEXT,__text) external _mach_port_insert_member
00000001802d1db4 (__TEXT,__text) external _mach_port_insert_right
00000001802d24a0 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001802d211c (__TEXT,__text) external _mach_port_kernel_object
00000001802d2240 (__TEXT,__text) external _mach_port_kobject
00000001802d2244 (__TEXT,__text) external _mach_port_kobject_description
00000001802d1c18 (__TEXT,__text) external _mach_port_mod_refs
00000001802d1c9c (__TEXT,__text) external _mach_port_move_member
00000001802d1ac8 (__TEXT,__text) external _mach_port_names
00000001802d1c90 (__TEXT,__text) external _mach_port_peek
00000001802d1b3c (__TEXT,__text) external _mach_port_rename
00000001802d1d0c (__TEXT,__text) external _mach_port_request_notification
00000001802d1ec0 (__TEXT,__text) external _mach_port_set_attributes
00000001802d223c (__TEXT,__text) external _mach_port_set_context
00000001802d1c94 (__TEXT,__text) external _mach_port_set_mscount
00000001802d1e30 (__TEXT,__text) external _mach_port_set_seqno
00000001802d1ed8 (__TEXT,__text) external _mach_port_space_basic_info
00000001802d1ed4 (__TEXT,__text) external _mach_port_space_info
00000001802d249c (__TEXT,__text) external _mach_port_swap_guard
00000001802d1acc (__TEXT,__text) external _mach_port_type
00000001802d23b0 (__TEXT,__text) external _mach_port_unguard
00000001802e10e0 (__TEXT,__text) external _mach_ports_lookup
00000001802e0fac (__TEXT,__text) external _mach_ports_register
00000001802c7bd8 (__TEXT,__text) external _mach_reply_port
00000001802c85f8 (__TEXT,__text) external _mach_right_recv_construct
00000001802f0758 (__TEXT,__text) non-external _mach_right_recv_construct.cold.1
00000001802c86a4 (__TEXT,__text) external _mach_right_recv_destruct
00000001802f0780 (__TEXT,__text) non-external _mach_right_recv_destruct.cold.1
00000001802f07a8 (__TEXT,__text) non-external _mach_right_recv_destruct.cold.2
00000001802c86fc (__TEXT,__text) external _mach_right_send_create
00000001802f07d0 (__TEXT,__text) non-external _mach_right_send_create.cold.1
00000001802c8850 (__TEXT,__text) external _mach_right_send_once_consume
00000001802f0898 (__TEXT,__text) non-external _mach_right_send_once_consume.cold.1
00000001802f08c0 (__TEXT,__text) non-external _mach_right_send_once_consume.cold.2
00000001802c8800 (__TEXT,__text) external _mach_right_send_once_create
00000001802f0870 (__TEXT,__text) non-external _mach_right_send_once_create.cold.1
00000001802c8798 (__TEXT,__text) external _mach_right_send_release
00000001802f0820 (__TEXT,__text) non-external _mach_right_send_release.cold.1
00000001802f0848 (__TEXT,__text) non-external _mach_right_send_release.cold.2
00000001802c8744 (__TEXT,__text) external _mach_right_send_retain
00000001802f07f8 (__TEXT,__text) non-external _mach_right_send_retain.cold.1
00000001802d1ff0 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001802d20a0 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001802c9ba0 (__TEXT,__text) external _mach_task_is_self
00000001802c857c (__TEXT,__text) external _mach_task_self
000000018439ebbc (__DATA,__common) external _mach_task_self_
00000001802c4d18 (__TEXT,__text) external _mach_task_special_port_description
000000018237de28 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001802c4de8 (__TEXT,__text) external _mach_task_special_port_for_id
000000018439ea88 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001802c8580 (__TEXT,__text) external _mach_thread_self
00000001802c4d38 (__TEXT,__text) external _mach_thread_special_port_description
000000018237de88 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001802c4df8 (__TEXT,__text) external _mach_thread_special_port_for_id
000000018439eae8 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001802cf288 (__TEXT,__text) external _mach_timebase_info
000000018439f27c (__DATA,__bss) non-external _mach_timebase_info.cached_info
00000001802c7d70 (__TEXT,__text) external _mach_timebase_info_trap
00000001802d24ac (__TEXT,__text) external _mach_vm_allocate
00000001802dda2c (__TEXT,__text) external _mach_vm_behavior_set
00000001802dd6a0 (__TEXT,__text) external _mach_vm_copy
00000001802d255c (__TEXT,__text) external _mach_vm_deallocate
00000001802dd140 (__TEXT,__text) external _mach_vm_inherit
00000001802ddcc8 (__TEXT,__text) external _mach_vm_machine_attribute
00000001802d26d8 (__TEXT,__text) external _mach_vm_map
00000001802dd904 (__TEXT,__text) external _mach_vm_msync
00000001802de7b0 (__TEXT,__text) external _mach_vm_page_info
00000001802ddf88 (__TEXT,__text) external _mach_vm_page_query
00000001802de978 (__TEXT,__text) external _mach_vm_page_range_query
00000001802d2604 (__TEXT,__text) external _mach_vm_protect
00000001802d2bf4 (__TEXT,__text) external _mach_vm_purgable_control
00000001802d2948 (__TEXT,__text) external _mach_vm_read
00000001802dd3f0 (__TEXT,__text) external _mach_vm_read_list
00000001802dd7c4 (__TEXT,__text) external _mach_vm_read_overwrite
00000001802de2c8 (__TEXT,__text) external _mach_vm_region
00000001802de0d0 (__TEXT,__text) external _mach_vm_region_recurse
00000001802d2810 (__TEXT,__text) external _mach_vm_remap
00000001802d28ac (__TEXT,__text) external _mach_vm_remap_new
00000001802d5ab8 (__TEXT,__text) external _mach_vm_wire
00000001802dd564 (__TEXT,__text) external _mach_vm_write
00000001802eb5b0 (__TEXT,__text) external _mach_voucher_attr_command
00000001802c7a94 (__TEXT,__text) external _mach_voucher_deallocate
00000001802eb7b4 (__TEXT,__text) external _mach_voucher_debug_info
00000001802eb3dc (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001802eb04c (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001802d2420 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001802c7d4c (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001802c7d7c (__TEXT,__text) external _mach_wait_until
00000001802d8600 (__TEXT,__text) external _mach_zone_force_gc
00000001802d9434 (__TEXT,__text) external _mach_zone_get_btlog_records
00000001802d92b8 (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001802d8448 (__TEXT,__text) external _mach_zone_info
00000001802d9154 (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001802d8ff8 (__TEXT,__text) external _mach_zone_info_for_zone
00000001802c7d04 (__TEXT,__text) external _macx_backing_store_recovery
00000001802c7cf8 (__TEXT,__text) external _macx_backing_store_suspend
00000001802c7cd4 (__TEXT,__text) external _macx_swapoff
00000001802c7cc8 (__TEXT,__text) external _macx_swapon
00000001802c7cec (__TEXT,__text) external _macx_triggers
00000001802ef2c8 (__TEXT,__text) external _madvise
00000001802c46c0 (__TEXT,__text) non-external (was a private external) _malloc
000000018439f264 (__DATA,__bss) non-external _master_host_port
00000001802c480c (__TEXT,__text) non-external (was a private external) _memcpy
00000001802ef2f4 (__TEXT,__text) external _memorystatus_control
00000001802ef320 (__TEXT,__text) external _memorystatus_get_level
00000001802c7dd0 (__TEXT,__text) external _mig_allocate
00000001802c7fac (__TEXT,__text) external _mig_dealloc_reply_port
00000001802d1f18 (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001802c7e18 (__TEXT,__text) external _mig_deallocate
00000001802c7f78 (__TEXT,__text) external _mig_get_reply_port
00000001802d1edc (__TEXT,__text) external _mig_get_special_reply_port
00000001802c8028 (__TEXT,__text) external _mig_put_reply_port
00000001802c7f40 (__TEXT,__text) external _mig_reply_setup
00000001802c802c (__TEXT,__text) external _mig_strncpy
00000001802c8074 (__TEXT,__text) external _mig_strncpy_zerofill
00000001802ef34c (__TEXT,__text) external _mincore
00000001802ef378 (__TEXT,__text) external _minherit
00000001802c7da0 (__TEXT,__text) external _mk_timer_arm
00000001802c7db8 (__TEXT,__text) external _mk_timer_arm_leeway
00000001802c7dac (__TEXT,__text) external _mk_timer_cancel
00000001802c7d88 (__TEXT,__text) external _mk_timer_create
00000001802c7d94 (__TEXT,__text) external _mk_timer_destroy
00000001802ef3a4 (__TEXT,__text) external _mkdir
00000001802ef3d0 (__TEXT,__text) external _mkdirat
00000001802ef3fc (__TEXT,__text) external _mkfifo
00000001802ef428 (__TEXT,__text) external _mknod
00000001802ef454 (__TEXT,__text) external _mlock
00000001802ef480 (__TEXT,__text) external _mlockall
00000001802cf010 (__TEXT,__text) external _mmap
00000001802ef4ac (__TEXT,__text) external _mount
00000001802eca24 (__TEXT,__text) external _mprotect
00000001802ef4d8 (__TEXT,__text) external _mremap_encrypted
