00007ffb0e534a52 (__TEXT,__text) non-external _DiToMD5
00007ffb0e527ad4 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffb0e527b92 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffb0e527ca8 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffb0e527c5e (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffb0e527d34 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffb0e522400 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffb0e52272e (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffb0e5226da (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffb0e528ab4 (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffb0e528860 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffb0e528a0c (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffb0e528a44 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffb0e52890a (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffb0e5288f2 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffb0e52896e (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffb0e52299a (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffb0e522872 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffb0e522a7c (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffb0e522b4c (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffb0e546817 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffb0e522c0c (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffb0e54683a (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffb0e5228de (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffb0e522862 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffb0e522940 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffb0e534628 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffb0e5345d0 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffb0e5344de (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffb0e53447c (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffb0e5342e6 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffb0e5344d0 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffb0e544876 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffb0e53775e (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffb0e51cb76 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffb0e537950 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffb0e51ea90 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffb0e51ec40 (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffb0e5378de (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb0e51ca94 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffb0e51f02a (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffb0e51ed90 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffb0e5463bb (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffb0e51f0c6 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffb0e546447 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffb0e54646a (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffb0e51ebaa (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffb0e51ebd4 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffb0e546398 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffb0e51ea52 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffb0e51e7f2 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffb0e51e6b8 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffb0e51f078 (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffb0e51e70c (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffb0e51e232 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffb0e5461ae (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffb0e5461d1 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffb0e5461f4 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffb0e546217 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffb0e54623a (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffb0e54625d (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffb0e546280 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffb0e5462a3 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffb0e51f15e (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffb0e51c9ce (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffb0e51c9e0 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffb0e53765a (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffb0e5375f4 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffb0e51f16a (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffb0e537616 (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffb0e533dca (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffb0e533a4c (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffb0e533ab8 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffb0e533eb4 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffb0e533efc (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffb0e533ac2 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffb0e547794 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffb0e5340ae (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffb0e53418e (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffb0e533bf0 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffb0e5477a6 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffb0e5341a2 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffb0e5341b6 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffb0e533360 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffb0e5333d2 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffb0e533d32 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffb0e533dc0 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffb0e5441b8 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffb0e51b3e8 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffb0e51bbb6 (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffb0e51bdcc (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffb0e54573d (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffb0e545760 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffb0e51bd1a (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffb0e5456fe (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffb0e51c48e (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffb0e545935 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffb0e545958 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffb0e54597b (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffb0e54599e (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffb0e5459c1 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffb0e5459e4 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffb0e51bf46 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffb0e54581d (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffb0e545840 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffb0e545863 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffb0e545886 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffb0e51b3de (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffb0e51b418 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffb0e525350 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffb0e5291ba (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffb0e547125 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffb0e52917a (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffb0e547102 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffb0e529166 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffb0e529170 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffb0e5291de (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffb0e537e1c (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffb0e538134 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffb0e51f29c (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffb0e537b12 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb0e538220 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffb0e537cde (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb0e5381a8 (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffb0e51f284 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffb0e51f274 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffb0e537ba8 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb0e537a60 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffb0e537ffa (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffb0e537a6a (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffb0e5324e2 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffb0e5474cb (__TEXT,__text) non-external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey.cold.1
00007ffb0e531d44 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffb0e532412 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffb0e531d62 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffb0e532826 (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffb0e53276e (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffb0e5474fc (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffb0e5326fe (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffb0e5474e3 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffb0e5327a4 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffb0e547515 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffb0e532864 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffb0e5320ea (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffb0e54740b (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb0e547424 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb0e54744b (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffb0e54746b (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffb0e547492 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffb0e531dd8 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffb0e547307 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffb0e547320 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffb0e547332 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffb0e5323ae (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffb0e53225a (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffb0e531d26 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffb0e53279c (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffb0e532314 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffb0e5474b2 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffb0e5327e8 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffb0e531f64 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffb0e54734b (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffb0e547364 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffb0e54737d (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffb0e5473a4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffb0e5473c4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffb0e5473eb (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffb0e531d74 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffb0e53219c (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffb0e531aa0 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffb0e53199e (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffb0e531bb6 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffb0e531bac (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffb0e531b0a (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffb0e547261 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffb0e547288 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffb0e5472a8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffb0e5472cf (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffb0e532a7c (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffb0e5328fc (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffb0e532b0a (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffb0e53296e (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffb0e5329ee (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffb0e5440cc (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffb0e5451b4 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffb0e543af4 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffb0e543bc0 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffb0e54413a (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffb0e544256 (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffb0e544286 (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffb0e5442e8 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffb0e5448b4 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffb0e535c28 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffb0e53a246 (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffb0e53a3a4 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffb0e53a7a4 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffb0e53a818 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffb0e53a526 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffb0e53a638 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffb0e53a8b0 (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffb0e53a976 (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffb0e51ffba (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffb0e5465a1 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffb0e52130c (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffb0e5212b8 (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffb0e53a1e0 (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffb0e52136e (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffb0e5466dc (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffb0e53a202 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffb0e53ae00 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffb0e53b9dc (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffb0e54410a (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffb0e533354 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffb0e53327e (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffb0e5331f8 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffb0e532bb0 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb0e532c60 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb0e53ad10 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffb0e5382da (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffb0e53841a (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffb0e538eaa (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb0e538d66 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb0e53915c (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
00007ffb0e523bc6 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
00007ffb0e538c34 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
00007ffb0e523c8e (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
00007ffb0e539296 (__TEXT,__text) external __ZN20IOExtensiblePaniclog13Create_InvokeE5IORPCPFiP6OSDataP8OSStringjjPPS_E
00007ffb0e539386 (__TEXT,__text) external __ZN20IOExtensiblePaniclog16SetActive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb0e539514 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17AppendData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb0e53945e (__TEXT,__text) external __ZN20IOExtensiblePaniclog17InsertData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb0e539648 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17SetUsedLen_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb0e5393f2 (__TEXT,__text) external __ZN20IOExtensiblePaniclog18SetInactive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb0e538fee (__TEXT,__text) external __ZN20IOExtensiblePaniclog20CopyMemoryDescriptorEPP24IOBufferMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb0e5395ca (__TEXT,__text) external __ZN20IOExtensiblePaniclog27CopyMemoryDescriptor_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP24IOBufferMemoryDescriptorE
00007ffb0e523b6e (__TEXT,__text) external __ZN20IOExtensiblePaniclog4freeEv
00007ffb0e523b12 (__TEXT,__text) external __ZN20IOExtensiblePaniclog4initEv
00007ffb0e5389a4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog6CreateEP6OSDataP8OSStringjjPPS_
00007ffb0e53893e (__TEXT,__text) external __ZN20IOExtensiblePaniclog8DispatchE5IORPC
00007ffb0e538b02 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9SetActiveEPFiP15OSMetaClassBase5IORPCE
00007ffb0e538960 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9_DispatchEPS_5IORPC
00007ffb0e53aa98 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
00007ffb0e53aafa (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
00007ffb0e5434b8 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
00007ffb0e5435f8 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
00007ffb0e544188 (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
00007ffb0e535c96 (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
00007ffb0e535cf8 (__TEXT,__text) external __ZN21IODMACommandMetaClass8DispatchE5IORPC
00007ffb0e5340be (__TEXT,__text) external __ZN21IOStateReporter_IVars14_getStateValueEyy29IOStateReporter_valueSelector
00007ffb0e5339b2 (__TEXT,__text) external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_
00007ffb0e54777b (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_.cold.1
00007ffb0e533e18 (__TEXT,__text) external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy
00007ffb0e5477b8 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy.cold.1
00007ffb0e533918 (__TEXT,__text) external __ZN21IOStateReporter_IVars17handleSwapCleanupEi
00007ffb0e5476d4 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb0e5476ed (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb0e547714 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.3
