00000001d9771fdc (__TEXT,__text) external _AMFDRDecodeCertificate
00000001d9774a24 (__TEXT,__const) non-external (was a private external) _kFDRDecodeMetaPropertyTagStr_minimalManifest
00000001d9774960 (__TEXT,__const) non-external (was a private external) _kFDRKnownTag
00000001d977494f (__TEXT,__const) non-external (was a private external) _kFDRTagStr_CRTP
00000001d977494a (__TEXT,__const) non-external (was a private external) _kFDRTagStr_IM4C
00000001d9774918 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_comb
00000001d977493b (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdr2
00000001d977492c (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdrd
00000001d9774954 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mcmb
00000001d9774940 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mft2
00000001d977491d (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rssl
00000001d9774927 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rvok
00000001d9774931 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_secb
00000001d9774936 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_sreq
00000001d9774945 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trpk
00000001d9774922 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trst
                 (undefined) external _kImg4TagStr_IM4M (from libamsupport)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001e75eb620 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip224r1
00000001e75eb630 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip384r1
00000001e75eb610 (__DATA_CONST,__const) non-external (was a private external) _oidEcPrime256v1
00000001e75eb5b0 (__DATA_CONST,__const) non-external (was a private external) _oidEcPubKey
00000001e75eb570 (__DATA_CONST,__const) non-external (was a private external) _oidRsa
00000001e75eb5e0 (__DATA_CONST,__const) non-external (was a private external) _oidSha1
00000001e75eb580 (__DATA_CONST,__const) non-external (was a private external) _oidSha1Rsa
00000001e75eb5f0 (__DATA_CONST,__const) non-external (was a private external) _oidSha256
00000001e75eb5c0 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Ecdsa
00000001e75eb590 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Rsa
00000001e75eb600 (__DATA_CONST,__const) non-external (was a private external) _oidSha384
00000001e75eb5d0 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Ecdsa
00000001e75eb5a0 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Rsa
                 (undefined) external _vsnprintf (from libSystem)
