
/Volumes/macOS Mojave/usr/lib/libiodbc.2.1.18.dylib (for architecture x86_64):
000000000000fa84 (__TEXT,__text) non-external _Done_iODBC
00000000000235e0 (__TEXT,__text) non-external __trace_descfield_type
0000000000023c34 (__TEXT,__text) non-external __trace_diag_type
00000000000215e9 (__TEXT,__text) non-external __trace_direction
0000000000021cdb (__TEXT,__text) non-external __trace_drvcn_completion
0000000000024037 (__TEXT,__text) non-external __trace_envattr_type
0000000000022466 (__TEXT,__text) non-external __trace_fetchtype
00000000000228d6 (__TEXT,__text) non-external __trace_freestmt_option
00000000000241d9 (__TEXT,__text) non-external __trace_func_name
000000000002412c (__TEXT,__text) non-external __trace_func_result
0000000000024e31 (__TEXT,__text) non-external __trace_getinfo
0000000000028922 (__TEXT,__text) non-external __trace_handle
00000000000288b7 (__TEXT,__text) non-external __trace_handle_p
000000000002887c (__TEXT,__text) non-external __trace_handletype
000000000002910c (__TEXT,__text) non-external __trace_inouttype
000000000002899d (__TEXT,__text) non-external __trace_integer
0000000000028abc (__TEXT,__text) non-external __trace_integer_p
0000000000028b8f (__TEXT,__text) non-external __trace_len
0000000000028bcf (__TEXT,__text) non-external __trace_len_p
00000000000289d6 (__TEXT,__text) non-external __trace_pointer
00000000000286ff (__TEXT,__text) non-external __trace_print_function
0000000000027116 (__TEXT,__text) non-external __trace_scrollopt_type
0000000000027022 (__TEXT,__text) non-external __trace_setpos_irow
0000000000027077 (__TEXT,__text) non-external __trace_setpos_lock
000000000002703e (__TEXT,__text) non-external __trace_setpos_oper
0000000000028964 (__TEXT,__text) non-external __trace_smallint
0000000000028a11 (__TEXT,__text) non-external __trace_smallint_p
000000000002731c (__TEXT,__text) non-external __trace_spcols_null
00000000000272e3 (__TEXT,__text) non-external __trace_spcols_scope
00000000000272a4 (__TEXT,__text) non-external __trace_spcols_type
000000000002952c (__TEXT,__text) non-external __trace_sql_subtype
0000000000029147 (__TEXT,__text) non-external __trace_sql_type
000000000002931c (__TEXT,__text) non-external __trace_sql_type_p
0000000000027662 (__TEXT,__text) non-external __trace_stats_accuracy
0000000000027623 (__TEXT,__text) non-external __trace_stats_unique
00000000000247b0 (__TEXT,__text) non-external __trace_stmtattr_type
0000000000024ada (__TEXT,__text) non-external __trace_stmtopt_type
0000000000028c79 (__TEXT,__text) non-external __trace_string
0000000000028d29 (__TEXT,__text) non-external __trace_string_w
0000000000028b65 (__TEXT,__text) non-external __trace_stringlen
00000000000381d0 (__DATA,__const) non-external __trace_sym_handletype
0000000000027ca9 (__TEXT,__text) non-external __trace_tran_completion
0000000000024b60 (__TEXT,__text) non-external __trace_typeinfo
00000000000289ba (__TEXT,__text) non-external __trace_uinteger
0000000000028b11 (__TEXT,__text) non-external __trace_uinteger_p
0000000000028baf (__TEXT,__text) non-external __trace_ulen
0000000000028c24 (__TEXT,__text) non-external __trace_ulen_p
0000000000028981 (__TEXT,__text) non-external __trace_usmallint
0000000000028a67 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000000002d27d (__TEXT,__text) non-external _calc_len_for_utf8
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
0000000000038912 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000000002ce1f (__TEXT,__text) non-external _dm_SQL_A2W
000000000002d344 (__TEXT,__text) non-external _dm_SQL_U8toW
000000000002cdba (__TEXT,__text) non-external _dm_SQL_W2A
000000000002d059 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000000002ce88 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000000002d52e (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000000002cf27 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000000002cfc0 (__TEXT,__text) non-external _dm_strcpy_A2W
000000000002d00e (__TEXT,__text) non-external _dm_strcpy_W2A
000000000002c006 (__TEXT,__text) non-external _do_create_dsns
00000000000388d0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00000000000388b0 (__DATA,__common) non-external _ierror
000000000002c143 (__TEXT,__text) non-external _install_from_ini
000000000002c628 (__TEXT,__text) non-external _install_from_string
0000000000038310 (__DATA,__data) external _iodbc_version
00000000000387f0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000000038838 (__DATA,__data) non-external _numerrors
0000000000038320 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
0000000000038840 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000000002c7cd (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
0000000000036240 (__DATA,__const) non-external _sqlerrmsg_tab
0000000000038880 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
0000000000020393 (__TEXT,__text) non-external _trace_SQLAllocConnect
00000000000203ec (__TEXT,__text) non-external _trace_SQLAllocEnv
0000000000020436 (__TEXT,__text) non-external _trace_SQLAllocHandle
000000000002049d (__TEXT,__text) non-external _trace_SQLAllocStmt
00000000000204f6 (__TEXT,__text) non-external _trace_SQLBindCol
0000000000020590 (__TEXT,__text) non-external _trace_SQLBindParameter
0000000000020666 (__TEXT,__text) non-external _trace_SQLBrowseConnect
0000000000020723 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00000000000207e0 (__TEXT,__text) non-external _trace_SQLBulkOperations
0000000000020818 (__TEXT,__text) non-external _trace_SQLCancel
0000000000020846 (__TEXT,__text) non-external _trace_SQLCloseCursor
0000000000020ae8 (__TEXT,__text) non-external _trace_SQLColAttribute
0000000000020e70 (__TEXT,__text) non-external _trace_SQLColAttributeW
0000000000020f08 (__TEXT,__text) non-external _trace_SQLColAttributes
0000000000020fb5 (__TEXT,__text) non-external _trace_SQLColAttributesW
0000000000021062 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
0000000000021156 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000000002124a (__TEXT,__text) non-external _trace_SQLColumns
000000000002133e (__TEXT,__text) non-external _trace_SQLColumnsW
0000000000021432 (__TEXT,__text) non-external _trace_SQLConnect
00000000000214ef (__TEXT,__text) non-external _trace_SQLConnectW
00000000000215ac (__TEXT,__text) non-external _trace_SQLCopyDesc
0000000000021650 (__TEXT,__text) non-external _trace_SQLDataSources
0000000000021730 (__TEXT,__text) non-external _trace_SQLDataSourcesW
0000000000021883 (__TEXT,__text) non-external _trace_SQLDescribeCol
000000000002196d (__TEXT,__text) non-external _trace_SQLDescribeColW
0000000000021a57 (__TEXT,__text) non-external _trace_SQLDescribeParam
0000000000021afa (__TEXT,__text) non-external _trace_SQLDisconnect
0000000000021b28 (__TEXT,__text) non-external _trace_SQLDriverConnect
0000000000021d14 (__TEXT,__text) non-external _trace_SQLDriverConnectW
0000000000021fa0 (__TEXT,__text) non-external _trace_SQLDrivers
0000000000022080 (__TEXT,__text) non-external _trace_SQLDriversW
0000000000022160 (__TEXT,__text) non-external _trace_SQLEndTran
00000000000221a7 (__TEXT,__text) non-external _trace_SQLError
000000000002228e (__TEXT,__text) non-external _trace_SQLErrorW
000000000002237a (__TEXT,__text) non-external _trace_SQLExecDirect
00000000000223d9 (__TEXT,__text) non-external _trace_SQLExecDirectW
0000000000022438 (__TEXT,__text) non-external _trace_SQLExecute
00000000000224a6 (__TEXT,__text) non-external _trace_SQLExtendedFetch
0000000000022534 (__TEXT,__text) non-external _trace_SQLFetch
0000000000022562 (__TEXT,__text) non-external _trace_SQLFetchScroll
00000000000225af (__TEXT,__text) non-external _trace_SQLForeignKeys
00000000000226fb (__TEXT,__text) non-external _trace_SQLForeignKeysW
0000000000022847 (__TEXT,__text) non-external _trace_SQLFreeConnect
0000000000022875 (__TEXT,__text) non-external _trace_SQLFreeEnv
00000000000228a3 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000000002290e (__TEXT,__text) non-external _trace_SQLFreeStmt
0000000000022ac0 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
0000000000022b48 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
0000000000022d94 (__TEXT,__text) non-external _trace_SQLGetConnectOption
0000000000022de0 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
0000000000022e2c (__TEXT,__text) non-external _trace_SQLGetCursorName
0000000000022eb0 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
0000000000023534 (__TEXT,__text) non-external _trace_SQLGetData
00000000000238d4 (__TEXT,__text) non-external _trace_SQLGetDescField
000000000002396b (__TEXT,__text) non-external _trace_SQLGetDescFieldW
0000000000023a02 (__TEXT,__text) non-external _trace_SQLGetDescRec
0000000000023b1b (__TEXT,__text) non-external _trace_SQLGetDescRecW
0000000000023d48 (__TEXT,__text) non-external _trace_SQLGetDiagField
0000000000023dee (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
0000000000023e7d (__TEXT,__text) non-external _trace_SQLGetDiagRec
0000000000023f5c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00000000000240a4 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
0000000000024758 (__TEXT,__text) non-external _trace_SQLGetFunctions
0000000000024da4 (__TEXT,__text) non-external _trace_SQLGetInfo
000000000002621c (__TEXT,__text) non-external _trace_SQLGetInfoW
00000000000249e4 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
0000000000024a6c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
0000000000024b13 (__TEXT,__text) non-external _trace_SQLGetStmtOption
0000000000024d34 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
0000000000024d6c (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00000000000262a9 (__TEXT,__text) non-external _trace_SQLMoreResults
00000000000262d7 (__TEXT,__text) non-external _trace_SQLNativeSql
00000000000263a3 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000000002646f (__TEXT,__text) non-external _trace_SQLNumParams
00000000000264c3 (__TEXT,__text) non-external _trace_SQLNumResultCols
0000000000026517 (__TEXT,__text) non-external _trace_SQLParamData
000000000002654f (__TEXT,__text) non-external _trace_SQLParamOptions
00000000000265b7 (__TEXT,__text) non-external _trace_SQLPrepare
0000000000026616 (__TEXT,__text) non-external _trace_SQLPrepareW
0000000000026675 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000000002673d (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
0000000000026805 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00000000000268f9 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00000000000269ed (__TEXT,__text) non-external _trace_SQLProcedures
0000000000026ab5 (__TEXT,__text) non-external _trace_SQLProceduresW
0000000000026b7d (__TEXT,__text) non-external _trace_SQLPutData
0000000000026bc9 (__TEXT,__text) non-external _trace_SQLRowCount
0000000000026c1d (__TEXT,__text) non-external _trace_SQLSetConnectAttr
0000000000026c73 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
0000000000026cc9 (__TEXT,__text) non-external _trace_SQLSetConnectOption
0000000000026d15 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
0000000000026d61 (__TEXT,__text) non-external _trace_SQLSetCursorName
0000000000026dbf (__TEXT,__text) non-external _trace_SQLSetCursorNameW
0000000000026e1d (__TEXT,__text) non-external _trace_SQLSetDescField
0000000000026e88 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
0000000000026ef3 (__TEXT,__text) non-external _trace_SQLSetDescRec
0000000000026fcc (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00000000000270b0 (__TEXT,__text) non-external _trace_SQLSetPos
0000000000027156 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00000000000271ac (__TEXT,__text) non-external _trace_SQLSetStmtAttr
0000000000027202 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
0000000000027258 (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000000002735b (__TEXT,__text) non-external _trace_SQLSpecialColumns
00000000000274bf (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00000000000276a1 (__TEXT,__text) non-external _trace_SQLStatistics
00000000000277e9 (__TEXT,__text) non-external _trace_SQLStatisticsW
0000000000027931 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00000000000279f9 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
0000000000027ac1 (__TEXT,__text) non-external _trace_SQLTables
0000000000027bb5 (__TEXT,__text) non-external _trace_SQLTablesW
0000000000027ceb (__TEXT,__text) non-external _trace_SQLTransact
0000000000038870 (__DATA,__bss) non-external _trace_appname
000000000002827d (__TEXT,__text) non-external _trace_emit
000000000002858a (__TEXT,__text) non-external _trace_emit_binary
000000000002836e (__TEXT,__text) non-external _trace_emit_string
0000000000028348 (__TEXT,__text) non-external _trace_emitc
0000000000038878 (__DATA,__bss) non-external _trace_fname
0000000000038890 (__DATA,__bss) non-external _trace_fp
0000000000038898 (__DATA,__bss) non-external _trace_fp_close
0000000000027da4 (__TEXT,__text) non-external _trace_get_filename
0000000000027d74 (__TEXT,__text) non-external _trace_set_appname
0000000000027db5 (__TEXT,__text) non-external _trace_set_filename
0000000000028044 (__TEXT,__text) non-external _trace_start
00000000000281dd (__TEXT,__text) non-external _trace_stop
0000000000027ff1 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000000002d4d9 (__TEXT,__text) non-external _utf8_len
000000000002d5b2 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
0000000000038910 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)

/Volumes/macOS Mojave/usr/lib/libiodbc.2.1.18.dylib (for architecture i386):
         (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
         (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
         (undefined) external _CFRelease (from CoreFoundation)
         (undefined) external _CFStringGetCString (from CoreFoundation)
         (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
0000ec2f (__TEXT,__text) non-external _Done_iODBC
0002bc80 (__TEXT,__const) non-external _FunctionNumbers
00027981 (__TEXT,__text) non-external _GetPrivateProfileString
0000eae4 (__TEXT,__text) non-external _Init_iODBC
00035424 (__DATA,__common) non-external _ODBCSharedTraceFlag
0000d124 (__TEXT,__text) external _SQLAllocConnect
0000d03c (__TEXT,__text) non-external _SQLAllocConnect_Internal
0000ea60 (__TEXT,__text) external _SQLAllocEnv
0000e8b9 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00018d78 (__TEXT,__text) external _SQLAllocHandle
00018e81 (__TEXT,__text) non-external _SQLAllocHandleStd
00018af8 (__TEXT,__text) non-external _SQLAllocHandle_Internal
0001188b (__TEXT,__text) external _SQLAllocStmt
0001123a (__TEXT,__text) non-external _SQLAllocStmt_Internal
00016b44 (__TEXT,__text) external _SQLBindCol
0001ea48 (__TEXT,__text) external _SQLBindParam
00015e06 (__TEXT,__text) external _SQLBindParameter
0000a072 (__TEXT,__text) external _SQLBrowseConnect
0000a180 (__TEXT,__text) external _SQLBrowseConnectA
0000a28e (__TEXT,__text) external _SQLBrowseConnectW
000099e7 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
0001e4cd (__TEXT,__text) external _SQLBulkOperations
000128b7 (__TEXT,__text) external _SQLCancel
0001ea86 (__TEXT,__text) external _SQLCloseCursor
0001df98 (__TEXT,__text) external _SQLColAttribute
0001e113 (__TEXT,__text) external _SQLColAttributeA
0001e28e (__TEXT,__text) external _SQLColAttributeW
0001d824 (__TEXT,__text) non-external _SQLColAttribute_Internal
00018687 (__TEXT,__text) external _SQLColAttributes
00018802 (__TEXT,__text) external _SQLColAttributesA
0001897d (__TEXT,__text) external _SQLColAttributesW
00018148 (__TEXT,__text) non-external _SQLColAttributes_Internal
000027bf (__TEXT,__text) external _SQLColumnPrivileges
00002973 (__TEXT,__text) external _SQLColumnPrivilegesA
00002b27 (__TEXT,__text) external _SQLColumnPrivilegesW
000024e8 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00002fb2 (__TEXT,__text) external _SQLColumns
00003166 (__TEXT,__text) external _SQLColumnsA
0000331a (__TEXT,__text) external _SQLColumnsW
00002cdb (__TEXT,__text) non-external _SQLColumns_Internal
00006b6b (__TEXT,__text) external _SQLConnect
000075c1 (__TEXT,__text) external _SQLConnectA
000076f2 (__TEXT,__text) external _SQLConnectW
00006c9c (__TEXT,__text) non-external _SQLConnect_Internal
0001d689 (__TEXT,__text) external _SQLCopyDesc
00013381 (__TEXT,__text) external _SQLDataSources
0001347b (__TEXT,__text) external _SQLDataSourcesA
00013575 (__TEXT,__text) external _SQLDataSourcesW
00012ee4 (__TEXT,__text) non-external _SQLDataSources_Internal
000353e0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000353f4 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000353f8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00017cb3 (__TEXT,__text) external _SQLDescribeCol
00017e3a (__TEXT,__text) external _SQLDescribeColA
00017fc1 (__TEXT,__text) external _SQLDescribeColW
00017a41 (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000be39 (__TEXT,__text) external _SQLDescribeParam
0000a39c (__TEXT,__text) external _SQLDisconnect
00009663 (__TEXT,__text) external _SQLDriverConnect
0000978f (__TEXT,__text) external _SQLDriverConnectA
000098bb (__TEXT,__text) external _SQLDriverConnectW
00007823 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00013c04 (__TEXT,__text) external _SQLDrivers
00013cfe (__TEXT,__text) external _SQLDriversA
00013df8 (__TEXT,__text) external _SQLDriversW
00013788 (__TEXT,__text) non-external _SQLDrivers_Internal
000353e4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000353fc (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00035400 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0001e409 (__TEXT,__text) external _SQLEndTran
0000f3f3 (__TEXT,__text) external _SQLError
0000f4bd (__TEXT,__text) external _SQLErrorA
0000f587 (__TEXT,__text) external _SQLErrorW
0000b308 (__TEXT,__text) external _SQLExecDirect
0000b444 (__TEXT,__text) external _SQLExecDirectA
0000b580 (__TEXT,__text) external _SQLExecDirectW
0000b0a8 (__TEXT,__text) non-external _SQLExecDirect_Internal
0000ade7 (__TEXT,__text) external _SQLExecute
0000c53f (__TEXT,__text) external _SQLExtendedFetch
0000c29b (__TEXT,__text) external _SQLFetch
0001e6fe (__TEXT,__text) external _SQLFetchScroll
0000c0e8 (__TEXT,__text) non-external _SQLFetch_Internal
00003860 (__TEXT,__text) external _SQLForeignKeys
00003a35 (__TEXT,__text) external _SQLForeignKeysA
00003c0a (__TEXT,__text) external _SQLForeignKeysW
000034ce (__TEXT,__text) non-external _SQLForeignKeys_Internal
0000d254 (__TEXT,__text) external _SQLFreeConnect
0000d1d1 (__TEXT,__text) non-external _SQLFreeConnect_Internal
0000eb8f (__TEXT,__text) external _SQLFreeEnv
0000eb1f (__TEXT,__text) non-external _SQLFreeEnv_Internal
00018f93 (__TEXT,__text) external _SQLFreeHandle
00011d2c (__TEXT,__text) external _SQLFreeStmt
00011ac4 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00027932 (__TEXT,__text) non-external _SQLGetConfigMode
0001ba9d (__TEXT,__text) external _SQLGetConnectAttr
0001bf2c (__TEXT,__text) external _SQLGetConnectAttrA
0001c059 (__TEXT,__text) external _SQLGetConnectAttrW
0001bbca (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000e1c6 (__TEXT,__text) external _SQLGetConnectOption
0000e2f6 (__TEXT,__text) external _SQLGetConnectOptionA
0000e426 (__TEXT,__text) external _SQLGetConnectOptionW
00017187 (__TEXT,__text) external _SQLGetCursorName
000172d2 (__TEXT,__text) external _SQLGetCursorNameA
0001741d (__TEXT,__text) external _SQLGetCursorNameW
00016f88 (__TEXT,__text) non-external _SQLGetCursorName_Internal
0000c6b7 (__TEXT,__text) external _SQLGetData
0001c41a (__TEXT,__text) external _SQLGetDescField
0001c572 (__TEXT,__text) external _SQLGetDescFieldA
0001c6ca (__TEXT,__text) external _SQLGetDescFieldW
0001c186 (__TEXT,__text) non-external _SQLGetDescField_Internal
0001cfad (__TEXT,__text) external _SQLGetDescRec
0001d138 (__TEXT,__text) external _SQLGetDescRecA
0001d2c3 (__TEXT,__text) external _SQLGetDescRecW
0001cdd9 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00010fc4 (__TEXT,__text) external _SQLGetDiagField
00011096 (__TEXT,__text) external _SQLGetDiagFieldA
00011168 (__TEXT,__text) external _SQLGetDiagFieldW
0000ffbf (__TEXT,__text) non-external _SQLGetDiagField_Internal
0000fd34 (__TEXT,__text) external _SQLGetDiagRec
0000fe0d (__TEXT,__text) external _SQLGetDiagRecA
0000fee6 (__TEXT,__text) external _SQLGetDiagRecW
0000f651 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
0001969b (__TEXT,__text) external _SQLGetEnvAttr
000197e2 (__TEXT,__text) non-external _SQLGetEnvAttr_Internal
00014bbf (__TEXT,__text) external _SQLGetFunctions
00014814 (__TEXT,__text) external _SQLGetInfo
0001494d (__TEXT,__text) external _SQLGetInfoA
00014a86 (__TEXT,__text) external _SQLGetInfoW
0001400b (__TEXT,__text) non-external _SQLGetInfo_Internal
00028061 (__TEXT,__text) non-external _SQLGetKeywordValue
000280a9 (__TEXT,__text) non-external _SQLGetKeywordValueW
00027b11 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00027d54 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
0001a008 (__TEXT,__text) external _SQLGetStmtAttr
0001a153 (__TEXT,__text) external _SQLGetStmtAttrA
0001a29e (__TEXT,__text) external _SQLGetStmtAttrW
0001987b (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000125f7 (__TEXT,__text) external _SQLGetStmtOption
00012757 (__TEXT,__text) external _SQLGetStmtOptionA
000123fd (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000009ff (__TEXT,__text) external _SQLGetTypeInfo
00000b33 (__TEXT,__text) external _SQLGetTypeInfoA
00000c67 (__TEXT,__text) external _SQLGetTypeInfoW
00000858 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
0000caa8 (__TEXT,__text) external _SQLMoreResults
0000a777 (__TEXT,__text) external _SQLNativeSql
0000a8b6 (__TEXT,__text) external _SQLNativeSqlA
0000a9f5 (__TEXT,__text) external _SQLNativeSqlW
0000a506 (__TEXT,__text) non-external _SQLNativeSql_Internal
0000bc07 (__TEXT,__text) external _SQLNumParams
00017858 (__TEXT,__text) external _SQLNumResultCols
0000b954 (__TEXT,__text) external _SQLParamData
000162c0 (__TEXT,__text) external _SQLParamOptions
000154bc (__TEXT,__text) external _SQLPrepare
000155f8 (__TEXT,__text) external _SQLPrepareA
00015734 (__TEXT,__text) external _SQLPrepareW
000152c8 (__TEXT,__text) non-external _SQLPrepare_Internal
0000402f (__TEXT,__text) external _SQLPrimaryKeys
000041aa (__TEXT,__text) external _SQLPrimaryKeysA
00004325 (__TEXT,__text) external _SQLPrimaryKeysW
00003ddf (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00004777 (__TEXT,__text) external _SQLProcedureColumns
0000492b (__TEXT,__text) external _SQLProcedureColumnsA
00004adf (__TEXT,__text) external _SQLProcedureColumnsW
000044a0 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00004ee3 (__TEXT,__text) external _SQLProcedures
0000505e (__TEXT,__text) external _SQLProceduresA
000051d9 (__TEXT,__text) external _SQLProceduresW
00004c93 (__TEXT,__text) non-external _SQLProcedures_Internal
0000b6bc (__TEXT,__text) external _SQLPutData
000280f1 (__TEXT,__text) non-external _SQLReadFileDSN
0002826f (__TEXT,__text) non-external _SQLReadFileDSNW
00017568 (__TEXT,__text) external _SQLRowCount
000284a3 (__TEXT,__text) non-external _SQLSetConfigMode
0001b546 (__TEXT,__text) external _SQLSetConnectAttr
0001b855 (__TEXT,__text) external _SQLSetConnectAttrA
0001b979 (__TEXT,__text) external _SQLSetConnectAttrW
0001b66a (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
0000d9e8 (__TEXT,__text) external _SQLSetConnectOption
0000db18 (__TEXT,__text) external _SQLSetConnectOptionA
0000dc48 (__TEXT,__text) external _SQLSetConnectOptionW
00015a40 (__TEXT,__text) external _SQLSetCursorName
00015b82 (__TEXT,__text) external _SQLSetCursorNameA
00015cc4 (__TEXT,__text) external _SQLSetCursorNameW
00015870 (__TEXT,__text) non-external _SQLSetCursorName_Internal
0001c9da (__TEXT,__text) external _SQLSetDescField
0001cb2f (__TEXT,__text) external _SQLSetDescFieldA
0001cc84 (__TEXT,__text) external _SQLSetDescFieldW
0001c822 (__TEXT,__text) non-external _SQLSetDescField_Internal
0001d44e (__TEXT,__text) external _SQLSetDescRec
000194c0 (__TEXT,__text) external _SQLSetEnvAttr
000195ea (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00028dc0 (__TEXT,__text) non-external _SQLSetKeywordValue
00028dec (__TEXT,__text) non-external _SQLSetKeywordValueW
00016b08 (__TEXT,__text) external _SQLSetParam
0000cedb (__TEXT,__text) external _SQLSetPos
000165c6 (__TEXT,__text) external _SQLSetScrollOptions
0001b180 (__TEXT,__text) external _SQLSetStmtAttr
0001b2c2 (__TEXT,__text) external _SQLSetStmtAttrA
0001b404 (__TEXT,__text) external _SQLSetStmtAttrW
0001a3e9 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00011e94 (__TEXT,__text) external _SQLSetStmtOption
0001229d (__TEXT,__text) external _SQLSetStmtOptionA
00011ff4 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
0000104e (__TEXT,__text) external _SQLSpecialColumns
