00000001abebac00 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001abeac8d8 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001abeace80 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001abeaceb0 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001abeacea0 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001abeacea8 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001abeace88 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001abeace90 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001abeb7824 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001abeb7560 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001abeb7514 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001abeb7444 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001abeb76c4 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001abeb76b0 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001abeae918 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001abeae8b0 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001abeae77c (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001abeae8fc (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001abeb4318 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001abeb42d8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001abeb42e8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001abeb4128 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001abeb3f60 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001abeb3de8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001abeb3dcc (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001abeb4308 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001abeb42f8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001abeb42f0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001abeb4300 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001abeb4310 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001abeb42d0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001abeb42e0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001abeafa5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001abeaf3e0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001abeaee2c (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001abeaef04 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001abeaeddc (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001abeaedd4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001abeaf3a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001abeafa54 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001abeaed88 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001abeaf84c (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001abeaea54 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001abeaf0b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001abeaf680 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001abeaf774 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001abeaf3c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001abeaf4cc (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001abeafa38 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001abeafa1c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001abeafa00 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001abeaf9e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001abeaefdc (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001abeaf5a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001abeaf9cc (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001abeaf9b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001abeaf8dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001abeaf2cc (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001abeaf1c0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001abeb3cdc (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001abeb3870 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001abeb3a94 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001abeb37a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001abeb36d0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001abeb3bb8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001abea59c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001abea597c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001abea5984 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001abea599c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001abea5978 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001abea598c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001abea582c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001abea53a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001abea5624 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001abea54f8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001abea5384 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001abea59a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001abea5610 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001abea59bc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001abea59b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001abea5928 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
00000001abea59ac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
00000001abea5994 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
00000001abea4cb8 (__TEXT,__text) non-external -[SPMalwareSampling .cxx_destruct]
00000001abea49f8 (__TEXT,__text) non-external -[SPMalwareSampling dealloc]
00000001abea48f0 (__TEXT,__text) non-external -[SPMalwareSampling init]
00000001abea4a44 (__TEXT,__text) non-external -[SPMalwareSampling lookupSampling:]
00000001abea4b40 (__TEXT,__text) non-external -[SPMalwareSampling stageSampleAt:forTasking:]
00000001abea8390 (__TEXT,__text) non-external -[SPMetrics .cxx_destruct]
00000001abea8244 (__TEXT,__text) non-external -[SPMetrics dealloc]
00000001abea8190 (__TEXT,__text) non-external -[SPMetrics init]
00000001abea8290 (__TEXT,__text) non-external -[SPMetrics reportEvent:andData:]
00000001abeb9a50 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
00000001abeb9a48 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
00000001abeb9a40 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
00000001abeb9710 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
00000001abeb97a4 (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
00000001abeb9a38 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
00000001abeb9690 (__TEXT,__text) non-external -[SPProvenanceMetadata .cxx_destruct]
00000001abeb9640 (__TEXT,__text) non-external -[SPProvenanceMetadata bundleID]
00000001abeb967c (__TEXT,__text) non-external -[SPProvenanceMetadata cdhash]
00000001abeb95b4 (__TEXT,__text) non-external -[SPProvenanceMetadata description]
00000001abeb9498 (__TEXT,__text) non-external -[SPProvenanceMetadata encodeWithCoder:]
00000001abeb92b4 (__TEXT,__text) non-external -[SPProvenanceMetadata initWithCoder:]
00000001abeb956c (__TEXT,__text) non-external -[SPProvenanceMetadata redactedDescription]
00000001abeb9618 (__TEXT,__text) non-external -[SPProvenanceMetadata rootID]
00000001abeb9648 (__TEXT,__text) non-external -[SPProvenanceMetadata setBundleID:]
00000001abeb9684 (__TEXT,__text) non-external -[SPProvenanceMetadata setCdhash:]
00000001abeb9620 (__TEXT,__text) non-external -[SPProvenanceMetadata setRootID:]
00000001abeb9670 (__TEXT,__text) non-external -[SPProvenanceMetadata setSigningID:]
00000001abeb965c (__TEXT,__text) non-external -[SPProvenanceMetadata setTeamID:]
00000001abeb960c (__TEXT,__text) non-external -[SPProvenanceMetadata setUniqueID:]
00000001abeb9634 (__TEXT,__text) non-external -[SPProvenanceMetadata setUrl:]
00000001abeb9668 (__TEXT,__text) non-external -[SPProvenanceMetadata signingID]
00000001abeb9654 (__TEXT,__text) non-external -[SPProvenanceMetadata teamID]
00000001abeb9604 (__TEXT,__text) non-external -[SPProvenanceMetadata uniqueID]
00000001abeb962c (__TEXT,__text) non-external -[SPProvenanceMetadata url]
00000001abea814c (__TEXT,__text) non-external -[SPProvenanceTracking .cxx_destruct]
00000001abea7d58 (__TEXT,__text) non-external -[SPProvenanceTracking dealloc]
00000001abea8044 (__TEXT,__text) non-external -[SPProvenanceTracking findAssociatedProvenanceEntries:]
00000001abea7f58 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForID:]
00000001abea7da4 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForURL:]
00000001abea8130 (__TEXT,__text) non-external -[SPProvenanceTracking getAllProvenanceEntries]
00000001abea7e90 (__TEXT,__text) non-external -[SPProvenanceTracking getProvenanceIDForURL:]
00000001abea7be4 (__TEXT,__text) non-external -[SPProvenanceTracking init]
00000001abea4fdc (__TEXT,__text) non-external -[SPSamplingTasking .cxx_destruct]
00000001abea4f30 (__TEXT,__text) non-external -[SPSamplingTasking description]
00000001abea4e80 (__TEXT,__text) non-external -[SPSamplingTasking encodeWithCoder:]
00000001abea4fa0 (__TEXT,__text) non-external -[SPSamplingTasking expiration]
00000001abea4d04 (__TEXT,__text) non-external -[SPSamplingTasking initWithCoder:]
00000001abea4f8c (__TEXT,__text) non-external -[SPSamplingTasking name]
00000001abea4fc8 (__TEXT,__text) non-external -[SPSamplingTasking publicKey]
00000001abea4f2c (__TEXT,__text) non-external -[SPSamplingTasking redactedDescription]
00000001abea4fb4 (__TEXT,__text) non-external -[SPSamplingTasking samplingRate]
00000001abea4fa8 (__TEXT,__text) non-external -[SPSamplingTasking setExpiration:]
00000001abea4f94 (__TEXT,__text) non-external -[SPSamplingTasking setName:]
00000001abea4fd0 (__TEXT,__text) non-external -[SPSamplingTasking setPublicKey:]
00000001abea4fbc (__TEXT,__text) non-external -[SPSamplingTasking setSamplingRate:]
00000001abea4f80 (__TEXT,__text) non-external -[SPSamplingTasking setUuid:]
00000001abea4f78 (__TEXT,__text) non-external -[SPSamplingTasking uuid]
00000001abea6d6c (__TEXT,__text) non-external -[SPScriptScanEvaluation .cxx_destruct]
00000001abea6d58 (__TEXT,__text) non-external -[SPScriptScanEvaluation allowed]
00000001abea6d40 (__TEXT,__text) non-external -[SPScriptScanEvaluation encodeWithCoder:]
00000001abea6ca4 (__TEXT,__text) non-external -[SPScriptScanEvaluation initWithCoder:]
00000001abea6d60 (__TEXT,__text) non-external -[SPScriptScanEvaluation setAllowed:]
00000001abea5340 (__TEXT,__text) non-external -[SPScriptScanner .cxx_destruct]
00000001abea5108 (__TEXT,__text) non-external -[SPScriptScanner dealloc]
00000001abea5154 (__TEXT,__text) non-external -[SPScriptScanner getScriptScanEvaluationFor:scriptData:scanResult:]
00000001abea5044 (__TEXT,__text) non-external -[SPScriptScanner init]
00000001abea61a4 (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
00000001abea6188 (__TEXT,__text) non-external -[StagedBundleData access:]
00000001abea619c (__TEXT,__text) non-external -[StagedBundleData bundle]
00000001abea5ca4 (__TEXT,__text) non-external -[StagedBundleData handleReload]
00000001abea5a2c (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
00000001abea6194 (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
00000001abea4398 (__TEXT,__text) non-external -[TrackingAttributes description]
00000001abea4408 (__TEXT,__text) non-external -[TrackingAttributes flags]
00000001abea43f8 (__TEXT,__text) non-external -[TrackingAttributes identifier]
00000001abea4268 (__TEXT,__text) non-external -[TrackingAttributes initWithData:]
00000001abea439c (__TEXT,__text) non-external -[TrackingAttributes redactedDescription]
00000001abea4328 (__TEXT,__text) non-external -[TrackingAttributes serialize]
00000001abea4410 (__TEXT,__text) non-external -[TrackingAttributes setFlags:]
00000001abea4400 (__TEXT,__text) non-external -[TrackingAttributes setIdentifier:]
00000001abec24b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001abec25dc (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001abec26b0 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001abec258c (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001abec252c (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001abec260c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001abec25b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001abec253c (__TEXT,__gcc_except_tab) non-external GCC_except_table48
00000001abec24d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001abec26c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001abec269c (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001abeba9e8 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
00000001abeba7fc (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001eaa6f990 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
00000001abeb4f9c (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001e6d17288 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLCreationDateKey (from CoreFoundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLFileResourceIdentifierKey (from CoreFoundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLIsSystemImmutableKey (from CoreFoundation)
                 (undefined) external _NSURLIsUserImmutableKey (from CoreFoundation)
                 (undefined) external _NSUnderlyingErrorKey (from Foundation)
00000001eca8ea90 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_AKELData
00000001eca8ea68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_AMFI
00000001eca8ea40 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001eca8ea18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001eca8e9f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001eca8e9c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BundleData
00000001eca8ed60 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001eca8e9a0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001eca8e978 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001eca8e950 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001eca8e928 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_ProvenanceEntry
00000001eca8ed38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPBundleProtection
00000001eca8e900 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001eca8e8d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001eca8e8b0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001eca8e888 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyExportedObject
00000001eca8ed10 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001eca8e860 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001eca8ece8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001eca8ecc0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001eca8ee50 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001eca8ee28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001eca8ee00 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001eca8ec98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPLog
00000001eca8ec70 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPMalwareSampling
00000001eca8e838 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPMetrics
00000001eca8ec48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001eca8e810 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001eca8ec20 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPProvenanceMetadata
00000001eca8e7e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPProvenanceTracking
00000001eca8e7c0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_SPSamplingTasking
00000001ed66a120 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPScriptScanEvaluation
00000001ed66a0d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPScriptScanner
00000001eca8e798 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001eca8ebf8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_TrackingAttributes
00000001eaa6f480 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001eaa6f484 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001eaa6f488 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001eaa6f678 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001eaa6f674 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001eaa6f67c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001eaa6f4bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001eaa6f4c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001eaa6f4c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001eaa6f4d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001eaa6f4b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001eaa6f4c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001eaa6f4cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001eaa6f664 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001eaa6f668 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001eaa6f49c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001eaa6f498 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001eaa6f490 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001eaa6f494 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001eaa6f4a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001eaa6f4a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001eaa6f634 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._backingStore
00000001eaa6f608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._backingStoreChecked
00000001eaa6f588 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001eaa6f5bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001eaa6f5a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001eaa6f5ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001eaa6f5c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
