00000002982ff3e0 (__DATA,__bss) non-external _A
000000027e567dcc (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
000000027e567dd4 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
000000027e567e58 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
000000027e567e60 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
000000027e567dc4 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
000000027e567e0c (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
000000027e567e3c (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
000000027e567e44 (__TEXT,__text) external _cmark_syntax_extension_set_private
000000027e567de4 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
000000027e567e1c (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
000000027e5754d4 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000027e560694 (__TEXT,__text) external _cmark_utf8proc_case_fold
000000027e560218 (__TEXT,__text) external _cmark_utf8proc_check
000000027e56055c (__TEXT,__text) external _cmark_utf8proc_encode_char
000000027e581964 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
000000027e564154 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
000000027e5640d8 (__TEXT,__text) external _cmark_utf8proc_is_space
000000027e56042c (__TEXT,__text) external _cmark_utf8proc_iterate
000000027e565c50 (__TEXT,__text) external _cmark_version
000000027e565c5c (__TEXT,__text) external _cmark_version_string
000000027e567290 (__TEXT,__text) non-external _commonmark_render
000000027e56a004 (__TEXT,__text) non-external _commonmark_render
000000027e57fd34 (__TEXT,__text) non-external _commonmark_render
000000027e58213c (__TEXT,__text) non-external _commonmark_render.cold.1
000000027e57fd1c (__TEXT,__text) non-external _contains_inlines
000000027e575538 (__TEXT,__text) non-external _core_extensions_registration
000000027e567e70 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
000000027e569e80 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000027e57f154 (__TEXT,__text) non-external (was a private external) _create_table_extension
000000027e581814 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
000000027e567028 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00000002982ff2d8 (__DATA,__bss) non-external _enable_safety_checks
000000027e582b10 (__TEXT,__const) non-external _encode_unknown.repl
000000027e580cbc (__TEXT,__text) non-external _escape
000000027e581858 (__TEXT,__text) non-external _filter
000000027e578274 (__TEXT,__text) non-external _finalize
000000027e581e58 (__TEXT,__text) non-external _finalize.cold.1
000000027e581e84 (__TEXT,__text) non-external _finalize.cold.2
000000027e575478 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000027e578ca4 (__TEXT,__text) non-external _free_node_as
000000027e5813a4 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000027e56b53c (__TEXT,__text) non-external _get_link_type
000000027e56719c (__TEXT,__text) non-external _get_type_string
000000027e569fbc (__TEXT,__text) non-external _get_type_string
000000027e57fc0c (__TEXT,__text) non-external _get_type_string
000000027e57e5e8 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
000000027e581fec (__TEXT,__text) non-external _houdini_escape_href.cold.1
000000027e585695 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
000000027e581ab8 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
000000027e5819bc (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000027e57e634 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000027e57e8d4 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000027e57e9e4 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
000000027e56734c (__TEXT,__text) non-external _html_render
000000027e56a104 (__TEXT,__text) non-external _html_render
000000027e58056c (__TEXT,__text) non-external _html_render
000000027e5821c0 (__TEXT,__text) non-external _html_render.cold.1
000000027e5814f0 (__TEXT,__text) non-external _html_table_add_align
000000027e56a26c (__TEXT,__text) non-external _insert
000000027e568bd8 (__TEXT,__text) non-external _is_valid_hostchar
000000027e56a028 (__TEXT,__text) non-external _latex_render
000000027e57fff4 (__TEXT,__text) non-external _latex_render
000000027e582168 (__TEXT,__text) non-external _latex_render.cold.1
000000027e57d194 (__TEXT,__text) non-external _link_label
000000027e581edc (__TEXT,__text) non-external _link_label.cold.1
000000027e581f94 (__TEXT,__text) non-external _link_label.cold.2
000000027e581f94 (__TEXT,__text) non-external _link_label.cold.3
000000027e581f94 (__TEXT,__text) non-external _link_label.cold.4
000000027e581f94 (__TEXT,__text) non-external _link_label.cold.5
000000027e57de00 (__TEXT,__text) non-external _make_autolink
000000027e581f68 (__TEXT,__text) non-external _make_autolink.cold.1
000000027e57dcf4 (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
000000027e56a05c (__TEXT,__text) non-external _man_render
000000027e580344 (__TEXT,__text) non-external _man_render
000000027e582194 (__TEXT,__text) non-external _man_render.cold.1
000000027e57d480 (__TEXT,__text) non-external _manual_scan_link_url
000000027e567efc (__TEXT,__text) non-external _match
000000027e56a148 (__TEXT,__text) non-external _match
000000027e56710c (__TEXT,__text) non-external _matches
000000027e57f308 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000027e5755ac (__TEXT,__text) non-external (was a private external) _normalize_map_label
000000027e581c98 (__TEXT,__text) non-external _normalize_map_label.cold.1
000000027e580bac (__TEXT,__text) non-external _opaque_alloc
000000027e580c28 (__TEXT,__text) non-external _opaque_free
000000027e5671a8 (__TEXT,__text) non-external _open_tasklist_item
000000027e564a28 (__TEXT,__text) non-external _outc
000000027e56a8ac (__TEXT,__text) non-external _outc
000000027e57eac4 (__TEXT,__text) non-external _outc
000000027e56a124 (__TEXT,__text) non-external _plaintext_render
000000027e56831c (__TEXT,__text) non-external _postprocess
000000027e581bbc (__TEXT,__text) non-external _postprocess.cold.1
000000027e581be8 (__TEXT,__text) non-external _postprocess.cold.2
000000027e57c820 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _qsort (from libSystem)
000000027e575860 (__TEXT,__text) non-external _refcmp
000000027e5761b0 (__TEXT,__text) non-external _reference_free
000000027e5757a0 (__TEXT,__text) non-external _refsearch
00000002999965a0 (__DATA_DIRTY,__bss) non-external _registered
000000027e57cdf0 (__TEXT,__text) non-external _remove_delimiter
000000027e581fc0 (__TEXT,__text) non-external _remove_delimiter.cold.1
000000027e578608 (__TEXT,__text) non-external _resolve_reference_link_definitions
000000027e580f30 (__TEXT,__text) non-external _row_from_string
0000000292180700 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
000000027e5788a8 (__TEXT,__text) non-external _sort_footnote_by_ix
000000027e57d374 (__TEXT,__text) non-external _spnl
000000027e581f94 (__TEXT,__text) non-external _spnl.cold.1
000000027e581f94 (__TEXT,__text) non-external _spnl.cold.2
000000027e581f94 (__TEXT,__text) non-external _spnl.cold.3
000000027e581f94 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
0000000299996598 (__DATA_DIRTY,__bss) non-external _syntax_extensions
000000027e581428 (__TEXT,__text) non-external _try_inserting_table_header_paragraph
000000027e57f3c0 (__TEXT,__text) non-external _try_opening_table_block
000000027e5812d0 (__TEXT,__text) non-external _unescape_pipes
000000027e582a10 (__TEXT,__const) non-external _utf8proc_utf8class
000000027e568c28 (__TEXT,__text) non-external _validate_protocol
000000027e565c68 (__TEXT,__text) non-external _xcalloc
000000027e581ad8 (__TEXT,__text) non-external _xcalloc.cold.1
000000027e565cb8 (__TEXT,__text) non-external _xfree
000000027e5674d4 (__TEXT,__text) non-external _xml_attr
000000027e580244 (__TEXT,__text) non-external _xml_attr
000000027e565c90 (__TEXT,__text) non-external _xrealloc
000000027e581b08 (__TEXT,__text) non-external _xrealloc.cold.1
