00007ff808e3d220 (__TEXT,__const) non-external _A1_Table
00007ff841e43970 (__DATA,__bss) non-external _GPUGetSession.vImage_GPUSession
00007ff808675770 (__TEXT,__text) non-external _Gamma8to16Q12Pass_Print
00007ff80835cc40 (__TEXT,__text) non-external _Gamma8to16Q12Pass_dtor
00007ff808392040 (__TEXT,__text) non-external _GammaPolynomialData_dtor
00007ff8084c5310 (__TEXT,__text) non-external _GaussianBoxDiff8_GCDWork
00007ff8083b8cd0 (__TEXT,__text) non-external _GenBoxConvolve16F
00007ff8084dce50 (__TEXT,__text) non-external _GenConvolve16F
00007ff808462720 (__TEXT,__text) non-external _GenConvolveFloatKernel_ARGB8888
00007ff808460ae0 (__TEXT,__text) non-external (was a private external) _GetEdgeCases
00007ff80833e1d0 (__TEXT,__text) non-external (was a private external) _GetLogicalCPUs
00007ff8086645c0 (__TEXT,__text) non-external _GetMap8888
00007ff808e401e0 (__TEXT,__const) non-external _GetMap8888.kRemapTable
00007ff84071d210 (__DATA_CONST,__const) non-external (was a private external) _GetMinimumBufferSize
00007ff80845d750 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_ARGB8888
00007ff80845de80 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_ARGB8888_MultiKernel
00007ff80845db30 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_ARGBFFFF
00007ff80845df40 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_ARGBFFFF_MultiKernel
00007ff80845dfd0 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_Integer_Box
00007ff80845e0a0 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_Integer_Tent
00007ff80845d030 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_Planar8
00007ff80845d400 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_PlanarF
00007ff80845e1b0 (__TEXT,__text) non-external (was a private external) _GetMinimumBufferSize_PlanarF_Box
00007ff808340110 (__TEXT,__text) non-external (was a private external) _GetPhysicalCPUs
00007ff808671cb0 (__TEXT,__text) non-external _GetPixelForBackgroundColor
00007ff8083f1d80 (__TEXT,__text) non-external _HLGSceneRefMap_GCDWork
00007ff8086758d0 (__TEXT,__text) non-external _HLGSceneReferredMappingData_dtor
00007ff808e40190 (__TEXT,__const) non-external _HasAlpha.HasAlphaTable
00007ff808e401d8 (__TEXT,__const) non-external _HasAlphaChannel.HasAlphaChannelTable
00007ff808e4da1a (__TEXT,__const) non-external _HasAlphaChannel.HasAlphaChannelTable
00007ff808664910 (__TEXT,__text) non-external _I2DPass_Print
00007ff8086646a0 (__TEXT,__text) non-external _I2DPass_dtor
00007ff8083b1d90 (__TEXT,__text) non-external _ImagePaletteCreate
00007ff808685490 (__TEXT,__text) non-external (was a private external) _ImageTilingInfo_Print
00007ff80835bf00 (__TEXT,__text) non-external (was a private external) _ImageTilingInfo_Release
00007ff80855ef90 (__TEXT,__text) non-external _InitAccGPUSession
00007ff808daf210 (__TEXT,__text) non-external _InitAccGPUSession.cold.1
00007ff808337e00 (__TEXT,__text) non-external (was a private external) _InitCGInterfaces
00007ff808daf650 (__TEXT,__text) non-external _InitCGInterfaces.cold.1
00007ff80833cc50 (__TEXT,__text) non-external (was a private external) _InitPass
00007ff80853f940 (__TEXT,__text) non-external (was a private external) _InitReverseTableFromGamma
00007ff80853f890 (__TEXT,__text) non-external (was a private external) _InitTableFromGamma
00007ff80853fab0 (__TEXT,__text) non-external (was a private external) _InitTableFromPolynomial
00007ff8083c8900 (__TEXT,__text) external _Init_vImage
00007ff8085404c0 (__TEXT,__text) non-external (was a private external) _InterpolatedLookup_BuildTable16Q12
00007ff808db40a0 (__TEXT,__const) non-external (was a private external) _InvAlpha
00007ff808659c50 (__TEXT,__text) non-external _Invert_16U
00007ff808659b80 (__TEXT,__text) non-external _Invert_8
00007ff808659cc0 (__TEXT,__text) non-external _Invert_F
00007ff8086708f0 (__TEXT,__text) non-external _IsCGBitmapAlphaInfoValidForPackedFormat
00007ff8086757e0 (__TEXT,__text) non-external _LUT1DTableData_dtor
00007ff80835ce60 (__TEXT,__text) non-external _LUTNDTableData_dtor
00007ff80866ce30 (__TEXT,__text) non-external _LUTPass_LookupTable_8to64U
00007ff80866cdb0 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar128
00007ff80866cc30 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar16
00007ff8083a9ee0 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar24
00007ff80866ccb0 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar48
00007ff80866cd30 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanar96
00007ff808371780 (__TEXT,__text) non-external _LUTPass_LookupTable_Planar8toPlanarF
00007ff80866cbb0 (__TEXT,__text) non-external _LUTPass_TableLookup_Planar8
00007ff808371ef0 (__TEXT,__text) non-external _LUTPass_dtor
00007ff8083743a0 (__TEXT,__text) non-external (was a private external) _Lanczos3
00007ff8083881c0 (__TEXT,__text) non-external (was a private external) _Lanczos5
00007ff80865c3f0 (__TEXT,__text) non-external _LinearTransform_16Q12to8
00007ff808659f00 (__TEXT,__text) non-external _LinearTransform_16U
00007ff80865c540 (__TEXT,__text) non-external _LinearTransform_16Uto8
00007ff80865a1c0 (__TEXT,__text) non-external _LinearTransform_16UtoF
00007ff808659d30 (__TEXT,__text) non-external _LinearTransform_8
00007ff80865a0e0 (__TEXT,__text) non-external _LinearTransform_8to16Q12
00007ff80865c460 (__TEXT,__text) non-external _LinearTransform_8to16U
00007ff80865a150 (__TEXT,__text) non-external _LinearTransform_8toF
00007ff80865a070 (__TEXT,__text) non-external _LinearTransform_F
00007ff80865c5b0 (__TEXT,__text) non-external _LinearTransform_Fto16U
00007ff80865c4d0 (__TEXT,__text) non-external _LinearTransform_Fto8
00007ff808337dc0 (__TEXT,__text) non-external (was a private external) _LoadCGInterfaces
00007ff841e42bd0 (__DATA,__data) non-external _LoadCGInterfaces.handle
00007ff841e42bc8 (__DATA,__data) non-external _LoadCGInterfaces.pred
00007ff808385c70 (__TEXT,__text) non-external _LoadY00
00007ff8083b98a0 (__TEXT,__text) non-external _LoadYCC
00007ff80834db70 (__TEXT,__text) non-external _LookupTable_Planar8toPlanar16
00007ff8086758c0 (__TEXT,__text) non-external _LuminanceScalingData_dtor
00007ff8083f1580 (__TEXT,__text) non-external _LuminanceScaling_GCDWork
00007ff80835c8a0 (__TEXT,__text) non-external _MatrixData_dtor
00007ff808524380 (__TEXT,__text) non-external (was a private external) _MatrixMultiply_PlanarF_disp
00007ff808575560 (__TEXT,__text) non-external (was a private external) _MultithreadFunction
00007ff808575770 (__TEXT,__text) non-external (was a private external) _MultithreadTwoBufferFunction
00007ff80837ad70 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_ARGB8888
00007ff808660450 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_ARGBFFFF
00007ff8086603d0 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_Chunky16U
00007ff8086602b0 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_Chunky8
00007ff808660470 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_ChunkyF
00007ff808660410 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_Planar16U
00007ff808660290 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_Planar8
00007ff808660430 (__TEXT,__text) non-external (was a private external) _OverwriteChannelsWithScalar_PlanarF
00007ff8083f2580 (__TEXT,__text) non-external _PQEETFToneMap_GCDWork
00007ff8086758e0 (__TEXT,__text) non-external _PQToneMappingData_dtor
00007ff80835cc70 (__TEXT,__text) non-external _ParameterTableData_dtor
00007ff808660750 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_ARGB16U
00007ff808660650 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_ARGB8888
00007ff808660890 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_ARGBFFFF
00007ff8086607e0 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_Chunky16U
00007ff8086606c0 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_Chunky8
00007ff808660920 (__TEXT,__text) non-external (was a private external) _PermuteChannelsSetAlphaTo1_ChunkyF
00007ff808676bf0 (__TEXT,__text) non-external _PermuteChannelsWithMaskedInsert_ARGB16U
00007ff808379970 (__TEXT,__text) non-external _PermuteChannelsWithMaskedInsert_ARGB8888
00007ff808676cd0 (__TEXT,__text) non-external _PermuteChannelsWithMaskedInsert_ARGBFFFF
00007ff80837cb00 (__TEXT,__text) non-external (was a private external) _PermuteChannels_ARGB16U
00007ff80835be00 (__TEXT,__text) non-external (was a private external) _PermuteChannels_ARGB8888
00007ff808660870 (__TEXT,__text) non-external (was a private external) _PermuteChannels_ARGBFFFF
00007ff8086607c0 (__TEXT,__text) non-external (was a private external) _PermuteChannels_Chunky16U
00007ff8086606a0 (__TEXT,__text) non-external (was a private external) _PermuteChannels_Chunky8
00007ff808660900 (__TEXT,__text) non-external (was a private external) _PermuteChannels_ChunkyF
00007ff808676c10 (__TEXT,__text) non-external _PermuteInsertPass_Print16
00007ff808676b30 (__TEXT,__text) non-external _PermuteInsertPass_Print8
00007ff808676cf0 (__TEXT,__text) non-external _PermuteInsertPass_PrintF
00007ff8086609b0 (__TEXT,__text) non-external (was a private external) _PermutePass_Print
00007ff8084d7640 (__TEXT,__text) non-external _PerspectiveWarp_ARGB16F_GCDWork
00007ff8084d6b00 (__TEXT,__text) non-external _PerspectiveWarp_ARGB16U_GCDWork
00007ff8084d5fb0 (__TEXT,__text) non-external _PerspectiveWarp_ARGB8888_GCDWork
00007ff8084d70c0 (__TEXT,__text) non-external _PerspectiveWarp_Planar16F_GCDWork
00007ff8084d6580 (__TEXT,__text) non-external _PerspectiveWarp_Planar16U_GCDWork
00007ff8084d5a30 (__TEXT,__text) non-external _PerspectiveWarp_Planar8_GCDWork
00007ff80853d230 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_BuildTable8
00007ff80834a520 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_BuildTable8to16
00007ff80853d560 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_BuildTable8toF
00007ff80853d940 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_ComputeInterpolatedTableF
00007ff80834adf0 (__TEXT,__text) non-external (was a private external) _PiecewiseGamma_ComputeTable16Q12
00007ff808460b60 (__TEXT,__text) non-external (was a private external) _PixelCopy
00007ff808e3bc40 (__TEXT,__const) non-external (was a private external) _PixelSize
00007ff808e390a0 (__TEXT,__const) non-external (was a private external) _Planar16FtoPlanar8_LUT
00007ff8083619f0 (__TEXT,__text) non-external (was a private external) _Planar16Q12to8
00007ff808346720 (__TEXT,__text) non-external (was a private external) _Planar16Q12toARGB8888
00007ff80865d690 (__TEXT,__text) non-external (was a private external) _Planar16Q12toF
00007ff808368b70 (__TEXT,__text) non-external (was a private external) _Planar16Q12toRGB888
00007ff80865d790 (__TEXT,__text) non-external (was a private external) _Planar16ToChunky
00007ff80865d710 (__TEXT,__text) non-external (was a private external) _Planar16UTo16U
00007ff808380f20 (__TEXT,__text) non-external (was a private external) _Planar16UtoARGB16U
00007ff808e16a80 (__TEXT,__const) non-external (was a private external) _Planar16UtoPlanar16F
00007ff808382340 (__TEXT,__text) non-external (was a private external) _Planar16UtoRGB16U
00007ff8083620a0 (__TEXT,__text) non-external (was a private external) _Planar8ToChunky
00007ff808343e80 (__TEXT,__text) non-external _Planar8to16Q12
00007ff8086751d0 (__TEXT,__text) non-external _Planar8toF
00007ff808e386a0 (__TEXT,__const) non-external (was a private external) _Planar8toPlanar16F_LUT
00007ff80865d990 (__TEXT,__text) non-external (was a private external) _PlanarFTo16Q12
00007ff80865d4e0 (__TEXT,__text) non-external (was a private external) _PlanarFTo16U
00007ff80838f230 (__TEXT,__text) non-external (was a private external) _PlanarFTo8
00007ff80865d480 (__TEXT,__text) non-external (was a private external) _PlanarFToARGB8888
00007ff808e3fe60 (__TEXT,__const) non-external _PlanarFToARGB8888.minFloat
00007ff80865d570 (__TEXT,__text) non-external (was a private external) _PlanarFToF
00007ff80865d640 (__TEXT,__text) non-external (was a private external) _PlanarFToRGBXFFFF
00007ff80865d5f0 (__TEXT,__text) non-external (was a private external) _PlanarFToXRGBFFFF
00007ff80865d290 (__TEXT,__text) non-external (was a private external) _PlanarFtoARGBFFFF
00007ff80865d2e0 (__TEXT,__text) non-external (was a private external) _PlanarFtoChunky
00007ff808e388a0 (__TEXT,__const) non-external (was a private external) _PlanarFtoPlanar16F_LUT
00007ff808342be0 (__TEXT,__text) non-external (was a private external) _PlanarFtoRGBFFF
00007ff808660a80 (__TEXT,__text) non-external (was a private external) _PrecisionPass_Print
00007ff8086601e0 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ARGB16Q12
00007ff808660190 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ARGB16U
00007ff808348b00 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ARGB8888
00007ff808660240 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ARGBFFFF
00007ff8086601c0 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky16AlphaFirst
00007ff8086601a0 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky16AlphaLast
00007ff808660210 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky16Q12AlphaFirst
00007ff8086601f0 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky16Q12AlphaLast
00007ff808660160 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky8AlphaFirst
00007ff8083623a0 (__TEXT,__text) non-external (was a private external) _PremultiplyData_Chunky8AlphaLast
00007ff808660270 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ChunkyFAlphaFirst
00007ff808660250 (__TEXT,__text) non-external (was a private external) _PremultiplyData_ChunkyFAlphaLast
00007ff8083814d0 (__TEXT,__text) non-external (was a private external) _PremultiplyData_RGBA16Q12
00007ff808660180 (__TEXT,__text) non-external (was a private external) _PremultiplyData_RGBA16U
00007ff808347a10 (__TEXT,__text) non-external (was a private external) _PremultiplyData_RGBA8888
00007ff808660230 (__TEXT,__text) non-external (was a private external) _PremultiplyData_RGBAFFFF
00007ff8086580b0 (__TEXT,__text) non-external _PrintBufferOrderNames
00007ff840721270 (__DATA_CONST,__const) non-external _PrintBufferOrderNames.kBufferOrderNames_Base
00007ff808675290 (__TEXT,__text) non-external _RGB16UtoPlanar16U
00007ff808675190 (__TEXT,__text) non-external _RGB888toPlanar16Q12
00007ff8083684d0 (__TEXT,__text) non-external _RGB888toPlanar8
00007ff80833f560 (__TEXT,__text) non-external _RGBFFFtoPlanarF
00007ff8084c3cf0 (__TEXT,__text) non-external (was a private external) _ReadTileRow_ARGB8888
00007ff8084c45c0 (__TEXT,__text) non-external (was a private external) _ReadTileRow_ARGB8888_MNI
00007ff80833af80 (__TEXT,__text) non-external (was a private external) _ReduceToCoreFormats
00007ff8086605d0 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_Chunky16UAlphaFirst
00007ff8086605b0 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_Chunky16UAlphaLast
00007ff808660570 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_Chunky8AlphaFirst
00007ff808660550 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_Chunky8AlphaLast
00007ff808660630 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_ChunkyFAlphaFirst
00007ff808660610 (__TEXT,__text) non-external (was a private external) _RemoveAlpha_ChunkyFAlphaLast
00007ff80833c410 (__TEXT,__text) non-external _ResolveDecodeArrays
00007ff80866f740 (__TEXT,__text) non-external _ResolveDecodeArrays_version1
00007ff808349aa0 (__TEXT,__text) non-external _RowDecodeY00
00007ff8083c7c30 (__TEXT,__text) non-external _RowDecodeYCC
00007ff8083c7750 (__TEXT,__text) non-external _RowEncodeY00
00007ff8083c7930 (__TEXT,__text) non-external _RowEncodeYCC
00007ff8083b46e0 (__TEXT,__text) non-external _SepConvolve16F_GCDWork
00007ff8083b5f90 (__TEXT,__text) non-external _SepConvolve16U_GCDWork
00007ff8083b7d70 (__TEXT,__text) non-external _SepConvolve8888_GCDWork
00007ff8083b5310 (__TEXT,__text) non-external _SepConvolve8_GCDWork
00007ff8083b6c10 (__TEXT,__text) non-external _SepConvolve8to16_GCDWork
00007ff8083b3a70 (__TEXT,__text) non-external _SepConvolveF_GCDWork
00007ff8083b39c0 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00007ff808462920 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00007ff8084c4d60 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00007ff8084d5980 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00007ff8084dcfa0 (__TEXT,__text) non-external _SeparableNumWorkItemsForGCD
00007ff808460970 (__TEXT,__text) non-external (was a private external) _SetupBufferInfo
00007ff84071d270 (__DATA_CONST,__const) non-external (was a private external) _SetupROI
00007ff80845ee90 (__TEXT,__text) non-external (was a private external) _SetupROI_ARGB8888
00007ff80845f2b0 (__TEXT,__text) non-external (was a private external) _SetupROI_ARGBFFFF
00007ff80845e270 (__TEXT,__text) non-external (was a private external) _SetupROI_Pixel_8
00007ff80845e580 (__TEXT,__text) non-external (was a private external) _SetupROI_Pixel_F
00007ff808595440 (__TEXT,__text) external _SetvImageThreadCount
00007ff808595420 (__TEXT,__text) external _SetvImageThreadState
00007ff8083c8910 (__TEXT,__text) external _SetvImageVectorAvailable
00007ff80864b6a0 (__TEXT,__text) non-external _Shear_GCDWork
00007ff8084c3ce0 (__TEXT,__text) non-external _SkipProcessing_ARGB8888
00007ff8084c4e10 (__TEXT,__text) non-external _Sobel8to16_GCDWork
00007ff8083b85d0 (__TEXT,__text) non-external _SquareBoxConvolve8888_GCDWork
00007ff8083b8190 (__TEXT,__text) non-external _SquareBoxConvolve8_GCDWork
00007ff8083b93c0 (__TEXT,__text) non-external _StoreY
00007ff8083b95a0 (__TEXT,__text) non-external _StoreYCC
00007ff8083aea60 (__TEXT,__text) non-external _Swap16
00007ff80837c370 (__TEXT,__text) non-external _Swap32
00007ff808e401d4 (__TEXT,__const) non-external _Swap32.swap32Map
00007ff8086757f0 (__TEXT,__text) non-external _TRCsData_dtor
00007ff808664b30 (__TEXT,__text) non-external _TableLookUp_Planar8
00007ff808664e60 (__TEXT,__text) non-external _TableLookUp_Planar8toIndexed8
00007ff80842f5a0 (__TEXT,__text) non-external _TileThreadCount
00007ff8084d13d0 (__TEXT,__text) non-external _TileThreadCount
00007ff80864cff0 (__TEXT,__text) non-external _TileThreadCount
00007ff80865f870 (__TEXT,__text) non-external (was a private external) _TransformPassHLGSceneReferredMapping_dtor
00007ff80865e160 (__TEXT,__text) non-external (was a private external) _TransformPassLUT1D_dtor
00007ff80835ce00 (__TEXT,__text) non-external (was a private external) _TransformPassLUT_dtor
00007ff80865f6f0 (__TEXT,__text) non-external (was a private external) _TransformPassLUTs_dtor
00007ff80865f7b0 (__TEXT,__text) non-external (was a private external) _TransformPassLuminanceScaling_dtor
00007ff80835c840 (__TEXT,__text) non-external (was a private external) _TransformPassMatrix_dtor
00007ff80865f950 (__TEXT,__text) non-external (was a private external) _TransformPassPQToneMapping_dtor
00007ff80835c7e0 (__TEXT,__text) non-external (was a private external) _TransformPassParameter_dtor
00007ff80865f690 (__TEXT,__text) non-external (was a private external) _TransformPassTRCs_dtor
00007ff80865da10 (__TEXT,__text) non-external (was a private external) _TransformPass_PrintMatrix
00007ff80865df70 (__TEXT,__text) non-external (was a private external) _TransformPass_PrintTransform
00007ff80865e130 (__TEXT,__text) non-external (was a private external) _TransformPass_dtor
00007ff8083efd90 (__TEXT,__text) non-external _TransformTRCNumWorkItemsForGCD
00007ff8083efe40 (__TEXT,__text) non-external _TransformTRC_GCDWork
00007ff808498660 (__TEXT,__text) non-external (was a private external) _TruncateKernel_ARGB8888
00007ff8084837b0 (__TEXT,__text) non-external (was a private external) _TruncateKernel_ARGBFFFF
00007ff8084896f0 (__TEXT,__text) non-external (was a private external) _TruncateKernel_Planar8
00007ff80847ead0 (__TEXT,__text) non-external (was a private external) _TruncateKernel_PlanarF
00007ff8086600b0 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ARGB16Q12
00007ff808660050 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ARGB16U
00007ff80835bf40 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ARGB8888
00007ff808660110 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ARGBFFFF
00007ff808660080 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky16AlphaFirst
00007ff808660060 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky16AlphaLast
00007ff8086600e0 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky16Q12AlphaFirst
00007ff8086600c0 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky16Q12AlphaLast
00007ff808660020 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky8AlphaFirst
00007ff808343300 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_Chunky8AlphaLast
00007ff808660140 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ChunkyFAlphaFirst
00007ff808660120 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_ChunkyFAlphaLast
00007ff8086600a0 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_RGBA16Q12
00007ff808660040 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_RGBA16U
00007ff80834ca20 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_RGBA8888
00007ff808660100 (__TEXT,__text) non-external (was a private external) _UnpremultiplyData_RGBAFFFF
00007ff808dafda0 (__TEXT,__const) non-external (was a private external) _Unpremultiply_16Q12_table
00007ff80866f5b0 (__TEXT,__text) non-external _VerifyCGConverterParams
00007ff8439544c0 (__DATA_DIRTY,__bss) non-external _VerifyCGConverterParams.dyld_handle
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ff80833e600 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Not_ReadWriteable_By_vImage__CheckBacktrace
00007ff80833e2e0 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Not_Readable_By_vImage__CheckBacktrace
00007ff80833e550 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Not_Writeable_By_vImage__CheckBacktrace
00007ff80833e620 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_ReadWrite__Too_Small_For_Arguments_To_vImage__CheckBacktrace
00007ff80833e300 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Read__Too_Small_For_Arguments_To_vImage__CheckBacktrace
00007ff80833e570 (__TEXT,__text) non-external (was a private external) __ERROR_Buffer_Write__Too_Small_For_Arguments_To_vImage__CheckBacktrace
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff808800850 (__TEXT,__text) non-external __ZL10vecPQ_EOTFDv8_fffffffff
00007ff808958ef0 (__TEXT,__text) non-external __ZL10vecPQ_EOTFDv8_fffffffff
00007ff808ac9310 (__TEXT,__text) non-external __ZL10vecPQ_EOTFDv8_fffffffff
00007ff808c2a150 (__TEXT,__text) non-external __ZL10vecPQ_EOTFDv8_fffffffff
00007ff808d98450 (__TEXT,__text) non-external __ZL10vecPQ_EOTFDv8_fffffffff
00007ff80880bd30 (__TEXT,__text) non-external __ZL12vecPQToneMapPDv8_fS0_S0_PKfPK9PQ_params
00007ff808961750 (__TEXT,__text) non-external __ZL12vecPQToneMapPDv8_fS0_S0_PKfPK9PQ_params
00007ff808ad47f0 (__TEXT,__text) non-external __ZL12vecPQToneMapPDv8_fS0_S0_PKfPK9PQ_params
00007ff808c33e70 (__TEXT,__text) non-external __ZL12vecPQToneMapPDv8_fS0_S0_PKfPK9PQ_params
00007ff808da1330 (__TEXT,__text) non-external __ZL12vecPQToneMapPDv8_fS0_S0_PKfPK9PQ_params
00007ff808801610 (__TEXT,__text) non-external __ZL13vecPQ_EOTFsymDv8_fffffffff
00007ff808959460 (__TEXT,__text) non-external __ZL13vecPQ_EOTFsymDv8_fffffffff
00007ff808aca0d0 (__TEXT,__text) non-external __ZL13vecPQ_EOTFsymDv8_fffffffff
00007ff808c2a960 (__TEXT,__text) non-external __ZL13vecPQ_EOTFsymDv8_fffffffff
00007ff808d98b50 (__TEXT,__text) non-external __ZL13vecPQ_EOTFsymDv8_fffffffff
00007ff808802d50 (__TEXT,__text) non-external __ZL13vecPQ_OETFsymDv8_fffffffff
00007ff80895b5a0 (__TEXT,__text) non-external __ZL13vecPQ_OETFsymDv8_fffffffff
00007ff808acb810 (__TEXT,__text) non-external __ZL13vecPQ_OETFsymDv8_fffffffff
00007ff808c2d370 (__TEXT,__text) non-external __ZL13vecPQ_OETFsymDv8_fffffffff
00007ff808d9b0d0 (__TEXT,__text) non-external __ZL13vecPQ_OETFsymDv8_fffffffff
00007ff808e62200 (__TEXT,__const) non-external __ZL14deinterleave4UPKDv32_s.c_permd
00007ff8088099d0 (__TEXT,__text) non-external __ZL17vecHLGSceneRefMapPDv8_fS0_S0_ffffff
00007ff808ad2490 (__TEXT,__text) non-external __ZL17vecHLGSceneRefMapPDv8_fS0_S0_ffffff
00007ff8084f0740 (__TEXT,__text) non-external ___ContrastStretch_ARGBFFFF_AVX_block_invoke
00007ff8084f0c00 (__TEXT,__text) non-external ___ContrastStretch_ARGBFFFF_AVX_block_invoke.4
00007ff8084ee3c0 (__TEXT,__text) non-external ___ContrastStretch_PlanarF_AVX_block_invoke
00007ff8084ee7e0 (__TEXT,__text) non-external ___ContrastStretch_PlanarF_AVX_block_invoke.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ff80842fa80 (__TEXT,__text) non-external ____vImageConvert_ARGB16Q12ToXRGB2101010_block_invoke
00007ff80842f8e0 (__TEXT,__text) non-external ____vImageConvert_ARGB16UToXRGB2101010_block_invoke
00007ff80842f740 (__TEXT,__text) non-external ____vImageConvert_ARGB8888ToXRGB2101010_block_invoke
00007ff80842fc30 (__TEXT,__text) non-external ____vImageConvert_ARGBFFFFToXRGB2101010_block_invoke
00007ff80842fd00 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGB16F_block_invoke
00007ff80842f9b0 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGB16Q12_block_invoke
00007ff80842f810 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGB16U_block_invoke
00007ff80842f670 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGB8888_block_invoke
00007ff80842fb60 (__TEXT,__text) non-external ____vImageConvert_XRGB2101010ToARGBFFFF_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ff84071c160 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff84071c1a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff84071cab0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff84071cdc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff84071ce80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff84071d388 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff84071dee0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
