00007ff8027df886 (__TEXT,__text) external _NSAddImage
00007ff8027e9b28 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCacheC2ERN3lsl9AllocatorEONS_10FileRecordERNS2_9SharedPtrINS0_6MapperEEENS0_11SafePointerEb
00007ff802806d1a (__TEXT,__text) non-external __ZN5dyld45Atlas11SharedCacheC2ERN3lsl9AllocatorEONS_10FileRecordERNS2_9SharedPtrINS0_6MapperEEENS0_11SafePointerEb.cold.1
00007ff8027ed5d8 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot10Serializer11deserializeENSt3__14spanISt4byteLm18446744073709551615EEE
00007ff8027ee486 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot10Serializer18readMappedFileInfoERNSt3__14spanISt4byteLm18446744073709551615EEERyRN3lsl4UUIDERNS_10FileRecordE
00007ff8027ee328 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot11sharedCacheEv
00007ff8027ec61c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot12forEachImageEU13block_pointerFvPNS0_5ImageEE
00007ff8027eddd2 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot17forEachImageNotInERKS1_U13block_pointerFvPNS0_5ImageEE
00007ff8027ee332 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot8addImageEONS0_5ImageE
00007ff8027eddbe (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshotC1ERN3lsl9AllocatorERNS_11FileManagerEbNSt3__14spanISt4byteLm18446744073709551615EEE
00007ff8027ed1d6 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshotC2ERN3lsl9AllocatorERNS_11FileManagerEb
00007ff8027ed2dc (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshotC2ERN3lsl9AllocatorERNS_11FileManagerEbNSt3__14spanISt4byteLm18446744073709551615EEE
00007ff802806ebe (__TEXT,__text) non-external __ZN5dyld45Atlas15ProcessSnapshotC2ERN3lsl9AllocatorERNS_11FileManagerEbNSt3__14spanISt4byteLm18446744073709551615EEE.cold.1
00007ff8027e99fc (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas17SharedCacheLocalsC2ERN3lsl9SharedPtrINS0_6MapperEEEb
00007ff8027e9262 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image11pointerSizeEv
00007ff8027e93de (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image14forEachSectionEU13block_pointerFvPKcS3_yyE
00007ff8027e9294 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image14forEachSegmentEU13block_pointerFvPKcyyiE
00007ff8027e97c2 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image17contentForSectionEPKcS3_U13block_pointerFvPKvyyE
00007ff8027e94f6 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image17contentForSegmentEPKcU13block_pointerFvPKvyyE
00007ff8027e8e1c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image4swapERS1_
00007ff8027ee95c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5ImageD2Ev
00007ff8027e84be (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper14mapperForMachOERN3lsl9AllocatorERNS_10FileRecordERKNS2_4UUIDENS0_11SafePointerE
00007ff8027e7580 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper20mapperForSharedCacheERN3lsl9AllocatorERNS_10FileRecordENS0_11SafePointerE
00007ff8027e8348 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper26mapperForSharedCacheLocalsERN3lsl9AllocatorERNS_10FileRecordE
00007ff8027e8cd6 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper3pinEv
00007ff802806cd4 (__TEXT,__text) non-external __ZN5dyld45Atlas6Mapper3pinEv.cold.1
00007ff8027e8dcc (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper5unpinEv
00007ff802806cf7 (__TEXT,__text) non-external __ZN5dyld45Atlas6Mapper5unpinEv.cold.1
00007ff8027f0c28 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper7PointerI17dyld_cache_headerED2Ev
00007ff8027f0c5c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper7PointerIN5dyld311MachOLoadedEE4swapERS5_
00007ff8027f0c28 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper7PointerIN5dyld311MachOLoadedEED2Ev
00007ff8027e8bda (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6MapperD1Ev
00007ff8027e8ab2 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6MapperD2Ev
00007ff802806c8e (__TEXT,__text) non-external __ZN5dyld45Atlas6MapperD2Ev.cold.1
00007ff8027eafea (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process11getSnapshotEPi
00007ff8027ebdce (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process18setupNotificationsEPi
00007ff802806dec (__TEXT,__text) non-external __ZN5dyld45Atlas7Process18setupNotificationsEPi.cold.1
00007ff802806e0f (__TEXT,__text) non-external __ZN5dyld45Atlas7Process18setupNotificationsEPi.cold.2
00007ff802806e32 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process18setupNotificationsEPi.cold.3
00007ff8027eb71e (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process18synthesizeSnapshotEPi
00007ff8027ebf76 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process19handleNotificationsEv
00007ff8027eca3e (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process20registerEventHandlerEPijP16dispatch_queue_sU13block_pointerFvvE
00007ff8027eb306 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process21teardownNotificationsEv
00007ff802806d60 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process21teardownNotificationsEv.cold.1
00007ff802806d83 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process21teardownNotificationsEv.cold.2
00007ff802806da6 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process21teardownNotificationsEv.cold.3
00007ff802806dc9 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process21teardownNotificationsEv.cold.4
00007ff8027eccdc (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process22unregisterEventHandlerEj
00007ff8027ec444 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process32registerAtlasChangedEventHandlerEPiP16dispatch_queue_sU13block_pointerFvPNS0_5ImageEbE
00007ff8027eb238 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7ProcessC1ERN3lsl9AllocatorERNS_11FileManagerEjPi
00007ff8027eaf20 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7ProcessC2ERN3lsl9AllocatorERNS_11FileManagerEjPi
00007ff8027eb708 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7ProcessD1Ev
00007ff8027eb242 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7ProcessD2Ev
00007ff8027e68bf (__TEXT,__text) non-external (was a private external) __ZN5dyld45Utils16concatenatePathsEPcPKcm
00007ff8027e6860 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Utils7strrstrEPKcS2_
00007ff8433cc000 (__TPRO_CONST,__dyld_apis) non-external (was a private external) __ZN5dyld45gAPIsE
00007ff8027e0c35 (__TEXT,__text) non-external __ZN5dyld4L28legacyDyldLookup4OldBinariesEPKcPPv
00007ff802801284 (__TEXT,__text) non-external (was a private external) __ZN6mach_o11BindOpcodesC1EPKhmb
00007ff802801284 (__TEXT,__text) non-external (was a private external) __ZN6mach_o11BindOpcodesC2EPKhmb
00007ff8027fda76 (__TEXT,__text) non-external (was a private external) __ZN6mach_o11GenericTrieC2EPKhm
00007ff80280828c (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture10arm64e_oldE
00007ff802808274 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture5arm64E
00007ff80280827c (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture6arm64eE
00007ff8027f80ac (__TEXT,__text) non-external (was a private external) __ZN6mach_o12Architecture6byNameENSt3__117basic_string_viewIcNS1_11char_traitsIcEEEE
00007ff802808264 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture6x86_64E
00007ff802808284 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture7invalidE
00007ff80280826c (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture7x86_64hE
00007ff8027f8094 (__TEXT,__text) non-external (was a private external) __ZN6mach_o12ArchitectureC1EPK11fat_arch_64
00007ff8027f8052 (__TEXT,__text) non-external (was a private external) __ZN6mach_o12ArchitectureC1EPK11mach_header
00007ff8027f807c (__TEXT,__text) non-external (was a private external) __ZN6mach_o12ArchitectureC1EPK8fat_arch
00007ff843863820 (__DATA,__data) non-external (was a private external) __ZN6mach_o12PlatformInfo18knownPlatformInfosE
00007ff8027fda76 (__TEXT,__text) non-external (was a private external) __ZN6mach_o12SplitSegInfoC1EPKhm
00007ff802803aca (__TEXT,__text) non-external (was a private external) __ZN6mach_o12read_sleb128ERPKhS1_Rb
00007ff802803a5e (__TEXT,__text) non-external (was a private external) __ZN6mach_o12read_uleb128ERPKhS1_Rb
00007ff8027fee74 (__TEXT,__text) non-external (was a private external) __ZN6mach_o13ChainedFixups13PointerFormat4makeEt
00007ff8027feb70 (__TEXT,__text) non-external (was a private external) __ZN6mach_o13ChainedFixupsC1EPK26dyld_chained_fixups_headerm
00007ff8027fda88 (__TEXT,__text) non-external (was a private external) __ZN6mach_o13CompactUnwindC1ENS_12ArchitectureEPKhm
00007ff802801d0a (__TEXT,__text) non-external (was a private external) __ZN6mach_o13RebaseOpcodesC1EPKhmb
00007ff8027fda76 (__TEXT,__text) non-external (was a private external) __ZN6mach_o14FunctionStartsC1EPKhm
00007ff8028068cc (__TEXT,__text) non-external (was a private external) __ZN6mach_o16FunctionVariantsC1ENSt3__14spanIKhLm18446744073709551615EEE
00007ff802802328 (__TEXT,__text) non-external (was a private external) __ZN6mach_o16NListSymbolTableC1EjPK5nlistjPKcjjjj
00007ff802802362 (__TEXT,__text) non-external (was a private external) __ZN6mach_o16NListSymbolTableC1EyPK8nlist_64jPKcjjjj
00007ff840059c40 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o16PlatformInfo_iOS9singletonE
00007ff840059d00 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o17PlatformInfo_tvOS9singletonE
00007ff8027fd3e0 (__TEXT,__text) non-external (was a private external) __ZN6mach_o17hasWarningHandlerEv
00007ff840059be0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o18PlatformInfo_macOS9singletonE
00007ff84005a060 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o18PlatformInfo_sepOS9singletonE
00007ff840059628 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o19GradedArchitectures10launch_macE
00007ff8027f894a (__TEXT,__text) non-external (was a private external) __ZN6mach_o19GradedArchitectures11currentLoadEbb
00007ff8027f88c8 (__TEXT,__text) non-external (was a private external) __ZN6mach_o19GradedArchitectures13currentLaunchEPKc
00007ff840059618 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o19GradedArchitectures15load_macHaswellE
00007ff840059638 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o19GradedArchitectures17launch_macHaswellE
00007ff840059608 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o19GradedArchitectures8load_macE
00007ff8027fd666 (__TEXT,__text) non-external (was a private external) __ZN6mach_o19PlatformAndVersions3zipERKS0_
00007ff840059e80 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o20PlatformInfo_watchOS9singletonE
00007ff802806a18 (__TEXT,__text) non-external (was a private external) __ZN6mach_o21FunctionVariantFixupsC1ENSt3__14spanIKhLm18446744073709551615EEE
00007ff840059f40 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o21PlatformInfo_bridgeOS9singletonE
00007ff84005a000 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o21PlatformInfo_firmware9singletonE
00007ff84005a3c0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o21PlatformInfo_visionOS9singletonE
00007ff840059e20 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o21PlatformInfo_zippered9singletonE
00007ff840059fa0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o22PlatformInfo_driverKit9singletonE
00007ff840059dc0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o24PlatformInfo_macCatalyst9singletonE
00007ff84005a5a0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o26PlatformInfo_iOS_kernelKit9singletonE
00007ff840059ca0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o26PlatformInfo_iOS_simulator9singletonE
00007ff84005a1e0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o27PlatformInfo_iOS_exclaveKit9singletonE
00007ff84005a600 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o27PlatformInfo_tvOS_kernelKit9singletonE
00007ff840059d60 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o27PlatformInfo_tvOS_simulator9singletonE
00007ff84005a180 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o28PlatformInfo_iOS_exclaveCore9singletonE
00007ff84005a540 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o28PlatformInfo_macOS_kernelKit9singletonE
00007ff84005a2a0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o28PlatformInfo_tvOS_exclaveKit9singletonE
00007ff84005a120 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o29PlatformInfo_macOS_exclaveKit9singletonE
00007ff84005a240 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o29PlatformInfo_tvOS_exclaveCore9singletonE
00007ff84005a0c0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o30PlatformInfo_macOS_exclaveCore9singletonE
00007ff84005a660 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o30PlatformInfo_watchOS_kernelKit9singletonE
00007ff840059ee0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o30PlatformInfo_watchOS_simulator9singletonE
00007ff84005a720 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o31PlatformInfo_bridgeOS_kernelKit9singletonE
00007ff84005a6c0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o31PlatformInfo_visionOS_kernelKit9singletonE
00007ff84005a420 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o31PlatformInfo_visionOS_simulator9singletonE
00007ff84005a360 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o31PlatformInfo_watchOS_exclaveKit9singletonE
00007ff84005a4e0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o32PlatformInfo_visionOS_exclaveKit9singletonE
00007ff84005a300 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o32PlatformInfo_watchOS_exclaveCore9singletonE
00007ff84005a480 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o33PlatformInfo_visionOS_exclaveCore9singletonE
00007ff8027f86d4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5ErrorC1EOS0_
00007ff8027f86fe (__TEXT,__text) non-external (was a private external) __ZN6mach_o5ErrorC1EPKcz
00007ff8027f87c6 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5ErrorD1Ev
00007ff8027f86e8 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5ErroraSEOS0_
00007ff802803f62 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image15makeBindOpcodesEv
00007ff802803d20 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image15makeExportsTrieEv
00007ff802803d78 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image15makeSymbolTableEv
00007ff80280417e (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image16makeSplitSegInfoEv
00007ff80280406a (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image17makeChainedFixupsEv
00007ff802803f0a (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image17makeRebaseOpcodesEv
00007ff80280411c (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image18makeFunctionStartsEv
00007ff802803fba (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image19makeLazyBindOpcodesEv
00007ff802804012 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image19makeWeakBindOpcodesEv
00007ff8028041d6 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image20makeFunctionVariantsEv
00007ff80280422e (__TEXT,__text) non-external (was a private external) __ZN6mach_o5Image25makeFunctionVariantFixupsEv
00007ff80280436c (__TEXT,__text) non-external (was a private external) __ZN6mach_o5ImageC1EPK11mach_header
00007ff802804286 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5ImageC1EPKvmNS0_11MappingKindE
00007ff802804290 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5ImageC2EPK11mach_header
00007ff802803b40 (__TEXT,__text) non-external (was a private external) __ZN6mach_o5ImageC2EPKvmNS0_11MappingKindE
00007ff8027fc6f0 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Header22loadCommandToDylibKindEPK13dylib_command
00007ff8028079e2 (__TEXT,__text) non-external __ZN6mach_o6Header22loadCommandToDylibKindEPK13dylib_command.cold.1
00007ff8027f8c1c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Header7isMachOENSt3__14spanIKhLm18446744073709551615EEE
00007ff8027fea4c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6PolicyC1ENS_12ArchitectureENS_19PlatformAndVersionsEjbbb
00007ff8027fe9c6 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6PolicyC2ENS_12ArchitectureENS_19PlatformAndVersionsEjbbb
00007ff8027fddbc (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol12makeAbsoluteE7CStringybNS0_5ScopeEh
00007ff8027fdcc8 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol12makeAltEntryE7CStringyhNS0_5ScopeEbbbb
00007ff8027fddf0 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol12makeReExportE7CStringiPKcNS0_5ScopeE
00007ff8027fde1c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol13makeUndefinedE7CStringib
00007ff8027fdb2c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol16makeRegularLocalE7CStringyhbbb
00007ff8027fde46 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol16makeTentativeDefE7CStringyhbb
00007ff8027fda9c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol17makeRegularExportE7CStringyhbbbb
00007ff8027fdae8 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol17makeRegularHiddenE7CStringyhbbb
00007ff8027fdbb0 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol17makeWeakDefExportE7CStringyhbbb
00007ff8027fdc3c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol17makeWeakDefHiddenE7CStringyhbbb
00007ff8027fdd1c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol19makeDynamicResolverE7CStringhyyNS0_5ScopeE
00007ff8027fdbf6 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol19makeWeakDefAutoHideE7CStringyhbbb
00007ff8027fdd76 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol21makeThreadLocalExportE7CStringyhbbb
00007ff8027fde84 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol22makeHiddenTentativeDefE7CStringyhbb
00007ff8027fdd4c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol25makeFunctionVariantExportE7CStringhyj
00007ff8027fdb6c (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol27makeRegularWasPrivateExternE7CStringyhbbb
00007ff8027fdc82 (__TEXT,__text) non-external (was a private external) __ZN6mach_o6Symbol27makeWeakDefWasPrivateExternE7CStringyhbbb
00007ff8027fd3f1 (__TEXT,__text) non-external (was a private external) __ZN6mach_o7warningEPKvPKcz
00007ff84005a7a0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform11macCatalystE
00007ff84005a7b0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform13iOS_simulatorE
00007ff84005a7c0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform14tvOS_simulatorE
00007ff84005a7d0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform17watchOS_simulatorE
00007ff84005a800 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform18visionOS_simulatorE
00007ff84005a770 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform3iOSE
00007ff84005a780 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform4tvOSE
00007ff802808370 (__TEXT,__const) non-external (was a private external) __ZN6mach_o8Platform5Epoch10spring2025E
00007ff80280834c (__TEXT,__const) non-external (was a private external) __ZN6mach_o8Platform5Epoch8fall2015E
00007ff802808358 (__TEXT,__const) non-external (was a private external) __ZN6mach_o8Platform5Epoch8fall2018E
00007ff80280835c (__TEXT,__const) non-external (was a private external) __ZN6mach_o8Platform5Epoch8fall2019E
00007ff802808364 (__TEXT,__const) non-external (was a private external) __ZN6mach_o8Platform5Epoch8fall2020E
00007ff802808368 (__TEXT,__const) non-external (was a private external) __ZN6mach_o8Platform5Epoch8fall2021E
00007ff802808374 (__TEXT,__const) non-external (was a private external) __ZN6mach_o8Platform5Epoch8fall2025E
00007ff84005a760 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform5macOSE
00007ff8027fd64c (__TEXT,__text) non-external (was a private external) __ZN6mach_o8Platform7currentEv
00007ff84005a790 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform7watchOSE
00007ff84005a7f0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform8visionOSE
00007ff84005a7e0 (__DATA_CONST,__const) non-external (was a private external) __ZN6mach_o8Platform9driverKitE
00007ff8027fd4e8 (__TEXT,__text) non-external (was a private external) __ZN6mach_o8PlatformC1Ej
00007ff8027fd4a0 (__TEXT,__text) non-external (was a private external) __ZN6mach_o8PlatformC2Ej
00007ff802807a05 (__TEXT,__text) non-external __ZN6mach_o8PlatformC2Ej.cold.1
00007ff802803054 (__TEXT,__text) non-external (was a private external) __ZN6mach_o9Universal11isUniversalENSt3__14spanIKhLm18446744073709551615EEE
00007ff8027fa938 (__TEXT,__text) non-external __ZN6mach_oL14stringOverflowEPK12load_commandjj
00007ff843863810 (__DATA,__data) non-external __ZN6mach_oL16archs_macHaswellE
00007ff84005aac8 (__DATA_CONST,__const) non-external __ZN6mach_oL2p1E
00007ff84005ab68 (__DATA_CONST,__const) non-external __ZN6mach_oL2p2E
00007ff84005ac00 (__DATA_CONST,__const) non-external __ZN6mach_oL2p3E
00007ff84005ac98 (__DATA_CONST,__const) non-external __ZN6mach_oL2p4E
00007ff84005ad30 (__DATA_CONST,__const) non-external __ZN6mach_oL2p5E
00007ff84005add0 (__DATA_CONST,__const) non-external __ZN6mach_oL2p6E
00007ff84005ae80 (__DATA_CONST,__const) non-external __ZN6mach_oL2p7E
00007ff84005af18 (__DATA_CONST,__const) non-external __ZN6mach_oL2p8E
00007ff84005afc8 (__DATA_CONST,__const) non-external __ZN6mach_oL2p9E
00007ff84005b078 (__DATA_CONST,__const) non-external __ZN6mach_oL3p10E
00007ff84005b110 (__DATA_CONST,__const) non-external __ZN6mach_oL3p11E
00007ff84005b1c0 (__DATA_CONST,__const) non-external __ZN6mach_oL3p12E
00007ff84005b1c8 (__DATA_CONST,__const) non-external __ZN6mach_oL3p13E
00007ff84005b1d0 (__DATA_CONST,__const) non-external __ZN6mach_oL3p14E
00007ff843864ac0 (__DATA,__bss) non-external __ZN6mach_oL8sHandlerE
00007ff843863800 (__DATA,__data) non-external __ZN6mach_oL9archs_macE
00007ff8027f88ea (__TEXT,__text) non-external __ZN6mach_oL9isHaswellEv
00007ff8027df358 (__TEXT,__text) non-external (was a private external) __ZNK11Diagnostics12errorMessageEv
00007ff8027df008 (__TEXT,__text) non-external (was a private external) __ZNK11Diagnostics7noErrorEv
00007ff8027defdc (__TEXT,__text) non-external (was a private external) __ZNK11Diagnostics8hasErrorEv
00007ff8027e6c3e (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache12forEachCacheEU13block_pointerFvPKS_RbE
00007ff8027e6cda (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache12forEachRangeEU13block_pointerFvPKcyyjyjjRbEU13block_pointerFvPKS_jE
00007ff8027e6b1e (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache13forEachRegionEU13block_pointerFvPKvyyjjyyRbE
00007ff8027dee14 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache7inCacheEPKvmRb
00007ff8027e16de (__TEXT,__text) non-external (was a private external) __ZNK22dyld_process_info_base12forEachImageEU13block_pointerFvyPKhPKcE
00007ff8027e1808 (__TEXT,__text) non-external (was a private external) __ZNK22dyld_process_info_base14forEachSegmentEyU13block_pointerFvyyPKcE
00007ff8027e17b6 (__TEXT,__text) non-external (was a private external) __ZNK22dyld_process_info_base15forEachAotImageEU13block_pointerFbyyyPhmE
00007ff8027e402c (__TEXT,__text) non-external (was a private external) __ZNK29dyld_process_info_notify_base13setNotifyMainEU13block_pointerFvvE
00007ff8027ee87c (__TEXT,__text) non-external (was a private external) __ZNK3lsl5BTreeINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EELb0EE14const_iteratorssERKSA_
00007ff8027f5940 (__TEXT,__text) non-external (was a private external) __ZNK3lsl5BTreeINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EELb0EE8NodeCoreILj31ELj15EE17lower_bound_indexERKS5_S8_
00007ff8027f198c (__TEXT,__text) non-external (was a private external) __ZNK3lsl5BTreeINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EELb0EE8NodeCoreILj31ELj15EE8childrenEv
00007ff80280726c (__TEXT,__text) non-external __ZNK3lsl5BTreeINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EELb0EE8NodeCoreILj31ELj15EE8childrenEv.cold.1
00007ff8027eea9e (__TEXT,__text) non-external (was a private external) __ZNK3lsl5BTreeINSt3__14pairIjN5dyld45Atlas7Process19ProcessUpdateRecordEEENS_10OrderedMapIjS6_NS1_4lessIjEEE13value_compareELb0EE14const_iteratorssERKSE_
00007ff8027f333c (__TEXT,__text) non-external (was a private external) __ZNK3lsl5BTreeINSt3__14pairIjN5dyld45Atlas7Process19ProcessUpdateRecordEEENS_10OrderedMapIjS6_NS1_4lessIjEEE13value_compareELb0EE4findERKS7_
00007ff8027f275a (__TEXT,__text) non-external (was a private external) __ZNK3lsl5BTreeINSt3__14pairIjN5dyld45Atlas7Process19ProcessUpdateRecordEEENS_10OrderedMapIjS6_NS1_4lessIjEEE13value_compareELb0EE8NodeCoreILj10ELj7EE17lower_bound_indexERKS7_SC_
