000000021ec63a00 (__TEXT,__text) non-external _Done_iODBC
000000022c337a78 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
000000022c337ac0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
000000022c3377c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
000000022c337ae8 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
000000022c337000 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
000000022c336c08 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
000000022c337020 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
000000022c336cd0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
000000022c336cf0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
000000022c336da0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
000000022c3370a0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
000000022c337050 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
000000022c336a08 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000021ec7b3e4 (__TEXT,__text) non-external __trace_bufferlen
000000021ec7aaa4 (__TEXT,__text) non-external __trace_c_type
000000021ec776f8 (__TEXT,__text) non-external __trace_colattr2_type
000000021ec77ab0 (__TEXT,__text) non-external __trace_colattr3_data
000000021ec77758 (__TEXT,__text) non-external __trace_colattr3_type
000000021ec7377c (__TEXT,__text) non-external __trace_connattr_type
000000021ec7b740 (__TEXT,__text) non-external __trace_connopt_type
000000021ec7d9b8 (__TEXT,__text) non-external __trace_connstr
000000021ec7dce0 (__TEXT,__text) non-external __trace_connstr_hidepwd
000000021ec7dc18 (__TEXT,__text) non-external __trace_connstr_w
000000021ec7cbb8 (__TEXT,__text) non-external __trace_data
000000021ec73a78 (__TEXT,__text) non-external __trace_desc_null
000000021ec76fbc (__TEXT,__text) non-external __trace_descfield_type
000000021ec7c830 (__TEXT,__text) non-external __trace_diag_type
000000021ec7939c (__TEXT,__text) non-external __trace_direction
000000021ec7dab8 (__TEXT,__text) non-external __trace_drvcn_completion
000000021ec74494 (__TEXT,__text) non-external __trace_envattr_type
000000021ec74d48 (__TEXT,__text) non-external __trace_fetchtype
000000021ec7e2b4 (__TEXT,__text) non-external __trace_freestmt_option
000000021ec789d0 (__TEXT,__text) non-external __trace_func_name
000000021ec78904 (__TEXT,__text) non-external __trace_func_result
000000021ec74fdc (__TEXT,__text) non-external __trace_getinfo
000000021ec7a3bc (__TEXT,__text) non-external __trace_handle
000000021ec7a348 (__TEXT,__text) non-external __trace_handle_p
000000021ec7a2e8 (__TEXT,__text) non-external __trace_handletype
000000021ec7ae1c (__TEXT,__text) non-external __trace_inouttype
000000021ec7a480 (__TEXT,__text) non-external __trace_integer
000000021ec7a620 (__TEXT,__text) non-external __trace_integer_p
000000021ec7a754 (__TEXT,__text) non-external __trace_len
000000021ec7a7bc (__TEXT,__text) non-external __trace_len_p
000000021ec7a4f0 (__TEXT,__text) non-external __trace_pointer
000000021ec7a0f4 (__TEXT,__text) non-external __trace_print_function
000000021ec74e54 (__TEXT,__text) non-external __trace_scrollopt_type
000000021ec74b68 (__TEXT,__text) non-external __trace_setpos_irow
000000021ec74c00 (__TEXT,__text) non-external __trace_setpos_lock
000000021ec74ba0 (__TEXT,__text) non-external __trace_setpos_oper
000000021ec7a410 (__TEXT,__text) non-external __trace_smallint
000000021ec7a538 (__TEXT,__text) non-external __trace_smallint_p
000000021ec74794 (__TEXT,__text) non-external __trace_spcols_null
000000021ec74734 (__TEXT,__text) non-external __trace_spcols_scope
000000021ec746d0 (__TEXT,__text) non-external __trace_spcols_type
000000021ec7b300 (__TEXT,__text) non-external __trace_sql_subtype
000000021ec7ae7c (__TEXT,__text) non-external __trace_sql_type
000000021ec7b0a0 (__TEXT,__text) non-external __trace_sql_type_p
000000021ec7df70 (__TEXT,__text) non-external __trace_stats_accuracy
000000021ec7df0c (__TEXT,__text) non-external __trace_stats_unique
000000021ec7bb0c (__TEXT,__text) non-external __trace_stmtattr_type
000000021ec7c470 (__TEXT,__text) non-external __trace_stmtopt_type
000000021ec7a8a4 (__TEXT,__text) non-external __trace_string
000000021ec7a988 (__TEXT,__text) non-external __trace_string_w
000000021ec7a708 (__TEXT,__text) non-external __trace_stringlen
000000022c337be8 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000021ec7d2a8 (__TEXT,__text) non-external __trace_tran_completion
000000021ec7d5ec (__TEXT,__text) non-external __trace_typeinfo
000000021ec7a4b8 (__TEXT,__text) non-external __trace_uinteger
000000021ec7a694 (__TEXT,__text) non-external __trace_uinteger_p
000000021ec7a788 (__TEXT,__text) non-external __trace_ulen
000000021ec7a830 (__TEXT,__text) non-external __trace_ulen_p
000000021ec7a448 (__TEXT,__text) non-external __trace_usmallint
000000021ec7a5ac (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000022f506292 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000021ec7f2e8 (__TEXT,__text) non-external _dm_SQL_A2W
000000021ec7f824 (__TEXT,__text) non-external _dm_SQL_U8toW
000000021ec7f26c (__TEXT,__text) non-external _dm_SQL_W2A
000000021ec7f57c (__TEXT,__text) non-external _dm_SQL_WtoU8
000000021ec7f364 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000021ec7fa40 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000021ec7f414 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000021ec7f4c4 (__TEXT,__text) non-external _dm_strcpy_A2W
000000021ec7f520 (__TEXT,__text) non-external _dm_strcpy_W2A
000000021ec80fa4 (__TEXT,__text) non-external _do_create_dsns
000000022f506250 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000022f506230 (__DATA,__common) non-external _ierror
000000021ec810f8 (__TEXT,__text) non-external _install_from_ini
000000021ec815c4 (__TEXT,__text) non-external _install_from_string
000000022f505c98 (__DATA,__data) external _iodbc_version
000000022f506170 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000022f5061b8 (__DATA,__data) non-external _numerrors
000000022f505ca0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000022f5061c0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000021ec81770 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
000000022c335e78 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000022f506200 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000021ec7686c (__TEXT,__text) non-external _trace_SQLAllocConnect
000000021ec7b674 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000021ec77528 (__TEXT,__text) non-external _trace_SQLAllocHandle
000000021ec79298 (__TEXT,__text) non-external _trace_SQLAllocStmt
000000021ec77478 (__TEXT,__text) non-external _trace_SQLBindCol
000000021ec7815c (__TEXT,__text) non-external _trace_SQLBindParameter
000000021ec7b4c4 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000021ec7b59c (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000021ec74634 (__TEXT,__text) non-external _trace_SQLBulkOperations
000000021ec7cb08 (__TEXT,__text) non-external _trace_SQLCancel
000000021ec79354 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000021ec779f0 (__TEXT,__text) non-external _trace_SQLColAttribute
000000021ec77eb0 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000021ec77f70 (__TEXT,__text) non-external _trace_SQLColAttributes
000000021ec7803c (__TEXT,__text) non-external _trace_SQLColAttributesW
000000021ec7c5f8 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000021ec7c714 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000021ec76964 (__TEXT,__text) non-external _trace_SQLColumns
000000021ec76a80 (__TEXT,__text) non-external _trace_SQLColumnsW
000000021ec7bee0 (__TEXT,__text) non-external _trace_SQLConnect
000000021ec7bfcc (__TEXT,__text) non-external _trace_SQLConnectW
000000021ec74cf0 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000021ec79428 (__TEXT,__text) non-external _trace_SQLDataSources
000000021ec79528 (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000021ec73b0c (__TEXT,__text) non-external _trace_SQLDescribeCol
000000021ec73c18 (__TEXT,__text) non-external _trace_SQLDescribeColW
000000021ec7c538 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000021ec7930c (__TEXT,__text) non-external _trace_SQLDisconnect
000000021ec7d8b8 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000021ec7db18 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000021ec7842c (__TEXT,__text) non-external _trace_SQLDrivers
000000021ec7852c (__TEXT,__text) non-external _trace_SQLDriversW
000000021ec76804 (__TEXT,__text) non-external _trace_SQLEndTran
000000021ec73f94 (__TEXT,__text) non-external _trace_SQLError
000000021ec74094 (__TEXT,__text) non-external _trace_SQLErrorW
000000021ec79034 (__TEXT,__text) non-external _trace_SQLExecDirect
000000021ec790b8 (__TEXT,__text) non-external _trace_SQLExecDirectW
000000021ec74688 (__TEXT,__text) non-external _trace_SQLExecute
000000021ec74dac (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000021ec79730 (__TEXT,__text) non-external _trace_SQLFetch
000000021ec7b6d8 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000021ec7c0b8 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000021ec7c238 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000021ec7c428 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000021ec74b20 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000021ec767b0 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000021ec7e30c (__TEXT,__text) non-external _trace_SQLFreeStmt
000000021ec73930 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000021ec739d4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000021ec7b96c (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000021ec7b9d4 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000021ec775b0 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000021ec77654 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000021ec7d19c (__TEXT,__text) non-external _trace_SQLGetData
000000021ec77318 (__TEXT,__text) non-external _trace_SQLGetDescField
000000021ec773c8 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000021ec73d24 (__TEXT,__text) non-external _trace_SQLGetDescRec
000000021ec73e5c (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000021ec7c994 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000021ec7ca58 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000021ec742a4 (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000021ec7439c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000021ec74520 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000021ec78fbc (__TEXT,__text) non-external _trace_SQLGetFunctions
000000021ec74f2c (__TEXT,__text) non-external _trace_SQLGetInfo
000000021ec76460 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000021ec7bdac (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000021ec7be50 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000021ec7c4d0 (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000021ec7d810 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000021ec7d864 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000021ec7d260 (__TEXT,__text) non-external _trace_SQLMoreResults
000000021ec76de4 (__TEXT,__text) non-external _trace_SQLNativeSql
000000021ec76ed0 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000021ec76b9c (__TEXT,__text) non-external _trace_SQLNumParams
000000021ec7c3b8 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000021ec78108 (__TEXT,__text) non-external _trace_SQLParamData
000000021ec768e0 (__TEXT,__text) non-external _trace_SQLParamOptions
000000021ec7e360 (__TEXT,__text) non-external _trace_SQLPrepare
000000021ec7e3e4 (__TEXT,__text) non-external _trace_SQLPrepareW
000000021ec7862c (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000021ec78718 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000021ec76510 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000021ec7662c (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000021ec78254 (__TEXT,__text) non-external _trace_SQLProcedures
000000021ec78340 (__TEXT,__text) non-external _trace_SQLProceduresW
000000021ec7cb50 (__TEXT,__text) non-external _trace_SQLPutData
000000021ec745c4 (__TEXT,__text) non-external _trace_SQLRowCount
000000021ec7de24 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000021ec7de98 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000021ec7ba3c (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000021ec7baa4 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000021ec79628 (__TEXT,__text) non-external _trace_SQLSetCursorName
000000021ec796ac (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000021ec74194 (__TEXT,__text) non-external _trace_SQLSetDescField
000000021ec7421c (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000021ec78804 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000021ec7913c (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000021ec74c60 (__TEXT,__text) non-external _trace_SQLSetPos
000000021ec74eb8 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000021ec791b0 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000021ec79224 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000021ec76748 (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000021ec747f8 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000021ec7498c (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000021ec7dfd4 (__TEXT,__text) non-external _trace_SQLStatistics
000000021ec7e144 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000021ec76c0c (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000021ec76cf8 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000021ec7d3b4 (__TEXT,__text) non-external _trace_SQLTables
000000021ec7d4d0 (__TEXT,__text) non-external _trace_SQLTablesW
000000021ec7d30c (__TEXT,__text) non-external _trace_SQLTransact
000000022f5061f0 (__DATA,__bss) non-external _trace_appname
000000021ec79cd8 (__TEXT,__text) non-external _trace_emit
000000021ec79f60 (__TEXT,__text) non-external _trace_emit_binary
000000021ec79d40 (__TEXT,__text) non-external _trace_emit_string
000000021ec79d24 (__TEXT,__text) non-external _trace_emitc
000000022f5061f8 (__DATA,__bss) non-external _trace_fname
000000022f506210 (__DATA,__bss) non-external _trace_fp
000000022f506218 (__DATA,__bss) non-external _trace_fp_close
000000021ec797b4 (__TEXT,__text) non-external _trace_get_filename
000000021ec79778 (__TEXT,__text) non-external _trace_set_appname
000000021ec797c0 (__TEXT,__text) non-external _trace_set_filename
000000021ec79a80 (__TEXT,__text) non-external _trace_start
000000021ec79c24 (__TEXT,__text) non-external _trace_stop
000000021ec79a08 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000021ec7f9c4 (__TEXT,__text) non-external _utf8_len
000000021ec7fae4 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000022f506290 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
