00007ffd419ee408 (__DATA,__bss) non-external _A
00007ffd04aa5f2c (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffd04aa5c33 (__TEXT,__text) external _cmark_strbuf_put
00007ffd04aa5bfa (__TEXT,__text) external _cmark_strbuf_putc
00007ffd04aa5c87 (__TEXT,__text) external _cmark_strbuf_puts
00007ffd04aa5e8f (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffd04aa5b50 (__TEXT,__text) external _cmark_strbuf_set
00007ffd04aa5bca (__TEXT,__text) external _cmark_strbuf_sets
00007ffd04aa5da9 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffd04aa5de9 (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffd04aa5d00 (__TEXT,__text) external _cmark_strbuf_swap
00007ffd04aa5ed7 (__TEXT,__text) external _cmark_strbuf_trim
00007ffd04aa5e28 (__TEXT,__text) external _cmark_strbuf_truncate
00007ffd04aa5fc3 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffd04a98392 (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffd04ab1273 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffd04a982f8 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffd04a9848d (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffd04a9833d (__TEXT,__text) external _cmark_syntax_extension_new
00007ffd04a9840f (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffd04a984b1 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffd04a98423 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffd04a98419 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffd04a983c7 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffd04a98405 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffd04a98465 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffd04a98458 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffd04a983f1 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffd04a98437 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffd04a9844b (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffd04a983de (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffd04a983e7 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffd04a98497 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffd04a984a4 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffd04a983d4 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffd04a9842d (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffd04a98472 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffd04a9847f (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffd04a983fb (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffd04a98441 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffd04aa5734 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffd04a8d299 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffd04a8ce50 (__TEXT,__text) external _cmark_utf8proc_check
00007ffd04a8d194 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffd04ab1197 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffd04a94d7a (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffd04a94d20 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffd04a8d053 (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffd04a965c3 (__TEXT,__text) external _cmark_version
00007ffd04a965ce (__TEXT,__text) external _cmark_version_string
00007ffd04a97b31 (__TEXT,__text) non-external _commonmark_render
00007ffd04a9a5a9 (__TEXT,__text) non-external _commonmark_render
00007ffd04aaf9d6 (__TEXT,__text) non-external _commonmark_render
00007ffd04ab1c27 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffd04aaf9c1 (__TEXT,__text) non-external _contains_inlines
00007ffd04aa5786 (__TEXT,__text) non-external _core_extensions_registration
00007ffd04a984be (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffd04a9a486 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffd04aaee88 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffd04ab1057 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffd04a97973 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffd419ee278 (__DATA,__bss) non-external _enable_safety_checks
00007ffd04ab1ed0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffd04ab0654 (__TEXT,__text) non-external _escape
00007ffd419ee1f0 (__DATA,__bss) non-external _extensions_lock
00007ffd419ee070 (__DATA,__data) non-external _extensions_once
00007ffd04ab1085 (__TEXT,__text) non-external _filter
00007ffd04aa81a1 (__TEXT,__text) non-external _finalize
00007ffd04ab14e7 (__TEXT,__text) non-external _finalize.cold.1
00007ffd04ab150a (__TEXT,__text) non-external _finalize.cold.2
00007ffd04aa56f8 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffd04aa8b2f (__TEXT,__text) non-external _free_node_as
00007ffd04ab0c92 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffd04a9b7f7 (__TEXT,__text) non-external _get_link_type
00007ffd04a97a6c (__TEXT,__text) non-external _get_type_string
00007ffd04a9a568 (__TEXT,__text) non-external _get_type_string
00007ffd04aaf8f9 (__TEXT,__text) non-external _get_type_string
00007ffd04aae418 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffd04ab4ab0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffd04a965ae (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffd04a964d0 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffd04aae513 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffd04aae77f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffd04aae86f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffd04a97ba1 (__TEXT,__text) non-external _html_render
00007ffd04a9a64e (__TEXT,__text) non-external _html_render
00007ffd04aaffdf (__TEXT,__text) non-external _html_render
00007ffd04ab1c90 (__TEXT,__text) non-external _html_render.cold.1
00007ffd04ab0cf9 (__TEXT,__text) non-external _html_table_add_align
00007ffd04ab100e (__TEXT,__text) non-external _init_arena
00007ffd04ab0ffb (__TEXT,__text) non-external _initialize_arena
00007ffd04a995cc (__TEXT,__text) non-external _initialize_extensions
00007ffd04aa9f0f (__TEXT,__text) non-external _initialize_nextflag
00007ffd04aa9efc (__TEXT,__text) non-external _initialize_safety
00007ffd04a9a7d4 (__TEXT,__text) non-external _insert
00007ffd04a99343 (__TEXT,__text) non-external _is_valid_hostchar
00007ffd04a9a5ca (__TEXT,__text) non-external _latex_render
00007ffd04aafbfc (__TEXT,__text) non-external _latex_render
00007ffd04ab1c4a (__TEXT,__text) non-external _latex_render.cold.1
00007ffd04aad113 (__TEXT,__text) non-external _link_label
00007ffd04ab1990 (__TEXT,__text) non-external _link_label.cold.1
00007ffd04ab19b3 (__TEXT,__text) non-external _link_label.cold.2
00007ffd04ab19d6 (__TEXT,__text) non-external _link_label.cold.3
00007ffd04ab19f9 (__TEXT,__text) non-external _link_label.cold.4
00007ffd04ab1a1c (__TEXT,__text) non-external _link_label.cold.5
00007ffd04aadbdd (__TEXT,__text) non-external _make_autolink
00007ffd04ab1be1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffd04a9a5f9 (__TEXT,__text) non-external _man_render
00007ffd04aafe72 (__TEXT,__text) non-external _man_render
00007ffd04ab1c6d (__TEXT,__text) non-external _man_render.cold.1
00007ffd04aad3b9 (__TEXT,__text) non-external _manual_scan_link_url
00007ffd04a9852c (__TEXT,__text) non-external _match
00007ffd04a9a691 (__TEXT,__text) non-external _match
00007ffd04a97a08 (__TEXT,__text) non-external _matches
00007ffd04aaefaa (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd419ee280 (__DATA,__bss) non-external _nextflag_lock
00007ffd419ee0a0 (__DATA,__data) non-external _nextflag_once
00007ffd04aa57eb (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffd04ab1341 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffd04ab05b5 (__TEXT,__text) non-external _opaque_alloc
00007ffd04ab0601 (__TEXT,__text) non-external _opaque_free
00007ffd04a97a79 (__TEXT,__text) non-external _open_tasklist_item
00007ffd04a9553b (__TEXT,__text) non-external _outc
00007ffd04a9adea (__TEXT,__text) non-external _outc
00007ffd04aae903 (__TEXT,__text) non-external _outc
00007ffd04a9a670 (__TEXT,__text) non-external _plaintext_render
00007ffd04a989ce (__TEXT,__text) non-external _postprocess
00007ffd04ab1294 (__TEXT,__text) non-external _postprocess.cold.1
00007ffd04ab12b7 (__TEXT,__text) non-external _postprocess.cold.2
00007ffd04aac820 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffd04aadaf9 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
00007ffd04aa5a41 (__TEXT,__text) non-external _refcmp
00007ffd04aa61b4 (__TEXT,__text) non-external _reference_free
00007ffd04aa59bc (__TEXT,__text) non-external _refsearch
00007ffd04aa5775 (__TEXT,__text) non-external _register_plugins
00007ffd419ee080 (__DATA,__data) non-external _registered_once
00007ffd04ab1ee0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffd04aacdcd (__TEXT,__text) non-external _remove_delimiter
00007ffd04ab1878 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffd04aa8554 (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffd04ab0859 (__TEXT,__text) non-external _row_from_string
00007ffd419ee238 (__DATA,__bss) non-external _safety_lock
00007ffd419ee090 (__DATA,__data) non-external _safety_once
00007ffd403eff50 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffd04aa86b7 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffd04aad2dc (__TEXT,__text) non-external _spnl
00007ffd04ab1a3d (__TEXT,__text) non-external _spnl.cold.1
00007ffd04ab1a60 (__TEXT,__text) non-external _spnl.cold.2
00007ffd04ab1a83 (__TEXT,__text) non-external _spnl.cold.3
00007ffd04ab1aa6 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffd419ee230 (__DATA,__bss) non-external _syntax_extensions
00007ffd04aaf039 (__TEXT,__text) non-external _try_opening_table_block
00007ffd04ab0bee (__TEXT,__text) non-external _unescape_pipes
00007ffd04ab1dd0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffd04a9937c (__TEXT,__text) non-external _validate_protocol
00007ffd04a965db (__TEXT,__text) non-external _xcalloc
00007ffd04ab11df (__TEXT,__text) non-external _xcalloc.cold.1
00007ffd04a96617 (__TEXT,__text) non-external _xfree
00007ffd04a97cee (__TEXT,__text) non-external _xml_attr
00007ffd04aafd93 (__TEXT,__text) non-external _xml_attr
00007ffd04a965f9 (__TEXT,__text) non-external _xrealloc
00007ffd04ab1204 (__TEXT,__text) non-external _xrealloc.cold.1
