00000001db15f740 (__TEXT,__text) non-external +[NFPromise new]
00000001ebd6f1ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001ebd6f1b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001ebd6f1b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00000001ebd6f1fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001ebd6f204 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00000001ebd6f20c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00000001ebd6f210 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00000001ebd6f208 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00000001ebd6f200 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
00000001ebd6f220 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00000001ebd6f214 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
00000001ebd6f21c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00000001ebd6f218 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00000001ebd6f1e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00000001ebd6f1e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00000001ebd6f1dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00000001ebd6f1d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00000001ebd6f1e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00000001ebd6f1d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00000001ebd6f1ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00000001ebd6f230 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00000001ebd6f234 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00000001ebd6f228 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00000001ebd6f22c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00000001ebd6f23c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00000001ebd6f24c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00000001ebd6f248 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00000001ebd6f238 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00000001ebd6f244 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00000001ebd6f240 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00000001ebd6f1a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00000001ebd6f19c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00000001ebd6f1a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00000001ebd6f198 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00000001ebd6f1a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00000001ebd6f190 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00000001ebd6f194 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00000001ecf9f970 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00000001ecf9f6f0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00000001ecf9f6c8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00000001ecf9f6a0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00000001ecf9f9e8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00000001ecf9f678 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00000001ecf9f948 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00000001ecf9f650 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00000001ecf9f628 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00000001ecf9f600 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00000001ecf9f5d8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00000001ecf9f5b0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00000001ecf9f588 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00000001ecf9f560 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00000001ecf9f538 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00000001ecf9f510 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001db15d554 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001db15d578 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001db15d598 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001db15ec54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001db1621d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001db15d5c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001db15d5e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001db15d600 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
                 (undefined) external _SCNetworkReachabilityCreateWithAddress (from SystemConfiguration)
                 (undefined) external _SCNetworkReachabilityGetFlags (from SystemConfiguration)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001db165970 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSError_$_NFStateMachine
00000001db165988 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSKeyedUnarchiver_$_FRAdditions
00000001db1659c0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSObject_$_NFAdditions
00000001db1659e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSValue_$_NFAdditions
00000001db165a00 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSError_$_NFStateMachine
00000001db165a18 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSKeyedUnarchiver_$_FRAdditions
00000001db165a30 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSString_$_NFAdditions
00000001db165a50 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSUserDefaults_$_NFAdditions
00000001db165a68 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSValue_$_NFAdditions
00000001f4b62580 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00000001f4b62920 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00000001f4b62b80 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00000001f4b62bc0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00000001f4b627b0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00000001f4b63438 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00000001db165a88 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001db165af0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00000001f4b62d90 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_NFReachability
00000001db165b10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00000001db165b30 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00000001db165bd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00000001db165c38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00000001db165c88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00000001db165d48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00000001db165d98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00000001db165e00 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001db165f40 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00000001db166038 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00000001db1660f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00000001db166230 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00000001db1662f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00000001db166440 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00000001db1664e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00000001db166548 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00000001f4b62138 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00000001f4b62238 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00000001f4b62838 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00000001f4b63340 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00000001f4b62f68 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00000001f4b62008 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00000001f4b629a8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00000001f4b62c48 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00000001f4b62df0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00000001f4b62608 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00000001f4b63020 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00000001f4b63180 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00000001f4b61e78 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00000001f4b61da0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00000001f4b624f0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00000001f4b62180 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00000001f4b622e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00000001f4b628a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00000001f4b633a8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00000001f4b62070 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00000001f4b629d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00000001f4b62cf0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00000001f4b62e78 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00000001f4b626f0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00000001f4b630a8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00000001f4b63248 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00000001f4b61f20 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00000001f4b62380 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001db166560 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00000001db166580 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001db166598 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001db1665b8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001db1666a8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001f4b62480 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00000001f4b62ad0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001f4b61d18 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001f4b623c8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001f4b62468 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00000001f4b61d28 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001f4b62490 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00000001f4b62f08 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00000001f4b61d40 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00000001f4b62ad8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00000001f4b62538 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFArchiver
00000001f4b621a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventManager
00000001f4b62338 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00000001f4b628d8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFLazy
00000001f4b633f0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00000001f4b62f90 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMutexLock
00000001f4b620a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00000001f4b62a88 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromise
00000001f4b62d48 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00000001f4b62ec0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFReachability
00000001f4b62768 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachine
00000001f4b630f0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00000001f4b632b0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00000001f4b61f78 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00000001f4b61de8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00000001f4b62b38 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFVoid
00000001e79970e8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00000001e79970d8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00000001e79970f0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001e79970d0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00000001e79970e0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001f4b624a8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFArchiver
00000001f4b620f0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventManager
00000001f4b621f0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00000001f4b627f0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFLazy
00000001f4b632f8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00000001f4b62f20 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00000001f4b61fc0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00000001f4b62960 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromise
00000001f4b62c00 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00000001f4b62da8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFReachability
00000001f4b625c0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00000001f4b62fd8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00000001f4b63138 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00000001f4b61e30 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00000001f4b61d58 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00000001f4b62af0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFVoid
00000001ebd6f380 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00000001ebd6f2c0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00000001ebd6f3f8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000001ebd6f260 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00000001ebd6f320 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001db164b58 (__TEXT,__text) external __UIValueCGPointValue
00000001db1649b0 (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00000001db160104 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00000001db1601c8 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00000001db15fff0 (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00000001db160abc (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00000001db160b44 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00000001db16040c (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00000001db160280 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00000001db160354 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00000001db160078 (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00000001db160bd8 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00000001db160cb0 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00000001db16050c (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00000001db160598 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00000001db16065c (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00000001db160740 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00000001db16086c (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00000001db160940 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00000001db160a24 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00000001db162454 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00000001db15c61c (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00000001db15f968 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00000001db15fa90 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00000001db15fcb8 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00000001db15fef4 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00000001db15f5f0 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00000001db15f654 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.16
00000001db1622cc (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00000001db161c54 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00000001db161ce0 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00000001db163148 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke
00000001db1638a8 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.13
00000001db163684 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.4
00000001db1637d0 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.8
00000001db1634a8 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2
00000001db16393c (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.14
00000001db16376c (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.5
00000001db163894 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.9
00000001db163554 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_3
00000001db1619a4 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00000001db161b1c (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.11
00000001db161b08 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00000001db161190 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00000001db161274 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00000001db160f5c (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00000001db161040 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00000001db15e848 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00000001db15e9d0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.47
00000001db15e9e0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51
00000001db16522c (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51.cold.1
00000001db15ea10 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.58
00000001db15ea58 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.60
00000001db15e8c0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00000001db15e938 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
00000001db1626b0 (__TEXT,__text) non-external ___51-[NFReachability _updateCurrentReachabilityStatus:]_block_invoke
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001db164e34 (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00000001db164c70 (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00000001db15bfb8 (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00000001db15c020 (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001e7996fb8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00000001e7996f90 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001e7996fd8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
00000001e7996ff8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_16?08l
00000001f4b61658 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00000001f4b614a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_16?08l
00000001f4b61248 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00000001f4b613b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?08l
