00007fff8063a838 (__DATA,__data) non-external _C
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007fff2024f0ba (__TEXT,__text) non-external ___setup_vars
00007fff2024d3ac (__TEXT,__text) non-external (was a private external) ___setutxent
00007fff2021d793 (__TEXT,__text) external ___sflags
00007fff2021c886 (__TEXT,__text) external ___sflush
00007fff2021d26b (__TEXT,__text) external ___sfp
00007fff2021d6d2 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007fff2021ef3e (__TEXT,__text) external ___sfvwrite
00007fff201f4a30 (__TEXT,__text) non-external (was a private external) ___sgetrune
00007fff8063a4e0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007fff2021d467 (__TEXT,__text) external ___sinit
00007fff2021ca90 (__TEXT,__text) external ___slbexpand
00007fff2021fbbf (__TEXT,__text) external ___smakebuf
00007fff20261286 (__TEXT,__text) external ___snprintf_chk
00007fff20261324 (__TEXT,__text) external ___snprintf_object_size_chk
00007fff201fb60a (__TEXT,__text) external ___split_page
00007fff202301d3 (__TEXT,__text) non-external ___sprint
00007fff202614e6 (__TEXT,__text) external ___sprintf_chk
00007fff202615b2 (__TEXT,__text) external ___sprintf_object_size_chk
00007fff201f4b08 (__TEXT,__text) non-external (was a private external) ___sputrune
00007fff20223fb7 (__TEXT,__text) external ___sread
00007fff202236bf (__TEXT,__text) external ___srefill
00007fff20223503 (__TEXT,__text) non-external (was a private external) ___srefill0
00007fff20223666 (__TEXT,__text) non-external (was a private external) ___srefill1
00007fff20223792 (__TEXT,__text) external ___srget
00007fff20223fd9 (__TEXT,__text) external ___sseek
00007fff2023d905 (__TEXT,__text) external ___stack_chk_fail
00007fff80607d70 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
                 (undefined) external ___stat_extended (from libsystem_kernel)
00007fff8063aae0 (__DATA,__data) external ___stderrp
00007fff8063aad0 (__DATA,__data) external ___stdinp
00007fff8063d200 (__DATA,__bss) non-external ___stdout_evp
00007fff8063aad8 (__DATA,__data) external ___stdoutp
00007fff20261491 (__TEXT,__text) external ___stpcpy_chk
00007fff20261691 (__TEXT,__text) external ___stpncpy_chk
00007fff202613cf (__TEXT,__text) external ___strcat_chk
00007fff20202586 (__TEXT,__text) external ___strcp_D2A
00007fff202611e6 (__TEXT,__text) external ___strcpy_chk
00007fff806064e8 (__DATA_DIRTY,__bss) non-external ___stream_max
00007fff8063a510 (__DATA,__data) non-external ___strerror_ebuf
00007fff20260f35 (__TEXT,__text) external ___strlcat_chk
00007fff202610a4 (__TEXT,__text) external ___strlcpy_chk
00007fff202610ef (__TEXT,__text) external ___strncat_chk
00007fff20261177 (__TEXT,__text) external ___strncpy_chk
00007fff2020420e (__TEXT,__text) external ___strtodg
00007fff20205ce4 (__TEXT,__text) external ___strtopdd
00007fff20265750 (__TEXT,__const) non-external ___strtopdd.fpi0
00007fff202060c8 (__TEXT,__text) external ___strtopx
00007fff8063a868 (__DATA,__data) non-external ___strtopx.fpi0
00007fff20206298 (__TEXT,__text) external ___sum_D2A
00007fff2022bc97 (__TEXT,__text) external ___svfscanf
00007fff20229a2d (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007fff20265e50 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007fff20233347 (__TEXT,__text) external ___swbuf
00007fff2021fdb2 (__TEXT,__text) external ___swhatbuf
00007fff20223fc8 (__TEXT,__text) external ___swrite
00007fff202336fd (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___sysctlbyname (from libsystem_kernel)
00007fff8063ab88 (__DATA,__data) non-external ___systemfn_mutex
00007fff8063ac80 (__DATA,__data) non-external ___systemfn_mutex
00007fff20265540 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007fff201eaedd (__TEXT,__text) non-external ___thread_stack_pcs
00007fff2023a0c2 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007fff8063d2a0 (__DATA,__bss) non-external ___time_load_locale.cache
00007fff20265510 (__TEXT,__const) external ___tinytens_D2A
00007fff202158e0 (__TEXT,__text) external ___tolower
00007fff20215a25 (__TEXT,__text) external ___tolower_l
00007fff202158a0 (__TEXT,__text) external ___toupper
00007fff20215a06 (__TEXT,__text) external ___toupper_l
00007fff202019fe (__TEXT,__text) external ___trailz_D2A
00007fff202063e2 (__TEXT,__text) external ___ulp_D2A
00007fff20229586 (__TEXT,__text) non-external ___ultoa
00007fff2022fe3f (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00007fff20224889 (__TEXT,__text) external ___ungetc
00007fff20224a25 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007fff2024303f (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007fff202663c0 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007fff2024de0a (__TEXT,__text) non-external (was a private external) ___utmpxname
00007fff8063a5c0 (__DATA,__data) non-external ___utx__
00007fff202650c4 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00007fff2024c790 (__TEXT,__text) non-external (was a private external) ___v2printf
00007fff202250c2 (__TEXT,__text) non-external (was a private external) ___vfprintf
00007fff20265e10 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007fff20265e20 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007fff2022c002 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007fff20265e80 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007fff20265e90 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007fff202303f6 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007fff20265f80 (__TEXT,__const) non-external ___vfwscanf.basefix
00007fff202616f0 (__TEXT,__text) external ___vsnprintf_chk
00007fff20261448 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007fff20217930 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007fff20217671 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007fff20215920 (__TEXT,__text) external ___wcwidth
00007fff20215a44 (__TEXT,__text) external ___wcwidth_l
00007fff20216b06 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007fff201ef277 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007fff201ef2a4 (__TEXT,__text) non-external ___xlocale_release
00007fff201f1ad4 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007fff20261ae4 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007fff8063a840 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007fff2024cc78 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007fff2024caad (__TEXT,__text) non-external (was a private external) ___xvprintf
00007fff20243107 (__TEXT,__text) external __allocenvstate
00007fff202065c7 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007fff20211233 (__TEXT,__text) non-external (was a private external) __ascii_init
00007fff20211280 (__TEXT,__text) non-external __ascii_mbrtowc
00007fff202112c6 (__TEXT,__text) non-external __ascii_mbsinit
00007fff202112d1 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007fff2021137c (__TEXT,__text) non-external __ascii_wcrtomb
00007fff202113ab (__TEXT,__text) non-external __ascii_wcsnrtombs
00007fff201ea5a7 (__TEXT,__text) external __atexit_receipt
00007fff201e58b4 (__TEXT,__text) non-external __backtrace_snprintf
00007fff86f938c0 (__DATA_CONST,__const) external __c_locale
00007fff2021d782 (__TEXT,__text) external __cleanup
00007fff201ec5b8 (__TEXT,__text) external __closeutx
00007fff20243111 (__TEXT,__text) external __copyenv
00007fff8063ab80 (__DATA,__data) external __cthread_init_routine
00007fff20243191 (__TEXT,__text) external __deallocenvstate
00007fff201ee6de (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007fff8063a710 (__DATA,__data) non-external __dyld_private
00007fff8063d3b0 (__DATA,__common) non-external (was a private external) __e_err_exit
00007fff8063d3a8 (__DATA,__common) non-external (was a private external) __e_err_file
00007fff20206b63 (__TEXT,__text) non-external (was a private external) __e_visprintf
00007fff2024d4ca (__TEXT,__text) external __endutxent
00007fff202638e4 (__TEXT,__text) non-external __endutxent.cold.1
00007fff2026390c (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00007fff2025e0ff (__TEXT,__text) non-external (was a private external) __filldir
00007fff2020cb1f (__TEXT,__text) non-external (was a private external) __filldir$INODE64
00007fff2025e95d (__TEXT,__text) non-external (was a private external) __fixtelldir
00007fff2020f39e (__TEXT,__text) non-external (was a private external) __fixtelldir$INODE64
00007fff2021c276 (__TEXT,__text) external __flockfile_debug_stub
00007fff2021e846 (__TEXT,__text) external __fseeko
00007fff2021ed99 (__TEXT,__text) external __ftello
00007fff2021f27c (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00007fff2023e0df (__TEXT,__text) external __getenvp
00007fff2024d76d (__TEXT,__text) external __getutxent
00007fff20263934 (__TEXT,__text) non-external __getutxent.cold.1
00007fff2026395c (__TEXT,__text) non-external __getutxent.cold.2
00007fff2024d7e3 (__TEXT,__text) external __getutxid
00007fff20263984 (__TEXT,__text) non-external __getutxid.cold.1
00007fff202639ac (__TEXT,__text) non-external __getutxid.cold.2
00007fff2024d946 (__TEXT,__text) external __getutxline
00007fff202639d4 (__TEXT,__text) non-external __getutxline.cold.1
00007fff202639fc (__TEXT,__text) non-external __getutxline.cold.2
00007fff202196af (__TEXT,__text) external __inet_aton_check
00007fff201ea5ff (__TEXT,__text) external __init_clock_port
00007fff2023a096 (__TEXT,__text) external __int_to_time
00007fff20240775 (__TEXT,__text) non-external __isort
00007fff20241251 (__TEXT,__text) non-external __isort
00007fff20242aee (__TEXT,__text) non-external __legacy_crt1_environ
00007fff806064a8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00007fff806064a0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00007fff80606498 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00007fff201f37dd (__TEXT,__text) external __libc_fork_child
00007fff201f3b1c (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007fff201f3755 (__TEXT,__text) external __libc_initializer
00007fff2023a084 (__TEXT,__text) external __long_to_time
00007fff201e4f54 (__TEXT,__text) non-external __mach_boottime_usec
00007fff806064d8 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00007fff202203a4 (__TEXT,__text) non-external __mkdtemp_action
00007fff201f3c67 (__TEXT,__text) non-external __mkfilex_np
00007fff2022018a (__TEXT,__text) non-external __mkostemps_action
00007fff201f27b0 (__TEXT,__text) non-external __mkpath
00007fff201f2799 (__TEXT,__text) external __mkpath_np
00007fff20220544 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007fff202630b8 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007fff2022040c (__TEXT,__text) external __mktemp
00007fff2022044d (__TEXT,__text) non-external __mktemp_action
00007fff20215a73 (__TEXT,__text) non-external (was a private external) __none_init
00007fff20215ac0 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007fff20215aec (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007fff20215af7 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007fff20215b8a (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007fff20215bb9 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00007fff8063cfc0 (__DATA,__bss) non-external __onlyClocaleconv
00007fff201ec507 (__TEXT,__text) external __openutx
00007fff201f5247 (__TEXT,__text) non-external __os_abort_on_assumes
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007fff20261e2e (__TEXT,__text) external __os_assert_log
00007fff2026239c (__TEXT,__text) external __os_assert_log_ctx
00007fff20261b50 (__TEXT,__text) external __os_assumes_log
00007fff202620f3 (__TEXT,__text) external __os_assumes_log_ctx
00007fff201f5165 (__TEXT,__text) external __os_avoid_tail_call
00007fff20261b07 (__TEXT,__text) external __os_crash
00007fff8063d3a0 (__DATA,__common) external __os_crash_callback
00007fff201f50cb (__TEXT,__text) external __os_crash_fmt
00007fff20262628 (__TEXT,__text) non-external __os_crash_fmt.cold.1
00007fff20261881 (__TEXT,__text) external __os_debug_log
00007fff2026179c (__TEXT,__text) external __os_debug_log_error_str
00007fff201ec6ab (__TEXT,__text) non-external __os_debug_log_init
00007fff201ec878 (__TEXT,__text) non-external __os_debug_log_open_file
00007fff201ec62b (__TEXT,__text) non-external __os_debug_log_write_error
                 (undefined) external __os_log_pack_fill (from libsystem_trace)
                 (undefined) external __os_log_pack_size (from libsystem_trace)
00007fff201f516b (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_once (from libsystem_platform)
00007fff20242b11 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007fff20242c19 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007fff20242ba3 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007fff86f93b00 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007fff20268220 (__TEXT,__cstring) non-external __printf_tbl_flags
00007fff201f3ae0 (__TEXT,__text) non-external (was a private external) __program_vars_init
00007fff202469e1 (__TEXT,__text) non-external __psort
00007fff20247533 (__TEXT,__text) non-external __psort
00007fff202480e8 (__TEXT,__text) non-external __psort
00007fff202635d3 (__TEXT,__text) non-external __psort.cold.1
00007fff2026360f (__TEXT,__text) non-external __psort.cold.1
00007fff2026364b (__TEXT,__text) non-external __psort.cold.1
00007fff2024698c (__TEXT,__text) non-external __psort_parallel
00007fff202474de (__TEXT,__text) non-external __psort_parallel
00007fff2024808e (__TEXT,__text) non-external __psort_parallel
00007fff2023fde4 (__TEXT,__text) external __putenvp
00007fff2024da1c (__TEXT,__text) external __pututxline
00007fff20263a24 (__TEXT,__text) non-external __pututxline.cold.1
00007fff20263a4c (__TEXT,__text) non-external __pututxline.cold.2
00007fff201eb20f (__TEXT,__text) non-external __pwuid_r
00007fff2023ff1b (__TEXT,__text) non-external __qsort
00007fff20240958 (__TEXT,__text) non-external __qsort
00007fff8063a890 (__DATA,__data) external __rand48_add
00007fff8063a888 (__DATA,__data) external __rand48_mult
00007fff8063a880 (__DATA,__data) external __rand48_seed
00007fff2025e39c (__TEXT,__text) external __readdir_unlocked
00007fff2020d228 (__TEXT,__text) external __readdir_unlocked$INODE64
00007fff2020f3cf (__TEXT,__text) external __reclaim_telldir
00007fff201ef2e1 (__TEXT,__text) non-external __releaselocale
00007fff202662d4 (__TEXT,__const) non-external (was a private external) __rp_alist
00007fff80607de8 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00007fff2025e8c4 (__TEXT,__text) external __seekdir
00007fff2020f2fa (__TEXT,__text) external __seekdir$INODE64
00007fff202431d3 (__TEXT,__text) external __setenvp
00007fff2024d3e8 (__TEXT,__text) external __setutxent
00007fff20263898 (__TEXT,__text) non-external __setutxent.cold.1
00007fff202638be (__TEXT,__text) non-external __setutxent.cold.2
00007fff201f4273 (__TEXT,__text) external __sigaction_nobind
00007fff8063d3d0 (__DATA,__common) external __sigintr
00007fff2020e6ab (__TEXT,__text) external __signal_nobind
00007fff201e4b85 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_asl_msg_set (from libsystem_platform)
                 (undefined) external __simple_asl_send (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007fff2020e463 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007fff20223ff5 (__TEXT,__text) external __sread
00007fff202240f8 (__TEXT,__text) external __sseek
00007fff20237129 (__TEXT,__text) non-external (was a private external) __st_fmt
00007fff201f14cc (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007fff20235470 (__TEXT,__text) non-external (was a private external) __st_localsub
00007fff201f14d9 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007fff20235e4e (__TEXT,__text) non-external (was a private external) __st_time1
00007fff20233f7f (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007fff2024e0f9 (__TEXT,__text) non-external __strfmon
00007fff20238433 (__TEXT,__text) non-external __strptime0
00007fff202660c0 (__TEXT,__const) non-external __strptime0.start_of_month
00007fff201f0db0 (__TEXT,__text) external __subsystem_init
00007fff20224052 (__TEXT,__text) external __swrite
00007fff201eaed0 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007fff2023a057 (__TEXT,__text) external __time32_to_time
00007fff2023a069 (__TEXT,__text) external __time64_to_time
00007fff2023a08d (__TEXT,__text) external __time_to_int
00007fff2023a07b (__TEXT,__text) external __time_to_long
00007fff2023a060 (__TEXT,__text) external __time_to_time32
00007fff2023a072 (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
00007fff20243251 (__TEXT,__text) external __unsetenvp
00007fff201ec43e (__TEXT,__text) non-external (was a private external) __utmpx32_64
00007fff201ec4a3 (__TEXT,__text) non-external (was a private external) __utmpx64_32
00007fff201eb472 (__TEXT,__text) non-external (was a private external) __utmpx_asl
00007fff202663d1 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00007fff201eb8bf (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00007fff8063c820 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00007fff2024dee2 (__TEXT,__text) external __utmpxname
00007fff20263a74 (__TEXT,__text) non-external __utmpxname.cold.1
00007fff20263a9c (__TEXT,__text) non-external __utmpxname.cold.2
00007fff20224b7f (__TEXT,__text) non-external (was a private external) __vasprintf
00007fff20224db0 (__TEXT,__text) non-external (was a private external) __vdprintf
00007fff2023289a (__TEXT,__text) non-external (was a private external) __vsnprintf
00007fff202381f4 (__TEXT,__text) non-external __yconv
00007fff2023d969 (__TEXT,__text) external _a64l
00007fff20264ce0 (__TEXT,__const) non-external _a64toi
00007fff20263389 (__TEXT,__text) external _abort
00007fff202634c0 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
00007fff2023d9fb (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007fff201efc6b (__TEXT,__text) external _acl_add_flag_np
00007fff201efd21 (__TEXT,__text) external _acl_add_perm
00007fff201ef5f9 (__TEXT,__text) external _acl_calc_mask
00007fff201efc75 (__TEXT,__text) external _acl_clear_flags_np
00007fff201efd45 (__TEXT,__text) external _acl_clear_perms
00007fff201ef60f (__TEXT,__text) external _acl_copy_entry
00007fff201efe90 (__TEXT,__text) external _acl_copy_ext
00007fff201effb5 (__TEXT,__text) external _acl_copy_ext_native
00007fff201f0083 (__TEXT,__text) external _acl_copy_int
00007fff201f011f (__TEXT,__text) external _acl_copy_int_native
00007fff201ef746 (__TEXT,__text) external _acl_create_entry
00007fff201ef674 (__TEXT,__text) external _acl_create_entry_np
00007fff201efc55 (__TEXT,__text) external _acl_delete_def_file
00007fff201ef755 (__TEXT,__text) external _acl_delete_entry
00007fff201ef991 (__TEXT,__text) external _acl_delete_fd_np
00007fff201ef9a7 (__TEXT,__text) external _acl_delete_file_np
00007fff201efc83 (__TEXT,__text) external _acl_delete_flag_np
00007fff201ef9bd (__TEXT,__text) external _acl_delete_link_np
00007fff201efd53 (__TEXT,__text) external _acl_delete_perm
00007fff201ef4b8 (__TEXT,__text) external _acl_dup
00007fff86f938d0 (__DATA_CONST,__const) non-external _acl_flags
00007fff201ef510 (__TEXT,__text) external _acl_free
00007fff201f01ae (__TEXT,__text) external _acl_from_text
00007fff201ef81b (__TEXT,__text) external _acl_get_entry
00007fff201ef9d3 (__TEXT,__text) external _acl_get_fd
00007fff201ef9e2 (__TEXT,__text) external _acl_get_fd_np
00007fff201efa5e (__TEXT,__text) external _acl_get_file
00007fff201efa6d (__TEXT,__text) non-external _acl_get_file1
00007fff201efc8f (__TEXT,__text) external _acl_get_flag_np
00007fff201efc9c (__TEXT,__text) external _acl_get_flagset_np
00007fff201efafa (__TEXT,__text) external _acl_get_link_np
00007fff201efd79 (__TEXT,__text) external _acl_get_perm_np
00007fff201efda0 (__TEXT,__text) external _acl_get_permset
00007fff201efe17 (__TEXT,__text) external _acl_get_permset_mask_np
00007fff201ef883 (__TEXT,__text) external _acl_get_qualifier
00007fff201ef8de (__TEXT,__text) external _acl_get_tag_type
00007fff201ef523 (__TEXT,__text) external _acl_init
00007fff201efe08 (__TEXT,__text) external _acl_maximal_permset_mask_np
00007fff86f93990 (__DATA_CONST,__const) non-external _acl_perms
00007fff201efb73 (__TEXT,__text) external _acl_set_fd
00007fff201efb06 (__TEXT,__text) external _acl_set_fd_np
00007fff201efb7d (__TEXT,__text) external _acl_set_file
00007fff201efcdf (__TEXT,__text) external _acl_set_flagset_np
00007fff201efbea (__TEXT,__text) external _acl_set_link_np
00007fff201efdd5 (__TEXT,__text) external _acl_set_permset
00007fff201efe4b (__TEXT,__text) external _acl_set_permset_mask_np
00007fff201ef911 (__TEXT,__text) external _acl_set_qualifier
00007fff201ef958 (__TEXT,__text) external _acl_set_tag_type
00007fff201eff6b (__TEXT,__text) external _acl_size
00007fff201f0855 (__TEXT,__text) external _acl_to_text
00007fff201ef58b (__TEXT,__text) external _acl_valid
00007fff201ef5b7 (__TEXT,__text) external _acl_valid_fd_np
00007fff201ef5cd (__TEXT,__text) external _acl_valid_file_np
00007fff201ef5e3 (__TEXT,__text) external _acl_valid_link
00007fff2020e3a4 (__TEXT,__text) non-external _addcmd
00007fff20219539 (__TEXT,__text) external _addr2ascii
00007fff8063d1a8 (__DATA,__bss) non-external _addr2ascii.staticbuf
00007fff201e96d2 (__TEXT,__text) non-external _advance_directory
00007fff2026060b (__TEXT,__text) non-external _advance_directory
00007fff20261787 (__TEXT,__text) non-external _advance_directory.cold.1
00007fff20263b44 (__TEXT,__text) non-external _advance_directory.cold.1
00007fff20206441 (__TEXT,__text) external _alarm
00007fff201f96a8 (__TEXT,__text) non-external _alloc_segs
00007fff2025e7c7 (__TEXT,__text) external _alphasort
00007fff2020dcbb (__TEXT,__text) external _alphasort$INODE64
00007fff20266200 (__TEXT,__const) non-external _ambig
00007fff202064e7 (__TEXT,__text) non-external _arc4_init
00007fff20206496 (__TEXT,__text) external _arc4random
00007fff20206490 (__TEXT,__text) external _arc4random_addrandom
00007fff202064bf (__TEXT,__text) external _arc4random_buf
00007fff20206596 (__TEXT,__text) external _arc4random_stir
00007fff2020659c (__TEXT,__text) external _arc4random_uniform
00007fff8063d340 (__DATA,__bss) non-external _arg_type_queue
00007fff2024b947 (__TEXT,__text) non-external (was a private external) _arrayfree
00007fff2024c2c4 (__TEXT,__text) non-external _arrayget
00007fff202195d7 (__TEXT,__text) external _ascii2addr
00007fff20233ce4 (__TEXT,__text) external _asctime
00007fff20233bac (__TEXT,__text) external _asctime_r
00007fff20265fd0 (__TEXT,__const) non-external _asctime_r.mon_name
00007fff20265fb0 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00007fff2021c2de (__TEXT,__text) external _asprintf
00007fff2021c39c (__TEXT,__text) external _asprintf_l
00007fff201f14e6 (__TEXT,__text) external _asxprintf
00007fff201f1f58 (__TEXT,__text) external _asxprintf_exec
00007fff2023da39 (__TEXT,__text) external _atexit
00007fff2023db88 (__TEXT,__text) external _atexit_b
00007fff80605218 (__DATA_DIRTY,__data) non-external _atexit_mutex
00007fff2023da7a (__TEXT,__text) non-external _atexit_register
00007fff20263571 (__TEXT,__text) non-external _atexit_register.cold.1
00007fff2023ddd8 (__TEXT,__text) external _atof
00007fff2023de02 (__TEXT,__text) external _atof_l
00007fff2023de11 (__TEXT,__text) external _atoi
00007fff2023de40 (__TEXT,__text) external _atoi_l
00007fff2023de54 (__TEXT,__text) external _atol
00007fff2023de83 (__TEXT,__text) external _atol_l
00007fff2023de97 (__TEXT,__text) external _atoll
00007fff2023dec6 (__TEXT,__text) external _atoll_l
00007fff201e56b0 (__TEXT,__text) external _backtrace
00007fff201e56ff (__TEXT,__text) external _backtrace_from_fp
00007fff201e5b08 (__TEXT,__text) external _backtrace_image_offsets
00007fff201e574d (__TEXT,__text) external _backtrace_symbols
00007fff201e5a26 (__TEXT,__text) external _backtrace_symbols_fd
00007fff20206689 (__TEXT,__text) external _basename
00007fff80606528 (__DATA_DIRTY,__bss) non-external _basename.bname
00007fff202065d0 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00007fff201ed836 (__TEXT,__text) external _bcopy
00007fff20265e30 (__TEXT,__const) non-external _blanks
00007fff20265f00 (__TEXT,__const) non-external _blanks
00007fff8063ac70 (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
00007fff201ea7f0 (__TEXT,__text) non-external _both_ftw
00007fff202606a4 (__TEXT,__text) non-external _both_ftw
00007fff8063c7a8 (__DATA,__bss) non-external _brapreg
00007fff201e5346 (__TEXT,__text) external _brk
00007fff201e535e (__TEXT,__text) external _bsd_signal
00007fff2023deda (__TEXT,__text) external _bsearch
00007fff2023df41 (__TEXT,__text) external _bsearch_b
00007fff201f88ac (__TEXT,__text) non-external _bt_broot
00007fff201f8601 (__TEXT,__text) non-external _bt_page
00007fff201f89e7 (__TEXT,__text) non-external _bt_preserve
00007fff201f8a27 (__TEXT,__text) non-external _bt_psplit
