00007ffa42eedef0 (__DATA,__data) non-external _.compoundliteral
                 (undefined) external ___strncpy_chk (from libSystem)
00007ffa183162bc (__TEXT,__text) non-external ___yyuserAction_block_invoke
00007ffa183163b8 (__TEXT,__text) non-external ___yyuserAction_block_invoke.10
00007ffa18316586 (__TEXT,__text) non-external ___yyuserAction_block_invoke.15
00007ffa1831665a (__TEXT,__text) non-external ___yyuserAction_block_invoke.17
00007ffa1831630c (__TEXT,__text) non-external ___yyuserAction_block_invoke_2
00007ffa182ccbf4 (__TEXT,__text) non-external __atomicizeArgs
00007ffa182be9af (__TEXT,__text) non-external __canCall
00007ffa182cb823 (__TEXT,__text) non-external __checkAndSanitizeComponentwiseConstructorCall
00007ffa182cbf5b (__TEXT,__text) non-external __checkAndSanitizeDiagonalMatrixConstructorCall
00007ffa182cbc55 (__TEXT,__text) non-external __checkAndSanitizeSplat
00007ffa182cc201 (__TEXT,__text) non-external __checkAndSanitizeSubOrSuperMatrixConstructorCall
00007ffa182cc697 (__TEXT,__text) non-external __checkConstructorArgs
00007ffa182cce3d (__TEXT,__text) non-external __componentwiseConstructor
00007ffa182cad64 (__TEXT,__text) non-external __constructor
00007ffa182cccdf (__TEXT,__text) non-external __convertAccesses
00007ffa182c8f75 (__TEXT,__text) non-external __eachPrimitiveComponent
00007ffa182c0b95 (__TEXT,__text) non-external __elementCount
00007ffa182c0bce (__TEXT,__text) non-external __elementType
00007ffa182cd269 (__TEXT,__text) non-external __elementwiseConstructor
00007ffa182a2a2b (__TEXT,__text) non-external __fixInterpolateAt
00007ffa182a2abc (__TEXT,__text) non-external __fixInterpolateAtInPPStreamOp
00007ffa182c13f2 (__TEXT,__text) non-external __formatPrecisionToStringBuffer
00007ffa182755dd (__TEXT,__text) non-external __glpDataHashRealPut
00007ffa18275549 (__TEXT,__text) non-external __glpDataHashRehash
00007ffa18274fc4 (__TEXT,__text) non-external __glpIntHashRealPut
00007ffa18274f35 (__TEXT,__text) non-external __glpIntHashRehash
00007ffa18274cbc (__TEXT,__text) non-external __glpPointerHashRealPut
00007ffa18274c26 (__TEXT,__text) non-external __glpPointerHashRehash
00007ffa1829edb9 (__TEXT,__text) non-external (was a private external) __glpSetCrashLogMessage
00007ffa1834bf20 (__TEXT,__text) non-external __glpSetCrashLogMessage.cold.1
00007ffa182748e0 (__TEXT,__text) non-external __glpStringHashRealPut
00007ffa1827484c (__TEXT,__text) non-external __glpStringHashRehash
00007ffa182752d7 (__TEXT,__text) non-external __glpTypedValueHashRealPut
00007ffa18275243 (__TEXT,__text) non-external __glpTypedValueHashRehash
                 (undefined) external __longjmp (from libSystem)
00007ffa182ccacc (__TEXT,__text) non-external __makeArgsAccessible
00007ffa182bed45 (__TEXT,__text) non-external __makeConversions
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
00007ffa182bf093 (__TEXT,__text) non-external __primitiveStructuresMatch
00007ffa41d28630 (__DATA_CONST,__const) non-external __primitive_types_storage
                 (undefined) external __setjmp (from libSystem)
00007ffa182a2cd6 (__TEXT,__text) non-external __slotInLocationForOffsetIntoUserIn
00007ffa182cb4d4 (__TEXT,__text) non-external __tempForExpr
                 (undefined) external _abort (from libSystem)
00007ffa182b5557 (__TEXT,__text) non-external _aborting_due_to_builtin_read_failure_suggesting_corrupt_os_installation
00007ffa182b554e (__TEXT,__text) non-external _aborting_due_to_invalid_builtin_contents_suggesting_corrupt_os_installation
                 (undefined) external _abs (from libSystem)
                 (undefined) external _acosf (from libSystem)
                 (undefined) external _acoshf (from libSystem)
00007ffa1827a7c4 (__TEXT,__text) non-external _addArrayHelper
00007ffa1827c536 (__TEXT,__text) non-external _addBindingsForGLPType
00007ffa1827aaa3 (__TEXT,__text) non-external _addConstantsForGLPType
00007ffa1827a83d (__TEXT,__text) non-external _addConstantsForGLPValue
00007ffa18316205 (__TEXT,__text) non-external _addFields
00007ffa182aefc7 (__TEXT,__text) non-external _addPPDrawBuffersToLayout
00007ffa182a3390 (__TEXT,__text) non-external _addPair
00007ffa1827a648 (__TEXT,__text) non-external _addTempsForGLPPrimitiveType
00007ffa1827aede (__TEXT,__text) non-external _addTempsForGLPType
00007ffa1827c88c (__TEXT,__text) non-external _addUniformsForGLPType
00007ffa1827cb52 (__TEXT,__text) non-external _addUniformsForType
00007ffa182c8ec8 (__TEXT,__text) non-external _aggregateGutsEqual
00007ffa182ad3dc (__TEXT,__text) non-external _allocateAttribForSize
00007ffa182af069 (__TEXT,__text) non-external _allocateOutputForSize
00007ffa182b3564 (__TEXT,__text) non-external _allocateSlotsWithGLPType
00007ffa182745af (__TEXT,__text) non-external _analytics_send_event_lazy_func
00007ffa42ef25a8 (__DATA,__bss) non-external _analytics_send_event_lazy_func.analytics_send_event_lazy_f
00007ffa42ef25b0 (__DATA,__bss) non-external _analytics_send_event_lazy_func.once_token
00007ffa182f5d94 (__TEXT,__text) non-external _apiName
00007ffa182c94a7 (__TEXT,__text) non-external _appendTypeName
00007ffa18275e40 (__TEXT,__text) non-external _applevec4ArrayStrideForElementType
00007ffa18275e2f (__TEXT,__text) non-external _applevec4MatrixStride
00007ffa18275e55 (__TEXT,__text) non-external _applevec4MinimumStructAlignment
00007ffa18275e4a (__TEXT,__text) non-external _applevec4SizeToBytes
00007ffa18275e24 (__TEXT,__text) non-external _applevec4TypeAlign
00007ffa18275ce2 (__TEXT,__text) non-external _applevec4TypeSize
00007ffa1827c3ed (__TEXT,__text) non-external _applySAFlagsToToken
00007ffa1831667f (__TEXT,__text) non-external _arrayify
                 (undefined) external _asinf (from libSystem)
                 (undefined) external _asinhf (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _atanf (from libSystem)
                 (undefined) external _atanhf (from libSystem)
00007ffa41d28310 (__DATA_CONST,__const) non-external (was a private external) _binop
00007ffa42ef29e0 (__DATA,__bss) non-external _builtInsArchives
00007ffa182d104c (__TEXT,__text) non-external _byte_scan
00007ffa182a0ca8 (__TEXT,__text) non-external _bytesPerComponent
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _ceil (from libSystem)
                 (undefined) external _ceilf (from libSystem)
00007ffa1827b5ac (__TEXT,__text) non-external _cgDeclareVariableObject
00007ffa1827cce3 (__TEXT,__text) non-external _cgDerefNode
00007ffa182f5f2f (__TEXT,__text) non-external _checkBarrier
00007ffa182d08e1 (__TEXT,__text) non-external _checkReservedName
00007ffa182b40ce (__TEXT,__text) non-external _compareVariableObjectsLocationFirstNameSecond
00007ffa1829fb5a (__TEXT,__text) non-external _compilerRemapFixup
00007ffa182b3ece (__TEXT,__text) non-external _componentCountForSet
00007ffa182ab4ad (__TEXT,__text) non-external _copyOutBeforeReturnsIn
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _coshf (from libSystem)
00007ffa182a0b2f (__TEXT,__text) non-external _countComponents
00007ffa1831f083 (__TEXT,__text) non-external (was a private external) _defaultEqualsFunction
00007ffa1831f076 (__TEXT,__text) non-external (was a private external) _defaultHashFunction
00007ffa182c3578 (__TEXT,__text) non-external (was a private external) _deserialErrorString
00007ffa182df6d2 (__TEXT,__text) non-external _deserializeASTFields
00007ffa182dcb89 (__TEXT,__text) non-external _deserializeAssignFields
00007ffa182de230 (__TEXT,__text) non-external _deserializeBlockFields
00007ffa182dfc20 (__TEXT,__text) non-external _deserializeCallFields
00007ffa182de3fc (__TEXT,__text) non-external _deserializeCaseStatementFields
00007ffa182dcc8d (__TEXT,__text) non-external _deserializeCommaExprFields
00007ffa182dc96a (__TEXT,__text) non-external _deserializeConstantFields
00007ffa182de444 (__TEXT,__text) non-external _deserializeDefaultStatementFields
00007ffa182dcaf9 (__TEXT,__text) non-external _deserializeEqualFields
00007ffa182dca16 (__TEXT,__text) non-external _deserializeFieldAccessFields
00007ffa182dd678 (__TEXT,__text) non-external _deserializeFieldDeclarationFields
00007ffa182dca3d (__TEXT,__text) non-external _deserializeFunctionCallFields
00007ffa182dcec6 (__TEXT,__text) non-external _deserializeFunctionPrototypeFields
00007ffa182ddfd0 (__TEXT,__text) non-external _deserializeGlobalTypeQualifierFields
00007ffa182dee54 (__TEXT,__text) non-external _deserializeIBPartialDerefFields
00007ffa182dd6c6 (__TEXT,__text) non-external _deserializeInterfaceBlockFields
00007ffa182dd940 (__TEXT,__text) non-external _deserializeKeywordQualifierFields
00007ffa182dec58 (__TEXT,__text) non-external _deserializeLValueFields
00007ffa182de02e (__TEXT,__text) non-external _deserializeLayoutPairFields
00007ffa182ddae4 (__TEXT,__text) non-external _deserializeLayoutQualifierFields
00007ffa182dd79d (__TEXT,__text) non-external _deserializeLayoutTypeFields
00007ffa182dcad2 (__TEXT,__text) non-external _deserializeMethodCallFields
00007ffa182dcb41 (__TEXT,__text) non-external _deserializeNotEqualFields
00007ffa182de75c (__TEXT,__text) non-external _deserializeOffsetFields
00007ffa182deeb2 (__TEXT,__text) non-external _deserializePPStreamOpFields
00007ffa182dce58 (__TEXT,__text) non-external _deserializeParameterDeclarationFields
00007ffa182dd4d4 (__TEXT,__text) non-external _deserializePrimitiveTypeFields
00007ffa182dd308 (__TEXT,__text) non-external _deserializeQualifiedDeclarationFields
00007ffa182dd32f (__TEXT,__text) non-external _deserializeQualifiedDeclarationGroupFields
00007ffa182dde2c (__TEXT,__text) non-external _deserializeQualifierListFields
00007ffa182de690 (__TEXT,__text) non-external _deserializeRawCallFields
00007ffa182dcbd1 (__TEXT,__text) non-external _deserializeReadInputFields
00007ffa182de48c (__TEXT,__text) non-external _deserializeReturnStatementFields
00007ffa182dd69f (__TEXT,__text) non-external _deserializeStructTypeFields
00007ffa182dfdc4 (__TEXT,__text) non-external _deserializeStructureFields
00007ffa182dcaab (__TEXT,__text) non-external _deserializeSubroutineArrayCallFields
00007ffa182de6fe (__TEXT,__text) non-external _deserializeSubroutineRawCallFields
00007ffa182ddc88 (__TEXT,__text) non-external _deserializeSubroutineTypeListFields
00007ffa182df674 (__TEXT,__text) non-external _deserializeSubroutineUniformFields
00007ffa182de4ea (__TEXT,__text) non-external _deserializeTopLevelFields
00007ffa182dc6f8 (__TEXT,__text) non-external _deserializeTypeConversionFields
00007ffa182dc943 (__TEXT,__text) non-external _deserializeTypeIdentifierFields
00007ffa182dd0c4 (__TEXT,__text) non-external _deserializeVariableDeclarationFields
00007ffa182dd163 (__TEXT,__text) non-external _deserializeVariableDeclarationGroupFields
00007ffa182dc91c (__TEXT,__text) non-external _deserializeVariableIdentifierFields
00007ffa182dcc2f (__TEXT,__text) non-external _deserializeWriteOutputFields
00007ffa182d8c18 (__TEXT,__text) non-external (was a private external) _deserialize_GLPNameTableEntry
00007ffa182c3ccc (__TEXT,__text) non-external (was a private external) _deserialize_GLPString
00007ffa182c36bd (__TEXT,__text) non-external (was a private external) _deserialize_double
00007ffa182c3683 (__TEXT,__text) non-external (was a private external) _deserialize_float
00007ffa182c36f7 (__TEXT,__text) non-external (was a private external) _deserialize_pointer
00007ffa182c8ca4 (__TEXT,__text) non-external _destroyAggregateType
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffa182cc98c (__TEXT,__text) non-external _doPrecisionWarningsForLowpInt
00007ffa42eedeb8 (__DATA,__data) non-external _eof_inputsrc
00007ffa182d0c78 (__TEXT,__text) non-external _eof_scan
00007ffa182d2928 (__TEXT,__text) non-external _eof_scan
00007ffa182d096f (__TEXT,__text) non-external _eval
00007ffa1827b264 (__TEXT,__text) non-external _evalOffsetExtraOfOffset
                 (undefined) external _exp2f (from libSystem)
                 (undefined) external _expf (from libSystem)
                 (undefined) external _fabs (from libSystem)
                 (undefined) external _fclose (from libSystem)
00007ffa182c0c6c (__TEXT,__text) non-external _flattenCommaTreeInto
                 (undefined) external _floor (from libSystem)
                 (undefined) external _floorf (from libSystem)
00007ffa182f71f7 (__TEXT,__text) non-external _foldAdd
00007ffa182f6de6 (__TEXT,__text) non-external _foldArrayAccess
00007ffa182f78c3 (__TEXT,__text) non-external _foldArrayType
00007ffa182f74b0 (__TEXT,__text) non-external _foldAssign
00007ffa182f7d3b (__TEXT,__text) non-external _foldAvailabilityDeclaration
00007ffa182f740c (__TEXT,__text) non-external _foldBitwiseAnd
00007ffa182f7435 (__TEXT,__text) non-external _foldBitwiseOr
00007ffa182f745e (__TEXT,__text) non-external _foldBitwiseXor
00007ffa182f7aaf (__TEXT,__text) non-external _foldBlock
00007ffa182f7c6e (__TEXT,__text) non-external _foldBreakStatement
00007ffa182f7c1c (__TEXT,__text) non-external _foldCaseStatement
00007ffa182f75b7 (__TEXT,__text) non-external _foldCommaExpr
00007ffa182f6d98 (__TEXT,__text) non-external _foldConstant
00007ffa182f6edc (__TEXT,__text) non-external _foldConstructorCall
00007ffa182f7c97 (__TEXT,__text) non-external _foldContinueStatement
00007ffa182f7c45 (__TEXT,__text) non-external _foldDefaultStatement
00007ffa182f9a54 (__TEXT,__text) non-external _foldDerefNode
00007ffa182f7cc0 (__TEXT,__text) non-external _foldDiscardStatement
00007ffa182f71a5 (__TEXT,__text) non-external _foldDivide
00007ffa1827b4f7 (__TEXT,__text) non-external _foldDstSwizzleMaskForComp
00007ffa182f733f (__TEXT,__text) non-external _foldEqual
00007ffa182f7a86 (__TEXT,__text) non-external _foldExpressionStatement
00007ffa182f6e0f (__TEXT,__text) non-external _foldFieldAccess
00007ffa182f78ec (__TEXT,__text) non-external _foldFieldDeclaration
00007ffa182f6e61 (__TEXT,__text) non-external _foldFunctionCall
00007ffa182f7848 (__TEXT,__text) non-external _foldFunctionDefinition
00007ffa182f7667 (__TEXT,__text) non-external _foldFunctionPrototype
00007ffa182f7a34 (__TEXT,__text) non-external _foldGlobalTypeQualifier
00007ffa182f72ed (__TEXT,__text) non-external _foldGreater
00007ffa182f7316 (__TEXT,__text) non-external _foldGreaterEqual
00007ffa182f7ed3 (__TEXT,__text) non-external _foldIBPartialDeref
00007ffa182f7487 (__TEXT,__text) non-external _foldIfExpr
00007ffa182f7b13 (__TEXT,__text) non-external _foldIfStatement
00007ffa182f793e (__TEXT,__text) non-external _foldInterfaceBlock
00007ffa182f7990 (__TEXT,__text) non-external _foldKeywordQualifier
00007ffa182f7ddf (__TEXT,__text) non-external _foldLValue
00007ffa182f7a5d (__TEXT,__text) non-external _foldLayoutPair
00007ffa182f79b9 (__TEXT,__text) non-external _foldLayoutQualifier
00007ffa182f7967 (__TEXT,__text) non-external _foldLayoutType
00007ffa182f729b (__TEXT,__text) non-external _foldLess
00007ffa182f72c4 (__TEXT,__text) non-external _foldLessEqual
00007ffa182f7391 (__TEXT,__text) non-external _foldLogicalAnd
00007ffa182f73ba (__TEXT,__text) non-external _foldLogicalOr
00007ffa182f73e3 (__TEXT,__text) non-external _foldLogicalXor
00007ffa182f7b77 (__TEXT,__text) non-external _foldLoopStatement
00007ffa182f6eb3 (__TEXT,__text) non-external _foldMethodCall
00007ffa182f71ce (__TEXT,__text) non-external _foldModulo
00007ffa182f717c (__TEXT,__text) non-external _foldMultiply
00007ffa182f6fd2 (__TEXT,__text) non-external _foldNegate
00007ffa182f7368 (__TEXT,__text) non-external _foldNotEqual
00007ffa182f7db6 (__TEXT,__text) non-external _foldOffset
00007ffa182f753c (__TEXT,__text) non-external _foldOpAssign
00007ffa182f7efc (__TEXT,__text) non-external _foldPPStreamOp
00007ffa182f763e (__TEXT,__text) non-external _foldParameterDeclaration
00007ffa182f6f2e (__TEXT,__text) non-external _foldPostdecrement
00007ffa182f6f05 (__TEXT,__text) non-external _foldPostincrement
00007ffa182f77cd (__TEXT,__text) non-external _foldPrecisionDeclaration
00007ffa182f6f80 (__TEXT,__text) non-external _foldPredecrement
00007ffa182f6f57 (__TEXT,__text) non-external _foldPreincrement
00007ffa182f789a (__TEXT,__text) non-external _foldPrimitiveType
00007ffa182f77f6 (__TEXT,__text) non-external _foldQualifiedDeclaration
00007ffa182f781f (__TEXT,__text) non-external _foldQualifiedDeclarationGroup
00007ffa182f7871 (__TEXT,__text) non-external _foldQualifiedType
00007ffa182f7a0b (__TEXT,__text) non-external _foldQualifierList
00007ffa182f7e45 (__TEXT,__text) non-external _foldRValue
00007ffa182f7d64 (__TEXT,__text) non-external _foldRawCall
00007ffa182f7565 (__TEXT,__text) non-external _foldReadInput
00007ffa182f7ce9 (__TEXT,__text) non-external _foldReturnStatement
00007ffa182f7249 (__TEXT,__text) non-external _foldShiftLeft
00007ffa182f7272 (__TEXT,__text) non-external _foldShiftRight
00007ffa182f7915 (__TEXT,__text) non-external _foldStructType
00007ffa182f6e8a (__TEXT,__text) non-external _foldSubroutineArrayCall
00007ffa182f7d8d (__TEXT,__text) non-external _foldSubroutineRawCall
00007ffa182f79e2 (__TEXT,__text) non-external _foldSubroutineTypeList
00007ffa182f82f2 (__TEXT,__text) non-external _foldSubroutineUniform
00007ffa182f7220 (__TEXT,__text) non-external _foldSubtract
00007ffa182f7ba0 (__TEXT,__text) non-external _foldSwitchStatement
00007ffa182f7d12 (__TEXT,__text) non-external _foldTopLevel
00007ffa182f6b18 (__TEXT,__text) non-external _foldTypeConversion
00007ffa182f6d6f (__TEXT,__text) non-external _foldTypeIdentifier
00007ffa182f84fb (__TEXT,__text) non-external _foldUnaryOperator
00007ffa182f6fa9 (__TEXT,__text) non-external _foldUnaryPlus
00007ffa182f6e38 (__TEXT,__text) non-external _foldUndeterminedCall
00007ffa182f7690 (__TEXT,__text) non-external _foldVariableDeclaration
00007ffa182f77a4 (__TEXT,__text) non-external _foldVariableDeclarationGroup
00007ffa182f6d46 (__TEXT,__text) non-external _foldVariableIdentifier
00007ffa182f758e (__TEXT,__text) non-external _foldWriteOutput
00007ffa41d278b0 (__DATA_CONST,__const) non-external (was a private external) _fpDclList
                 (undefined) external _fprintf_l (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _frexp (from libSystem)
                 (undefined) external _frexpf (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa42ef2540 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00007ffa182aafdb (__TEXT,__text) non-external _generateSlotVars
00007ffa182f6110 (__TEXT,__text) non-external _genericCheckKidsBarrier
00007ffa182cb658 (__TEXT,__text) non-external _getAccessorReplaceCallback
00007ffa182b50d1 (__TEXT,__text) non-external _getAndRemapBuiltinFromScope
00007ffa182c4eca (__TEXT,__text) non-external _getBindableUniformLocationInfo
00007ffa182c4be1 (__TEXT,__text) non-external _getBindingInfo
00007ffa182c74d4 (__TEXT,__text) non-external _getBindingInfoForType
00007ffa182b320e (__TEXT,__text) non-external _getInputOutputBitsType
00007ffa182c218f (__TEXT,__text) non-external _getPrecisionFlagsFromArgs
00007ffa182c5285 (__TEXT,__text) non-external _getString
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getsectiondata (from libSystem)
00007ffa181f0ca3 (__TEXT,__text) non-external _gl_atomic_add
00007ffa1832c560 (__TEXT,__text) non-external (was a private external) _gleAttribBindingSize
00007ffa1832c5d9 (__TEXT,__text) non-external (was a private external) _gleCopyAttribBindings
00007ffa1832c56d (__TEXT,__text) non-external (was a private external) _gleCopyParamBindings
00007ffa18349df4 (__TEXT,__text) non-external _gleFStateProgram_AddAttribs
00007ffa18345055 (__TEXT,__text) non-external _gleFStateProgram_AddPPStreamOperation
00007ffa1834a0b0 (__TEXT,__text) non-external _gleFStateProgram_AddParams
00007ffa1834a276 (__TEXT,__text) non-external _gleFStateProgram_AllocateAttribs
00007ffa18345064 (__TEXT,__text) non-external _gleFStateProgram_Core
00007ffa18349cb0 (__TEXT,__text) non-external _gleFStateProgram_End
00007ffa1834a270 (__TEXT,__text) non-external _gleFStateProgram_LLVMAddOperation
00007ffa1834a98d (__TEXT,__text) non-external _gleStateProgram_ASSERT
00007ffa1834a804 (__TEXT,__text) non-external _gleStateProgram_A_MODULATE
00007ffa1834a993 (__TEXT,__text) non-external _gleStateProgram_A_REPLACE
00007ffa41d2b440 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsA
00007ffa41d2b4d0 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsI
00007ffa41d2b470 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsL
00007ffa41d2b4a0 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsLA
00007ffa41d2b500 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGB
00007ffa41d2b530 (__DATA_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGBA
00007ffa1834aaac (__TEXT,__text) non-external _gleStateProgram_CheckDestInit
00007ffa1834bb9a (__TEXT,__text) non-external _gleStateProgram_I_ADD
00007ffa1834b9ea (__TEXT,__text) non-external _gleStateProgram_I_BLEND
00007ffa1834b6c8 (__TEXT,__text) non-external _gleStateProgram_RGBA_ADD
00007ffa1834b37f (__TEXT,__text) non-external _gleStateProgram_RGBA_BLEND
00007ffa1834bd2b (__TEXT,__text) non-external _gleStateProgram_RGBA_DECAL
00007ffa1834b20a (__TEXT,__text) non-external _gleStateProgram_RGBA_MODULATE
00007ffa1834b061 (__TEXT,__text) non-external _gleStateProgram_RGB_ADD
00007ffa1834ad7d (__TEXT,__text) non-external _gleStateProgram_RGB_BLEND
00007ffa1834abf4 (__TEXT,__text) non-external _gleStateProgram_RGB_MODULATE
00007ffa1834af48 (__TEXT,__text) non-external _gleStateProgram_RGB_REPLACE
00007ffa1834a551 (__TEXT,__text) non-external _gleStateProgram_TextureSampleOp
00007ffa183314c4 (__TEXT,__text) non-external _gleVStateProgram_AddAttribs
00007ffa1832cd40 (__TEXT,__text) non-external _gleVStateProgram_AddPPStreamOperation
00007ffa183317e0 (__TEXT,__text) non-external _gleVStateProgram_AddParams
00007ffa183321ba (__TEXT,__text) non-external _gleVStateProgram_AllocateOutputs
00007ffa1832cd4f (__TEXT,__text) non-external _gleVStateProgram_Core
00007ffa18332428 (__TEXT,__text) non-external _gleVStateProgram_GetAttrib
00007ffa183321b4 (__TEXT,__text) non-external _gleVStateProgram_IgnoreOption
00007ffa18332422 (__TEXT,__text) non-external _gleVStateProgram_LLVMAddOperation
00007ffa183324c7 (__TEXT,__text) non-external _gleVStateProgram_LightingStage
00007ffa183441ba (__TEXT,__text) non-external _gleVStateProgram_MultMatrix3x3
00007ffa1834363c (__TEXT,__text) non-external _gleVStateProgram_MultMatrix4x4
00007ffa183447bf (__TEXT,__text) non-external _gleVStateProgram_NormalizeVector
                 (undefined) external _glgConvertPixelWidthToBlocks (from libGLImage)
                 (undefined) external _glgConvertType (from libGLImage)
                 (undefined) external _glgGetCompressedBlockBytes (from libGLImage)
                 (undefined) external _glgGetCompressedBlockHeight (from libGLImage)
                 (undefined) external _glgGetCompressedImageBytes (from libGLImage)
                 (undefined) external _glgGetPixelSize (from libGLImage)
                 (undefined) external _glgProcessPixelsWithProcessor (from libGLImage)
00007ffa182757e4 (__TEXT,__text) non-external (was a private external) _glpABIGetArrayStrideForElementType
00007ffa182757c5 (__TEXT,__text) non-external (was a private external) _glpABIGetMatrixStride
00007ffa1827582a (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumBufferBytesForType
00007ffa18275810 (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumStructAlignment
00007ffa1827585e (__TEXT,__text) non-external (was a private external) _glpABIGetStructTypeRangeOfField
00007ffa182757a5 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeAlign
00007ffa18275786 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeSize
00007ffa182767e0 (__TEXT,__text) non-external (was a private external) _glpASTMergeInitContext
00007ffa18276a4a (__TEXT,__text) non-external (was a private external) _glpASTMergePhase1AddTopLevelNode
00007ffa18277260 (__TEXT,__text) non-external (was a private external) _glpASTMergePhase2
00007ffa182d3a0d (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChild
00007ffa182d39f4 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChildCount
00007ffa182d3a97 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetKind
00007ffa182d3ab4 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetLocation
00007ffa182d3a8d (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaFlags
00007ffa182d3a83 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaType
00007ffa182d39fd (__TEXT,__text) non-external (was a private external) _glpASTNodeSetChild
00007ffa182d3acc (__TEXT,__text) non-external (was a private external) _glpASTNodeSetLocation
00007ffa182d3aa0 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaFlags
00007ffa182d3aaa (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaType
00007ffa182a2f5b (__TEXT,__text) non-external (was a private external) _glpAddExtensionDefines
00007ffa41d27d80 (__DATA_CONST,__const) non-external _glpAddExtensionDefines.builtinDefines
00007ffa18297874 (__TEXT,__text) non-external _glpAddGep
00007ffa182bc4c4 (__TEXT,__text) non-external (was a private external) _glpAddOffsetIfNeeded
00007ffa182c88d8 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementCount
00007ffa182c890a (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementFlags
00007ffa182c891a (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementLayout
00007ffa182c88fa (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementType
00007ffa182c941b (__TEXT,__text) non-external (was a private external) _glpAggregateTypeMangleName
00007ffa18275765 (__TEXT,__text) non-external (was a private external) _glpAlignTypeSize
00007ffa182ca18f (__TEXT,__text) non-external (was a private external) _glpAnalyzeBinaryMathOp
00007ffa182bee73 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToFunction
00007ffa182be195 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToOverload
00007ffa182bef4d (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToSubroutineArray
00007ffa182c9e23 (__TEXT,__text) non-external (was a private external) _glpAnalyzeUnaryMathOp
00007ffa182a0cd0 (__TEXT,__text) non-external (was a private external) _glpAppendFlagDescription
00007ffa182cdaba (__TEXT,__text) non-external (was a private external) _glpAppendValueDescriptionToStringBuffer
00007ffa182a1728 (__TEXT,__text) non-external (was a private external) _glpAppendVariableObjectDescription
00007ffa182c15a4 (__TEXT,__text) non-external (was a private external) _glpApplySizeToBanks
00007ffa182767c6 (__TEXT,__text) non-external (was a private external) _glpArchiveFileFinishEntryNamed
00007ffa1827674d (__TEXT,__text) non-external (was a private external) _glpArchiveFileGetEntryNamed
00007ffa182d3fed (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetArray
00007ffa182d4007 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetElement
00007ffa182d3ffa (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetArray
00007ffa182d4015 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetElement
00007ffa182c8f42 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementCount
00007ffa182c8a62 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementType
00007ffa182c8a6c (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetMaxElementCount
00007ffa182d5a77 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetDimension
00007ffa182d5a5d (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetElementType
