00007ffb0c4afdab (__TEXT,__text) non-external +[MGDaemon daemon]
00007ffb41b41958 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
00007ffb41b41be8 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
00007ffb41b423d0 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
00007ffb41b42520 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
00007ffb41b415a8 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
00007ffb41b42288 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
00007ffb41b41140 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
00007ffb41b41030 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
00007ffb41b41840 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
00007ffb41b419e0 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
00007ffb41b41c50 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
00007ffb41b42458 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
00007ffb41b42568 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
00007ffb41b41610 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceListenerProvider
00007ffb41b413a0 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb41b41ec0 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb41b41a70 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGClientInterfaceProtocol
00007ffb41b41a98 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
00007ffb41b41fe8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
00007ffb41b414a0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceListenerProviderProtocol
00007ffb41b411b0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb41b41cd0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb41b42108 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_MGGroupsQueryAgentDelegate
00007ffb41b41380 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb41b41ea0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb41b41fc0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXPCListenerDelegate
00007ffb41b41a90 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGClientInterfaceProtocol
00007ffb41b42128 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGGroupsQueryAgentDelegate
00007ffb41b41b60 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceInterfaceProtocol
00007ffb41b420b0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceInterfaceProtocol
00007ffb41b41520 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceListenerProviderProtocol
00007ffb41b413e8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb41b41f08 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb41b41fe0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXPCListenerDelegate
00007ffb41b420f0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_MGGroupsQueryAgentDelegate
00007ffb41b41488 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_MGServiceListenerProviderProtocol
00007ffb41b41fa8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXPCListenerDelegate
00007ffb41b42130 (__DATA,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_MGDaemon
00007ffb41b41548 (__DATA,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_MGServiceListenerProvider
00007ffb41b42340 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGDaemon
00007ffb41b41168 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsActivity
00007ffb41b41068 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsMediator
00007ffb41b418c8 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsQueryAgent
00007ffb41b41a28 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsQueryOperation
00007ffb41b41c88 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGOutstandingQuery
00007ffb41b42490 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceClient
00007ffb41b42580 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceClientSet
00007ffb41b41688 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceListenerProvider
00007ffb41b40f18 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGClientInterfaceProtocol
00007ffb41b40f30 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGGroupsQueryAgentDelegate
00007ffb41b40f20 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGServiceInterfaceProtocol
00007ffb41b40f10 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGServiceListenerProviderProtocol
00007ffb41b40f08 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb41b40f28 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXPCListenerDelegate
00007ffb41b42158 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGDaemon
00007ffb41b410b0 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsActivity
00007ffb41b40f40 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsMediator
00007ffb41b416d0 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsQueryAgent
00007ffb41b41910 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsQueryOperation
00007ffb41b41ba0 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGOutstandingQuery
00007ffb41b42388 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceClient
00007ffb41b424d8 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceClientSet
00007ffb41b41560 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceListenerProvider
00007ffb41b433c8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGClientInterfaceProtocol
00007ffb41b434e8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGGroupsQueryAgentDelegate
00007ffb41b43428 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGServiceInterfaceProtocol
00007ffb41b43368 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGServiceListenerProviderProtocol
00007ffb41b43308 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb41b43488 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXPCListenerDelegate
00007ffb41b42d40 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_MGClientInterfaceProtocol
00007ffb41b42d48 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_MGServiceInterfaceProtocol
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb0c4b4672 (__TEXT,__text) non-external ___28-[MGServiceClient addQuery:]_block_invoke
00007ffb0c4a8b32 (__TEXT,__text) non-external ___29-[MGGroupsMediator addGroup:]_block_invoke
00007ffb0c4ad8e1 (__TEXT,__text) non-external ___30-[MGGroupsQueryOperation main]_block_invoke
00007ffb0c4b0a84 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke
00007ffb0c4b0aa4 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.159
00007ffb0c4b0bcd (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.168
00007ffb0c4b0cf6 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.177
00007ffb0c4a82d3 (__TEXT,__text) non-external ___31-[MGGroupsMediator description]_block_invoke
00007ffb0c4b47a4 (__TEXT,__text) non-external ___31-[MGServiceClient removeQuery:]_block_invoke
00007ffb0c4a8892 (__TEXT,__text) non-external ___32-[MGGroupsMediator endActivity:]_block_invoke
00007ffb0c4a8cf4 (__TEXT,__text) non-external ___32-[MGGroupsMediator removeGroup:]_block_invoke
00007ffb0c4a84b6 (__TEXT,__text) non-external ___33-[MGGroupsMediator currentGroups]_block_invoke
00007ffb0c4b2e27 (__TEXT,__text) non-external ___35-[MGDaemon deleteGroup:completion:]_block_invoke
00007ffb0c4a8f92 (__TEXT,__text) non-external ___35-[MGGroupsMediator group:renameTo:]_block_invoke
00007ffb0c4a9417 (__TEXT,__text) non-external ___36-[MGGroupsMediator group:addMember:]_block_invoke
00007ffb0c4a986a (__TEXT,__text) non-external ___39-[MGGroupsMediator group:removeMember:]_block_invoke
00007ffb0c4b4e97 (__TEXT,__text) non-external ___39-[MGServiceClientSet addClientService:]_block_invoke
00007ffb0c4a8686 (__TEXT,__text) non-external ___42-[MGGroupsMediator startActivityWithName:]_block_invoke
00007ffb0c4acd6e (__TEXT,__text) non-external ___42-[MGGroupsQueryAgent addOutstandingQuery:]_block_invoke
00007ffb0c4b4f96 (__TEXT,__text) non-external ___42-[MGServiceClientSet removeClientService:]_block_invoke
00007ffb0c4afa78 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke
00007ffb0c4afc23 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke.100
00007ffb0c4afc0d (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke.97
00007ffb0c4afa7e (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke_2
00007ffb0c4afb1c (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke_3
00007ffb0c4ad0d4 (__TEXT,__text) non-external ___45-[MGGroupsQueryAgent removeOutstandingQuery:]_block_invoke
00007ffb0c4a9bf2 (__TEXT,__text) non-external ___46-[MGGroupsMediator removeGroupWithIdentifier:]_block_invoke
00007ffb0c4b4b27 (__TEXT,__text) non-external ___46-[MGServiceClient enumerateQueriesUsingBlock:]_block_invoke
00007ffb0c4b4b65 (__TEXT,__text) non-external ___46-[MGServiceClient enumerateQueriesUsingBlock:]_block_invoke.44
00007ffb0c4b208f (__TEXT,__text) non-external ___47-[MGDaemon listener:shouldAcceptNewConnection:]_block_invoke
00007ffb0c4aa8b4 (__TEXT,__text) non-external ___49-[MGGroupsQueryAgent setCurrentDeviceIdentifier:]_block_invoke
00007ffb0c4b497a (__TEXT,__text) non-external ___49-[MGServiceClient outstandingQueryForIdentifier:]_block_invoke
00007ffb0c4b5150 (__TEXT,__text) non-external ___49-[MGServiceClientSet enumerateClientsUsingBlock:]_block_invoke
00007ffb0c4b51db (__TEXT,__text) non-external ___49-[MGServiceClientSet enumerateClientsUsingBlock:]_block_invoke_2
00007ffb0c4afe99 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke
00007ffb0c4b042c (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke.134
00007ffb0c4b0034 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_2
00007ffb0c4b011a (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_3
00007ffb0c4b0331 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_4
00007ffb0c4ac934 (__TEXT,__text) non-external ___52-[MGGroupsQueryAgent _queryOperation:didFindGroups:]_block_invoke
00007ffb0c4b4da1 (__TEXT,__text) non-external ___52-[MGServiceClientSet serviceClientForXPCConnection:]_block_invoke
00007ffb0c4ad3c4 (__TEXT,__text) non-external ___53-[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]_block_invoke
00007ffb0c4b28fd (__TEXT,__text) non-external ___56-[MGDaemon createGroupWithType:name:members:completion:]_block_invoke
00007ffb0c4ab999 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke
00007ffb0c4ac121 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.120
00007ffb0c4ac2fe (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.136
00007ffb0c4ac68d (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.147
00007ffb0c4abc5b (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.61
00007ffb0c4abcd4 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.69
00007ffb0c4abd99 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.75
00007ffb0c4ac0fb (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.87
00007ffb0c4aba8b (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke_2
00007ffb0c4aaa4b (__TEXT,__text) non-external ___73-[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]_block_invoke
00007ffb0c4b34e0 (__TEXT,__text) non-external ___99-[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]_block_invoke
00007ffb0c4a82ae (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0c4b4955 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0c4a82c4 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00007ffb0c4b496b (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb0c4af1e9 (__TEXT,__text) non-external (was a private external) ___MGLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00007ffb0c4ada7b (__TEXT,__text) non-external ____AddContainmentForGroup_block_invoke
00007ffb41b404f0 (__DATA,__const) non-external (was a private external) ___block_descriptor_32_e24_v32?0"MGGroup"8Q16^c24l
00007ffb41b404b0 (__DATA,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00007ffb41b407d0 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e32_v32?0"MGServiceClient"8Q16^c24l
00007ffb41b407a0 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e43_v32?0"NSUUID"8"MGOutstandingQuery"16^c24l
00007ffb41b40330 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e21_c24?0"NSArray"8^c16l
00007ffb41b402a0 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e24_c32?0"MGGroup"8Q16^c24l
00007ffb41b402d0 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e29_q24?0"MGGroup"8"MGGroup"16l
00007ffb41b40530 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v32?0"MGGroupIdentifier"8Q16^c24l
00007ffb41b40560 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e43_v32?0"MGGroupIdentifier"8"MGGroup"16^c24l
00007ffb41b40150 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e5_v8?0l
00007ffb41b40650 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e28_v32?0"HMAccessory"8Q16^c24l
00007ffb41b40180 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e5_v8?0l
00007ffb41b40300 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e24_v32?0"MGGroup"8Q16^c24l
00007ffb41b401b0 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
00007ffb41b40360 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e38_v32?0"NSString"8"NSPredicate"16^c24l
00007ffb41b40270 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_c8?0l
00007ffb41b40420 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_v8?0l
00007ffb41b40210 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48w_e5_v8?0l
00007ffb41b40710 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32w40w48w_e5_v8?0l
00007ffb41b40120 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40r48r56r_e5_v8?0l
00007ffb41b40240 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56r_e5_v8?0l
00007ffb41b406b0 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e23_v32?0"HMRoom"8Q16^c24l
00007ffb41b406e0 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e23_v32?0"HMZone"8Q16^c24l
00007ffb41b40680 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e30_v32?0"HMMediaSystem"8Q16^c24l
00007ffb41b40590 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e5_v8?0l
00007ffb41b40620 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56r64r_e29_v24?0"MGServiceClient"8^c16l
00007ffb41b401e0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56r64r_e5_v8?0l
00007ffb41b40480 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e34_v32?0"MGGroupIdentifier"8Q16^c24l
00007ffb41b405c0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64r_e17_v16?0"NSError"8l
00007ffb41b403f0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64r_e5_v8?0l
00007ffb41b40450 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e43_v32?0"MGGroupIdentifier"8"MGGroup"16^c24l
00007ffb41b40390 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e43_v32?0"NSUUID"8"MGOutstandingQuery"16^c24l
00007ffb41b403c0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e5_v8?0l
00007ffb41b405f0 (__DATA,__const) non-external (was a private external) ___block_descriptor_80_e8_32s40s48s56s64r72r_e32_v24?0"MGOutstandingQuery"8^c16l
00007ffb41b404d0 (__DATA,__const) non-external (was a private external) ___block_literal_global
00007ffb41b40510 (__DATA,__const) non-external ___block_literal_global
00007ffb41b40740 (__DATA,__const) non-external ___block_literal_global.250
00007ffb41b40760 (__DATA,__const) non-external ___block_literal_global.276
00007ffb41b40780 (__DATA,__const) non-external ___block_literal_global.279
00007ffb0c4b4b7a (__TEXT,__text) non-external ___copy_helper_block_e8_32b
00007ffb0c4abcb6 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00007ffb0c4a855b (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00007ffb0c4a8348 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r56r
00007ffb0c4a8700 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00007ffb0c4ac0b7 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48b
00007ffb0c4a8973 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48r
00007ffb0c4abc03 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00007ffb0c4abb7e (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56r
00007ffb0c4a9167 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56r64r
00007ffb0c4afcdd (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s
00007ffb0c4adb92 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64b
00007ffb0c4acc0a (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64r
00007ffb0c4b0581 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64r72r
00007ffb0c4ac73f (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64s
00007ffb0c4aaa8b (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48w
00007ffb0c4b21d6 (__TEXT,__text) non-external ___copy_helper_block_e8_32w40w48w
00007ffb0c4abcc5 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00007ffb0c4a858b (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00007ffb0c4a839c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r
00007ffb0c4a8725 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00007ffb0c4a89b7 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
00007ffb0c4abc2f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00007ffb0c4abbc9 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56r
00007ffb0c4a91c4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56r64r
00007ffb0c4afd10 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s
00007ffb0c4acc5c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64r
00007ffb0c4b05e5 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64r72r
00007ffb0c4ac779 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64s
00007ffb0c4aaacd (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48w
00007ffb0c4b2214 (__TEXT,__text) non-external ___destroy_helper_block_e8_32w40w48w
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00007ffb41b43580 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.allowed
00007ffb41b43588 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.disallowed
00007ffb41b43590 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.onceToken
00007ffb41b43598 (__DATA,__bss) non-external _deleteGroup:completion:.allowed
00007ffb41b435a0 (__DATA,__bss) non-external _deleteGroup:completion:.disallowed
00007ffb41b435a8 (__DATA,__bss) non-external _deleteGroup:completion:.onceToken
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _notify_post (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getAssociatedObject (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_transaction_create (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _proc_name (from libSystem)
00007ffb0c4b59e8 (__TEXT,__const) non-external _reltable.__MGLogForCategory_block_invoke
