0000000182baf198 (__DATA,__data) external _NDR_record
0000000180a9d0c0 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180a8d530 (__TEXT,__text) external _coalition_policy_get
0000000180a8d55c (__TEXT,__text) external _coalition_policy_set
0000000180a9cfac (__TEXT,__text) external _coalition_reap
0000000180a9cf7c (__TEXT,__text) external _coalition_terminate
0000000180a8acf4 (__TEXT,__text) external _connect
0000000180a8ad20 (__TEXT,__text) external _connect$NOCANCEL
0000000180a8d588 (__TEXT,__text) external _connectx
0000000180a8d5b4 (__TEXT,__text) external _csops
0000000180a8d5e0 (__TEXT,__text) external _csops_audittoken
0000000180a9d1a4 (__TEXT,__text) external _csr_check
0000000180a9d1d4 (__TEXT,__text) external _csr_get_active_config
0000000180a8a5f4 (__TEXT,__text) external _debug_control_port_for_pid
0000000180a9d3d0 (__TEXT,__text) external _debug_syscall_reject
0000000180a9d2bc (__TEXT,__text) external _debug_syscall_reject_config
0000000182baf190 (__DATA,__data) external _denap_boost_assertion_token
0000000180a8d60c (__TEXT,__text) external _disconnectx
0000000180a91cd0 (__TEXT,__text) non-external _do_compat
0000000180a8d638 (__TEXT,__text) external _dup
0000000180a8d664 (__TEXT,__text) external _dup2
0000000180b84328 (__DATA_CONST,__const) non-external _err_codes_auth
0000000180b841b8 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000180b84520 (__DATA_CONST,__const) non-external _err_codes_exception
0000000180b841f8 (__DATA_CONST,__const) non-external _err_codes_execd
0000000180b842f8 (__DATA_CONST,__const) non-external _err_codes_io
0000000180b83da0 (__DATA_CONST,__const) non-external _err_codes_kern
0000000180b844f0 (__DATA_CONST,__const) non-external _err_codes_loader
0000000180b848d8 (__DATA_CONST,__const) non-external _err_codes_mach_mig
0000000180b84850 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
0000000180b84798 (__DATA_CONST,__const) non-external _err_codes_mach_send
0000000180b844c0 (__DATA_CONST,__const) non-external _err_codes_machobj
0000000180b84758 (__DATA_CONST,__const) non-external _err_codes_mig
0000000180b84218 (__DATA_CONST,__const) non-external _err_codes_netmemory
0000000180b84198 (__DATA_CONST,__const) non-external _err_codes_netname
0000000180b84268 (__DATA_CONST,__const) non-external _err_codes_ns
0000000180b84710 (__DATA_CONST,__const) non-external _err_codes_rcv
0000000180b846b0 (__DATA_CONST,__const) non-external _err_codes_send
0000000180b84430 (__DATA_CONST,__const) non-external _err_codes_sunrpc
0000000180b84238 (__DATA_CONST,__const) non-external _err_codes_task_master
0000000180b84230 (__DATA_CONST,__const) non-external _err_codes_ufs
0000000180b83f68 (__DATA_CONST,__const) non-external _err_codes_unix
0000000180b84370 (__DATA_CONST,__const) non-external _err_codes_us
0000000180b84558 (__DATA_CONST,__const) non-external _err_codes_ux_signal
0000000180b84928 (__DATA_CONST,__const) non-external _err_codes_vm_reclaim
0000000180b84648 (__DATA_CONST,__const) non-external _err_codes_xkernel
0000000180b83c60 (__DATA_CONST,__const) non-external _err_ipc_sub
0000000180b83cd8 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
0000000180b83940 (__DATA_CONST,__const) non-external _err_os_sub
0000000180b839e0 (__DATA_CONST,__const) non-external _err_server_sub
0000000180abd000 (__TEXT,__const) non-external _err_us_sub
0000000180b83d50 (__DATA_CONST,__const) non-external _err_vm_sub
0000000182baf268 (__DATA,__common) external _errno
0000000180ab83b0 (__TEXT,__text) external _etap_trace_thread
0000000180aa2e90 (__TEXT,__text) external _exc_server
0000000180aa2e5c (__TEXT,__text) external _exc_server_routine
0000000180aa24b8 (__TEXT,__text) external _exception_raise
0000000180aa2634 (__TEXT,__text) external _exception_raise_state
0000000180aa28a4 (__TEXT,__text) external _exception_raise_state_identity
0000000180a8d690 (__TEXT,__text) external _exchangedata
0000000180a922d4 (__TEXT,__text) external _exclaves_audio_buffer_copyout
0000000180a9230c (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
0000000180a922a4 (__TEXT,__text) external _exclaves_audio_buffer_create
0000000180a92270 (__TEXT,__text) external _exclaves_boot
0000000180a92028 (__TEXT,__text) external _exclaves_endpoint_call
0000000180a9213c (__TEXT,__text) external _exclaves_inbound_buffer_copyin
0000000180a9210c (__TEXT,__text) external _exclaves_inbound_buffer_create
0000000180a92414 (__TEXT,__text) external _exclaves_indicator_min_on_time
0000000180a9218c (__TEXT,__text) external _exclaves_launch_conclave
0000000180a921d4 (__TEXT,__text) external _exclaves_lookup_service
0000000180a9217c (__TEXT,__text) external _exclaves_named_buffer_copyin
0000000180a92184 (__TEXT,__text) external _exclaves_named_buffer_copyout
0000000180a92174 (__TEXT,__text) external _exclaves_named_buffer_create
0000000180a924ac (__TEXT,__text) external _exclaves_notification_create
0000000180a920d4 (__TEXT,__text) external _exclaves_outbound_buffer_copyout
0000000180a920a4 (__TEXT,__text) external _exclaves_outbound_buffer_create
0000000180a92344 (__TEXT,__text) external _exclaves_sensor_create
0000000180a92378 (__TEXT,__text) external _exclaves_sensor_start
0000000180a923e0 (__TEXT,__text) external _exclaves_sensor_status
0000000180a923ac (__TEXT,__text) external _exclaves_sensor_stop
0000000180a98d6c (__TEXT,__text) external _execve
0000000180a8d6bc (__TEXT,__text) external _faccessat
0000000180a8d6e8 (__TEXT,__text) external _fchdir
0000000180a8d714 (__TEXT,__text) external _fchflags
0000000180a96c44 (__TEXT,__text) external _fchmod
0000000180a8d740 (__TEXT,__text) external _fchmodat
0000000180a8d76c (__TEXT,__text) external _fchown
0000000180a8d798 (__TEXT,__text) external _fchownat
0000000180a8d7c4 (__TEXT,__text) external _fclonefileat
0000000180a99420 (__TEXT,__text) external _fcntl
0000000180a9909c (__TEXT,__text) external _fcntl$NOCANCEL
0000000180a8d7f0 (__TEXT,__text) external _fdatasync
0000000180a8d81c (__TEXT,__text) external _ffsctl
0000000180a8d848 (__TEXT,__text) external _fgetattrlist
0000000180a8d874 (__TEXT,__text) external _fgetxattr
0000000180a8d8a0 (__TEXT,__text) external _fhopen
0000000180a8d8cc (__TEXT,__text) external _fileport_makefd
0000000180a8d8f8 (__TEXT,__text) external _fileport_makeport
0000000180a8d924 (__TEXT,__text) external _flistxattr
0000000180a8d950 (__TEXT,__text) external _flock
0000000180a8d97c (__TEXT,__text) external _fmount
0000000180a8d9a8 (__TEXT,__text) external _fpathconf
0000000180a91b14 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
0000000180a8d9d4 (__TEXT,__text) external _freadlink
0000000180a8da00 (__TEXT,__text) external _fremovexattr
0000000180a9d1e4 (__TEXT,__text) external _fs_snapshot_create
0000000180a9d234 (__TEXT,__text) external _fs_snapshot_delete
0000000180a9d200 (__TEXT,__text) external _fs_snapshot_list
0000000180a9d2a4 (__TEXT,__text) external _fs_snapshot_mount
0000000180a9d250 (__TEXT,__text) external _fs_snapshot_rename
0000000180a9d26c (__TEXT,__text) external _fs_snapshot_revert
0000000180a9d288 (__TEXT,__text) external _fs_snapshot_root
0000000180a8da2c (__TEXT,__text) external _fsctl
0000000180a8da58 (__TEXT,__text) external _fsetattrlist
0000000180a8da84 (__TEXT,__text) external _fsetxattr
0000000180a8dab0 (__TEXT,__text) external _fsgetpath
0000000180a8dadc (__TEXT,__text) external _fsgetpath_ext
0000000180a8db08 (__TEXT,__text) external _fstat
0000000180a8db08 (__TEXT,__text) external _fstat64
0000000180a8db34 (__TEXT,__text) external _fstatat
0000000180a8db34 (__TEXT,__text) external _fstatat64
0000000180a8db60 (__TEXT,__text) external _fstatfs
0000000180a8db60 (__TEXT,__text) external _fstatfs64
0000000180a967cc (__TEXT,__text) external _fstatfs_ext
0000000180a8db8c (__TEXT,__text) external _fsync
0000000180a8b058 (__TEXT,__text) external _fsync$NOCANCEL
0000000180a8dbb8 (__TEXT,__text) external _ftruncate
0000000180a960e8 (__TEXT,__text) external _futimens
0000000180a8dbe4 (__TEXT,__text) external _futimes
0000000182baf1a0 (__DATA,__crash_info) non-external _gCRAnnotations
0000000180a8b084 (__TEXT,__text) external _getattrlist
0000000180a8dc10 (__TEXT,__text) external _getattrlistat
0000000180a8dc3c (__TEXT,__text) external _getattrlistbulk
0000000180aa1880 (__TEXT,__text) external _getaudit
0000000180a8dc68 (__TEXT,__text) external _getaudit_addr
0000000180a8dc94 (__TEXT,__text) external _getauid
0000000180a8dcc0 (__TEXT,__text) external _getdirentries
0000000180a8dcec (__TEXT,__text) external _getdirentriesattr
0000000180a8dd18 (__TEXT,__text) external _getdtablesize
0000000180a8dd44 (__TEXT,__text) external _getegid
0000000180a8dd70 (__TEXT,__text) external _getentropy
0000000180a8dd9c (__TEXT,__text) external _geteuid
0000000180a8ddc8 (__TEXT,__text) external _getfh
0000000180a8ddf4 (__TEXT,__text) external _getfsstat
0000000180a8ddf4 (__TEXT,__text) external _getfsstat64
0000000180a8de20 (__TEXT,__text) external _getgid
0000000180a8de4c (__TEXT,__text) external _getgroups
0000000180a95cf4 (__TEXT,__text) external _gethostuuid
0000000180a938b0 (__TEXT,__text) external _getiopolicy_np
0000000180a8de78 (__TEXT,__text) external _getitimer
0000000180a8b134 (__TEXT,__text) external _getpeername
0000000180a8dea4 (__TEXT,__text) external _getpgid
0000000180a8ded0 (__TEXT,__text) external _getpgrp
0000000180a8b160 (__TEXT,__text) external _getpid
0000000180a8defc (__TEXT,__text) external _getppid
0000000180a8df28 (__TEXT,__text) external _getpriority
0000000180a995c4 (__TEXT,__text) external _getrlimit
0000000180a8df54 (__TEXT,__text) external _getrusage
0000000180a8b1dc (__TEXT,__text) external _getsgroups_np
0000000180a8df80 (__TEXT,__text) external _getsid
0000000180a8b208 (__TEXT,__text) external _getsockname
0000000180a8dfac (__TEXT,__text) external _getsockopt
0000000180a8dfd8 (__TEXT,__text) external _getuid
0000000180a8b2bc (__TEXT,__text) external _getwgroups_np
0000000180a8e004 (__TEXT,__text) external _getxattr
0000000180a8e030 (__TEXT,__text) external _grab_pgo_data
0000000180a8e05c (__TEXT,__text) external _graftdmg
0000000180a8e088 (__TEXT,__text) external _guarded_close_np
0000000180a8e0b4 (__TEXT,__text) external _guarded_kqueue_np
0000000180a91b90 (__TEXT,__text) external _guarded_open_dprotected_np
0000000180aa1cdc (__TEXT,__text) external _guarded_open_np
0000000180a8e0e0 (__TEXT,__text) external _guarded_pwrite_np
0000000180a8e10c (__TEXT,__text) external _guarded_write_np
0000000180a8e138 (__TEXT,__text) external _guarded_writev_np
0000000180ac080f (__TEXT,__cstring) non-external _hex
0000000180a91be0 (__TEXT,__text) external _host_check_multiuser_mode
0000000180a91be8 (__TEXT,__text) external _host_create_mach_voucher
0000000180a8a564 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000180aa3474 (__TEXT,__text) external _host_default_memory_manager
0000000180aa4fa4 (__TEXT,__text) external _host_get_UNDServer
0000000180a91bc0 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180aa2f20 (__TEXT,__text) external _host_get_boot_info
0000000180aa3b44 (__TEXT,__text) external _host_get_clock_control
0000000180aa5fb4 (__TEXT,__text) external _host_get_clock_service
0000000180aa447c (__TEXT,__text) external _host_get_exception_ports
0000000180aa5e58 (__TEXT,__text) external _host_get_io_main
0000000180a91c60 (__TEXT,__text) external _host_get_io_master
0000000180a91bd8 (__TEXT,__text) external _host_get_multiuser_config_flags
0000000180aa40b8 (__TEXT,__text) external _host_get_special_port
0000000180aa55c4 (__TEXT,__text) external _host_info
0000000180aa57e4 (__TEXT,__text) external _host_kernel_version
0000000180aa6bdc (__TEXT,__text) external _host_lockgroup_info
0000000180a91f1c (__TEXT,__text) external _host_page_size
0000000180aa3254 (__TEXT,__text) external _host_priv_statistics
0000000180aa5cbc (__TEXT,__text) external _host_processor_info
0000000180aa4d18 (__TEXT,__text) external _host_processor_set_priv
0000000180aa4b98 (__TEXT,__text) external _host_processor_sets
0000000180aa39c4 (__TEXT,__text) external _host_processors
0000000180aa3138 (__TEXT,__text) external _host_reboot
0000000180aa747c (__TEXT,__text) external _host_register_mach_voucher_attr_manager
0000000180aa7608 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
0000000180aa6ab0 (__TEXT,__text) external _host_request_notification
0000000180aa52e8 (__TEXT,__text) external _host_security_create_task_token
0000000180aa5484 (__TEXT,__text) external _host_security_set_task_token
0000000180a9371c (__TEXT,__text) external _host_self
0000000180a8a414 (__TEXT,__text) external _host_self_trap
0000000180aa4e88 (__TEXT,__text) external _host_set_UNDServer
0000000180aa7788 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180aa434c (__TEXT,__text) external _host_set_exception_ports
0000000180aa7ab8 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180aa4220 (__TEXT,__text) external _host_set_special_port
0000000180aa6890 (__TEXT,__text) external _host_statistics
0000000180aa6d6c (__TEXT,__text) external _host_statistics64
0000000180aa4740 (__TEXT,__text) external _host_swap_exception_ports
0000000180aa62a0 (__TEXT,__text) external _host_virtual_physical_table_info
0000000182baf178 (__DATA,__data) external _important_boost_assertion_token
0000000182c3d6d0 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
0000000180a91a08 (__TEXT,__text) non-external _internal_catch_exception_raise
0000000182baf168 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
0000000180a918dc (__TEXT,__text) non-external _internal_catch_exception_raise_state
0000000182baf160 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
0000000180a9179c (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
0000000182baf158 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
0000000180a99644 (__TEXT,__text) external _ioctl
0000000180a8e164 (__TEXT,__text) external _issetugid
0000000182baf200 (__DATA,__bss) non-external _kAccountingThreshold
0000000180a8e190 (__TEXT,__text) external _kas_info
0000000180a9d4b4 (__TEXT,__text) external _kdebug_is_enabled
0000000180a9d6a0 (__TEXT,__text) external _kdebug_signpost
0000000180a9d768 (__TEXT,__text) external _kdebug_signpost_end
0000000180a9d6a8 (__TEXT,__text) non-external _kdebug_signpost_internal
0000000180a9d75c (__TEXT,__text) external _kdebug_signpost_start
0000000180a9d528 (__TEXT,__text) external _kdebug_timestamp
0000000180a9d540 (__TEXT,__text) external _kdebug_timestamp_from_absolute
0000000180a9d55c (__TEXT,__text) external _kdebug_timestamp_from_continuous
0000000180a9d578 (__TEXT,__text) external _kdebug_trace
0000000180a9d5f8 (__TEXT,__text) external _kdebug_trace_string
0000000180a9d430 (__TEXT,__text) external _kdebug_typefilter
0000000182baf228 (__DATA,__bss) non-external _kdebug_typefilter.typefilter
0000000180a9d514 (__TEXT,__text) external _kdebug_using_continuous_time
0000000180a8e1bc (__TEXT,__text) external _kevent
0000000180a8e1e8 (__TEXT,__text) external _kevent64
0000000180a8e214 (__TEXT,__text) external _kevent_id
0000000180a8e240 (__TEXT,__text) external _kevent_qos
0000000180aa5100 (__TEXT,__text) external _kext_request
0000000180a9cf60 (__TEXT,__text) external _kill
0000000180aa3f18 (__TEXT,__text) external _kmod_control
0000000180aa3cb0 (__TEXT,__text) external _kmod_create
0000000180aa3dfc (__TEXT,__text) external _kmod_destroy
0000000180aa6120 (__TEXT,__text) external _kmod_get_info
0000000180aa196c (__TEXT,__text) external _kpersona_alloc
0000000180aa19ec (__TEXT,__text) external _kpersona_dealloc
0000000180aa1b3c (__TEXT,__text) external _kpersona_find
0000000180aa1c24 (__TEXT,__text) external _kpersona_find_by_type
0000000180aa1a30 (__TEXT,__text) external _kpersona_get
0000000180aa1a70 (__TEXT,__text) external _kpersona_getpath
0000000180aa1ab4 (__TEXT,__text) external _kpersona_info
0000000180aa19ac (__TEXT,__text) external _kpersona_palloc
0000000180aa1af8 (__TEXT,__text) external _kpersona_pidinfo
0000000180a8e26c (__TEXT,__text) external _kqueue
0000000180a8b4f8 (__TEXT,__text) external _lchown
0000000180a8e298 (__TEXT,__text) external _ledger
0000000180a8e2c4 (__TEXT,__text) external _link
0000000180a8e2f0 (__TEXT,__text) external _linkat
0000000180a8e31c (__TEXT,__text) external _lio_listio
0000000180a8b524 (__TEXT,__text) external _listen
0000000180a8e348 (__TEXT,__text) external _listxattr
0000000180ab2000 (__TEXT,__text) external _lock_set_create
0000000180ab2168 (__TEXT,__text) external _lock_set_destroy
0000000180a96c40 (__TEXT,__text) external _log_data_as_kernel
0000000180a8b57c (__TEXT,__text) external _lseek
0000000180a8e374 (__TEXT,__text) external _lstat
0000000180a8e374 (__TEXT,__text) external _lstat64
0000000180a8a2a0 (__TEXT,__text) external _mach_absolute_time
0000000180a8a324 (__TEXT,__text) external _mach_absolute_time_kernel
0000000180a95cd8 (__TEXT,__text) external _mach_approximate_time
0000000180a95dd0 (__TEXT,__text) external _mach_boottime_usec
0000000180a916e8 (__TEXT,__text) external _mach_continuous_approximate_time
0000000180a91670 (__TEXT,__text) external _mach_continuous_time
0000000180a8a330 (__TEXT,__text) external _mach_continuous_time_kernel
0000000180a91e94 (__TEXT,__text) external _mach_error
0000000182baf240 (__DATA,__common) external _mach_error_full_diag
0000000180a91e70 (__TEXT,__text) external _mach_error_string
0000000180a91d68 (__TEXT,__text) non-external _mach_error_string_int
0000000180a91c64 (__TEXT,__text) external _mach_error_type
0000000180abb694 (__TEXT,__text) external _mach_eventlink_associate
0000000180abb3dc (__TEXT,__text) external _mach_eventlink_create
0000000180abb578 (__TEXT,__text) external _mach_eventlink_destroy
0000000180abb7d4 (__TEXT,__text) external _mach_eventlink_disassociate
0000000180a9604c (__TEXT,__text) external _mach_eventlink_signal
0000000180a960a8 (__TEXT,__text) external _mach_eventlink_signal_wait_until
0000000180a96068 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180a8a4b0 (__TEXT,__text) external _mach_generate_activity_id
0000000180a99240 (__TEXT,__text) external _mach_get_times
0000000180a93b04 (__TEXT,__text) external _mach_host_self
0000000180a8fff0 (__TEXT,__text) external _mach_host_special_port_description
0000000180b837a0 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
0000000180a90050 (__TEXT,__text) external _mach_host_special_port_for_id
0000000182baefe0 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
0000000180a91f30 (__TEXT,__text) external _mach_init
0000000182baf1f0 (__DATA,__bss) non-external _mach_init.mach_init_inited
0000000180a91f68 (__TEXT,__text) non-external _mach_init_doit
0000000180aad44c (__TEXT,__text) external _mach_make_memory_entry
0000000180aba894 (__TEXT,__text) external _mach_make_memory_entry_64
0000000180abb130 (__TEXT,__text) external _mach_memory_entry_access_tracking
0000000180abb2ac (__TEXT,__text) external _mach_memory_entry_ownership
0000000180abafd8 (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180aa78a4 (__TEXT,__text) external _mach_memory_info
0000000180aa5b34 (__TEXT,__text) external _mach_memory_object_memory_entry
0000000180aa6708 (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180a92650 (__TEXT,__text) external _mach_msg
0000000180a9254c (__TEXT,__text) external _mach_msg2_internal
0000000180a8a4e0 (__TEXT,__text) external _mach_msg2_trap
0000000180a92900 (__TEXT,__text) external _mach_msg_destroy
0000000180a92a44 (__TEXT,__text) non-external _mach_msg_destroy_port
0000000180a92674 (__TEXT,__text) external _mach_msg_overwrite
0000000180a8a42c (__TEXT,__text) external _mach_msg_overwrite_trap
0000000180a93214 (__TEXT,__text) external _mach_msg_priority_encode
0000000180a93204 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
0000000180a93248 (__TEXT,__text) external _mach_msg_priority_overide_qos
0000000180a93258 (__TEXT,__text) external _mach_msg_priority_qos
0000000180a93268 (__TEXT,__text) external _mach_msg_priority_relpri
0000000180a928c4 (__TEXT,__text) external _mach_msg_receive
0000000180a92888 (__TEXT,__text) external _mach_msg_send
0000000180a92e88 (__TEXT,__text) external _mach_msg_server
0000000180a92e20 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
0000000180a931f0 (__TEXT,__text) external _mach_msg_server_importance
0000000180a92b50 (__TEXT,__text) external _mach_msg_server_once
0000000180a8a420 (__TEXT,__text) external _mach_msg_trap
0000000180aae684 (__TEXT,__text) external _mach_notify_dead_name
0000000180aae5c0 (__TEXT,__text) external _mach_notify_no_senders
0000000180aae4e4 (__TEXT,__text) external _mach_notify_port_deleted
0000000180aae54c (__TEXT,__text) external _mach_notify_port_destroyed
0000000180aae628 (__TEXT,__text) external _mach_notify_send_once
0000000180aa0724 (__TEXT,__text) external _mach_port_allocate
0000000180aa0aa8 (__TEXT,__text) external _mach_port_allocate_full
0000000180aa0720 (__TEXT,__text) external _mach_port_allocate_name
0000000180aa0aa4 (__TEXT,__text) external _mach_port_allocate_qos
0000000180aa10b4 (__TEXT,__text) external _mach_port_assert_attributes
0000000180aa0ecc (__TEXT,__text) external _mach_port_construct
0000000180aa0798 (__TEXT,__text) external _mach_port_deallocate
0000000180aa0794 (__TEXT,__text) external _mach_port_destroy
0000000180aa0b64 (__TEXT,__text) external _mach_port_destruct
0000000180aa0d58 (__TEXT,__text) external _mach_port_dnrequest_info
0000000180aa0e10 (__TEXT,__text) external _mach_port_extract_member
0000000180aa0a0c (__TEXT,__text) external _mach_port_extract_right
0000000180aa0a14 (__TEXT,__text) external _mach_port_get_attributes
0000000180aa0e80 (__TEXT,__text) external _mach_port_get_context
0000000180aa07f4 (__TEXT,__text) external _mach_port_get_refs
0000000180aa10b0 (__TEXT,__text) external _mach_port_get_service_port_info
0000000180aa0878 (__TEXT,__text) external _mach_port_get_set_status
0000000180aa0ab0 (__TEXT,__text) external _mach_port_get_srights
0000000180aa0f44 (__TEXT,__text) external _mach_port_guard
0000000180aa10a4 (__TEXT,__text) external _mach_port_guard_with_flags
0000000180aa0da0 (__TEXT,__text) external _mach_port_insert_member
0000000180aa0994 (__TEXT,__text) external _mach_port_insert_right
0000000180aa10ac (__TEXT,__text) external _mach_port_is_connection_for_service
0000000180aa0d5c (__TEXT,__text) external _mach_port_kernel_object
0000000180aa0ec4 (__TEXT,__text) external _mach_port_kobject
0000000180aa0ec8 (__TEXT,__text) external _mach_port_kobject_description
0000000180aa07f8 (__TEXT,__text) external _mach_port_mod_refs
0000000180aa087c (__TEXT,__text) external _mach_port_move_member
0000000180aa06a8 (__TEXT,__text) external _mach_port_names
0000000180aa0870 (__TEXT,__text) external _mach_port_peek
0000000180aa071c (__TEXT,__text) external _mach_port_rename
0000000180aa08ec (__TEXT,__text) external _mach_port_request_notification
0000000180aa0aa0 (__TEXT,__text) external _mach_port_set_attributes
0000000180aa0ec0 (__TEXT,__text) external _mach_port_set_context
0000000180aa0874 (__TEXT,__text) external _mach_port_set_mscount
0000000180aa0a10 (__TEXT,__text) external _mach_port_set_seqno
0000000180aa0ab8 (__TEXT,__text) external _mach_port_space_basic_info
0000000180aa0ab4 (__TEXT,__text) external _mach_port_space_info
0000000180aa10a8 (__TEXT,__text) external _mach_port_swap_guard
0000000180aa06ac (__TEXT,__text) external _mach_port_type
0000000180aa0fbc (__TEXT,__text) external _mach_port_unguard
0000000180a95eb8 (__TEXT,__text) external _mach_ports_lookup
0000000180a95e34 (__TEXT,__text) external _mach_ports_register
0000000180a8a3f0 (__TEXT,__text) external _mach_reply_port
0000000180a93b98 (__TEXT,__text) external _mach_right_recv_construct
0000000180a93c70 (__TEXT,__text) external _mach_right_recv_destruct
0000000180a93d08 (__TEXT,__text) external _mach_right_send_create
0000000180a93efc (__TEXT,__text) external _mach_right_send_once_consume
0000000180a93e90 (__TEXT,__text) external _mach_right_send_once_create
0000000180a93de4 (__TEXT,__text) external _mach_right_send_release
0000000180a93d70 (__TEXT,__text) external _mach_right_send_retain
0000000180aa0c38 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
0000000180aa0ce4 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
0000000180a95de0 (__TEXT,__text) external _mach_task_is_self
0000000180a93b08 (__TEXT,__text) external _mach_task_self
0000000182baf8d0 (__DATA,__common) external _mach_task_self_
0000000180a90010 (__TEXT,__text) external _mach_task_special_port_description
0000000180b838c0 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
0000000180a90118 (__TEXT,__text) external _mach_task_special_port_for_id
0000000182baf0d8 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
0000000180a93b0c (__TEXT,__text) external _mach_thread_self
0000000180a90030 (__TEXT,__text) external _mach_thread_special_port_description
0000000180b83920 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
0000000180a90128 (__TEXT,__text) external _mach_thread_special_port_for_id
0000000182baf138 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180a9d3d8 (__TEXT,__text) external _mach_timebase_info
0000000182baf220 (__DATA,__bss) non-external _mach_timebase_info.cached_info
0000000180a8a5a0 (__TEXT,__text) external _mach_timebase_info_trap
0000000180aa10b8 (__TEXT,__text) external _mach_vm_allocate
0000000180aac908 (__TEXT,__text) external _mach_vm_behavior_set
0000000180aac57c (__TEXT,__text) external _mach_vm_copy
0000000180aa116c (__TEXT,__text) external _mach_vm_deallocate
0000000180aadc20 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_allocate
0000000180aadd78 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_flush
0000000180aae164 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_resize
0000000180aade98 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
0000000180aac01c (__TEXT,__text) external _mach_vm_inherit
0000000180aacbb4 (__TEXT,__text) external _mach_vm_machine_attribute
0000000180aa12e8 (__TEXT,__text) external _mach_vm_map
0000000180aac7e8 (__TEXT,__text) external _mach_vm_msync
0000000180aad738 (__TEXT,__text) external _mach_vm_page_info
0000000180aace9c (__TEXT,__text) external _mach_vm_page_query
0000000180aad924 (__TEXT,__text) external _mach_vm_page_range_query
0000000180aa1214 (__TEXT,__text) external _mach_vm_protect
0000000180aa1800 (__TEXT,__text) external _mach_vm_purgable_control
0000000180aadfb4 (__TEXT,__text) external _mach_vm_range_create
0000000180aa155c (__TEXT,__text) external _mach_vm_read
0000000180aac2c4 (__TEXT,__text) external _mach_vm_read_list
0000000180aac698 (__TEXT,__text) external _mach_vm_read_overwrite
0000000180a94500 (__TEXT,__text) external _mach_vm_reclaim_is_reusable
0000000180a9447c (__TEXT,__text) external _mach_vm_reclaim_query_state
0000000180a93fac (__TEXT,__text) external _mach_vm_reclaim_ring_allocate
0000000180a94510 (__TEXT,__text) external _mach_vm_reclaim_ring_capacity
0000000180a9453c (__TEXT,__text) external _mach_vm_reclaim_ring_flush
0000000180a94058 (__TEXT,__text) external _mach_vm_reclaim_ring_resize
0000000180a940b8 (__TEXT,__text) external _mach_vm_reclaim_round_capacity
0000000180a942ac (__TEXT,__text) external _mach_vm_reclaim_try_cancel
0000000180a94104 (__TEXT,__text) external _mach_vm_reclaim_try_enter
0000000180a944ec (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
0000000180aad21c (__TEXT,__text) external _mach_vm_region
0000000180aad000 (__TEXT,__text) external _mach_vm_region_recurse
0000000180aa1424 (__TEXT,__text) external _mach_vm_remap
0000000180aa14c0 (__TEXT,__text) external _mach_vm_remap_new
0000000180aa187c (__TEXT,__text) external _mach_vm_update_pointers_with_remote_tags
0000000180aa4a68 (__TEXT,__text) external _mach_vm_wire
0000000180aac448 (__TEXT,__text) external _mach_vm_write
0000000180abbfe8 (__TEXT,__text) external _mach_voucher_attr_command
0000000180a931f4 (__TEXT,__text) external _mach_voucher_deallocate
0000000180abc248 (__TEXT,__text) external _mach_voucher_debug_info
0000000180abbd94 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
