000000019dd295d0 (__TEXT,__text) non-external +[Calculate _lock]
000000019dd19c90 (__TEXT,__text) non-external -[UnitRanks containsTo]
000000019dd19c84 (__TEXT,__text) non-external -[UnitRanks containsUnit]
000000019dd19fa8 (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
000000019dd19f08 (__TEXT,__text) non-external -[UnitRanks init]
000000019dd19e6c (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
000000019dd19cb4 (__TEXT,__text) non-external -[UnitRanks ranks]
000000019dd19ca8 (__TEXT,__text) non-external -[UnitRanks setRanks:]
000000019dd19c2c (__TEXT,__text) non-external -[UnitRanks setUnits:]
000000019dd19c40 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
000000019dd19eb0 (__TEXT,__text) non-external -[UnitRanks sort]
000000019dd19c4c (__TEXT,__text) non-external -[UnitRanks unitsInfo]
000000019dd19c38 (__TEXT,__text) non-external -[UnitRanks units]
000000019dd1a7d4 (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
000000019dd1a85c (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
000000019dd1a8ec (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
000000019dd1a8c0 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
000000019dd1a838 (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
000000019dd1a900 (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
000000019dd1a848 (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
000000019dd1a828 (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
000000019dd1a914 (__TEXT,__text) non-external -[UnitTypeInfo name]
000000019dd1a850 (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
000000019dd1a89c (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
000000019dd1a8e4 (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
000000019dd1a830 (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
000000019dd1a8f8 (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
000000019dd1a840 (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
000000019dd1a820 (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
000000019dd1a908 (__TEXT,__text) non-external -[UnitTypeInfo setName:]
000000019dd1a91c (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
000000019dd1a888 (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
000000019dd1a924 (__TEXT,__text) non-external -[UnitTypeInfo unitType]
000000019dd1a894 (__TEXT,__text) non-external -[UnitTypeInfo units]
000000019dd1a92c (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
000000019dd1aa28 (__TEXT,__text) non-external -[UnitsInfo angleInfo]
000000019dd1a9f0 (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
000000019dd1aac4 (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
000000019dd1aac0 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
000000019dd1aabc (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
000000019dd1ab50 (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
000000019dd1aad0 (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
000000019dd1ac78 (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
000000019dd1abf8 (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
000000019dd1ad24 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
000000019dd1aac8 (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
000000019dd1aacc (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
000000019dd1be90 (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
000000019dd1a9b8 (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
000000019dd1aa1c (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
000000019dd1a9e4 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
000000019dd1a9ac (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
000000019dd1aa7c (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
000000019dd1aa90 (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
000000019dd1aa68 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
000000019dd1aa54 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
000000019dd1aaac (__TEXT,__text) non-external -[UnitsInfo unitCount]
000000019dd1aa88 (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
000000019dd1aa9c (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
000000019dd1aab4 (__TEXT,__text) non-external -[UnitsInfo unitNames]
000000019dd1aaa4 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
000000019dd1aa74 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
000000019dd1aa60 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
000000019de92b00 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
000000019de92b2c (__TEXT,__gcc_except_tab) non-external GCC_except_table30
000000019de92b3c (__TEXT,__gcc_except_tab) non-external GCC_except_table33
000000019de92b80 (__TEXT,__gcc_except_tab) non-external GCC_except_table411
000000019de93254 (__TEXT,__gcc_except_tab) non-external GCC_except_table420
000000019de92b4c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
000000019de93274 (__TEXT,__gcc_except_tab) non-external GCC_except_table591
000000019de93380 (__TEXT,__gcc_except_tab) non-external GCC_except_table606
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
000000019dd29a90 (__TEXT,__text) external _CalculateExpression
000000019dd297ac (__TEXT,__text) external _CalculateExpressionError
000000019dd29a98 (__TEXT,__text) external _CalculateInternationalExpression
00000001d4e74600 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00000001d4e745f0 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00000001d4e745f8 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00000001d4e745d8 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00000001d4e745e8 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00000001d4e74618 (__DATA_CONST,__const) external _CalculateKeyEngine
00000001d4e74628 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00000001d4e745e0 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00000001d4e74620 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00000001d4e745c8 (__DATA_CONST,__const) external _CalculateKeyLocales
00000001d4e74630 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00000001d4e74608 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00000001d4e745d0 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00000001d4e74610 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
000000019dd19830 (__TEXT,__text) non-external _CalculateLogForCategory
00000001d9195328 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects
00000001d9195330 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
000000019dd297a0 (__TEXT,__text) external _CalculatePerformExpression
000000019dd08990 (__TEXT,__text) non-external _CountLeadingZeros
00000001d91952d0 (__DATA,__bss) non-external _DecimalPi.initialized
00000001d91952c0 (__DATA,__bss) non-external _DecimalPi.pi.0
000000019dd10cd4 (__TEXT,__text) non-external _DecimalToDegrees
00000001d9195310 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00000001d9195300 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00000001d91952f0 (__DATA,__bss) non-external _DecimalToRadians.initialized
00000001d91952e0 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00000001d9195290 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00000001d9195280 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00000001d91952b0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00000001d91952a0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00000001d9195250 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00000001d9195240 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00000001d9195270 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00000001d9195260 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00000001dbaa9920 (__AUTH,__objc_data) external _OBJC_CLASS_$_Calculate
00000001dbaa9a38 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00000001dbaa99c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateResult
00000001dbaa9998 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00000001dbaa9ab0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00000001dbaa9b00 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00000001dbaa9948 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00000001dbaa96c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_Converter
00000001dbaa96f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00000001dbaa9ba0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00000001dbaa9b28 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Trie
00000001dbaa98a8 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00000001dbaa97e0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00000001dbaa9b78 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00000001dbaa9b50 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00000001dbaa9858 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00000001dbaa9bf0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00000001d9194bb4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00000001d9194bb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00000001d9194bb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00000001d9194bbc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00000001d9194bc0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00000001d9194b5c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00000001d9194b94 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00000001d9194b7c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00000001d9194b60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00000001d9194b68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00000001d9194b90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00000001d9194b64 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00000001d9194b84 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00000001d9194b70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00000001d9194b80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00000001d9194b98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00000001d9194b9c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00000001d9194ba0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00000001d9194b78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00000001d9194b6c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00000001d9194b8c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00000001d9194bac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00000001d9194b74 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00000001d9194ba4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00000001d9194b88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00000001d9194ba8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00000001d9194b58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00000001d9194b54 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00000001d9194b50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00000001d9194b4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00000001d9194bd0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00000001d9194bcc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00000001d9194bc8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00000001d9194bc4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00000001d9194bd4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00000001d9194bf4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00000001d9194bdc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00000001d9194bec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00000001d9194bf0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00000001d9194bd8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00000001d9194be8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00000001d9194be4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00000001d9194be0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00000001d9194bf8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00000001d9194bfc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00000001d9194b38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00000001d9194b3c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00000001d9194b44 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00000001d9194b48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00000001d9194b40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00000001d9194c2c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00000001d9194c30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00000001d9194c28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00000001d9194c00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00000001d9194c04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00000001d9194c10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00000001d9194c24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00000001d9194c14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00000001d9194c20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00000001d9194c1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00000001d9194c18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00000001d9194c08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00000001d9194c0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00000001d9194a10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00000001d9194a14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00000001d9194a18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00000001d9194a1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00000001d9194a04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00000001d9194a28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00000001d9194a2c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00000001d9194a20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00000001d9194a08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00000001d9194a24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00000001d9194a0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00000001d9194a00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00000001d9194b0c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00000001d9194b14 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00000001d9194b18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00000001d9194b28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00000001d9194b10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00000001d9194b34 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00000001d9194b1c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00000001d9194b20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00000001d9194b2c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00000001d9194b30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00000001d9194b24 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00000001d9194b00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00000001d9194b04 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00000001d9194b08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00000001d9194aa0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00000001d9194aac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00000001d9194aa8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00000001d9194a90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00000001d9194a78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00000001d9194a7c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00000001d9194a68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00000001d9194a60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00000001d9194a70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00000001d9194a64 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00000001d9194a6c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00000001d9194a5c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00000001d9194a74 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00000001d9194aa4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00000001d9194a94 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00000001d9194a88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00000001d9194a98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00000001d9194a9c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00000001d9194a8c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00000001d9194a80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00000001d9194a84 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00000001d9194a3c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00000001d9194a38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00000001d9194a34 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00000001d9194a30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00000001d9194a4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00000001d9194a40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00000001d9194a44 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00000001d9194a48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00000001d9194a50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00000001d9194a58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00000001d9194a54 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00000001d9194acc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00000001d9194ad4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00000001d9194ad0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
00000001d9194ab8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00000001d9194ab0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
00000001d9194ab4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00000001d9194abc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00000001d9194ac4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00000001d9194ac0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00000001d9194ac8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
