00007fff77d341e4 (__TEXT,__text) non-external _Done_iODBC
00007fff8d92c7d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007fff8d92c800 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007fff8d92c830 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007fff8d92c8a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007fff8d92c8e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007fff8d92c960 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007fff8d92c9c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007fff8d92ca40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007fff8d92ca70 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007fff8d92cac0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007fff8d92c780 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007fff8d92caf0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007fff8d92bf50 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007fff8d92bb20 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007fff8d92bf70 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007fff8d92bbf0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007fff8d92bc10 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007fff8d92bcc0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007fff8d92bff0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007fff8d92bfa0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007fff8d92b8f0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007fff77d4b59b (__TEXT,__text) non-external __trace_bufferlen
00007fff77d4adb8 (__TEXT,__text) non-external __trace_c_type
00007fff77d4829c (__TEXT,__text) non-external __trace_colattr2_type
00007fff77d485a5 (__TEXT,__text) non-external __trace_colattr3_data
00007fff77d482d7 (__TEXT,__text) non-external __trace_colattr3_type
00007fff77d44ae0 (__TEXT,__text) non-external __trace_connattr_type
00007fff77d4b864 (__TEXT,__text) non-external __trace_connopt_type
00007fff77d4d533 (__TEXT,__text) non-external __trace_connstr
00007fff77d4d7be (__TEXT,__text) non-external __trace_connstr_hidepwd
00007fff77d4d71d (__TEXT,__text) non-external __trace_connstr_w
00007fff77d4c8b4 (__TEXT,__text) non-external __trace_data
00007fff77d44d68 (__TEXT,__text) non-external __trace_desc_null
00007fff77d47c70 (__TEXT,__text) non-external __trace_descfield_type
00007fff77d4c5f8 (__TEXT,__text) non-external __trace_diag_type
00007fff77d49a70 (__TEXT,__text) non-external __trace_direction
00007fff77d4d5ff (__TEXT,__text) non-external __trace_drvcn_completion
00007fff77d45637 (__TEXT,__text) non-external __trace_envattr_type
00007fff77d45ca5 (__TEXT,__text) non-external __trace_fetchtype
00007fff77d4dc66 (__TEXT,__text) non-external __trace_freestmt_option
00007fff77d49245 (__TEXT,__text) non-external __trace_func_name
00007fff77d49198 (__TEXT,__text) non-external __trace_func_result
00007fff77d45e91 (__TEXT,__text) non-external __trace_getinfo
00007fff77d4a904 (__TEXT,__text) non-external __trace_handle
00007fff77d4a89f (__TEXT,__text) non-external __trace_handle_p
00007fff77d4a864 (__TEXT,__text) non-external __trace_handletype
00007fff77d4b0c4 (__TEXT,__text) non-external __trace_inouttype
00007fff77d4a976 (__TEXT,__text) non-external __trace_integer
00007fff77d4aa8e (__TEXT,__text) non-external __trace_integer_p
00007fff77d4ab5d (__TEXT,__text) non-external __trace_len
00007fff77d4ab97 (__TEXT,__text) non-external __trace_len_p
00007fff77d4a9af (__TEXT,__text) non-external __trace_pointer
00007fff77d4a6e6 (__TEXT,__text) non-external __trace_print_function
00007fff77d45d72 (__TEXT,__text) non-external __trace_scrollopt_type
00007fff77d45b78 (__TEXT,__text) non-external __trace_setpos_irow
00007fff77d45bcf (__TEXT,__text) non-external __trace_setpos_lock
00007fff77d45b94 (__TEXT,__text) non-external __trace_setpos_oper
00007fff77d4a93d (__TEXT,__text) non-external __trace_smallint
00007fff77d4a9e7 (__TEXT,__text) non-external __trace_smallint_p
00007fff77d4585a (__TEXT,__text) non-external __trace_spcols_null
00007fff77d4581f (__TEXT,__text) non-external __trace_spcols_scope
00007fff77d457de (__TEXT,__text) non-external __trace_spcols_type
00007fff77d4b4e0 (__TEXT,__text) non-external __trace_sql_subtype
00007fff77d4b0ff (__TEXT,__text) non-external __trace_sql_type
00007fff77d4b2d4 (__TEXT,__text) non-external __trace_sql_type_p
00007fff77d4d9a8 (__TEXT,__text) non-external __trace_stats_accuracy
00007fff77d4d968 (__TEXT,__text) non-external __trace_stats_unique
00007fff77d4bb48 (__TEXT,__text) non-external __trace_stmtattr_type
00007fff77d4c2f8 (__TEXT,__text) non-external __trace_stmtopt_type
00007fff77d4ac3d (__TEXT,__text) non-external __trace_string
00007fff77d4ace6 (__TEXT,__text) non-external __trace_string_w
00007fff77d4ab33 (__TEXT,__text) non-external __trace_stringlen
00007fff8d92cbf0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007fff77d4cf79 (__TEXT,__text) non-external __trace_tran_completion
00007fff77d4d214 (__TEXT,__text) non-external __trace_typeinfo
00007fff77d4a993 (__TEXT,__text) non-external __trace_uinteger
00007fff77d4aae1 (__TEXT,__text) non-external __trace_uinteger_p
00007fff77d4ab7a (__TEXT,__text) non-external __trace_ulen
00007fff77d4abea (__TEXT,__text) non-external __trace_ulen_p
00007fff77d4a95a (__TEXT,__text) non-external __trace_usmallint
00007fff77d4aa3b (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007fff77d4efa2 (__TEXT,__text) non-external _calc_len_for_utf8
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007fff86949d12 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007fff77d4eb4b (__TEXT,__text) non-external _dm_SQL_A2W
00007fff77d4f064 (__TEXT,__text) non-external _dm_SQL_U8toW
00007fff77d4eae6 (__TEXT,__text) non-external _dm_SQL_W2A
00007fff77d4ed83 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007fff77d4ebb4 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007fff77d4f252 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007fff77d4ec52 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007fff77d4ecea (__TEXT,__text) non-external _dm_strcpy_A2W
00007fff77d4ed38 (__TEXT,__text) non-external _dm_strcpy_W2A
00007fff77d5071e (__TEXT,__text) non-external _do_create_dsns
00007fff86949cd0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007fff86949cb0 (__DATA,__common) non-external _ierror
00007fff77d50854 (__TEXT,__text) non-external _install_from_ini
00007fff77d50d3b (__TEXT,__text) non-external _install_from_string
00007fff86949718 (__DATA,__data) external _iodbc_version
00007fff86949bf0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007fff86949c38 (__DATA,__data) non-external _numerrors
00007fff86949720 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007fff86949c40 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007fff77d50edf (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007fff8d92ad50 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007fff86949c80 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007fff77d4765f (__TEXT,__text) non-external _trace_SQLAllocConnect
00007fff77d4b7cf (__TEXT,__text) non-external _trace_SQLAllocEnv
00007fff77d4812c (__TEXT,__text) non-external _trace_SQLAllocHandle
00007fff77d499c3 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007fff77d48092 (__TEXT,__text) non-external _trace_SQLBindCol
00007fff77d48b0e (__TEXT,__text) non-external _trace_SQLBindParameter
00007fff77d4b655 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007fff77d4b712 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007fff77d45780 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007fff77d4c83f (__TEXT,__text) non-external _trace_SQLCancel
00007fff77d49a46 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007fff77d48510 (__TEXT,__text) non-external _trace_SQLColAttribute
00007fff77d488e8 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007fff77d48980 (__TEXT,__text) non-external _trace_SQLColAttributes
00007fff77d48a2d (__TEXT,__text) non-external _trace_SQLColAttributesW
00007fff77d4c41e (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007fff77d4c50a (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007fff77d47720 (__TEXT,__text) non-external _trace_SQLColumns
00007fff77d4780c (__TEXT,__text) non-external _trace_SQLColumnsW
00007fff77d4be70 (__TEXT,__text) non-external _trace_SQLConnect
00007fff77d4bf2b (__TEXT,__text) non-external _trace_SQLConnectW
00007fff77d45c6c (__TEXT,__text) non-external _trace_SQLCopyDesc
00007fff77d49ad4 (__TEXT,__text) non-external _trace_SQLDataSources
00007fff77d49bb4 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007fff77d44dd6 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007fff77d44ec0 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007fff77d4c37b (__TEXT,__text) non-external _trace_SQLDescribeParam
00007fff77d49a1c (__TEXT,__text) non-external _trace_SQLDisconnect
00007fff77d4d450 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007fff77d4d63a (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007fff77d48d70 (__TEXT,__text) non-external _trace_SQLDrivers
00007fff77d48e50 (__TEXT,__text) non-external _trace_SQLDriversW
00007fff77d4761c (__TEXT,__text) non-external _trace_SQLEndTran
00007fff77d451dc (__TEXT,__text) non-external _trace_SQLError
00007fff77d452c3 (__TEXT,__text) non-external _trace_SQLErrorW
00007fff77d49813 (__TEXT,__text) non-external _trace_SQLExecDirect
00007fff77d49870 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007fff77d457b4 (__TEXT,__text) non-external _trace_SQLExecute
00007fff77d45ce4 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007fff77d49d4f (__TEXT,__text) non-external _trace_SQLFetch
00007fff77d4b819 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007fff77d4bfe6 (__TEXT,__text) non-external _trace_SQLForeignKeys
00007fff77d4c130 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007fff77d4c2ce (__TEXT,__text) non-external _trace_SQLFreeConnect
00007fff77d45b4e (__TEXT,__text) non-external _trace_SQLFreeEnv
00007fff77d475ed (__TEXT,__text) non-external _trace_SQLFreeHandle
00007fff77d4dc9e (__TEXT,__text) non-external _trace_SQLFreeStmt
00007fff77d44c58 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007fff77d44ce0 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007fff77d4ba28 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007fff77d4ba70 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007fff77d48193 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007fff77d48217 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007fff77d4cea4 (__TEXT,__text) non-external _trace_SQLGetData
00007fff77d47f64 (__TEXT,__text) non-external _trace_SQLGetDescField
00007fff77d47ffb (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007fff77d44faa (__TEXT,__text) non-external _trace_SQLGetDescRec
00007fff77d450c3 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007fff77d4c70c (__TEXT,__text) non-external _trace_SQLGetDiagField
00007fff77d4c7b2 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007fff77d4547d (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007fff77d4555c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007fff77d456a4 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007fff77d497c0 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007fff77d45e04 (__TEXT,__text) non-external _trace_SQLGetInfo
00007fff77d47340 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007fff77d4bd7c (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007fff77d4be04 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007fff77d4c333 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007fff77d4d3e8 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007fff77d4d41c (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007fff77d4cf4f (__TEXT,__text) non-external _trace_SQLMoreResults
00007fff77d47ad8 (__TEXT,__text) non-external _trace_SQLNativeSql
00007fff77d47ba4 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007fff77d478f8 (__TEXT,__text) non-external _trace_SQLNumParams
00007fff77d4c27a (__TEXT,__text) non-external _trace_SQLNumResultCols
00007fff77d48ada (__TEXT,__text) non-external _trace_SQLParamData
00007fff77d476b8 (__TEXT,__text) non-external _trace_SQLParamOptions
00007fff77d4dcd2 (__TEXT,__text) non-external _trace_SQLPrepare
00007fff77d4dd2f (__TEXT,__text) non-external _trace_SQLPrepareW
00007fff77d48f30 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007fff77d48ff6 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007fff77d473cd (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007fff77d474b9 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007fff77d48be4 (__TEXT,__text) non-external _trace_SQLProcedures
00007fff77d48caa (__TEXT,__text) non-external _trace_SQLProceduresW
00007fff77d4c869 (__TEXT,__text) non-external _trace_SQLPutData
00007fff77d4572c (__TEXT,__text) non-external _trace_SQLRowCount
00007fff77d4d8c4 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007fff77d4d916 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007fff77d4bab8 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007fff77d4bb00 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007fff77d49c97 (__TEXT,__text) non-external _trace_SQLSetCursorName
00007fff77d49cf3 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007fff77d453af (__TEXT,__text) non-external _trace_SQLSetDescField
00007fff77d45416 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007fff77d490bc (__TEXT,__text) non-external _trace_SQLSetDescRec
00007fff77d498cd (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007fff77d45c0a (__TEXT,__text) non-external _trace_SQLSetPos
00007fff77d45db1 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007fff77d4991f (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007fff77d49971 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007fff77d475a5 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007fff77d4589a (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007fff77d459f4 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007fff77d4d9e8 (__TEXT,__text) non-external _trace_SQLStatistics
00007fff77d4db27 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007fff77d4794c (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007fff77d47a12 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007fff77d4d039 (__TEXT,__text) non-external _trace_SQLTables
00007fff77d4d125 (__TEXT,__text) non-external _trace_SQLTablesW
00007fff77d4cfb9 (__TEXT,__text) non-external _trace_SQLTransact
00007fff86949c70 (__DATA,__bss) non-external _trace_appname
00007fff77d4a267 (__TEXT,__text) non-external _trace_emit
00007fff77d4a562 (__TEXT,__text) non-external _trace_emit_binary
00007fff77d4a358 (__TEXT,__text) non-external _trace_emit_string
00007fff77d4a332 (__TEXT,__text) non-external _trace_emitc
00007fff86949c78 (__DATA,__bss) non-external _trace_fname
00007fff86949c90 (__DATA,__bss) non-external _trace_fp
00007fff86949c98 (__DATA,__bss) non-external _trace_fp_close
00007fff77d49dac (__TEXT,__text) non-external _trace_get_filename
00007fff77d49d7c (__TEXT,__text) non-external _trace_set_appname
00007fff77d49dbd (__TEXT,__text) non-external _trace_set_filename
00007fff77d4a03b (__TEXT,__text) non-external _trace_start
00007fff77d4a1c7 (__TEXT,__text) non-external _trace_stop
00007fff77d49fe8 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007fff77d4f1fe (__TEXT,__text) non-external _utf8_len
00007fff77d4f2d6 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007fff86949d10 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
