00007ffc0e6c13d3 (__TEXT,__text) non-external _Done_iODBC
00007ffc401de450 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffc401de2e0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffc401de470 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffc401ddf70 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffc401de040 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffc401decc0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffc401de060 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffc401de070 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffc401de490 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffc401dece0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffc401ded00 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffc401de500 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffc401de4d0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffc401ded20 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffc401de090 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffc401de0c0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffc401ded80 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffc401deda0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffc401dedd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffc401dee00 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffc401dee70 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffc401deeb0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffc401def30 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffc401def90 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffc401df010 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffc401df040 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffc401df090 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffc401ded50 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffc401df0c0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffc401de520 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffc401de0f0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffc401de540 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffc401de1c0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffc401de1e0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffc401de290 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffc401de5c0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffc401de570 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffc401ddec0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffc0e6d8649 (__TEXT,__text) non-external __trace_bufferlen
00007ffc0e6d7e65 (__TEXT,__text) non-external __trace_c_type
00007ffc0e6d5338 (__TEXT,__text) non-external __trace_colattr2_type
00007ffc0e6d5638 (__TEXT,__text) non-external __trace_colattr3_data
00007ffc0e6d5376 (__TEXT,__text) non-external __trace_colattr3_type
00007ffc0e6d1b20 (__TEXT,__text) non-external __trace_connattr_type
00007ffc0e6d892c (__TEXT,__text) non-external __trace_connopt_type
00007ffc0e6da62c (__TEXT,__text) non-external __trace_connstr
00007ffc0e6da8bc (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffc0e6da81b (__TEXT,__text) non-external __trace_connstr_w
00007ffc0e6d9988 (__TEXT,__text) non-external __trace_data
00007ffc0e6d1dae (__TEXT,__text) non-external __trace_desc_null
00007ffc0e6d4cfc (__TEXT,__text) non-external __trace_descfield_type
00007ffc0e6d96cc (__TEXT,__text) non-external __trace_diag_type
00007ffc0e6d6b0d (__TEXT,__text) non-external __trace_direction
00007ffc0e6da6f9 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffc0e6d268e (__TEXT,__text) non-external __trace_envattr_type
00007ffc0e6d2d11 (__TEXT,__text) non-external __trace_fetchtype
00007ffc0e6dad62 (__TEXT,__text) non-external __trace_freestmt_option
00007ffc0e6d62e1 (__TEXT,__text) non-external __trace_func_name
00007ffc0e6d6240 (__TEXT,__text) non-external __trace_func_result
00007ffc0e6d2f01 (__TEXT,__text) non-external __trace_getinfo
00007ffc0e6d79a7 (__TEXT,__text) non-external __trace_handle
00007ffc0e6d7942 (__TEXT,__text) non-external __trace_handle_p
00007ffc0e6d7904 (__TEXT,__text) non-external __trace_handletype
00007ffc0e6d8170 (__TEXT,__text) non-external __trace_inouttype
00007ffc0e6d7a19 (__TEXT,__text) non-external __trace_integer
00007ffc0e6d7b31 (__TEXT,__text) non-external __trace_integer_p
00007ffc0e6d7c0a (__TEXT,__text) non-external __trace_len
00007ffc0e6d7c44 (__TEXT,__text) non-external __trace_len_p
00007ffc0e6d7a52 (__TEXT,__text) non-external __trace_pointer
00007ffc0e6d7775 (__TEXT,__text) non-external __trace_print_function
00007ffc0e6d2dde (__TEXT,__text) non-external __trace_scrollopt_type
00007ffc0e6d2bdf (__TEXT,__text) non-external __trace_setpos_irow
00007ffc0e6d2c39 (__TEXT,__text) non-external __trace_setpos_lock
00007ffc0e6d2bfb (__TEXT,__text) non-external __trace_setpos_oper
00007ffc0e6d79e0 (__TEXT,__text) non-external __trace_smallint
00007ffc0e6d7a8a (__TEXT,__text) non-external __trace_smallint_p
00007ffc0e6d28b8 (__TEXT,__text) non-external __trace_spcols_null
00007ffc0e6d287a (__TEXT,__text) non-external __trace_spcols_scope
00007ffc0e6d2839 (__TEXT,__text) non-external __trace_spcols_type
00007ffc0e6d8590 (__TEXT,__text) non-external __trace_sql_subtype
00007ffc0e6d81ae (__TEXT,__text) non-external __trace_sql_type
00007ffc0e6d8384 (__TEXT,__text) non-external __trace_sql_type_p
00007ffc0e6daaa9 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffc0e6daa6a (__TEXT,__text) non-external __trace_stats_unique
00007ffc0e6d8c0c (__TEXT,__text) non-external __trace_stmtattr_type
00007ffc0e6d93c3 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffc0e6d7cea (__TEXT,__text) non-external __trace_string
00007ffc0e6d7d93 (__TEXT,__text) non-external __trace_string_w
00007ffc0e6d7bd6 (__TEXT,__text) non-external __trace_stringlen
00007ffc401df0e0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffc0e6da070 (__TEXT,__text) non-external __trace_tran_completion
00007ffc0e6da310 (__TEXT,__text) non-external __trace_typeinfo
00007ffc0e6d7a36 (__TEXT,__text) non-external __trace_uinteger
00007ffc0e6d7b84 (__TEXT,__text) non-external __trace_uinteger_p
00007ffc0e6d7c27 (__TEXT,__text) non-external __trace_ulen
00007ffc0e6d7c97 (__TEXT,__text) non-external __trace_ulen_p
00007ffc0e6d79fd (__TEXT,__text) non-external __trace_usmallint
00007ffc0e6d7ade (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffc41229182 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc0e6dbba7 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffc0e6dc0d2 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffc0e6dbb41 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffc0e6dbdf3 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffc0e6dbc11 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffc0e6dc2dc (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffc0e6dbcb7 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffc0e6dbd5a (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffc0e6dbda8 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffc0e6dd888 (__TEXT,__text) non-external _do_create_dsns
00007ffc41229140 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffc41229120 (__DATA,__common) non-external _ierror
00007ffc0e6dd9b1 (__TEXT,__text) non-external _install_from_ini
00007ffc0e6ddea4 (__TEXT,__text) non-external _install_from_string
00007ffc41228b80 (__DATA,__data) external _iodbc_version
00007ffc41229060 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc412290a8 (__DATA,__data) non-external _numerrors
00007ffc41228b90 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffc412290b0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc0e6de049 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffc401dd400 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffc412290f0 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffc0e6d46d5 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffc0e6d8894 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffc0e6d51bb (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffc0e6d6a5d (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffc0e6d5120 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffc0e6d5bb1 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffc0e6d871c (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffc0e6d87d8 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffc0e6d27dd (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffc0e6d9915 (__TEXT,__text) non-external _trace_SQLCancel
00007ffc0e6d6ae3 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffc0e6d55a4 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffc0e6d5988 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffc0e6d5a1f (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffc0e6d5ace (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffc0e6d94ee (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffc0e6d95dd (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffc0e6d479c (__TEXT,__text) non-external _trace_SQLColumns
00007ffc0e6d488b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffc0e6d8f3a (__TEXT,__text) non-external _trace_SQLConnect
00007ffc0e6d8ffa (__TEXT,__text) non-external _trace_SQLConnectW
00007ffc0e6d2cd8 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffc0e6d6b6c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffc0e6d6c51 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffc0e6d1e1f (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffc0e6d1f0b (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffc0e6d9449 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffc0e6d6ab9 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffc0e6da548 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffc0e6da737 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffc0e6d5e12 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffc0e6d5ef7 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffc0e6d4690 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffc0e6d2223 (__TEXT,__text) non-external _trace_SQLError
00007ffc0e6d2312 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffc0e6d68ae (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffc0e6d690c (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffc0e6d280f (__TEXT,__text) non-external _trace_SQLExecute
00007ffc0e6d2d53 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffc0e6d6de9 (__TEXT,__text) non-external _trace_SQLFetch
00007ffc0e6d88e1 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffc0e6d90ba (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffc0e6d91fe (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffc0e6d9399 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffc0e6d2bb5 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffc0e6d465e (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffc0e6dad9d (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffc0e6d1c98 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffc0e6d1d23 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffc0e6d8aec (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffc0e6d8b34 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffc0e6d5225 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffc0e6d52ad (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffc0e6d9fa0 (__TEXT,__text) non-external _trace_SQLGetData
00007ffc0e6d4ff0 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffc0e6d5088 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffc0e6d1ff7 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffc0e6d210d (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffc0e6d97e0 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffc0e6d9888 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffc0e6d24cf (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffc0e6d25ae (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffc0e6d26fb (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffc0e6d6858 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffc0e6d2e74 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffc0e6d43ac (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffc0e6d8e40 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffc0e6d8ecb (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffc0e6d9401 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffc0e6da4e4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffc0e6da516 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffc0e6da046 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffc0e6d4b59 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffc0e6d4c2a (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffc0e6d497a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffc0e6d9342 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffc0e6d5b7d (__TEXT,__text) non-external _trace_SQLParamData
00007ffc0e6d4731 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffc0e6dadcf (__TEXT,__text) non-external _trace_SQLPrepare
00007ffc0e6dae2d (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffc0e6d5fdc (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffc0e6d60a0 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffc0e6d4439 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffc0e6d4528 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffc0e6d5c8a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffc0e6d5d4e (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffc0e6d993f (__TEXT,__text) non-external _trace_SQLPutData
00007ffc0e6d2786 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffc0e6da9c8 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffc0e6daa19 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffc0e6d8b7c (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffc0e6d8bc4 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffc0e6d6d2f (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffc0e6d6d8c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffc0e6d2401 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffc0e6d2468 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffc0e6d6164 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffc0e6d696a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffc0e6d2c77 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffc0e6d2e20 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffc0e6d69bb (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffc0e6d6a0c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffc0e6d4617 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffc0e6d28f7 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffc0e6d2a56 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffc0e6daae8 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffc0e6dac25 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffc0e6d49d1 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffc0e6d4a95 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffc0e6da130 (__TEXT,__text) non-external _trace_SQLTables
00007ffc0e6da21f (__TEXT,__text) non-external _trace_SQLTablesW
00007ffc0e6da0b0 (__TEXT,__text) non-external _trace_SQLTransact
00007ffc412290e0 (__DATA,__bss) non-external _trace_appname
00007ffc0e6d7307 (__TEXT,__text) non-external _trace_emit
00007ffc0e6d75f8 (__TEXT,__text) non-external _trace_emit_binary
00007ffc0e6d73f8 (__TEXT,__text) non-external _trace_emit_string
00007ffc0e6d73d2 (__TEXT,__text) non-external _trace_emitc
00007ffc412290e8 (__DATA,__bss) non-external _trace_fname
00007ffc41229100 (__DATA,__bss) non-external _trace_fp
00007ffc41229108 (__DATA,__bss) non-external _trace_fp_close
00007ffc0e6d6e44 (__TEXT,__text) non-external _trace_get_filename
00007ffc0e6d6e14 (__TEXT,__text) non-external _trace_set_appname
00007ffc0e6d6e55 (__TEXT,__text) non-external _trace_set_filename
00007ffc0e6d70d1 (__TEXT,__text) non-external _trace_start
00007ffc0e6d7267 (__TEXT,__text) non-external _trace_stop
00007ffc0e6d707e (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffc0e6dc27c (__TEXT,__text) non-external _utf8_len
00007ffc0e6dc35b (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffc41229180 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
