00007ffd1affa048 (__TEXT,__text) non-external _Done_iODBC
00007ffd42588eb0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffd42588ed0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffd425886d0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffd425886a0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffd42588ef0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffd42588260 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffd42588290 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffd42588f50 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffd42588f70 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffd42588fa0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffd42588fd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffd42589040 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffd42589080 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffd42589100 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffd42589160 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffd425891e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffd42589210 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffd42589260 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffd42588f20 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffd42589290 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffd425886f0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffd425882c0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffd42588710 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffd42588390 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffd425883b0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffd42588460 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffd42588790 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffd42588740 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffd42588090 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffd1b01143d (__TEXT,__text) non-external __trace_bufferlen
00007ffd1b010c42 (__TEXT,__text) non-external __trace_c_type
00007ffd1b00e0ac (__TEXT,__text) non-external __trace_colattr2_type
00007ffd1b00e3a8 (__TEXT,__text) non-external __trace_colattr3_data
00007ffd1b00e0e6 (__TEXT,__text) non-external __trace_colattr3_type
00007ffd1b00a8b0 (__TEXT,__text) non-external __trace_connattr_type
00007ffd1b011720 (__TEXT,__text) non-external __trace_connopt_type
00007ffd1b01341c (__TEXT,__text) non-external __trace_connstr
00007ffd1b0136b2 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffd1b013611 (__TEXT,__text) non-external __trace_connstr_w
00007ffd1b01277c (__TEXT,__text) non-external __trace_data
00007ffd1b00ab2c (__TEXT,__text) non-external __trace_desc_null
00007ffd1b00da70 (__TEXT,__text) non-external __trace_descfield_type
00007ffd1b0124bc (__TEXT,__text) non-external __trace_diag_type
00007ffd1b00f879 (__TEXT,__text) non-external __trace_direction
00007ffd1b0134f3 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffd1b00b40d (__TEXT,__text) non-external __trace_envattr_type
00007ffd1b00ba7a (__TEXT,__text) non-external __trace_fetchtype
00007ffd1b013b58 (__TEXT,__text) non-external __trace_freestmt_option
00007ffd1b00f04d (__TEXT,__text) non-external __trace_func_name
00007ffd1b00efac (__TEXT,__text) non-external __trace_func_result
00007ffd1b00bc65 (__TEXT,__text) non-external __trace_getinfo
00007ffd1b010766 (__TEXT,__text) non-external __trace_handle
00007ffd1b010701 (__TEXT,__text) non-external __trace_handle_p
00007ffd1b0106c0 (__TEXT,__text) non-external __trace_handletype
00007ffd1b010f4c (__TEXT,__text) non-external __trace_inouttype
00007ffd1b0107d8 (__TEXT,__text) non-external __trace_integer
00007ffd1b0108f4 (__TEXT,__text) non-external __trace_integer_p
00007ffd1b0109d1 (__TEXT,__text) non-external __trace_len
00007ffd1b010a0b (__TEXT,__text) non-external __trace_len_p
00007ffd1b010811 (__TEXT,__text) non-external __trace_pointer
00007ffd1b010531 (__TEXT,__text) non-external __trace_print_function
00007ffd1b00bb46 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffd1b00b950 (__TEXT,__text) non-external __trace_setpos_irow
00007ffd1b00b9a6 (__TEXT,__text) non-external __trace_setpos_lock
00007ffd1b00b96c (__TEXT,__text) non-external __trace_setpos_oper
00007ffd1b01079f (__TEXT,__text) non-external __trace_smallint
00007ffd1b010849 (__TEXT,__text) non-external __trace_smallint_p
00007ffd1b00b62e (__TEXT,__text) non-external __trace_spcols_null
00007ffd1b00b5f4 (__TEXT,__text) non-external __trace_spcols_scope
00007ffd1b00b5b5 (__TEXT,__text) non-external __trace_spcols_type
00007ffd1b011380 (__TEXT,__text) non-external __trace_sql_subtype
00007ffd1b010f8d (__TEXT,__text) non-external __trace_sql_type
00007ffd1b01115c (__TEXT,__text) non-external __trace_sql_type_p
00007ffd1b0138a0 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffd1b013862 (__TEXT,__text) non-external __trace_stats_unique
00007ffd1b011a00 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffd1b0121b4 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffd1b010ab5 (__TEXT,__text) non-external __trace_string
00007ffd1b010b67 (__TEXT,__text) non-external __trace_string_w
00007ffd1b01099d (__TEXT,__text) non-external __trace_stringlen
00007ffd425892b0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffd1b012e64 (__TEXT,__text) non-external __trace_tran_completion
00007ffd1b013104 (__TEXT,__text) non-external __trace_typeinfo
00007ffd1b0107f5 (__TEXT,__text) non-external __trace_uinteger
00007ffd1b010949 (__TEXT,__text) non-external __trace_uinteger_p
00007ffd1b0109ee (__TEXT,__text) non-external __trace_ulen
00007ffd1b010a60 (__TEXT,__text) non-external __trace_ulen_p
00007ffd1b0107bc (__TEXT,__text) non-external __trace_usmallint
00007ffd1b01089f (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffd44667322 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd1b0149d2 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffd1b014f0f (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffd1b014962 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffd1b014c30 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffd1b014a46 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffd1b015129 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffd1b014aee (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffd1b014b8b (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffd1b014bdf (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffd1b0165e1 (__TEXT,__text) non-external _do_create_dsns
00007ffd446672e0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffd446672c0 (__DATA,__common) non-external _ierror
00007ffd1b01670a (__TEXT,__text) non-external _install_from_ini
00007ffd1b016c0f (__TEXT,__text) non-external _install_from_string
00007ffd44666d20 (__DATA,__data) external _iodbc_version
00007ffd44667200 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd44667248 (__DATA,__data) non-external _numerrors
00007ffd44666d30 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffd44667250 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffd1b016df4 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffd425875d0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffd44667290 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffd1b00d449 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffd1b011688 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffd1b00df2f (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffd1b00f7c9 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffd1b00de94 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffd1b00e91d (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffd1b011510 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffd1b0115cc (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffd1b00b559 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffd1b012709 (__TEXT,__text) non-external _trace_SQLCancel
00007ffd1b00f84f (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffd1b00e314 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffd1b00e6f4 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffd1b00e78b (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffd1b00e83a (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffd1b0122db (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffd1b0123ca (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffd1b00d510 (__TEXT,__text) non-external _trace_SQLColumns
00007ffd1b00d5ff (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffd1b011d2b (__TEXT,__text) non-external _trace_SQLConnect
00007ffd1b011deb (__TEXT,__text) non-external _trace_SQLConnectW
00007ffd1b00ba41 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffd1b00f8d8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffd1b00f9bd (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffd1b00ab9e (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffd1b00ac8a (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffd1b012236 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffd1b00f825 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffd1b013338 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffd1b01352d (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffd1b00eb7c (__TEXT,__text) non-external _trace_SQLDrivers
00007ffd1b00ec61 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffd1b00d404 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffd1b00afa2 (__TEXT,__text) non-external _trace_SQLError
00007ffd1b00b091 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffd1b00f61a (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffd1b00f678 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffd1b00b58b (__TEXT,__text) non-external _trace_SQLExecute
00007ffd1b00babb (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffd1b00fb55 (__TEXT,__text) non-external _trace_SQLFetch
00007ffd1b0116d5 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffd1b011eab (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffd1b011fef (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffd1b01218a (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffd1b00b926 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffd1b00d3d2 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffd1b013b92 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffd1b00aa1c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffd1b00aaa4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffd1b0118e0 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffd1b011928 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffd1b00df99 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffd1b00e021 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffd1b012d94 (__TEXT,__text) non-external _trace_SQLGetData
00007ffd1b00dd64 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffd1b00ddfc (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffd1b00ad76 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffd1b00ae8c (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffd1b0125d4 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffd1b01267c (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffd1b00b24e (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffd1b00b32d (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffd1b00b47a (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffd1b00f5c4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffd1b00bbd8 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffd1b00d120 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffd1b011c34 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffd1b011cbc (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffd1b0121ee (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffd1b0132d4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffd1b013306 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffd1b012e3a (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffd1b00d8cd (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffd1b00d99e (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffd1b00d6ee (__TEXT,__text) non-external _trace_SQLNumParams
00007ffd1b012133 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffd1b00e8e9 (__TEXT,__text) non-external _trace_SQLParamData
00007ffd1b00d4a5 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffd1b013bc4 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffd1b013c22 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffd1b00ed46 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffd1b00ee0a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffd1b00d1ad (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffd1b00d29c (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffd1b00e9f4 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffd1b00eab8 (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffd1b012733 (__TEXT,__text) non-external _trace_SQLPutData
00007ffd1b00b502 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffd1b0137c0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffd1b013811 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffd1b011970 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffd1b0119b8 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffd1b00fa9b (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffd1b00faf8 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffd1b00b180 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffd1b00b1e7 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffd1b00eece (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffd1b00f6d6 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffd1b00b9e0 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffd1b00bb87 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffd1b00f727 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffd1b00f778 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffd1b00d38b (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffd1b00b66c (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffd1b00b7c9 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffd1b0138de (__TEXT,__text) non-external _trace_SQLStatistics
00007ffd1b013a1b (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffd1b00d745 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffd1b00d809 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffd1b012f24 (__TEXT,__text) non-external _trace_SQLTables
00007ffd1b013013 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffd1b012ea4 (__TEXT,__text) non-external _trace_SQLTransact
00007ffd44667280 (__DATA,__bss) non-external _trace_appname
00007ffd1b01008e (__TEXT,__text) non-external _trace_emit
00007ffd1b010397 (__TEXT,__text) non-external _trace_emit_binary
00007ffd1b01017f (__TEXT,__text) non-external _trace_emit_string
00007ffd1b010159 (__TEXT,__text) non-external _trace_emitc
00007ffd44667288 (__DATA,__bss) non-external _trace_fname
00007ffd446672a0 (__DATA,__bss) non-external _trace_fp
00007ffd446672a8 (__DATA,__bss) non-external _trace_fp_close
00007ffd1b00fbb0 (__TEXT,__text) non-external _trace_get_filename
00007ffd1b00fb80 (__TEXT,__text) non-external _trace_set_appname
00007ffd1b00fbc1 (__TEXT,__text) non-external _trace_set_filename
00007ffd1b00fe58 (__TEXT,__text) non-external _trace_start
00007ffd1b00ffee (__TEXT,__text) non-external _trace_stop
00007ffd1b00fe05 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffd1b0150cb (__TEXT,__text) non-external _utf8_len
00007ffd1b0151a7 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffd44667320 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
