00000000000381d0 (__DATA,__data) external _NDR_record
0000000000035670 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000000000359d8 (__DATA_CONST,__const) non-external _err_codes_exception
00000000000356b0 (__DATA_CONST,__const) non-external _err_codes_execd
00000000000357b0 (__DATA_CONST,__const) non-external _err_codes_io
0000000000036318 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
0000000000035f50 (__DATA_CONST,__const) non-external _err_codes_iokit_common
000000000002c3b8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000000000361e0 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
000000000002c3f8 (__TEXT,__const) non-external _err_codes_iokit_fw_map
0000000000036100 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
000000000002c3c8 (__TEXT,__const) non-external _err_codes_iokit_usb_map
0000000000035278 (__DATA_CONST,__const) non-external _err_codes_kern
0000000000035de0 (__DATA_CONST,__const) non-external _err_codes_libkern_common
0000000000035e50 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
0000000000035df0 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000000000359a8 (__DATA_CONST,__const) non-external _err_codes_loader
0000000000035d90 (__DATA_CONST,__const) non-external _err_codes_mach_mig
0000000000035d08 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
0000000000035c50 (__DATA_CONST,__const) non-external _err_codes_mach_send
0000000000035978 (__DATA_CONST,__const) non-external _err_codes_machobj
0000000000035c10 (__DATA_CONST,__const) non-external _err_codes_mig
00000000000356d0 (__DATA_CONST,__const) non-external _err_codes_netmemory
0000000000035650 (__DATA_CONST,__const) non-external _err_codes_netname
0000000000035720 (__DATA_CONST,__const) non-external _err_codes_ns
0000000000035bc8 (__DATA_CONST,__const) non-external _err_codes_rcv
0000000000035b68 (__DATA_CONST,__const) non-external _err_codes_send
00000000000358e8 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000000000356f0 (__DATA_CONST,__const) non-external _err_codes_task_master
00000000000356e8 (__DATA_CONST,__const) non-external _err_codes_ufs
0000000000035420 (__DATA_CONST,__const) non-external _err_codes_unix
0000000000035828 (__DATA_CONST,__const) non-external _err_codes_us
0000000000035a10 (__DATA_CONST,__const) non-external _err_codes_ux_signal
0000000000035b00 (__DATA_CONST,__const) non-external _err_codes_xkernel
0000000000034698 (__DATA_CONST,__const) non-external _err_iokit_sub
000000000002c3a8 (__TEXT,__const) non-external _err_iokit_sub_map
0000000000034530 (__DATA_CONST,__const) non-external _err_ipc_sub
0000000000034620 (__DATA_CONST,__const) non-external _err_libkern_sub
00000000000345a8 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
0000000000034210 (__DATA_CONST,__const) non-external _err_os_sub
00000000000342b0 (__DATA_CONST,__const) non-external _err_server_sub
000000000002c380 (__TEXT,__const) non-external _err_us_sub
000000000003c060 (__DATA_DIRTY,__common) external _errno
00000000000269ec (__TEXT,__text) external _etap_trace_thread
0000000000017188 (__TEXT,__text) external _exc_server
0000000000016dfc (__TEXT,__text) external _exc_server_routine
000000000001683c (__TEXT,__text) external _exception_raise
00000000000169b0 (__TEXT,__text) external _exception_raise_state
0000000000016bd4 (__TEXT,__text) external _exception_raise_state_identity
000000000000c444 (__TEXT,__text) external _exchangedata
0000000000008fb8 (__TEXT,__text) external _execve
000000000002a570 (__TEXT,__text) external _faccessat
000000000002a598 (__TEXT,__text) external _fchdir
00000000000064b4 (__TEXT,__text) external _fchflags
0000000000005768 (__TEXT,__text) external _fchmod
000000000002a5c0 (__TEXT,__text) external _fchmodat
0000000000006844 (__TEXT,__text) external _fchown
000000000002a5e8 (__TEXT,__text) external _fchownat
000000000002a610 (__TEXT,__text) external _fclonefileat
0000000000001ec4 (__TEXT,__text) external _fcntl
0000000000005394 (__TEXT,__text) external _fcntl$NOCANCEL
000000000002a638 (__TEXT,__text) external _fdatasync
0000000000008334 (__TEXT,__text) external _ffsctl
00000000000049e0 (__TEXT,__text) external _fgetattrlist
00000000000056c4 (__TEXT,__text) external _fgetxattr
000000000002a660 (__TEXT,__text) external _fhopen
0000000000006fc4 (__TEXT,__text) external _fileport_makefd
00000000000071dc (__TEXT,__text) external _fileport_makeport
000000000000c388 (__TEXT,__text) external _flistxattr
00000000000050c4 (__TEXT,__text) external _flock
000000000002a688 (__TEXT,__text) external _fmount
000000000002a6b0 (__TEXT,__text) external _fpathconf
000000000000e5d0 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
0000000000007de8 (__TEXT,__text) non-external (was a private external) _free
000000000002a6d8 (__TEXT,__text) external _fremovexattr
0000000000013b54 (__TEXT,__text) external _fs_snapshot_create
0000000000013b70 (__TEXT,__text) external _fs_snapshot_delete
0000000000008ec0 (__TEXT,__text) external _fs_snapshot_list
0000000000013be0 (__TEXT,__text) external _fs_snapshot_mount
0000000000013b8c (__TEXT,__text) external _fs_snapshot_rename
0000000000013ba8 (__TEXT,__text) external _fs_snapshot_revert
0000000000013bc4 (__TEXT,__text) external _fs_snapshot_root
00000000000049b8 (__TEXT,__text) external _fsctl
000000000000681c (__TEXT,__text) external _fsetattrlist
0000000000006320 (__TEXT,__text) external _fsetxattr
0000000000004a8c (__TEXT,__text) external _fsgetpath
000000000002a700 (__TEXT,__text) external _fsgetpath_ext
000000000002a750 (__TEXT,__text) external _fstat
000000000002a750 (__TEXT,__text) external _fstat64
000000000002a7a0 (__TEXT,__text) external _fstatat
000000000002a7a0 (__TEXT,__text) external _fstatat64
000000000000bac0 (__TEXT,__text) external _fstatfs
000000000000bac0 (__TEXT,__text) external _fstatfs64
0000000000004b2c (__TEXT,__text) external _fsync
00000000000295dc (__TEXT,__text) external _fsync$NOCANCEL
00000000000047e4 (__TEXT,__text) external _ftruncate
000000000000fcbc (__TEXT,__text) external _futimens
00000000000064dc (__TEXT,__text) external _futimes
0000000000038000 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000000001df8 (__TEXT,__text) external _getattrlist
000000000002a7f0 (__TEXT,__text) external _getattrlistat
0000000000004834 (__TEXT,__text) external _getattrlistbulk
0000000000015f94 (__TEXT,__text) external _getaudit
00000000000035f0 (__TEXT,__text) external _getaudit_addr
000000000002a818 (__TEXT,__text) external _getauid
000000000002a840 (__TEXT,__text) external _getdirentries
000000000002a868 (__TEXT,__text) external _getdirentriesattr
00000000000091dc (__TEXT,__text) external _getdtablesize
0000000000002e48 (__TEXT,__text) external _getegid
0000000000001980 (__TEXT,__text) external _getentropy
000000000000267c (__TEXT,__text) external _geteuid
000000000002a890 (__TEXT,__text) external _getfh
000000000002a8e0 (__TEXT,__text) external _getfsstat
000000000002a8e0 (__TEXT,__text) external _getfsstat64
000000000000531c (__TEXT,__text) external _getgid
000000000000686c (__TEXT,__text) external _getgroups
000000000000667c (__TEXT,__text) external _gethostuuid
0000000000005858 (__TEXT,__text) external _getiopolicy_np
000000000002a908 (__TEXT,__text) external _getitimer
0000000000005740 (__TEXT,__text) external _getpeername
000000000000a6c0 (__TEXT,__text) external _getpgid
0000000000008f90 (__TEXT,__text) external _getpgrp
00000000000019b8 (__TEXT,__text) external _getpid
0000000000007254 (__TEXT,__text) external _getppid
0000000000008df8 (__TEXT,__text) external _getpriority
00000000000035c0 (__TEXT,__text) external _getrlimit
0000000000008154 (__TEXT,__text) external _getrusage
0000000000029604 (__TEXT,__text) external _getsgroups_np
000000000002a930 (__TEXT,__text) external _getsid
000000000000835c (__TEXT,__text) external _getsockname
0000000000005674 (__TEXT,__text) external _getsockopt
0000000000002df8 (__TEXT,__text) external _getuid
000000000002962c (__TEXT,__text) external _getwgroups_np
00000000000042cc (__TEXT,__text) external _getxattr
000000000002a958 (__TEXT,__text) external _grab_pgo_data
0000000000004b04 (__TEXT,__text) external _guarded_close_np
000000000000acb0 (__TEXT,__text) external _guarded_kqueue_np
000000000000e644 (__TEXT,__text) external _guarded_open_dprotected_np
00000000000048d4 (__TEXT,__text) external _guarded_open_np
0000000000004928 (__TEXT,__text) external _guarded_pwrite_np
00000000000084a8 (__TEXT,__text) external _guarded_write_np
000000000002a980 (__TEXT,__text) external _guarded_writev_np
0000000000031fd9 (__TEXT,__cstring) non-external _hex
000000000000e690 (__TEXT,__text) external _host_check_multiuser_mode
0000000000002470 (__TEXT,__text) external _host_create_mach_voucher
0000000000001540 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000000017658 (__TEXT,__text) external _host_default_memory_manager
0000000000018e94 (__TEXT,__text) external _host_get_UNDServer
000000000000e670 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000000017210 (__TEXT,__text) external _host_get_boot_info
0000000000017cec (__TEXT,__text) external _host_get_clock_control
0000000000006bec (__TEXT,__text) external _host_get_clock_service
0000000000018490 (__TEXT,__text) external _host_get_exception_ports
0000000000004b54 (__TEXT,__text) external _host_get_io_master
000000000000e688 (__TEXT,__text) external _host_get_multiuser_config_flags
00000000000020c8 (__TEXT,__text) external _host_get_special_port
0000000000005e70 (__TEXT,__text) external _host_info
0000000000019b60 (__TEXT,__text) external _host_kernel_version
000000000001a800 (__TEXT,__text) external _host_lockgroup_info
000000000000e7f4 (__TEXT,__text) external _host_page_size
0000000000017498 (__TEXT,__text) external _host_priv_statistics
0000000000019f64 (__TEXT,__text) external _host_processor_info
0000000000018c18 (__TEXT,__text) external _host_processor_set_priv
0000000000018ab0 (__TEXT,__text) external _host_processor_sets
0000000000017b84 (__TEXT,__text) external _host_processors
000000000001737c (__TEXT,__text) external _host_reboot
000000000001add8 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
000000000001af58 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000000000032f4 (__TEXT,__text) external _host_request_notification
00000000000191b4 (__TEXT,__text) external _host_security_create_task_token
0000000000019348 (__TEXT,__text) external _host_security_set_task_token
000000000000e9f0 (__TEXT,__text) external _host_self
00000000000013fc (__TEXT,__text) external _host_self_trap
0000000000018d7c (__TEXT,__text) external _host_set_UNDServer
000000000001b0d0 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000000018360 (__TEXT,__text) external _host_set_exception_ports
000000000001b3e8 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000000018234 (__TEXT,__text) external _host_set_special_port
000000000000a794 (__TEXT,__text) external _host_statistics
000000000000a0fc (__TEXT,__text) external _host_statistics64
0000000000018700 (__TEXT,__text) external _host_swap_exception_ports
000000000001a258 (__TEXT,__text) external _host_virtual_physical_table_info
00000000000381e0 (__DATA,__data) external _important_boost_assertion_token
0000000000036340 (__DATA_CONST,__const) external _internal_catch_exc_subsystem
000000000000e530 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise
00000000000381c8 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
000000000000e470 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state
00000000000381c0 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
000000000000e39c (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state_identity
00000000000381b8 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
0000000000005580 (__TEXT,__text) external _ioctl
00000000000011cc (__TEXT,__text) external _issetugid
000000000002a9a8 (__TEXT,__text) external _kas_info
0000000000001080 (__TEXT,__text) external _kdebug_is_enabled
0000000000013c0c (__TEXT,__text) external _kdebug_signpost
000000000000a784 (__TEXT,__text) external _kdebug_signpost_end
000000000000a6f8 (__TEXT,__text) non-external _kdebug_signpost_internal
000000000000a6e8 (__TEXT,__text) external _kdebug_signpost_start
0000000000001160 (__TEXT,__text) external _kdebug_trace
0000000000003ce0 (__TEXT,__text) external _kdebug_trace_string
00000000000010dc (__TEXT,__text) external _kdebug_typefilter
000000000003c6b8 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
0000000000013bf8 (__TEXT,__text) external _kdebug_using_continuous_time
0000000000006e24 (__TEXT,__text) external _kevent
000000000000bd68 (__TEXT,__text) external _kevent64
0000000000002fd4 (__TEXT,__text) external _kevent_id
0000000000002fac (__TEXT,__text) external _kevent_qos
0000000000018fe0 (__TEXT,__text) external _kext_request
0000000000008908 (__TEXT,__text) external _kill
0000000000018098 (__TEXT,__text) external _kmod_control
0000000000017e4c (__TEXT,__text) external _kmod_create
0000000000017f7c (__TEXT,__text) external _kmod_destroy
000000000001a0f0 (__TEXT,__text) external _kmod_get_info
0000000000016064 (__TEXT,__text) external _kpersona_alloc
00000000000160dc (__TEXT,__text) external _kpersona_dealloc
000000000001619c (__TEXT,__text) external _kpersona_find
000000000001621c (__TEXT,__text) external _kpersona_find_by_type
00000000000052e0 (__TEXT,__text) external _kpersona_get
000000000001611c (__TEXT,__text) external _kpersona_getpath
0000000000005008 (__TEXT,__text) external _kpersona_info
00000000000160a0 (__TEXT,__text) external _kpersona_palloc
000000000001615c (__TEXT,__text) external _kpersona_pidinfo
0000000000006dfc (__TEXT,__text) external _kqueue
0000000000006894 (__TEXT,__text) external _lchown
000000000002a9d0 (__TEXT,__text) external _ledger
00000000000058e8 (__TEXT,__text) external _link
000000000002a9f8 (__TEXT,__text) external _linkat
000000000002aa20 (__TEXT,__text) external _lio_listio
0000000000008eec (__TEXT,__text) external _listen
000000000000485c (__TEXT,__text) external _listxattr
0000000000019488 (__TEXT,__text) external _lock_acquire
0000000000019918 (__TEXT,__text) external _lock_handoff
0000000000019a3c (__TEXT,__text) external _lock_handoff_accept
00000000000197f4 (__TEXT,__text) external _lock_make_stable
00000000000195ac (__TEXT,__text) external _lock_release
0000000000022110 (__TEXT,__text) external _lock_set_create
0000000000022270 (__TEXT,__text) external _lock_set_destroy
00000000000196d0 (__TEXT,__text) external _lock_try
00000000000100d0 (__TEXT,__text) external _log_data_as_kernel
0000000000002c00 (__TEXT,__text) external _lseek
000000000000b9b0 (__TEXT,__text) external _lstat
000000000000b9b0 (__TEXT,__text) external _lstat64
0000000000001908 (__TEXT,__text) external _mach_absolute_time
0000000000001968 (__TEXT,__text) external _mach_absolute_time_kernel
0000000000002a70 (__TEXT,__text) external _mach_approximate_time
000000000000fa38 (__TEXT,__text) external _mach_boottime_usec
0000000000007e60 (__TEXT,__text) external _mach_continuous_approximate_time
00000000000018a4 (__TEXT,__text) external _mach_continuous_time
0000000000001974 (__TEXT,__text) external _mach_continuous_time_kernel
000000000000e774 (__TEXT,__text) external _mach_error
0000000000038210 (__DATA,__common) external _mach_error_full_diag
00000000000073ac (__TEXT,__text) external _mach_error_string
00000000000073cc (__TEXT,__text) non-external (was a private external) _mach_error_string_int
000000000000e698 (__TEXT,__text) external _mach_error_type
0000000000028b70 (__TEXT,__text) external _mach_eventlink_associate
00000000000288d8 (__TEXT,__text) external _mach_eventlink_create
0000000000028a60 (__TEXT,__text) external _mach_eventlink_destroy
0000000000028cac (__TEXT,__text) external _mach_eventlink_disassociate
000000000000fc2c (__TEXT,__text) external _mach_eventlink_signal
000000000000fc80 (__TEXT,__text) external _mach_eventlink_signal_wait_until
000000000000fc44 (__TEXT,__text) external _mach_eventlink_wait_until
0000000000001498 (__TEXT,__text) external _mach_generate_activity_id
000000000000320c (__TEXT,__text) external _mach_get_times
00000000000020c4 (__TEXT,__text) external _mach_host_self
000000000000cd7c (__TEXT,__text) external _mach_host_special_port_description
0000000000034088 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
000000000000cddc (__TEXT,__text) external _mach_host_special_port_for_id
0000000000038040 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
0000000000006a7c (__TEXT,__text) external _mach_init
000000000003c6a8 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
0000000000006ab0 (__TEXT,__text) non-external _mach_init_doit
000000000001f0ac (__TEXT,__text) external _mach_make_memory_entry
00000000000028b8 (__TEXT,__text) external _mach_make_memory_entry_64
000000000002864c (__TEXT,__text) external _mach_memory_entry_access_tracking
00000000000287a8 (__TEXT,__text) external _mach_memory_entry_ownership
0000000000028510 (__TEXT,__text) external _mach_memory_entry_purgable_control
000000000001b1ec (__TEXT,__text) external _mach_memory_info
0000000000019de4 (__TEXT,__text) external _mach_memory_object_memory_entry
000000000001a680 (__TEXT,__text) external _mach_memory_object_memory_entry_64
000000000000176c (__TEXT,__text) external _mach_msg
0000000000002228 (__TEXT,__text) external _mach_msg_destroy
0000000000002380 (__TEXT,__text) non-external _mach_msg_destroy_port
0000000000009030 (__TEXT,__text) external _mach_msg_overwrite
0000000000001414 (__TEXT,__text) external _mach_msg_overwrite_trap
000000000000e834 (__TEXT,__text) external _mach_msg_priority_encode
000000000000e824 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
000000000000e868 (__TEXT,__text) external _mach_msg_priority_overide_qos
000000000000e878 (__TEXT,__text) external _mach_msg_priority_qos
000000000000e888 (__TEXT,__text) external _mach_msg_priority_relpri
000000000000c3b0 (__TEXT,__text) external _mach_msg_receive
00000000000058cc (__TEXT,__text) external _mach_msg_send
00000000000085f0 (__TEXT,__text) external _mach_msg_server
0000000000009184 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
000000000000e820 (__TEXT,__text) external _mach_msg_server_importance
000000000000b21c (__TEXT,__text) external _mach_msg_server_once
0000000000001408 (__TEXT,__text) external _mach_msg_trap
000000000001f978 (__TEXT,__text) external _mach_notify_dead_name
000000000001f8cc (__TEXT,__text) external _mach_notify_no_senders
000000000001f80c (__TEXT,__text) external _mach_notify_port_deleted
000000000001f86c (__TEXT,__text) external _mach_notify_port_destroyed
000000000001f92c (__TEXT,__text) external _mach_notify_send_once
0000000000003420 (__TEXT,__text) external _mach_port_allocate
0000000000015b64 (__TEXT,__text) external _mach_port_allocate_full
0000000000015b50 (__TEXT,__text) external _mach_port_allocate_name
0000000000015b60 (__TEXT,__text) external _mach_port_allocate_qos
00000000000024ec (__TEXT,__text) external _mach_port_construct
00000000000026a4 (__TEXT,__text) external _mach_port_deallocate
0000000000006678 (__TEXT,__text) external _mach_port_destroy
0000000000002c8c (__TEXT,__text) external _mach_port_destruct
0000000000015d0c (__TEXT,__text) external _mach_port_dnrequest_info
0000000000004710 (__TEXT,__text) external _mach_port_extract_member
000000000000a418 (__TEXT,__text) external _mach_port_extract_right
0000000000003b04 (__TEXT,__text) external _mach_port_get_attributes
0000000000006348 (__TEXT,__text) external _mach_port_get_context
000000000000457c (__TEXT,__text) external _mach_port_get_refs
000000000000bfd0 (__TEXT,__text) external _mach_port_get_set_status
0000000000015b6c (__TEXT,__text) external _mach_port_get_srights
0000000000003fe0 (__TEXT,__text) external _mach_port_guard
0000000000015d78 (__TEXT,__text) external _mach_port_guard_with_flags
000000000000347c (__TEXT,__text) external _mach_port_insert_member
0000000000003678 (__TEXT,__text) external _mach_port_insert_right
0000000000015d10 (__TEXT,__text) external _mach_port_kernel_object
0000000000015d14 (__TEXT,__text) external _mach_port_kobject
0000000000015d18 (__TEXT,__text) external _mach_port_kobject_description
0000000000001b64 (__TEXT,__text) external _mach_port_mod_refs
0000000000006030 (__TEXT,__text) external _mach_port_move_member
0000000000015b48 (__TEXT,__text) external _mach_port_names
0000000000015b54 (__TEXT,__text) external _mach_port_peek
0000000000015b4c (__TEXT,__text) external _mach_port_rename
0000000000003074 (__TEXT,__text) external _mach_port_request_notification
0000000000003b7c (__TEXT,__text) external _mach_port_set_attributes
000000000000beac (__TEXT,__text) external _mach_port_set_context
0000000000015b58 (__TEXT,__text) external _mach_port_set_mscount
0000000000015b5c (__TEXT,__text) external _mach_port_set_seqno
0000000000015b74 (__TEXT,__text) external _mach_port_space_basic_info
0000000000015b70 (__TEXT,__text) external _mach_port_space_info
0000000000015d7c (__TEXT,__text) external _mach_port_swap_guard
0000000000003d80 (__TEXT,__text) external _mach_port_type
0000000000015d1c (__TEXT,__text) external _mach_port_unguard
000000000000bae8 (__TEXT,__text) external _mach_ports_lookup
000000000000817c (__TEXT,__text) external _mach_ports_register
00000000000013d8 (__TEXT,__text) external _mach_reply_port
000000000000ecc0 (__TEXT,__text) external _mach_right_recv_construct
000000000002b6fc (__TEXT,__text) non-external _mach_right_recv_construct.cold.1
000000000000ed6c (__TEXT,__text) external _mach_right_recv_destruct
000000000002b724 (__TEXT,__text) non-external _mach_right_recv_destruct.cold.1
000000000002b74c (__TEXT,__text) non-external _mach_right_recv_destruct.cold.2
000000000000edc0 (__TEXT,__text) external _mach_right_send_create
000000000002b774 (__TEXT,__text) non-external _mach_right_send_create.cold.1
000000000000eea4 (__TEXT,__text) external _mach_right_send_once_consume
000000000002b83c (__TEXT,__text) non-external _mach_right_send_once_consume.cold.1
000000000002b864 (__TEXT,__text) non-external _mach_right_send_once_consume.cold.2
000000000000ee58 (__TEXT,__text) external _mach_right_send_once_create
000000000002b814 (__TEXT,__text) non-external _mach_right_send_once_create.cold.1
0000000000005910 (__TEXT,__text) external _mach_right_send_release
000000000002b7c4 (__TEXT,__text) non-external _mach_right_send_release.cold.1
000000000002b7ec (__TEXT,__text) non-external _mach_right_send_release.cold.2
000000000000ee04 (__TEXT,__text) external _mach_right_send_retain
000000000002b79c (__TEXT,__text) non-external _mach_right_send_retain.cold.1
0000000000015be8 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
0000000000015c98 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
000000000000fa48 (__TEXT,__text) external _mach_task_is_self
000000000000ecbc (__TEXT,__text) external _mach_task_self
000000000003c02c (__DATA_DIRTY,__common) external _mach_task_self_
000000000000cd9c (__TEXT,__text) external _mach_task_special_port_description
0000000000034190 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
000000000000ce68 (__TEXT,__text) external _mach_task_special_port_for_id
0000000000038138 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
0000000000006bc0 (__TEXT,__text) external _mach_thread_self
000000000000cdbc (__TEXT,__text) external _mach_thread_special_port_description
00000000000341f0 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
000000000000ce78 (__TEXT,__text) external _mach_thread_special_port_for_id
0000000000038198 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000000001850 (__TEXT,__text) external _mach_timebase_info
000000000003c6ac (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
0000000000001570 (__TEXT,__text) external _mach_timebase_info_trap
0000000000003514 (__TEXT,__text) external _mach_vm_allocate
000000000001eb84 (__TEXT,__text) external _mach_vm_behavior_set
00000000000084d0 (__TEXT,__text) external _mach_vm_copy
0000000000002d68 (__TEXT,__text) external _mach_vm_deallocate
000000000001e510 (__TEXT,__text) external _mach_vm_inherit
000000000001eca8 (__TEXT,__text) external _mach_vm_machine_attribute
00000000000011f4 (__TEXT,__text) external _mach_vm_map
000000000001ea60 (__TEXT,__text) external _mach_vm_msync
000000000001f378 (__TEXT,__text) external _mach_vm_page_info
000000000001ef64 (__TEXT,__text) external _mach_vm_page_query
000000000001f53c (__TEXT,__text) external _mach_vm_page_range_query
0000000000004e74 (__TEXT,__text) external _mach_vm_protect
0000000000004954 (__TEXT,__text) external _mach_vm_purgable_control
0000000000015ea0 (__TEXT,__text) external _mach_vm_read
000000000001e7b8 (__TEXT,__text) external _mach_vm_read_list
000000000000b0e0 (__TEXT,__text) external _mach_vm_read_overwrite
00000000000059d8 (__TEXT,__text) external _mach_vm_region
000000000000ae9c (__TEXT,__text) external _mach_vm_region_recurse
0000000000015d80 (__TEXT,__text) external _mach_vm_remap
0000000000015e10 (__TEXT,__text) external _mach_vm_remap_new
0000000000018980 (__TEXT,__text) external _mach_vm_wire
000000000001e928 (__TEXT,__text) external _mach_vm_write
0000000000005c20 (__TEXT,__text) external _mach_voucher_attr_command
0000000000002c50 (__TEXT,__text) external _mach_voucher_deallocate
0000000000029164 (__TEXT,__text) external _mach_voucher_debug_info
0000000000028f94 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
000000000000aaec (__TEXT,__text) external _mach_voucher_extract_attr_content
0000000000003aa0 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
000000000000154c (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
000000000000157c (__TEXT,__text) external _mach_wait_until
000000000001ab2c (__TEXT,__text) external _mach_zone_force_gc
000000000001b934 (__TEXT,__text) external _mach_zone_get_btlog_records
000000000001b7bc (__TEXT,__text) external _mach_zone_get_zlog_zones
000000000001a978 (__TEXT,__text) external _mach_zone_info
000000000001b65c (__TEXT,__text) external _mach_zone_info_for_largest_zone
000000000001b504 (__TEXT,__text) external _mach_zone_info_for_zone
0000000000001504 (__TEXT,__text) external _macx_backing_store_recovery
00000000000014f8 (__TEXT,__text) external _macx_backing_store_suspend
00000000000014d4 (__TEXT,__text) external _macx_swapoff
00000000000014c8 (__TEXT,__text) external _macx_swapon
00000000000014ec (__TEXT,__text) external _macx_triggers
0000000000003ddc (__TEXT,__text) external _madvise
0000000000007654 (__TEXT,__text) non-external (was a private external) _malloc
0000000000038248 (__DATA,__bss) non-external _master_host_port
000000000000c6c4 (__TEXT,__text) non-external (was a private external) _memcmp
0000000000001728 (__TEXT,__text) non-external (was a private external) _memcpy
0000000000009318 (__TEXT,__text) external _memorystatus_control
000000000002aa70 (__TEXT,__text) external _memorystatus_get_level
000000000000e8a0 (__TEXT,__text) external _mig_allocate
000000000000435c (__TEXT,__text) external _mig_dealloc_reply_port
0000000000015b78 (__TEXT,__text) external _mig_dealloc_special_reply_port
0000000000006934 (__TEXT,__text) external _mig_deallocate
0000000000001738 (__TEXT,__text) external _mig_get_reply_port
0000000000002a8c (__TEXT,__text) external _mig_get_special_reply_port
000000000000625c (__TEXT,__text) external _mig_put_reply_port
00000000000059a0 (__TEXT,__text) external _mig_reply_setup
0000000000006260 (__TEXT,__text) external _mig_strncpy
0000000000002ac8 (__TEXT,__text) external _mig_strncpy_zerofill
000000000002aa98 (__TEXT,__text) external _mincore
000000000002aac0 (__TEXT,__text) external _minherit
00000000000015a0 (__TEXT,__text) external _mk_timer_arm
00000000000015b8 (__TEXT,__text) external _mk_timer_arm_leeway
00000000000015ac (__TEXT,__text) external _mk_timer_cancel
0000000000001588 (__TEXT,__text) external _mk_timer_create
0000000000001594 (__TEXT,__text) external _mk_timer_destroy
0000000000002d40 (__TEXT,__text) external _mkdir
0000000000004adc (__TEXT,__text) external _mkdirat
000000000002aae8 (__TEXT,__text) external _mkfifo
000000000002ab10 (__TEXT,__text) external _mknod
000000000000a07c (__TEXT,__text) external _mlock
000000000002ab38 (__TEXT,__text) external _mlockall
0000000000001fe4 (__TEXT,__text) external _mmap
000000000000c3cc (__TEXT,__text) external _mount
0000000000004f14 (__TEXT,__text) external _mprotect
000000000002ab60 (__TEXT,__text) external _mremap_encrypted
000000000000e9d8 (__TEXT,__text) external _msg_receive
000000000000e9c8 (__TEXT,__text) external _msg_rpc
000000000000e9d0 (__TEXT,__text) external _msg_send
0000000000029a64 (__TEXT,__text) external _msgctl
000000000002ab88 (__TEXT,__text) external _msgget
000000000002abb0 (__TEXT,__text) external _msgrcv
0000000000029a8c (__TEXT,__text) external _msgrcv$NOCANCEL
000000000002abd8 (__TEXT,__text) external _msgsnd
0000000000029ab4 (__TEXT,__text) external _msgsnd$NOCANCEL
0000000000015ad0 (__TEXT,__text) external _msgsys
0000000000007180 (__TEXT,__text) external _msync
0000000000029b04 (__TEXT,__text) external _msync$NOCANCEL
000000000000a0a4 (__TEXT,__text) external _munlock
000000000002ac00 (__TEXT,__text) external _munlockall
0000000000004a08 (__TEXT,__text) external _munmap
00000000000052b8 (__TEXT,__text) external _necp_client_action
000000000000b090 (__TEXT,__text) external _necp_match_policy
0000000000005268 (__TEXT,__text) external _necp_open
000000000002ac28 (__TEXT,__text) external _necp_session_action
000000000002ac50 (__TEXT,__text) external _necp_session_open
