000000018243ec10 (__DATA,__data) non-external _C
000000018031f230 (__TEXT,__text) non-external ___ultoa
0000000180316db0 (__TEXT,__text) external ___ungetc
0000000180316f48 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
0000000180331c8c (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180349c81 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00000001803388b4 (__TEXT,__text) non-external (was a private external) ___v2printf
0000000180317558 (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001803479f0 (__TEXT,__text) non-external ___vfprintf.cold.1
00000001803497f7 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180349807 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
000000018031c5b0 (__TEXT,__text) non-external (was a private external) ___vfwprintf
000000018034985c (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
000000018034986c (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
000000018031f7e0 (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180349958 (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180346b48 (__TEXT,__text) external ___vsnprintf_chk
00000001803468f0 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
000000018030c438 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
000000018030c18c (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
000000018030a1ac (__TEXT,__text) external ___wcwidth
000000018030a2d8 (__TEXT,__text) external ___wcwidth_l
000000018030b610 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001802e7ccc (__TEXT,__text) non-external (was a private external) ___xlocale_init
00000001802e7d04 (__TEXT,__text) non-external ___xlocale_release
00000001802e8c54 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180346c24 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
000000018243f1e0 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180338df8 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
0000000180338c68 (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180331d64 (__TEXT,__text) external __allocenvstate
00000001802fc2a4 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180305548 (__TEXT,__text) non-external (was a private external) __ascii_init
00000001803055c0 (__TEXT,__text) non-external __ascii_mbrtowc
000000018030561c (__TEXT,__text) non-external __ascii_mbsinit
0000000180305624 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00000001803056e8 (__TEXT,__text) non-external __ascii_wcrtomb
0000000180305724 (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180425570 (__DATA_CONST,__const) external __c_locale
0000000180310734 (__TEXT,__text) external __cleanup
0000000180331d68 (__TEXT,__text) external __copyenv
0000000182452670 (__AUTH,__data) external __cthread_init_routine
0000000180331df0 (__TEXT,__text) external __deallocenvstate
00000001803316dc (__TEXT,__text) non-external __do_nothing
00000001802e6f34 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
000000018244b5e8 (__DATA,__common) non-external (was a private external) __e_err_exit
000000018244b5e0 (__DATA,__common) non-external (was a private external) __e_err_file
00000001802fc780 (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
0000000180300ac0 (__TEXT,__text) non-external (was a private external) __filldir
000000018030308c (__TEXT,__text) non-external (was a private external) __fixtelldir
000000018030f25c (__TEXT,__text) external __flockfile_debug_stub
0000000180311814 (__TEXT,__text) external __fseeko
0000000180311c84 (__TEXT,__text) external __ftello
0000000180312208 (__TEXT,__text) external __fwalk
000000018032c9d4 (__TEXT,__text) external __getenvp
00000001802e3e00 (__TEXT,__text) external __init_clock_port
0000000180328430 (__TEXT,__text) external __int_to_time
000000018032f268 (__TEXT,__text) non-external __isort
000000018032fe58 (__TEXT,__text) non-external __isort
00000001824408f8 (__DATA,__bss) non-external __libSystem_atfork_child
00000001824408e0 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00000001824408f0 (__DATA,__bss) non-external __libSystem_atfork_parent
00000001824408d8 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00000001824408e8 (__DATA,__bss) non-external __libSystem_atfork_prepare
00000001824408d0 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00000001802ea2b4 (__TEXT,__text) external __libc_fork_child
00000001802ea364 (__TEXT,__text) non-external (was a private external) __libc_fork_init
00000001802ea204 (__TEXT,__text) external __libc_initializer
0000000180328428 (__TEXT,__text) external __long_to_time
00000001802dfa48 (__TEXT,__text) non-external __mach_boottime_usec
00000001824408c8 (__DATA,__bss) non-external __mh_execute_header_pointer
00000001803133a4 (__TEXT,__text) non-external __mkdtemp_action
00000001803130e8 (__TEXT,__text) non-external __mkostemps_action
00000001802e9548 (__TEXT,__text) non-external __mkpath
00000001802e9534 (__TEXT,__text) external __mkpath_np
00000001803135ac (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00000001803478b4 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180313428 (__TEXT,__text) external __mktemp
0000000180313480 (__TEXT,__text) non-external __mktemp_action
000000018030a31c (__TEXT,__text) non-external (was a private external) __none_init
000000018030a394 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
000000018030a3c4 (__TEXT,__text) non-external (was a private external) __none_mbsinit
000000018030a3cc (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
000000018030a460 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
000000018030a49c (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180346d78 (__TEXT,__text) external __os_assert_log
0000000180346f7c (__TEXT,__text) external __os_assert_log_ctx
0000000180346c68 (__TEXT,__text) external __os_assumes_log
0000000180346e68 (__TEXT,__text) external __os_assumes_log_ctx
00000001802eabac (__TEXT,__text) external __os_avoid_tail_call
0000000180346c5c (__TEXT,__text) external __os_crash
000000018244b5d0 (__DATA,__common) external __os_crash_callback
                 (undefined) external __os_once (from libsystem_platform)
00000001803316e4 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
0000000180331830 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
0000000180331798 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
0000000182489478 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
000000018034b5b8 (__TEXT,__cstring) non-external __printf_tbl_flags
00000001802ea32c (__TEXT,__text) non-external (was a private external) __program_vars_init
000000018032e7e8 (__TEXT,__text) external __putenvp
000000018032e968 (__TEXT,__text) non-external __qsort
000000018032f494 (__TEXT,__text) non-external __qsort
000000018243f240 (__DATA,__data) external __rand48_add
000000018243f238 (__DATA,__data) external __rand48_mult
000000018243f230 (__DATA,__data) external __rand48_seed
0000000180301250 (__TEXT,__text) external __readdir_unlocked
00000001803030c0 (__TEXT,__text) external __reclaim_telldir
00000001802e7d9c (__TEXT,__text) non-external __releaselocale
0000000180349be4 (__TEXT,__const) non-external (was a private external) __rp_alist
0000000180302fc0 (__TEXT,__text) external __seekdir
0000000180331e4c (__TEXT,__text) external __setenvp
00000001802ea90c (__TEXT,__text) external __sigaction_nobind
000000018244b600 (__DATA,__common) external __sigintr
0000000180302244 (__TEXT,__text) external __signal_nobind
00000001802df52c (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180301f70 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001803165f8 (__TEXT,__text) external __sread
000000018031672c (__TEXT,__text) external __sseek
0000000180325980 (__TEXT,__text) non-external (was a private external) __st_fmt
00000001802e87c4 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00000001803238d4 (__TEXT,__text) non-external (was a private external) __st_localsub
00000001802e87d0 (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180324378 (__TEXT,__text) non-external (was a private external) __st_time1
00000001803225fc (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00000001803392e4 (__TEXT,__text) non-external __strfmon
0000000180326b68 (__TEXT,__text) non-external __strptime0
0000000180349a30 (__TEXT,__const) non-external __strptime0.start_of_month
00000001802e8094 (__TEXT,__text) external __subsystem_init
0000000180316668 (__TEXT,__text) external __swrite
00000001802e49ac (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00000001802e47cc (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180328410 (__TEXT,__text) external __time32_to_time
000000018032841c (__TEXT,__text) external __time64_to_time
000000018032842c (__TEXT,__text) external __time_to_int
0000000180328424 (__TEXT,__text) external __time_to_long
0000000180328418 (__TEXT,__text) external __time_to_time32
0000000180328420 (__TEXT,__text) external __time_to_time64
0000000180331edc (__TEXT,__text) external __unsetenvp
0000000180317108 (__TEXT,__text) non-external (was a private external) __vasprintf
00000001803172a4 (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180321340 (__TEXT,__text) non-external (was a private external) __vsnprintf
00000001803268ac (__TEXT,__text) non-external __yconv
000000018032c05c (__TEXT,__text) external _a64l
0000000180347bf8 (__TEXT,__text) external _abort
0000000180347d5c (__TEXT,__text) external _abort_report_np
000000018032c128 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180301e78 (__TEXT,__text) non-external _addcmd
00000001802e2d84 (__TEXT,__text) non-external _advance_directory
0000000180346c0c (__TEXT,__text) non-external _advance_directory.cold.1
00000001802fc12c (__TEXT,__text) external _alarm
00000001802ef294 (__TEXT,__text) non-external _alloc_segs
0000000180301754 (__TEXT,__text) external _alphasort
0000000180349b34 (__TEXT,__const) non-external _ambig
00000001802fc218 (__TEXT,__text) non-external _arc4_init
00000001803470c4 (__TEXT,__text) non-external _arc4_init.cold.1
00000001802fc188 (__TEXT,__text) external _arc4random
00000001802fc184 (__TEXT,__text) external _arc4random_addrandom
00000001802fc1c8 (__TEXT,__text) external _arc4random_buf
00000001802fc25c (__TEXT,__text) external _arc4random_stir
00000001802fc260 (__TEXT,__text) external _arc4random_uniform
000000018033845c (__TEXT,__text) non-external _arrayget
0000000180322410 (__TEXT,__text) external _asctime
00000001803222c4 (__TEXT,__text) external _asctime_r
000000018034998f (__TEXT,__const) non-external _asctime_r.mon_name
000000018034997a (__TEXT,__const) non-external _asctime_r.wday_name
000000018030f2e4 (__TEXT,__text) external _asprintf
000000018030f334 (__TEXT,__text) external _asprintf_l
00000001802e87dc (__TEXT,__text) external _asxprintf
00000001802e92cc (__TEXT,__text) external _asxprintf_exec
000000018032c17c (__TEXT,__text) external _atexit
000000018032c2bc (__TEXT,__text) external _atexit_b
000000018243f838 (__DATA,__data) non-external _atexit_mutex
000000018032c1b0 (__TEXT,__text) non-external _atexit_register
0000000180347dac (__TEXT,__text) non-external _atexit_register.cold.1
000000018032c63c (__TEXT,__text) external _atof
000000018032c664 (__TEXT,__text) external _atof_l
000000018032c670 (__TEXT,__text) external _atoi
000000018032c6b0 (__TEXT,__text) external _atoi_l
000000018032c6d4 (__TEXT,__text) external _atol
000000018032c700 (__TEXT,__text) external _atol_l
000000018032c710 (__TEXT,__text) external _atoll
000000018032c73c (__TEXT,__text) external _atoll_l
00000001802e0294 (__TEXT,__text) external _backtrace
00000001802e02ec (__TEXT,__text) external _backtrace_async
00000001802e0354 (__TEXT,__text) external _backtrace_from_fp
00000001802e03b8 (__TEXT,__text) external _backtrace_image_offsets
00000001802fc398 (__TEXT,__text) external _basename
0000000182440928 (__DATA,__bss) non-external _basename.bname
00000001802fc2bc (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001802e5d4c (__TEXT,__text) external _bcopy
0000000180349817 (__TEXT,__const) non-external _blanks
00000001803498d8 (__TEXT,__const) non-external _blanks
000000018243fa44 (__DATA,__data) non-external _blanks
00000001802e4050 (__TEXT,__text) non-external _both_ftw
00000001824407c0 (__DATA,__bss) non-external _brapreg
00000001802dfed0 (__TEXT,__text) external _brk
00000001802dfef4 (__TEXT,__text) external _bsd_signal
000000018032c74c (__TEXT,__text) external _bsearch
000000018032c7d4 (__TEXT,__text) external _bsearch_b
00000001802ee33c (__TEXT,__text) non-external _bt_broot
00000001802ee088 (__TEXT,__text) non-external _bt_page
00000001802ee4a8 (__TEXT,__text) non-external _bt_preserve
00000001802ee500 (__TEXT,__text) non-external _bt_psplit
00000001802edfa8 (__TEXT,__text) non-external _bt_root
00000001802ee22c (__TEXT,__text) non-external _bt_rroot
0000000180305a34 (__TEXT,__text) external _btowc
000000018030597c (__TEXT,__text) external _btowc_l
0000000182442488 (__DATA,__bss) non-external _buf_asctime
0000000180314778 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180348cf8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180348cd0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
000000018030f144 (__TEXT,__text) external _catclose
00000001804258b0 (__DATA_CONST,__const) non-external _categories
000000018030ee1c (__TEXT,__text) external _catgets
000000018030e740 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00000001803032c0 (__TEXT,__text) external _cfgetispeed
00000001803032b8 (__TEXT,__text) external _cfgetospeed
00000001803032ec (__TEXT,__text) external _cfmakeraw
00000001803032d4 (__TEXT,__text) external _cfsetispeed
00000001803032c8 (__TEXT,__text) external _cfsetospeed
00000001803032e0 (__TEXT,__text) external _cfsetspeed
00000001802fea4c (__TEXT,__text) external _cgetcap
00000001802ff22c (__TEXT,__text) external _cgetclose
00000001802fead8 (__TEXT,__text) external _cgetent
00000001802ff1bc (__TEXT,__text) external _cgetfirst
00000001802ff144 (__TEXT,__text) external _cgetmatch
00000001802ff278 (__TEXT,__text) external _cgetnext
00000001802ff9a8 (__TEXT,__text) external _cgetnum
00000001802fe9bc (__TEXT,__text) external _cgetset
00000001802ff5dc (__TEXT,__text) external _cgetstr
00000001802ff8ac (__TEXT,__text) external _cgetustr
0000000180306608 (__TEXT,__text) non-external _chainsearch
0000000180349638 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
00000001802e3034 (__TEXT,__text) non-external _check_env_var
                 (undefined) external _chflags (from libsystem_kernel)
000000018030f360 (__TEXT,__text) external _clearerr
000000018030f3a4 (__TEXT,__text) external _clearerr_unlocked
00000001802fc3f8 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00000001802dfd10 (__TEXT,__text) external _clock_getres
00000001802dfb40 (__TEXT,__text) external _clock_gettime
00000001802df8b4 (__TEXT,__text) external _clock_gettime_nsec_np
000000018244b5bc (__DATA,__common) external _clock_port
000000018244b5b8 (__DATA,__common) external _clock_sem
00000001802dfdb0 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001802e2ae4 (__TEXT,__text) non-external _close_directory
00000001802fc450 (__TEXT,__text) external _closedir
0000000180425e10 (__DATA_CONST,__const) non-external _cnames
00000001802f0744 (__TEXT,__text) non-external _collect_data
00000001802f08fc (__TEXT,__text) non-external _collect_key
0000000180349aa6 (__TEXT,__const) non-external _command_substitution_str
00000001802e2e38 (__TEXT,__text) external _compat_mode
00000001802e0474 (__TEXT,__text) external _confstr
00000001802e8d9c (__TEXT,__text) external _copy_printf_domain
00000001803450b8 (__TEXT,__text) external _creat
00000001802eacc8 (__TEXT,__text) external _creat$NOCANCEL
00000001802fc4d0 (__TEXT,__text) external _ctermid
000000018243f248 (__DATA,__data) non-external _ctermid.def
00000001802fc4f8 (__TEXT,__text) external _ctermid_r
0000000180324304 (__TEXT,__text) external _ctime
0000000180324338 (__TEXT,__text) external _ctime_r
000000018243f2e8 (__DATA,__data) non-external _current_categories
000000018030aae0 (__TEXT,__text) non-external _currentlocale
0000000182440be8 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000182440820 (__DATA,__bss) non-external _curshell
000000018243f8a0 (__DATA,__data) non-external _dash_prefix
000000018244b620 (__DATA,__common) external _daylight
00000001802f2a84 (__TEXT,__text) external _dbm_clearerr
00000001802f28cc (__TEXT,__text) external _dbm_close
00000001802f29f8 (__TEXT,__text) external _dbm_delete
00000001802f2a94 (__TEXT,__text) external _dbm_dirfno
00000001802f2a78 (__TEXT,__text) external _dbm_error
00000001802f28d8 (__TEXT,__text) external _dbm_fetch
00000001802f2920 (__TEXT,__text) external _dbm_firstkey
00000001802f2988 (__TEXT,__text) external _dbm_nextkey
00000001802f27e4 (__TEXT,__text) external _dbm_open
00000001802f2a34 (__TEXT,__text) external _dbm_store
00000001802eec00 (__TEXT,__text) external _dbopen
0000000182440998 (__DATA,__bss) non-external _dbp
00000001824407e0 (__DATA,__bss) non-external _decpreg
0000000180349bbc (__TEXT,__const) non-external _degrees
00000001802e0914 (__TEXT,__text) external _devname
0000000182440740 (__DATA,__bss) non-external _devname.buf
00000001802e07cc (__TEXT,__text) external _devname_r
000000018032241c (__TEXT,__text) external _difftime
00000001802e517c (__TEXT,__text) external _digittoint
00000001802e5474 (__TEXT,__text) external _digittoint_l
00000001802eab7c (__TEXT,__text) external _dirfd
00000001802fc618 (__TEXT,__text) external _dirname
0000000182440930 (__DATA,__bss) non-external _dirname.dname
00000001802fc518 (__TEXT,__text) external _dirname_r
000000018032c86c (__TEXT,__text) external _div
000000018243e548 (__DATA,__data) non-external _dktypenames
0000000180304c00 (__TEXT,__text) non-external _do_hvis
0000000180304d38 (__TEXT,__text) non-external _do_mvis
0000000180304eec (__TEXT,__text) non-external _do_svis
000000018030f3b4 (__TEXT,__text) external _dprintf
000000018030f404 (__TEXT,__text) external _dprintf_l
00000001802fc678 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00000001802e6ed0 (__TEXT,__text) external _duplocale
00000001802e8818 (__TEXT,__text) external _dxprintf
00000001802e930c (__TEXT,__text) external _dxprintf_exec
0000000180333e0c (__TEXT,__text) external _ecvt
0000000182440a00 (__DATA,__bss) non-external _empty
0000000182440a10 (__DATA,__bss) non-external _empty
000000018243f8e8 (__DATA,__data) non-external _end_ptr
00000001802e393c (__TEXT,__text) external _endttyent
00000001802e3c68 (__TEXT,__text) external _endusershell
000000018032c9ac (__TEXT,__text) external _environ_lock_np
00000001824408b8 (__DATA,__bss) non-external _environ_pointer
000000018032c9bc (__TEXT,__text) external _environ_unlock_np
0000000180321688 (__TEXT,__text) non-external _eofread
0000000180321a70 (__TEXT,__text) non-external _eofread
00000001802fc6f4 (__TEXT,__text) external _erand48
00000001803471f0 (__TEXT,__text) external _err
00000001802fc8d0 (__TEXT,__text) external _err_set_exit
00000001802fc928 (__TEXT,__text) external _err_set_exit_b
00000001802fc8b0 (__TEXT,__text) external _err_set_file
000000018034734c (__TEXT,__text) external _errc
000000018034736c (__TEXT,__text) external _errx
0000000180349174 (__TEXT,__const) non-external _escape
00000001802fc9d0 (__TEXT,__text) external _execl
00000001802fcaa0 (__TEXT,__text) external _execle
00000001802fcb68 (__TEXT,__text) external _execlp
00000001802fcc88 (__TEXT,__text) external _execv
00000001802fccc4 (__TEXT,__text) external _execvP
00000001802fcd10 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
00000001802fcc24 (__TEXT,__text) external _execvp
000000018032c89c (__TEXT,__text) external _exit
00000001803106a8 (__TEXT,__text) external _f_prealloc
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
000000018030f430 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
0000000180333fcc (__TEXT,__text) external _fcvt
000000018030f550 (__TEXT,__text) external _fdopen
0000000180345b84 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180300820 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
000000018030f680 (__TEXT,__text) external _feof
000000018030f6b8 (__TEXT,__text) external _feof_unlocked
000000018030f6c4 (__TEXT,__text) external _ferror
000000018030f6fc (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00000001802f2760 (__TEXT,__text) non-external _fetch_bitmap
00000001802e45c0 (__TEXT,__text) external _fflagstostr
000000018030f708 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
000000018030f968 (__TEXT,__text) external _fgetc
000000018030fa44 (__TEXT,__text) external _fgetln
000000018030fbf0 (__TEXT,__text) external _fgetpos
000000018030fc20 (__TEXT,__text) external _fgets
000000018030fd54 (__TEXT,__text) external _fgetwc
000000018030fee0 (__TEXT,__text) external _fgetwc_l
0000000180310044 (__TEXT,__text) external _fgetwln
000000018030ff68 (__TEXT,__text) external _fgetwln_l
0000000180310244 (__TEXT,__text) external _fgetws
0000000180310068 (__TEXT,__text) external _fgetws_l
000000018243f688 (__DATA,__data) non-external _filelist_lock
0000000180310268 (__TEXT,__text) external _fileno
000000018031029c (__TEXT,__text) external _fileno_unlocked
0000000180312e68 (__TEXT,__text) non-external _find_temp_path
000000018032835c (__TEXT,__text) non-external _first_wday_of
000000018030f220 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00000001802efab4 (__TEXT,__text) non-external _flush_meta
000000018032b0f4 (__TEXT,__text) external _fmemopen
000000018032b444 (__TEXT,__text) non-external _fmemopen_close
000000018032b2d4 (__TEXT,__text) non-external _fmemopen_read
000000018032b3bc (__TEXT,__text) non-external _fmemopen_seek
000000018032b330 (__TEXT,__text) non-external _fmemopen_write
00000001804259f8 (__DATA_CONST,__const) non-external _fmt_padding
00000001802fcffc (__TEXT,__text) external _fmtcheck
00000001802fd600 (__TEXT,__text) external _fmtmsg
00000001802fdb64 (__TEXT,__text) external _fnmatch
0000000180310814 (__TEXT,__text) external _fopen
0000000180345cb4 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00000001802ea3b8 (__TEXT,__text) external _fork
000000018031092c (__TEXT,__text) external _fprintf
000000018031097c (__TEXT,__text) external _fprintf_l
000000018243f8d8 (__DATA,__data) non-external _fptr
00000001803109a8 (__TEXT,__text) external _fpurge
0000000180310a38 (__TEXT,__text) external _fputc
0000000180310ac8 (__TEXT,__text) external _fputs
0000000180310c60 (__TEXT,__text) external _fputwc
0000000180310ce4 (__TEXT,__text) external _fputwc_l
0000000180310ec8 (__TEXT,__text) external _fputws
0000000180310d78 (__TEXT,__text) external _fputws_l
00000001803110c0 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
00000001802e89b0 (__TEXT,__text) external _free_printf_comp
00000001802e8e50 (__TEXT,__text) external _free_printf_domain
00000001802e7224 (__TEXT,__text) external _freelocale
000000018031135c (__TEXT,__text) external _freopen
0000000180311684 (__TEXT,__text) external _fscanf
00000001803116fc (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
0000000180311784 (__TEXT,__text) external _fseek
0000000180311b7c (__TEXT,__text) external _fseeko
0000000180311c0c (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
00000001802e013c (__TEXT,__text) external _fstatvfs
000000018243e5a8 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00000001802eab0c (__TEXT,__text) external _fsync_volume_np
0000000180311c18 (__TEXT,__text) external _ftell
0000000180311c1c (__TEXT,__text) external _ftello
0000000180322450 (__TEXT,__text) external _ftime
00000001802fe7b4 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
000000018030f260 (__TEXT,__text) external _ftrylockfile
00000001802e291c (__TEXT,__text) non-external _fts_alloc
00000001802e1b34 (__TEXT,__text) non-external _fts_build
0000000180346b7c (__TEXT,__text) non-external _fts_build.cold.1
0000000180346b94 (__TEXT,__text) non-external _fts_build.cold.2
0000000180346bac (__TEXT,__text) non-external _fts_build.cold.3
0000000180346bc4 (__TEXT,__text) non-external _fts_build.cold.4
0000000180346bdc (__TEXT,__text) non-external _fts_build.cold.5
0000000180346bf4 (__TEXT,__text) non-external _fts_build.cold.6
00000001802e2730 (__TEXT,__text) external _fts_children
00000001802e13f8 (__TEXT,__text) external _fts_close
00000001802e1054 (__TEXT,__text) external _fts_open
00000001802e1344 (__TEXT,__text) external _fts_open_b
00000001802e289c (__TEXT,__text) non-external _fts_palloc
00000001802e1518 (__TEXT,__text) external _fts_read
00000001802e19d0 (__TEXT,__text) non-external _fts_safe_changedir
00000001802e26f8 (__TEXT,__text) external _fts_set
00000001802e29b4 (__TEXT,__text) non-external _fts_sort
00000001802e2b38 (__TEXT,__text) non-external _fts_stat2
00000001802e4040 (__TEXT,__text) external _ftw
000000018030f2a8 (__TEXT,__text) external _funlockfile
0000000180311e00 (__TEXT,__text) external _funopen
0000000180312290 (__TEXT,__text) external _fwide
00000001803122fc (__TEXT,__text) external _fwprintf
000000018031234c (__TEXT,__text) external _fwprintf_l
0000000180312378 (__TEXT,__text) external _fwrite
0000000180312464 (__TEXT,__text) external _fwscanf
00000001803124b4 (__TEXT,__text) external _fwscanf_l
00000001802e8854 (__TEXT,__text) external _fxprintf
00000001802e934c (__TEXT,__text) external _fxprintf_exec
000000018243e500 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180333fd4 (__TEXT,__text) external _gcvt
00000001802f7c14 (__TEXT,__text) non-external _gdtoa_freelist_free
0000000182440910 (__DATA,__bss) non-external _gdtoa_tsd_key
000000018243f1f0 (__DATA,__data) non-external _gdtoa_tsd_lock
000000018244088c (__DATA,__bss) non-external _get_clock.adjustment
00000001824408a0 (__DATA,__bss) non-external _get_clock.clock_seq
0000000182440890 (__DATA,__bss) non-external _get_clock.last
00000001802fd07c (__TEXT,__text) non-external _get_next_format
00000001802fd220 (__TEXT,__text) non-external _get_next_format_from_precision
