00007ffd040e8f9c (__TEXT,__text) non-external +[ODCAction action]
00007ffd42ad4300 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffd42ad4310 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffd42ad42d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffd42ad4350 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffd42ad4368 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffd42ad4358 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffd42ad4298 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffd42ad4380 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffd42ad42e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffd42ad4320 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffd42ad4330 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffd42ad4338 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffd42ad4290 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffd42ad4280 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffd42ad4270 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffd42ad4240 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffd42ad4278 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffd42ad4218 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffd42ad4260 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffd42ad4230 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffd42ad4238 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffd42ad4258 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffd42ad4228 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffd42ad4250 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffd42ad4210 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffd42ad4268 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffd42ad4248 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffd42ad4220 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffd42ad43d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffd42ad43b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffd42ad43d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffd42ad43b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffd42ad43e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffd42ad43f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffd42ad43c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffd42ad43e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffd42ad43c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffd42ad4448 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffd42ad43a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffd42ad4398 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffd42ad43a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffd42ad4388 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffd42ad4390 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffd42ad4430 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffd42ad4438 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffd42ad4440 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffd42ad4418 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffd42ad4428 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffd42ad4420 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffd42ad4408 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffd42ad4400 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffd42ad4410 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffd42ad43f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffd42ad44c8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffd42ad4478 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffd42ad4568 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffd42ad4658 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffd42ad4518 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffd42ad4608 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffd42ad45b8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffd40440608 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffd40440600 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffd40440618 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffd40440610 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffd404404f8 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffd40440500 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffd40440508 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffd40440510 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffd40440518 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffd40440520 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffd404405e8 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffd404405b0 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffd404405b8 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffd40440540 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffd40440548 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffd40440550 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffd40440558 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffd40440560 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffd40440568 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffd40440570 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffd40440578 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffd404405d8 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffd404404f0 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffd40440598 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffd404405a0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffd404405a8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffd404405d0 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffd40440528 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffd40440530 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffd40440538 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffd404405c8 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffd404405c0 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffd404405f8 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffd404405f0 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffd404405e0 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffd40440580 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffd40440588 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffd40440590 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffd040f55d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffd040f5648 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffd040f5660 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffd040f5678 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffd040f5698 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffd040f5ce8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffd040f5e98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffd040f5fb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffd040f6030 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffd040f60f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffd040f6168 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffd40442bc0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffd40442850 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffd40443450 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffd404439c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffd404432c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffd40443800 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffd404436a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffd40442fc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffd40442a38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffd40443578 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffd404439e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffd40443368 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffd404438c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffd40443728 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffd40443230 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffd40442b30 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffd40443610 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffd40443a00 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffd404433c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffd40443930 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffd40443770 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffd40442b78 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffd40442808 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffd40443408 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffd40443978 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffd40443278 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffd404437b8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffd40443658 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffd040e8fea (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffd040f0f10 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffd040e69f5 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffd040e6be8 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffd040e9e49 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffd040e69cb (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffd040e69e2 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffd040f6240 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffd040f6200 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffd040f5108 (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffd040f50c6 (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffd40440620 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffd40440660 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffd404404c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffd40440490 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffd40440888 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffd404408c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffd40440640 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffd404408a8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffd404408e8 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffd040e6bf6 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffd040e6b45 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffd040e6c0d (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffd040e6ba1 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffd040f51e7 (__TEXT,__text) non-external ___fixup_schema2
00007ffd040f51fd (__TEXT,__text) non-external ___fixup_schema3
00007ffd040f522b (__TEXT,__text) non-external ___fixup_schema4
00007ffd040f52e4 (__TEXT,__text) non-external ___fixup_schema5
00007ffd040f4f9d (__TEXT,__text) non-external ___get_keyinfo
00007ffd42ad46c0 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffd040f48f9 (__TEXT,__text) non-external __schema_construct
00007ffd040f53a5 (__TEXT,__text) non-external __schema_construct.cold.1
00007ffd040f4aeb (__TEXT,__text) non-external __schema_deconstruct
00007ffd040f53a5 (__TEXT,__text) non-external __schema_deconstruct.cold.1
00007ffd040f4ff8 (__TEXT,__text) non-external __schema_validate_type
00007ffd42ad46a0 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffd040f53bd (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffd040f53d5 (__TEXT,__text) non-external __schema_validate_type.cold.2
00007ffd42ad46b8 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffd42ad46a8 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffd42ad46b0 (__DATA,__bss) non-external __schema_validate_type.num
00007ffd42ad4690 (__DATA,__bss) non-external __schema_validate_type.once
00007ffd42ad4698 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffd42ad4680 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffd40440818 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffd40440820 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffd40440828 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffd40440830 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffd40440838 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffd404406d0 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffd404406d8 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffd404406e0 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffd404406e8 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffd40440710 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffd404406f0 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffd404406f8 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffd40440708 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffd40440700 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffd40440718 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffd40440720 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffd40440728 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffd40440730 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffd40440738 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffd40440748 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffd40440740 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffd40440750 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffd40440758 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffd40440760 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffd404407c0 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffd404407b8 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffd404407d8 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffd404407e0 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffd404407d0 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffd404407c8 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffd404407b0 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffd40440768 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffd40440770 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffd40440780 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffd40440788 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffd40440790 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffd40440798 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffd40440778 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffd404407a0 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffd404407a8 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffd40440840 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffd40440850 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffd40440858 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffd40440860 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffd40440868 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffd40440870 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffd40440878 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffd40440848 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffd40440880 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffd040f62a0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffd40440800 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffd40440810 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffd40440808 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffd404407f8 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffd404407f0 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffd404407e8 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffd040f4f3e (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffd42ad4688 (__DATA,__bss) non-external _request_schema
00007ffd040f4a27 (__TEXT,__text) external _schema_construct_request
00007ffd040f48df (__TEXT,__text) external _schema_construct_requestv
00007ffd040f4e7a (__TEXT,__text) external _schema_construct_result
00007ffd040f4e60 (__TEXT,__text) external _schema_construct_resultv
00007ffd040f4ad1 (__TEXT,__text) external _schema_deconstruct_request
00007ffd040f4f24 (__TEXT,__text) external _schema_deconstruct_result
00007ffd040f4da9 (__TEXT,__text) external _schema_get_callback
00007ffd040f53a5 (__TEXT,__text) non-external _schema_get_callback.cold.1
00007ffd040f4d2c (__TEXT,__text) external _schema_set_callback
00007ffd040f53a5 (__TEXT,__text) non-external _schema_set_callback.cold.1
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _uuid_unparse_upper (from libSystem)
