00007ffb1bd15cf0 (__TEXT,__text) non-external +[ODCAction action]
00007ffb42b47380 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._localizeProgressStatus
00007ffb42b47338 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._needsRecovery
00007ffb42b47398 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odConfigNode
00007ffb42b47368 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffb42b47348 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffb42b47318 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffb42b47320 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffb42b47330 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffb42b472f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffb42b47370 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffb42b47388 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffb42b47378 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffb42b472b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffb42b473a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffb42b47300 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffb42b47340 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffb42b47350 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffb42b47358 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffb42b472b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffb42b472a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffb42b47290 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffb42b47260 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffb42b47298 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffb42b47238 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffb42b47280 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffb42b47250 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffb42b47258 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffb42b47278 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffb42b47248 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffb42b47270 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffb42b47230 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffb42b47288 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffb42b47268 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffb42b47240 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffb42b473f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffb42b473d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffb42b473f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffb42b473d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffb42b47400 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffb42b47410 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffb42b473e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffb42b47408 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffb42b473e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffb42b47468 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffb42b473c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffb42b473b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffb42b473c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffb42b473a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffb42b473b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffb42b47450 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffb42b47458 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffb42b47460 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffb42b47438 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffb42b47448 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffb42b47440 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffb42b47428 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffb42b47420 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffb42b47430 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffb42b47418 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb42b474e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffb42b47498 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffb42b47588 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffb42b47678 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffb42b47538 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffb42b47628 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffb42b475d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffb40b8ff58 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffb40b8ff50 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffb40b8ff68 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffb40b8ff60 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffb40b8fe48 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffb40b8fe50 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffb40b8fe58 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffb40b8fe60 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffb40b8fe68 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffb40b8fe70 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffb40b8ff38 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffb40b8ff00 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffb40b8ff08 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffb40b8fe90 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffb40b8fe98 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffb40b8fea0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffb40b8fea8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffb40b8feb0 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffb40b8feb8 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffb40b8fec0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffb40b8fec8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffb40b8ff28 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffb40b8fe40 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffb40b8fee8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffb40b8fef0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffb40b8fef8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffb40b8ff20 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffb40b8fe78 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffb40b8fe80 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffb40b8fe88 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffb40b8ff18 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffb40b8ff10 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffb40b8ff48 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffb40b8ff40 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffb40b8ff30 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffb40b8fed0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffb40b8fed8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffb40b8fee0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb1bd225c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffb1bd22400 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb1bd22fa0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb1bd22f08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer(PrivateMethods)
00007ffb1bd22640 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffb1bd22418 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb1bd22d50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffb1bd22fb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb1bd22c90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffb1bd22f28 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffb1bd22e70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffb40b92510 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffb40b921a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffb40b92da0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffb40b93310 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffb40b92c10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffb40b93150 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffb40b92ff0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffb40b92918 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffb40b92388 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffb40b92ec8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffb40b93338 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffb40b92cb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffb40b93218 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffb40b93078 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffb40b92b80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffb40b92480 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffb40b92f60 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffb40b93350 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffb40b92d10 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffb40b93280 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffb40b930c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffb40b924c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffb40b92158 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffb40b92d58 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffb40b932c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffb40b92bc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffb40b93108 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffb40b92fa8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb1bd15d3e (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffb1bd1dd28 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffb1bd137a3 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffb1bd13996 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffb1bd16ba5 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffb1bd13779 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb1bd13790 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb1bd23070 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffb1bd23030 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffb1bd21f6c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffb1bd21f2a (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb40b8ff70 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffb40b8ffb0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffb40b8fe10 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffb40b8fde0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffb40b901d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb40b90218 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffb40b8ff90 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb40b901f8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb40b90238 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffb1bd139a4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffb1bd138f3 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffb1bd139bb (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffb1bd1394f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffb1bd2204b (__TEXT,__text) non-external ___fixup_schema2
00007ffb1bd22061 (__TEXT,__text) non-external ___fixup_schema3
00007ffb1bd2208f (__TEXT,__text) non-external ___fixup_schema4
00007ffb1bd22148 (__TEXT,__text) non-external ___fixup_schema5
00007ffb1bd21def (__TEXT,__text) non-external ___get_keyinfo
00007ffb42b476e0 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffb1bd2171e (__TEXT,__text) non-external __schema_construct
00007ffb1bd21921 (__TEXT,__text) non-external __schema_deconstruct
00007ffb1bd21e4a (__TEXT,__text) non-external __schema_validate_type
00007ffb42b476c0 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffb1bd22209 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffb42b476d8 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffb42b476c8 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffb42b476d0 (__DATA,__bss) non-external __schema_validate_type.num
00007ffb42b476b0 (__DATA,__bss) non-external __schema_validate_type.once
00007ffb42b476b8 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffb42b476a0 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffb40b90168 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffb40b90170 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffb40b90178 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffb40b90180 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffb40b90188 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffb40b90020 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffb40b90028 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffb40b90030 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffb40b90038 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffb40b90060 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffb40b90040 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffb40b90048 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffb40b90058 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffb40b90050 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffb40b90068 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffb40b90070 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffb40b90078 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffb40b90080 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffb40b90088 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffb40b90098 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffb40b90090 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffb40b900a0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffb40b900a8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffb40b900b0 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffb40b90110 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffb40b90108 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffb40b90128 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffb40b90130 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffb40b90120 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffb40b90118 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffb40b90100 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffb40b900b8 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffb40b900c0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffb40b900d0 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffb40b900d8 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffb40b900e0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffb40b900e8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffb40b900c8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffb40b900f0 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffb40b900f8 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffb40b90190 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffb40b901a0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffb40b901a8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffb40b901b0 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffb40b901b8 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffb40b901c0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffb40b901c8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffb40b90198 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffb40b901d0 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffb1bd230e0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffb40b90150 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffb40b90160 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffb40b90158 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffb40b90148 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffb40b90140 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffb40b90138 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffb1bd21d90 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffb42b476a8 (__DATA,__bss) non-external _request_schema
00007ffb1bd2185d (__TEXT,__text) external _schema_construct_request
