000000019001592c (__TEXT,__text) non-external _Annihilate
0000000190059b70 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e74b8cb0 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000019005a388 (__TEXT,__const) non-external _kBrotliDictionaryData
0000000190059a50 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
0000000190059ab0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00000001900b7b58 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000019007a038 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e74b8e98 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000019005a168 (__TEXT,__const) non-external _kCmdHistoSeed
00000001900784b2 (__TEXT,__const) non-external _kCmdLut
00000001900aba14 (__TEXT,__const) non-external _kCodeLengthBits
0000000190078480 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00000001900aba00 (__TEXT,__const) non-external _kCodeLengthDepth
0000000190078492 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00000001900784a2 (__TEXT,__const) non-external _kCodeLengthPrefixValue
0000000190079ef8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
0000000190079eb8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000019007a58c (__TEXT,__const) non-external _kDistanceCacheIndex
000000019007a5cc (__TEXT,__const) non-external _kDistanceCacheOffset
0000000190079e04 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
0000000190079df0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
0000000190079e68 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
0000000190079e54 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00000001900ac560 (__TEXT,__const) non-external _kNonZeroRepsBits
00000001900aba5c (__TEXT,__const) non-external _kNonZeroRepsDepth
00000001900a9604 (__TEXT,__const) non-external _kPrefixSuffix
00000001900a96de (__TEXT,__const) non-external _kPrefixSuffixMap
00000001900ade20 (__TEXT,__const) non-external _kStaticCommandCodeBits
00000001900adb60 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000019007a6a0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00000001900c8366 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00000001900b8366 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000019008a6a0 (__TEXT,__const) non-external _kStaticDictionaryWords
00000001900ae3e0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00000001900ae3a0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00000001900a9742 (__TEXT,__const) non-external _kTransformsData
00000001900aa400 (__TEXT,__const) non-external _kZeroRepsBits
00000001900a9900 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00000001900025e0 (__TEXT,__text) non-external _longest_match
00000001900b3214 (__TEXT,__const) non-external (was a private external) _lut_rle
000000019001aa9c (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
0000000190023724 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
0000000190023718 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00000001900083d0 (__TEXT,__text) non-external (was a private external) _lz4_decode
0000000190007fc0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
0000000190007de4 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
0000000190008740 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
0000000190009d54 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
0000000190003e8c (__TEXT,__text) non-external (was a private external) _lz4_stream_end
0000000190035a20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
0000000190035a20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
0000000190035a20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00000001900359ec (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
0000000190035324 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00000001900353dc (__TEXT,__text) non-external (was a private external) _lz4_stream_process
0000000190023ea0 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
0000000190023d9c (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
000000019002013c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
0000000190031eec (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
0000000190030bd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle_unsafe
0000000190031f5c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000019002ec40 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
0000000190031f20 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
0000000190030ad4 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle_unsafe
0000000190031f64 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000019002eb0c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000019002b828 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
0000000190031e60 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00000001900220c4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
0000000190031e94 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
0000000190031ed0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00000001900220a4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00000001900b4260 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000019002eb60 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00000001900b3a60 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000019002ed80 (__TEXT,__text) non-external _lzbitmap_process_block
0000000190031f80 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00000001900b5260 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00000001900b3260 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00000001900531b0 (__TEXT,__text) non-external _lzfseBackendMatch
0000000190004414 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000019000858c (__TEXT,__text) non-external _lzfseDecodeV1
0000000190052eb8 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
0000000190053210 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
0000000190052d18 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
0000000190052d70 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00000001900535ac (__TEXT,__text) non-external _lzfseEncodeMatches
0000000190052d40 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
0000000190052e38 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00000001900532bc (__TEXT,__text) non-external _lzfsePushMatch
0000000190004150 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
0000000190004078 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000019002b81c (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00000001900464cc (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
0000000190046434 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
0000000190046414 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
0000000190005784 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
0000000190024d6c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
0000000190024b68 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
0000000190024d64 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
0000000190008e40 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
0000000190008b90 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
0000000190025940 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001ef387d18 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000019000540c (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
0000000190039298 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
0000000190039258 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
0000000190079ff8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000019007a018 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
0000000190003e8c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00000001900231c4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00000001900231c0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
0000000190023194 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
0000000190023130 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000019000404c (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000019000412c (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
0000000190057958 (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
000000019002bf78 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
0000000190055e5c (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
0000000190030a28 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
0000000190005828 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
0000000190030a84 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
0000000190005828 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
000000019007a430 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
0000000190004014 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
0000000190055808 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00000001900b8360 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
0000000190003ebc (__TEXT,__text) non-external (was a private external) _lzma_stream_init
0000000190003f60 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
0000000190055410 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
0000000190055740 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
0000000190004ef8 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001ef387518 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
0000000190031124 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00000001900310c8 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000019001617c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00000001900160e0 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00000001900160d4 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000019001a40c (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000019001a338 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000019001a318 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
0000000190005840 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
0000000190005828 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
0000000190031b54 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
0000000190031b9c (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
0000000190031b40 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
0000000190003e8c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
0000000190030a24 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
0000000190030a20 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00000001900309f4 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00000001900309b8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
0000000190030968 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
0000000190030994 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000019003893c (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
0000000190038930 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000019004da14 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00000001900103b0 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000019000fccc (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000019000ffb4 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00000001900100c4 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000019002be44 (__TEXT,__text) non-external (was a private external) _parse_size
00000001900ae6a4 (__TEXT,__const) non-external _position_slot_base_position
00000001900ae62c (__TEXT,__const) non-external _position_slot_extra_bits
00000001900031d8 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000019004f3c4 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
0000000190007750 (__TEXT,__text) non-external _readHuffmanTable
000000019002bd74 (__TEXT,__text) non-external (was a private external) _read_expected
00000001900008f0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00000001900032bc (__TEXT,__text) non-external _scan_tree
00000001900033c0 (__TEXT,__text) non-external _send_tree
0000000190031e30 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
0000000190031db8 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
0000000190031dc8 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
0000000190031d8c (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
0000000190035a2c (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
0000000190035c08 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
0000000190026e14 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
0000000190027540 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
0000000190020c60 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
0000000190020e64 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
00000001eb05fe60 (__DATA,__data) non-external _static_bl_desc
00000001eb05fe40 (__DATA,__data) non-external _static_d_desc
00000001900b69e8 (__TEXT,__const) non-external _static_dtree
00000001eb05fe20 (__DATA,__data) non-external _static_l_desc
00000001900b6568 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001eb05fe00 (__DATA,__data) non-external (was a private external) _tc_quant16
0000000190015e08 (__TEXT,__text) non-external (was a private external) _thread_pool_create
0000000190016010 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
0000000190015f38 (__TEXT,__text) non-external _thread_pool_entry
0000000190015c74 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
0000000190015d6c (__TEXT,__text) non-external (was a private external) _thread_pool_sync
000000019004d870 (__TEXT,__text) external _touchpadCodecCreate
00000001900163c0 (__TEXT,__text) external _touchpadCodecDecodeImage
000000019004d9a0 (__TEXT,__text) external _touchpadCodecDestroy
0000000190055820 (__TEXT,__text) external _touchpadCodecEncodeImage
000000019004d010 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
000000019002bddc (__TEXT,__text) non-external (was a private external) _write_expected
00000001900b7b12 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00000001900b7b0c (__TEXT,__const) non-external (was a private external) _xz_header_magic
0000000190055798 (__TEXT,__text) non-external _xz_read_multi_byte
0000000190055748 (__TEXT,__text) non-external _xz_simple_crc32
0000000190046934 (__TEXT,__text) external _yzip_codec_create
0000000190046970 (__TEXT,__text) external _yzip_codec_destroy
0000000190025f6c (__TEXT,__text) external _yzip_image_create
00000001900260d4 (__TEXT,__text) external _yzip_image_create_with_payload
000000019002694c (__TEXT,__text) external _yzip_image_decode
0000000190026270 (__TEXT,__text) external _yzip_image_destroy
0000000190026274 (__TEXT,__text) external _yzip_image_encode
0000000190026b44 (__TEXT,__text) external _yzip_image_get_descriptor
0000000190026bfc (__TEXT,__text) external _yzip_image_get_max_payload_size
0000000190026bb0 (__TEXT,__text) external _yzip_image_get_plane_descriptor
0000000190026c84 (__TEXT,__text) external _yzip_image_set_data
0000000190026e08 (__TEXT,__text) external _yzip_image_set_identifier
0000000190026d40 (__TEXT,__text) external _yzip_image_set_plane_data
00000001900215e0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00000001900214f0 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00000001900212e0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
0000000190022020 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
0000000190021a8c (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
0000000190021f48 (__TEXT,__text) non-external _yzip_jobs_process
0000000190021270 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000019004ecf4 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000019004dde4 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
000000019004dcf8 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
000000019004de50 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000019004e640 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
0000000190009d3c (__TEXT,__text) non-external (was a private external) _zError
00000001e74b8c60 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
0000000190000cb8 (__TEXT,__text) non-external (was a private external) _zcalloc
0000000190003e08 (__TEXT,__text) non-external (was a private external) _zcfree
0000000190009308 (__TEXT,__text) external _zero_coder_decode
000000019000940c (__TEXT,__text) external _zero_coder_encode
0000000190009550 (__TEXT,__text) non-external _zero_coder_init_luts
00000001eb060000 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001eb060100 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001eb060900 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001eb05ff00 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
0000000190009d34 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
0000000190005de0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
0000000190006a2c (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00000001900ae4dc (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00000001900ae4a0 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
0000000190009d28 (__TEXT,__text) non-external (was a private external) _zlibVersion
0000000190038464 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
0000000190038458 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000019001692c (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
0000000190016920 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
0000000190031d88 (__TEXT,__text) non-external (was a private external) _zlib_free
0000000190031d5c (__TEXT,__text) non-external (was a private external) _zlib_malloc
0000000190003e8c (__TEXT,__text) non-external (was a private external) _zlib_stream_end
0000000190038908 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
0000000190005828 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
0000000190038914 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
0000000190038900 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
0000000190000840 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00000001900010c0 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
00000001900092e0 (__TEXT,__text) non-external vec_table
