00007ffc1a07cf95 (__TEXT,__text) non-external +[ODCAction action]
00007ffc4433b538 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffc4433b518 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffc4433b4e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffc4433b4f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffc4433b500 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffc4433b4c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffc4433b540 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffc4433b558 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffc4433b548 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffc4433b488 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffc4433b570 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffc4433b4d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffc4433b510 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffc4433b520 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffc4433b528 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffc4433b480 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffc4433b470 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffc4433b460 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffc4433b430 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffc4433b468 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffc4433b408 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffc4433b450 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffc4433b420 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffc4433b428 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffc4433b448 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffc4433b418 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffc4433b440 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffc4433b400 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffc4433b458 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffc4433b438 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffc4433b410 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffc4433b5c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffc4433b5a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffc4433b5c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffc4433b5a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffc4433b5d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffc4433b5e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffc4433b5b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffc4433b5d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffc4433b5b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffc4433b638 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffc4433b590 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffc4433b588 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffc4433b598 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffc4433b578 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffc4433b580 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffc4433b620 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffc4433b628 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffc4433b630 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffc4433b608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffc4433b618 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffc4433b610 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffc4433b5f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffc4433b5f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffc4433b600 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffc4433b5e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffc4433b6b8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffc4433b668 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffc4433b758 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffc4433b848 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffc4433b708 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffc4433b7f8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffc4433b7a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffc422f0158 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffc422f0150 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffc422f0168 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffc422f0160 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffc422f0048 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffc422f0050 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffc422f0058 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffc422f0060 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffc422f0068 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffc422f0070 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffc422f0138 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffc422f0100 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffc422f0108 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffc422f0090 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffc422f0098 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffc422f00a0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffc422f00a8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffc422f00b0 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffc422f00b8 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffc422f00c0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffc422f00c8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffc422f0128 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffc422f0040 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffc422f00e8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffc422f00f0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffc422f00f8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffc422f0120 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffc422f0078 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffc422f0080 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffc422f0088 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffc422f0118 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffc422f0110 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffc422f0148 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffc422f0140 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffc422f0130 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffc422f00d0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffc422f00d8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffc422f00e0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc1a0895e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffc1a089658 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffc1a089670 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc1a089688 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffc1a0896a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffc1a089cf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffc1a089ea8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffc1a089fc8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc1a08a040 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffc1a08a100 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffc1a08a178 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffc422f2710 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffc422f23a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffc422f2fa0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffc422f3510 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffc422f2e10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffc422f3350 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffc422f31f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffc422f2b18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffc422f2588 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffc422f30c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffc422f3538 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffc422f2eb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffc422f3418 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffc422f3278 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffc422f2d80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffc422f2680 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffc422f3160 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffc422f3550 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffc422f2f10 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffc422f3480 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffc422f32c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffc422f26c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffc422f2358 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffc422f2f58 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffc422f34c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffc422f2dc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffc422f3308 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffc422f31a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc1a07cfe3 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffc1a084f12 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffc1a07a9f0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffc1a07abe3 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffc1a07de42 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffc1a07a9c6 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffc1a07a9dd (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc1a08a250 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffc1a08a210 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffc1a08911c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffc1a0890da (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc422f0170 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffc422f01b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffc422f0010 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffc422effe0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffc422f03d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc422f0418 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffc422f0190 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc422f03f8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc422f0438 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffc1a07abf1 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffc1a07ab40 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffc1a07ac08 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffc1a07ab9c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffc1a0891fb (__TEXT,__text) non-external ___fixup_schema2
00007ffc1a089211 (__TEXT,__text) non-external ___fixup_schema3
00007ffc1a08923f (__TEXT,__text) non-external ___fixup_schema4
00007ffc1a0892f8 (__TEXT,__text) non-external ___fixup_schema5
00007ffc1a088fb1 (__TEXT,__text) non-external ___get_keyinfo
00007ffc4433b8b0 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffc1a08890d (__TEXT,__text) non-external __schema_construct
00007ffc1a0893b9 (__TEXT,__text) non-external __schema_construct.cold.1
00007ffc1a088aff (__TEXT,__text) non-external __schema_deconstruct
00007ffc1a0893b9 (__TEXT,__text) non-external __schema_deconstruct.cold.1
00007ffc1a08900c (__TEXT,__text) non-external __schema_validate_type
00007ffc4433b890 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffc1a0893d1 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffc1a0893e9 (__TEXT,__text) non-external __schema_validate_type.cold.2
00007ffc4433b8a8 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffc4433b898 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffc4433b8a0 (__DATA,__bss) non-external __schema_validate_type.num
00007ffc4433b880 (__DATA,__bss) non-external __schema_validate_type.once
00007ffc4433b888 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffc4433b870 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffc422f0368 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffc422f0370 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffc422f0378 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffc422f0380 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffc422f0388 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffc422f0220 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffc422f0228 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffc422f0230 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffc422f0238 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffc422f0260 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffc422f0240 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffc422f0248 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffc422f0258 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffc422f0250 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffc422f0268 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffc422f0270 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffc422f0278 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffc422f0280 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffc422f0288 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffc422f0298 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffc422f0290 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffc422f02a0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffc422f02a8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffc422f02b0 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffc422f0310 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffc422f0308 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffc422f0328 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffc422f0330 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffc422f0320 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffc422f0318 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffc422f0300 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffc422f02b8 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffc422f02c0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffc422f02d0 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffc422f02d8 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffc422f02e0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffc422f02e8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffc422f02c8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffc422f02f0 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffc422f02f8 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffc422f0390 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffc422f03a0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffc422f03a8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffc422f03b0 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffc422f03b8 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffc422f03c0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffc422f03c8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffc422f0398 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffc422f03d0 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffc1a08a2c0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffc422f0350 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffc422f0360 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffc422f0358 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffc422f0348 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffc422f0340 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffc422f0338 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffc1a088f52 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffc4433b878 (__DATA,__bss) non-external _request_schema
00007ffc1a088a3b (__TEXT,__text) external _schema_construct_request
00007ffc1a0888f3 (__TEXT,__text) external _schema_construct_requestv
00007ffc1a088e8e (__TEXT,__text) external _schema_construct_result
00007ffc1a088e74 (__TEXT,__text) external _schema_construct_resultv
00007ffc1a088ae5 (__TEXT,__text) external _schema_deconstruct_request
