00000002948ce770 (__DATA,__data) non-external _.compoundliteral
000000022474b8c4 (__TEXT,__text) non-external _cgDerefNode
00000002247c101c (__TEXT,__text) non-external _checkBarrier
000000022479bb3c (__TEXT,__text) non-external _checkReservedName
0000000224780628 (__TEXT,__text) non-external _compareVariableObjectsLocationFirstNameSecond
000000022476dbe8 (__TEXT,__text) non-external _compilerRemapFixup
000000022478043c (__TEXT,__text) non-external _componentCountForSet
00000002247784ec (__TEXT,__text) non-external _copyOutBeforeReturnsIn
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _coshf (from libSystem)
000000022476eca0 (__TEXT,__text) non-external _countComponents
00000002247e55bc (__TEXT,__text) non-external (was a private external) _defaultEqualsFunction
00000002247e55b4 (__TEXT,__text) non-external (was a private external) _defaultHashFunction
000000022478de78 (__TEXT,__text) non-external (was a private external) _deserialErrorString
00000002247ab974 (__TEXT,__text) non-external _deserializeASTFields
00000002247a8ff8 (__TEXT,__text) non-external _deserializeAssignFields
00000002247aa640 (__TEXT,__text) non-external _deserializeBlockFields
00000002247abe9c (__TEXT,__text) non-external _deserializeCallFields
00000002247aa80c (__TEXT,__text) non-external _deserializeCaseStatementFields
00000002247a9050 (__TEXT,__text) non-external _deserializeCommaExprFields
00000002247a8d30 (__TEXT,__text) non-external _deserializeConstantFields
00000002247aa864 (__TEXT,__text) non-external _deserializeDefaultStatementFields
00000002247a8f48 (__TEXT,__text) non-external _deserializeEqualFields
00000002247a8e18 (__TEXT,__text) non-external _deserializeFieldAccessFields
00000002247a9ab4 (__TEXT,__text) non-external _deserializeFieldDeclarationFields
00000002247a8e4c (__TEXT,__text) non-external _deserializeFunctionCallFields
00000002247a92b0 (__TEXT,__text) non-external _deserializeFunctionPrototypeFields
00000002247a9b1c (__TEXT,__text) non-external _deserializeInterfaceBlockFields
00000002247a9db8 (__TEXT,__text) non-external _deserializeKeywordQualifierFields
00000002247aafe8 (__TEXT,__text) non-external _deserializeLValueFields
00000002247aa458 (__TEXT,__text) non-external _deserializeLayoutPairFields
00000002247a9f60 (__TEXT,__text) non-external _deserializeLayoutQualifierFields
00000002247a9c10 (__TEXT,__text) non-external _deserializeLayoutTypeFields
00000002247a8f14 (__TEXT,__text) non-external _deserializeMethodCallFields
00000002247a8fa0 (__TEXT,__text) non-external _deserializeNotEqualFields
00000002247aaaf8 (__TEXT,__text) non-external _deserializeOffsetFields
00000002247ab1fc (__TEXT,__text) non-external _deserializePPStreamOpFields
00000002247a921c (__TEXT,__text) non-external _deserializeParameterDeclarationFields
00000002247a990c (__TEXT,__text) non-external _deserializePrimitiveTypeFields
00000002247a9730 (__TEXT,__text) non-external _deserializeQualifiedDeclarationFields
00000002247a9764 (__TEXT,__text) non-external _deserializeQualifiedDeclarationGroupFields
00000002247aa2b0 (__TEXT,__text) non-external _deserializeQualifierListFields
00000002247aaa64 (__TEXT,__text) non-external _deserializeRawCallFields
00000002247a9ae8 (__TEXT,__text) non-external _deserializeStructTypeFields
00000002247ac044 (__TEXT,__text) non-external _deserializeStructureFields
00000002247a8ee0 (__TEXT,__text) non-external _deserializeSubroutineArrayCallFields
00000002247aa108 (__TEXT,__text) non-external _deserializeSubroutineTypeListFields
00000002247aa8bc (__TEXT,__text) non-external _deserializeTopLevelFields
00000002247a8aa0 (__TEXT,__text) non-external _deserializeTypeConversionFields
00000002247a8cfc (__TEXT,__text) non-external _deserializeTypeIdentifierFields
00000002247a94c4 (__TEXT,__text) non-external _deserializeVariableDeclarationFields
00000002247a9588 (__TEXT,__text) non-external _deserializeVariableDeclarationGroupFields
00000002247a8cc8 (__TEXT,__text) non-external _deserializeVariableIdentifierFields
00000002247a4884 (__TEXT,__text) non-external _deserialize_GLPFunctionObject
00000002247a55ac (__TEXT,__text) non-external _deserialize_GLPInterfaceBlockObject
00000002247a4814 (__TEXT,__text) non-external _deserialize_GLPLayoutObject
00000002247a4e2c (__TEXT,__text) non-external (was a private external) _deserialize_GLPNameTableEntry
000000022478e4f0 (__TEXT,__text) non-external (was a private external) _deserialize_GLPString
00000002247a561c (__TEXT,__text) non-external _deserialize_GLPSubroutineUniformObject
00000002247a553c (__TEXT,__text) non-external _deserialize_GLPVariableObject
000000022478dfc4 (__TEXT,__text) non-external (was a private external) _deserialize_double
000000022478df88 (__TEXT,__text) non-external (was a private external) _deserialize_float
000000022478e000 (__TEXT,__text) non-external (was a private external) _deserialize_pointer
0000000224793804 (__TEXT,__text) non-external _destroyAggregateType
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
0000000224797778 (__TEXT,__text) non-external _doPrecisionWarningsForLowpInt
0000000298da4720 (__DATA_DIRTY,__data) non-external _eof_inputsrc
000000022479bf58 (__TEXT,__text) non-external _eof_scan
000000022479dd8c (__TEXT,__text) non-external _eof_scan
000000022479bc00 (__TEXT,__text) non-external _eval
000000022474a188 (__TEXT,__text) non-external _evalOffsetExtraOfOffset
                 (undefined) external _exp2f (from libSystem)
                 (undefined) external _expf (from libSystem)
                 (undefined) external _fabs (from libSystem)
                 (undefined) external _fclose (from libSystem)
000000022478ba48 (__TEXT,__text) non-external _flattenCommaTreeInto
                 (undefined) external _floor (from libSystem)
                 (undefined) external _floorf (from libSystem)
00000002247c1bb4 (__TEXT,__text) non-external _foldAssign
00000002247c1e2c (__TEXT,__text) non-external _foldBlock
00000002247c1c4c (__TEXT,__text) non-external _foldCommaExpr
00000002247c198c (__TEXT,__text) non-external _foldConstant
00000002247c37b0 (__TEXT,__text) non-external _foldDerefNode
000000022474a458 (__TEXT,__text) non-external _foldDstSwizzleMaskForComp
00000002247c1ea4 (__TEXT,__text) non-external _foldIfStatement
00000002247c1fb4 (__TEXT,__text) non-external _foldLValue
00000002247c1a00 (__TEXT,__text) non-external _foldNegate
00000002247c20ec (__TEXT,__text) non-external _foldPPStreamOp
00000002247c203c (__TEXT,__text) non-external _foldRValue
00000002247c1f3c (__TEXT,__text) non-external _foldSwitchStatement
00000002247c17b8 (__TEXT,__text) non-external _foldTypeConversion
00000002247c2764 (__TEXT,__text) non-external _foldUnaryOperator
00000002247c1cf4 (__TEXT,__text) non-external _foldVariableDeclaration
000000028fddb8c0 (__DATA_CONST,__const) non-external (was a private external) _fpDclList
                 (undefined) external _fprintf_l (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _frexp (from libSystem)
                 (undefined) external _frexpf (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000002948d2dc0 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000022477810c (__TEXT,__text) non-external _generateSlotVars
00000002247c1204 (__TEXT,__text) non-external _genericCheckKidsBarrier
00000002247963c4 (__TEXT,__text) non-external _getAccessorReplaceCallback
000000022478161c (__TEXT,__text) non-external _getAndRemapBuiltinFromScope
000000022478f770 (__TEXT,__text) non-external _getBindableUniformLocationInfo
000000022478f458 (__TEXT,__text) non-external _getBindingInfo
0000000224791e24 (__TEXT,__text) non-external _getBindingInfoForType
000000022477f8d8 (__TEXT,__text) non-external _getInputOutputBitsType
000000022478cda8 (__TEXT,__text) non-external _getPrecisionFlagsFromArgs
000000022478fb80 (__TEXT,__text) non-external _getString
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getsectiondata (from libSystem)
00000002246e2770 (__TEXT,__text) non-external _gl_atomic_add
00000002247f0e50 (__TEXT,__text) non-external (was a private external) _gleAttribBindingSize
00000002247f0edc (__TEXT,__text) non-external (was a private external) _gleCopyAttribBindings
00000002247f0e5c (__TEXT,__text) non-external (was a private external) _gleCopyParamBindings
0000000224806cc4 (__TEXT,__text) non-external _gleFStateProgram_AddAttribs
000000022480309c (__TEXT,__text) non-external _gleFStateProgram_AddPPStreamOperation
0000000224806f64 (__TEXT,__text) non-external _gleFStateProgram_AddParams
000000022480714c (__TEXT,__text) non-external _gleFStateProgram_AllocateAttribs
00000002248030a8 (__TEXT,__text) non-external _gleFStateProgram_Core
0000000224806b6c (__TEXT,__text) non-external _gleFStateProgram_End
0000000224807148 (__TEXT,__text) non-external _gleFStateProgram_LLVMAddOperation
0000000224807844 (__TEXT,__text) non-external _gleStateProgram_ASSERT
00000002248076b8 (__TEXT,__text) non-external _gleStateProgram_A_MODULATE
0000000224807848 (__TEXT,__text) non-external _gleStateProgram_A_REPLACE
000000029a8f1190 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsA
000000029a8f1208 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsI
000000029a8f11b8 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsL
000000029a8f11e0 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsLA
000000029a8f1230 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGB
000000029a8f1258 (__AUTH_CONST,__const) non-external _gleStateProgram_ApplyFuncsRGBA
000000022480795c (__TEXT,__text) non-external _gleStateProgram_CheckDestInit
00000002248089f8 (__TEXT,__text) non-external _gleStateProgram_I_ADD
0000000224808854 (__TEXT,__text) non-external _gleStateProgram_I_BLEND
0000000224808548 (__TEXT,__text) non-external _gleStateProgram_RGBA_ADD
0000000224808218 (__TEXT,__text) non-external _gleStateProgram_RGBA_BLEND
0000000224808b80 (__TEXT,__text) non-external _gleStateProgram_RGBA_DECAL
00000002248080a0 (__TEXT,__text) non-external _gleStateProgram_RGBA_MODULATE
0000000224807f04 (__TEXT,__text) non-external _gleStateProgram_RGB_ADD
0000000224807c34 (__TEXT,__text) non-external _gleStateProgram_RGB_BLEND
0000000224807aa8 (__TEXT,__text) non-external _gleStateProgram_RGB_MODULATE
0000000224807df0 (__TEXT,__text) non-external _gleStateProgram_RGB_REPLACE
0000000224807428 (__TEXT,__text) non-external _gleStateProgram_TextureSampleOp
00000002247f5370 (__TEXT,__text) non-external _gleVStateProgram_AddAttribs
00000002247f15fc (__TEXT,__text) non-external _gleVStateProgram_AddPPStreamOperation
00000002247f5588 (__TEXT,__text) non-external _gleVStateProgram_AddParams
00000002247f598c (__TEXT,__text) non-external _gleVStateProgram_AllocateOutputs
00000002247f1608 (__TEXT,__text) non-external _gleVStateProgram_Core
00000002247f5b98 (__TEXT,__text) non-external _gleVStateProgram_GetAttrib
00000002247f5988 (__TEXT,__text) non-external _gleVStateProgram_IgnoreOption
00000002247f5b94 (__TEXT,__text) non-external _gleVStateProgram_LLVMAddOperation
00000002247f5c54 (__TEXT,__text) non-external _gleVStateProgram_LightingStage
00000002248023c0 (__TEXT,__text) non-external _gleVStateProgram_MultMatrix3x3
0000000224801934 (__TEXT,__text) non-external _gleVStateProgram_MultMatrix4x4
000000022480289c (__TEXT,__text) non-external _gleVStateProgram_NormalizeVector
                 (undefined) external _glgConvertPixelWidthToBlocks (from libGLImage)
                 (undefined) external _glgConvertType (from libGLImage)
                 (undefined) external _glgGetCompressedBlockBytes (from libGLImage)
                 (undefined) external _glgGetCompressedBlockHeight (from libGLImage)
                 (undefined) external _glgGetCompressedImageBytes (from libGLImage)
                 (undefined) external _glgGetPixelSize (from libGLImage)
                 (undefined) external _glgProcessPixelsWithProcessor (from libGLImage)
00000002247449d4 (__TEXT,__text) non-external (was a private external) _glpABIGetArrayStrideForElementType
00000002247449b4 (__TEXT,__text) non-external (was a private external) _glpABIGetMatrixStride
0000000224744a0c (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumBufferBytesForType
00000002247449f4 (__TEXT,__text) non-external (was a private external) _glpABIGetMinimumStructAlignment
0000000224744a5c (__TEXT,__text) non-external (was a private external) _glpABIGetStructTypeRangeOfField
0000000224744994 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeAlign
0000000224744974 (__TEXT,__text) non-external (was a private external) _glpABIGetTypeSize
0000000224745bbc (__TEXT,__text) non-external (was a private external) _glpASTMergeInitContext
0000000224745dfc (__TEXT,__text) non-external (was a private external) _glpASTMergePhase1AddTopLevelNode
00000002247464ec (__TEXT,__text) non-external (was a private external) _glpASTMergePhase2
000000022479f02c (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChild
000000022479f018 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetChildCount
000000022479f0b8 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetKind
000000022479f0d0 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetLocation
000000022479f0b0 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaFlags
000000022479f0a8 (__TEXT,__text) non-external (was a private external) _glpASTNodeGetSaType
000000022479f020 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetChild
000000022479f0e4 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetLocation
000000022479f0c0 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaFlags
000000022479f0c8 (__TEXT,__text) non-external (was a private external) _glpASTNodeSetSaType
0000000224771040 (__TEXT,__text) non-external (was a private external) _glpAddExtensionDefines
000000028fddc188 (__DATA_CONST,__const) non-external _glpAddExtensionDefines.builtinDefines
0000000224765cd4 (__TEXT,__text) non-external _glpAddGep
0000000224787484 (__TEXT,__text) non-external (was a private external) _glpAddOffsetIfNeeded
00000002247933c0 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementCount
00000002247933e4 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementFlags
00000002247933f0 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementLayout
00000002247933d8 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeGetElementType
0000000224794078 (__TEXT,__text) non-external (was a private external) _glpAggregateTypeMangleName
0000000224744958 (__TEXT,__text) non-external (was a private external) _glpAlignTypeSize
0000000224794ef8 (__TEXT,__text) non-external (was a private external) _glpAnalyzeBinaryMathOp
0000000224789b74 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToFunction
0000000224788e70 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToOverload
0000000224789c58 (__TEXT,__text) non-external (was a private external) _glpAnalyzeCallToSubroutineArray
0000000224794b50 (__TEXT,__text) non-external (was a private external) _glpAnalyzeUnaryMathOp
000000022476ee38 (__TEXT,__text) non-external (was a private external) _glpAppendFlagDescription
00000002247988b4 (__TEXT,__text) non-external (was a private external) _glpAppendValueDescriptionToStringBuffer
000000022476f73c (__TEXT,__text) non-external (was a private external) _glpAppendVariableObjectDescription
000000022478c2ac (__TEXT,__text) non-external (was a private external) _glpApplySizeToBanks
0000000224745b9c (__TEXT,__text) non-external (was a private external) _glpArchiveFileFinishEntryNamed
0000000224745b08 (__TEXT,__text) non-external (was a private external) _glpArchiveFileGetEntryNamed
000000022479f6e4 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetArray
000000022479f6fc (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeGetElement
000000022479f6f0 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetArray
000000022479f708 (__TEXT,__text) non-external (was a private external) _glpArrayAccessNodeSetElement
0000000224793ae0 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementCount
0000000224793550 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetElementType
0000000224793558 (__TEXT,__text) non-external (was a private external) _glpArrayTypeGetMaxElementCount
00000002247a184c (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetDimension
00000002247a1834 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeGetElementType
00000002247a1858 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeSetDimension
00000002247a1840 (__TEXT,__text) non-external (was a private external) _glpArrayTypeNodeSetElementType
00000002247a0960 (__TEXT,__text) non-external (was a private external) _glpAssignNodeGetIsFromSource
00000002247a2d70 (__TEXT,__text) non-external (was a private external) _glpAvailabilityDeclarationNodeSetExpr
00000002247703a8 (__TEXT,__text) non-external (was a private external) _glpBankForInputsInLanguage
00000002247703d0 (__TEXT,__text) non-external (was a private external) _glpBankForOutputsInLanguage
00000002247935b8 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetBank
00000002247935c8 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetElementCount
00000002247935c0 (__TEXT,__text) non-external (was a private external) _glpBankTypeGetElementType
000000022479eed8 (__TEXT,__text) non-external (was a private external) _glpBaseSizeOfNodeKind
000000022479f138 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeGetLhs
000000022479f150 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeGetRhs
000000022479f144 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeSetLhs
000000022479f15c (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorNodeSetRhs
0000000224794c54 (__TEXT,__text) non-external (was a private external) _glpBinaryOperatorStringToSymbol
00000002247a24ac (__TEXT,__text) non-external (was a private external) _glpBlockNodeAddStatement
00000002247a247c (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetNeedsNewScope
00000002247a2494 (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetStatement
00000002247a248c (__TEXT,__text) non-external (was a private external) _glpBlockNodeGetStatementCount
00000002247a24b4 (__TEXT,__text) non-external (was a private external) _glpBlockNodeInsertStatement
00000002247a2484 (__TEXT,__text) non-external (was a private external) _glpBlockNodeSetNeedsNewScope
00000002247a24a0 (__TEXT,__text) non-external (was a private external) _glpBlockNodeSetStatement
00000002247700d8 (__TEXT,__text) non-external (was a private external) _glpBufferObjectGetMinimumBufferSize
000000022475f21c (__TEXT,__text) non-external _glpBuildAlloca
0000000224768228 (__TEXT,__text) non-external _glpBuildArrayElementPtr
000000022476874c (__TEXT,__text) non-external _glpBuildArrayElementPtrCst
0000000224760290 (__TEXT,__text) non-external _glpBuildConstantIntVector
0000000224764464 (__TEXT,__text) non-external _glpBuildGetLODOperation
00000002247647fc (__TEXT,__text) non-external _glpBuildInterpolateAt
000000022476209c (__TEXT,__text) non-external _glpBuildTextureOperation
0000000224763794 (__TEXT,__text) non-external _glpBuildTextureSizeOperation
000000022476572c (__TEXT,__text) non-external _glpBuildUniformElementPtr
0000000298da6474 (__DATA_DIRTY,__common) non-external (was a private external) _glpBuiltInConstantValues
0000000298da6470 (__DATA_DIRTY,__common) non-external (was a private external) _glpBuiltInConstantsInitialized
000000022474808c (__TEXT,__text) non-external _glpCGAssign
0000000224747f58 (__TEXT,__text) non-external _glpCGBitwiseNot
0000000224748b48 (__TEXT,__text) non-external _glpCGBlock
0000000224749180 (__TEXT,__text) non-external _glpCGBreakStatement
0000000224749098 (__TEXT,__text) non-external _glpCGCaseStatement
0000000224748714 (__TEXT,__text) non-external _glpCGCommaExpr
0000000224747888 (__TEXT,__text) non-external _glpCGConstant
0000000224749200 (__TEXT,__text) non-external _glpCGContinueStatement
000000022474912c (__TEXT,__text) non-external _glpCGDefaultStatement
000000022474899c (__TEXT,__text) non-external _glpCGFunctionDefinition
0000000224748844 (__TEXT,__text) non-external _glpCGFunctionPrototype
0000000224748bb8 (__TEXT,__text) non-external _glpCGIfStatement
0000000224748ae0 (__TEXT,__text) non-external _glpCGInterfaceBlock
0000000224749504 (__TEXT,__text) non-external _glpCGLValue
0000000224747e24 (__TEXT,__text) non-external _glpCGLogicalNot
0000000224748d50 (__TEXT,__text) non-external _glpCGLoopStatement
0000000224747ddc (__TEXT,__text) non-external _glpCGNegate
00000002247471c4 (__TEXT,__text) non-external _glpCGNode
0000000224747930 (__TEXT,__text) non-external _glpCGPPStreamOpNode
0000000224748790 (__TEXT,__text) non-external _glpCGParameterDeclaration
00000002247495ac (__TEXT,__text) non-external _glpCGRValue
00000002247492e8 (__TEXT,__text) non-external _glpCGRawCallNode
0000000224749280 (__TEXT,__text) non-external _glpCGReturnStatement
000000022474936c (__TEXT,__text) non-external _glpCGSubroutineRawCallNode
0000000224747c74 (__TEXT,__text) non-external _glpCGSubroutineUniformNode
0000000224748f1c (__TEXT,__text) non-external _glpCGSwitchStatement
0000000224764aa4 (__TEXT,__text) non-external _glpCGSwizzle
0000000224746eb0 (__TEXT,__text) non-external (was a private external) _glpCGTopLevel
0000000224747764 (__TEXT,__text) non-external _glpCGTypeConversion
00000002247488d4 (__TEXT,__text) non-external _glpCGVariableDeclaration
000000022474892c (__TEXT,__text) non-external _glpCGVariableDeclarationGroup
00000002247d3878 (__TEXT,__text) non-external (was a private external) _glpCPPErrorToInfoLog
00000002247d37a8 (__TEXT,__text) non-external (was a private external) _glpCPPShInfoLogMsg
00000002247d36e0 (__TEXT,__text) non-external (was a private external) _glpCPPWarningToInfoLog
0000000224783e68 (__TEXT,__text) non-external (was a private external) _glpCalculateCallPrecision
0000000224802afc (__TEXT,__text) external _glpCallFragmentStateToLLVMIR
000000022479f188 (__TEXT,__text) non-external (was a private external) _glpCallNodeAddArg
000000022479f170 (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArg
000000022479f168 (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArgCount
000000022479f190 (__TEXT,__text) non-external (was a private external) _glpCallNodeInsertArg
000000022479f17c (__TEXT,__text) non-external (was a private external) _glpCallNodeSetArg
00000002247f0f4c (__TEXT,__text) external _glpCallVertexStateToLLVMIR
0000000224789d30 (__TEXT,__text) non-external (was a private external) _glpCanConvert
00000002247a28b4 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetConstValue
00000002247a28a4 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetIsStray
00000002247a28c0 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetConstValue
00000002247a28ac (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetIsStray
000000022479517c (__TEXT,__text) non-external (was a private external) _glpCheckAndSanitizeConstructorCall
0000000224788490 (__TEXT,__text) non-external (was a private external) _glpCheckArrayIndex
00000002247c0ff0 (__TEXT,__text) non-external (was a private external) _glpCheckBarrier
00000002247875a8 (__TEXT,__text) non-external (was a private external) _glpCheckIBDeref
000000022478aed0 (__TEXT,__text) non-external (was a private external) _glpCheckName
0000000224776a94 (__TEXT,__text) non-external (was a private external) _glpCleanUpLinkedProgram
00000002247a0b7c (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeAddExpr
00000002247a0b10 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeClearExprs
00000002247a0b64 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExpr
00000002247a0b5c (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExprCount
00000002247a0b08 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetIsFromSource
00000002247a0b84 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeInsertExpr
00000002247a0b70 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeSetExpr
000000022478baf4 (__TEXT,__text) non-external (was a private external) _glpCommaResult
00000002247986fc (__TEXT,__text) non-external (was a private external) _glpCompareValues
0000000224773320 (__TEXT,__text) non-external (was a private external) _glpCompileShader
000000022476de64 (__TEXT,__text) non-external (was a private external) _glpCompilerAllOutputsAreInvariant
000000022476e064 (__TEXT,__text) non-external (was a private external) _glpCompilerApplyImplictRulesForGlobalTypeQualifier
000000022476e524 (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTrackPrecision
000000022476e54c (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTypeRequirePrecision
000000022476e344 (__TEXT,__text) non-external (was a private external) _glpCompilerForceAllOutputsToBeInvariant
000000022476dbe4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetAllocator
000000022476d340 (__TEXT,__text) non-external (was a private external) _glpCompilerGetGLProfile
000000022476e6d4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImmediateSAContext
000000022476e49c (__TEXT,__text) non-external (was a private external) _glpCompilerGetImplicitConversionPolicy
000000022476e200 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImpliedBankSize
000000022476d350 (__TEXT,__text) non-external (was a private external) _glpCompilerGetInfoLog
000000022476e2d4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetIntConstant
000000022476e054 (__TEXT,__text) non-external (was a private external) _glpCompilerGetLanguage
000000022476e04c (__TEXT,__text) non-external (was a private external) _glpCompilerGetNameTable
000000022476d348 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOSXVersion
000000022476d338 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOptions
000000022476e358 (__TEXT,__text) non-external (was a private external) _glpCompilerGetSubroutineType
000000022476e05c (__TEXT,__text) non-external (was a private external) _glpCompilerGetTopLevelNode
000000022476e2cc (__TEXT,__text) non-external (was a private external) _glpCompilerGetValueHash
000000022476de4c (__TEXT,__text) non-external (was a private external) _glpCompilerInsertDef
000000022476df5c (__TEXT,__text) non-external (was a private external) _glpCompilerNewTempName
000000022476dbdc (__TEXT,__text) non-external (was a private external) _glpCompilerPoolAlloc
000000022476e6c4 (__TEXT,__text) non-external (was a private external) _glpCompilerPopSAContext
000000022476e5f4 (__TEXT,__text) non-external (was a private external) _glpCompilerPushSAContext
000000022476d358 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapObject
000000022476df54 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapValue
000000022476e5ec (__TEXT,__text) non-external (was a private external) _glpCompilerRequiresOutputPoints
000000022476e5e4 (__TEXT,__text) non-external (was a private external) _glpCompilerSetRequiresOutputPoints
000000022476e350 (__TEXT,__text) non-external (was a private external) _glpCompilerUsingStyleGuide
00000002247c1524 (__TEXT,__text) non-external (was a private external) _glpConstantFold
000000022479f628 (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetType
000000022479f630 (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetValue
000000022479f638 (__TEXT,__text) non-external (was a private external) _glpConstantNodeSetValue
00000002247c1274 (__TEXT,__text) non-external (was a private external) _glpConstantValueFromDecomposedInitializer
000000022479fb40 (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeGetType
000000022479fb50 (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeSetType
00000002247887cc (__TEXT,__text) non-external (was a private external) _glpConvert
0000000224776424 (__TEXT,__text) non-external _glpCopyContextState
000000022477138c (__TEXT,__text) non-external (was a private external) _glpCopyLayoutObject
0000000224792950 (__TEXT,__text) non-external (was a private external) _glpCopyString
0000000224798660 (__TEXT,__text) non-external (was a private external) _glpCopyValue
00000002247986a8 (__TEXT,__text) non-external (was a private external) _glpCopyValueInto
00000002247c3a8c (__TEXT,__text) non-external _glpCopyValueIntoWithSwizzle
00000002247430d0 (__TEXT,__text) non-external (was a private external) _glpCreateDoublesTelemetry
0000000224808d4c (__TEXT,__text) non-external _glpCreateDoublesTelemetry.cold.1
00000002948d2f08 (__DATA,__bss) non-external _glpCreateDoublesTelemetry.onceToken
0000000224743234 (__TEXT,__text) non-external (was a private external) _glpCreateNVFragment2Telemetry
0000000224808d9c (__TEXT,__text) non-external _glpCreateNVFragment2Telemetry.cold.1
00000002948d2f28 (__DATA,__bss) non-external _glpCreateNVFragment2Telemetry.onceToken
00000002247431fc (__TEXT,__text) non-external (was a private external) _glpCreateNVFragmentProgramTelemetry
0000000224808d88 (__TEXT,__text) non-external _glpCreateNVFragmentProgramTelemetry.cold.1
00000002948d2f20 (__DATA,__bss) non-external _glpCreateNVFragmentProgramTelemetry.onceToken
000000022474318c (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex2Telemetry
0000000224808d60 (__TEXT,__text) non-external _glpCreateNVVertex2Telemetry.cold.1
