00007ffb0ae8c962 (__TEXT,__text) non-external _DiToMD5
00007ffb0ae99b5e (__TEXT,__text) external __ZN12IOUserClient29CopyClientEntitlements_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb0ae9a73e (__TEXT,__text) external __ZN12IOUserClient30CopyClientMemoryForType_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPyPP18IOMemoryDescriptorE
00007ffb0ae9a0fa (__TEXT,__text) external __ZN12IOUserClient32CreateMemoryDescriptorFromClientEyjPK16IOAddressSegmentPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb0ae9a7c4 (__TEXT,__text) external __ZN12IOUserClient39CreateMemoryDescriptorFromClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_yjPK16IOAddressSegmentPP18IOMemoryDescriptorE
00007ffb0ae79618 (__TEXT,__text) external __ZN12IOUserClient4freeEv
00007ffb0ae794fa (__TEXT,__text) external __ZN12IOUserClient4initEv
00007ffb0ae99a54 (__TEXT,__text) external __ZN12IOUserClient8DispatchE5IORPC
00007ffb0ae99a5e (__TEXT,__text) external __ZN12IOUserClient9_DispatchEPS_5IORPC
00007ffb0ae9af36 (__TEXT,__text) external __ZN12IOUserServer10LoadModuleEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb0ae9aa82 (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb0ae9b0a2 (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
00007ffb0ae76676 (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00007ffb0ae9ab36 (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb0ae9adca (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb0ae765ac (__TEXT,__text) external __ZN12IOUserServer4freeEv
00007ffb0ae7659c (__TEXT,__text) external __ZN12IOUserServer4initEv
00007ffb0ae9ac0c (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00007ffb0ae9a930 (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00007ffb0ae7665c (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00007ffb0ae9a93a (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00007ffb0ae7face (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00007ffb0ae7fc2e (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00007ffb0ae7fc3c (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00007ffb0ae7fac4 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffb0ae7f9a8 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffb0ae7fb56 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffb0ae7f9b8 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffb0ae7fa76 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffb0ae7fb90 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffb0ae7fb46 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffb0ae7fc1c (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffb0ae7a2b0 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffb0ae7a5de (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffb0ae7a58a (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffb0ae8098a (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffb0ae80744 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffb0ae808e2 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffb0ae8091a (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffb0ae807e0 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffb0ae807c8 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffb0ae80844 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffb0ae7a84a (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffb0ae7a722 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffb0ae7a92c (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffb0ae7a9fc (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffb0ae9e42a (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffb0ae7aaaa (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffb0ae9e44d (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffb0ae7a78e (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffb0ae7a712 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffb0ae7a7f0 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffb0ae8c53c (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffb0ae8c4e4 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffb0ae8c3f2 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffb0ae8c390 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffb0ae8c204 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffb0ae8c3e4 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffb0ae9c56c (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffb0ae8f672 (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffb0ae74b98 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffb0ae8f864 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffb0ae76a88 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffb0ae76c38 (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffb0ae8f7f2 (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb0ae74ab6 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffb0ae77002 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffb0ae76d88 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffb0ae9dfce (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffb0ae77076 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffb0ae9e05a (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffb0ae9e07d (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffb0ae76ba2 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffb0ae76bcc (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffb0ae9dfab (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffb0ae76a4a (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffb0ae767ea (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffb0ae766b0 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffb0ae7706c (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffb0ae76704 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffb0ae76244 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffb0ae9ddc1 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffb0ae9dde4 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffb0ae9de07 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffb0ae9de2a (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffb0ae9de4d (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffb0ae9de70 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffb0ae9de93 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffb0ae9deb6 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffb0ae7710e (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffb0ae749f0 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffb0ae74a02 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffb0ae8f56e (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffb0ae8f508 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffb0ae7711a (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffb0ae8f52a (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffb0ae8bcee (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffb0ae8b96c (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffb0ae8b9d8 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffb0ae8bdd8 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffb0ae8be20 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffb0ae8b9e2 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffb0ae9f3c7 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffb0ae8bfd0 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffb0ae8c0b0 (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffb0ae8bb12 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffb0ae9f3d9 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffb0ae8c0c4 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffb0ae8c0d8 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffb0ae8b280 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffb0ae8b2f2 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffb0ae8bc56 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffb0ae8bce4 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffb0ae9beae (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffb0ae733e8 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffb0ae73be0 (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffb0ae73df0 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffb0ae9d386 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffb0ae9d3a9 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffb0ae73d44 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffb0ae9d347 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffb0ae744b0 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffb0ae9d57e (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffb0ae9d5a1 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffb0ae9d5c4 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffb0ae9d5e7 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffb0ae9d60a (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffb0ae9d62d (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffb0ae73f5a (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffb0ae9d466 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffb0ae9d489 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffb0ae9d4ac (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffb0ae9d4cf (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffb0ae733de (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffb0ae73418 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffb0ae7d240 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffb0ae810a8 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffb0ae9ed59 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffb0ae81068 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffb0ae9ed36 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffb0ae81054 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffb0ae8105e (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffb0ae810cc (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffb0ae8fd30 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffb0ae90048 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffb0ae7724c (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffb0ae8fa26 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb0ae90134 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffb0ae8fbf2 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb0ae900bc (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffb0ae77234 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffb0ae77224 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffb0ae8fabc (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb0ae8f974 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffb0ae8ff0e (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffb0ae8f97e (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffb0ae8a3f2 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffb0ae9f0ff (__TEXT,__text) non-external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey.cold.1
00007ffb0ae89c54 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffb0ae8a322 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffb0ae89c72 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffb0ae8a736 (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffb0ae8a67e (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffb0ae9f130 (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffb0ae8a60e (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffb0ae9f117 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffb0ae8a6b4 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffb0ae9f149 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffb0ae8a774 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffb0ae89ffa (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffb0ae9f03f (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb0ae9f058 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb0ae9f07f (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffb0ae9f09f (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffb0ae9f0c6 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffb0ae89ce8 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffb0ae9ef3b (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffb0ae9ef54 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffb0ae9ef66 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffb0ae8a2be (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffb0ae8a16a (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffb0ae89c36 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffb0ae8a6ac (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffb0ae8a224 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffb0ae9f0e6 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffb0ae8a6f8 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffb0ae89e74 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffb0ae9ef7f (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffb0ae9ef98 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffb0ae9efb1 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffb0ae9efd8 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffb0ae9eff8 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffb0ae9f01f (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffb0ae89c84 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffb0ae8a0ac (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffb0ae899b0 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffb0ae898ae (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffb0ae89ac6 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffb0ae89abc (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffb0ae89a1a (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffb0ae9ee95 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffb0ae9eebc (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffb0ae9eedc (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffb0ae9ef03 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffb0ae8a98c (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffb0ae8a80c (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffb0ae8aa1a (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffb0ae8a87e (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffb0ae8a8fe (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffb0ae9bdc2 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffb0ae9ceac (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffb0ae9b7ea (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffb0ae9b8b6 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffb0ae9be30 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffb0ae9bf4c (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffb0ae9bf7c (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffb0ae9bfde (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffb0ae9c5aa (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffb0ae8db38 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffb0ae9215c (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffb0ae922ba (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffb0ae926ba (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffb0ae9272e (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffb0ae9243c (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffb0ae9254e (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffb0ae927c6 (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffb0ae9288c (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffb0ae77e9c (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffb0ae9e1b4 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffb0ae791ca (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffb0ae79176 (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffb0ae920f6 (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffb0ae7922c (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffb0ae9e2ef (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffb0ae92118 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffb0ae92d16 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffb0ae938ee (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffb0ae9be00 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffb0ae8b274 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffb0ae8b19a (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffb0ae8b114 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffb0ae8aac0 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb0ae8ab70 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb0ae92c26 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffb0ae901ee (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffb0ae9032e (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffb0ae90dbe (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb0ae90c7a (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb0ae91070 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
00007ffb0ae7ba62 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
00007ffb0ae90b48 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
00007ffb0ae7bb32 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
