00007ffc07a37d14 (__TEXT,__text) non-external +[ODCAction action]
00007ffc429a1418 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffc429a1420 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffc429a1430 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffc429a13f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffc429a1470 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffc429a1488 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffc429a1478 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffc429a13b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffc429a14a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffc429a1400 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffc429a1440 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffc429a1450 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffc429a1458 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffc429a13b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffc429a13a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffc429a1390 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffc429a1360 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffc429a1398 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffc429a1338 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffc429a1380 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffc429a1350 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffc429a1358 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffc429a1378 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffc429a1348 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffc429a1370 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffc429a1330 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffc429a1388 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffc429a1368 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffc429a1340 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffc429a14f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffc429a14d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffc429a14f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffc429a14d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffc429a1500 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffc429a1510 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffc429a14e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffc429a1508 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffc429a14e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffc429a1568 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffc429a14c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffc429a14b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffc429a14c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffc429a14a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffc429a14b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffc429a1550 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffc429a1558 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffc429a1560 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffc429a1538 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffc429a1548 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffc429a1540 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffc429a1528 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffc429a1520 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffc429a1530 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffc429a1518 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffc429a15e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffc429a1598 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffc429a1688 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffc429a1778 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffc429a1638 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffc429a1728 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffc429a16d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffc4089ba58 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffc4089ba50 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffc4089ba68 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffc4089ba60 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffc4089b948 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffc4089b950 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffc4089b958 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffc4089b960 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffc4089b968 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffc4089b970 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffc4089ba38 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffc4089ba00 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffc4089ba08 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffc4089b990 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffc4089b998 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffc4089b9a0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffc4089b9a8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffc4089b9b0 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffc4089b9b8 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffc4089b9c0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffc4089b9c8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffc4089ba28 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffc4089b940 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffc4089b9e8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffc4089b9f0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffc4089b9f8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffc4089ba20 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffc4089b978 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffc4089b980 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffc4089b988 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffc4089ba18 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffc4089ba10 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffc4089ba48 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffc4089ba40 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffc4089ba30 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffc4089b9d0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffc4089b9d8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffc4089b9e0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc07a443f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffc07a44468 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffc07a44480 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc07a44498 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffc07a444b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffc07a44b08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffc07a44cb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffc07a44dd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc07a44e50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffc07a44f10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffc07a44f88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffc4089e010 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffc4089dca0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffc4089e8a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffc4089ee10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffc4089e710 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffc4089ec50 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffc4089eaf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffc4089e418 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffc4089de88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffc4089e9c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffc4089ee38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffc4089e7b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffc4089ed18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffc4089eb78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffc4089e680 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffc4089df80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffc4089ea60 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffc4089ee50 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffc4089e810 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffc4089ed80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffc4089ebc0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffc4089dfc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffc4089dc58 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffc4089e858 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffc4089edc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffc4089e6c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffc4089ec08 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffc4089eaa8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc07a37d62 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffc07a3fd41 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffc07a357c7 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffc07a359ba (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffc07a38bc9 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffc07a3579d (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffc07a357b4 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc07a45060 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffc07a45020 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffc07a43f5c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffc07a43f1a (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc4089ba70 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffc4089bab0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffc4089b910 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffc4089b8e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffc4089bcd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc4089bd18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffc4089ba90 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4089bcf8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4089bd38 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffc07a359c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffc07a35917 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffc07a359df (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffc07a35973 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffc07a4403b (__TEXT,__text) non-external ___fixup_schema2
00007ffc07a44051 (__TEXT,__text) non-external ___fixup_schema3
00007ffc07a4407f (__TEXT,__text) non-external ___fixup_schema4
00007ffc07a44138 (__TEXT,__text) non-external ___fixup_schema5
00007ffc07a43ddf (__TEXT,__text) non-external ___get_keyinfo
00007ffc429a17e0 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffc07a43704 (__TEXT,__text) non-external __schema_construct
00007ffc07a43907 (__TEXT,__text) non-external __schema_deconstruct
00007ffc07a43e3a (__TEXT,__text) non-external __schema_validate_type
00007ffc429a17c0 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffc07a441f9 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffc429a17d8 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffc429a17c8 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffc429a17d0 (__DATA,__bss) non-external __schema_validate_type.num
00007ffc429a17b0 (__DATA,__bss) non-external __schema_validate_type.once
00007ffc429a17b8 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffc429a17a0 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffc4089bc68 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffc4089bc70 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffc4089bc78 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffc4089bc80 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffc4089bc88 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffc4089bb20 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffc4089bb28 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffc4089bb30 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffc4089bb38 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffc4089bb60 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffc4089bb40 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffc4089bb48 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffc4089bb58 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffc4089bb50 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffc4089bb68 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffc4089bb70 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffc4089bb78 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffc4089bb80 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffc4089bb88 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffc4089bb98 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffc4089bb90 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffc4089bba0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffc4089bba8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffc4089bbb0 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffc4089bc10 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffc4089bc08 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffc4089bc28 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffc4089bc30 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffc4089bc20 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffc4089bc18 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffc4089bc00 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffc4089bbb8 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffc4089bbc0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffc4089bbd0 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffc4089bbd8 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffc4089bbe0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffc4089bbe8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffc4089bbc8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffc4089bbf0 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffc4089bbf8 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffc4089bc90 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffc4089bca0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffc4089bca8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffc4089bcb0 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffc4089bcb8 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffc4089bcc0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffc4089bcc8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffc4089bc98 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffc4089bcd0 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffc07a450d0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffc4089bc50 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffc4089bc60 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffc4089bc58 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffc4089bc48 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffc4089bc40 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffc4089bc38 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffc07a43d80 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffc429a17a8 (__DATA,__bss) non-external _request_schema
00007ffc07a43843 (__TEXT,__text) external _schema_construct_request
00007ffc07a436ea (__TEXT,__text) external _schema_construct_requestv
00007ffc07a43cbc (__TEXT,__text) external _schema_construct_result
00007ffc07a43ca2 (__TEXT,__text) external _schema_construct_resultv
00007ffc07a438ed (__TEXT,__text) external _schema_deconstruct_request
00007ffc07a43d66 (__TEXT,__text) external _schema_deconstruct_result
00007ffc07a43be1 (__TEXT,__text) external _schema_get_callback
00007ffc07a43b56 (__TEXT,__text) external _schema_set_callback
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
